time,Chicago,pts.away,score,pts.home,San Antonio
9:35.0,D. Valentine misses 2-pt shot from 13 ft,,19-41,,
9:35.0,,,19-41,,Defensive rebound by L. Aldridge
9:22.0,,,19-41,,Turnover by B. Forbes (lost ball; steal by D. Valentine)
9:18.0,K. Felder makes 2-pt shot from 1 ft (assist by D. Valentine),2,21-41,,
9:17.0,,,21-41,,San Antonio full timeout
9:17.0,,,21-41,,P. Mills enters the game for B. Paul
9:17.0,,,21-41,,D. Bertans enters the game for D. Murray
9:17.0,,,21-41,,K. Anderson enters the game for R. Gay
9:17.0,R. Lopez enters the game for C. Felicio,,21-41,,
9:17.0,J. Grant enters the game for K. Dunn,,21-41,,
9:04.0,,,21-43,2,L. Aldridge makes 2-pt shot from 19 ft (assist by K. Anderson)
8:56.0,,,21-43,,Personal foul by D. Bertans (drawn by B. Portis)
8:53.0,K. Felder makes 2-pt shot from 11 ft,2,23-43,,
8:37.0,,,23-43,,K. Anderson misses 2-pt shot from 18 ft
8:30.0,,,23-43,,Offensive rebound by L. Aldridge
8:30.0,,,23-45,2,L. Aldridge makes 2-pt shot at rim
8:10.0,R. Lopez makes 2-pt shot from 3 ft,2,25-45,,
7:55.0,,,25-48,3,B. Forbes makes 3-pt shot from 24 ft (assist by K. Anderson)
7:46.0,K. Felder misses 2-pt shot from 17 ft,,25-48,,
7:43.0,,,25-48,,Defensive rebound by K. Anderson
7:35.0,,,25-50,2,B. Forbes makes 2-pt shot from 8 ft (assist by P. Mills)
7:21.0,D. Valentine misses 3-pt shot from 24 ft,,25-50,,
7:19.0,,,25-50,,Defensive rebound by Team
7:19.0,,,25-50,,P. Gasol enters the game for D. Bertans
7:19.0,J. Holiday enters the game for K. Felder,,25-50,,
7:19.0,L. Markkanen enters the game for B. Portis,,25-50,,
7:04.0,,,25-50,,P. Mills misses 3-pt shot from 25 ft
7:01.0,Defensive rebound by Team,,25-50,,
6:49.0,R. Lopez makes 2-pt shot from 6 ft (assist by L. Markkanen),2,27-50,,
6:36.0,,,27-50,,B. Forbes misses 3-pt shot from 26 ft
6:33.0,Defensive rebound by L. Markkanen,,27-50,,
6:27.0,J. Holiday makes 3-pt shot from 23 ft (assist by D. Valentine),3,30-50,,
6:17.0,,,30-50,,Turnover by Team (turnover)
6:08.0,J. Holiday misses 2-pt shot from 2 ft,,30-50,,
6:05.0,Offensive rebound by R. Lopez,,30-50,,
6:05.0,R. Lopez makes 2-pt shot at rim,2,32-50,,
5:54.0,,,32-50,,Turnover by P. Mills (bad pass; steal by J. Holiday)
5:35.0,R. Lopez makes 2-pt shot from 10 ft (assist by J. Grant),2,34-50,,
5:34.0,,,34-50,,San Antonio full timeout
5:34.0,,,34-50,,D. Bertans enters the game for L. Aldridge
5:10.0,,,34-50,,P. Gasol misses 2-pt shot from 18 ft
5:07.0,Defensive rebound by L. Markkanen,,34-50,,
4:55.0,R. Lopez makes 2-pt shot from 10 ft (assist by J. Grant),2,36-50,,
4:40.0,,,36-50,,Turnover by P. Gasol (bad pass; steal by J. Holiday)
4:31.0,D. Valentine makes 2-pt shot from 10 ft (assist by R. Lopez),2,38-50,,
4:12.0,,,38-52,2,K. Anderson makes 2-pt shot from 17 ft (assist by P. Gasol)
3:57.0,L. Markkanen makes 2-pt shot at rim,2,40-52,,
3:39.0,,,40-55,3,D. Bertans makes 3-pt shot from 25 ft (assist by P. Gasol)
3:13.0,L. Markkanen makes 2-pt shot from 11 ft (assist by J. Grant),2,42-55,,
3:00.0,,,42-55,,P. Mills misses 2-pt shot from 18 ft
2:57.0,Defensive rebound by J. Holiday,,42-55,,
2:48.0,D. Valentine makes 3-pt shot from 22 ft (assist by J. Grant),3,45-55,,
2:28.0,,,45-57,2,B. Forbes makes 2-pt shot from 6 ft (assist by K. Anderson)
2:20.0,J. Grant makes 2-pt shot from 1 ft,2,47-57,,
2:20.0,Shooting foul by B. Forbes (drawn by J. Grant),,47-57,,
2:20.0,,,47-57,,D. Murray enters the game for P. Mills
2:20.0,,,47-57,,R. Gay enters the game for D. Bertans
2:20.0,J. Grant misses free throw 1 of 1,,47-57,,
2:20.0,Offensive rebound by Team,,47-57,,
2:20.0,,,47-57,,Loose ball foul by D. Murray (drawn by J. Grant)
2:20.0,,,47-57,,B. Paul enters the game for B. Forbes
2:15.0,,,47-57,,Violation by P. Gasol (kicked ball)
2:08.0,Turnover by L. Markkanen (step out of bounds),,47-57,,
1:45.0,,,47-57,,K. Anderson misses 2-pt shot from 6 ft
1:42.0,Defensive rebound by D. Valentine,,47-57,,
1:27.0,J. Holiday misses 2-pt shot from 1 ft (block by P. Gasol),,47-57,,
1:27.0,,,47-57,,Defensive rebound by Team
1:27.0,Personal foul by J. Holiday (drawn by P. Gasol),,47-57,,
1:11.0,,,47-59,2,R. Gay makes 2-pt shot from 1 ft
0:53.0,L. Markkanen misses 3-pt shot from 24 ft,,47-59,,
0:51.0,,,47-59,,Defensive rebound by B. Paul
0:44.0,,,47-59,,K. Anderson misses 2-pt shot from 21 ft
0:42.0,Defensive rebound by D. Valentine,,47-59,,
0:39.0,D. Valentine misses 3-pt shot from 24 ft,,47-59,,
0:36.0,,,47-59,,Defensive rebound by P. Gasol
0:29.0,,,47-61,2,R. Gay makes 2-pt shot from 5 ft
0:12.0,R. Lopez misses 2-pt shot from 20 ft,,47-61,,
0:09.0,,,47-61,,Defensive rebound by K. Anderson
0:01.0,,,47-61,,Shooting foul by D. Valentine (drawn by K. Anderson)
0:01.0,,,47-62,1,K. Anderson makes free throw 1 of 2
0:01.0,B. Portis enters the game for L. Markkanen,,47-62,,
0:01.0,,,47-63,1,K. Anderson makes free throw 2 of 2
0:00.0,J. Grant misses 3-pt shot from 45 ft,,47-63,,
0:00.0,Offensive rebound by Team,,47-63,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,B. Portis misses 2-pt shot from 11 ft,,47-63,,
11:40.0,,,47-63,,Defensive rebound by K. Anderson
11:28.0,,,47-65,2,K. Anderson makes 2-pt shot from 15 ft
11:10.0,J. Grant makes 2-pt shot from 2 ft (assist by B. Portis),2,49-65,,
10:48.0,,,49-67,2,P. Gasol makes 2-pt shot from 8 ft
10:26.0,J. Holiday misses 2-pt shot from 11 ft,,49-67,,
10:24.0,,,49-67,,Defensive rebound by P. Gasol
10:20.0,,,49-67,,B. Forbes misses 2-pt shot from 5 ft (block by R. Lopez)
10:20.0,,,49-67,,Offensive rebound by Team
10:15.0,,,49-69,2,L. Aldridge makes 2-pt shot from 1 ft (assist by K. Anderson)
9:57.0,J. Holiday misses 2-pt shot from 21 ft,,49-69,,
9:54.0,,,49-69,,Defensive rebound by B. Forbes
9:39.0,,,49-71,2,L. Aldridge makes 2-pt shot from 2 ft (assist by K. Anderson)
9:39.0,Chicago full timeout,,49-71,,
9:19.0,K. Dunn makes 2-pt shot from 1 ft,2,51-71,,
9:04.0,,,51-73,2,K. Anderson makes 2-pt shot from 1 ft (assist by B. Forbes)
8:54.0,R. Lopez makes 2-pt shot from 1 ft (assist by K. Dunn),2,53-73,,
8:36.0,,,53-75,2,K. Anderson makes 2-pt shot from 22 ft (assist by L. Aldridge)
8:25.0,K. Dunn makes 2-pt shot at rim (assist by J. Grant),2,55-75,,
8:11.0,,,55-77,2,L. Aldridge makes 2-pt shot from 20 ft (assist by P. Mills)
7:55.0,B. Portis makes 2-pt shot from 7 ft (assist by J. Holiday),2,57-77,,
7:40.0,,,57-77,,Turnover by L. Aldridge (traveling)
7:40.0,,,57-77,,B. Paul enters the game for B. Forbes
7:27.0,K. Dunn misses 2-pt shot from 1 ft,,57-77,,
7:25.0,,,57-77,,Defensive rebound by P. Gasol
7:17.0,,,57-79,2,P. Gasol makes 2-pt shot from 14 ft (assist by P. Mills)
7:02.0,Shooting foul by P. Gasol (drawn by B. Portis),,57-79,,
7:02.0,B. Portis makes free throw 1 of 2,1,58-79,,
7:02.0,B. Portis makes free throw 2 of 2,1,59-79,,
6:41.0,,,59-79,,P. Mills misses 3-pt shot from 25 ft
6:36.0,,,59-79,,Offensive rebound by L. Aldridge
6:27.0,,,59-82,3,B. Paul makes 3-pt shot from 25 ft (assist by P. Mills)
6:15.0,J. Grant makes 3-pt shot from 26 ft,3,62-82,,
6:00.0,Personal foul by R. Lopez (drawn by P. Gasol),,62-82,,
6:00.0,,,62-82,,R. Gay enters the game for L. Aldridge
5:54.0,,,62-85,3,P. Gasol makes 3-pt shot from 24 ft (assist by P. Mills)
5:39.0,B. Portis makes 3-pt shot from 25 ft (assist by R. Lopez),3,65-85,,
5:24.0,,,65-85,,P. Gasol misses 2-pt shot from 17 ft
5:20.0,Defensive rebound by R. Lopez,,65-85,,
5:18.0,Turnover by R. Lopez (bad pass; steal by P. Gasol),,65-85,,
5:05.0,,,65-85,,D. Murray enters the game for P. Mills
5:02.0,,,65-85,,D. Murray misses 2-pt shot from 1 ft
4:56.0,,,65-85,,Offensive rebound by D. Murray
4:56.0,,,65-85,,D. Murray misses 2-pt shot at rim
4:55.0,Defensive rebound by B. Portis,,65-85,,
4:53.0,J. Holiday misses 3-pt shot from 26 ft,,65-85,,
4:51.0,,,65-85,,Defensive rebound by Team
4:33.0,,,65-85,,Turnover by B. Paul (lost ball; steal by K. Dunn)
4:29.0,J. Grant misses 3-pt shot from 25 ft,,65-85,,
4:24.0,,,65-85,,Defensive rebound by P. Gasol
4:13.0,,,65-85,,Turnover by R. Gay (bad pass)
4:13.0,,,65-85,,B. Forbes enters the game for K. Anderson
4:13.0,D. Valentine enters the game for B. Portis,,65-85,,
4:13.0,P. Zipser enters the game for J. Holiday,,65-85,,
4:04.0,Offensive foul by R. Lopez (drawn by R. Gay),,65-85,,
4:04.0,Turnover by R. Lopez (offensive foul),,65-85,,
3:45.0,,,65-88,3,B. Paul makes 3-pt shot from 24 ft (assist by B. Forbes)
3:42.0,Chicago full timeout,,65-88,,
3:42.0,K. Felder enters the game for J. Grant,,65-88,,
3:22.0,R. Lopez misses 2-pt shot from 19 ft,,65-88,,
3:20.0,,,65-88,,Defensive rebound by Team
3:05.0,,,65-90,2,P. Gasol makes 2-pt shot from 1 ft
2:51.0,K. Dunn misses 2-pt shot from 8 ft,,65-90,,
2:47.0,Offensive rebound by R. Lopez,,65-90,,
2:47.0,R. Lopez makes 2-pt shot at rim,2,67-90,,
2:32.0,,,67-92,2,B. Paul makes 2-pt shot from 1 ft (assist by P. Gasol)
2:14.0,Turnover by K. Felder (bad pass),,67-92,,
1:56.0,,,67-92,,P. Gasol misses 2-pt shot from 7 ft
1:54.0,Defensive rebound by P. Zipser,,67-92,,
1:44.0,K. Felder misses 2-pt shot from 14 ft,,67-92,,
1:44.0,,,67-92,,Defensive rebound by P. Gasol
1:29.0,,,67-92,,Shooting foul by P. Zipser (drawn by R. Gay)
1:29.0,,,67-93,1,R. Gay makes free throw 1 of 2
1:29.0,,,67-93,,D. Bertans enters the game for P. Gasol
1:29.0,Q. Pondexter enters the game for K. Dunn,,67-93,,
1:29.0,,,67-94,1,R. Gay makes free throw 2 of 2
1:15.0,K. Felder misses 2-pt shot from 2 ft,,67-94,,
1:13.0,,,67-94,,Defensive rebound by R. Gay
1:10.0,,,67-94,,B. Forbes misses 3-pt shot from 24 ft
1:06.0,Defensive rebound by R. Lopez,,67-94,,
0:53.0,Shooting foul by R. Gay (drawn by R. Lopez),,67-94,,
0:53.0,R. Lopez makes free throw 1 of 2,1,68-94,,
0:53.0,R. Lopez misses free throw 2 of 2,,68-94,,
0:51.0,,,68-94,,Defensive rebound by B. Paul
0:36.0,,,68-97,3,D. Bertans makes 3-pt shot from 25 ft (assist by D. Murray)
0:24.0,K. Felder makes 2-pt shot from 1 ft,2,70-97,,
0:04.0,,,70-97,,D. Murray misses 2-pt shot from 1 ft
0:02.0,Defensive rebound by K. Felder,,70-97,,
0:00.0,K. Felder misses 3-pt shot from 25 ft,,70-97,,
0:00.0,Offensive rebound by Team,,70-97,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,70-99,2,R. Gay makes 2-pt shot from 1 ft (assist by D. Murray)
11:28.0,K. Felder misses 2-pt shot from 18 ft,,70-99,,
11:25.0,,,70-99,,Defensive rebound by B. Paul
11:24.0,,,70-99,,Turnover by B. Forbes (turnover)
11:17.0,Turnover by K. Felder (bad pass),,70-99,,
11:17.0,B. Portis enters the game for P. Zipser,,70-99,,
11:01.0,,,70-99,,Shooting foul by K. Felder (drawn by D. Bertans)
11:01.0,,,70-99,,D. Bertans misses free throw 1 of 2
11:01.0,,,70-99,,Offensive rebound by Team
11:01.0,,,70-100,1,D. Bertans makes free throw 2 of 2
10:44.0,K. Felder misses 2-pt shot from 14 ft (block by D. Murray),,70-100,,
10:34.0,,,70-100,,Defensive rebound by R. Gay
10:34.0,,,70-102,2,D. Murray makes 2-pt shot from 1 ft
10:34.0,Chicago full timeout,,70-102,,
10:34.0,J. Grant enters the game for K. Felder,,70-102,,
10:34.0,,,70-102,,D. Hilliard enters the game for B. Forbes
10:34.0,,,70-102,,M. Costello enters the game for R. Gay
10:15.0,B. Portis makes 2-pt shot from 8 ft (assist by J. Grant),2,72-102,,
10:00.0,,,72-102,,Turnover by B. Paul (bad pass; steal by Q. Pondexter)
9:55.0,Turnover by B. Portis (offensive goaltending),,72-102,,
9:46.0,,,72-105,3,D. Bertans makes 3-pt shot from 25 ft (assist by B. Paul)
9:30.0,C. Felicio makes 2-pt shot from 3 ft (assist by D. Valentine),2,74-105,,
9:13.0,,,74-108,3,D. Murray makes 3-pt shot from 22 ft (assist by B. Paul)
8:54.0,B. Portis misses 2-pt shot from 1 ft,,74-108,,
8:51.0,,,74-108,,Defensive rebound by B. Paul
8:46.0,,,74-110,2,D. Hilliard makes 2-pt shot from 6 ft
8:22.0,C. Felicio makes 2-pt shot from 7 ft,2,76-110,,
8:22.0,Shooting foul by M. Costello (drawn by C. Felicio),,76-110,,
8:22.0,C. Felicio misses free throw 1 of 1,,76-110,,
8:18.0,,,76-110,,Defensive rebound by M. Costello
8:12.0,,,76-112,2,D. Murray makes 2-pt shot from 1 ft
8:04.0,Turnover by B. Portis (traveling),,76-112,,
8:04.0,,,76-112,,B. Forbes enters the game for D. Murray
7:49.0,,,76-115,3,D. Bertans makes 3-pt shot from 25 ft (assist by B. Paul)
7:34.0,B. Portis misses 3-pt shot from 26 ft,,76-115,,
7:30.0,,,76-115,,Defensive rebound by M. Costello
7:18.0,,,76-115,,Turnover by D. Hilliard (traveling)
7:18.0,K. Dunn enters the game for D. Valentine,,76-115,,
7:04.0,C. Felicio makes 2-pt shot from 1 ft (assist by J. Grant),2,78-115,,
6:45.0,,,78-118,3,B. Paul makes 3-pt shot from 25 ft (assist by D. Bertans)
6:31.0,Shooting foul by D. Bertans (drawn by C. Felicio),,78-118,,
6:31.0,C. Felicio misses free throw 1 of 2,,78-118,,
6:31.0,Offensive rebound by Team,,78-118,,
6:31.0,C. Felicio misses free throw 2 of 2,,78-118,,
6:28.0,,,78-118,,Defensive rebound by M. Costello
6:14.0,,,78-118,,B. Forbes misses 2-pt shot from 19 ft
6:08.0,Defensive rebound by B. Portis,,78-118,,
6:04.0,Turnover by B. Portis (traveling),,78-118,,
5:40.0,,,78-118,,D. Bertans misses 3-pt shot from 29 ft
5:39.0,Defensive rebound by Team,,78-118,,
5:39.0,,,78-118,,Loose ball foul by M. Costello (drawn by J. Grant)
5:26.0,K. Dunn makes 2-pt shot from 7 ft,2,80-118,,
5:14.0,,,80-118,,D. Hilliard misses 3-pt shot from 25 ft
5:14.0,Defensive rebound by C. Felicio,,80-118,,
5:04.0,K. Dunn misses 3-pt shot from 25 ft,,80-118,,
5:04.0,Offensive rebound by B. Portis,,80-118,,
5:03.0,B. Portis makes 2-pt shot at rim,2,82-118,,
5:03.0,Shooting foul by D. Hilliard (drawn by B. Portis),,82-118,,
5:03.0,B. Portis makes free throw 1 of 1,1,83-118,,
4:53.0,,,83-118,,Turnover by D. Hilliard (lost ball; steal by Q. Pondexter)
4:43.0,K. Dunn misses 3-pt shot from 26 ft,,83-118,,
4:41.0,Offensive rebound by Q. Pondexter,,83-118,,
4:41.0,Shooting foul by M. Costello (drawn by Q. Pondexter),,83-118,,
4:41.0,Q. Pondexter makes free throw 1 of 2,1,84-118,,
4:41.0,,,84-118,,San Antonio full timeout
4:41.0,,,84-118,,D. Murray enters the game for B. Paul
4:41.0,Q. Pondexter makes free throw 2 of 2,1,85-118,,
4:24.0,,,85-121,3,B. Forbes makes 3-pt shot from 23 ft (assist by D. Murray)
4:07.0,K. Dunn misses 2-pt shot from 15 ft,,85-121,,
4:04.0,,,85-121,,Defensive rebound by D. Hilliard
3:53.0,,,85-121,,D. Hilliard misses 2-pt shot from 6 ft (block by C. Felicio)
3:46.0,Defensive rebound by K. Dunn,,85-121,,
3:37.0,B. Portis misses 2-pt shot from 12 ft,,85-121,,
3:33.0,Offensive rebound by C. Felicio,,85-121,,
3:25.0,K. Dunn makes 3-pt shot from 22 ft (assist by J. Grant),3,88-121,,
3:09.0,,,88-124,3,D. Murray makes 3-pt shot from 25 ft (assist by D. Bertans)
2:57.0,C. Felicio misses 2-pt shot from 2 ft (block by M. Costello),,88-124,,
2:51.0,,,88-124,,Defensive rebound by M. Costello
2:47.0,,,88-124,,Turnover by D. Murray (bad pass; steal by C. Felicio)
2:42.0,C. Felicio makes 2-pt shot from 3 ft (assist by B. Portis),2,90-124,,
2:22.0,,,90-126,2,D. Murray makes 2-pt shot from 12 ft
2:09.0,,,90-126,,Personal foul by B. Forbes (drawn by B. Portis)
2:09.0,B. Portis makes free throw 1 of 2,1,91-126,,
2:09.0,K. Felder enters the game for J. Grant,,91-126,,
2:09.0,,,91-126,,San Antonio full timeout
2:09.0,B. Portis makes free throw 2 of 2,1,92-126,,
1:59.0,,,92-128,2,M. Costello makes 2-pt shot at rim (assist by D. Bertans)
1:45.0,K. Felder misses 3-pt shot from 26 ft,,92-128,,
1:40.0,,,92-128,,Defensive rebound by D. Murray
1:32.0,,,92-131,3,D. Bertans makes 3-pt shot from 22 ft (assist by D. Murray)
1:24.0,B. Portis misses 2-pt shot from 2 ft (block by M. Costello),,92-131,,
1:20.0,,,92-131,,Defensive rebound by D. Hilliard
1:07.0,,,92-131,,D. Hilliard misses 3-pt shot from 24 ft
1:02.0,Defensive rebound by B. Portis,,92-131,,
0:50.0,Q. Pondexter misses 2-pt shot from 6 ft,,92-131,,
0:47.0,,,92-131,,Defensive rebound by M. Costello
0:33.0,,,92-131,,D. Murray misses 2-pt shot from 14 ft
0:30.0,,,92-131,,Offensive rebound by D. Murray
0:29.0,,,92-133,2,D. Murray makes 2-pt shot from 1 ft
0:23.0,K. Dunn makes 2-pt shot from 11 ft,2,94-133,,
