time,Detroit,pts.away,score,pts.home,Miami
9:04.0,,,28-38,,Defensive rebound by J. Winslow
9:02.0,,,28-38,,Turnover by J. Winslow (bad pass)
9:02.0,I. Smith enters the game for D. Buycks,,28-38,,
8:55.0,I. Smith makes 2-pt shot from 3 ft,2,30-38,,
8:55.0,Shooting foul by J. Richardson (drawn by I. Smith),,30-38,,
8:55.0,I. Smith misses free throw 1 of 1,,30-38,,
8:50.0,Offensive rebound by A. Drummond,,30-38,,
8:38.0,A. Tolliver misses 3-pt shot from 27 ft,,30-38,,
8:35.0,Offensive rebound by A. Drummond,,30-38,,
8:32.0,A. Drummond misses 2-pt shot from 2 ft,,30-38,,
8:28.0,Offensive rebound by A. Tolliver,,30-38,,
8:28.0,A. Tolliver makes 2-pt shot at rim,2,32-38,,
8:19.0,,,32-38,,D. Wade misses 2-pt shot from 14 ft
8:17.0,Defensive rebound by L. Galloway,,32-38,,
8:17.0,,,32-38,,Personal foul by K. Olynyk (drawn by L. Galloway)
8:17.0,,,32-38,,H. Whiteside enters the game for K. Olynyk
8:08.0,L. Galloway misses 3-pt shot from 27 ft,,32-38,,
8:08.0,,,32-38,,Defensive rebound by Team
7:45.0,,,32-38,,H. Whiteside misses 2-pt shot from 6 ft (block by A. Drummond)
7:41.0,Defensive rebound by A. Drummond,,32-38,,
7:39.0,A. Tolliver misses 2-pt shot from 5 ft (block by J. Winslow),,32-38,,
7:34.0,,,32-38,,Defensive rebound by J. Richardson
7:32.0,,,32-40,2,D. Wade makes 2-pt shot from 16 ft
7:32.0,,,32-40,,Shooting foul by I. Smith (drawn by D. Wade)
7:32.0,,,32-40,,G. Dragic enters the game for R. McGruder
7:32.0,R. Bullock enters the game for L. Galloway,,32-40,,
7:32.0,,,32-41,1,D. Wade makes free throw 1 of 1
7:10.0,R. Bullock misses 2-pt shot from 4 ft (block by J. Richardson),,32-41,,
7:05.0,,,32-41,,Defensive rebound by H. Whiteside
6:59.0,,,32-43,2,J. Richardson makes 2-pt shot from 14 ft
6:46.0,I. Smith misses 2-pt shot from 3 ft,,32-43,,
6:42.0,Offensive rebound by A. Drummond,,32-43,,
6:42.0,A. Drummond misses 2-pt shot at rim,,32-43,,
6:41.0,,,32-43,,Defensive rebound by H. Whiteside
6:29.0,,,32-43,,H. Whiteside misses 2-pt shot from 5 ft
6:27.0,Defensive rebound by I. Smith,,32-43,,
6:23.0,I. Smith makes 2-pt shot from 2 ft,2,34-43,,
6:12.0,,,34-43,,Miami full timeout
6:12.0,,,34-43,,J. Johnson enters the game for J. Richardson
6:12.0,,,34-43,,L. Babbitt enters the game for D. Wade
6:12.0,B. Griffin enters the game for A. Tolliver,,34-43,,
6:03.0,,,34-43,,G. Dragic misses 2-pt shot from 9 ft
6:03.0,,,34-43,,Offensive rebound by H. Whiteside
6:03.0,,,34-43,,Shooting foul by A. Drummond (drawn by H. Whiteside)
6:03.0,,,34-44,1,H. Whiteside makes free throw 1 of 2
6:03.0,,,34-44,,H. Whiteside misses free throw 2 of 2
6:01.0,Defensive rebound by A. Drummond,,34-44,,
5:47.0,R. Bullock misses 3-pt shot from 25 ft,,34-44,,
5:44.0,,,34-44,,Defensive rebound by H. Whiteside
5:35.0,J. Ennis enters the game for S. Johnson,,34-44,,
5:28.0,,,34-47,3,J. Winslow makes 3-pt shot from 24 ft (assist by G. Dragic)
5:05.0,J. Ennis misses 3-pt shot from 26 ft,,34-47,,
5:03.0,Offensive rebound by A. Drummond,,34-47,,
5:03.0,Shooting foul by J. Johnson (drawn by A. Drummond),,34-47,,
5:03.0,A. Drummond misses free throw 1 of 2,,34-47,,
5:03.0,Offensive rebound by Team,,34-47,,
5:03.0,A. Drummond misses free throw 2 of 2,,34-47,,
5:00.0,,,34-47,,Defensive rebound by H. Whiteside
4:40.0,,,34-50,3,G. Dragic makes 3-pt shot from 25 ft (assist by H. Whiteside)
4:25.0,Turnover by R. Bullock (bad pass),,34-50,,
4:17.0,,,34-50,,J. Winslow misses 3-pt shot from 26 ft
4:16.0,,,34-50,,Offensive rebound by H. Whiteside
4:16.0,Personal foul by B. Griffin (drawn by H. Whiteside),,34-50,,
4:08.0,,,34-52,2,J. Winslow makes 2-pt shot from 3 ft
3:43.0,Turnover by A. Drummond (turnover),,34-52,,
3:30.0,,,34-52,,G. Dragic misses 2-pt shot from 17 ft
3:26.0,Defensive rebound by I. Smith,,34-52,,
3:14.0,R. Bullock misses 3-pt shot from 25 ft,,34-52,,
3:10.0,Offensive rebound by A. Drummond,,34-52,,
3:07.0,A. Drummond makes 2-pt shot from 6 ft,2,36-52,,
2:59.0,,,36-52,,L. Babbitt misses 3-pt shot from 26 ft
2:56.0,Defensive rebound by R. Bullock,,36-52,,
2:47.0,B. Griffin makes 3-pt shot from 25 ft (assist by I. Smith),3,39-52,,
2:18.0,,,39-52,,Turnover by H. Whiteside (turnover)
2:18.0,Detroit full timeout,,39-52,,
2:18.0,,,39-52,,K. Olynyk enters the game for J. Johnson
2:18.0,,,39-52,,J. Richardson enters the game for H. Whiteside
2:06.0,B. Griffin makes 2-pt shot from 4 ft (assist by I. Smith),2,41-52,,
1:51.0,,,41-54,2,G. Dragic makes 2-pt shot from 3 ft
1:31.0,Turnover by I. Smith (traveling),,41-54,,
1:31.0,D. Buycks enters the game for I. Smith,,41-54,,
1:24.0,Personal foul by D. Buycks (drawn by G. Dragic),,41-54,,
1:24.0,,,41-55,1,G. Dragic makes free throw 1 of 2
1:24.0,,,41-56,1,G. Dragic makes free throw 2 of 2
1:11.0,B. Griffin misses 2-pt shot from 20 ft,,41-56,,
1:08.0,,,41-56,,Defensive rebound by G. Dragic
1:02.0,,,41-59,3,K. Olynyk makes 3-pt shot from 26 ft (assist by J. Richardson)
0:47.0,,,41-59,,Technical foul by J. Winslow (drawn by B. Griffin)
0:47.0,,,41-59,,U. Haslem enters the game for J. Winslow
0:47.0,B. Griffin makes flagrant free throw 1 of 2,1,42-59,,
0:47.0,B. Griffin makes flagrant free throw 2 of 2,1,43-59,,
0:38.0,J. Ennis makes 3-pt shot from 22 ft (assist by D. Buycks),3,46-59,,
0:16.0,,,46-59,,G. Dragic misses 3-pt shot from 28 ft
0:15.0,Defensive rebound by Team,,46-59,,
0:01.0,R. Bullock misses 3-pt shot from 26 ft,,46-59,,
0:00.0,Offensive rebound by D. Buycks,,46-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,46-62,3,J. Johnson makes 3-pt shot from 26 ft (assist by J. Richardson)
11:23.0,B. Griffin makes 2-pt shot from 11 ft (assist by R. Bullock),2,48-62,,
11:23.0,Shooting foul by J. Richardson (drawn by B. Griffin),,48-62,,
11:23.0,B. Griffin makes free throw 1 of 1,1,49-62,,
11:05.0,,,49-62,,J. Richardson misses 3-pt shot from 30 ft
11:05.0,Defensive rebound by I. Smith,,49-62,,
10:52.0,Shooting foul by J. Johnson (drawn by B. Griffin),,49-62,,
10:52.0,B. Griffin makes free throw 1 of 2,1,50-62,,
10:52.0,B. Griffin makes free throw 2 of 2,1,51-62,,
10:36.0,,,51-62,,H. Whiteside misses 2-pt shot from 6 ft
10:36.0,,,51-62,,Offensive rebound by H. Whiteside
10:36.0,,,51-62,,Shooting foul by J. Ennis (drawn by H. Whiteside)
10:36.0,,,51-63,1,H. Whiteside makes free throw 1 of 2
10:36.0,,,51-64,1,H. Whiteside makes free throw 2 of 2
10:29.0,J. Ennis misses 3-pt shot from 23 ft,,51-64,,
10:28.0,,,51-64,,Defensive rebound by J. Richardson
10:28.0,Personal foul by A. Drummond (drawn by H. Whiteside),,51-64,,
10:17.0,,,51-64,,Turnover by H. Whiteside (bad pass; steal by A. Drummond)
10:17.0,,,51-64,,Personal foul by H. Whiteside (drawn by A. Drummond)
10:06.0,B. Griffin misses 2-pt shot from 21 ft,,51-64,,
10:03.0,,,51-64,,Defensive rebound by G. Dragic
9:56.0,,,51-64,,L. Babbitt misses 3-pt shot from 29 ft
9:53.0,Defensive rebound by A. Drummond,,51-64,,
9:42.0,R. Bullock misses 2-pt shot from 21 ft,,51-64,,
9:39.0,Offensive rebound by A. Drummond,,51-64,,
9:37.0,A. Drummond misses 2-pt shot from 5 ft,,51-64,,
9:33.0,Offensive rebound by A. Drummond,,51-64,,
9:33.0,A. Drummond makes 2-pt shot at rim,2,53-64,,
9:18.0,,,53-64,,J. Johnson misses 3-pt shot from 27 ft
9:16.0,Defensive rebound by A. Drummond,,53-64,,
8:55.0,Shooting foul by G. Dragic (drawn by B. Griffin),,53-64,,
8:55.0,B. Griffin makes free throw 1 of 2,1,54-64,,
8:55.0,B. Griffin makes free throw 2 of 2,1,55-64,,
8:43.0,,,55-66,2,J. Richardson makes 2-pt shot from 3 ft
8:28.0,J. Ennis makes 2-pt shot from 20 ft (assist by A. Drummond),2,57-66,,
8:15.0,,,57-66,,Turnover by G. Dragic (lost ball; steal by A. Drummond)
8:10.0,J. Ennis misses 2-pt shot from 3 ft (block by J. Johnson),,57-66,,
8:10.0,Offensive rebound by Team,,57-66,,
7:52.0,I. Smith misses 2-pt shot from 7 ft,,57-66,,
7:46.0,,,57-66,,Defensive rebound by H. Whiteside
7:43.0,,,57-66,,Offensive charge foul by G. Dragic (drawn by I. Smith)
7:43.0,,,57-66,,Turnover by G. Dragic (offensive foul)
7:40.0,R. Bullock makes 2-pt shot from 4 ft (assist by B. Griffin),2,59-66,,
7:40.0,,,59-66,,Miami full timeout
7:16.0,,,59-66,,J. Richardson misses 2-pt shot from 12 ft
7:14.0,Defensive rebound by B. Griffin,,59-66,,
7:10.0,A. Drummond misses 2-pt shot from 4 ft,,59-66,,
7:02.0,Offensive rebound by A. Drummond,,59-66,,
7:02.0,A. Drummond makes 2-pt shot at rim,2,61-66,,
6:51.0,,,61-69,3,L. Babbitt makes 3-pt shot from 28 ft (assist by G. Dragic)
6:22.0,J. Ennis misses 3-pt shot from 27 ft,,61-69,,
6:21.0,Offensive rebound by Team,,61-69,,
6:21.0,Turnover by Team (shot clock),,61-69,,
6:21.0,Detroit full timeout,,61-69,,
6:21.0,,,61-69,,R. McGruder enters the game for J. Richardson
6:07.0,,,61-69,,L. Babbitt misses 3-pt shot from 27 ft
6:03.0,,,61-69,,Offensive rebound by H. Whiteside
5:57.0,,,61-72,3,J. Johnson makes 3-pt shot from 22 ft (assist by L. Babbitt)
5:37.0,R. Bullock makes 2-pt shot from 16 ft (assist by B. Griffin),2,63-72,,
5:15.0,,,63-72,,H. Whiteside misses 2-pt shot from 19 ft
5:15.0,Defensive rebound by Team,,63-72,,
5:00.0,Turnover by A. Drummond (step out of bounds),,63-72,,
4:45.0,,,63-72,,L. Babbitt misses 3-pt shot from 26 ft
4:43.0,,,63-72,,Offensive rebound by H. Whiteside
4:40.0,,,63-72,,Turnover by H. Whiteside (lost ball; steal by A. Drummond)
4:40.0,S. Johnson enters the game for J. Ennis,,63-72,,
4:40.0,D. Buycks enters the game for I. Smith,,63-72,,
4:21.0,S. Johnson makes 3-pt shot from 27 ft (assist by B. Griffin),3,66-72,,
4:06.0,,,66-72,,Turnover by J. Johnson (bad pass)
4:06.0,,,66-72,,D. Wade enters the game for L. Babbitt
4:06.0,E. Moreland enters the game for A. Drummond,,66-72,,
3:49.0,B. Griffin misses 3-pt shot from 25 ft,,66-72,,
3:45.0,,,66-72,,Defensive rebound by H. Whiteside
3:32.0,,,66-72,,D. Wade misses 2-pt shot from 3 ft
3:29.0,Defensive rebound by S. Johnson,,66-72,,
3:17.0,B. Griffin makes 2-pt shot from 3 ft,2,68-72,,
2:55.0,,,68-72,,R. McGruder misses 3-pt shot from 23 ft
2:51.0,Defensive rebound by B. Griffin,,68-72,,
2:36.0,B. Griffin misses 3-pt shot from 24 ft,,68-72,,
2:33.0,,,68-72,,Defensive rebound by H. Whiteside
2:29.0,Personal foul by S. Johnson (drawn by D. Wade),,68-72,,
2:29.0,,,68-72,,K. Olynyk enters the game for G. Dragic
2:29.0,,,68-72,,J. Winslow enters the game for J. Johnson
2:29.0,,,68-72,,J. Richardson enters the game for H. Whiteside
2:21.0,,,68-72,,D. Wade misses 2-pt shot from 19 ft
2:17.0,Defensive rebound by S. Johnson,,68-72,,
2:12.0,Turnover by S. Johnson (lost ball; steal by J. Winslow),,68-72,,
2:12.0,Personal foul by S. Johnson (drawn by J. Winslow),,68-72,,
1:54.0,,,68-72,,Turnover by K. Olynyk (lost ball; steal by R. Bullock)
1:49.0,S. Johnson makes 2-pt shot from 4 ft (assist by B. Griffin),2,70-72,,
1:31.0,,,70-72,,K. Olynyk misses 3-pt shot from 27 ft
1:27.0,,,70-72,,Offensive rebound by J. Winslow
1:26.0,,,70-72,,K. Olynyk misses 2-pt shot from 20 ft
1:23.0,Defensive rebound by E. Moreland,,70-72,,
1:06.0,B. Griffin misses 2-pt shot from 17 ft,,70-72,,
1:00.0,,,70-72,,Defensive rebound by D. Wade
0:48.0,,,70-74,2,J. Richardson makes 2-pt shot from 9 ft
0:35.0,D. Buycks misses 2-pt shot from 16 ft,,70-74,,
0:31.0,,,70-74,,Defensive rebound by D. Wade
0:24.0,,,70-74,,Turnover by D. Wade (bad pass; steal by D. Buycks)
0:03.0,S. Johnson misses 3-pt shot from 25 ft,,70-74,,
0:00.0,,,70-74,,Defensive rebound by R. McGruder
0:00.0,,,70-74,,D. Wade misses 3-pt shot from 39 ft
0:00.0,,,70-74,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,Turnover by S. Johnson (bad pass; steal by K. Olynyk),,70-74,,
11:26.0,,,70-76,2,J. Richardson makes 2-pt shot from 21 ft
11:14.0,D. Buycks misses 2-pt shot from 9 ft (block by J. Richardson),,70-76,,
11:14.0,Offensive rebound by Team,,70-76,,
11:13.0,Shooting foul by K. Olynyk (drawn by A. Drummond),,70-76,,
11:13.0,A. Drummond makes free throw 1 of 2,1,71-76,,
11:13.0,A. Drummond makes free throw 2 of 2,1,72-76,,
11:00.0,,,72-78,2,J. Winslow makes 2-pt shot from 3 ft (assist by D. Wade)
10:39.0,L. Galloway makes 2-pt shot from 17 ft (assist by D. Buycks),2,74-78,,
10:18.0,,,74-78,,Shooting foul by S. Johnson (drawn by J. Richardson)
10:18.0,,,74-79,1,J. Richardson makes free throw 1 of 2
10:18.0,,,74-80,1,J. Richardson makes free throw 2 of 2
10:05.0,Turnover by L. Galloway (bad pass; steal by J. Winslow),,74-80,,
10:02.0,,,74-82,2,J. Winslow makes 2-pt shot from 3 ft
10:02.0,Detroit full timeout,,74-82,,
9:55.0,,,74-82,,Personal foul by J. Richardson (drawn by D. Buycks)
9:47.0,Shooting foul by D. Wade (drawn by A. Drummond),,74-82,,
9:47.0,A. Drummond makes free throw 1 of 2,1,75-82,,
9:47.0,A. Drummond misses free throw 2 of 2,,75-82,,
9:43.0,,,75-82,,Defensive rebound by K. Olynyk
9:30.0,,,75-82,,J. Richardson misses 2-pt shot from 11 ft
9:28.0,,,75-82,,Offensive rebound by J. Richardson
9:27.0,,,75-84,2,J. Richardson makes 2-pt shot from 6 ft
9:10.0,D. Buycks makes 3-pt shot from 24 ft,3,78-84,,
8:57.0,,,78-84,,Shooting foul by S. Johnson (drawn by D. Wade)
8:57.0,,,78-85,1,D. Wade makes free throw 1 of 2
8:57.0,,,78-86,1,D. Wade makes free throw 2 of 2
8:44.0,D. Buycks makes 2-pt shot from 14 ft,2,80-86,,
8:17.0,,,80-86,,D. Wade misses 3-pt shot from 27 ft
8:14.0,,,80-86,,Offensive rebound by J. Winslow
8:12.0,,,80-88,2,K. Olynyk makes 2-pt shot from 2 ft (assist by J. Winslow)
8:00.0,Shooting foul by K. Olynyk (drawn by A. Drummond),,80-88,,
8:00.0,A. Drummond misses free throw 1 of 2,,80-88,,
8:00.0,Offensive rebound by Team,,80-88,,
8:00.0,J. Ennis enters the game for L. Galloway,,80-88,,
8:00.0,A. Drummond makes free throw 2 of 2,1,81-88,,
7:47.0,,,81-88,,J. Richardson misses 2-pt shot from 15 ft
7:46.0,Defensive rebound by Team,,81-88,,
7:34.0,D. Buycks misses 2-pt shot from 3 ft,,81-88,,
7:30.0,Offensive rebound by A. Drummond,,81-88,,
7:30.0,A. Drummond makes 2-pt shot at rim,2,83-88,,
7:19.0,,,83-91,3,R. McGruder makes 3-pt shot from 23 ft (assist by J. Winslow)
6:56.0,S. Johnson misses 2-pt shot from 2 ft,,83-91,,
6:54.0,,,83-91,,Defensive rebound by K. Olynyk
6:47.0,,,83-94,3,K. Olynyk makes 3-pt shot from 28 ft (assist by R. McGruder)
6:46.0,Detroit full timeout,,83-94,,
6:46.0,B. Griffin enters the game for S. Johnson,,83-94,,
6:46.0,I. Smith enters the game for D. Buycks,,83-94,,
6:46.0,R. Bullock enters the game for A. Tolliver,,83-94,,
6:36.0,R. Bullock makes 2-pt shot from 2 ft (assist by A. Drummond),2,85-94,,
6:18.0,,,85-94,,J. Richardson misses 2-pt shot from 4 ft
6:18.0,,,85-94,,Offensive rebound by Team
6:15.0,,,85-94,,K. Olynyk misses 2-pt shot from 14 ft
6:09.0,Defensive rebound by J. Ennis,,85-94,,
5:55.0,A. Drummond makes 2-pt shot from 4 ft,2,87-94,,
5:55.0,,,87-94,,Miami full timeout
5:55.0,,,87-94,,G. Dragic enters the game for R. McGruder
5:45.0,,,87-94,,Shooting foul by R. Bullock (drawn by D. Wade)
5:45.0,,,87-94,,D. Wade misses free throw 1 of 2
5:45.0,,,87-94,,Offensive rebound by Team
5:45.0,,,87-94,,H. Whiteside enters the game for K. Olynyk
5:45.0,,,87-94,,D. Wade misses free throw 2 of 2
5:43.0,,,87-94,,Offensive rebound by H. Whiteside
5:43.0,,,87-96,2,H. Whiteside makes 2-pt shot from 2 ft
5:43.0,,,87-96,,Shooting foul by A. Drummond (drawn by H. Whiteside)
5:43.0,,,87-96,,J. Johnson enters the game for D. Wade
5:43.0,,,87-97,1,H. Whiteside makes free throw 1 of 1
5:27.0,J. Ennis makes 2-pt shot from 8 ft,2,89-97,,
5:13.0,,,89-99,2,J. Johnson makes 2-pt shot from 3 ft
4:55.0,Turnover by B. Griffin (bad pass; steal by J. Richardson),,89-99,,
4:32.0,,,89-99,,J. Winslow misses 2-pt shot from 11 ft
4:29.0,Defensive rebound by R. Bullock,,89-99,,
4:20.0,R. Bullock misses 3-pt shot from 25 ft,,89-99,,
4:16.0,,,89-99,,Defensive rebound by H. Whiteside
4:01.0,Personal foul by J. Ennis (drawn by J. Winslow),,89-99,,
4:01.0,,,89-100,1,J. Winslow makes free throw 1 of 2
4:01.0,,,89-101,1,J. Winslow makes free throw 2 of 2
3:51.0,R. Bullock misses 2-pt shot from 9 ft,,89-101,,
3:51.0,,,89-101,,Defensive rebound by H. Whiteside
