time,Chicago,pts.away,score,pts.home,Detroit
7:37.0,,,2-11,2,B. Griffin makes 2-pt shot at rim
7:37.0,Chicago full timeout,,2-11,,
7:37.0,,,2-11,,I. Smith enters the game for R. Jackson
7:12.0,Turnover by Team (shot clock),,2-11,,
6:54.0,,,2-11,,S. Johnson misses 3-pt shot from 24 ft
6:50.0,,,2-11,,Offensive rebound by A. Drummond
6:46.0,,,2-13,2,A. Drummond makes 2-pt shot at rim
6:32.0,J. Holiday makes 3-pt shot from 26 ft (assist by N. Vonleh),3,5-13,,
6:17.0,,,5-16,3,R. Bullock makes 3-pt shot from 25 ft (assist by B. Griffin)
6:06.0,N. Vonleh makes 3-pt shot from 26 ft (assist by C. Payne),3,8-16,,
5:39.0,,,8-16,,B. Griffin misses 3-pt shot from 24 ft
5:34.0,Defensive rebound by J. Holiday,,8-16,,
5:25.0,Turnover by N. Vonleh (bad pass; steal by A. Drummond),,8-16,,
5:18.0,,,8-16,,B. Griffin misses 2-pt shot from 3 ft
5:15.0,,,8-16,,Offensive rebound by B. Griffin
5:15.0,,,8-18,2,B. Griffin makes 2-pt shot at rim
5:03.0,Turnover by D. Valentine (bad pass),,8-18,,
5:03.0,,,8-18,,A. Tolliver enters the game for A. Drummond
5:03.0,B. Portis enters the game for N. Vonleh,,8-18,,
4:45.0,,,8-18,,B. Griffin misses 3-pt shot from 24 ft
4:41.0,Defensive rebound by B. Portis,,8-18,,
4:35.0,D. Valentine makes 3-pt shot from 26 ft (assist by B. Portis),3,11-18,,
4:32.0,,,11-18,,Detroit full timeout
4:32.0,,,11-18,,L. Kennard enters the game for S. Johnson
4:13.0,,,11-21,3,R. Bullock makes 3-pt shot from 24 ft (assist by L. Kennard)
3:55.0,R. Lopez misses 2-pt shot from 4 ft,,11-21,,
3:51.0,Offensive rebound by R. Lopez,,11-21,,
3:50.0,R. Lopez makes 2-pt shot from 1 ft,2,13-21,,
3:36.0,,,13-24,3,A. Tolliver makes 3-pt shot from 24 ft (assist by I. Smith)
3:25.0,C. Payne makes 2-pt shot from 21 ft,2,15-24,,
3:09.0,,,15-27,3,A. Tolliver makes 3-pt shot from 22 ft (assist by R. Bullock)
2:59.0,R. Lopez misses 3-pt shot from 26 ft,,15-27,,
2:56.0,,,15-27,,Defensive rebound by L. Kennard
2:42.0,,,15-29,2,I. Smith makes 2-pt shot from 21 ft (assist by B. Griffin)
2:40.0,Chicago full timeout,,15-29,,
2:40.0,,,15-29,,A. Drummond enters the game for B. Griffin
2:40.0,P. Zipser enters the game for J. Holiday,,15-29,,
2:40.0,D. Nwaba enters the game for C. Payne,,15-29,,
2:40.0,J. Grant enters the game for R. Lopez,,15-29,,
2:40.0,C. Felicio enters the game for D. Valentine,,15-29,,
2:23.0,C. Felicio makes 2-pt shot from 5 ft (assist by P. Zipser),2,17-29,,
2:00.0,,,17-31,2,A. Drummond makes 2-pt shot from 4 ft (assist by L. Kennard)
1:48.0,B. Portis makes 2-pt shot from 11 ft (assist by J. Grant),2,19-31,,
1:37.0,,,19-34,3,R. Bullock makes 3-pt shot from 25 ft (assist by I. Smith)
1:22.0,Offensive foul by B. Portis (drawn by A. Tolliver),,19-34,,
1:22.0,Turnover by B. Portis (offensive foul),,19-34,,
1:08.0,,,19-34,,L. Kennard misses 3-pt shot from 26 ft
1:04.0,Defensive rebound by J. Grant,,19-34,,
0:58.0,J. Grant misses 2-pt shot from 13 ft,,19-34,,
0:55.0,,,19-34,,Defensive rebound by A. Drummond
0:43.0,,,19-34,,A. Tolliver misses 3-pt shot from 23 ft
0:39.0,,,19-34,,Offensive rebound by A. Tolliver
0:36.0,,,19-34,,Turnover by R. Bullock (bad pass; steal by B. Portis)
0:36.0,Turnover by B. Portis (bad pass),,19-34,,
0:35.0,,,19-34,,L. Kennard misses 2-pt shot from 17 ft
0:31.0,Defensive rebound by D. Nwaba,,19-34,,
0:17.0,C. Felicio misses 2-pt shot from 2 ft,,19-34,,
0:16.0,Offensive rebound by Team,,19-34,,
0:14.0,D. Nwaba makes 2-pt shot from 6 ft (assist by J. Grant),2,21-34,,
0:14.0,Shooting foul by L. Kennard (drawn by D. Nwaba),,21-34,,
0:14.0,D. Nwaba makes free throw 1 of 1,1,22-34,,
0:03.0,,,22-36,2,A. Tolliver makes 2-pt shot from 1 ft (assist by I. Smith)
0:00.0,J. Grant misses 3-pt shot from 27 ft,,22-36,,
0:00.0,Offensive rebound by Team,,22-36,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,J. Grant makes 2-pt shot from 8 ft,2,24-36,,
11:22.0,,,24-38,2,A. Tolliver makes 2-pt shot from 14 ft (assist by L. Kennard)
10:59.0,B. Portis misses 2-pt shot from 4 ft,,24-38,,
10:54.0,,,24-38,,Defensive rebound by J. Ennis
10:48.0,,,24-40,2,A. Drummond makes 2-pt shot from 1 ft (assist by L. Kennard)
10:23.0,B. Portis misses 2-pt shot from 22 ft,,24-40,,
10:18.0,Offensive rebound by J. Grant,,24-40,,
10:16.0,P. Zipser misses 3-pt shot from 28 ft,,24-40,,
10:13.0,,,24-40,,Defensive rebound by A. Drummond
10:09.0,,,24-40,,R. Jackson misses 3-pt shot from 24 ft
10:09.0,Defensive rebound by C. Felicio,,24-40,,
9:53.0,J. Grant makes 3-pt shot from 23 ft (assist by C. Felicio),3,27-40,,
9:32.0,,,27-40,,L. Kennard misses 3-pt shot from 25 ft
9:29.0,Defensive rebound by J. Grant,,27-40,,
9:22.0,B. Portis makes 2-pt shot from 16 ft (assist by J. Grant),2,29-40,,
9:08.0,Personal foul by B. Portis (drawn by A. Drummond),,29-40,,
8:53.0,,,29-40,,R. Jackson misses 3-pt shot from 42 ft
8:51.0,,,29-40,,Offensive rebound by Team
8:51.0,,,29-40,,Turnover by Team (shot clock)
8:35.0,B. Portis makes 2-pt shot from 6 ft (assist by D. Nwaba),2,31-40,,
8:18.0,,,31-42,2,L. Kennard makes 2-pt shot from 19 ft (assist by A. Tolliver)
8:03.0,D. Nwaba misses 3-pt shot from 23 ft,,31-42,,
8:01.0,,,31-42,,Defensive rebound by A. Drummond
7:51.0,,,31-45,3,A. Tolliver makes 3-pt shot from 25 ft (assist by L. Kennard)
7:49.0,Chicago full timeout,,31-45,,
7:49.0,,,31-45,,I. Smith enters the game for R. Jackson
7:49.0,R. Lopez enters the game for C. Felicio,,31-45,,
7:40.0,J. Grant misses 2-pt shot from 4 ft,,31-45,,
7:40.0,Offensive rebound by Team,,31-45,,
7:40.0,,,31-45,,Loose ball foul by L. Kennard (drawn by R. Lopez)
7:33.0,R. Lopez misses 2-pt shot from 5 ft,,31-45,,
7:30.0,,,31-45,,Defensive rebound by A. Drummond
7:20.0,,,31-47,2,J. Ennis makes 2-pt shot from 1 ft (assist by I. Smith)
7:10.0,B. Portis misses 3-pt shot from 26 ft,,31-47,,
7:06.0,,,31-47,,Defensive rebound by A. Drummond
7:00.0,,,31-47,,Turnover by I. Smith (lost ball; steal by J. Grant)
6:57.0,Turnover by P. Zipser (lost ball; steal by L. Kennard),,31-47,,
6:52.0,,,31-50,3,L. Kennard makes 3-pt shot from 25 ft
6:34.0,R. Lopez makes 2-pt shot from 5 ft (assist by P. Zipser),2,33-50,,
6:10.0,,,33-53,3,A. Tolliver makes 3-pt shot from 27 ft (assist by L. Kennard)
5:56.0,J. Grant makes 3-pt shot from 26 ft (assist by R. Lopez),3,36-53,,
5:42.0,,,36-53,,A. Tolliver misses 3-pt shot from 25 ft
5:38.0,Defensive rebound by D. Nwaba,,36-53,,
5:35.0,,,36-53,,Personal foul by A. Tolliver (drawn by B. Portis)
5:35.0,,,36-53,,B. Griffin enters the game for A. Drummond
5:35.0,N. Vonleh enters the game for J. Grant,,36-53,,
5:35.0,C. Payne enters the game for B. Portis,,36-53,,
5:35.0,J. Holiday enters the game for D. Nwaba,,36-53,,
5:35.0,D. Valentine enters the game for P. Zipser,,36-53,,
5:31.0,D. Valentine makes 3-pt shot from 28 ft (assist by C. Payne),3,39-53,,
5:13.0,,,39-53,,J. Ennis misses 3-pt shot from 26 ft
5:08.0,Defensive rebound by C. Payne,,39-53,,
5:03.0,Offensive foul by N. Vonleh (drawn by B. Griffin),,39-53,,
5:03.0,Turnover by N. Vonleh (offensive foul),,39-53,,
5:03.0,,,39-53,,R. Bullock enters the game for L. Kennard
5:03.0,,,39-53,,S. Johnson enters the game for J. Ennis
4:46.0,,,39-53,,I. Smith misses 3-pt shot from 25 ft
4:42.0,Defensive rebound by N. Vonleh,,39-53,,
4:29.0,D. Valentine misses 3-pt shot from 23 ft,,39-53,,
4:26.0,,,39-53,,Defensive rebound by S. Johnson
4:21.0,,,39-53,,Turnover by S. Johnson (lost ball; steal by N. Vonleh)
4:13.0,Shooting foul by A. Tolliver (drawn by N. Vonleh),,39-53,,
4:13.0,N. Vonleh makes free throw 1 of 2,1,40-53,,
4:13.0,,,40-53,,A. Drummond enters the game for A. Tolliver
4:13.0,,,40-53,,Violation by I. Smith (lane)
4:13.0,N. Vonleh misses free throw 2 of 2,,40-53,,
4:10.0,,,40-53,,Defensive rebound by B. Griffin
3:51.0,,,40-55,2,A. Drummond makes 2-pt shot from 9 ft (assist by R. Bullock)
3:42.0,C. Payne misses 3-pt shot from 25 ft,,40-55,,
3:38.0,,,40-55,,Defensive rebound by I. Smith
3:31.0,,,40-57,2,I. Smith makes 2-pt shot from 15 ft (assist by B. Griffin)
3:13.0,D. Valentine misses 3-pt shot from 29 ft,,40-57,,
3:11.0,,,40-57,,Defensive rebound by A. Drummond
3:05.0,,,40-60,3,B. Griffin makes 3-pt shot from 23 ft (assist by I. Smith)
2:48.0,N. Vonleh misses 3-pt shot from 25 ft (block by A. Drummond),,40-60,,
2:48.0,Offensive rebound by Team,,40-60,,
2:48.0,,,40-60,,Detroit full timeout
2:48.0,B. Portis enters the game for N. Vonleh,,40-60,,
2:34.0,D. Valentine makes 2-pt shot from 1 ft (assist by B. Portis),2,42-60,,
2:16.0,,,42-60,,Turnover by S. Johnson (bad pass; steal by J. Holiday)
2:11.0,D. Valentine misses 2-pt shot from 2 ft,,42-60,,
2:08.0,,,42-60,,Defensive rebound by S. Johnson
2:06.0,Personal foul by D. Valentine (drawn by S. Johnson),,42-60,,
1:56.0,,,42-62,2,I. Smith makes 2-pt shot from 16 ft
1:40.0,B. Portis misses 3-pt shot from 28 ft,,42-62,,
1:38.0,,,42-62,,Defensive rebound by A. Drummond
1:34.0,,,42-62,,I. Smith misses 2-pt shot from 3 ft
1:30.0,Defensive rebound by D. Valentine,,42-62,,
1:27.0,D. Valentine makes 3-pt shot from 24 ft,3,45-62,,
1:02.0,,,45-62,,R. Bullock misses 3-pt shot from 26 ft
0:59.0,Defensive rebound by D. Valentine,,45-62,,
0:58.0,J. Holiday makes 2-pt shot at rim (assist by D. Valentine),2,47-62,,
0:39.0,,,47-65,3,I. Smith makes 3-pt shot from 25 ft (assist by R. Bullock)
0:39.0,,,47-65,,Shooting foul by C. Payne (drawn by I. Smith)
0:39.0,,,47-66,1,I. Smith makes free throw 1 of 1
0:31.0,J. Holiday misses 3-pt shot from 25 ft,,47-66,,
0:29.0,,,47-66,,Defensive rebound by A. Drummond
0:16.0,,,47-66,,Turnover by R. Bullock (bad pass; steal by D. Valentine)
0:01.0,J. Holiday misses 3-pt shot from 23 ft,,47-66,,
0:01.0,Offensive rebound by Team,,47-66,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,J. Holiday misses 2-pt shot from 15 ft,,47-66,,
11:39.0,Offensive rebound by C. Felicio,,47-66,,
11:39.0,C. Felicio makes 2-pt shot from 1 ft,2,49-66,,
11:13.0,,,49-66,,A. Drummond misses 2-pt shot from 4 ft
11:09.0,,,49-66,,Offensive rebound by A. Drummond
11:09.0,,,49-68,2,A. Drummond makes 2-pt shot at rim
11:02.0,D. Valentine misses 2-pt shot from 18 ft,,49-68,,
10:59.0,,,49-68,,Defensive rebound by R. Jackson
10:50.0,,,49-68,,Turnover by B. Griffin (bad pass)
10:39.0,N. Vonleh makes 2-pt shot from 16 ft (assist by D. Valentine),2,51-68,,
10:19.0,,,51-68,,R. Jackson misses 3-pt shot from 24 ft
10:16.0,Defensive rebound by C. Felicio,,51-68,,
9:59.0,N. Vonleh misses 2-pt shot from 3 ft,,51-68,,
9:55.0,Offensive rebound by C. Felicio,,51-68,,
9:55.0,C. Felicio makes 2-pt shot at rim,2,53-68,,
9:41.0,Personal foul by C. Payne (drawn by R. Jackson),,53-68,,
9:35.0,,,53-70,2,L. Kennard makes 2-pt shot from 7 ft
9:19.0,D. Valentine makes 2-pt shot from 11 ft,2,55-70,,
9:02.0,,,55-70,,Shooting foul by N. Vonleh (drawn by L. Kennard)
9:02.0,,,55-71,1,L. Kennard makes free throw 1 of 2
9:02.0,,,55-72,1,L. Kennard makes free throw 2 of 2
8:46.0,N. Vonleh makes 2-pt shot from 9 ft,2,57-72,,
8:30.0,Personal foul by J. Holiday (drawn by A. Drummond),,57-72,,
8:20.0,,,57-72,,B. Griffin misses 3-pt shot from 27 ft
8:18.0,Defensive rebound by C. Felicio,,57-72,,
8:14.0,D. Valentine misses 3-pt shot from 27 ft,,57-72,,
8:12.0,,,57-72,,Defensive rebound by Team
8:04.0,,,57-72,,L. Kennard misses 2-pt shot from 19 ft
8:02.0,Defensive rebound by J. Holiday,,57-72,,
7:52.0,Turnover by N. Vonleh (bad pass; steal by A. Drummond),,57-72,,
7:46.0,,,57-72,,R. Jackson misses 2-pt shot from 3 ft
7:43.0,Defensive rebound by C. Payne,,57-72,,
7:39.0,J. Holiday misses 3-pt shot from 23 ft,,57-72,,
7:35.0,Offensive rebound by D. Valentine,,57-72,,
7:33.0,N. Vonleh makes 2-pt shot from 1 ft (assist by D. Valentine),2,59-72,,
7:33.0,,,59-72,,Detroit full timeout
7:33.0,D. Nwaba enters the game for D. Valentine,,59-72,,
7:13.0,,,59-74,2,L. Kennard makes 2-pt shot from 2 ft (assist by B. Griffin)
6:59.0,D. Nwaba misses 2-pt shot from 2 ft,,59-74,,
6:58.0,Offensive rebound by C. Felicio,,59-74,,
6:44.0,C. Payne misses 2-pt shot from 3 ft,,59-74,,
6:41.0,Offensive rebound by C. Payne,,59-74,,
6:40.0,D. Nwaba misses 2-pt shot from 14 ft,,59-74,,
6:36.0,Offensive rebound by N. Vonleh,,59-74,,
6:34.0,N. Vonleh misses 2-pt shot from 4 ft,,59-74,,
6:33.0,Offensive rebound by C. Felicio,,59-74,,
6:30.0,D. Nwaba makes 2-pt shot from 10 ft (assist by C. Felicio),2,61-74,,
6:15.0,,,61-74,,A. Drummond misses 2-pt shot from 10 ft
6:13.0,,,61-74,,Offensive rebound by A. Drummond
6:12.0,,,61-74,,A. Drummond misses 2-pt shot from 13 ft
6:12.0,Defensive rebound by J. Holiday,,61-74,,
6:07.0,C. Payne makes 2-pt shot at rim,2,63-74,,
5:48.0,,,63-76,2,R. Jackson makes 2-pt shot from 1 ft (assist by A. Drummond)
5:31.0,J. Holiday misses 2-pt shot from 3 ft (block by A. Drummond),,63-76,,
5:27.0,,,63-76,,Defensive rebound by L. Kennard
5:25.0,Technical foul by D. Nwaba (drawn by A. Drummond),,63-76,,
5:25.0,,,63-76,,A. Drummond misses flagrant free throw 1 of 2
5:25.0,,,63-76,,Offensive rebound by Team
5:25.0,,,63-77,1,A. Drummond makes flagrant free throw 2 of 2
5:25.0,J. Grant enters the game for J. Holiday,,63-77,,
5:25.0,,,63-77,,I. Smith enters the game for R. Jackson
5:25.0,,,63-77,,J. Ennis enters the game for L. Kennard
5:14.0,,,63-77,,R. Bullock misses 3-pt shot from 28 ft
5:10.0,Defensive rebound by C. Payne,,63-77,,
4:53.0,N. Vonleh makes 2-pt shot from 1 ft (assist by J. Grant),2,65-77,,
4:43.0,,,65-79,2,R. Bullock makes 2-pt shot from 17 ft (assist by B. Griffin)
4:23.0,Shooting foul by J. Ennis (drawn by D. Nwaba),,65-79,,
4:23.0,D. Nwaba misses free throw 1 of 2,,65-79,,
4:23.0,Offensive rebound by Team,,65-79,,
4:23.0,,,65-79,,A. Tolliver enters the game for A. Drummond
4:23.0,B. Portis enters the game for C. Felicio,,65-79,,
4:23.0,D. Nwaba makes free throw 2 of 2,1,66-79,,
4:08.0,,,66-82,3,A. Tolliver makes 3-pt shot from 23 ft (assist by B. Griffin)
4:08.0,,,66-82,,Shooting foul by D. Nwaba (drawn by A. Tolliver)
4:08.0,,,66-83,1,A. Tolliver makes free throw 1 of 1
3:51.0,C. Payne makes 3-pt shot from 25 ft (assist by J. Grant),3,69-83,,
3:39.0,,,69-86,3,R. Bullock makes 3-pt shot from 25 ft (assist by B. Griffin)
3:29.0,,,69-86,,Personal foul by A. Tolliver (drawn by C. Payne)
3:23.0,C. Payne misses 3-pt shot from 25 ft,,69-86,,
3:19.0,Offensive rebound by N. Vonleh,,69-86,,
3:17.0,B. Portis misses 2-pt shot from 14 ft,,69-86,,
3:14.0,,,69-86,,Defensive rebound by B. Griffin
3:09.0,,,69-86,,A. Tolliver misses 3-pt shot from 28 ft
3:05.0,Defensive rebound by D. Nwaba,,69-86,,
3:02.0,Offensive foul by B. Portis (drawn by B. Griffin),,69-86,,
3:02.0,Turnover by B. Portis (offensive foul),,69-86,,
3:02.0,P. Zipser enters the game for N. Vonleh,,69-86,,
2:50.0,,,69-86,,Turnover by B. Griffin (bad pass)
2:50.0,Chicago full timeout,,69-86,,
2:50.0,R. Arcidiacono enters the game for C. Payne,,69-86,,
2:38.0,B. Portis misses 2-pt shot from 18 ft,,69-86,,
2:34.0,,,69-86,,Defensive rebound by A. Tolliver
2:27.0,,,69-89,3,A. Tolliver makes 3-pt shot from 27 ft (assist by I. Smith)
2:07.0,B. Portis makes 2-pt shot from 2 ft (assist by J. Grant),2,71-89,,
1:41.0,,,71-91,2,J. Ennis makes 2-pt shot from 15 ft (assist by I. Smith)
1:19.0,P. Zipser misses 2-pt shot from 1 ft,,71-91,,
1:18.0,Offensive rebound by P. Zipser,,71-91,,
1:17.0,Turnover by P. Zipser (lost ball; steal by I. Smith),,71-91,,
1:05.0,,,71-93,2,I. Smith makes 2-pt shot from 1 ft
0:51.0,B. Portis makes 2-pt shot from 17 ft (assist by J. Grant),2,73-93,,
0:38.0,,,73-93,,Turnover by B. Griffin (bad pass; steal by D. Nwaba)
0:35.0,Offensive charge foul by D. Nwaba (drawn by A. Tolliver),,73-93,,
0:35.0,Turnover by D. Nwaba (offensive foul),,73-93,,
0:35.0,,,73-93,,A. Drummond enters the game for B. Griffin
0:20.0,,,73-93,,I. Smith misses 3-pt shot from 25 ft
0:17.0,,,73-93,,Offensive rebound by A. Drummond
0:16.0,,,73-95,2,J. Ennis makes 2-pt shot from 1 ft (assist by A. Drummond)
0:02.0,D. Nwaba makes 3-pt shot from 24 ft (assist by J. Grant),3,76-95,,
0:00.0,,,76-95,,I. Smith misses 3-pt shot from 71 ft
0:00.0,,,76-95,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,76-95,,Turnover by L. Kennard (bad pass; steal by R. Arcidiacono)
11:30.0,D. Nwaba makes 2-pt shot from 1 ft (assist by B. Portis),2,78-95,,
11:10.0,,,78-95,,J. Ennis misses 2-pt shot from 8 ft
11:07.0,Defensive rebound by B. Portis,,78-95,,
10:58.0,D. Nwaba misses 3-pt shot from 25 ft,,78-95,,
10:55.0,,,78-95,,Defensive rebound by A. Tolliver
10:47.0,,,78-95,,A. Tolliver misses 3-pt shot from 24 ft
10:45.0,,,78-95,,Offensive rebound by A. Drummond
10:43.0,Personal foul by D. Nwaba (drawn by A. Drummond),,78-95,,
10:43.0,D. Valentine enters the game for D. Nwaba,,78-95,,
10:29.0,,,78-95,,Shooting foul by B. Portis (drawn by R. Jackson)
10:29.0,,,78-95,,R. Jackson misses free throw 1 of 2
10:29.0,,,78-95,,Offensive rebound by Team
10:29.0,,,78-96,1,R. Jackson makes free throw 2 of 2
10:17.0,Turnover by D. Valentine (lost ball; steal by A. Drummond),,78-96,,
10:15.0,Personal foul by P. Zipser (drawn by A. Drummond),,78-96,,
9:54.0,,,78-98,2,J. Ennis makes 2-pt shot at rim (assist by A. Drummond)
9:40.0,D. Valentine misses 2-pt shot from 14 ft,,78-98,,
9:40.0,,,78-98,,Defensive rebound by A. Tolliver
9:25.0,,,78-100,2,R. Jackson makes 2-pt shot from 1 ft
9:16.0,R. Arcidiacono makes 3-pt shot from 23 ft (assist by J. Grant),3,81-100,,
8:57.0,,,81-102,2,L. Kennard makes 2-pt shot from 1 ft (assist by A. Drummond)
8:49.0,J. Grant makes 2-pt shot from 2 ft,2,83-102,,
8:23.0,,,83-102,,A. Tolliver misses 2-pt shot from 1 ft
8:20.0,Defensive rebound by B. Portis,,83-102,,
8:17.0,D. Valentine makes 2-pt shot from 1 ft (assist by B. Portis),2,85-102,,
8:01.0,,,85-102,,Detroit full timeout
8:01.0,D. Nwaba enters the game for P. Zipser,,85-102,,
7:54.0,,,85-102,,Shooting foul by D. Nwaba (drawn by R. Jackson)
7:54.0,,,85-103,1,R. Jackson makes free throw 1 of 2
7:54.0,,,85-104,1,R. Jackson makes free throw 2 of 2
7:42.0,B. Portis misses 2-pt shot from 11 ft,,85-104,,
7:39.0,,,85-104,,Defensive rebound by J. Ennis
7:32.0,,,85-106,2,A. Drummond makes 2-pt shot from 13 ft (assist by J. Ennis)
7:21.0,J. Grant misses 2-pt shot from 13 ft,,85-106,,
7:17.0,,,85-106,,Defensive rebound by A. Drummond
7:05.0,,,85-106,,Shooting foul by J. Grant (drawn by J. Ennis)
7:05.0,,,85-106,,J. Ennis misses free throw 1 of 2
7:05.0,,,85-106,,Offensive rebound by Team
7:05.0,C. Payne enters the game for R. Arcidiacono,,85-106,,
7:05.0,,,85-107,1,J. Ennis makes free throw 2 of 2
6:45.0,J. Grant misses 2-pt shot from 8 ft,,85-107,,
6:42.0,,,85-107,,Defensive rebound by A. Drummond
6:40.0,Loose ball foul by C. Payne (drawn by J. Ennis),,85-107,,
6:40.0,,,85-108,1,J. Ennis makes free throw 1 of 2
6:40.0,,,85-109,1,J. Ennis makes free throw 2 of 2
6:26.0,D. Nwaba misses 2-pt shot from 4 ft (block by A. Tolliver),,85-109,,
6:24.0,,,85-109,,Defensive rebound by R. Jackson
6:22.0,,,85-109,,Turnover by R. Jackson (bad pass; steal by C. Payne)
6:22.0,,,85-109,,Personal foul by J. Ennis (drawn by C. Payne)
6:22.0,N. Vonleh enters the game for J. Grant,,85-109,,
6:12.0,D. Valentine makes 3-pt shot from 25 ft (assist by C. Payne),3,88-109,,
5:56.0,,,88-111,2,R. Jackson makes 2-pt shot from 6 ft
5:45.0,N. Vonleh misses 3-pt shot from 27 ft,,88-111,,
5:44.0,,,88-111,,Defensive rebound by Team
5:37.0,,,88-111,,J. Ennis misses 3-pt shot from 23 ft
5:34.0,Defensive rebound by B. Portis,,88-111,,
5:23.0,B. Portis misses 3-pt shot from 27 ft,,88-111,,
5:19.0,,,88-111,,Defensive rebound by L. Kennard
5:14.0,,,88-111,,A. Tolliver misses 3-pt shot from 25 ft
5:12.0,,,88-111,,Offensive rebound by A. Drummond
5:12.0,Personal foul by B. Portis (drawn by A. Drummond),,88-111,,
5:12.0,,,88-112,1,A. Drummond makes free throw 1 of 2
5:12.0,,,88-112,,I. Smith enters the game for R. Jackson
5:12.0,C. Felicio enters the game for B. Portis,,88-112,,
5:12.0,,,88-113,1,A. Drummond makes free throw 2 of 2
5:00.0,N. Vonleh misses 2-pt shot from 7 ft,,88-113,,
4:55.0,,,88-113,,Defensive rebound by A. Tolliver
4:39.0,,,88-113,,Shooting foul by C. Payne (drawn by A. Tolliver)
4:39.0,,,88-114,1,A. Tolliver makes free throw 1 of 2
4:39.0,,,88-114,,E. Moreland enters the game for A. Drummond
4:39.0,,,88-115,1,A. Tolliver makes free throw 2 of 2
4:29.0,D. Nwaba misses 2-pt shot from 13 ft (block by L. Kennard),,88-115,,
4:27.0,N. Vonleh misses 2-pt shot at rim,,88-115,,
4:27.0,Offensive rebound by N. Vonleh,,88-115,,
4:26.0,Offensive rebound by D. Nwaba,,88-115,,
4:25.0,D. Nwaba makes 2-pt shot from 1 ft,2,90-115,,
4:09.0,,,90-115,,J. Ennis misses 3-pt shot from 25 ft
4:05.0,Defensive rebound by N. Vonleh,,90-115,,
3:58.0,C. Payne misses 3-pt shot from 26 ft,,90-115,,
3:54.0,,,90-115,,Defensive rebound by A. Tolliver
3:45.0,,,90-115,,A. Tolliver misses 3-pt shot from 25 ft
3:42.0,Defensive rebound by D. Nwaba,,90-115,,
3:25.0,Shooting foul by I. Smith (drawn by C. Payne),,90-115,,
3:25.0,C. Payne misses free throw 1 of 2,,90-115,,
3:25.0,Offensive rebound by Team,,90-115,,
3:25.0,C. Payne makes free throw 2 of 2,1,91-115,,
3:25.0,,,91-115,,L. Galloway enters the game for L. Kennard
3:25.0,,,91-115,,D. Buycks enters the game for I. Smith
3:25.0,,,91-115,,H. Ellenson enters the game for A. Tolliver
