time,Memphis,pts.away,score,pts.home,Sacramento
3:36.0,,,19-12,1,F. Mason makes free throw 1 of 1
3:13.0,J. Martin makes 2-pt shot from 2 ft (assist by W. Selden),2,21-12,,
3:08.0,,,21-12,,Sacramento full timeout
3:08.0,,,21-12,,S. Labissiere enters the game for B. Bogdanovic
3:08.0,,,21-12,,V. Carter enters the game for Z. Randolph
2:56.0,,,21-14,2,W. Cauley-Stein makes 2-pt shot from 8 ft
2:36.0,J. Ennis misses 3-pt shot from 25 ft,,21-14,,
2:33.0,Offensive rebound by J. Ennis,,21-14,,
2:33.0,Shooting foul by V. Carter (drawn by J. Ennis),,21-14,,
2:33.0,J. Ennis makes free throw 1 of 2,1,22-14,,
2:33.0,D. Davis enters the game for M. Gasol,,22-14,,
2:33.0,J. Ennis makes free throw 2 of 2,1,23-14,,
2:18.0,,,23-14,,F. Mason misses 2-pt shot from 20 ft
2:15.0,Defensive rebound by J. Ennis,,23-14,,
2:06.0,M. Chalmers makes 3-pt shot from 24 ft (assist by D. Davis),3,26-14,,
1:52.0,,,26-16,2,S. Labissiere makes 2-pt shot from 9 ft
1:40.0,,,26-16,,Personal foul by S. Labissiere (drawn by D. Davis)
1:23.0,D. Davis makes 2-pt shot from 20 ft,2,28-16,,
0:59.0,,,28-16,,W. Cauley-Stein misses 2-pt shot from 2 ft
0:54.0,,,28-16,,Offensive rebound by V. Carter
0:54.0,,,28-16,,V. Carter misses 2-pt shot at rim
0:53.0,Defensive rebound by M. Chalmers,,28-16,,
0:52.0,M. Chalmers makes 3-pt shot from 25 ft,3,31-16,,
0:44.0,,,31-16,,Shooting foul by J. Martin (drawn by F. Mason)
0:44.0,,,31-17,1,F. Mason makes free throw 1 of 2
0:44.0,J. Green enters the game for J. Martin,,31-17,,
0:44.0,,,31-17,,F. Mason misses free throw 2 of 2
0:41.0,Defensive rebound by J. Ennis,,31-17,,
0:34.0,D. Davis makes 2-pt shot from 2 ft (assist by M. Chalmers),2,33-17,,
0:17.0,,,33-20,3,B. Hield makes 3-pt shot from 23 ft (assist by F. Mason)
0:01.0,Shooting foul by F. Mason (drawn by M. Chalmers),,33-20,,
0:01.0,M. Chalmers makes free throw 2 of 2,1,34-20,,
0:01.0,M. Chalmers makes free throw 1 of 2,1,35-20,,
0:00.0,Personal foul by M. Chalmers (drawn by F. Mason),,35-20,,
0:00.0,,,35-20,,Technical foul by F. Mason
0:00.0,,,35-21,1,F. Mason makes free throw 2 of 3
0:00.0,,,35-21,,F. Mason misses free throw 3 of 3
0:00.0,,,35-21,,Offensive rebound by Team
0:00.0,,,35-22,1,F. Mason makes free throw 1 of 3
0:00.0,J. Ennis makes technical free throw,1,36-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,36-22,,B. Hield misses 3-pt shot from 23 ft
11:34.0,Defensive rebound by M. Chalmers,,36-22,,
11:14.0,W. Selden misses 3-pt shot from 25 ft,,36-22,,
11:11.0,,,36-22,,Defensive rebound by V. Carter
11:03.0,,,36-22,,Offensive foul by S. Labissiere (drawn by J. Green)
11:03.0,,,36-22,,Turnover by S. Labissiere (offensive foul)
11:03.0,T. Evans enters the game for M. Chalmers,,36-22,,
11:03.0,A. Harrison enters the game for W. Selden,,36-22,,
10:51.0,,,36-22,,Def 3 sec tech foul by W. Cauley-Stein
10:51.0,T. Evans makes technical free throw,1,37-22,,
10:42.0,J. Green makes 2-pt shot from 1 ft,2,39-22,,
10:27.0,,,39-22,,Turnover by W. Cauley-Stein (traveling)
10:17.0,T. Evans misses 3-pt shot from 25 ft,,39-22,,
10:14.0,,,39-22,,Defensive rebound by W. Cauley-Stein
10:03.0,,,39-22,,V. Carter misses 3-pt shot from 27 ft
9:58.0,Defensive rebound by A. Harrison,,39-22,,
9:54.0,J. Green makes 3-pt shot from 25 ft (assist by A. Harrison),3,42-22,,
9:34.0,,,42-22,,W. Cauley-Stein misses 2-pt shot from 7 ft
9:32.0,Defensive rebound by D. Davis,,42-22,,
9:23.0,A. Harrison misses 2-pt shot from 18 ft,,42-22,,
9:19.0,,,42-22,,Defensive rebound by B. Hield
9:12.0,,,42-22,,B. Hield misses 3-pt shot from 25 ft (block by J. Ennis)
9:08.0,Defensive rebound by T. Evans,,42-22,,
9:05.0,T. Evans misses 2-pt shot from 2 ft (block by B. Hield),,42-22,,
9:02.0,Offensive rebound by T. Evans,,42-22,,
9:02.0,Turnover by J. Green (step out of bounds),,42-22,,
9:02.0,,,42-22,,B. Bogdanovic enters the game for V. Carter
8:47.0,,,42-22,,B. Hield misses 2-pt shot from 21 ft
8:42.0,Defensive rebound by T. Evans,,42-22,,
8:36.0,D. Davis makes 2-pt shot from 2 ft (assist by T. Evans),2,44-22,,
8:13.0,,,44-22,,S. Labissiere misses 2-pt shot from 14 ft
8:13.0,Defensive rebound by D. Davis,,44-22,,
8:08.0,A. Harrison makes 2-pt shot from 1 ft,2,46-22,,
8:08.0,Shooting foul by B. Bogdanovic (drawn by A. Harrison),,46-22,,
8:08.0,J. Martin enters the game for J. Green,,46-22,,
8:08.0,D. Brooks enters the game for J. Ennis,,46-22,,
8:08.0,A. Harrison misses free throw 1 of 1,,46-22,,
8:08.0,,,46-22,,Defensive rebound by W. Cauley-Stein
8:02.0,,,46-22,,Sacramento full timeout
7:47.0,,,46-24,2,S. Labissiere makes 2-pt shot from 3 ft
7:33.0,Turnover by T. Evans (bad pass; steal by W. Cauley-Stein),,46-24,,
7:28.0,,,46-24,,B. Hield misses 3-pt shot from 24 ft
7:25.0,Defensive rebound by T. Evans,,46-24,,
7:09.0,J. Martin misses 2-pt shot from 19 ft,,46-24,,
7:05.0,,,46-24,,Defensive rebound by W. Cauley-Stein
6:51.0,,,46-26,2,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by B. Bogdanovic)
6:27.0,T. Evans makes 2-pt shot from 1 ft,2,48-26,,
6:10.0,,,48-29,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by G. Hill)
5:49.0,D. Brooks makes 2-pt shot from 3 ft (assist by J. Martin),2,50-29,,
5:36.0,,,50-32,3,G. Hill makes 3-pt shot from 25 ft (assist by B. Bogdanovic)
5:29.0,Memphis full timeout,,50-32,,
5:29.0,M. Gasol enters the game for A. Harrison,,50-32,,
5:29.0,K. Simmons enters the game for D. Davis,,50-32,,
5:16.0,T. Evans makes 2-pt shot from 19 ft,2,52-32,,
4:56.0,Personal foul by J. Martin (drawn by W. Cauley-Stein),,52-32,,
4:56.0,,,52-32,,Z. Randolph enters the game for S. Labissiere
4:56.0,B. Wright enters the game for J. Martin,,52-32,,
4:50.0,,,52-34,2,G. Hill makes 2-pt shot from 21 ft
4:29.0,M. Gasol misses 2-pt shot from 19 ft,,52-34,,
4:25.0,,,52-34,,Defensive rebound by W. Cauley-Stein
4:13.0,,,52-36,2,W. Cauley-Stein makes 2-pt shot from 1 ft
3:53.0,K. Simmons misses 3-pt shot from 25 ft,,52-36,,
3:49.0,,,52-36,,Defensive rebound by B. Bogdanovic
3:42.0,,,52-38,2,Z. Randolph makes 2-pt shot from 17 ft (assist by B. Bogdanovic)
3:20.0,T. Evans makes 2-pt shot from 20 ft,2,54-38,,
3:00.0,,,54-38,,B. Hield misses 3-pt shot from 25 ft
2:56.0,Defensive rebound by D. Brooks,,54-38,,
2:41.0,T. Evans misses 2-pt shot from 22 ft,,54-38,,
2:39.0,Offensive rebound by B. Wright,,54-38,,
2:28.0,Turnover by K. Simmons (bad pass; steal by Z. Randolph),,54-38,,
2:25.0,,,54-40,2,G. Hill makes 2-pt shot at rim
2:00.0,M. Gasol makes 2-pt shot from 20 ft,2,56-40,,
1:51.0,,,56-40,,Shooting foul by M. Gasol (drawn by Z. Randolph)
1:51.0,,,56-40,,Z. Randolph misses free throw 1 of 2
1:51.0,,,56-40,,Offensive rebound by Team
1:51.0,,,56-40,,G. Temple enters the game for B. Hield
1:51.0,W. Selden enters the game for K. Simmons,,56-40,,
1:51.0,,,56-40,,Z. Randolph misses free throw 2 of 2
1:51.0,Defensive rebound by Team,,56-40,,
1:37.0,B. Wright makes 2-pt shot from 2 ft (assist by D. Brooks),2,58-40,,
1:30.0,,,58-42,2,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by G. Hill)
1:07.0,Shooting foul by B. Bogdanovic (drawn by D. Brooks),,58-42,,
1:07.0,D. Brooks misses free throw 1 of 2,,58-42,,
1:07.0,Offensive rebound by Team,,58-42,,
1:07.0,D. Brooks makes free throw 2 of 2,1,59-42,,
0:56.0,,,59-42,,Z. Randolph misses 2-pt shot from 4 ft (block by B. Wright)
0:56.0,Defensive rebound by W. Selden,,59-42,,
0:56.0,,,59-42,,Personal foul by Z. Randolph (drawn by W. Selden)
0:56.0,W. Selden makes free throw 1 of 2,1,60-42,,
0:56.0,W. Selden makes free throw 2 of 2,1,61-42,,
0:42.0,,,61-42,,Turnover by B. Bogdanovic (bad pass; steal by B. Wright)
0:36.0,T. Evans makes 3-pt shot from 25 ft (assist by W. Selden),3,64-42,,
0:12.0,,,64-44,2,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by Z. Randolph)
0:12.0,,,64-44,,Shooting foul by T. Evans (drawn by W. Cauley-Stein)
0:12.0,,,64-44,,W. Cauley-Stein misses free throw 1 of 1
0:09.0,,,64-44,,Offensive rebound by B. Bogdanovic
0:07.0,,,64-44,,G. Hill misses 3-pt shot from 24 ft
0:03.0,,,64-44,,Offensive rebound by G. Temple
0:02.0,,,64-46,2,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by G. Temple)
0:00.0,M. Gasol misses 3-pt shot from 50 ft,,64-46,,
0:00.0,Offensive rebound by Team,,64-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,64-46,,G. Hill misses 2-pt shot from 9 ft
11:43.0,,,64-46,,Offensive rebound by Z. Randolph
11:42.0,,,64-46,,Z. Randolph misses 2-pt shot from 1 ft
11:42.0,Defensive rebound by A. Harrison,,64-46,,
11:37.0,J. Martin misses 2-pt shot from 1 ft,,64-46,,
11:37.0,,,64-46,,Defensive rebound by K. Koufos
11:28.0,,,64-46,,Offensive foul by K. Koufos (drawn by A. Harrison)
11:28.0,,,64-46,,Turnover by K. Koufos (offensive foul)
11:14.0,Turnover by M. Gasol (bad pass),,64-46,,
11:06.0,,,64-46,,G. Hill misses 2-pt shot from 1 ft
11:05.0,,,64-46,,Offensive rebound by K. Koufos
11:05.0,,,64-46,,K. Koufos misses 2-pt shot at rim
11:05.0,,,64-46,,Offensive rebound by Team
11:05.0,J. Ennis enters the game for D. Brooks,,64-46,,
10:59.0,,,64-46,,B. Bogdanovic misses 3-pt shot from 23 ft
10:59.0,Defensive rebound by Team,,64-46,,
10:45.0,,,64-46,,Personal foul by G. Hill (drawn by A. Harrison)
10:31.0,T. Evans makes 3-pt shot from 25 ft,3,67-46,,
10:15.0,,,67-48,2,G. Temple makes 2-pt shot from 17 ft (assist by K. Koufos)
10:01.0,T. Evans makes 3-pt shot from 25 ft,3,70-48,,
9:50.0,,,70-48,,G. Hill misses 3-pt shot from 26 ft
9:47.0,Defensive rebound by J. Ennis,,70-48,,
9:38.0,J. Ennis makes 2-pt shot from 1 ft (assist by T. Evans),2,72-48,,
9:21.0,,,72-48,,K. Koufos misses 2-pt shot from 4 ft
9:21.0,Defensive rebound by Team,,72-48,,
9:06.0,J. Ennis makes 2-pt shot from 2 ft (assist by M. Gasol),2,74-48,,
9:06.0,,,74-48,,Sacramento full timeout
9:06.0,,,74-48,,W. Cauley-Stein enters the game for K. Koufos
8:47.0,,,74-48,,B. Bogdanovic misses 3-pt shot from 24 ft
8:44.0,Defensive rebound by T. Evans,,74-48,,
8:37.0,Turnover by T. Evans (lost ball; steal by G. Temple),,74-48,,
8:32.0,,,74-50,2,G. Temple makes 2-pt shot from 1 ft
8:17.0,A. Harrison misses 2-pt shot from 10 ft,,74-50,,
8:15.0,Offensive rebound by J. Ennis,,74-50,,
8:15.0,M. Chalmers enters the game for A. Harrison,,74-50,,
7:57.0,M. Gasol misses 2-pt shot from 14 ft,,74-50,,
7:54.0,,,74-50,,Defensive rebound by Z. Randolph
7:46.0,,,74-50,,Turnover by B. Bogdanovic (bad pass; steal by J. Ennis)
7:30.0,M. Gasol misses 2-pt shot from 7 ft,,74-50,,
7:27.0,,,74-50,,Defensive rebound by Z. Randolph
7:23.0,,,74-50,,Turnover by Z. Randolph (lost ball; steal by J. Martin)
7:20.0,Shooting foul by G. Temple (drawn by M. Gasol),,74-50,,
7:20.0,M. Gasol misses free throw 1 of 2,,74-50,,
7:20.0,Offensive rebound by Team,,74-50,,
7:20.0,,,74-50,,V. Carter enters the game for G. Hill
7:20.0,,,74-50,,J. Jackson enters the game for Z. Randolph
7:20.0,M. Gasol misses free throw 2 of 2,,74-50,,
7:17.0,,,74-50,,Defensive rebound by B. Bogdanovic
7:16.0,Personal foul by T. Evans (drawn by B. Bogdanovic),,74-50,,
7:03.0,,,74-50,,J. Jackson misses 3-pt shot from 25 ft
6:58.0,Defensive rebound by T. Evans,,74-50,,
6:42.0,,,74-50,,M. Richardson enters the game for J. Jackson
6:39.0,Jump ball: V. Carter vs. M. Chalmers (W. Cauley-Stein gains possession),,,,Jump ball: V. Carter vs. M. Chalmers (W. Cauley-Stein gains possession)
6:39.0,Turnover by M. Chalmers (out of bounds lost ball),,74-50,,
6:25.0,Personal foul by J. Martin (drawn by W. Cauley-Stein),,74-50,,
6:25.0,J. Green enters the game for J. Martin,,74-50,,
6:17.0,,,74-50,,M. Richardson misses 3-pt shot from 22 ft
6:14.0,,,74-50,,Offensive rebound by W. Cauley-Stein
6:14.0,,,74-50,,Shooting foul by M. Gasol (drawn by W. Cauley-Stein)
6:14.0,,,74-51,1,W. Cauley-Stein makes free throw 1 of 2
6:14.0,,,74-51,,W. Cauley-Stein misses free throw 2 of 2
6:11.0,Defensive rebound by J. Green,,74-51,,
5:55.0,J. Ennis makes 3-pt shot from 26 ft (assist by T. Evans),3,77-51,,
5:42.0,,,77-51,,W. Cauley-Stein misses 2-pt shot from 7 ft
5:38.0,Defensive rebound by M. Gasol,,77-51,,
5:31.0,M. Gasol misses 3-pt shot from 24 ft,,77-51,,
5:29.0,Offensive rebound by J. Green,,77-51,,
5:29.0,Shooting foul by V. Carter (drawn by J. Green),,77-51,,
5:29.0,J. Green makes free throw 2 of 2,1,78-51,,
5:29.0,J. Green makes free throw 1 of 2,1,79-51,,
5:29.0,D. Davis enters the game for M. Gasol,,79-51,,
5:07.0,,,79-51,,W. Cauley-Stein misses 2-pt shot from 18 ft
5:02.0,Defensive rebound by J. Ennis,,79-51,,
4:56.0,T. Evans makes 2-pt shot from 4 ft,2,81-51,,
4:50.0,,,81-51,,Turnover by G. Temple (lost ball; steal by J. Green)
4:46.0,T. Evans makes 2-pt shot from 1 ft (assist by J. Green),2,83-51,,
4:40.0,,,83-54,3,G. Temple makes 3-pt shot from 25 ft (assist by B. Bogdanovic)
4:27.0,,,83-54,,Personal foul by B. Bogdanovic (drawn by D. Davis)
4:27.0,,,83-54,,B. Hield enters the game for B. Bogdanovic
4:27.0,K. Simmons enters the game for J. Ennis,,83-54,,
4:27.0,D. Brooks enters the game for T. Evans,,83-54,,
4:15.0,M. Chalmers misses 3-pt shot from 25 ft,,83-54,,
4:11.0,,,83-54,,Defensive rebound by V. Carter
4:07.0,,,83-56,2,G. Temple makes 2-pt shot from 18 ft
4:07.0,,,83-56,,Shooting foul by K. Simmons (drawn by G. Temple)
4:07.0,,,83-56,,G. Temple misses free throw 1 of 1
4:04.0,Defensive rebound by D. Brooks,,83-56,,
3:46.0,Turnover by J. Green (bad pass; steal by W. Cauley-Stein),,83-56,,
3:38.0,,,83-56,,B. Hield misses 2-pt shot from 3 ft
3:35.0,Defensive rebound by D. Davis,,83-56,,
3:24.0,Turnover by K. Simmons (traveling),,83-56,,
3:13.0,,,83-56,,Offensive foul by G. Temple (drawn by M. Chalmers)
3:13.0,,,83-56,,Turnover by G. Temple (offensive foul)
3:09.0,K. Simmons makes 2-pt shot from 2 ft (assist by M. Chalmers),2,85-56,,
3:09.0,Shooting foul by M. Richardson (drawn by K. Simmons),,85-56,,
3:09.0,K. Simmons makes free throw 1 of 1,1,86-56,,
3:09.0,,,86-56,,Sacramento full timeout
2:54.0,,,86-56,,M. Richardson misses 2-pt shot from 16 ft
2:51.0,Defensive rebound by D. Davis,,86-56,,
2:37.0,D. Davis makes 2-pt shot from 8 ft,2,88-56,,
2:29.0,,,88-58,2,G. Temple makes 2-pt shot from 2 ft (assist by B. Hield)
2:18.0,Offensive foul by M. Chalmers (drawn by G. Temple),,88-58,,
2:18.0,Turnover by M. Chalmers (offensive foul),,88-58,,
2:02.0,,,88-60,2,G. Temple makes 2-pt shot from 17 ft
1:39.0,D. Brooks makes 2-pt shot from 1 ft,2,90-60,,
1:28.0,,,90-62,2,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by G. Temple)
1:02.0,M. Chalmers misses 3-pt shot from 25 ft,,90-62,,
0:58.0,,,90-62,,Defensive rebound by G. Temple
0:53.0,,,90-62,,G. Temple misses 2-pt shot from 1 ft
0:50.0,Defensive rebound by D. Davis,,90-62,,
0:43.0,Turnover by M. Chalmers (out of bounds lost ball),,90-62,,
0:43.0,A. Harrison enters the game for M. Chalmers,,90-62,,
0:33.0,,,90-62,,Shooting foul by D. Davis (drawn by W. Cauley-Stein)
0:33.0,,,90-62,,W. Cauley-Stein misses free throw 1 of 2
0:33.0,,,90-62,,Offensive rebound by Team
0:33.0,,,90-63,1,W. Cauley-Stein makes free throw 2 of 2
0:21.0,Turnover by K. Simmons (step out of bounds),,90-63,,
0:01.0,,,90-63,,M. Richardson misses 3-pt shot from 22 ft
0:01.0,Defensive rebound by A. Harrison,,90-63,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,W. Selden misses 2-pt shot from 14 ft,,90-63,,
11:42.0,,,90-63,,Defensive rebound by W. Cauley-Stein
11:27.0,,,90-65,2,B. Bogdanovic makes 2-pt shot from 18 ft (assist by W. Cauley-Stein)
11:18.0,,,90-65,,Personal foul by B. Bogdanovic (drawn by A. Harrison)
11:04.0,B. McLemore makes 3-pt shot from 22 ft (assist by M. Gasol),3,93-65,,
10:48.0,,,93-65,,Shooting foul by J. Green (drawn by W. Cauley-Stein)
10:48.0,,,93-66,1,W. Cauley-Stein makes free throw 1 of 2
10:48.0,,,93-66,,W. Cauley-Stein misses free throw 2 of 2
10:45.0,Defensive rebound by J. Green,,93-66,,
10:27.0,Offensive foul by M. Gasol,,93-66,,
10:27.0,Turnover by M. Gasol (offensive foul),,93-66,,
10:27.0,Technical foul by M. Gasol,,93-66,,
10:27.0,,,93-67,1,B. Hield makes technical free throw
10:11.0,Personal foul by W. Selden (drawn by M. Richardson),,93-67,,
10:07.0,,,93-67,,Turnover by W. Cauley-Stein (lost ball; steal by J. Green)
10:04.0,Shooting foul by V. Carter (drawn by A. Harrison),,93-67,,
10:04.0,A. Harrison misses free throw 1 of 2,,93-67,,
10:04.0,Offensive rebound by Team,,93-67,,
10:04.0,,,93-67,,J. Jackson enters the game for V. Carter
10:04.0,A. Harrison makes free throw 2 of 2,1,94-67,,
9:44.0,,,94-67,,Shooting foul by J. Green (drawn by W. Cauley-Stein)
9:44.0,,,94-68,1,W. Cauley-Stein makes free throw 1 of 2
9:44.0,,,94-68,,S. Labissiere enters the game for B. Bogdanovic
9:44.0,K. Simmons enters the game for A. Harrison,,94-68,,
9:44.0,,,94-69,1,W. Cauley-Stein makes free throw 2 of 2
9:32.0,J. Green misses 2-pt shot from 16 ft,,94-69,,
9:28.0,,,94-69,,Defensive rebound by W. Cauley-Stein
9:22.0,,,94-69,,W. Cauley-Stein misses 2-pt shot from 19 ft
9:19.0,Defensive rebound by K. Simmons,,94-69,,
9:14.0,B. McLemore makes 3-pt shot from 22 ft (assist by M. Gasol),3,97-69,,
9:12.0,,,97-69,,Sacramento full timeout
9:12.0,,,97-69,,G. Papagiannis enters the game for W. Cauley-Stein
9:12.0,J. Martin enters the game for J. Green,,97-69,,
9:12.0,D. Davis enters the game for M. Gasol,,97-69,,
8:55.0,,,97-69,,B. Hield misses 2-pt shot from 10 ft
8:52.0,Defensive rebound by D. Davis,,97-69,,
8:44.0,J. Martin makes 2-pt shot from 2 ft,2,99-69,,
8:36.0,,,99-69,,Turnover by B. Hield (lost ball; steal by B. McLemore)
8:33.0,B. McLemore misses 3-pt shot from 22 ft,,99-69,,
8:26.0,,,99-69,,Defensive rebound by G. Papagiannis
8:20.0,,,99-71,2,S. Labissiere makes 2-pt shot from 1 ft (assist by M. Richardson)
7:57.0,J. Martin makes 3-pt shot from 25 ft (assist by K. Simmons),3,102-71,,
7:38.0,,,102-71,,J. Jackson misses 2-pt shot from 2 ft (block by B. McLemore)
7:36.0,Defensive rebound by D. Davis,,102-71,,
7:25.0,W. Selden makes 2-pt shot from 1 ft (assist by J. Martin),2,104-71,,
7:09.0,,,104-71,,B. Hield misses 2-pt shot from 17 ft
7:04.0,,,104-71,,Offensive rebound by G. Papagiannis
7:04.0,,,104-71,,G. Papagiannis misses 2-pt shot at rim
7:03.0,Defensive rebound by B. McLemore,,104-71,,
7:02.0,Turnover by W. Selden (traveling),,104-71,,
6:47.0,,,104-73,2,M. Richardson makes 2-pt shot from 17 ft
6:29.0,K. Simmons misses 2-pt shot from 22 ft,,104-73,,
6:27.0,,,104-73,,Defensive rebound by S. Labissiere
6:20.0,,,104-73,,B. Hield misses 2-pt shot from 2 ft
6:16.0,Defensive rebound by D. Davis,,104-73,,
6:08.0,W. Selden makes 2-pt shot from 17 ft,2,106-73,,
5:51.0,,,106-73,,Turnover by G. Papagiannis (lost ball; steal by W. Selden)
5:42.0,D. Davis misses 2-pt shot from 7 ft,,106-73,,
5:39.0,,,106-73,,Defensive rebound by J. Jackson
5:32.0,Personal foul by B. McLemore (drawn by S. Labissiere),,106-73,,
5:32.0,A. Harrison enters the game for W. Selden,,106-73,,
5:18.0,,,106-76,3,M. Richardson makes 3-pt shot from 25 ft (assist by S. Labissiere)
5:01.0,,,106-76,,Personal foul by B. Hield (drawn by K. Simmons)
4:55.0,Turnover by A. Harrison (bad pass),,106-76,,
4:40.0,,,106-76,,Turnover by M. Richardson (bad pass; steal by A. Harrison)
