time,Boston,pts.away,score,pts.home,Washington
11:30.0,Defensive rebound by G. Monroe,,26-28,,
11:24.0,D. Theis makes 2-pt shot at rim (assist by J. Brown),2,28-28,,
10:59.0,,,28-28,,K. Oubre misses 3-pt shot from 25 ft
10:55.0,,,28-28,,Offensive rebound by T. Frazier
10:50.0,,,28-28,,T. Frazier misses 3-pt shot from 25 ft
10:47.0,,,28-28,,Offensive rebound by K. Oubre
10:47.0,,,28-28,,Shooting foul by G. Monroe (drawn by K. Oubre)
10:47.0,,,28-29,1,K. Oubre makes free throw 1 of 2
10:47.0,,,28-30,1,K. Oubre makes free throw 2 of 2
10:33.0,M. Morris misses 2-pt shot from 1 ft,,28-30,,
10:30.0,,,28-30,,Defensive rebound by K. Oubre
10:22.0,,,28-32,2,K. Oubre makes 2-pt shot from 4 ft
10:06.0,J. Brown makes 2-pt shot from 1 ft,2,30-32,,
9:51.0,,,30-35,3,M. Scott makes 3-pt shot from 27 ft (assist by T. Frazier)
9:33.0,Turnover by T. Rozier (bad pass; steal by I. Mahinmi),,30-35,,
9:28.0,,,30-35,,J. Meeks misses 2-pt shot from 2 ft
9:24.0,Defensive rebound by D. Theis,,30-35,,
9:11.0,,,30-35,,Personal foul by J. Meeks (drawn by J. Brown)
9:05.0,T. Rozier misses 2-pt shot from 4 ft,,30-35,,
9:03.0,Offensive rebound by D. Theis,,30-35,,
9:02.0,D. Theis makes 2-pt shot from 1 ft,2,32-35,,
8:45.0,,,32-35,,I. Mahinmi misses 2-pt shot from 3 ft (block by J. Brown)
8:41.0,Defensive rebound by G. Monroe,,32-35,,
8:40.0,Shooting foul by M. Scott (drawn by J. Brown),,32-35,,
8:40.0,J. Brown makes free throw 1 of 2,1,33-35,,
8:40.0,J. Brown misses free throw 2 of 2,,33-35,,
8:38.0,,,33-35,,Defensive rebound by K. Oubre
8:34.0,Personal foul by M. Morris (drawn by K. Oubre),,33-35,,
8:30.0,,,33-35,,K. Oubre misses 2-pt shot from 16 ft
8:25.0,,,33-35,,Offensive rebound by I. Mahinmi
8:25.0,,,33-35,,I. Mahinmi misses 2-pt shot from 3 ft
8:23.0,Defensive rebound by G. Monroe,,33-35,,
8:17.0,G. Monroe makes 2-pt shot from 3 ft,2,35-35,,
8:17.0,Shooting foul by I. Mahinmi (drawn by G. Monroe),,35-35,,
8:17.0,G. Monroe makes free throw 1 of 1,1,36-35,,
8:04.0,,,36-37,2,M. Scott makes 2-pt shot from 5 ft (assist by J. Meeks)
8:04.0,,,36-37,,Shooting foul by T. Rozier (drawn by M. Scott)
8:04.0,,,36-37,,M. Scott misses free throw 1 of 1
8:00.0,Defensive rebound by D. Theis,,36-37,,
7:50.0,M. Morris misses 3-pt shot from 25 ft,,36-37,,
7:47.0,,,36-37,,Defensive rebound by M. Scott
7:43.0,,,36-37,,M. Scott misses 3-pt shot from 26 ft
7:37.0,Defensive rebound by M. Morris,,36-37,,
7:31.0,J. Brown misses 3-pt shot from 24 ft,,36-37,,
7:27.0,,,36-37,,Defensive rebound by T. Frazier
7:18.0,,,36-37,,Turnover by T. Frazier (out of bounds lost ball)
7:05.0,D. Theis makes 3-pt shot from 24 ft (assist by J. Brown),3,39-37,,
7:03.0,,,39-37,,Washington full timeout
7:03.0,,,39-37,,M. Gortat enters the game for T. Frazier
7:03.0,,,39-37,,O. Porter enters the game for I. Mahinmi
7:03.0,,,39-37,,B. Beal enters the game for J. Meeks
6:42.0,,,39-37,,B. Beal misses 2-pt shot from 22 ft
6:41.0,Defensive rebound by Team,,39-37,,
6:41.0,,,39-37,,Loose ball foul by M. Gortat (drawn by T. Rozier)
6:20.0,M. Morris misses 2-pt shot from 3 ft,,39-37,,
6:17.0,Offensive rebound by G. Monroe,,39-37,,
6:16.0,Turnover by G. Monroe (lost ball; steal by M. Gortat),,39-37,,
6:03.0,,,39-40,3,O. Porter makes 3-pt shot from 26 ft
5:44.0,T. Rozier makes 2-pt shot from 19 ft (assist by G. Monroe),2,41-40,,
5:19.0,,,41-43,3,K. Oubre makes 3-pt shot from 26 ft (assist by B. Beal)
5:06.0,T. Rozier makes 3-pt shot from 27 ft (assist by G. Monroe),3,44-43,,
4:47.0,,,44-43,,Turnover by K. Oubre (lost ball; steal by M. Morris)
4:41.0,J. Brown misses 3-pt shot from 24 ft,,44-43,,
4:37.0,,,44-43,,Defensive rebound by M. Scott
4:30.0,,,44-43,,Turnover by M. Scott (bad pass; steal by G. Monroe)
4:27.0,Shooting foul by M. Scott (drawn by T. Rozier),,44-43,,
4:27.0,T. Rozier misses free throw 1 of 2,,44-43,,
4:27.0,Offensive rebound by Team,,44-43,,
4:27.0,,,44-43,,M. Morris enters the game for M. Scott
4:27.0,K. Irving enters the game for J. Brown,,44-43,,
4:27.0,J. Tatum enters the game for M. Morris,,44-43,,
4:27.0,A. Horford enters the game for G. Monroe,,44-43,,
4:27.0,T. Rozier misses free throw 2 of 2,,44-43,,
4:23.0,,,44-43,,Defensive rebound by M. Morris
4:14.0,,,44-43,,Turnover by M. Gortat (traveling)
3:57.0,D. Theis misses 3-pt shot from 26 ft,,44-43,,
3:53.0,,,44-43,,Defensive rebound by O. Porter
3:47.0,,,44-43,,M. Morris misses 2-pt shot from 15 ft
3:43.0,Defensive rebound by K. Irving,,44-43,,
3:29.0,,,44-43,,Personal foul by M. Morris (drawn by J. Tatum)
3:29.0,J. Tatum makes free throw 1 of 2,1,45-43,,
3:29.0,,,45-43,,T. Satoransky enters the game for K. Oubre
3:29.0,J. Tatum makes free throw 2 of 2,1,46-43,,
3:16.0,,,46-45,2,B. Beal makes 2-pt shot from 2 ft
2:59.0,Turnover by A. Horford (traveling),,46-45,,
2:59.0,Boston full timeout,,46-45,,
2:48.0,,,46-45,,Turnover by M. Morris (traveling)
2:41.0,Turnover by T. Rozier (bad pass; steal by T. Satoransky),,46-45,,
2:38.0,,,46-47,2,T. Satoransky makes 2-pt shot from 2 ft
2:15.0,K. Irving misses 2-pt shot from 1 ft (block by T. Satoransky),,46-47,,
2:15.0,Offensive rebound by Team,,46-47,,
2:15.0,M. Morris enters the game for T. Rozier,,46-47,,
2:15.0,J. Brown enters the game for D. Theis,,46-47,,
2:11.0,M. Morris makes 3-pt shot from 25 ft (assist by K. Irving),3,49-47,,
1:41.0,,,49-47,,Turnover by Team (shot clock)
1:29.0,A. Horford misses 3-pt shot from 24 ft,,49-47,,
1:25.0,,,49-47,,Defensive rebound by O. Porter
1:13.0,,,49-49,2,O. Porter makes 2-pt shot from 17 ft (assist by T. Satoransky)
1:13.0,Away from play foul by A. Horford (drawn by M. Gortat),,49-49,,
1:13.0,Turnover by A. Horford (turnover),,49-49,,
1:13.0,,,49-49,,M. Gortat misses free throw 1 of 1
1:13.0,Defensive rebound by J. Brown,,49-49,,
0:56.0,Turnover by J. Brown (bad pass; steal by O. Porter),,49-49,,
0:53.0,,,49-51,2,B. Beal makes 2-pt shot from 1 ft (assist by O. Porter)
0:34.0,M. Morris misses 2-pt shot from 3 ft (block by M. Morris),,49-51,,
0:29.0,Offensive rebound by M. Morris,,49-51,,
0:28.0,M. Morris misses 2-pt shot from 13 ft,,49-51,,
0:28.0,,,49-51,,Defensive rebound by O. Porter
0:20.0,,,49-51,,O. Porter misses 2-pt shot from 19 ft
0:16.0,,,49-51,,Offensive rebound by M. Gortat
0:01.0,,,49-51,,B. Beal misses 2-pt shot from 19 ft
0:01.0,Defensive rebound by Team,,49-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,K. Irving makes 3-pt shot from 27 ft,3,52-51,,
11:29.0,,,52-51,,M. Morris misses 2-pt shot from 10 ft
11:28.0,Defensive rebound by A. Horford,,52-51,,
11:20.0,A. Baynes makes 2-pt shot from 10 ft (assist by K. Irving),2,54-51,,
11:01.0,,,54-51,,Turnover by T. Satoransky (bad pass)
11:01.0,J. Tatum makes 2-pt shot from 15 ft (assist by J. Brown),2,56-51,,
10:42.0,,,56-51,,O. Porter misses 2-pt shot from 17 ft
10:39.0,Defensive rebound by A. Baynes,,56-51,,
10:34.0,A. Horford misses 3-pt shot from 24 ft,,56-51,,
10:31.0,,,56-51,,Defensive rebound by T. Satoransky
10:31.0,,,56-51,,Turnover by T. Satoransky (out of bounds lost ball)
10:27.0,A. Baynes misses 2-pt shot from 4 ft,,56-51,,
10:25.0,,,56-51,,Defensive rebound by M. Gortat
10:07.0,,,56-51,,Turnover by T. Satoransky (out of bounds lost ball)
9:48.0,K. Irving misses 3-pt shot from 26 ft,,56-51,,
9:44.0,,,56-51,,Defensive rebound by B. Beal
9:29.0,,,56-51,,M. Gortat misses 2-pt shot from 1 ft
9:27.0,Defensive rebound by A. Baynes,,56-51,,
9:25.0,J. Brown misses 2-pt shot from 2 ft,,56-51,,
9:22.0,,,56-51,,Defensive rebound by T. Satoransky
9:16.0,,,56-53,2,O. Porter makes 2-pt shot from 10 ft (assist by B. Beal)
9:04.0,Turnover by K. Irving (traveling),,56-53,,
8:50.0,,,56-53,,B. Beal misses 2-pt shot from 15 ft
8:46.0,Defensive rebound by J. Brown,,56-53,,
8:38.0,A. Horford makes 2-pt shot from 18 ft (assist by K. Irving),2,58-53,,
8:16.0,,,58-56,3,O. Porter makes 3-pt shot from 24 ft (assist by M. Gortat)
7:55.0,A. Baynes misses 2-pt shot from 9 ft,,58-56,,
7:52.0,,,58-56,,Defensive rebound by M. Gortat
7:45.0,,,58-56,,O. Porter misses 2-pt shot from 5 ft (block by A. Baynes)
7:45.0,,,58-56,,Offensive rebound by O. Porter
7:41.0,,,58-56,,O. Porter misses 2-pt shot from 3 ft
7:41.0,Defensive rebound by A. Baynes,,58-56,,
7:35.0,J. Tatum misses 3-pt shot from 26 ft,,58-56,,
7:35.0,,,58-56,,Defensive rebound by Team
7:22.0,,,58-58,2,T. Satoransky makes 2-pt shot from 1 ft
7:22.0,Violation by A. Baynes (def goaltending),,58-58,,
7:08.0,K. Irving makes 2-pt shot from 12 ft,2,60-58,,
6:50.0,,,60-61,3,T. Satoransky makes 3-pt shot from 24 ft (assist by O. Porter)
6:32.0,J. Tatum misses 2-pt shot from 6 ft,,60-61,,
6:31.0,,,60-61,,Defensive rebound by B. Beal
6:27.0,,,60-61,,Turnover by O. Porter (bad pass; steal by J. Brown)
6:23.0,J. Brown misses 2-pt shot from 1 ft,,60-61,,
6:17.0,Offensive rebound by A. Horford,,60-61,,
6:17.0,A. Horford makes 2-pt shot at rim,2,62-61,,
6:05.0,,,62-61,,Turnover by M. Morris (lost ball; steal by A. Baynes)
6:02.0,J. Brown makes 2-pt shot from 3 ft (assist by A. Baynes),2,64-61,,
6:02.0,,,64-61,,Washington full timeout
5:39.0,,,64-61,,T. Satoransky misses 2-pt shot from 13 ft (block by K. Irving)
5:35.0,Defensive rebound by K. Irving,,64-61,,
5:30.0,K. Irving makes 2-pt shot from 10 ft,2,66-61,,
5:14.0,Personal foul by A. Baynes (drawn by B. Beal),,66-61,,
5:01.0,,,66-63,2,M. Gortat makes 2-pt shot from 1 ft (assist by T. Satoransky)
4:49.0,K. Irving makes 2-pt shot from 2 ft,2,68-63,,
4:47.0,Technical foul by M. Morris,,68-63,,
4:47.0,,,68-64,1,B. Beal makes technical free throw
4:47.0,T. Rozier enters the game for J. Tatum,,68-64,,
4:31.0,,,68-66,2,M. Gortat makes 2-pt shot at rim (assist by B. Beal)
4:13.0,,,68-66,,Personal foul by T. Satoransky (drawn by K. Irving)
4:13.0,M. Morris enters the game for A. Baynes,,68-66,,
4:00.0,A. Horford makes 3-pt shot from 27 ft (assist by K. Irving),3,71-66,,
3:44.0,,,71-66,,B. Beal misses 2-pt shot from 9 ft
3:41.0,Defensive rebound by J. Brown,,71-66,,
3:35.0,J. Brown misses 2-pt shot from 3 ft (block by M. Gortat),,71-66,,
3:32.0,,,71-66,,Defensive rebound by M. Gortat
3:31.0,,,71-66,,Shooting foul by T. Rozier (drawn by O. Porter)
3:31.0,,,71-67,1,O. Porter makes free throw 1 of 2
3:31.0,,,71-67,,K. Oubre enters the game for M. Morris
3:31.0,,,71-67,,I. Mahinmi enters the game for M. Gortat
3:31.0,D. Theis enters the game for K. Irving,,71-67,,
3:31.0,,,71-68,1,O. Porter makes free throw 2 of 2
3:10.0,A. Horford makes 2-pt shot from 5 ft (assist by T. Rozier),2,73-68,,
2:49.0,,,73-68,,T. Satoransky misses 2-pt shot from 15 ft
2:45.0,Defensive rebound by A. Horford,,73-68,,
2:34.0,T. Rozier misses 2-pt shot from 13 ft,,73-68,,
2:32.0,,,73-68,,Defensive rebound by O. Porter
2:22.0,,,73-68,,O. Porter misses 2-pt shot from 2 ft
2:21.0,Defensive rebound by A. Horford,,73-68,,
2:13.0,,,73-68,,Personal foul by T. Satoransky (drawn by D. Theis)
2:13.0,Boston full timeout,,73-68,,
2:13.0,,,73-68,,T. Frazier enters the game for O. Porter
2:13.0,,,73-68,,M. Scott enters the game for T. Satoransky
2:13.0,J. Tatum enters the game for J. Brown,,73-68,,
2:02.0,A. Horford misses 3-pt shot from 26 ft,,73-68,,
2:00.0,Offensive rebound by Team,,73-68,,
2:00.0,,,73-68,,Loose ball foul by I. Mahinmi (drawn by A. Horford)
2:00.0,G. Monroe enters the game for A. Horford,,73-68,,
1:51.0,Turnover by T. Rozier (lost ball; steal by T. Frazier),,73-68,,
1:47.0,,,73-68,,T. Frazier misses 2-pt shot from 1 ft
1:43.0,,,73-68,,Offensive rebound by I. Mahinmi
1:43.0,,,73-70,2,I. Mahinmi makes 2-pt shot at rim
1:24.0,M. Morris makes 2-pt shot from 13 ft,2,75-70,,
1:00.0,,,75-70,,B. Beal misses 2-pt shot from 11 ft
0:56.0,Defensive rebound by M. Morris,,75-70,,
0:52.0,J. Tatum misses 3-pt shot from 25 ft,,75-70,,
0:48.0,Offensive rebound by G. Monroe,,75-70,,
0:45.0,G. Monroe misses 2-pt shot from 4 ft,,75-70,,
0:42.0,,,75-70,,Defensive rebound by I. Mahinmi
0:32.0,,,75-70,,B. Beal misses 2-pt shot from 14 ft
0:29.0,Defensive rebound by D. Theis,,75-70,,
0:18.0,Offensive foul by D. Theis (drawn by T. Frazier),,75-70,,
0:18.0,Turnover by D. Theis (offensive foul),,75-70,,
0:02.0,,,75-70,,B. Beal misses 2-pt shot from 18 ft
0:02.0,Defensive rebound by M. Morris,,75-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
12:00.0,,,75-71,1,J. Meeks makes technical free throw
11:44.0,,,75-71,,K. Oubre misses 2-pt shot from 8 ft
11:41.0,,,75-71,,Offensive rebound by I. Mahinmi
11:41.0,,,75-73,2,I. Mahinmi makes 2-pt shot at rim
11:29.0,Turnover by J. Tatum (bad pass; steal by T. Frazier),,75-73,,
11:27.0,Personal foul by M. Morris (drawn by K. Oubre),,75-73,,
11:11.0,,,75-75,2,I. Mahinmi makes 2-pt shot from 1 ft (assist by T. Frazier)
10:57.0,Offensive foul by J. Tatum (drawn by J. Meeks),,75-75,,
10:57.0,Turnover by J. Tatum (offensive foul),,75-75,,
10:37.0,,,75-75,,Turnover by M. Scott (turnover)
10:21.0,G. Monroe makes 2-pt shot from 6 ft (assist by J. Tatum),2,77-75,,
10:01.0,,,77-75,,M. Scott misses 3-pt shot from 26 ft
9:57.0,Defensive rebound by M. Morris,,77-75,,
9:38.0,Shooting foul by T. Frazier (drawn by T. Rozier),,77-75,,
9:38.0,T. Rozier makes free throw 1 of 2,1,78-75,,
9:38.0,T. Rozier makes free throw 2 of 2,1,79-75,,
9:31.0,,,79-75,,Turnover by T. Frazier (bad pass; steal by J. Tatum)
9:22.0,Shooting foul by I. Mahinmi (drawn by J. Tatum),,79-75,,
9:22.0,J. Tatum makes free throw 1 of 2,1,80-75,,
9:22.0,J. Tatum misses free throw 2 of 2,,80-75,,
9:20.0,,,80-75,,Defensive rebound by M. Scott
9:07.0,,,80-75,,Turnover by K. Oubre (out of bounds lost ball)
8:58.0,Shooting foul by I. Mahinmi (drawn by G. Monroe),,80-75,,
8:58.0,G. Monroe misses free throw 1 of 2,,80-75,,
8:58.0,Offensive rebound by Team,,80-75,,
8:58.0,G. Monroe misses free throw 2 of 2,,80-75,,
8:54.0,,,80-75,,Defensive rebound by M. Scott
8:36.0,,,80-75,,K. Oubre misses 2-pt shot from 1 ft
8:34.0,Defensive rebound by G. Monroe,,80-75,,
8:33.0,,,80-75,,Technical foul by K. Oubre
8:33.0,J. Tatum makes technical free throw,1,81-75,,
8:21.0,M. Morris makes 2-pt shot from 18 ft,2,83-75,,
8:20.0,,,83-75,,Washington full timeout
8:20.0,,,83-75,,T. Satoransky enters the game for T. Frazier
8:20.0,,,83-75,,B. Beal enters the game for M. Scott
8:20.0,,,83-75,,O. Porter enters the game for J. Meeks
7:59.0,,,83-75,,K. Oubre misses 2-pt shot from 8 ft
7:57.0,Defensive rebound by T. Rozier,,83-75,,
7:46.0,,,83-75,,Personal foul by O. Porter (drawn by G. Monroe)
7:36.0,Turnover by J. Tatum (lost ball; steal by B. Beal),,83-75,,
7:30.0,,,83-78,3,B. Beal makes 3-pt shot from 26 ft (assist by T. Satoransky)
7:08.0,M. Morris makes 2-pt shot from 17 ft,2,85-78,,
6:47.0,,,85-78,,O. Porter misses 2-pt shot from 5 ft
6:42.0,,,85-78,,Offensive rebound by I. Mahinmi
6:42.0,,,85-78,,I. Mahinmi misses 2-pt shot at rim
6:41.0,Defensive rebound by J. Tatum,,85-78,,
6:41.0,Shooting foul by K. Oubre (drawn by J. Tatum),,85-78,,
6:41.0,J. Tatum misses free throw 1 of 2,,85-78,,
6:41.0,Offensive rebound by Team,,85-78,,
6:41.0,,,85-78,,M. Morris enters the game for I. Mahinmi
6:41.0,K. Irving enters the game for T. Rozier,,85-78,,
6:41.0,J. Tatum makes free throw 2 of 2,1,86-78,,
6:29.0,,,86-78,,B. Beal misses 2-pt shot from 6 ft
6:27.0,Defensive rebound by K. Irving,,86-78,,
6:19.0,M. Morris misses 2-pt shot from 4 ft,,86-78,,
6:19.0,,,86-78,,Defensive rebound by Team
6:19.0,A. Horford enters the game for G. Monroe,,86-78,,
6:04.0,,,86-78,,B. Beal misses 3-pt shot from 24 ft
6:00.0,Defensive rebound by M. Morris,,86-78,,
5:48.0,K. Irving misses 2-pt shot from 5 ft,,86-78,,
5:45.0,,,86-78,,Defensive rebound by B. Beal
5:39.0,,,86-78,,O. Porter misses 2-pt shot from 17 ft
5:36.0,Defensive rebound by D. Theis,,86-78,,
5:23.0,M. Morris makes 2-pt shot from 14 ft,2,88-78,,
5:23.0,,,88-78,,Washington full timeout
5:23.0,J. Brown enters the game for J. Tatum,,88-78,,
5:09.0,Personal foul by J. Brown (drawn by M. Morris),,88-78,,
4:57.0,,,88-81,3,T. Satoransky makes 3-pt shot from 25 ft (assist by B. Beal)
4:45.0,K. Irving misses 2-pt shot from 5 ft,,88-81,,
4:41.0,,,88-81,,Defensive rebound by M. Morris
4:38.0,,,88-81,,B. Beal misses 3-pt shot from 25 ft
4:35.0,,,88-81,,Offensive rebound by O. Porter
4:34.0,,,88-83,2,O. Porter makes 2-pt shot at rim
4:13.0,Boston full timeout,,88-83,,
4:13.0,T. Rozier enters the game for D. Theis,,88-83,,
4:08.0,J. Brown makes 2-pt shot at rim,2,90-83,,
3:50.0,,,90-85,2,M. Morris makes 2-pt shot from 12 ft (assist by B. Beal)
3:33.0,Turnover by M. Morris (lost ball; steal by O. Porter),,90-85,,
3:23.0,,,90-87,2,B. Beal makes 2-pt shot from 1 ft (assist by M. Morris)
3:05.0,,,90-87,,Personal foul by M. Morris (drawn by K. Irving)
3:05.0,K. Irving makes free throw 1 of 2,1,91-87,,
3:05.0,K. Irving misses free throw 2 of 2,,91-87,,
3:03.0,Offensive rebound by A. Horford,,91-87,,
3:02.0,Turnover by A. Horford (lost ball; steal by M. Morris),,91-87,,
2:45.0,,,91-89,2,M. Morris makes 2-pt shot from 1 ft (assist by B. Beal)
2:29.0,K. Irving misses 3-pt shot from 25 ft,,91-89,,
2:26.0,,,91-89,,Defensive rebound by M. Morris
2:11.0,,,91-92,3,K. Oubre makes 3-pt shot from 24 ft (assist by M. Morris)
1:48.0,Shooting foul by M. Morris (drawn by M. Morris),,91-92,,
1:48.0,M. Morris makes free throw 1 of 2,1,92-92,,
1:48.0,M. Morris makes free throw 2 of 2,1,93-92,,
1:34.0,,,93-92,,B. Beal misses 3-pt shot from 24 ft
1:31.0,Defensive rebound by Team,,93-92,,
1:18.0,M. Morris misses 2-pt shot from 18 ft,,93-92,,
1:14.0,,,93-92,,Defensive rebound by B. Beal
0:56.0,,,93-94,2,O. Porter makes 2-pt shot from 17 ft (assist by B. Beal)
