time,Miami,pts.away,score,pts.home,Detroit
1:48.0,,,23-26,2,T. Harris makes 2-pt shot from 2 ft (assist by A. Drummond)
1:35.0,K. Olynyk misses 3-pt shot from 27 ft,,23-26,,
1:27.0,,,23-26,,Defensive rebound by L. Kennard
1:25.0,,,23-29,3,T. Harris makes 3-pt shot from 26 ft (assist by I. Smith)
1:08.0,K. Olynyk makes 3-pt shot from 26 ft (assist by G. Dragic),3,26-29,,
0:55.0,,,26-31,2,I. Smith makes 2-pt shot from 2 ft
0:45.0,T. Johnson makes 3-pt shot from 25 ft (assist by J. Johnson),3,29-31,,
0:32.0,,,29-31,,I. Smith misses 2-pt shot from 4 ft (block by G. Dragic)
0:29.0,Defensive rebound by G. Dragic,,29-31,,
0:24.0,T. Johnson misses 3-pt shot from 23 ft,,29-31,,
0:22.0,,,29-31,,Defensive rebound by T. Harris
0:01.0,,,29-31,,L. Galloway misses 3-pt shot from 27 ft
0:01.0,,,29-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,K. Olynyk makes 2-pt shot at rim (assist by D. Waiters),2,31-31,,
11:36.0,Shooting foul by E. Moreland (drawn by K. Olynyk),,31-31,,
11:36.0,K. Olynyk misses free throw 1 of 1,,31-31,,
11:34.0,,,31-31,,Defensive rebound by E. Moreland
11:16.0,,,31-31,,A. Tolliver misses 2-pt shot at rim
11:16.0,Defensive rebound by Team,,31-31,,
10:55.0,K. Olynyk makes 3-pt shot from 22 ft (assist by W. Ellington),3,34-31,,
10:32.0,,,34-31,,L. Galloway misses 2-pt shot from 22 ft
10:29.0,Defensive rebound by W. Ellington,,34-31,,
10:23.0,J. Johnson makes 2-pt shot at rim (assist by T. Johnson),2,36-31,,
10:17.0,,,36-31,,Detroit full timeout
10:04.0,,,36-34,3,L. Kennard makes 3-pt shot from 26 ft (assist by I. Smith)
9:40.0,W. Ellington makes 3-pt shot from 24 ft (assist by J. Johnson),3,39-34,,
9:29.0,,,39-34,,Turnover by L. Kennard (bad pass; steal by J. Johnson)
9:21.0,W. Ellington makes 3-pt shot from 24 ft (assist by D. Waiters),3,42-34,,
9:03.0,,,42-36,2,L. Kennard makes 2-pt shot from 16 ft (assist by I. Smith)
8:44.0,K. Olynyk misses 3-pt shot from 26 ft,,42-36,,
8:41.0,,,42-36,,Defensive rebound by I. Smith
8:37.0,,,42-38,2,I. Smith makes 2-pt shot from 1 ft
8:24.0,J. Johnson misses 2-pt shot from 2 ft (block by E. Moreland),,42-38,,
8:20.0,,,42-38,,Defensive rebound by L. Kennard
8:11.0,,,42-38,,E. Moreland misses 2-pt shot from 3 ft
8:08.0,Defensive rebound by T. Johnson,,42-38,,
8:03.0,,,42-38,,Personal foul by L. Kennard (drawn by D. Waiters)
8:03.0,J. Richardson enters the game for T. Johnson,,42-38,,
7:56.0,D. Waiters misses 2-pt shot from 19 ft,,42-38,,
7:51.0,,,42-38,,Defensive rebound by A. Tolliver
7:47.0,,,42-38,,I. Smith misses 2-pt shot from 2 ft
7:44.0,Defensive rebound by K. Olynyk,,42-38,,
7:39.0,,,42-38,,Personal foul by E. Moreland (drawn by D. Waiters)
7:31.0,D. Waiters misses 2-pt shot from 4 ft (block by E. Moreland),,42-38,,
7:31.0,Offensive rebound by Team,,42-38,,
7:29.0,J. Richardson misses 2-pt shot from 17 ft,,42-38,,
7:26.0,,,42-38,,Defensive rebound by L. Kennard
7:18.0,,,42-38,,L. Kennard misses 2-pt shot from 6 ft
7:18.0,Defensive rebound by Team,,42-38,,
7:18.0,,,42-38,,Loose ball foul by E. Moreland (drawn by K. Olynyk)
7:18.0,,,42-38,,A. Drummond enters the game for E. Moreland
7:18.0,H. Whiteside enters the game for K. Olynyk,,42-38,,
7:05.0,H. Whiteside misses 2-pt shot from 12 ft,,42-38,,
6:59.0,,,42-38,,Defensive rebound by L. Kennard
6:56.0,,,42-41,3,L. Galloway makes 3-pt shot from 23 ft (assist by I. Smith)
6:37.0,J. Johnson misses 2-pt shot from 3 ft,,42-41,,
6:34.0,,,42-41,,Defensive rebound by L. Galloway
6:32.0,,,42-41,,L. Kennard misses 3-pt shot from 25 ft
6:26.0,Defensive rebound by H. Whiteside,,42-41,,
6:17.0,J. Richardson misses 3-pt shot from 23 ft,,42-41,,
6:14.0,Offensive rebound by D. Waiters,,42-41,,
6:09.0,W. Ellington misses 3-pt shot from 28 ft,,42-41,,
6:09.0,,,42-41,,Defensive rebound by I. Smith
5:59.0,,,42-44,3,A. Tolliver makes 3-pt shot from 29 ft (assist by I. Smith)
5:50.0,Miami full timeout,,42-44,,
5:50.0,,,42-44,,A. Bradley enters the game for L. Kennard
5:50.0,,,42-44,,R. Bullock enters the game for L. Galloway
5:50.0,,,42-44,,R. Jackson enters the game for I. Smith
5:50.0,J. Winslow enters the game for J. Johnson,,42-44,,
5:43.0,Turnover by W. Ellington (traveling),,42-44,,
5:29.0,,,42-46,2,A. Drummond makes 2-pt shot from 2 ft (assist by R. Jackson)
5:12.0,J. Richardson makes 2-pt shot from 4 ft,2,44-46,,
5:12.0,Shooting foul by A. Drummond (drawn by J. Richardson),,44-46,,
5:12.0,G. Dragic enters the game for W. Ellington,,44-46,,
5:12.0,,,44-46,,T. Harris enters the game for A. Bradley
5:12.0,,,44-46,,A. Bradley enters the game for A. Tolliver
5:12.0,J. Richardson makes free throw 1 of 1,1,45-46,,
5:01.0,,,45-46,,A. Bradley misses 2-pt shot from 19 ft
4:58.0,Defensive rebound by G. Dragic,,45-46,,
4:55.0,D. Waiters makes 2-pt shot from 1 ft,2,47-46,,
4:37.0,,,47-46,,Turnover by A. Drummond (bad pass; steal by J. Winslow)
4:32.0,D. Waiters makes 2-pt shot at rim,2,49-46,,
4:21.0,,,49-46,,Turnover by R. Jackson (lost ball; steal by D. Waiters)
4:15.0,G. Dragic misses 2-pt shot from 3 ft,,49-46,,
4:15.0,Offensive rebound by J. Winslow,,49-46,,
4:15.0,J. Winslow misses 2-pt shot at rim,,49-46,,
4:15.0,,,49-46,,Defensive rebound by Team
4:15.0,Personal foul by J. Winslow (drawn by R. Bullock),,49-46,,
3:58.0,,,49-46,,Turnover by A. Bradley (bad pass)
3:42.0,H. Whiteside misses 2-pt shot from 4 ft,,49-46,,
3:39.0,,,49-46,,Defensive rebound by T. Harris
3:32.0,,,49-46,,R. Jackson misses 2-pt shot from 3 ft
3:32.0,,,49-46,,Offensive rebound by A. Drummond
3:29.0,,,49-46,,A. Drummond misses 2-pt shot from 4 ft
3:29.0,Defensive rebound by G. Dragic,,49-46,,
3:26.0,Offensive charge foul by D. Waiters (drawn by R. Bullock),,49-46,,
3:26.0,Turnover by D. Waiters (offensive foul),,49-46,,
3:26.0,T. Johnson enters the game for D. Waiters,,49-46,,
3:10.0,,,49-46,,T. Harris misses 2-pt shot from 2 ft (block by H. Whiteside)
3:06.0,Defensive rebound by J. Winslow,,49-46,,
3:03.0,T. Johnson makes 3-pt shot from 23 ft (assist by J. Richardson),3,52-46,,
2:45.0,,,52-48,2,R. Jackson makes 2-pt shot at rim
2:25.0,J. Winslow makes 2-pt shot at rim (assist by G. Dragic),2,54-48,,
2:12.0,,,54-48,,A. Bradley misses 2-pt shot from 5 ft
2:11.0,,,54-48,,Offensive rebound by A. Drummond
2:11.0,,,54-48,,Shooting foul by J. Winslow (drawn by A. Drummond)
2:11.0,,,54-49,1,A. Drummond makes free throw 1 of 2
2:11.0,J. Johnson enters the game for J. Winslow,,54-49,,
2:11.0,K. Olynyk enters the game for H. Whiteside,,54-49,,
2:11.0,,,54-49,,A. Drummond misses free throw 2 of 2
2:08.0,Defensive rebound by J. Johnson,,54-49,,
1:52.0,J. Richardson makes 2-pt shot from 19 ft (assist by T. Johnson),2,56-49,,
1:44.0,,,56-49,,Detroit full timeout
1:42.0,,,56-51,2,R. Jackson makes 2-pt shot from 2 ft (assist by R. Bullock)
1:24.0,Offensive charge foul by G. Dragic (drawn by R. Jackson),,56-51,,
1:24.0,Turnover by G. Dragic (offensive foul),,56-51,,
1:04.0,,,56-53,2,A. Bradley makes 2-pt shot from 18 ft (assist by A. Drummond)
0:43.0,G. Dragic misses 2-pt shot from 2 ft,,56-53,,
0:41.0,,,56-53,,Defensive rebound by A. Drummond
0:35.0,,,56-53,,T. Harris misses 2-pt shot from 5 ft
0:33.0,Defensive rebound by J. Johnson,,56-53,,
0:24.0,Offensive foul by K. Olynyk (drawn by A. Drummond),,56-53,,
0:24.0,Turnover by K. Olynyk (offensive foul),,56-53,,
0:04.0,,,56-53,,R. Jackson misses 2-pt shot from 3 ft
0:02.0,,,56-53,,Offensive rebound by A. Drummond
0:02.0,,,56-53,,A. Drummond misses 2-pt shot at rim
0:02.0,,,56-53,,Offensive rebound by A. Drummond
0:02.0,,,56-55,2,A. Drummond makes 2-pt shot at rim
0:02.0,,,56-55,,Personal foul by R. Jackson (drawn by G. Dragic)
0:02.0,G. Dragic makes free throw 1 of 2,1,57-55,,
0:02.0,G. Dragic makes free throw 2 of 2,1,58-55,,
0:00.0,,,58-55,,R. Jackson misses 3-pt shot from 60 ft
0:00.0,,,58-55,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,J. Winslow misses 2-pt shot from 14 ft,,58-55,,
11:43.0,,,58-55,,Defensive rebound by A. Drummond
11:43.0,Personal foul by H. Whiteside (drawn by A. Drummond),,58-55,,
11:32.0,,,58-57,2,T. Harris makes 2-pt shot from 6 ft
11:13.0,J. Winslow makes 2-pt shot from 2 ft (assist by D. Waiters),2,60-57,,
11:00.0,,,60-60,3,T. Harris makes 3-pt shot from 25 ft (assist by R. Jackson)
10:41.0,D. Waiters makes 2-pt shot from 5 ft,2,62-60,,
10:17.0,,,62-60,,A. Bradley misses 3-pt shot from 24 ft
10:13.0,Defensive rebound by H. Whiteside,,62-60,,
10:06.0,D. Waiters makes 3-pt shot from 23 ft (assist by G. Dragic),3,65-60,,
10:06.0,,,65-60,,Detroit full timeout
9:47.0,Personal foul by H. Whiteside (drawn by A. Drummond),,65-60,,
9:41.0,,,65-60,,Turnover by A. Drummond (offensive goaltending)
9:20.0,H. Whiteside makes 2-pt shot from 2 ft (assist by D. Waiters),2,67-60,,
9:09.0,,,67-62,2,R. Jackson makes 2-pt shot from 15 ft
8:50.0,H. Whiteside makes 2-pt shot from 8 ft,2,69-62,,
8:30.0,,,69-62,,T. Harris misses 3-pt shot from 26 ft
8:26.0,Defensive rebound by J. Richardson,,69-62,,
8:16.0,H. Whiteside makes 2-pt shot from 2 ft (assist by G. Dragic),2,71-62,,
8:02.0,,,71-62,,T. Harris misses 2-pt shot from 4 ft
8:02.0,,,71-62,,A. Drummond misses 2-pt shot from 1 ft
8:02.0,,,71-62,,Offensive rebound by A. Drummond
8:00.0,,,71-62,,Offensive rebound by A. Drummond
7:59.0,,,71-62,,A. Drummond misses 2-pt shot from 2 ft
7:59.0,Defensive rebound by J. Winslow,,71-62,,
7:48.0,Turnover by D. Waiters (traveling),,71-62,,
7:33.0,,,71-62,,A. Bradley misses 3-pt shot from 27 ft
7:28.0,Defensive rebound by H. Whiteside,,71-62,,
7:07.0,D. Waiters misses 3-pt shot from 22 ft,,71-62,,
7:05.0,Offensive rebound by H. Whiteside,,71-62,,
7:03.0,H. Whiteside makes 2-pt shot from 2 ft,2,73-62,,
6:44.0,,,73-65,3,A. Bradley makes 3-pt shot from 23 ft (assist by R. Jackson)
6:30.0,J. Winslow misses 2-pt shot from 2 ft,,73-65,,
6:28.0,,,73-65,,Defensive rebound by R. Bullock
6:24.0,,,73-68,3,A. Bradley makes 3-pt shot from 26 ft (assist by R. Bullock)
6:24.0,Miami full timeout,,73-68,,
6:16.0,H. Whiteside makes 2-pt shot from 18 ft (assist by J. Richardson),2,75-68,,
5:52.0,,,75-68,,R. Bullock misses 2-pt shot from 2 ft (block by H. Whiteside)
5:52.0,,,75-68,,Offensive rebound by R. Bullock
5:52.0,,,75-68,,R. Bullock misses 2-pt shot from 2 ft
5:52.0,Defensive rebound by Team,,75-68,,
5:52.0,,,75-68,,Personal foul by A. Drummond (drawn by H. Whiteside)
5:52.0,T. Johnson enters the game for J. Richardson,,75-68,,
5:40.0,J. Winslow misses 2-pt shot from 21 ft,,75-68,,
5:36.0,,,75-68,,Defensive rebound by A. Bradley
5:32.0,,,75-68,,Turnover by A. Bradley (bad pass; steal by D. Waiters)
5:28.0,G. Dragic misses 2-pt shot from 4 ft,,75-68,,
5:25.0,,,75-68,,Defensive rebound by A. Bradley
5:15.0,,,75-68,,Shooting foul by T. Johnson (drawn by T. Harris)
5:15.0,,,75-69,1,T. Harris makes free throw 1 of 2
5:15.0,,,75-69,,L. Kennard enters the game for R. Bullock
5:15.0,,,75-70,1,T. Harris makes free throw 2 of 2
5:02.0,T. Johnson misses 3-pt shot from 27 ft,,75-70,,
4:58.0,,,75-70,,Defensive rebound by A. Bradley
4:54.0,,,75-70,,R. Jackson misses 2-pt shot from 5 ft
4:52.0,Defensive rebound by H. Whiteside,,75-70,,
4:40.0,H. Whiteside misses 2-pt shot from 4 ft (block by A. Drummond),,75-70,,
4:36.0,,,75-70,,Defensive rebound by R. Jackson
4:33.0,,,75-73,3,T. Harris makes 3-pt shot from 27 ft (assist by R. Jackson)
4:12.0,D. Waiters misses 3-pt shot from 26 ft,,75-73,,
4:12.0,,,75-73,,Defensive rebound by R. Jackson
4:03.0,,,75-73,,Turnover by R. Jackson (bad pass; steal by J. Winslow)
4:03.0,,,75-73,,Personal foul by R. Jackson (drawn by D. Waiters)
4:03.0,,,75-73,,I. Smith enters the game for R. Jackson
4:03.0,J. Johnson enters the game for J. Winslow,,75-73,,
3:48.0,,,75-73,,Personal foul by A. Drummond (drawn by H. Whiteside)
3:47.0,H. Whiteside misses 2-pt shot from 3 ft,,75-73,,
3:47.0,Offensive rebound by Team,,75-73,,
3:44.0,D. Waiters makes 2-pt shot from 19 ft (assist by G. Dragic),2,77-73,,
3:29.0,,,77-75,2,T. Harris makes 2-pt shot at rim (assist by I. Smith)
3:12.0,H. Whiteside misses 2-pt shot from 2 ft,,77-75,,
3:10.0,,,77-75,,Defensive rebound by A. Drummond
3:08.0,,,77-77,2,A. Bradley makes 2-pt shot at rim (assist by L. Kennard)
2:53.0,Shooting foul by T. Harris (drawn by H. Whiteside),,77-77,,
2:53.0,H. Whiteside misses free throw 1 of 2,,77-77,,
2:53.0,Offensive rebound by Team,,77-77,,
2:53.0,,,77-77,,L. Galloway enters the game for A. Bradley
2:53.0,J. Richardson enters the game for D. Waiters,,77-77,,
2:53.0,H. Whiteside makes free throw 2 of 2,1,78-77,,
2:40.0,,,78-79,2,A. Drummond makes 2-pt shot from 1 ft
2:26.0,,,78-79,,Personal foul by L. Galloway (drawn by J. Richardson)
2:26.0,J. Richardson makes free throw 1 of 2,1,79-79,,
2:26.0,K. Olynyk enters the game for H. Whiteside,,79-79,,
2:26.0,J. Richardson misses free throw 2 of 2,,79-79,,
2:23.0,,,79-79,,Defensive rebound by A. Drummond
2:11.0,,,79-79,,L. Kennard misses 3-pt shot from 25 ft
2:08.0,,,79-79,,Offensive rebound by I. Smith
2:04.0,Personal foul by K. Olynyk (drawn by A. Drummond),,79-79,,
2:04.0,,,79-79,,A. Tolliver enters the game for A. Drummond
1:49.0,,,79-79,,L. Kennard misses 2-pt shot from 3 ft (block by J. Richardson)
1:46.0,Defensive rebound by J. Johnson,,79-79,,
1:38.0,G. Dragic misses 3-pt shot from 26 ft,,79-79,,
1:34.0,,,79-79,,Defensive rebound by T. Harris
1:29.0,,,79-82,3,A. Tolliver makes 3-pt shot from 23 ft (assist by L. Kennard)
1:10.0,G. Dragic makes 2-pt shot from 1 ft,2,81-82,,
0:56.0,Violation by K. Olynyk (kicked ball),,81-82,,
0:56.0,W. Ellington enters the game for G. Dragic,,81-82,,
0:48.0,,,81-82,,Shooting foul by K. Olynyk (drawn by I. Smith)
0:48.0,,,81-83,1,I. Smith makes free throw 1 of 2
0:48.0,,,81-83,,I. Smith misses free throw 2 of 2
0:46.0,Defensive rebound by K. Olynyk,,81-83,,
0:34.0,W. Ellington misses 3-pt shot from 24 ft,,81-83,,
0:31.0,,,81-83,,Defensive rebound by I. Smith
0:27.0,,,81-83,,T. Harris misses 3-pt shot from 23 ft
0:23.0,Defensive rebound by J. Richardson,,81-83,,
0:05.0,J. Johnson misses 2-pt shot from 1 ft,,81-83,,
0:02.0,,,81-83,,Defensive rebound by T. Harris
0:00.0,,,81-83,,L. Kennard misses 3-pt shot from 27 ft
0:00.0,,,81-83,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,81-83,,L. Galloway misses 3-pt shot from 26 ft
11:40.0,Defensive rebound by T. Johnson,,81-83,,
11:30.0,J. Johnson makes 2-pt shot from 1 ft,2,83-83,,
11:30.0,Shooting foul by T. Harris (drawn by J. Johnson),,83-83,,
11:30.0,J. Johnson makes free throw 1 of 1,1,84-83,,
11:17.0,,,84-86,3,A. Tolliver makes 3-pt shot from 27 ft (assist by L. Kennard)
11:01.0,J. Johnson misses 2-pt shot from 16 ft,,84-86,,
11:01.0,,,84-86,,Defensive rebound by L. Galloway
10:48.0,,,84-88,2,I. Smith makes 2-pt shot at rim (assist by T. Harris)
10:33.0,Turnover by K. Olynyk (bad pass),,84-88,,
10:20.0,,,84-88,,Shooting foul by K. Olynyk (drawn by L. Galloway)
10:20.0,,,84-88,,L. Galloway misses free throw 1 of 2
10:20.0,,,84-88,,Offensive rebound by Team
10:20.0,D. Waiters enters the game for W. Ellington,,84-88,,
10:20.0,,,84-89,1,L. Galloway makes free throw 2 of 2
10:04.0,J. Johnson makes 2-pt shot from 2 ft (assist by J. Richardson),2,86-89,,
9:48.0,,,86-91,2,L. Kennard makes 2-pt shot from 14 ft (assist by A. Tolliver)
9:33.0,T. Johnson misses 3-pt shot from 24 ft,,86-91,,
9:33.0,,,86-91,,Defensive rebound by A. Tolliver
9:17.0,Miami full timeout,,86-91,,
9:17.0,,,86-91,,A. Drummond enters the game for T. Harris
9:17.0,H. Whiteside enters the game for K. Olynyk,,86-91,,
9:16.0,,,86-93,2,I. Smith makes 2-pt shot from 16 ft
8:56.0,H. Whiteside makes 2-pt shot from 2 ft (assist by J. Richardson),2,88-93,,
8:39.0,,,88-93,,Turnover by L. Kennard (lost ball; steal by D. Waiters)
8:35.0,D. Waiters makes 2-pt shot at rim,2,90-93,,
8:16.0,,,90-93,,Turnover by A. Drummond (bad pass)
7:55.0,Shooting foul by A. Tolliver (drawn by J. Johnson),,90-93,,
7:55.0,J. Johnson makes free throw 1 of 2,1,91-93,,
7:55.0,J. Johnson makes free throw 2 of 2,1,92-93,,
7:40.0,,,92-95,2,L. Kennard makes 2-pt shot from 8 ft
7:12.0,D. Waiters misses 3-pt shot from 28 ft,,92-95,,
7:07.0,Offensive rebound by H. Whiteside,,92-95,,
7:04.0,H. Whiteside misses 2-pt shot from 12 ft,,92-95,,
7:01.0,,,92-95,,Defensive rebound by L. Galloway
6:56.0,,,92-98,3,L. Kennard makes 3-pt shot from 25 ft (assist by A. Tolliver)
6:39.0,T. Johnson misses 3-pt shot from 23 ft,,92-98,,
6:34.0,,,92-98,,Defensive rebound by L. Galloway
6:28.0,,,92-100,2,I. Smith makes 2-pt shot from 1 ft
6:28.0,,,92-100,,Shooting foul by J. Johnson (drawn by I. Smith)
6:28.0,,,92-100,,A. Bradley enters the game for L. Galloway
6:28.0,,,92-100,,I. Smith misses free throw 1 of 1
6:21.0,Defensive rebound by D. Waiters,,92-100,,
6:19.0,Miami full timeout,,92-100,,
6:19.0,,,92-100,,R. Jackson enters the game for I. Smith
6:19.0,G. Dragic enters the game for J. Richardson,,92-100,,
6:09.0,,,92-100,,Violation by R. Jackson (kicked ball)
6:02.0,,,92-100,,Personal foul by R. Jackson (drawn by H. Whiteside)
5:50.0,D. Waiters misses 3-pt shot from 28 ft,,92-100,,
5:47.0,,,92-100,,Defensive rebound by A. Bradley
5:39.0,,,92-102,2,R. Jackson makes 2-pt shot from 8 ft
5:16.0,G. Dragic misses 2-pt shot from 7 ft (block by L. Kennard),,92-102,,
5:12.0,Offensive rebound by G. Dragic,,92-102,,
5:11.0,G. Dragic misses 2-pt shot from 3 ft (block by A. Tolliver),,92-102,,
5:10.0,,,92-102,,Defensive rebound by L. Kennard
5:10.0,,,92-102,,Shooting foul by J. Johnson (drawn by A. Drummond)
5:10.0,,,92-102,,A. Drummond misses free throw 1 of 2
5:10.0,,,92-102,,Offensive rebound by Team
5:10.0,J. Richardson enters the game for J. Johnson,,92-102,,
5:10.0,,,92-103,1,A. Drummond makes free throw 2 of 2
4:49.0,D. Waiters misses 2-pt shot from 3 ft,,92-103,,
4:46.0,,,92-103,,Defensive rebound by A. Drummond
4:42.0,Personal foul by G. Dragic (drawn by R. Jackson),,92-103,,
4:42.0,,,92-103,,T. Harris enters the game for A. Tolliver
4:33.0,,,92-103,,Turnover by R. Jackson (traveling)
4:19.0,J. Richardson misses 3-pt shot from 27 ft,,92-103,,
4:12.0,Offensive rebound by H. Whiteside,,92-103,,
4:12.0,H. Whiteside makes 2-pt shot from 1 ft,2,94-103,,
3:58.0,,,94-105,2,A. Bradley makes 2-pt shot from 17 ft (assist by A. Drummond)
3:39.0,D. Waiters misses 3-pt shot from 23 ft,,94-105,,
3:36.0,,,94-105,,Defensive rebound by R. Jackson
3:31.0,,,94-105,,Turnover by R. Jackson (bad pass; steal by J. Richardson)
3:22.0,H. Whiteside misses 2-pt shot from 3 ft,,94-105,,
3:18.0,,,94-105,,Defensive rebound by A. Drummond
3:07.0,,,94-105,,R. Jackson misses 2-pt shot from 7 ft
3:04.0,Defensive rebound by H. Whiteside,,94-105,,
2:51.0,D. Waiters misses 3-pt shot from 30 ft,,94-105,,
2:47.0,Offensive rebound by J. Richardson,,94-105,,
2:42.0,H. Whiteside makes 2-pt shot at rim (assist by T. Johnson),2,96-105,,
2:42.0,Shooting foul by A. Drummond (drawn by H. Whiteside),,96-105,,
2:42.0,J. Johnson enters the game for T. Johnson,,96-105,,
2:42.0,H. Whiteside makes free throw 1 of 1,1,97-105,,
2:24.0,,,97-107,2,L. Kennard makes 2-pt shot from 3 ft
