time,Golden State,pts.away,score,pts.home,LA Clippers
7:48.0,D. Green makes 2-pt shot at rim (assist by A. Iguodala),2,6-6,,
7:37.0,,,6-6,,B. Griffin misses 3-pt shot from 25 ft
7:35.0,Defensive rebound by Team,,6-6,,
7:23.0,S. Curry misses 3-pt shot from 22 ft,,6-6,,
7:20.0,,,6-6,,Defensive rebound by J. Evans
7:09.0,,,6-8,2,B. Griffin makes 2-pt shot from 15 ft (assist by D. Jordan)
6:59.0,K. Thompson misses 2-pt shot from 14 ft (block by C. Williams),,6-8,,
6:57.0,Offensive rebound by K. Thompson,,6-8,,
6:55.0,S. Curry makes 3-pt shot from 27 ft (assist by D. Green),3,9-8,,
6:31.0,,,9-8,,S. Dekker misses 2-pt shot from 1 ft (block by A. Iguodala)
6:28.0,Defensive rebound by A. Iguodala,,9-8,,
6:26.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by A. Iguodala),2,11-8,,
6:26.0,,,11-8,,LA Clippers full timeout
6:26.0,,,11-8,,L. Williams enters the game for S. Dekker
6:13.0,,,11-8,,Shooting foul by Z. Pachulia (drawn by B. Griffin)
6:13.0,,,11-9,1,B. Griffin makes free throw 1 of 2
6:13.0,,,11-9,,B. Griffin misses free throw 2 of 2
6:09.0,Defensive rebound by D. Green,,11-9,,
6:01.0,Turnover by K. Thompson (bad pass),,11-9,,
5:44.0,,,11-9,,L. Williams misses 2-pt shot from 15 ft
5:42.0,Defensive rebound by S. Curry,,11-9,,
5:38.0,S. Curry makes 3-pt shot from 25 ft,3,14-9,,
5:27.0,Personal foul by A. Iguodala (drawn by L. Williams),,14-9,,
5:27.0,J. McGee enters the game for Z. Pachulia,,14-9,,
5:22.0,,,14-11,2,J. Evans makes 2-pt shot from 2 ft
5:22.0,Violation by J. McGee (def goaltending),,14-11,,
5:08.0,Shooting foul by J. Evans (drawn by S. Curry),,14-11,,
5:08.0,S. Curry makes free throw 1 of 3,1,15-11,,
5:08.0,S. Curry makes free throw 2 of 3,1,16-11,,
5:08.0,,,16-11,,T. Wallace enters the game for J. Evans
5:08.0,S. Curry makes free throw 3 of 3,1,17-11,,
4:57.0,,,17-14,3,L. Williams makes 3-pt shot from 25 ft
4:43.0,D. Green makes 3-pt shot from 25 ft (assist by S. Curry),3,20-14,,
4:26.0,,,20-16,2,L. Williams makes 2-pt shot from 1 ft
4:16.0,S. Curry makes 3-pt shot from 26 ft,3,23-16,,
3:59.0,,,23-16,,D. Jordan misses 2-pt shot from 1 ft
3:57.0,Defensive rebound by J. McGee,,23-16,,
3:46.0,K. Thompson misses 2-pt shot from 22 ft,,23-16,,
3:44.0,,,23-16,,Defensive rebound by L. Williams
3:41.0,,,23-16,,C. Williams misses 3-pt shot from 25 ft
3:38.0,Defensive rebound by K. Thompson,,23-16,,
3:35.0,S. Curry misses 3-pt shot from 26 ft,,23-16,,
3:32.0,Offensive rebound by D. Green,,23-16,,
3:29.0,S. Curry makes 3-pt shot from 24 ft (assist by D. Green),3,26-16,,
3:17.0,,,26-18,2,L. Williams makes 2-pt shot from 1 ft
3:15.0,Golden State full timeout,,26-18,,
3:15.0,,,26-18,,W. Johnson enters the game for D. Jordan
3:15.0,,,26-18,,M. Harrell enters the game for C. Williams
3:15.0,N. Young enters the game for A. Iguodala,,26-18,,
3:15.0,P. McCaw enters the game for K. Thompson,,26-18,,
3:02.0,D. Green misses 2-pt shot from 12 ft,,26-18,,
2:59.0,,,26-18,,Defensive rebound by B. Griffin
2:54.0,Shooting block foul by N. Young (drawn by B. Griffin),,26-18,,
2:54.0,,,26-19,1,B. Griffin makes free throw 1 of 2
2:54.0,,,26-20,1,B. Griffin makes free throw 2 of 2
2:42.0,P. McCaw misses 2-pt shot from 2 ft,,26-20,,
2:42.0,Offensive rebound by J. McGee,,26-20,,
2:42.0,J. McGee makes 2-pt shot at rim,2,28-20,,
2:42.0,Shooting foul by W. Johnson (drawn by J. McGee),,28-20,,
2:42.0,J. McGee makes free throw 1 of 1,1,29-20,,
2:23.0,,,29-20,,Turnover by B. Griffin (bad pass; steal by N. Young)
2:16.0,N. Young misses 2-pt shot from 22 ft,,29-20,,
2:14.0,Offensive rebound by S. Curry,,29-20,,
2:11.0,D. Green misses 2-pt shot from 2 ft (block by M. Harrell),,29-20,,
2:11.0,,,29-20,,Defensive rebound by T. Wallace
2:11.0,Technical foul by D. Green,,29-20,,
2:11.0,,,29-21,1,L. Williams makes technical free throw
2:11.0,,,29-21,,W. Reed enters the game for B. Griffin
2:11.0,K. Looney enters the game for D. Green,,29-21,,
1:58.0,,,29-21,,M. Harrell misses 2-pt shot from 3 ft
1:58.0,Defensive rebound by J. McGee,,29-21,,
1:42.0,P. McCaw misses 3-pt shot from 23 ft,,29-21,,
1:42.0,Offensive rebound by K. Looney,,29-21,,
1:39.0,O. Casspi enters the game for J. McGee,,29-21,,
1:39.0,Jump ball: T. Wallace vs. K. Looney (N. Young gains possession),,,,Jump ball: T. Wallace vs. K. Looney (N. Young gains possession)
1:30.0,Defensive rebound by N. Young,,29-21,,
1:30.0,Turnover by S. Curry (bad pass; steal by W. Johnson),,29-21,,
1:25.0,,,29-21,,Turnover by W. Johnson (bad pass; steal by S. Curry)
1:18.0,,,29-21,,Personal foul by M. Harrell (drawn by O. Casspi)
1:18.0,O. Casspi makes free throw 1 of 2,1,30-21,,
1:18.0,O. Casspi makes free throw 2 of 2,1,31-21,,
0:58.0,,,31-23,2,T. Wallace makes 2-pt shot from 4 ft
0:52.0,N. Young misses 3-pt shot from 24 ft,,31-23,,
0:48.0,,,31-23,,Defensive rebound by T. Wallace
0:48.0,Personal foul by N. Young (drawn by T. Wallace),,31-23,,
0:42.0,,,31-23,,Shooting foul by O. Casspi (drawn by L. Williams)
0:42.0,,,31-24,1,L. Williams makes free throw 1 of 2
0:42.0,,,31-25,1,L. Williams makes free throw 2 of 2
0:30.0,N. Young misses 3-pt shot from 22 ft,,31-25,,
0:27.0,,,31-25,,Defensive rebound by M. Harrell
0:08.0,,,31-28,3,L. Williams makes 3-pt shot from 23 ft
0:01.0,S. Curry misses 3-pt shot from 25 ft,,31-28,,
0:00.0,Offensive rebound by Team,,31-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,31-28,,T. Wallace misses 2-pt shot from 13 ft
11:44.0,Defensive rebound by S. Livingston,,31-28,,
11:29.0,D. West makes 2-pt shot from 15 ft (assist by K. Thompson),2,33-28,,
11:23.0,,,33-28,,Shooting foul by D. West (drawn by L. Williams)
11:23.0,,,33-29,1,L. Williams makes free throw 1 of 2
11:23.0,,,33-30,1,L. Williams makes free throw 2 of 2
11:11.0,Turnover by K. Thompson (bad pass),,33-30,,
11:01.0,Personal foul by K. Looney (drawn by M. Harrell),,33-30,,
10:55.0,,,33-32,2,M. Harrell makes 2-pt shot from 6 ft
10:32.0,K. Thompson misses 2-pt shot from 3 ft (block by L. Williams),,33-32,,
10:25.0,Offensive rebound by K. Thompson,,33-32,,
10:25.0,K. Thompson misses 2-pt shot at rim,,33-32,,
10:25.0,,,33-32,,Defensive rebound by W. Johnson
10:23.0,,,33-32,,T. Wallace misses 2-pt shot from 2 ft
10:23.0,Defensive rebound by O. Casspi,,33-32,,
10:11.0,D. West makes 2-pt shot from 15 ft (assist by K. Thompson),2,35-32,,
9:48.0,,,35-34,2,W. Reed makes 2-pt shot from 1 ft (assist by L. Williams)
9:35.0,S. Livingston makes 2-pt shot from 1 ft (assist by K. Looney),2,37-34,,
9:27.0,,,37-34,,Shooting foul by K. Looney (drawn by T. Wallace)
9:27.0,,,37-35,1,T. Wallace makes free throw 1 of 2
9:27.0,,,37-36,1,T. Wallace makes free throw 2 of 2
9:16.0,,,37-36,,Personal foul by W. Reed (drawn by D. West)
9:11.0,Shooting foul by T. Wallace (drawn by D. West),,37-36,,
9:11.0,D. West makes free throw 1 of 2,1,38-36,,
9:11.0,D. West makes free throw 2 of 2,1,39-36,,
8:59.0,,,39-36,,Turnover by M. Harrell (traveling)
8:39.0,D. West misses 2-pt shot from 2 ft (block by W. Reed),,39-36,,
8:36.0,,,39-36,,Defensive rebound by W. Johnson
8:35.0,,,39-36,,Shooting foul by O. Casspi (drawn by W. Reed)
8:35.0,,,39-37,1,W. Reed makes free throw 1 of 2
8:35.0,,,39-37,,W. Reed misses free throw 2 of 2
8:32.0,Defensive rebound by O. Casspi,,39-37,,
8:13.0,S. Livingston makes 2-pt shot from 1 ft (assist by O. Casspi),2,41-37,,
7:55.0,,,41-37,,W. Johnson misses 2-pt shot from 2 ft
7:52.0,Defensive rebound by D. West,,41-37,,
7:44.0,O. Casspi misses 2-pt shot from 9 ft,,41-37,,
7:42.0,,,41-37,,Defensive rebound by W. Reed
7:36.0,,,41-39,2,W. Reed makes 2-pt shot from 1 ft (assist by T. Wallace)
7:22.0,D. West makes 2-pt shot from 13 ft (assist by S. Livingston),2,43-39,,
7:11.0,,,43-39,,Turnover by L. Williams (bad pass; steal by D. West)
7:01.0,O. Casspi misses 3-pt shot from 25 ft,,43-39,,
6:57.0,Offensive rebound by K. Thompson,,43-39,,
6:57.0,Shooting foul by W. Reed (drawn by O. Casspi),,43-39,,
6:57.0,,,43-39,,LA Clippers full timeout
6:57.0,,,43-39,,S. Dekker enters the game for T. Wallace
6:57.0,,,43-39,,C. Williams enters the game for W. Johnson
6:57.0,,,43-39,,D. Jordan enters the game for W. Reed
6:57.0,D. Green enters the game for K. Looney,,43-39,,
6:57.0,O. Casspi makes free throw 1 of 2,1,44-39,,
6:57.0,O. Casspi makes free throw 2 of 2,1,45-39,,
6:42.0,,,45-39,,L. Williams misses 2-pt shot from 16 ft
6:42.0,,,45-39,,Offensive rebound by Team
6:42.0,Loose ball foul by D. West (drawn by D. Jordan),,45-39,,
6:42.0,,,45-40,1,D. Jordan makes free throw 1 of 2
6:42.0,A. Iguodala enters the game for O. Casspi,,45-40,,
6:42.0,,,45-41,1,D. Jordan makes free throw 2 of 2
6:32.0,K. Thompson misses 3-pt shot from 25 ft,,45-41,,
6:30.0,Offensive rebound by Team,,45-41,,
6:28.0,Turnover by D. Green (bad pass; steal by C. Williams),,45-41,,
6:24.0,,,45-41,,C. Williams misses 2-pt shot from 15 ft
6:24.0,Defensive rebound by Team,,45-41,,
6:24.0,,,45-41,,Loose ball foul by D. Jordan (drawn by D. West)
6:15.0,Turnover by D. Green (lost ball; steal by L. Williams),,45-41,,
6:11.0,,,45-41,,Turnover by L. Williams (bad pass; steal by S. Livingston)
6:04.0,S. Livingston misses 2-pt shot from 19 ft,,45-41,,
6:04.0,Offensive rebound by D. Green,,45-41,,
6:01.0,D. Green misses 2-pt shot at rim,,45-41,,
6:01.0,Offensive rebound by D. Green,,45-41,,
5:59.0,D. Green misses 2-pt shot at rim,,45-41,,
5:58.0,Offensive rebound by D. Green,,45-41,,
5:58.0,D. Green misses 2-pt shot at rim,,45-41,,
5:58.0,,,45-41,,Defensive rebound by M. Harrell
5:56.0,,,45-43,2,S. Dekker makes 2-pt shot from 12 ft (assist by M. Harrell)
5:56.0,Golden State full timeout,,45-43,,
5:56.0,S. Curry enters the game for K. Thompson,,45-43,,
5:56.0,P. McCaw enters the game for S. Livingston,,45-43,,
5:40.0,D. West makes 2-pt shot from 12 ft (assist by D. Green),2,47-43,,
5:20.0,,,47-45,2,L. Williams makes 2-pt shot from 10 ft
5:07.0,D. Green misses 3-pt shot from 23 ft,,47-45,,
5:07.0,Offensive rebound by S. Curry,,47-45,,
5:00.0,S. Curry misses 2-pt shot from 14 ft,,47-45,,
5:00.0,,,47-45,,Defensive rebound by D. Jordan
4:49.0,,,47-45,,Turnover by C. Williams (bad pass)
4:37.0,S. Curry makes 2-pt shot at rim,2,49-45,,
4:26.0,,,49-47,2,M. Harrell makes 2-pt shot from 2 ft
4:26.0,,,49-47,,Shooting foul by S. Curry (drawn by M. Harrell)
4:26.0,,,49-47,,J. Evans enters the game for C. Williams
4:26.0,J. Bell enters the game for D. West,,49-47,,
4:26.0,,,49-48,1,M. Harrell makes free throw 1 of 1
4:19.0,,,49-48,,Personal foul by J. Evans (drawn by S. Curry)
4:19.0,S. Curry misses free throw 1 of 2,,49-48,,
4:19.0,Offensive rebound by Team,,49-48,,
4:19.0,S. Curry makes free throw 2 of 2,1,50-48,,
4:09.0,,,50-48,,J. Evans misses 2-pt shot from 9 ft
4:06.0,Defensive rebound by S. Curry,,50-48,,
4:04.0,A. Iguodala misses 2-pt shot from 1 ft,,50-48,,
4:04.0,,,50-48,,Defensive rebound by J. Evans
3:52.0,,,50-48,,L. Williams misses 3-pt shot from 23 ft
3:50.0,Defensive rebound by S. Curry,,50-48,,
3:44.0,J. Bell misses 2-pt shot from 2 ft,,50-48,,
3:41.0,,,50-48,,Defensive rebound by D. Jordan
3:38.0,,,50-48,,M. Harrell misses 2-pt shot from 2 ft
3:38.0,,,50-48,,Offensive rebound by S. Dekker
3:30.0,,,50-50,2,S. Dekker makes 2-pt shot at rim
3:23.0,S. Curry misses 3-pt shot from 26 ft,,50-50,,
3:19.0,,,50-50,,Defensive rebound by S. Dekker
3:02.0,,,50-50,,J. Evans misses 2-pt shot from 14 ft
2:59.0,Defensive rebound by D. Green,,50-50,,
2:59.0,Shooting foul by S. Dekker (drawn by A. Iguodala),,50-50,,
2:59.0,A. Iguodala makes free throw 1 of 2,1,51-50,,
2:59.0,,,51-50,,C. Williams enters the game for L. Williams
2:59.0,K. Thompson enters the game for P. McCaw,,51-50,,
2:59.0,A. Iguodala makes free throw 2 of 2,1,52-50,,
2:45.0,,,52-50,,J. Evans misses 2-pt shot from 2 ft
2:42.0,Defensive rebound by A. Iguodala,,52-50,,
2:39.0,K. Thompson misses 3-pt shot from 26 ft,,52-50,,
2:34.0,,,52-50,,Defensive rebound by M. Harrell
2:33.0,,,52-50,,Shooting foul by K. Thompson (drawn by D. Jordan)
2:33.0,,,52-50,,D. Jordan misses free throw 1 of 2
2:33.0,,,52-50,,Offensive rebound by Team
2:33.0,,,52-51,1,D. Jordan makes free throw 2 of 2
2:14.0,S. Curry makes 3-pt shot from 26 ft (assist by A. Iguodala),3,55-51,,
1:50.0,,,55-51,,Turnover by D. Jordan (offensive goaltending)
1:27.0,S. Curry misses 3-pt shot from 27 ft,,55-51,,
1:24.0,,,55-51,,Defensive rebound by M. Harrell
1:21.0,,,55-51,,J. Evans misses 2-pt shot from 18 ft
1:18.0,Defensive rebound by J. Bell,,55-51,,
1:06.0,K. Thompson makes 3-pt shot from 23 ft (assist by J. Bell),3,58-51,,
0:48.0,,,58-53,2,D. Jordan makes 2-pt shot from 2 ft (assist by C. Williams)
0:40.0,Shooting foul by J. Evans (drawn by S. Curry),,58-53,,
0:40.0,S. Curry makes free throw 1 of 2,1,59-53,,
0:40.0,,,59-53,,L. Williams enters the game for J. Evans
0:40.0,S. Curry makes free throw 2 of 2,1,60-53,,
0:36.0,,,60-53,,Turnover by L. Williams (bad pass; steal by A. Iguodala)
0:33.0,S. Curry makes 2-pt shot from 1 ft (assist by A. Iguodala),2,62-53,,
0:11.0,,,62-53,,L. Williams misses 3-pt shot from 26 ft
0:09.0,Defensive rebound by A. Iguodala,,62-53,,
0:05.0,S. Curry makes 2-pt shot from 2 ft (assist by A. Iguodala),2,64-53,,
0:00.0,,,64-55,2,L. Williams makes 2-pt shot from 3 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,64-55,,J. Evans misses 2-pt shot from 19 ft
11:40.0,Defensive rebound by D. Green,,64-55,,
11:25.0,Turnover by A. Iguodala (bad pass; steal by W. Johnson),,64-55,,
11:20.0,,,64-57,2,C. Williams makes 2-pt shot from 1 ft (assist by J. Evans)
11:07.0,D. Green makes 2-pt shot from 2 ft (assist by S. Curry),2,66-57,,
11:07.0,,,66-57,,Shooting block foul by J. Evans (drawn by D. Green)
11:07.0,D. Green misses free throw 1 of 1,,66-57,,
11:06.0,Offensive rebound by Team,,66-57,,
10:57.0,K. Thompson misses 3-pt shot from 24 ft,,66-57,,
10:54.0,Offensive rebound by Team,,66-57,,
10:54.0,,,66-57,,T. Wallace enters the game for J. Evans
10:48.0,K. Thompson makes 2-pt shot from 19 ft (assist by D. Green),2,68-57,,
10:48.0,,,68-57,,LA Clippers full timeout
10:32.0,,,68-57,,C. Williams misses 3-pt shot from 29 ft
10:29.0,Defensive rebound by A. Iguodala,,68-57,,
10:29.0,Turnover by A. Iguodala (bad pass),,68-57,,
10:06.0,,,68-57,,S. Dekker misses 2-pt shot from 6 ft
10:06.0,,,68-57,,Offensive rebound by D. Jordan
10:06.0,,,68-59,2,D. Jordan makes 2-pt shot at rim
10:06.0,,,68-59,,Shooting foul by Z. Pachulia (drawn by D. Jordan)
10:06.0,,,68-59,,L. Williams enters the game for W. Johnson
10:06.0,,,68-59,,D. Jordan misses free throw 1 of 1
10:03.0,Defensive rebound by D. Green,,68-59,,
9:49.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by K. Thompson),2,70-59,,
9:30.0,,,70-59,,Turnover by L. Williams (bad pass; steal by K. Thompson)
9:19.0,K. Thompson misses 3-pt shot from 25 ft,,70-59,,
9:17.0,Offensive rebound by Z. Pachulia,,70-59,,
9:15.0,K. Thompson misses 2-pt shot from 17 ft,,70-59,,
9:12.0,,,70-59,,Defensive rebound by D. Jordan
8:52.0,,,70-59,,Turnover by L. Williams (bad pass; steal by Z. Pachulia)
8:41.0,S. Curry makes 3-pt shot from 26 ft (assist by A. Iguodala),3,73-59,,
8:32.0,,,73-59,,S. Dekker misses 3-pt shot from 26 ft
8:29.0,Defensive rebound by D. Green,,73-59,,
8:24.0,Turnover by S. Curry (bad pass),,73-59,,
8:24.0,,,73-59,,M. Harrell enters the game for S. Dekker
8:01.0,,,73-59,,L. Williams misses 2-pt shot from 17 ft
8:00.0,,,73-59,,Offensive rebound by Team
7:53.0,Personal foul by S. Curry (drawn by T. Wallace),,73-59,,
7:53.0,,,73-59,,S. Thornwell enters the game for C. Williams
7:44.0,,,73-59,,L. Williams misses 2-pt shot from 1 ft
7:36.0,,,73-59,,Offensive rebound by D. Jordan
7:36.0,,,73-61,2,D. Jordan makes 2-pt shot at rim
7:26.0,Shooting foul by T. Wallace (drawn by S. Curry),,73-61,,
7:26.0,S. Curry makes free throw 1 of 2,1,74-61,,
7:26.0,S. Curry makes free throw 2 of 2,1,75-61,,
7:08.0,,,75-61,,S. Thornwell misses 2-pt shot from 5 ft
7:05.0,Defensive rebound by S. Curry,,75-61,,
7:03.0,,,75-61,,Personal foul by D. Jordan (drawn by A. Iguodala)
6:47.0,Z. Pachulia misses 2-pt shot from 2 ft,,75-61,,
6:42.0,Offensive rebound by D. Green,,75-61,,
6:42.0,D. Green misses 2-pt shot at rim,,75-61,,
6:42.0,,,75-61,,Defensive rebound by L. Williams
6:40.0,,,75-63,2,M. Harrell makes 2-pt shot from 2 ft (assist by L. Williams)
6:27.0,K. Thompson misses 3-pt shot from 26 ft,,75-63,,
6:27.0,Offensive rebound by Team,,75-63,,
6:27.0,,,75-63,,Loose ball foul by D. Jordan (drawn by Z. Pachulia)
6:10.0,K. Thompson makes 3-pt shot from 24 ft (assist by A. Iguodala),3,78-63,,
5:54.0,,,78-63,,S. Thornwell misses 3-pt shot from 24 ft
5:52.0,Defensive rebound by Z. Pachulia,,78-63,,
5:49.0,Shooting foul by S. Thornwell (drawn by S. Curry),,78-63,,
5:49.0,S. Curry makes free throw 1 of 3,1,79-63,,
5:49.0,S. Curry makes free throw 2 of 3,1,80-63,,
5:49.0,S. Curry makes free throw 3 of 3,1,81-63,,
5:42.0,Personal foul by K. Thompson (drawn by L. Williams),,81-63,,
5:36.0,,,81-63,,Shooting foul by D. Green (drawn by D. Jordan)
5:36.0,Violation by D. Green (lane),,81-63,,
5:36.0,,,81-64,1,D. Jordan makes free throw 1 of 2
5:36.0,,,81-65,1,D. Jordan makes free throw 2 of 2
5:25.0,,,81-65,,Personal foul by S. Thornwell (drawn by D. Green)
5:25.0,D. Green misses free throw 1 of 2,,81-65,,
5:25.0,Offensive rebound by Team,,81-65,,
5:25.0,D. Green misses free throw 2 of 2,,81-65,,
5:22.0,,,81-65,,Defensive rebound by D. Jordan
5:15.0,,,81-67,2,T. Wallace makes 2-pt shot from 6 ft (assist by L. Williams)
4:58.0,S. Curry makes 3-pt shot from 27 ft,3,84-67,,
4:53.0,Personal foul by D. Green (drawn by L. Williams),,84-67,,
4:53.0,,,84-68,1,L. Williams makes free throw 1 of 2
4:53.0,J. McGee enters the game for Z. Pachulia,,84-68,,
4:53.0,,,84-69,1,L. Williams makes free throw 2 of 2
4:43.0,,,84-69,,Personal foul by S. Thornwell (drawn by J. McGee)
4:43.0,J. McGee makes free throw 1 of 2,1,85-69,,
4:43.0,N. Young enters the game for A. Iguodala,,85-69,,
4:43.0,J. McGee misses free throw 2 of 2,,85-69,,
4:41.0,,,85-69,,Defensive rebound by M. Harrell
4:26.0,,,85-69,,M. Harrell misses 2-pt shot from 1 ft
4:18.0,,,85-69,,Offensive rebound by D. Jordan
4:18.0,,,85-69,,D. Jordan misses 2-pt shot at rim
4:18.0,,,85-69,,Offensive rebound by D. Jordan
4:14.0,,,85-71,2,D. Jordan makes 2-pt shot at rim
4:14.0,S. Curry makes 3-pt shot from 26 ft,3,88-71,,
4:14.0,,,88-71,,LA Clippers full timeout
4:14.0,,,88-71,,J. Evans enters the game for S. Thornwell
4:14.0,P. McCaw enters the game for K. Thompson,,88-71,,
3:58.0,,,88-71,,Turnover by M. Harrell (out of bounds lost ball)
3:47.0,D. Green makes 2-pt shot from 1 ft (assist by S. Curry),2,90-71,,
3:35.0,,,90-71,,L. Williams misses 2-pt shot from 2 ft
3:35.0,,,90-71,,Offensive rebound by Team
3:32.0,,,90-71,,T. Wallace misses 2-pt shot from 14 ft
3:32.0,Defensive rebound by D. Green,,90-71,,
3:23.0,N. Young makes 3-pt shot from 22 ft (assist by P. McCaw),3,93-71,,
3:12.0,,,93-71,,Offensive foul by M. Harrell (drawn by D. Green)
3:12.0,,,93-71,,Turnover by M. Harrell (offensive foul)
3:12.0,,,93-71,,W. Reed enters the game for D. Jordan
3:04.0,S. Curry misses 3-pt shot from 27 ft,,93-71,,
2:59.0,Offensive rebound by N. Young,,93-71,,
2:54.0,J. McGee makes 2-pt shot at rim (assist by D. Green),2,95-71,,
2:47.0,,,95-71,,Turnover by T. Wallace (bad pass; steal by S. Curry)
2:46.0,,,95-71,,Personal take foul by L. Williams (drawn by S. Curry)
2:46.0,S. Curry makes free throw 1 of 2,1,96-71,,
2:46.0,S. Curry makes free throw 2 of 2,1,97-71,,
2:34.0,,,97-71,,Turnover by M. Harrell (bad pass; steal by P. McCaw)
2:28.0,N. Young misses 3-pt shot from 24 ft,,97-71,,
2:23.0,Offensive rebound by J. McGee,,97-71,,
2:21.0,N. Young makes 3-pt shot from 23 ft (assist by D. Green),3,100-71,,
2:10.0,,,100-73,2,L. Williams makes 2-pt shot from 4 ft
1:59.0,Shooting foul by T. Wallace (drawn by J. McGee),,100-73,,
1:59.0,J. McGee makes free throw 1 of 2,1,101-73,,
1:59.0,,,101-73,,C. Williams enters the game for L. Williams
1:59.0,J. McGee misses free throw 2 of 2,,101-73,,
1:57.0,,,101-73,,Defensive rebound by M. Harrell
1:33.0,,,101-73,,W. Reed misses 2-pt shot from 3 ft
1:30.0,Defensive rebound by D. Green,,101-73,,
1:16.0,S. Curry misses 3-pt shot from 25 ft,,101-73,,
1:14.0,,,101-73,,Defensive rebound by M. Harrell
1:11.0,,,101-73,,Turnover by J. Evans (lost ball; steal by S. Curry)
1:06.0,S. Curry misses 2-pt shot from 2 ft (block by M. Harrell),,101-73,,
1:06.0,Offensive rebound by Team,,101-73,,
0:55.0,J. McGee makes 2-pt shot from 2 ft (assist by N. Young),2,103-73,,
0:37.0,,,103-73,,T. Wallace misses 2-pt shot from 18 ft
0:34.0,Defensive rebound by P. McCaw,,103-73,,
0:28.0,S. Curry misses 3-pt shot from 25 ft,,103-73,,
0:25.0,,,103-73,,Defensive rebound by W. Reed
0:21.0,,,103-75,2,J. Evans makes 2-pt shot from 12 ft
0:21.0,,,103-75,,Shooting foul by J. McGee (drawn by J. Evans)
0:21.0,,,103-76,1,J. Evans makes free throw 1 of 1
0:05.0,Offensive foul by J. McGee (drawn by C. Williams),,103-76,,
0:05.0,Turnover by J. McGee (offensive foul),,103-76,,
0:05.0,S. Livingston enters the game for D. Green,,103-76,,
0:05.0,K. Looney enters the game for S. Curry,,103-76,,
0:02.0,,,103-76,,J. Evans misses 2-pt shot from 16 ft (block by K. Looney)
0:01.0,,,103-76,,Offensive rebound by J. Evans
0:00.0,,,103-76,,J. Evans misses 2-pt shot from 18 ft (block by S. Livingston)
0:00.0,,,103-76,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,N. Young misses 3-pt shot from 25 ft,,103-76,,
11:41.0,,,103-76,,Defensive rebound by M. Harrell
11:30.0,,,103-78,2,W. Reed makes 2-pt shot from 1 ft (assist by J. Evans)
11:10.0,J. Bell makes 2-pt shot from 12 ft (assist by K. Looney),2,105-78,,
10:49.0,,,105-78,,W. Reed misses 2-pt shot from 14 ft (block by K. Looney)
