time,Dallas,pts.away,score,pts.home,Philadelphia
6:38.0,,,9-8,1,J. Redick makes free throw 2 of 2
6:15.0,D. Finney-Smith makes 2-pt shot from 16 ft (assist by D. Powell),2,11-8,,
5:48.0,,,11-10,2,B. Simmons makes 2-pt shot from 1 ft (assist by D. Saric)
5:26.0,Turnover by D. Finney-Smith (lost ball; steal by B. Simmons),,11-10,,
5:22.0,,,11-10,,J. Redick misses 2-pt shot at rim
5:20.0,Defensive rebound by D. Finney-Smith,,11-10,,
5:08.0,H. Barnes misses 2-pt shot from 19 ft,,11-10,,
5:05.0,,,11-10,,Defensive rebound by R. Covington
4:59.0,,,11-13,3,D. Saric makes 3-pt shot from 26 ft (assist by B. Simmons)
4:39.0,,,11-13,,Personal foul by A. Johnson (drawn by J. Motley)
4:39.0,,,11-13,,M. Belinelli enters the game for D. Saric
4:39.0,,,11-13,,E. Ilyasova enters the game for A. Johnson
4:39.0,,,11-13,,R. Holmes enters the game for J. Redick
4:29.0,D. Finney-Smith makes 3-pt shot from 24 ft (assist by D. Smith),3,14-13,,
4:16.0,,,14-15,2,B. Simmons makes 2-pt shot from 2 ft
3:58.0,H. Barnes misses 2-pt shot from 1 ft (block by R. Covington),,14-15,,
3:56.0,,,14-15,,Defensive rebound by M. Belinelli
3:56.0,,,14-15,,Turnover by M. Belinelli (turnover)
3:56.0,,,14-15,,M. Fultz enters the game for B. Simmons
3:56.0,M. Kleber enters the game for J. Motley,,14-15,,
3:41.0,H. Barnes misses 3-pt shot from 25 ft,,14-15,,
3:37.0,,,14-15,,Defensive rebound by E. Ilyasova
3:29.0,,,14-17,2,E. Ilyasova makes 2-pt shot from 20 ft (assist by R. Covington)
3:11.0,Shooting foul by M. Fultz (drawn by H. Barnes),,14-17,,
3:11.0,H. Barnes misses free throw 1 of 2,,14-17,,
3:11.0,Offensive rebound by Team,,14-17,,
3:11.0,H. Barnes misses free throw 2 of 2,,14-17,,
3:08.0,,,14-17,,Defensive rebound by E. Ilyasova
3:01.0,,,14-17,,M. Belinelli misses 2-pt shot from 20 ft
2:58.0,Defensive rebound by D. Powell,,14-17,,
2:51.0,Turnover by D. Smith (bad pass; steal by R. Holmes),,14-17,,
2:39.0,,,14-17,,Turnover by M. Fultz (bad pass; steal by D. Smith)
2:36.0,Dallas full timeout,,14-17,,
2:36.0,Y. Ferrell enters the game for D. Finney-Smith,,14-17,,
2:28.0,H. Barnes misses 2-pt shot from 3 ft,,14-17,,
2:25.0,,,14-17,,Defensive rebound by M. Fultz
2:22.0,,,14-17,,M. Fultz misses 2-pt shot from 4 ft
2:19.0,Defensive rebound by M. Kleber,,14-17,,
2:13.0,H. Barnes misses 3-pt shot from 25 ft,,14-17,,
2:12.0,,,14-17,,Defensive rebound by Team
2:12.0,,,14-17,,J. Redick enters the game for R. Covington
2:03.0,,,14-19,2,M. Belinelli makes 2-pt shot from 2 ft (assist by E. Ilyasova)
1:53.0,Shooting foul by R. Holmes (drawn by D. Powell),,14-19,,
1:53.0,D. Powell misses free throw 1 of 2,,14-19,,
1:53.0,Offensive rebound by Team,,14-19,,
1:53.0,D. McDermott enters the game for H. Barnes,,14-19,,
1:53.0,D. Powell makes free throw 2 of 2,1,15-19,,
1:41.0,,,15-21,2,R. Holmes makes 2-pt shot from 2 ft (assist by J. Redick)
1:29.0,D. Powell misses 2-pt shot from 2 ft,,15-21,,
1:26.0,,,15-21,,Defensive rebound by R. Holmes
1:19.0,,,15-23,2,M. Fultz makes 2-pt shot from 8 ft (assist by J. Redick)
1:08.0,D. Smith makes 2-pt shot from 2 ft,2,17-23,,
1:05.0,Technical foul by D. Smith,,17-23,,
1:05.0,,,17-24,1,M. Belinelli makes technical free throw
0:52.0,,,17-24,,Offensive foul by E. Ilyasova (drawn by M. Kleber)
0:52.0,,,17-24,,Turnover by E. Ilyasova (offensive foul)
0:41.0,D. McDermott misses 2-pt shot from 19 ft,,17-24,,
0:40.0,Offensive rebound by M. Kleber,,17-24,,
0:39.0,M. Kleber makes 2-pt shot from 2 ft,2,19-24,,
0:32.0,,,19-26,2,J. Redick makes 2-pt shot from 20 ft (assist by E. Ilyasova)
0:28.0,D. Smith misses 3-pt shot from 25 ft,,19-26,,
0:26.0,,,19-26,,Defensive rebound by E. Ilyasova
0:05.0,,,19-28,2,J. Redick makes 2-pt shot from 22 ft
0:00.0,Shooting foul by M. Fultz (drawn by Y. Ferrell),,19-28,,
0:00.0,Y. Ferrell makes free throw 1 of 2,1,20-28,,
0:00.0,Y. Ferrell misses free throw 2 of 2,,20-28,,
0:00.0,,,20-28,,Defensive rebound by R. Holmes
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,K. Collinsworth makes 2-pt shot from 2 ft,2,22-28,,
11:32.0,,,22-30,2,R. Holmes makes 2-pt shot at rim (assist by M. Fultz)
11:12.0,M. Kleber makes 2-pt shot from 2 ft (assist by H. Barnes),2,24-30,,
10:50.0,,,24-32,2,R. Holmes makes 2-pt shot from 2 ft (assist by J. Redick)
10:26.0,M. Kleber makes 3-pt shot from 26 ft (assist by Y. Ferrell),3,27-32,,
10:10.0,,,27-32,,J. Redick misses 2-pt shot from 20 ft (block by M. Kleber)
10:08.0,Defensive rebound by Y. Ferrell,,27-32,,
10:02.0,D. McDermott makes 2-pt shot from 1 ft (assist by K. Collinsworth),2,29-32,,
10:01.0,,,29-32,,Philadelphia full timeout
10:01.0,,,29-32,,R. Covington enters the game for J. Redick
9:45.0,,,29-32,,M. Belinelli misses 3-pt shot from 26 ft
9:45.0,Defensive rebound by M. Kleber,,29-32,,
9:32.0,Y. Ferrell misses 3-pt shot from 26 ft,,29-32,,
9:29.0,,,29-32,,Defensive rebound by M. Fultz
9:25.0,,,29-32,,M. Fultz misses 2-pt shot from 3 ft
9:22.0,Defensive rebound by M. Kleber,,29-32,,
9:20.0,Turnover by M. Kleber (bad pass; steal by M. Fultz),,29-32,,
9:16.0,,,29-34,2,M. Fultz makes 2-pt shot from 3 ft
9:12.0,Turnover by K. Collinsworth (lost ball; steal by R. Covington),,29-34,,
9:03.0,,,29-34,,E. Ilyasova misses 2-pt shot from 6 ft
9:00.0,Defensive rebound by K. Collinsworth,,29-34,,
8:55.0,M. Kleber misses 3-pt shot from 24 ft,,29-34,,
8:52.0,,,29-34,,Defensive rebound by R. Holmes
8:40.0,,,29-34,,E. Ilyasova misses 3-pt shot from 26 ft
8:37.0,Defensive rebound by H. Barnes,,29-34,,
8:29.0,H. Barnes makes 2-pt shot from 16 ft,2,31-34,,
8:14.0,,,31-36,2,M. Belinelli makes 2-pt shot from 19 ft (assist by E. Ilyasova)
7:57.0,H. Barnes makes 2-pt shot from 5 ft (assist by Y. Ferrell),2,33-36,,
7:57.0,Shooting foul by M. Fultz (drawn by H. Barnes),,33-36,,
7:57.0,,,33-36,,B. Simmons enters the game for M. Fultz
7:57.0,,,33-36,,A. Johnson enters the game for R. Holmes
7:57.0,,,33-36,,D. Saric enters the game for E. Ilyasova
7:57.0,H. Barnes makes free throw 1 of 1,1,34-36,,
7:40.0,,,34-38,2,A. Johnson makes 2-pt shot from 2 ft (assist by B. Simmons)
7:20.0,Y. Ferrell misses 3-pt shot from 26 ft,,34-38,,
7:19.0,,,34-38,,Defensive rebound by Team
7:19.0,D. Smith enters the game for K. Collinsworth,,34-38,,
7:07.0,,,34-40,2,A. Johnson makes 2-pt shot from 2 ft (assist by R. Covington)
7:07.0,,,34-40,,Shooting foul by D. McDermott (drawn by A. Johnson)
7:07.0,,,34-40,,A. Johnson misses free throw 1 of 1
7:07.0,Defensive rebound by M. Kleber,,34-40,,
6:54.0,D. McDermott misses 3-pt shot from 25 ft,,34-40,,
6:52.0,,,34-40,,Defensive rebound by M. Belinelli
6:44.0,,,34-42,2,R. Covington makes 2-pt shot from 2 ft (assist by B. Simmons)
6:43.0,Dallas full timeout,,34-42,,
6:32.0,,,34-42,,Personal foul by D. Saric (drawn by M. Kleber)
6:24.0,D. Smith misses 2-pt shot from 3 ft,,34-42,,
6:22.0,,,34-42,,Defensive rebound by A. Johnson
6:19.0,,,34-45,3,R. Covington makes 3-pt shot from 27 ft (assist by B. Simmons)
6:03.0,H. Barnes misses 2-pt shot from 7 ft,,34-45,,
6:01.0,,,34-45,,Defensive rebound by D. Saric
5:50.0,,,34-48,3,R. Covington makes 3-pt shot from 27 ft (assist by B. Simmons)
5:37.0,Y. Ferrell misses 3-pt shot from 27 ft,,34-48,,
5:35.0,,,34-48,,Defensive rebound by M. Belinelli
5:22.0,,,34-48,,M. Belinelli misses 2-pt shot from 1 ft
5:21.0,Defensive rebound by M. Kleber,,34-48,,
5:19.0,,,34-48,,Personal foul by M. Belinelli (drawn by Y. Ferrell)
5:19.0,,,34-48,,E. Ilyasova enters the game for A. Johnson
5:19.0,D. Powell enters the game for Y. Ferrell,,34-48,,
5:19.0,D. Finney-Smith enters the game for M. Kleber,,34-48,,
5:08.0,H. Barnes misses 2-pt shot from 11 ft,,34-48,,
5:06.0,,,34-48,,Defensive rebound by D. Saric
4:49.0,,,34-50,2,B. Simmons makes 2-pt shot from 2 ft
4:41.0,Dallas full timeout,,34-50,,
4:28.0,H. Barnes makes 2-pt shot at rim,2,36-50,,
4:15.0,,,36-52,2,M. Belinelli makes 2-pt shot from 20 ft (assist by B. Simmons)
3:59.0,,,36-52,,Personal foul by D. Saric (drawn by H. Barnes)
3:59.0,,,36-52,,J. Redick enters the game for M. Belinelli
3:59.0,,,36-52,,M. Fultz enters the game for R. Covington
3:46.0,H. Barnes misses 2-pt shot from 13 ft (block by B. Simmons),,36-52,,
3:45.0,Offensive rebound by Team,,36-52,,
3:45.0,Turnover by Team (shot clock),,36-52,,
3:29.0,,,36-55,3,J. Redick makes 3-pt shot from 27 ft (assist by D. Saric)
3:14.0,D. Smith makes 2-pt shot from 2 ft,2,38-55,,
3:00.0,,,38-57,2,M. Fultz makes 2-pt shot from 1 ft (assist by D. Saric)
2:44.0,H. Barnes misses 3-pt shot from 26 ft,,38-57,,
2:42.0,,,38-57,,Defensive rebound by B. Simmons
2:38.0,,,38-57,,E. Ilyasova misses 2-pt shot at rim
2:35.0,Defensive rebound by D. Smith,,38-57,,
2:30.0,D. McDermott makes 3-pt shot from 26 ft (assist by D. Smith),3,41-57,,
2:05.0,,,41-57,,M. Fultz misses 2-pt shot from 2 ft (block by D. Smith)
2:03.0,Defensive rebound by D. Smith,,41-57,,
2:03.0,,,41-57,,Personal foul by B. Simmons (drawn by D. Powell)
2:03.0,D. Powell misses free throw 1 of 2,,41-57,,
2:03.0,Offensive rebound by Team,,41-57,,
2:03.0,D. Powell misses free throw 2 of 2,,41-57,,
2:01.0,,,41-57,,Defensive rebound by E. Ilyasova
1:45.0,,,41-59,2,B. Simmons makes 2-pt shot at rim
1:32.0,Turnover by D. Smith (bad pass),,41-59,,
1:29.0,,,41-59,,Turnover by B. Simmons (bad pass; steal by D. Powell)
1:22.0,D. Powell misses 3-pt shot from 27 ft,,41-59,,
1:20.0,Offensive rebound by D. Smith,,41-59,,
1:14.0,D. Smith makes 2-pt shot from 1 ft,2,43-59,,
0:56.0,,,43-61,2,D. Saric makes 2-pt shot at rim (assist by B. Simmons)
0:44.0,D. McDermott makes 3-pt shot from 27 ft (assist by D. Smith),3,46-61,,
0:29.0,,,46-61,,M. Fultz misses 2-pt shot from 8 ft
0:25.0,,,46-61,,Offensive rebound by B. Simmons
0:25.0,Personal block foul by D. Smith (drawn by B. Simmons),,46-61,,
0:25.0,,,46-61,,R. Holmes enters the game for D. Saric
0:11.0,,,46-61,,Shooting foul by D. Powell (drawn by B. Simmons)
0:11.0,,,46-61,,B. Simmons misses free throw 1 of 2
0:11.0,,,46-61,,Offensive rebound by Team
0:11.0,,,46-61,,R. Covington enters the game for M. Fultz
0:11.0,,,46-61,,B. Simmons misses free throw 2 of 2
0:10.0,Defensive rebound by D. McDermott,,46-61,,
0:00.0,D. Smith makes 2-pt shot from 21 ft,2,48-61,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,J. Motley misses 2-pt shot from 16 ft,,48-61,,
11:38.0,,,48-61,,Defensive rebound by R. Covington
11:29.0,,,48-63,2,J. Redick makes 2-pt shot from 21 ft (assist by A. Johnson)
11:15.0,H. Barnes misses 3-pt shot from 23 ft,,48-63,,
11:11.0,,,48-63,,Defensive rebound by R. Covington
11:06.0,,,48-63,,D. Saric misses 2-pt shot from 12 ft
11:04.0,Defensive rebound by D. Powell,,48-63,,
10:55.0,D. Finney-Smith makes 3-pt shot from 25 ft (assist by D. Smith),3,51-63,,
10:53.0,,,51-63,,Philadelphia full timeout
10:29.0,,,51-66,3,J. Redick makes 3-pt shot from 30 ft (assist by D. Saric)
10:08.0,D. Smith misses 3-pt shot from 23 ft,,51-66,,
10:04.0,Offensive rebound by J. Motley,,51-66,,
10:04.0,J. Motley misses 2-pt shot from 3 ft (block by R. Covington),,51-66,,
10:04.0,Offensive rebound by Team,,51-66,,
10:00.0,Turnover by D. Smith (lost ball; steal by R. Covington),,51-66,,
9:39.0,,,51-66,,B. Simmons misses 2-pt shot from 4 ft
9:31.0,,,51-66,,Offensive rebound by D. Saric
9:31.0,,,51-68,2,D. Saric makes 2-pt shot at rim
9:19.0,H. Barnes misses 2-pt shot from 22 ft,,51-68,,
9:19.0,,,51-68,,Defensive rebound by A. Johnson
9:08.0,,,51-68,,R. Covington misses 3-pt shot from 27 ft
9:05.0,Defensive rebound by H. Barnes,,51-68,,
9:00.0,D. Smith makes 2-pt shot from 21 ft,2,53-68,,
8:53.0,,,53-68,,Turnover by R. Covington (out of bounds lost ball)
8:35.0,D. Finney-Smith misses 2-pt shot from 11 ft,,53-68,,
8:32.0,,,53-68,,Defensive rebound by A. Johnson
8:22.0,,,53-68,,B. Simmons misses 2-pt shot from 1 ft
8:20.0,Defensive rebound by J. Motley,,53-68,,
8:06.0,D. Smith makes 2-pt shot from 4 ft,2,55-68,,
7:52.0,,,55-70,2,J. Redick makes 2-pt shot from 21 ft
7:39.0,D. Smith misses 2-pt shot from 5 ft,,55-70,,
7:38.0,,,55-70,,Defensive rebound by J. Redick
7:33.0,,,55-72,2,B. Simmons makes 2-pt shot from 2 ft
7:32.0,Dallas full timeout,,55-72,,
7:32.0,,,55-72,,M. Belinelli enters the game for J. Redick
7:12.0,H. Barnes makes 3-pt shot from 23 ft (assist by D. Smith),3,58-72,,
7:10.0,,,58-72,,Philadelphia full timeout
6:57.0,,,58-72,,D. Saric misses 3-pt shot from 28 ft
6:54.0,Defensive rebound by D. Smith,,58-72,,
6:35.0,Turnover by H. Barnes (bad pass; steal by B. Simmons),,58-72,,
6:31.0,,,58-72,,M. Belinelli misses 3-pt shot from 27 ft
6:30.0,Defensive rebound by D. Powell,,58-72,,
6:30.0,,,58-72,,Personal foul by A. Johnson (drawn by D. Powell)
6:15.0,H. Barnes misses 2-pt shot from 2 ft,,58-72,,
6:08.0,Offensive rebound by J. Motley,,58-72,,
6:08.0,J. Motley makes 2-pt shot at rim,2,60-72,,
5:57.0,,,60-72,,Turnover by M. Belinelli (bad pass; steal by D. Finney-Smith)
5:48.0,D. Smith makes 3-pt shot from 26 ft (assist by D. Powell),3,63-72,,
5:32.0,,,63-74,2,M. Belinelli makes 2-pt shot from 20 ft (assist by A. Johnson)
5:15.0,D. Powell misses 3-pt shot from 25 ft,,63-74,,
5:13.0,,,63-74,,Defensive rebound by R. Covington
5:01.0,,,63-76,2,M. Belinelli makes 2-pt shot from 1 ft (assist by D. Saric)
4:47.0,,,63-76,,Personal foul by A. Johnson (drawn by D. Powell)
4:47.0,,,63-76,,R. Holmes enters the game for A. Johnson
4:47.0,,,63-76,,E. Ilyasova enters the game for D. Saric
4:35.0,Turnover by H. Barnes (bad pass; steal by M. Belinelli),,63-76,,
4:29.0,,,63-76,,Turnover by B. Simmons (bad pass)
4:10.0,D. Smith misses 3-pt shot from 28 ft,,63-76,,
4:07.0,Offensive rebound by D. Powell,,63-76,,
4:07.0,Turnover by D. Powell (bad pass),,63-76,,
4:07.0,,,63-76,,M. Fultz enters the game for B. Simmons
3:59.0,,,63-76,,M. Belinelli misses 3-pt shot from 26 ft
3:55.0,,,63-76,,Offensive rebound by E. Ilyasova
3:53.0,,,63-76,,M. Belinelli misses 2-pt shot from 17 ft
3:51.0,Defensive rebound by J. Motley,,63-76,,
3:41.0,D. Smith misses 2-pt shot from 2 ft,,63-76,,
3:38.0,,,63-76,,Defensive rebound by R. Holmes
3:38.0,Personal foul by D. Smith (drawn by M. Fultz),,63-76,,
3:38.0,,,63-76,,J. Redick enters the game for R. Covington
3:38.0,M. Kleber enters the game for J. Motley,,63-76,,
3:38.0,Y. Ferrell enters the game for D. Finney-Smith,,63-76,,
3:17.0,,,63-78,2,R. Holmes makes 2-pt shot from 4 ft (assist by M. Belinelli)
3:03.0,D. Powell makes 3-pt shot from 26 ft (assist by H. Barnes),3,66-78,,
2:45.0,,,66-80,2,E. Ilyasova makes 2-pt shot from 3 ft (assist by M. Fultz)
2:45.0,Violation by D. Powell (def goaltending),,66-80,,
2:29.0,Y. Ferrell makes 2-pt shot from 14 ft (assist by D. Powell),2,68-80,,
2:11.0,,,68-80,,R. Holmes misses 2-pt shot from 5 ft
2:09.0,Defensive rebound by D. Powell,,68-80,,
2:02.0,H. Barnes makes 3-pt shot from 22 ft (assist by M. Kleber),3,71-80,,
1:47.0,,,71-80,,M. Belinelli misses 2-pt shot from 20 ft
1:45.0,Defensive rebound by M. Kleber,,71-80,,
1:42.0,,,71-80,,Personal foul by M. Belinelli (drawn by D. Powell)
1:34.0,H. Barnes makes 2-pt shot from 4 ft,2,73-80,,
1:19.0,,,73-80,,Turnover by M. Fultz (bad pass; steal by D. Smith)
1:19.0,,,73-80,,Personal foul by M. Fultz (drawn by D. Smith)
1:19.0,D. Smith makes clear path free throw 1 of 2,1,74-80,,
1:19.0,D. Smith misses clear path free throw 2 of 2,,74-80,,
1:19.0,Offensive rebound by Team,,74-80,,
1:10.0,M. Kleber makes 2-pt shot from 1 ft (assist by D. Powell),2,76-80,,
0:51.0,,,76-83,3,E. Ilyasova makes 3-pt shot from 23 ft (assist by R. Holmes)
0:33.0,D. Powell misses 2-pt shot from 4 ft,,76-83,,
0:30.0,,,76-83,,Defensive rebound by E. Ilyasova
0:19.0,,,76-83,,M. Fultz misses 2-pt shot from 8 ft (block by D. Smith)
0:16.0,,,76-83,,Offensive rebound by E. Ilyasova
0:15.0,,,76-85,2,E. Ilyasova makes 2-pt shot from 1 ft
0:06.0,D. Powell misses 3-pt shot from 26 ft,,76-85,,
0:02.0,,,76-85,,Defensive rebound by E. Ilyasova
0:01.0,,,76-85,,E. Ilyasova misses 3-pt shot from 35 ft
0:01.0,,,76-85,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,76-87,2,M. Fultz makes 2-pt shot from 14 ft
11:27.0,D. Finney-Smith misses 2-pt shot from 2 ft,,76-87,,
11:27.0,,,76-87,,Defensive rebound by R. Holmes
11:10.0,,,76-87,,M. Fultz misses 2-pt shot from 4 ft
11:06.0,,,76-87,,Offensive rebound by E. Ilyasova
11:06.0,,,76-89,2,E. Ilyasova makes 2-pt shot at rim
10:57.0,D. McDermott misses 3-pt shot from 25 ft,,76-89,,
10:54.0,,,76-89,,Defensive rebound by E. Ilyasova
10:44.0,,,76-89,,J. Redick misses 2-pt shot from 20 ft
10:44.0,Defensive rebound by K. Collinsworth,,76-89,,
10:34.0,Y. Ferrell misses 2-pt shot from 19 ft,,76-89,,
10:28.0,Offensive rebound by M. Kleber,,76-89,,
10:27.0,M. Kleber makes 2-pt shot from 1 ft,2,78-89,,
10:19.0,,,78-89,,Shooting foul by Y. Ferrell (drawn by J. Redick)
10:19.0,,,78-90,1,J. Redick makes free throw 1 of 2
10:19.0,,,78-91,1,J. Redick makes free throw 2 of 2
10:06.0,M. Kleber misses 3-pt shot from 26 ft,,78-91,,
10:04.0,,,78-91,,Defensive rebound by J. Redick
9:58.0,,,78-91,,J. Redick misses 3-pt shot from 26 ft
9:56.0,Defensive rebound by Team,,78-91,,
9:56.0,,,78-91,,Loose ball foul by E. Ilyasova (drawn by K. Collinsworth)
9:45.0,D. McDermott misses 3-pt shot from 26 ft,,78-91,,
9:41.0,Offensive rebound by D. Finney-Smith,,78-91,,
9:39.0,D. McDermott misses 3-pt shot from 26 ft,,78-91,,
9:35.0,Offensive rebound by M. Kleber,,78-91,,
9:32.0,D. Finney-Smith misses 3-pt shot from 27 ft,,78-91,,
9:30.0,,,78-91,,Defensive rebound by E. Ilyasova
9:27.0,,,78-91,,Shooting foul by D. Finney-Smith (drawn by R. Covington)
9:27.0,,,78-92,1,R. Covington makes free throw 1 of 2
9:27.0,,,78-92,,M. Belinelli enters the game for J. Redick
9:27.0,,,78-93,1,R. Covington makes free throw 2 of 2
9:19.0,M. Kleber misses 3-pt shot from 27 ft,,78-93,,
9:14.0,Offensive rebound by K. Collinsworth,,78-93,,
9:11.0,Y. Ferrell misses 3-pt shot from 26 ft,,78-93,,
9:09.0,,,78-93,,Defensive rebound by E. Ilyasova
9:05.0,,,78-93,,M. Fultz misses 2-pt shot from 7 ft (block by K. Collinsworth)
9:05.0,,,78-93,,Offensive rebound by Team
9:05.0,,,78-93,,B. Simmons enters the game for M. Fultz
9:05.0,,,78-93,,D. Saric enters the game for R. Holmes
9:02.0,,,78-93,,E. Ilyasova misses 3-pt shot from 26 ft
8:57.0,Defensive rebound by D. Finney-Smith,,78-93,,
8:51.0,D. McDermott misses 3-pt shot from 22 ft,,78-93,,
8:47.0,,,78-93,,Defensive rebound by R. Covington
8:45.0,,,78-95,2,R. Covington makes 2-pt shot at rim
8:44.0,Dallas full timeout,,78-95,,
8:44.0,D. Smith enters the game for K. Collinsworth,,78-95,,
8:44.0,H. Barnes enters the game for D. Finney-Smith,,78-95,,
8:31.0,D. Smith misses 2-pt shot from 17 ft,,78-95,,
8:27.0,,,78-95,,Defensive rebound by B. Simmons
8:13.0,,,78-95,,R. Covington misses 3-pt shot from 26 ft
8:10.0,,,78-95,,Offensive rebound by M. Belinelli
8:04.0,,,78-95,,Turnover by M. Belinelli (bad pass; steal by Y. Ferrell)
8:00.0,D. Smith makes 2-pt shot from 4 ft (assist by Y. Ferrell),2,80-95,,
7:42.0,,,80-95,,M. Belinelli misses 2-pt shot from 6 ft
7:40.0,Defensive rebound by M. Kleber,,80-95,,
7:21.0,H. Barnes misses 2-pt shot from 8 ft,,80-95,,
7:19.0,,,80-95,,Defensive rebound by R. Covington
7:09.0,,,80-95,,D. Saric misses 2-pt shot from 19 ft
7:05.0,Defensive rebound by D. McDermott,,80-95,,
7:00.0,,,80-95,,Personal foul by D. Saric (drawn by M. Kleber)
7:00.0,,,80-95,,J. Redick enters the game for E. Ilyasova
6:50.0,H. Barnes misses 3-pt shot from 26 ft,,80-95,,
6:45.0,,,80-95,,Defensive rebound by R. Covington
6:37.0,,,80-97,2,M. Belinelli makes 2-pt shot from 1 ft (assist by B. Simmons)
6:19.0,Turnover by M. Kleber (bad pass; steal by B. Simmons),,80-97,,
6:13.0,,,80-99,2,B. Simmons makes 2-pt shot from 3 ft (assist by M. Belinelli)
6:10.0,Dallas full timeout,,80-99,,
6:10.0,D. Powell enters the game for M. Kleber,,80-99,,
5:52.0,Y. Ferrell misses 2-pt shot from 4 ft (block by M. Belinelli),,80-99,,
5:49.0,,,80-99,,Defensive rebound by B. Simmons
5:30.0,,,80-99,,D. Saric misses 3-pt shot from 25 ft
5:29.0,Defensive rebound by Team,,80-99,,
5:18.0,,,80-99,,Personal foul by B. Simmons (drawn by H. Barnes)
5:08.0,,,80-99,,Personal foul by B. Simmons (drawn by H. Barnes)
4:55.0,H. Barnes makes 2-pt shot from 2 ft,2,82-99,,
4:31.0,,,82-99,,J. Redick misses 3-pt shot from 27 ft (block by D. Powell)
4:28.0,Defensive rebound by D. Powell,,82-99,,
4:20.0,D. Powell makes 2-pt shot from 1 ft (assist by D. Smith),2,84-99,,
4:20.0,,,84-99,,Philadelphia full timeout
4:20.0,,,84-99,,R. Holmes enters the game for D. Saric
4:06.0,,,84-101,2,M. Belinelli makes 2-pt shot from 19 ft (assist by R. Covington)
3:41.0,D. Smith misses 3-pt shot from 25 ft,,84-101,,
