time,Memphis,pts.away,score,pts.home,Portland
6:28.0,,,7-15,1,A. Aminu makes free throw 2 of 2
6:17.0,M. Teague misses 2-pt shot from 15 ft,,7-15,,
6:13.0,,,7-15,,Defensive rebound by C. McCollum
6:05.0,,,7-17,2,C. McCollum makes 2-pt shot from 1 ft (assist by M. Leonard)
5:48.0,Turnover by J. Martin (bad pass; steal by D. Lillard),,7-17,,
5:44.0,,,7-19,2,M. Leonard makes 2-pt shot from 1 ft (assist by D. Lillard)
5:44.0,Memphis full timeout,,7-19,,
5:44.0,,,7-19,,P. Connaughton enters the game for E. Turner
5:44.0,B. McLemore enters the game for W. Selden,,7-19,,
5:35.0,,,7-19,,Personal foul by C. McCollum (drawn by D. Brooks)
5:20.0,M. Gasol misses 2-pt shot from 2 ft,,7-19,,
5:20.0,,,7-19,,Defensive rebound by Team
5:09.0,,,7-19,,P. Connaughton misses 3-pt shot from 25 ft
5:05.0,Defensive rebound by J. Martin,,7-19,,
4:57.0,J. Martin misses 3-pt shot from 24 ft,,7-19,,
4:56.0,,,7-19,,Defensive rebound by P. Connaughton
4:44.0,,,7-22,3,C. McCollum makes 3-pt shot from 25 ft (assist by P. Connaughton)
4:28.0,B. McLemore misses 2-pt shot from 17 ft,,7-22,,
4:25.0,,,7-22,,Defensive rebound by M. Leonard
4:18.0,,,7-22,,D. Lillard misses 3-pt shot from 27 ft
4:17.0,Defensive rebound by D. Brooks,,7-22,,
4:06.0,B. McLemore makes 3-pt shot from 22 ft (assist by J. Martin),3,10-22,,
3:49.0,,,10-22,,C. McCollum misses 2-pt shot at rim
3:47.0,Defensive rebound by D. Brooks,,10-22,,
3:37.0,M. Gasol makes 3-pt shot from 24 ft (assist by D. Brooks),3,13-22,,
3:21.0,Personal foul by M. Gasol (drawn by D. Lillard),,13-22,,
3:21.0,,,13-23,1,D. Lillard makes free throw 1 of 2
3:21.0,,,13-23,,S. Napier enters the game for C. McCollum
3:21.0,,,13-23,,Z. Collins enters the game for A. Aminu
3:21.0,D. Davis enters the game for D. Brooks,,13-23,,
3:21.0,W. Selden enters the game for M. Gasol,,13-23,,
3:21.0,,,13-24,1,D. Lillard makes free throw 2 of 2
3:05.0,Turnover by W. Selden (traveling),,13-24,,
2:44.0,,,13-26,2,M. Leonard makes 2-pt shot from 2 ft (assist by S. Napier)
2:33.0,,,13-26,,Personal foul by Z. Collins (drawn by D. Davis)
2:33.0,D. Davis makes free throw 1 of 2,1,14-26,,
2:33.0,I. Rabb enters the game for J. Martin,,14-26,,
2:33.0,D. Davis makes free throw 2 of 2,1,15-26,,
2:24.0,Personal foul by B. McLemore (drawn by D. Lillard),,15-26,,
2:24.0,,,15-27,1,D. Lillard makes free throw 1 of 2
2:24.0,,,15-28,1,D. Lillard makes free throw 2 of 2
2:14.0,D. Davis makes 2-pt shot from 11 ft (assist by M. Teague),2,17-28,,
1:47.0,,,17-28,,D. Lillard misses 3-pt shot from 29 ft
1:44.0,Defensive rebound by I. Rabb,,17-28,,
1:36.0,M. Teague misses 2-pt shot from 20 ft,,17-28,,
1:34.0,,,17-28,,Defensive rebound by Z. Collins
1:25.0,,,17-28,,Z. Collins misses 3-pt shot from 25 ft
1:23.0,Defensive rebound by D. Davis,,17-28,,
1:13.0,W. Selden makes 2-pt shot from 4 ft,2,19-28,,
0:59.0,Personal foul by B. McLemore (drawn by D. Lillard),,19-28,,
0:59.0,,,19-29,1,D. Lillard makes free throw 1 of 2
0:59.0,,,19-29,,C. Swanigan enters the game for M. Leonard
0:59.0,D. Brooks enters the game for B. McLemore,,19-29,,
0:59.0,,,19-30,1,D. Lillard makes free throw 2 of 2
0:46.0,W. Selden makes 2-pt shot from 19 ft (assist by D. Davis),2,21-30,,
0:36.0,,,21-30,,D. Lillard misses 3-pt shot from 24 ft
0:33.0,Defensive rebound by I. Rabb,,21-30,,
0:26.0,W. Selden misses 2-pt shot from 2 ft,,21-30,,
0:24.0,,,21-30,,Defensive rebound by C. Swanigan
0:03.0,,,21-32,2,C. Swanigan makes 2-pt shot from 2 ft (assist by D. Lillard)
0:00.0,D. Brooks makes 3-pt shot from 41 ft,3,24-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,I. Rabb misses 2-pt shot from 11 ft,,24-32,,
11:46.0,,,24-32,,Defensive rebound by S. Napier
11:43.0,Personal foul by W. Selden (drawn by C. McCollum),,24-32,,
11:35.0,,,24-32,,Z. Collins misses 2-pt shot from 1 ft
11:31.0,,,24-32,,Offensive rebound by C. Swanigan
11:31.0,,,24-34,2,C. Swanigan makes 2-pt shot at rim
11:20.0,D. Brooks makes 2-pt shot from 2 ft,2,26-34,,
10:58.0,,,26-34,,C. McCollum misses 2-pt shot from 15 ft
10:56.0,Defensive rebound by I. Rabb,,26-34,,
10:41.0,M. Teague misses 2-pt shot from 21 ft,,26-34,,
10:38.0,,,26-34,,Defensive rebound by P. Connaughton
10:36.0,,,26-34,,S. Napier misses 3-pt shot from 25 ft
10:32.0,Defensive rebound by I. Rabb,,26-34,,
10:23.0,D. Davis misses 2-pt shot from 3 ft,,26-34,,
10:20.0,,,26-34,,Defensive rebound by Z. Collins
10:12.0,,,26-36,2,C. McCollum makes 2-pt shot from 1 ft
9:53.0,W. Selden makes 3-pt shot from 27 ft (assist by M. Teague),3,29-36,,
9:31.0,,,29-39,3,Z. Collins makes 3-pt shot from 24 ft (assist by C. McCollum)
9:17.0,I. Rabb makes 2-pt shot from 19 ft (assist by D. Brooks),2,31-39,,
8:58.0,,,31-39,,Z. Collins misses 3-pt shot from 23 ft
8:56.0,Defensive rebound by M. Teague,,31-39,,
8:52.0,M. Teague makes 2-pt shot from 2 ft,2,33-39,,
8:52.0,,,33-39,,Violation by Z. Collins (def goaltending)
8:52.0,Shooting foul by S. Napier (drawn by M. Teague),,33-39,,
8:52.0,B. McLemore enters the game for W. Selden,,33-39,,
8:52.0,M. Teague makes free throw 1 of 1,1,34-39,,
8:34.0,,,34-39,,C. Swanigan misses 3-pt shot from 25 ft
8:32.0,Defensive rebound by D. Brooks,,34-39,,
8:27.0,D. Brooks makes 2-pt shot from 12 ft,2,36-39,,
8:27.0,Shooting foul by C. Swanigan (drawn by D. Brooks),,36-39,,
8:27.0,,,36-39,,Portland full timeout
8:27.0,,,36-39,,J. Nurkic enters the game for Z. Collins
8:27.0,K. Simmons enters the game for M. Teague,,36-39,,
8:27.0,D. Brooks makes free throw 1 of 1,1,37-39,,
8:16.0,,,37-41,2,J. Nurkic makes 2-pt shot from 1 ft (assist by C. McCollum)
7:56.0,D. Brooks misses 2-pt shot from 22 ft,,37-41,,
7:54.0,,,37-41,,Defensive rebound by C. Swanigan
7:48.0,,,37-41,,Turnover by S. Napier (lost ball; steal by D. Brooks)
7:43.0,B. McLemore makes 2-pt shot from 2 ft (assist by K. Simmons),2,39-41,,
7:31.0,,,39-43,2,J. Nurkic makes 2-pt shot at rim (assist by C. Swanigan)
7:18.0,I. Rabb makes 2-pt shot from 21 ft (assist by K. Simmons),2,41-43,,
7:00.0,,,41-43,,J. Nurkic misses 2-pt shot from 5 ft
6:58.0,Defensive rebound by I. Rabb,,41-43,,
6:46.0,D. Brooks misses 2-pt shot from 19 ft,,41-43,,
6:43.0,,,41-43,,Defensive rebound by J. Nurkic
6:22.0,,,41-43,,C. Swanigan misses 2-pt shot from 2 ft
6:20.0,Defensive rebound by D. Davis,,41-43,,
6:20.0,K. Simmons makes 2-pt shot from 5 ft,2,43-43,,
6:10.0,,,43-43,,C. McCollum misses 3-pt shot from 26 ft
6:05.0,Defensive rebound by B. McLemore,,43-43,,
6:01.0,Turnover by K. Simmons (bad pass; steal by C. McCollum),,43-43,,
5:50.0,,,43-45,2,C. McCollum makes 2-pt shot from 2 ft (assist by C. Swanigan)
5:33.0,D. Davis misses 2-pt shot from 19 ft,,43-45,,
5:30.0,Offensive rebound by I. Rabb,,43-45,,
5:28.0,B. McLemore misses 3-pt shot from 25 ft,,43-45,,
5:23.0,Offensive rebound by K. Simmons,,43-45,,
5:22.0,Turnover by D. Brooks (traveling),,43-45,,
5:22.0,,,43-45,,A. Aminu enters the game for C. McCollum
5:22.0,,,43-45,,D. Lillard enters the game for S. Napier
5:22.0,,,43-45,,E. Turner enters the game for C. Swanigan
5:22.0,J. Martin enters the game for I. Rabb,,43-45,,
5:22.0,M. Gasol enters the game for D. Davis,,43-45,,
5:06.0,,,43-48,3,A. Aminu makes 3-pt shot from 25 ft (assist by D. Lillard)
4:48.0,D. Brooks misses 2-pt shot from 2 ft,,43-48,,
4:46.0,,,43-48,,Defensive rebound by A. Aminu
4:40.0,,,43-48,,J. Nurkic misses 2-pt shot from 3 ft (block by D. Brooks)
4:38.0,Defensive rebound by J. Martin,,43-48,,
4:35.0,B. McLemore misses 2-pt shot from 3 ft,,43-48,,
4:31.0,Offensive rebound by K. Simmons,,43-48,,
4:31.0,K. Simmons misses 2-pt shot at rim,,43-48,,
4:30.0,Offensive rebound by D. Brooks,,43-48,,
4:30.0,D. Brooks makes 2-pt shot at rim,2,45-48,,
4:09.0,,,45-48,,E. Turner misses 3-pt shot from 24 ft
4:06.0,Defensive rebound by M. Gasol,,45-48,,
4:03.0,W. Selden enters the game for D. Brooks,,45-48,,
4:00.0,B. McLemore makes 2-pt shot from 16 ft (assist by K. Simmons),2,47-48,,
3:42.0,,,47-48,,J. Nurkic misses 2-pt shot from 2 ft (block by W. Selden)
3:40.0,Defensive rebound by W. Selden,,47-48,,
3:38.0,B. McLemore makes 2-pt shot from 1 ft (assist by W. Selden),2,49-48,,
3:38.0,,,49-48,,Portland full timeout
3:38.0,,,49-48,,C. McCollum enters the game for P. Connaughton
3:21.0,,,49-48,,Shooting foul by J. Martin (drawn by A. Aminu)
3:21.0,,,49-49,1,A. Aminu makes free throw 1 of 2
3:21.0,,,49-50,1,A. Aminu makes free throw 2 of 2
3:05.0,K. Simmons misses 2-pt shot from 1 ft,,49-50,,
3:05.0,,,49-50,,Defensive rebound by Team
3:05.0,I. Rabb enters the game for J. Martin,,49-50,,
2:53.0,,,49-50,,D. Lillard misses 3-pt shot from 25 ft
2:50.0,Defensive rebound by M. Gasol,,49-50,,
2:43.0,M. Gasol misses 3-pt shot from 25 ft,,49-50,,
2:41.0,,,49-50,,Defensive rebound by A. Aminu
2:34.0,,,49-53,3,A. Aminu makes 3-pt shot from 25 ft (assist by C. McCollum)
2:13.0,W. Selden misses 3-pt shot from 25 ft,,49-53,,
2:09.0,,,49-53,,Defensive rebound by D. Lillard
2:05.0,,,49-53,,Turnover by C. McCollum (traveling)
1:47.0,B. McLemore misses 2-pt shot from 20 ft,,49-53,,
1:44.0,,,49-53,,Defensive rebound by A. Aminu
1:40.0,,,49-53,,C. McCollum misses 2-pt shot from 5 ft
1:37.0,Defensive rebound by I. Rabb,,49-53,,
1:29.0,W. Selden makes 2-pt shot at rim,2,51-53,,
1:10.0,,,51-53,,D. Lillard misses 2-pt shot from 1 ft
1:06.0,Defensive rebound by I. Rabb,,51-53,,
1:03.0,Turnover by B. McLemore (out of bounds lost ball),,51-53,,
0:50.0,,,51-53,,C. McCollum misses 3-pt shot from 23 ft
0:48.0,Defensive rebound by M. Gasol,,51-53,,
0:27.0,I. Rabb misses 2-pt shot from 4 ft,,51-53,,
0:26.0,Offensive rebound by B. McLemore,,51-53,,
0:25.0,B. McLemore misses 2-pt shot from 9 ft,,51-53,,
0:24.0,,,51-53,,Defensive rebound by A. Aminu
0:06.0,,,51-53,,Shooting foul by K. Simmons (drawn by D. Lillard)
0:06.0,,,51-54,1,D. Lillard makes free throw 1 of 2
0:06.0,,,51-54,,M. Leonard enters the game for J. Nurkic
0:06.0,,,51-55,1,D. Lillard makes free throw 2 of 2
0:06.0,D. Brooks enters the game for B. McLemore,,51-55,,
0:01.0,Turnover by K. Simmons (bad pass; steal by C. McCollum),,51-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,W. Selden misses 2-pt shot from 8 ft,,51-55,,
11:42.0,,,51-55,,Defensive rebound by J. Nurkic
11:33.0,,,51-58,3,E. Turner makes 3-pt shot from 22 ft (assist by C. McCollum)
11:22.0,D. Brooks makes 3-pt shot from 23 ft (assist by M. Gasol),3,54-58,,
11:05.0,,,54-58,,Shooting foul by D. Brooks (drawn by C. McCollum)
11:05.0,Technical foul by W. Selden,,54-58,,
11:05.0,,,54-59,1,D. Lillard makes technical free throw
11:05.0,,,54-60,1,C. McCollum makes free throw 1 of 2
11:05.0,,,54-61,1,C. McCollum makes free throw 2 of 2
10:52.0,D. Brooks misses 2-pt shot from 17 ft,,54-61,,
10:50.0,,,54-61,,Defensive rebound by J. Nurkic
10:43.0,Personal foul by M. Gasol (drawn by J. Nurkic),,54-61,,
10:29.0,,,54-61,,A. Aminu misses 3-pt shot from 22 ft
10:29.0,Defensive rebound by Team,,54-61,,
10:12.0,Turnover by D. Brooks (lost ball; steal by C. McCollum),,54-61,,
10:07.0,,,54-63,2,E. Turner makes 2-pt shot from 2 ft (assist by D. Lillard)
10:06.0,Memphis full timeout,,54-63,,
9:43.0,M. Gasol makes 2-pt shot from 15 ft (assist by D. Brooks),2,56-63,,
9:27.0,,,56-63,,C. McCollum misses 3-pt shot from 25 ft
9:24.0,Defensive rebound by J. Martin,,56-63,,
9:20.0,Memphis full timeout,,56-63,,
9:20.0,B. McLemore enters the game for W. Selden,,56-63,,
9:12.0,Turnover by M. Gasol (step out of bounds),,56-63,,
8:50.0,,,56-65,2,J. Nurkic makes 2-pt shot at rim (assist by C. McCollum)
8:41.0,D. Brooks makes 2-pt shot from 14 ft (assist by M. Gasol),2,58-65,,
8:27.0,,,58-67,2,E. Turner makes 2-pt shot from 16 ft
8:14.0,,,58-67,,Personal foul by C. McCollum (drawn by D. Brooks)
8:04.0,K. Simmons misses 2-pt shot from 11 ft,,58-67,,
8:01.0,,,58-67,,Defensive rebound by J. Nurkic
7:51.0,,,58-69,2,A. Aminu makes 2-pt shot from 1 ft (assist by J. Nurkic)
7:37.0,D. Brooks makes 2-pt shot at rim,2,60-69,,
7:26.0,,,60-69,,Turnover by A. Aminu (bad pass; steal by B. McLemore)
7:25.0,Shooting foul by J. Nurkic (drawn by D. Brooks),,60-69,,
7:25.0,D. Brooks makes free throw 1 of 2,1,61-69,,
7:25.0,M. Teague enters the game for K. Simmons,,61-69,,
7:25.0,D. Brooks misses free throw 2 of 2,,61-69,,
7:22.0,,,61-69,,Defensive rebound by A. Aminu
7:14.0,,,61-72,3,C. McCollum makes 3-pt shot from 26 ft (assist by D. Lillard)
6:56.0,Turnover by D. Brooks (traveling),,61-72,,
6:45.0,,,61-72,,J. Nurkic misses 2-pt shot from 20 ft
6:42.0,Defensive rebound by D. Brooks,,61-72,,
6:37.0,Turnover by D. Brooks (bad pass; steal by J. Nurkic),,61-72,,
6:33.0,,,61-72,,J. Nurkic misses 2-pt shot from 5 ft
6:32.0,,,61-72,,Offensive rebound by C. McCollum
6:31.0,,,61-72,,C. McCollum misses 2-pt shot at rim (block by M. Gasol)
6:29.0,Defensive rebound by B. McLemore,,61-72,,
6:19.0,B. McLemore misses 2-pt shot at rim,,61-72,,
6:19.0,,,61-72,,Defensive rebound by J. Nurkic
6:12.0,,,61-74,2,D. Lillard makes 2-pt shot from 1 ft
5:57.0,Turnover by M. Teague (bad pass; steal by A. Aminu),,61-74,,
5:54.0,,,61-76,2,A. Aminu makes 2-pt shot at rim (assist by D. Lillard)
5:54.0,,,61-76,,Shooting foul by M. Teague (drawn by A. Aminu)
5:54.0,,,61-77,1,A. Aminu makes free throw 1 of 1
5:54.0,W. Selden enters the game for D. Brooks,,61-77,,
5:54.0,D. Davis enters the game for M. Gasol,,61-77,,
5:29.0,B. McLemore misses 3-pt shot from 24 ft,,61-77,,
5:21.0,Offensive rebound by J. Martin,,61-77,,
5:21.0,J. Martin makes 2-pt shot at rim,2,63-77,,
5:11.0,,,63-77,,C. McCollum misses 3-pt shot from 26 ft
5:08.0,,,63-77,,Offensive rebound by Team
5:05.0,,,63-77,,Turnover by E. Turner (bad pass; steal by M. Teague)
5:01.0,J. Martin misses 2-pt shot at rim,,63-77,,
4:58.0,,,63-77,,Defensive rebound by D. Lillard
4:55.0,,,63-79,2,C. McCollum makes 2-pt shot at rim (assist by D. Lillard)
4:47.0,Turnover by W. Selden (traveling),,63-79,,
4:47.0,,,63-79,,M. Leonard enters the game for E. Turner
4:47.0,,,63-79,,S. Napier enters the game for J. Nurkic
4:32.0,,,63-79,,D. Lillard misses 2-pt shot from 2 ft (block by J. Martin)
4:32.0,,,63-79,,Offensive rebound by Team
4:31.0,Personal foul by D. Davis (drawn by M. Leonard),,63-79,,
4:20.0,,,63-79,,Turnover by A. Aminu (traveling)
4:08.0,Turnover by W. Selden (bad pass; steal by C. McCollum),,63-79,,
4:00.0,,,63-82,3,D. Lillard makes 3-pt shot from 24 ft (assist by C. McCollum)
3:45.0,W. Selden makes 3-pt shot from 27 ft,3,66-82,,
3:18.0,Personal foul by D. Davis (drawn by C. McCollum),,66-82,,
3:18.0,,,66-83,1,C. McCollum makes free throw 1 of 2
3:18.0,,,66-83,,Z. Collins enters the game for A. Aminu
3:18.0,,,66-84,1,C. McCollum makes free throw 2 of 2
3:05.0,M. Teague makes 2-pt shot from 7 ft,2,68-84,,
2:52.0,,,68-84,,S. Napier misses 3-pt shot from 25 ft
2:49.0,,,68-84,,Offensive rebound by M. Leonard
2:46.0,,,68-84,,D. Lillard misses 3-pt shot from 26 ft
2:44.0,Defensive rebound by B. McLemore,,68-84,,
2:32.0,Turnover by J. Martin (bad pass; steal by D. Lillard),,68-84,,
2:25.0,,,68-86,2,C. McCollum makes 2-pt shot from 1 ft (assist by M. Leonard)
2:03.0,Turnover by M. Teague (traveling),,68-86,,
2:03.0,,,68-86,,P. Connaughton enters the game for C. McCollum
2:03.0,I. Rabb enters the game for J. Martin,,68-86,,
1:54.0,,,68-89,3,P. Connaughton makes 3-pt shot from 26 ft (assist by Z. Collins)
1:53.0,Memphis full timeout,,68-89,,
1:53.0,K. Simmons enters the game for M. Teague,,68-89,,
1:53.0,D. Brooks enters the game for B. McLemore,,68-89,,
1:41.0,W. Selden misses 2-pt shot from 5 ft (block by Z. Collins),,68-89,,
1:41.0,Offensive rebound by Team,,68-89,,
1:31.0,W. Selden misses 3-pt shot from 24 ft,,68-89,,
1:28.0,,,68-89,,Defensive rebound by M. Leonard
1:22.0,Personal foul by W. Selden (drawn by D. Lillard),,68-89,,
1:22.0,,,68-90,1,D. Lillard makes free throw 1 of 2
1:22.0,,,68-91,1,D. Lillard makes free throw 2 of 2
1:09.0,D. Brooks makes 2-pt shot from 11 ft,2,70-91,,
0:51.0,,,70-94,3,Z. Collins makes 3-pt shot from 22 ft (assist by P. Connaughton)
0:37.0,W. Selden misses 2-pt shot from 13 ft,,70-94,,
0:35.0,Offensive rebound by W. Selden,,70-94,,
0:35.0,W. Selden makes 2-pt shot at rim,2,72-94,,
0:29.0,,,72-96,2,D. Lillard makes 2-pt shot from 16 ft
0:06.0,D. Brooks makes 3-pt shot from 24 ft,3,75-96,,
0:01.0,,,75-98,2,D. Lillard makes 2-pt shot from 1 ft
0:01.0,Violation by D. Davis (def goaltending),,75-98,,
0:00.0,D. Brooks misses 3-pt shot from 58 ft (block by P. Connaughton),,75-98,,
0:00.0,Offensive rebound by Team,,75-98,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,75-98,,S. Napier misses 2-pt shot from 2 ft (block by D. Davis)
11:45.0,Defensive rebound by D. Brooks,,75-98,,
11:40.0,Turnover by K. Simmons (bad pass; steal by S. Napier),,75-98,,
11:27.0,,,75-98,,Shooting foul by D. Davis (drawn by Z. Collins)
11:27.0,,,75-98,,Z. Collins misses free throw 1 of 2
11:27.0,,,75-98,,Offensive rebound by Team
11:27.0,,,75-99,1,Z. Collins makes free throw 2 of 2
11:10.0,W. Selden misses 2-pt shot from 10 ft,,75-99,,
11:06.0,,,75-99,,Defensive rebound by S. Napier
10:55.0,Jump ball: Z. Collins vs. K. Simmons (D. Brooks gains possession),,,,Jump ball: Z. Collins vs. K. Simmons (D. Brooks gains possession)
10:55.0,,,75-99,,Turnover by Z. Collins (turnover; steal by K. Simmons)
10:46.0,K. Simmons makes 2-pt shot from 3 ft,2,77-99,,
10:24.0,,,77-101,2,S. Napier makes 2-pt shot from 1 ft
10:07.0,D. Brooks misses 2-pt shot from 1 ft,,77-101,,
10:05.0,,,77-101,,Defensive rebound by M. Leonard
10:00.0,,,77-101,,M. Leonard misses 2-pt shot from 10 ft
9:54.0,,,77-101,,Offensive rebound by Z. Collins
9:54.0,,,77-101,,Z. Collins misses 2-pt shot from 1 ft
9:54.0,Defensive rebound by I. Rabb,,77-101,,
9:44.0,D. Davis makes 2-pt shot from 18 ft (assist by W. Selden),2,79-101,,
9:27.0,,,79-101,,S. Napier misses 3-pt shot from 26 ft
9:25.0,Defensive rebound by I. Rabb,,79-101,,
9:12.0,Shooting foul by P. Connaughton (drawn by W. Selden),,79-101,,
9:12.0,W. Selden misses free throw 1 of 2,,79-101,,
9:12.0,Offensive rebound by Team,,79-101,,
9:12.0,M. Teague enters the game for K. Simmons,,79-101,,
9:12.0,J. Martin enters the game for I. Rabb,,79-101,,
9:12.0,W. Selden makes free throw 2 of 2,1,80-101,,
8:54.0,,,80-101,,S. Napier misses 3-pt shot from 26 ft
8:50.0,Defensive rebound by D. Davis,,80-101,,
8:43.0,D. Brooks misses 2-pt shot from 10 ft,,80-101,,
8:43.0,,,80-101,,Defensive rebound by S. Napier
8:31.0,,,80-101,,Z. Collins misses 3-pt shot from 22 ft
8:28.0,,,80-101,,Offensive rebound by P. Connaughton
8:12.0,,,80-101,,Turnover by C. McCollum (lost ball; steal by J. Martin)
8:08.0,Turnover by J. Martin (out of bounds lost ball),,80-101,,
8:08.0,B. McLemore enters the game for W. Selden,,80-101,,
7:54.0,,,80-103,2,M. Leonard makes 2-pt shot at rim (assist by P. Connaughton)
7:39.0,,,80-103,,Personal foul by C. McCollum (drawn by D. Brooks)
7:33.0,D. Brooks misses 3-pt shot from 25 ft,,80-103,,
7:28.0,,,80-103,,Defensive rebound by M. Leonard
7:21.0,,,80-103,,Turnover by S. Napier (bad pass)
7:00.0,J. Martin misses 3-pt shot from 24 ft,,80-103,,
6:56.0,Offensive rebound by M. Teague,,80-103,,
6:52.0,D. Davis misses 2-pt shot from 15 ft,,80-103,,
6:51.0,Offensive rebound by B. McLemore,,80-103,,
6:51.0,B. McLemore makes 2-pt shot at rim,2,82-103,,
6:51.0,,,82-103,,Portland full timeout
6:51.0,,,82-103,,W. Baldwin enters the game for C. McCollum
6:51.0,I. Rabb enters the game for D. Davis,,82-103,,
6:45.0,,,82-103,,Offensive foul by W. Baldwin (drawn by M. Teague)
6:45.0,,,82-103,,Turnover by W. Baldwin (offensive foul)
6:26.0,J. Martin makes 2-pt shot from 15 ft (assist by M. Teague),2,84-103,,
6:00.0,,,84-103,,Z. Collins misses 2-pt shot from 8 ft
5:56.0,Defensive rebound by I. Rabb,,84-103,,
5:50.0,D. Brooks makes 3-pt shot from 28 ft (assist by M. Teague),3,87-103,,
5:30.0,,,87-103,,Turnover by M. Leonard (out of bounds lost ball)
5:17.0,Shooting foul by P. Connaughton (drawn by B. McLemore),,87-103,,
5:17.0,B. McLemore makes free throw 1 of 2,1,88-103,,
5:17.0,B. McLemore makes free throw 2 of 2,1,89-103,,
5:00.0,,,89-103,,S. Napier misses 2-pt shot from 15 ft
4:59.0,,,89-103,,Offensive rebound by Team
4:59.0,Loose ball foul by J. Martin (drawn by M. Leonard),,89-103,,
4:57.0,,,89-103,,Turnover by P. Connaughton (bad pass; steal by D. Brooks)
4:51.0,I. Rabb makes 2-pt shot from 5 ft (assist by M. Teague),2,91-103,,
4:29.0,,,91-103,,S. Napier misses 3-pt shot from 27 ft
4:27.0,Defensive rebound by I. Rabb,,91-103,,
4:19.0,D. Brooks makes 2-pt shot from 10 ft,2,93-103,,
4:19.0,,,93-103,,Portland full timeout
4:19.0,,,93-103,,E. Turner enters the game for P. Connaughton
4:19.0,,,93-103,,D. Lillard enters the game for S. Napier
4:19.0,,,93-103,,A. Aminu enters the game for M. Leonard
4:19.0,,,93-103,,C. McCollum enters the game for Z. Collins
4:19.0,,,93-103,,J. Nurkic enters the game for W. Baldwin
