time,New Orleans,pts.away,score,pts.home,Miami
7:03.0,,,12-14,,G. Dragic misses 2-pt shot from 2 ft
7:00.0,Defensive rebound by E. Moore,,12-14,,
6:51.0,,,12-14,,Personal foul by G. Dragic (drawn by D. Cousins)
6:51.0,,,12-14,,Miami full timeout
6:39.0,R. Rondo makes 3-pt shot from 23 ft (assist by D. Cousins),3,15-14,,
6:22.0,,,15-14,,B. Adebayo misses 2-pt shot from 2 ft
6:21.0,,,15-14,,Offensive rebound by B. Adebayo
6:21.0,Personal foul by E. Moore (drawn by B. Adebayo),,15-14,,
6:18.0,Personal foul by D. Cousins (drawn by B. Adebayo),,15-14,,
6:18.0,D. Cunningham enters the game for D. Cousins,,15-14,,
6:13.0,,,15-14,,T. Johnson misses 2-pt shot from 20 ft
6:10.0,Defensive rebound by J. Holiday,,15-14,,
6:02.0,Turnover by R. Rondo (step out of bounds),,15-14,,
5:50.0,,,15-16,2,G. Dragic makes 2-pt shot from 3 ft
5:39.0,E. Moore misses 2-pt shot from 4 ft (block by K. Olynyk),,15-16,,
5:35.0,,,15-16,,Defensive rebound by G. Dragic
5:20.0,,,15-16,,G. Dragic misses 3-pt shot from 27 ft
5:16.0,,,15-16,,Offensive rebound by J. Richardson
5:01.0,,,15-16,,K. Olynyk misses 2-pt shot from 3 ft
5:01.0,Defensive rebound by Team,,15-16,,
5:01.0,,,15-16,,Loose ball foul by K. Olynyk (drawn by D. Cunningham)
5:01.0,,,15-16,,W. Ellington enters the game for J. Richardson
4:41.0,A. Davis misses 2-pt shot from 10 ft,,15-16,,
4:41.0,,,15-16,,Defensive rebound by Team
4:37.0,,,15-16,,G. Dragic misses 2-pt shot from 3 ft
4:34.0,,,15-16,,Offensive rebound by B. Adebayo
4:31.0,,,15-18,2,B. Adebayo makes 2-pt shot from 2 ft
4:17.0,J. Holiday misses 3-pt shot from 26 ft,,15-18,,
4:14.0,Offensive rebound by D. Cunningham,,15-18,,
4:11.0,E. Moore makes 2-pt shot from 2 ft (assist by D. Cunningham),2,17-18,,
3:57.0,,,17-20,2,T. Johnson makes 2-pt shot from 1 ft (assist by K. Olynyk)
3:48.0,D. Cunningham misses 2-pt shot from 2 ft,,17-20,,
3:41.0,Offensive rebound by Team,,17-20,,
3:39.0,D. Cunningham makes 2-pt shot from 5 ft (assist by E. Moore),2,19-20,,
3:22.0,,,19-20,,G. Dragic misses 2-pt shot from 19 ft
3:21.0,Defensive rebound by R. Rondo,,19-20,,
3:20.0,Turnover by R. Rondo (bad pass),,19-20,,
3:19.0,,,19-20,,J. Richardson enters the game for G. Dragic
3:19.0,D. Miller enters the game for R. Rondo,,19-20,,
3:19.0,,,19-20,,J. Johnson enters the game for B. Adebayo
3:04.0,,,19-20,,K. Olynyk misses 2-pt shot from 5 ft (block by D. Cunningham)
3:02.0,Defensive rebound by D. Cunningham,,19-20,,
3:02.0,Shooting foul by T. Johnson (drawn by A. Davis),,19-20,,
3:02.0,A. Davis makes free throw 1 of 2,1,20-20,,
3:02.0,,,20-20,,J. Mickey enters the game for K. Olynyk
3:02.0,A. Davis misses free throw 2 of 2,,20-20,,
2:56.0,,,20-20,,Defensive rebound by J. Mickey
2:51.0,,,20-20,,J. Richardson misses 2-pt shot from 3 ft (block by A. Davis)
2:46.0,Defensive rebound by J. Holiday,,20-20,,
2:38.0,Shooting foul by J. Mickey (drawn by J. Holiday),,20-20,,
2:38.0,New Orleans full timeout,,20-20,,
2:38.0,J. Holiday makes free throw 1 of 2,1,21-20,,
2:38.0,J. Holiday makes free throw 2 of 2,1,22-20,,
2:13.0,,,22-20,,Turnover by J. Mickey (bad pass; steal by D. Miller)
2:03.0,J. Holiday misses 2-pt shot from 6 ft,,22-20,,
2:00.0,,,22-20,,Defensive rebound by W. Ellington
1:49.0,,,22-20,,J. Mickey misses 3-pt shot from 23 ft
1:46.0,Defensive rebound by E. Moore,,22-20,,
1:34.0,A. Davis misses 2-pt shot from 17 ft,,22-20,,
1:30.0,,,22-20,,Defensive rebound by J. Richardson
1:21.0,,,22-20,,J. Richardson misses 2-pt shot from 18 ft (block by J. Holiday)
1:17.0,Defensive rebound by J. Holiday,,22-20,,
1:14.0,J. Holiday misses 2-pt shot from 2 ft,,22-20,,
1:11.0,,,22-20,,Defensive rebound by J. Richardson
1:00.0,,,22-22,2,T. Johnson makes 2-pt shot from 2 ft
0:48.0,D. Miller makes 3-pt shot from 26 ft (assist by A. Davis),3,25-22,,
0:28.0,,,25-22,,T. Johnson misses 3-pt shot from 24 ft
0:25.0,,,25-22,,Offensive rebound by J. Mickey
0:11.0,,,25-25,3,W. Ellington makes 3-pt shot from 26 ft (assist by J. Mickey)
0:03.0,Shooting foul by J. Mickey (drawn by A. Davis),,25-25,,
0:03.0,A. Davis makes free throw 1 of 2,1,26-25,,
0:03.0,I. Clark enters the game for J. Holiday,,26-25,,
0:03.0,J. Nelson enters the game for E. Moore,,26-25,,
0:03.0,A. Davis makes free throw 2 of 2,1,27-25,,
0:00.0,Personal foul by D. Miller (drawn by J. Richardson),,27-25,,
0:00.0,,,27-28,2,J. Johnson makes 3-pt shot from 26 ft (assist by J. Richardson)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,27-28,,J. Richardson misses 3-pt shot from 27 ft
11:35.0,Defensive rebound by D. Cousins,,27-28,,
11:29.0,D. Miller makes 3-pt shot from 25 ft (assist by D. Cousins),3,30-28,,
11:06.0,,,30-30,2,J. Johnson makes 2-pt shot from 6 ft
10:48.0,D. Miller misses 3-pt shot from 23 ft,,30-30,,
10:44.0,,,30-30,,Defensive rebound by J. Mickey
10:38.0,,,30-30,,J. Richardson misses 3-pt shot from 24 ft
10:34.0,Defensive rebound by D. Miller,,30-30,,
10:26.0,Turnover by D. Cousins (lost ball; steal by J. Johnson),,30-30,,
10:19.0,,,30-30,,W. Ellington misses 3-pt shot from 28 ft
10:16.0,Defensive rebound by J. Nelson,,30-30,,
10:02.0,Turnover by D. Cousins (bad pass; steal by J. Richardson),,30-30,,
9:54.0,,,30-30,,J. Mickey misses 2-pt shot from 6 ft (block by D. Cunningham)
9:51.0,,,30-30,,Offensive rebound by J. Mickey
9:51.0,,,30-30,,Shooting foul by D. Cunningham (drawn by J. Mickey)
9:51.0,,,30-31,1,J. Mickey makes free throw 1 of 2
9:51.0,,,30-31,,J. Mickey misses free throw 2 of 2
9:48.0,Defensive rebound by D. Cousins,,30-31,,
9:39.0,I. Clark misses 3-pt shot from 28 ft,,30-31,,
9:34.0,,,30-31,,Defensive rebound by J. Mickey
9:28.0,,,30-31,,W. Ellington misses 3-pt shot from 26 ft
9:24.0,,,30-31,,Offensive rebound by J. Johnson
9:16.0,,,30-34,3,D. Walton makes 3-pt shot from 24 ft (assist by J. Mickey)
9:06.0,J. Nelson makes 2-pt shot from 15 ft,2,32-34,,
8:54.0,Personal foul by I. Clark (drawn by W. Ellington),,32-34,,
8:47.0,,,32-36,2,J. Mickey makes 2-pt shot from 2 ft (assist by D. Walton)
8:32.0,Turnover by J. Nelson (bad pass),,32-36,,
8:18.0,,,32-36,,W. Ellington misses 3-pt shot from 26 ft
8:15.0,Defensive rebound by D. Cunningham,,32-36,,
8:03.0,I. Clark makes 3-pt shot from 26 ft (assist by D. Miller),3,35-36,,
7:44.0,,,35-38,2,J. Johnson makes 2-pt shot from 3 ft
7:16.0,D. Cunningham makes 3-pt shot from 22 ft (assist by D. Miller),3,38-38,,
7:10.0,,,38-38,,Miami full timeout
7:10.0,,,38-38,,K. Olynyk enters the game for J. Johnson
7:10.0,,,38-38,,B. Adebayo enters the game for J. Mickey
7:01.0,,,38-38,,Turnover by D. Walton (bad pass; steal by D. Cousins)
6:57.0,D. Cousins makes 2-pt shot from 3 ft,2,40-38,,
6:48.0,,,40-38,,Personal foul by B. Adebayo (drawn by D. Cousins)
6:48.0,,,40-38,,Turnover by B. Adebayo (turnover)
6:48.0,,,40-38,,T. Johnson enters the game for J. Richardson
6:25.0,J. Nelson makes 3-pt shot from 27 ft (assist by D. Cunningham),3,43-38,,
6:11.0,,,43-38,,W. Ellington misses 3-pt shot from 26 ft
6:07.0,Defensive rebound by D. Cousins,,43-38,,
5:59.0,I. Clark makes 2-pt shot from 9 ft (assist by D. Cousins),2,45-38,,
5:35.0,,,45-38,,T. Johnson misses 2-pt shot from 1 ft (block by D. Cousins)
5:35.0,,,45-38,,Offensive rebound by Team
5:35.0,,,45-38,,G. Dragic enters the game for D. Walton
5:34.0,,,45-38,,Offensive charge foul by K. Olynyk (drawn by D. Cousins)
5:34.0,,,45-38,,Turnover by K. Olynyk (offensive foul)
5:15.0,D. Miller misses 3-pt shot from 26 ft,,45-38,,
5:10.0,,,45-38,,Defensive rebound by K. Olynyk
5:03.0,,,45-38,,K. Olynyk misses 2-pt shot from 12 ft
5:00.0,Defensive rebound by D. Cousins,,45-38,,
4:53.0,D. Cousins misses 3-pt shot from 28 ft,,45-38,,
4:49.0,,,45-38,,Defensive rebound by G. Dragic
4:44.0,,,45-38,,Shooting foul by D. Miller (drawn by G. Dragic)
4:44.0,,,45-38,,G. Dragic misses free throw 1 of 2
4:44.0,,,45-38,,Offensive rebound by Team
4:44.0,A. Davis enters the game for D. Cousins,,45-38,,
4:44.0,E. Moore enters the game for I. Clark,,45-38,,
4:44.0,J. Holiday enters the game for J. Nelson,,45-38,,
4:44.0,R. Rondo enters the game for D. Miller,,45-38,,
4:44.0,,,45-39,1,G. Dragic makes free throw 2 of 2
4:34.0,,,45-39,,Personal foul by T. Johnson (drawn by J. Holiday)
4:28.0,J. Holiday makes 2-pt shot from 3 ft (assist by R. Rondo),2,47-39,,
4:05.0,,,47-39,,G. Dragic misses 2-pt shot from 18 ft
4:03.0,,,47-39,,Offensive rebound by G. Dragic
4:00.0,,,47-41,2,G. Dragic makes 2-pt shot from 1 ft
3:42.0,E. Moore makes 3-pt shot from 23 ft (assist by A. Davis),3,50-41,,
3:24.0,,,50-43,2,T. Johnson makes 2-pt shot from 2 ft (assist by B. Adebayo)
3:17.0,J. Holiday misses 2-pt shot from 20 ft,,50-43,,
3:13.0,,,50-43,,Defensive rebound by K. Olynyk
2:54.0,,,50-43,,W. Ellington misses 2-pt shot from 3 ft (block by A. Davis)
2:46.0,Defensive rebound by R. Rondo,,50-43,,
2:37.0,,,50-43,,Personal foul by T. Johnson (drawn by A. Davis)
2:37.0,New Orleans full timeout,,50-43,,
2:37.0,,,50-43,,J. Richardson enters the game for T. Johnson
2:37.0,D. Cousins enters the game for D. Cunningham,,50-43,,
2:30.0,,,50-43,,Personal foul by W. Ellington (drawn by A. Davis)
2:24.0,R. Rondo misses 2-pt shot from 4 ft (block by G. Dragic),,50-43,,
2:19.0,,,50-43,,Defensive rebound by K. Olynyk
2:08.0,,,50-46,3,K. Olynyk makes 3-pt shot from 26 ft (assist by B. Adebayo)
2:00.0,Shooting foul by K. Olynyk (drawn by D. Cousins),,50-46,,
2:00.0,D. Cousins makes free throw 1 of 2,1,51-46,,
2:00.0,,,51-46,,J. Mickey enters the game for K. Olynyk
2:00.0,D. Cousins makes free throw 2 of 2,1,52-46,,
1:41.0,,,52-49,3,W. Ellington makes 3-pt shot from 25 ft (assist by B. Adebayo)
1:24.0,E. Moore makes 2-pt shot from 7 ft (assist by J. Holiday),2,54-49,,
1:11.0,,,54-51,2,J. Richardson makes 2-pt shot from 19 ft
0:55.0,A. Davis misses 2-pt shot from 14 ft,,54-51,,
0:51.0,,,54-51,,Defensive rebound by B. Adebayo
0:48.0,,,54-51,,Shooting foul by D. Cousins (drawn by G. Dragic)
0:48.0,,,54-52,1,G. Dragic makes free throw 1 of 2
0:48.0,D. Cunningham enters the game for D. Cousins,,54-52,,
0:48.0,,,54-53,1,G. Dragic makes free throw 2 of 2
0:41.0,Turnover by R. Rondo (bad pass),,54-53,,
0:30.0,,,54-53,,Turnover by G. Dragic (out of bounds lost ball)
0:17.0,E. Moore makes 2-pt shot from 12 ft,2,56-53,,
0:00.0,,,56-53,,G. Dragic misses 2-pt shot from 3 ft
0:00.0,,,56-53,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,56-55,2,K. Olynyk makes 2-pt shot from 22 ft (assist by J. Richardson)
11:19.0,A. Davis misses 2-pt shot from 9 ft (block by B. Adebayo),,56-55,,
11:16.0,,,56-55,,Defensive rebound by B. Adebayo
11:08.0,,,56-55,,T. Johnson misses 3-pt shot from 24 ft
11:04.0,Defensive rebound by D. Cousins,,56-55,,
10:55.0,J. Holiday misses 3-pt shot from 24 ft,,56-55,,
10:52.0,Offensive rebound by A. Davis,,56-55,,
10:44.0,D. Cousins makes 3-pt shot from 26 ft (assist by J. Holiday),3,59-55,,
10:17.0,,,59-55,,J. Richardson misses 3-pt shot from 26 ft
10:14.0,,,59-55,,Offensive rebound by G. Dragic
10:13.0,,,59-55,,G. Dragic misses 3-pt shot from 26 ft
10:09.0,,,59-55,,Offensive rebound by T. Johnson
9:55.0,,,59-57,2,B. Adebayo makes 2-pt shot from 4 ft
9:44.0,J. Holiday makes 2-pt shot from 3 ft (assist by R. Rondo),2,61-57,,
9:26.0,,,61-60,3,T. Johnson makes 3-pt shot from 26 ft (assist by K. Olynyk)
9:15.0,Shooting foul by K. Olynyk (drawn by D. Cousins),,61-60,,
9:15.0,D. Cousins makes free throw 1 of 2,1,62-60,,
9:15.0,,,62-60,,J. Mickey enters the game for K. Olynyk
9:15.0,D. Cousins makes free throw 2 of 2,1,63-60,,
8:56.0,,,63-60,,J. Richardson misses 2-pt shot from 15 ft
8:53.0,Defensive rebound by J. Holiday,,63-60,,
8:39.0,E. Moore misses 3-pt shot from 25 ft,,63-60,,
8:34.0,,,63-60,,Defensive rebound by T. Johnson
8:24.0,,,63-60,,B. Adebayo misses 2-pt shot from 3 ft
8:21.0,Defensive rebound by A. Davis,,63-60,,
8:12.0,Shooting foul by J. Mickey (drawn by D. Cousins),,63-60,,
8:12.0,D. Cousins misses free throw 1 of 2,,63-60,,
8:12.0,Offensive rebound by Team,,63-60,,
8:12.0,D. Cousins makes free throw 2 of 2,1,64-60,,
7:48.0,,,64-60,,Turnover by Team (shot clock)
7:35.0,A. Davis misses 2-pt shot from 6 ft,,64-60,,
7:32.0,,,64-60,,Defensive rebound by T. Johnson
7:27.0,,,64-62,2,T. Johnson makes 2-pt shot from 3 ft
7:11.0,J. Holiday misses 2-pt shot from 5 ft,,64-62,,
7:02.0,Offensive rebound by J. Holiday,,64-62,,
7:02.0,J. Holiday makes 2-pt shot at rim,2,66-62,,
6:54.0,,,66-62,,Miami full timeout
6:54.0,I. Clark enters the game for E. Moore,,66-62,,
6:45.0,,,66-62,,J. Mickey misses 2-pt shot from 2 ft
6:42.0,Defensive rebound by A. Davis,,66-62,,
6:28.0,A. Davis makes 2-pt shot from 2 ft (assist by D. Cousins),2,68-62,,
6:09.0,,,68-64,2,T. Johnson makes 2-pt shot from 18 ft (assist by B. Adebayo)
5:54.0,,,68-64,,Personal foul by J. Richardson (drawn by J. Holiday)
5:54.0,,,68-64,,W. Ellington enters the game for J. Richardson
5:44.0,I. Clark makes 3-pt shot from 22 ft (assist by D. Cousins),3,71-64,,
5:32.0,Personal foul by R. Rondo (drawn by G. Dragic),,71-64,,
5:26.0,,,71-64,,T. Johnson misses 2-pt shot from 9 ft (block by A. Davis)
5:22.0,Defensive rebound by A. Davis,,71-64,,
5:15.0,,,71-64,,Violation by G. Dragic (kicked ball)
5:06.0,I. Clark makes 3-pt shot from 22 ft (assist by J. Holiday),3,74-64,,
4:42.0,,,74-64,,Offensive charge foul by J. Mickey (drawn by D. Cousins)
4:42.0,,,74-64,,Turnover by J. Mickey (offensive foul)
4:28.0,A. Davis makes 3-pt shot from 24 ft (assist by I. Clark),3,77-64,,
4:28.0,,,77-64,,T. Johnson misses 2-pt shot from 9 ft
4:28.0,Defensive rebound by A. Davis,,77-64,,
4:00.0,R. Rondo makes 2-pt shot from 2 ft (assist by A. Davis),2,79-64,,
4:00.0,,,79-64,,Miami full timeout
4:00.0,,,79-64,,J. Richardson enters the game for G. Dragic
3:45.0,,,79-64,,Turnover by T. Johnson (bad pass; steal by D. Cousins)
3:35.0,,,79-64,,Personal foul by J. Mickey (drawn by A. Davis)
3:35.0,,,79-64,,U. Haslem enters the game for J. Mickey
3:26.0,A. Davis makes 2-pt shot from 3 ft (assist by D. Cousins),2,81-64,,
3:14.0,,,81-64,,W. Ellington misses 3-pt shot from 27 ft
3:11.0,,,81-64,,Offensive rebound by B. Adebayo
2:59.0,,,81-67,3,T. Johnson makes 3-pt shot from 23 ft (assist by W. Ellington)
2:50.0,New Orleans full timeout,,81-67,,
2:48.0,Turnover by J. Holiday (bad pass; steal by T. Johnson),,81-67,,
2:43.0,,,81-69,2,T. Johnson makes 2-pt shot from 3 ft
2:27.0,Offensive charge foul by D. Cousins (drawn by U. Haslem),,81-69,,
2:27.0,Turnover by D. Cousins (offensive foul),,81-69,,
2:27.0,D. Cunningham enters the game for D. Cousins,,81-69,,
2:27.0,E. Moore enters the game for R. Rondo,,81-69,,
2:11.0,,,81-69,,J. Richardson misses 3-pt shot from 26 ft
2:08.0,Defensive rebound by A. Davis,,81-69,,
2:02.0,Personal foul by D. Cunningham (drawn by W. Ellington),,81-69,,
2:02.0,Turnover by D. Cunningham (turnover),,81-69,,
1:51.0,,,81-69,,Turnover by J. Richardson (out of bounds lost ball)
1:37.0,Shooting foul by B. Adebayo (drawn by A. Davis),,81-69,,
1:37.0,,,81-69,,Technical foul by Team
1:37.0,A. Davis misses technical free throw,,81-69,,
1:37.0,Offensive rebound by Team,,81-69,,
1:37.0,A. Davis makes free throw 1 of 2,1,82-69,,
1:37.0,D. Miller enters the game for E. Moore,,82-69,,
1:37.0,A. Davis makes free throw 2 of 2,1,83-69,,
1:23.0,,,83-69,,W. Ellington misses 3-pt shot from 26 ft
1:23.0,,,83-69,,Offensive rebound by Team
1:23.0,Loose ball foul by D. Cunningham (drawn by U. Haslem),,83-69,,
1:23.0,J. Nelson enters the game for J. Holiday,,83-69,,
1:15.0,,,83-69,,T. Johnson misses 3-pt shot from 27 ft
1:12.0,,,83-69,,Offensive rebound by J. Richardson
1:01.0,,,83-69,,J. Richardson misses 2-pt shot from 7 ft (block by A. Davis)
0:56.0,Defensive rebound by D. Cunningham,,83-69,,
0:45.0,J. Nelson misses 3-pt shot from 23 ft,,83-69,,
0:41.0,,,83-69,,Defensive rebound by B. Adebayo
0:22.0,,,83-69,,Turnover by U. Haslem (lost ball; steal by A. Davis)
0:02.0,J. Nelson misses 2-pt shot from 20 ft,,83-69,,
0:02.0,,,83-69,,Defensive rebound by B. Adebayo
0:00.0,,,83-69,,B. Adebayo misses 3-pt shot from 70 ft
0:00.0,,,83-69,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,J. Nelson makes 2-pt shot from 11 ft,2,85-69,,
11:16.0,,,85-69,,G. Dragic misses 2-pt shot from 4 ft (block by D. Cousins)
11:12.0,Defensive rebound by I. Clark,,85-69,,
10:59.0,D. Cunningham misses 3-pt shot from 24 ft,,85-69,,
10:53.0,,,85-69,,Defensive rebound by U. Haslem
10:48.0,,,85-69,,Turnover by U. Haslem (out of bounds lost ball)
10:26.0,I. Clark makes 2-pt shot from 11 ft,2,87-69,,
10:13.0,,,87-69,,W. Ellington misses 3-pt shot from 27 ft
10:13.0,,,87-69,,Offensive rebound by Team
10:11.0,,,87-69,,B. Adebayo enters the game for U. Haslem
9:57.0,Personal foul by D. Miller (drawn by K. Olynyk),,87-69,,
9:44.0,,,87-69,,J. Richardson misses 2-pt shot from 8 ft
9:40.0,Defensive rebound by D. Miller,,87-69,,
9:32.0,D. Cousins makes 2-pt shot from 2 ft,2,89-69,,
9:29.0,,,89-69,,Miami full timeout
9:20.0,,,89-69,,G. Dragic misses 3-pt shot from 25 ft
9:15.0,,,89-69,,Offensive rebound by W. Ellington
9:07.0,,,89-71,2,G. Dragic makes 2-pt shot from 2 ft
8:41.0,I. Clark makes 3-pt shot from 25 ft (assist by D. Cousins),3,92-71,,
8:29.0,,,92-71,,G. Dragic misses 2-pt shot from 4 ft (block by D. Cousins)
8:21.0,Defensive rebound by I. Clark,,92-71,,
8:18.0,I. Clark makes 3-pt shot from 25 ft (assist by J. Nelson),3,95-71,,
7:58.0,,,95-73,2,B. Adebayo makes 2-pt shot from 3 ft (assist by G. Dragic)
7:42.0,I. Clark misses 2-pt shot from 14 ft,,95-73,,
7:42.0,,,95-73,,Defensive rebound by Team
7:42.0,Loose ball foul by D. Cousins (drawn by B. Adebayo),,95-73,,
7:42.0,,,95-73,,U. Haslem enters the game for B. Adebayo
7:42.0,A. Davis enters the game for D. Cousins,,95-73,,
7:34.0,Violation by A. Davis (kicked ball),,95-73,,
7:24.0,,,95-75,2,G. Dragic makes 2-pt shot from 12 ft
7:02.0,Shooting foul by J. Richardson (drawn by D. Miller),,95-75,,
7:02.0,D. Miller makes free throw 1 of 3,1,96-75,,
7:02.0,D. Miller makes free throw 2 of 3,1,97-75,,
7:02.0,J. Holiday enters the game for I. Clark,,97-75,,
7:02.0,D. Miller makes free throw 3 of 3,1,98-75,,
6:49.0,Personal foul by J. Holiday (drawn by W. Ellington),,98-75,,
6:42.0,,,98-77,2,J. Richardson makes 2-pt shot from 4 ft
6:42.0,,,98-77,,Shooting foul by D. Miller (drawn by J. Richardson)
6:42.0,,,98-78,1,J. Richardson makes free throw 1 of 1
6:29.0,A. Davis misses 2-pt shot from 15 ft,,98-78,,
6:26.0,Offensive rebound by D. Cunningham,,98-78,,
6:07.0,A. Davis makes 2-pt shot from 7 ft,2,100-78,,
6:07.0,Shooting foul by G. Dragic (drawn by A. Davis),,100-78,,
6:07.0,A. Davis makes free throw 1 of 1,1,101-78,,
5:58.0,,,101-81,3,J. Richardson makes 3-pt shot from 26 ft (assist by G. Dragic)
5:48.0,J. Holiday makes 3-pt shot from 26 ft,3,104-81,,
5:32.0,,,104-81,,K. Olynyk misses 2-pt shot from 15 ft
5:27.0,Defensive rebound by J. Nelson,,104-81,,
5:10.0,J. Nelson misses 2-pt shot from 2 ft,,104-81,,
5:07.0,,,104-81,,Defensive rebound by K. Olynyk
5:02.0,,,104-81,,U. Haslem misses 3-pt shot from 27 ft
4:56.0,Defensive rebound by J. Holiday,,104-81,,
4:45.0,J. Holiday misses 2-pt shot from 7 ft,,104-81,,
4:43.0,,,104-81,,Defensive rebound by K. Olynyk
4:41.0,Personal foul by D. Miller (drawn by W. Ellington),,104-81,,
4:41.0,,,104-82,1,W. Ellington makes free throw 1 of 2
4:41.0,,,104-82,,D. Walton enters the game for G. Dragic
4:41.0,E. Moore enters the game for A. Davis,,104-82,,
4:41.0,C. Diallo enters the game for D. Cunningham,,104-82,,
4:41.0,,,104-83,1,W. Ellington makes free throw 2 of 2
4:21.0,D. Miller makes 3-pt shot from 26 ft (assist by C. Diallo),3,107-83,,
3:59.0,,,107-83,,Turnover by D. Walton (bad pass)
3:44.0,J. Holiday misses 2-pt shot from 5 ft,,107-83,,
3:40.0,,,107-83,,Defensive rebound by K. Olynyk
3:30.0,,,107-83,,D. Walton misses 2-pt shot from 16 ft
3:29.0,,,107-83,,Offensive rebound by K. Olynyk
3:29.0,,,107-83,,Shooting foul by D. Miller (drawn by K. Olynyk)
3:29.0,,,107-84,1,K. Olynyk makes free throw 1 of 2
3:29.0,,,107-84,,M. Williams enters the game for J. Richardson
3:29.0,C. Cooke enters the game for D. Miller,,107-84,,
3:29.0,,,107-85,1,K. Olynyk makes free throw 2 of 2
3:21.0,,,107-85,,J. Mickey enters the game for K. Olynyk
3:21.0,I. Clark enters the game for J. Holiday,,107-85,,
3:12.0,E. Moore misses 2-pt shot from 6 ft,,107-85,,
3:07.0,Offensive rebound by C. Diallo,,107-85,,
3:04.0,E. Moore makes 2-pt shot from 10 ft,2,109-85,,
2:42.0,,,109-85,,M. Williams misses 3-pt shot from 23 ft
2:39.0,Defensive rebound by J. Nelson,,109-85,,
2:20.0,I. Clark misses 2-pt shot from 2 ft,,109-85,,
2:16.0,,,109-85,,Defensive rebound by J. Mickey
2:00.0,Personal foul by C. Diallo (drawn by J. Mickey),,109-85,,
2:00.0,New Orleans full timeout,,109-85,,
2:00.0,,,109-86,1,J. Mickey makes free throw 1 of 2
2:00.0,,,109-87,1,J. Mickey makes free throw 2 of 2
1:47.0,I. Clark misses 3-pt shot from 26 ft,,109-87,,
1:40.0,,,109-87,,Defensive rebound by W. Ellington
1:39.0,,,109-89,2,W. Ellington makes 2-pt shot from 2 ft
1:27.0,Turnover by E. Moore (out of bounds lost ball),,109-89,,
1:14.0,,,109-91,2,J. Mickey makes 2-pt shot from 9 ft (assist by D. Walton)
0:53.0,E. Moore misses 2-pt shot from 4 ft,,109-91,,
0:51.0,,,109-91,,Defensive rebound by Team
0:36.0,,,109-94,3,W. Ellington makes 3-pt shot from 27 ft (assist by D. Walton)
0:14.0,C. Cooke misses 2-pt shot from 2 ft,,109-94,,
0:11.0,,,109-94,,Defensive rebound by M. Williams
0:03.0,,,109-94,,Turnover by M. Williams (lost ball; steal by C. Diallo)
