time,Chicago,pts.away,score,pts.home,Toronto
2:44.0,,,28-55,2,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry)
2:44.0,,,28-55,,Technical foul by J. Valanciunas
2:44.0,J. Holiday makes technical free throw,1,29-55,,
2:28.0,K. Felder makes 2-pt shot from 6 ft (assist by R. Lopez),2,31-55,,
2:12.0,,,31-58,3,N. Powell makes 3-pt shot from 23 ft (assist by K. Lowry)
1:51.0,Shooting foul by J. Valanciunas (drawn by R. Lopez),,31-58,,
1:51.0,R. Lopez makes free throw 1 of 2,1,32-58,,
1:51.0,R. Lopez makes free throw 2 of 2,1,33-58,,
1:27.0,,,33-58,,S. Ibaka misses 3-pt shot from 25 ft
1:25.0,Defensive rebound by J. Holiday,,33-58,,
1:20.0,K. Felder misses 3-pt shot from 25 ft,,33-58,,
1:18.0,,,33-58,,Defensive rebound by D. DeRozan
1:13.0,,,33-58,,Turnover by D. DeRozan (lost ball; steal by Q. Pondexter)
1:09.0,Turnover by K. Felder (bad pass; steal by K. Lowry),,33-58,,
1:04.0,,,33-58,,Turnover by K. Lowry (bad pass; steal by J. Holiday)
1:01.0,Q. Pondexter makes 2-pt shot from 1 ft (assist by J. Holiday),2,35-58,,
0:47.0,,,35-58,,Turnover by K. Lowry (out of bounds lost ball)
0:34.0,R. Lopez makes 2-pt shot from 7 ft (assist by K. Felder),2,37-58,,
0:29.0,,,37-58,,N. Powell misses 3-pt shot from 27 ft
0:28.0,Defensive rebound by Team,,37-58,,
0:08.0,R. Lopez misses 3-pt shot from 25 ft,,37-58,,
0:05.0,,,37-58,,Defensive rebound by N. Powell
0:00.0,,,37-58,,N. Powell misses 3-pt shot from 26 ft
0:00.0,,,37-58,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,37-58,,D. DeRozan misses 2-pt shot from 12 ft
11:43.0,,,37-58,,Offensive rebound by J. Valanciunas
11:40.0,,,37-58,,J. Valanciunas misses 2-pt shot at rim
11:40.0,Defensive rebound by P. Zipser,,37-58,,
11:20.0,R. Lopez makes 2-pt shot from 16 ft (assist by J. Grant),2,39-58,,
11:08.0,,,39-58,,D. DeRozan misses 2-pt shot from 2 ft
11:07.0,Defensive rebound by P. Zipser,,39-58,,
10:47.0,P. Zipser makes 2-pt shot from 14 ft,2,41-58,,
10:20.0,,,41-60,2,J. Valanciunas makes 2-pt shot from 4 ft
9:53.0,P. Zipser misses 3-pt shot from 25 ft,,41-60,,
9:48.0,Offensive rebound by R. Lopez,,41-60,,
9:45.0,J. Holiday misses 3-pt shot from 22 ft,,41-60,,
9:42.0,,,41-60,,Defensive rebound by S. Ibaka
9:32.0,,,41-63,3,S. Ibaka makes 3-pt shot from 26 ft (assist by N. Powell)
9:19.0,R. Lopez misses 2-pt shot from 20 ft,,41-63,,
9:17.0,,,41-63,,Defensive rebound by J. Valanciunas
9:11.0,,,41-63,,Shooting foul by R. Lopez (drawn by D. DeRozan)
9:11.0,,,41-64,1,D. DeRozan makes free throw 1 of 2
9:11.0,,,41-65,1,D. DeRozan makes free throw 2 of 2
8:55.0,L. Markkanen misses 3-pt shot from 25 ft,,41-65,,
8:50.0,,,41-65,,Defensive rebound by D. DeRozan
8:44.0,,,41-65,,Turnover by D. DeRozan (bad pass)
8:31.0,L. Markkanen misses 2-pt shot from 2 ft,,41-65,,
8:27.0,Offensive rebound by L. Markkanen,,41-65,,
8:27.0,L. Markkanen makes 2-pt shot at rim,2,43-65,,
8:21.0,,,43-65,,Turnover by K. Lowry (bad pass; steal by J. Grant)
8:16.0,L. Markkanen makes 3-pt shot from 27 ft (assist by P. Zipser),3,46-65,,
8:05.0,,,46-65,,J. Valanciunas misses 2-pt shot from 14 ft
8:05.0,,,46-65,,Offensive rebound by D. DeRozan
7:56.0,,,46-65,,N. Powell misses 2-pt shot from 1 ft
7:56.0,,,46-65,,Offensive rebound by J. Valanciunas
7:54.0,,,46-65,,Shooting foul by P. Zipser (drawn by J. Valanciunas)
7:54.0,,,46-65,,J. Valanciunas misses free throw 1 of 2
7:54.0,,,46-65,,Offensive rebound by Team
7:54.0,D. Valentine enters the game for P. Zipser,,46-65,,
7:54.0,,,46-66,1,J. Valanciunas makes free throw 2 of 2
7:43.0,Shooting foul by S. Ibaka (drawn by L. Markkanen),,46-66,,
7:43.0,L. Markkanen makes free throw 1 of 3,1,47-66,,
7:43.0,L. Markkanen makes free throw 2 of 3,1,48-66,,
7:43.0,L. Markkanen makes free throw 3 of 3,1,49-66,,
7:23.0,,,49-66,,K. Lowry misses 3-pt shot from 26 ft
7:19.0,,,49-66,,Offensive rebound by S. Ibaka
7:12.0,,,49-66,,N. Powell misses 2-pt shot from 4 ft
7:04.0,,,49-66,,Offensive rebound by J. Valanciunas
7:04.0,,,49-66,,J. Valanciunas misses 2-pt shot at rim
7:03.0,Defensive rebound by J. Holiday,,49-66,,
6:59.0,,,49-66,,Personal foul by J. Valanciunas (drawn by L. Markkanen)
6:59.0,,,49-66,,Toronto full timeout
6:45.0,J. Grant misses 2-pt shot from 8 ft,,49-66,,
6:43.0,,,49-66,,Defensive rebound by N. Powell
6:36.0,,,49-66,,J. Valanciunas misses 2-pt shot from 1 ft
6:32.0,,,49-66,,Offensive rebound by J. Valanciunas
6:32.0,,,49-68,2,J. Valanciunas makes 2-pt shot at rim
6:17.0,J. Grant misses 2-pt shot from 7 ft,,49-68,,
6:13.0,Offensive rebound by R. Lopez,,49-68,,
6:13.0,R. Lopez misses 2-pt shot from 4 ft (block by D. DeRozan),,49-68,,
6:13.0,Offensive rebound by Team,,49-68,,
6:11.0,J. Holiday makes 3-pt shot from 26 ft (assist by J. Grant),3,52-68,,
5:45.0,,,52-68,,S. Ibaka misses 2-pt shot from 14 ft
5:42.0,Defensive rebound by L. Markkanen,,52-68,,
5:37.0,J. Grant makes 2-pt shot from 2 ft,2,54-68,,
5:19.0,,,54-71,3,K. Lowry makes 3-pt shot from 25 ft (assist by D. DeRozan)
4:59.0,Turnover by J. Grant (lost ball; steal by D. DeRozan),,54-71,,
4:55.0,,,54-73,2,K. Lowry makes 2-pt shot from 1 ft (assist by D. DeRozan)
4:54.0,Chicago full timeout,,54-73,,
4:54.0,,,54-73,,C. Miles enters the game for J. Valanciunas
4:54.0,,,54-73,,J. Poeltl enters the game for N. Powell
4:54.0,K. Felder enters the game for J. Grant,,54-73,,
4:43.0,Shooting foul by K. Lowry (drawn by K. Felder),,54-73,,
4:43.0,K. Felder makes free throw 1 of 2,1,55-73,,
4:43.0,K. Felder makes free throw 2 of 2,1,56-73,,
4:32.0,,,56-73,,J. Poeltl misses 2-pt shot from 1 ft (block by J. Holiday)
4:28.0,Defensive rebound by J. Holiday,,56-73,,
4:24.0,J. Holiday misses 2-pt shot from 16 ft,,56-73,,
4:22.0,,,56-73,,Defensive rebound by J. Poeltl
4:07.0,,,56-75,2,S. Ibaka makes 2-pt shot from 8 ft
3:56.0,D. Valentine makes 3-pt shot from 23 ft (assist by K. Felder),3,59-75,,
3:41.0,,,59-75,,Offensive charge foul by J. Poeltl (drawn by J. Holiday)
3:41.0,,,59-75,,Turnover by J. Poeltl (offensive foul)
3:41.0,,,59-75,,O. Anunoby enters the game for K. Lowry
3:41.0,,,59-75,,D. Wright enters the game for S. Ibaka
3:29.0,K. Felder misses 2-pt shot from 17 ft,,59-75,,
3:26.0,,,59-75,,Defensive rebound by D. DeRozan
3:11.0,Personal foul by D. Valentine (drawn by D. Wright),,59-75,,
2:59.0,,,59-75,,C. Miles misses 3-pt shot from 29 ft
2:56.0,Defensive rebound by L. Markkanen,,59-75,,
2:47.0,Turnover by K. Felder (bad pass; steal by D. DeRozan),,59-75,,
2:40.0,,,59-75,,Shooting foul by L. Markkanen (drawn by O. Anunoby)
2:40.0,,,59-76,1,O. Anunoby makes free throw 1 of 2
2:40.0,,,59-77,1,O. Anunoby makes free throw 2 of 2
2:22.0,R. Lopez makes 2-pt shot from 2 ft,2,61-77,,
2:11.0,,,61-79,2,D. DeRozan makes 2-pt shot from 15 ft
1:59.0,,,61-79,,Personal foul by D. DeRozan (drawn by K. Felder)
1:49.0,J. Holiday misses 3-pt shot from 25 ft,,61-79,,
1:45.0,,,61-79,,Defensive rebound by C. Miles
1:34.0,,,61-79,,O. Anunoby misses 2-pt shot from 2 ft (block by L. Markkanen)
1:31.0,Defensive rebound by L. Markkanen,,61-79,,
1:28.0,L. Markkanen makes 2-pt shot from 1 ft (assist by K. Felder),2,63-79,,
1:28.0,Shooting foul by J. Poeltl (drawn by L. Markkanen),,63-79,,
1:28.0,C. Felicio enters the game for R. Lopez,,63-79,,
1:28.0,L. Markkanen makes free throw 1 of 1,1,64-79,,
1:08.0,,,64-82,3,O. Anunoby makes 3-pt shot from 22 ft (assist by D. DeRozan)
1:00.0,Turnover by J. Holiday (lost ball; steal by D. Wright),,64-82,,
0:59.0,Personal foul by K. Felder (drawn by D. Wright),,64-82,,
0:59.0,,,64-83,1,D. Wright makes free throw 1 of 2
0:59.0,,,64-84,1,D. Wright makes free throw 2 of 2
0:48.0,K. Felder misses 2-pt shot from 4 ft,,64-84,,
0:46.0,,,64-84,,Defensive rebound by J. Poeltl
0:39.0,,,64-84,,C. Miles misses 3-pt shot from 25 ft
0:35.0,,,64-84,,Offensive rebound by O. Anunoby
0:20.0,,,64-84,,D. DeRozan misses 2-pt shot from 18 ft
0:17.0,Defensive rebound by D. Valentine,,64-84,,
0:00.0,D. Valentine misses 3-pt shot from 27 ft,,64-84,,
0:00.0,Offensive rebound by Team,,64-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,64-84,,Shooting block foul by O. Anunoby (drawn by D. Nwaba)
11:43.0,D. Nwaba misses free throw 1 of 2,,64-84,,
11:43.0,Offensive rebound by Team,,64-84,,
11:43.0,D. Nwaba makes free throw 2 of 2,1,65-84,,
11:31.0,Personal foul by C. Felicio (drawn by J. Poeltl),,65-84,,
11:22.0,,,65-84,,Turnover by F. VanVleet (bad pass)
11:08.0,C. Felicio makes 2-pt shot from 1 ft (assist by K. Felder),2,67-84,,
10:49.0,,,67-86,2,J. Poeltl makes 2-pt shot from 1 ft (assist by O. Anunoby)
10:38.0,Shooting foul by C. Miles (drawn by P. Zipser),,67-86,,
10:38.0,P. Zipser makes free throw 1 of 2,1,68-86,,
10:38.0,P. Zipser misses free throw 2 of 2,,68-86,,
10:38.0,Turnover by C. Felicio (turnover),,68-86,,
10:26.0,,,68-88,2,C. Miles makes 2-pt shot from 4 ft (assist by D. Wright)
10:13.0,C. Felicio makes 2-pt shot from 1 ft (assist by K. Felder),2,70-88,,
9:56.0,,,70-88,,F. VanVleet misses 3-pt shot from 25 ft
9:53.0,Defensive rebound by K. Felder,,70-88,,
9:46.0,Turnover by K. Felder (traveling),,70-88,,
9:31.0,,,70-88,,O. Anunoby misses 3-pt shot from 23 ft
9:29.0,Defensive rebound by D. Nwaba,,70-88,,
9:26.0,D. Valentine makes 3-pt shot from 26 ft (assist by D. Nwaba),3,73-88,,
9:15.0,,,73-88,,Offensive foul by J. Poeltl (drawn by K. Felder)
9:15.0,,,73-88,,Turnover by J. Poeltl (offensive foul)
9:03.0,K. Felder misses 2-pt shot from 9 ft,,73-88,,
9:03.0,,,73-88,,Defensive rebound by Team
9:03.0,Loose ball foul by C. Felicio (drawn by J. Poeltl),,73-88,,
8:50.0,,,73-88,,F. VanVleet misses 2-pt shot from 20 ft
8:48.0,Defensive rebound by D. Nwaba,,73-88,,
8:47.0,,,73-88,,Personal foul by C. Miles (drawn by D. Nwaba)
8:41.0,,,73-88,,Personal foul by C. Miles (drawn by P. Zipser)
8:25.0,P. Zipser misses 2-pt shot from 8 ft,,73-88,,
8:23.0,,,73-88,,Defensive rebound by C. Miles
8:18.0,,,73-90,2,F. VanVleet makes 2-pt shot from 1 ft
8:04.0,K. Felder misses 2-pt shot from 2 ft,,73-90,,
8:02.0,,,73-90,,Defensive rebound by J. Poeltl
7:54.0,,,73-92,2,D. Wright makes 2-pt shot from 1 ft
7:54.0,Chicago full timeout,,73-92,,
7:46.0,D. Nwaba makes 2-pt shot from 3 ft (assist by K. Felder),2,75-92,,
7:46.0,Shooting foul by C. Miles (drawn by D. Nwaba),,75-92,,
7:46.0,D. Nwaba makes free throw 1 of 1,1,76-92,,
7:27.0,Personal block foul by C. Felicio (drawn by C. Miles),,76-92,,
7:22.0,,,76-92,,C. Miles misses 3-pt shot from 26 ft
7:20.0,Defensive rebound by D. Nwaba,,76-92,,
7:16.0,K. Felder misses 2-pt shot from 4 ft (block by F. VanVleet),,76-92,,
7:13.0,,,76-92,,Defensive rebound by F. VanVleet
7:09.0,,,76-92,,F. VanVleet misses 3-pt shot from 22 ft
7:05.0,Personal foul by D. Valentine (drawn by O. Anunoby),,76-92,,
7:04.0,,,76-92,,Defensive rebound by O. Anunoby
6:58.0,,,76-94,2,D. Wright makes 2-pt shot from 2 ft
6:46.0,,,76-94,,J. Valanciunas enters the game for J. Poeltl
6:46.0,,,76-94,,K. Lowry enters the game for F. VanVleet
6:38.0,K. Felder makes 2-pt shot from 6 ft,2,78-94,,
6:21.0,,,78-97,3,C. Miles makes 3-pt shot from 25 ft (assist by K. Lowry)
6:10.0,D. Valentine makes 3-pt shot from 26 ft (assist by P. Zipser),3,81-97,,
5:57.0,,,81-99,2,K. Lowry makes 2-pt shot from 2 ft (assist by J. Valanciunas)
5:42.0,Turnover by K. Felder (bad pass; steal by J. Valanciunas),,81-99,,
5:30.0,,,81-102,3,C. Miles makes 3-pt shot from 23 ft (assist by K. Lowry)
5:12.0,Turnover by D. Valentine (traveling),,81-102,,
5:12.0,J. Grant enters the game for K. Felder,,81-102,,
5:12.0,R. Lopez enters the game for C. Felicio,,81-102,,
