time,Atlanta,pts.away,score,pts.home,Detroit
10:10.0,,,35-49,2,I. Smith makes 2-pt shot from 14 ft (assist by S. Johnson)
9:59.0,D. Dedmon misses 3-pt shot from 25 ft,,35-49,,
9:56.0,,,35-49,,Defensive rebound by S. Johnson
9:51.0,,,35-51,2,S. Johnson makes 2-pt shot from 2 ft
9:51.0,Atlanta full timeout,,35-51,,
9:37.0,Offensive foul by J. Collins (drawn by B. Griffin),,35-51,,
9:37.0,Turnover by J. Collins (offensive foul),,35-51,,
9:19.0,,,35-51,,B. Griffin misses 2-pt shot from 19 ft
9:18.0,,,35-51,,Offensive rebound by A. Drummond
9:18.0,,,35-53,2,A. Drummond makes 2-pt shot at rim
9:18.0,,,35-53,,Shooting foul by D. Dedmon (drawn by A. Drummond)
9:18.0,,,35-54,1,A. Drummond makes free throw 1 of 1
9:09.0,T. Dorsey misses 3-pt shot from 25 ft,,35-54,,
9:06.0,,,35-54,,Defensive rebound by A. Drummond
8:58.0,,,35-56,2,I. Smith makes 2-pt shot from 5 ft
8:58.0,,,35-56,,Shooting foul by M. Delaney (drawn by I. Smith)
8:58.0,,,35-57,1,I. Smith makes free throw 1 of 1
8:49.0,Turnover by D. Dedmon (lost ball; steal by I. Smith),,35-57,,
8:44.0,,,35-60,3,R. Bullock makes 3-pt shot from 23 ft (assist by B. Griffin)
8:24.0,Turnover by M. Delaney (bad pass; steal by I. Smith),,35-60,,
8:15.0,,,35-62,2,I. Smith makes 2-pt shot from 21 ft (assist by R. Bullock)
8:00.0,T. Waller-Prince makes 2-pt shot from 14 ft (assist by M. Delaney),2,37-62,,
7:44.0,,,37-62,,Turnover by B. Griffin (bad pass; steal by M. Delaney)
7:41.0,M. Delaney makes 2-pt shot from 1 ft,2,39-62,,
7:22.0,,,39-62,,B. Griffin misses 3-pt shot from 26 ft
7:16.0,,,39-62,,Offensive rebound by S. Johnson
7:11.0,Jump ball: S. Johnson vs. J. Collins (M. Delaney gains possession),,,,Jump ball: S. Johnson vs. J. Collins (M. Delaney gains possession)
7:11.0,,,39-62,,Turnover by S. Johnson (bad pass; steal by J. Collins)
7:10.0,Turnover by M. Delaney (bad pass),,39-62,,
7:07.0,,,39-62,,Offensive charge foul by R. Bullock (drawn by D. Dedmon)
7:07.0,,,39-62,,Turnover by R. Bullock (offensive foul)
6:50.0,T. Waller-Prince misses 2-pt shot from 9 ft,,39-62,,
6:46.0,,,39-62,,Defensive rebound by B. Griffin
6:38.0,,,39-64,2,A. Drummond makes 2-pt shot at rim (assist by B. Griffin)
6:22.0,M. Delaney misses 2-pt shot from 14 ft,,39-64,,
6:19.0,,,39-64,,Defensive rebound by B. Griffin
6:14.0,M. Muscala enters the game for J. Collins,,39-64,,
6:14.0,D. Bembry enters the game for T. Dorsey,,39-64,,
6:11.0,,,39-67,3,R. Bullock makes 3-pt shot from 23 ft (assist by I. Smith)
5:53.0,M. Muscala misses 3-pt shot from 26 ft,,39-67,,
5:53.0,,,39-67,,Defensive rebound by Team
5:40.0,,,39-69,2,A. Drummond makes 2-pt shot from 3 ft (assist by B. Griffin)
5:19.0,D. Bembry makes 2-pt shot at rim (assist by M. Delaney),2,41-69,,
5:01.0,,,41-69,,Turnover by R. Bullock (bad pass; steal by M. Delaney)
4:52.0,D. Dedmon misses 2-pt shot from 20 ft,,41-69,,
4:49.0,,,41-69,,Defensive rebound by B. Griffin
4:42.0,,,41-69,,R. Bullock misses 3-pt shot from 23 ft
4:39.0,,,41-69,,Offensive rebound by A. Drummond
4:35.0,,,41-71,2,R. Bullock makes 2-pt shot from 1 ft
4:14.0,M. Muscala makes 3-pt shot from 27 ft (assist by M. Delaney),3,44-71,,
3:57.0,,,44-74,3,B. Griffin makes 3-pt shot from 25 ft (assist by I. Smith)
3:48.0,Shooting foul by S. Johnson (drawn by T. Waller-Prince),,44-74,,
3:48.0,T. Waller-Prince misses free throw 1 of 2,,44-74,,
3:48.0,Offensive rebound by Team,,44-74,,
3:48.0,,,44-74,,J. Ennis enters the game for S. Johnson
3:48.0,,,44-74,,L. Kennard enters the game for B. Griffin
3:48.0,,,44-74,,A. Tolliver enters the game for R. Bullock
3:48.0,M. Plumlee enters the game for M. Delaney,,44-74,,
3:48.0,I. Taylor enters the game for D. Dedmon,,44-74,,
3:48.0,T. Waller-Prince makes free throw 2 of 2,1,45-74,,
3:33.0,,,45-74,,I. Smith misses 2-pt shot from 18 ft
3:31.0,Defensive rebound by Team,,45-74,,
3:31.0,A. White enters the game for T. Waller-Prince,,45-74,,
3:20.0,M. Plumlee misses 2-pt shot from 9 ft,,45-74,,
3:17.0,Offensive rebound by A. White,,45-74,,
3:10.0,A. White makes 3-pt shot from 26 ft (assist by I. Taylor),3,48-74,,
2:52.0,,,48-74,,Shooting foul by I. Taylor (drawn by J. Ennis)
2:52.0,,,48-74,,Detroit full timeout
2:52.0,,,48-75,1,J. Ennis makes free throw 1 of 2
2:52.0,,,48-76,1,J. Ennis makes free throw 2 of 2
2:32.0,M. Plumlee makes 2-pt shot from 8 ft (assist by D. Bembry),2,50-76,,
2:10.0,,,50-76,,A. Drummond misses 2-pt shot from 3 ft
2:07.0,Defensive rebound by D. Bembry,,50-76,,
2:02.0,A. White makes 2-pt shot from 17 ft (assist by D. Bembry),2,52-76,,
1:45.0,,,52-79,3,A. Tolliver makes 3-pt shot from 23 ft (assist by J. Ennis)
1:30.0,M. Muscala makes 2-pt shot from 12 ft (assist by I. Taylor),2,54-79,,
1:15.0,,,54-79,,J. Ennis misses 3-pt shot from 26 ft
1:12.0,Defensive rebound by M. Plumlee,,54-79,,
0:54.0,D. Bembry makes 2-pt shot at rim,2,56-79,,
0:39.0,,,56-79,,L. Kennard misses 3-pt shot from 23 ft
0:36.0,Defensive rebound by M. Plumlee,,56-79,,
0:33.0,I. Taylor makes 2-pt shot from 1 ft,2,58-79,,
0:18.0,,,58-82,3,L. Kennard makes 3-pt shot from 24 ft (assist by A. Tolliver)
0:00.0,A. White makes 3-pt shot from 24 ft (assist by I. Taylor),3,61-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:55.0,,,61-82,,J. Ennis misses 2-pt shot from 1 ft
11:50.0,Defensive rebound by A. White,,61-82,,
11:42.0,A. White misses 3-pt shot from 24 ft,,61-82,,
11:39.0,,,61-82,,Defensive rebound by A. Tolliver
11:25.0,,,61-84,2,J. Ennis makes 2-pt shot from 2 ft (assist by B. Griffin)
11:07.0,I. Taylor makes 2-pt shot from 2 ft,2,63-84,,
10:50.0,,,63-87,3,J. Ennis makes 3-pt shot from 26 ft (assist by B. Griffin)
10:32.0,T. Dorsey makes 3-pt shot from 26 ft (assist by I. Taylor),3,66-87,,
10:18.0,,,66-87,,Turnover by B. Griffin (bad pass)
10:18.0,J. Collins enters the game for M. Plumlee,,66-87,,
10:06.0,M. Muscala makes 2-pt shot from 12 ft (assist by I. Taylor),2,68-87,,
9:42.0,,,68-87,,A. Tolliver misses 3-pt shot from 26 ft
9:39.0,,,68-87,,Offensive rebound by Team
9:39.0,Personal foul by A. White (drawn by B. Griffin),,68-87,,
9:29.0,,,68-87,,Turnover by L. Kennard (bad pass; steal by M. Muscala)
9:26.0,Turnover by I. Taylor (bad pass),,68-87,,
9:15.0,,,68-87,,J. Nelson misses 3-pt shot from 27 ft
9:12.0,Defensive rebound by J. Collins,,68-87,,
9:03.0,M. Muscala misses 3-pt shot from 25 ft,,68-87,,
9:00.0,,,68-87,,Defensive rebound by B. Griffin
8:49.0,,,68-87,,J. Nelson misses 2-pt shot from 3 ft
8:47.0,Defensive rebound by M. Muscala,,68-87,,
8:30.0,M. Muscala misses 3-pt shot from 26 ft,,68-87,,
8:26.0,,,68-87,,Defensive rebound by L. Kennard
8:13.0,,,68-87,,Offensive foul by J. Nelson (drawn by T. Dorsey)
8:13.0,,,68-87,,Turnover by J. Nelson (offensive foul)
8:13.0,T. Waller-Prince enters the game for A. White,,68-87,,
8:13.0,D. Dedmon enters the game for M. Muscala,,68-87,,
8:05.0,Shooting foul by J. Ennis (drawn by J. Collins),,68-87,,
8:05.0,J. Collins makes free throw 1 of 2,1,69-87,,
8:05.0,J. Collins makes free throw 2 of 2,1,70-87,,
7:48.0,,,70-87,,Shooting foul by D. Dedmon (drawn by A. Tolliver)
7:48.0,,,70-88,1,A. Tolliver makes free throw 1 of 2
7:48.0,,,70-89,1,A. Tolliver makes free throw 2 of 2
7:35.0,I. Taylor makes 2-pt shot from 1 ft,2,72-89,,
7:21.0,,,72-89,,Turnover by J. Nelson (bad pass)
7:06.0,T. Dorsey makes 2-pt shot from 1 ft (assist by I. Taylor),2,74-89,,
6:58.0,,,74-89,,Detroit full timeout
6:38.0,,,74-89,,A. Tolliver misses 2-pt shot from 1 ft
6:36.0,Defensive rebound by J. Collins,,74-89,,
6:20.0,J. Collins makes 2-pt shot from 1 ft (assist by T. Dorsey),2,76-89,,
5:56.0,,,76-89,,L. Kennard misses 3-pt shot from 25 ft
5:53.0,,,76-89,,Offensive rebound by A. Tolliver
5:48.0,,,76-92,3,A. Tolliver makes 3-pt shot from 26 ft (assist by J. Nelson)
5:24.0,T. Waller-Prince makes 2-pt shot from 4 ft,2,78-92,,
5:08.0,,,78-92,,J. Ennis misses 3-pt shot from 24 ft
5:03.0,,,78-92,,Offensive rebound by A. Tolliver
5:01.0,Personal foul by J. Collins (drawn by J. Nelson),,78-92,,
5:01.0,,,78-92,,I. Smith enters the game for L. Kennard
5:01.0,,,78-92,,A. Drummond enters the game for J. Ennis
5:01.0,,,78-92,,R. Bullock enters the game for J. Nelson
5:01.0,,,78-92,,S. Johnson enters the game for A. Tolliver
5:01.0,M. Muscala enters the game for D. Dedmon,,78-92,,
4:49.0,,,78-92,,B. Griffin misses 3-pt shot from 27 ft
4:47.0,Defensive rebound by T. Dorsey,,78-92,,
4:41.0,T. Waller-Prince makes 2-pt shot from 9 ft (assist by T. Dorsey),2,80-92,,
4:36.0,,,80-92,,Detroit full timeout
4:36.0,M. Delaney enters the game for I. Taylor,,80-92,,
4:23.0,,,80-92,,Turnover by I. Smith (lost ball; steal by T. Dorsey)
4:15.0,T. Waller-Prince misses 2-pt shot from 5 ft (block by A. Drummond),,80-92,,
4:11.0,,,80-92,,Defensive rebound by A. Drummond
4:09.0,,,80-94,2,R. Bullock makes 2-pt shot at rim (assist by I. Smith)
3:49.0,T. Waller-Prince misses 3-pt shot from 23 ft,,80-94,,
3:45.0,Offensive rebound by M. Muscala,,80-94,,
3:44.0,M. Muscala misses 2-pt shot from 16 ft,,80-94,,
3:40.0,Offensive rebound by T. Waller-Prince,,80-94,,
3:39.0,T. Waller-Prince makes 2-pt shot at rim,2,82-94,,
3:27.0,,,82-94,,B. Griffin misses 2-pt shot from 19 ft
3:23.0,Defensive rebound by J. Collins,,82-94,,
3:16.0,Shooting foul by A. Drummond (drawn by J. Collins),,82-94,,
3:16.0,J. Collins makes free throw 1 of 2,1,83-94,,
3:16.0,I. Taylor enters the game for T. Dorsey,,83-94,,
3:16.0,J. Collins makes free throw 2 of 2,1,84-94,,
3:04.0,,,84-94,,R. Bullock misses 2-pt shot from 8 ft (block by J. Collins)
3:00.0,Defensive rebound by T. Waller-Prince,,84-94,,
2:58.0,T. Waller-Prince misses 2-pt shot from 2 ft (block by B. Griffin),,84-94,,
2:51.0,Offensive rebound by I. Taylor,,84-94,,
2:51.0,I. Taylor makes 2-pt shot at rim,2,86-94,,
2:40.0,,,86-96,2,A. Drummond makes 2-pt shot from 1 ft (assist by B. Griffin)
2:22.0,T. Waller-Prince misses 3-pt shot from 25 ft,,86-96,,
2:20.0,,,86-96,,Defensive rebound by I. Smith
2:06.0,,,86-96,,A. Drummond misses 2-pt shot from 2 ft
2:06.0,,,86-96,,Offensive rebound by A. Drummond
2:06.0,Personal foul by J. Collins (drawn by A. Drummond),,86-96,,
