time,Phoenix,pts.away,score,pts.home,Minnesota
0:31.0,,,24-31,,A. Wiggins misses 2-pt shot from 13 ft
0:29.0,,,24-31,,Offensive rebound by G. Dieng
0:29.0,,,24-33,2,G. Dieng makes 2-pt shot at rim
0:11.0,M. James makes 3-pt shot from 24 ft,3,27-33,,
0:01.0,,,27-33,,A. Wiggins misses 2-pt shot from 21 ft
0:00.0,Defensive rebound by M. Chriss,,27-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,T. Daniels misses 3-pt shot from 24 ft,,27-33,,
11:45.0,,,27-33,,Defensive rebound by S. Muhammad
11:33.0,,,27-35,2,K. Towns makes 2-pt shot from 11 ft (assist by G. Dieng)
11:33.0,,,27-35,,Shooting foul by M. Chriss (drawn by K. Towns)
11:33.0,,,27-36,1,K. Towns makes free throw 1 of 1
11:24.0,T. Daniels makes 2-pt shot from 2 ft,2,29-36,,
11:05.0,,,29-36,,K. Towns misses 2-pt shot from 4 ft
11:04.0,,,29-36,,Offensive rebound by K. Towns
11:03.0,,,29-38,2,K. Towns makes 2-pt shot at rim
10:47.0,M. James makes 2-pt shot at rim,2,31-38,,
10:41.0,,,31-38,,Turnover by A. Brooks (out of bounds lost ball)
10:34.0,M. James makes 3-pt shot from 24 ft,3,34-38,,
10:32.0,,,34-38,,Minnesota full timeout
10:32.0,T. Chandler enters the game for M. Chriss,,34-38,,
10:25.0,Personal foul by T. Daniels (drawn by J. Crawford),,34-38,,
10:20.0,,,34-38,,Offensive foul by G. Dieng (drawn by T. Daniels)
10:20.0,,,34-38,,Turnover by G. Dieng (offensive foul)
10:16.0,,,34-38,,Personal foul by J. Crawford (drawn by T. Daniels)
10:04.0,M. James misses 2-pt shot from 20 ft,,34-38,,
10:02.0,Offensive rebound by J. Jackson,,34-38,,
10:00.0,J. Jackson misses 2-pt shot from 5 ft,,34-38,,
10:00.0,,,34-38,,Defensive rebound by S. Muhammad
9:55.0,,,34-38,,Offensive charge foul by S. Muhammad (drawn by T. Daniels)
9:55.0,,,34-38,,Turnover by S. Muhammad (offensive foul)
9:46.0,T. Chandler misses 2-pt shot from 1 ft,,34-38,,
9:44.0,,,34-38,,Defensive rebound by K. Towns
9:43.0,,,34-38,,Turnover by K. Towns (bad pass; steal by J. Jackson)
9:42.0,Offensive charge foul by J. Jackson (drawn by K. Towns),,34-38,,
9:42.0,Turnover by J. Jackson (bad pass),,34-38,,
9:31.0,,,34-40,2,K. Towns makes 2-pt shot from 17 ft (assist by S. Muhammad)
9:21.0,Shooting foul by A. Brooks (drawn by T. Chandler),,34-40,,
9:21.0,T. Chandler makes free throw 1 of 2,1,35-40,,
9:21.0,T. Chandler misses free throw 2 of 2,,35-40,,
9:20.0,,,35-40,,Defensive rebound by Team
9:20.0,Loose ball foul by J. Jackson (drawn by S. Muhammad),,35-40,,
9:09.0,Personal foul by T. Daniels (drawn by K. Towns),,35-40,,
9:02.0,,,35-40,,K. Towns misses 2-pt shot from 8 ft
8:58.0,Defensive rebound by T. Chandler,,35-40,,
8:47.0,T. Daniels makes 3-pt shot from 23 ft (assist by J. Jackson),3,38-40,,
8:34.0,,,38-43,3,A. Brooks makes 3-pt shot from 24 ft
8:19.0,D. Bender makes 3-pt shot from 25 ft (assist by M. James),3,41-43,,
8:06.0,,,41-43,,J. Crawford misses 3-pt shot from 26 ft
8:03.0,Defensive rebound by T. Chandler,,41-43,,
7:58.0,J. Jackson makes 2-pt shot from 3 ft,2,43-43,,
7:51.0,,,43-43,,Minnesota full timeout
7:51.0,,,43-43,,T. Jones enters the game for G. Dieng
7:51.0,,,43-43,,A. Wiggins enters the game for J. Crawford
7:51.0,,,43-43,,J. Butler enters the game for S. Muhammad
7:51.0,,,43-43,,T. Gibson enters the game for A. Brooks
7:42.0,,,43-43,,A. Wiggins misses 2-pt shot from 20 ft
7:39.0,Defensive rebound by M. James,,43-43,,
7:17.0,M. James misses 2-pt shot from 6 ft,,43-43,,
7:09.0,Offensive rebound by T. Chandler,,43-43,,
7:09.0,T. Chandler makes 2-pt shot at rim,2,45-43,,
6:51.0,,,45-46,3,A. Wiggins makes 3-pt shot from 26 ft (assist by J. Butler)
6:38.0,M. James misses 3-pt shot from 24 ft,,45-46,,
6:34.0,Offensive rebound by J. Jackson,,45-46,,
6:32.0,T. Chandler makes 2-pt shot from 1 ft (assist by J. Jackson),2,47-46,,
6:11.0,,,47-46,,T. Gibson misses 2-pt shot from 15 ft
6:08.0,Defensive rebound by J. Jackson,,47-46,,
6:04.0,Turnover by J. Jackson (lost ball; steal by T. Jones),,47-46,,
5:57.0,,,47-48,2,K. Towns makes 2-pt shot from 11 ft (assist by T. Jones)
5:34.0,J. Jackson makes 3-pt shot from 22 ft (assist by M. James),3,50-48,,
5:15.0,,,50-48,,K. Towns misses 3-pt shot from 26 ft
5:13.0,Defensive rebound by J. Jackson,,50-48,,
5:07.0,Shooting foul by K. Towns (drawn by M. James),,50-48,,
5:07.0,M. James makes free throw 1 of 2,1,51-48,,
5:07.0,T. Warren enters the game for T. Daniels,,51-48,,
5:07.0,M. James makes free throw 2 of 2,1,52-48,,
4:57.0,Personal foul by T. Warren (drawn by J. Butler),,52-48,,
4:57.0,,,52-48,,J. Butler misses free throw 1 of 2
4:57.0,,,52-48,,Offensive rebound by Team
4:57.0,T. Ulis enters the game for M. James,,52-48,,
4:57.0,,,52-49,1,J. Butler makes free throw 2 of 2
4:51.0,J. Jackson misses 3-pt shot from 26 ft,,52-49,,
4:46.0,,,52-49,,Defensive rebound by K. Towns
4:36.0,,,52-49,,Shooting foul by J. Jackson (drawn by J. Butler)
4:36.0,,,52-50,1,J. Butler makes free throw 1 of 2
4:36.0,M. Chriss enters the game for J. Jackson,,52-50,,
4:36.0,T. Daniels enters the game for D. Bender,,52-50,,
4:36.0,,,52-50,,J. Butler misses free throw 2 of 2
4:33.0,Defensive rebound by M. Chriss,,52-50,,
4:20.0,Turnover by M. Chriss (traveling),,52-50,,
4:01.0,,,52-52,2,T. Gibson makes 2-pt shot from 1 ft (assist by T. Jones)
3:49.0,T. Daniels makes 3-pt shot from 25 ft (assist by M. Chriss),3,55-52,,
3:29.0,,,55-52,,J. Butler misses 2-pt shot from 10 ft
3:27.0,Defensive rebound by M. Chriss,,55-52,,
3:18.0,Turnover by T. Ulis (bad pass; steal by T. Jones),,55-52,,
3:15.0,,,55-52,,Shooting foul by T. Daniels (drawn by A. Wiggins)
3:15.0,,,55-52,,A. Wiggins misses free throw 1 of 2
3:15.0,,,55-52,,Offensive rebound by Team
3:15.0,G. Monroe enters the game for T. Chandler,,55-52,,
3:15.0,M. James enters the game for T. Daniels,,55-52,,
3:15.0,,,55-52,,A. Wiggins misses free throw 2 of 2
3:12.0,,,55-52,,Offensive rebound by T. Gibson
3:08.0,,,55-55,3,K. Towns makes 3-pt shot from 22 ft
2:55.0,M. James misses 2-pt shot from 19 ft,,55-55,,
2:53.0,,,55-55,,Defensive rebound by K. Towns
2:48.0,,,55-55,,A. Wiggins misses 2-pt shot at rim
2:47.0,,,55-55,,Offensive rebound by A. Wiggins
2:47.0,,,55-57,2,A. Wiggins makes 2-pt shot at rim
2:47.0,Phoenix full timeout,,55-57,,
2:30.0,G. Monroe misses 2-pt shot from 3 ft (block by K. Towns),,55-57,,
2:26.0,,,55-57,,Defensive rebound by K. Towns
2:07.0,,,55-59,2,A. Wiggins makes 2-pt shot from 11 ft
1:48.0,M. Chriss misses 3-pt shot from 25 ft,,55-59,,
1:46.0,,,55-59,,Defensive rebound by T. Jones
1:33.0,,,55-61,2,A. Wiggins makes 2-pt shot from 11 ft (assist by T. Jones)
1:17.0,G. Monroe makes 2-pt shot from 1 ft (assist by M. James),2,57-61,,
0:58.0,,,57-61,,A. Wiggins misses 2-pt shot from 16 ft
0:56.0,Defensive rebound by T. Warren,,57-61,,
0:43.0,Shooting foul by T. Jones (drawn by M. James),,57-61,,
0:43.0,M. James misses free throw 1 of 2,,57-61,,
0:43.0,Offensive rebound by Team,,57-61,,
0:43.0,D. Bender enters the game for T. Ulis,,57-61,,
0:43.0,M. James makes free throw 2 of 2,1,58-61,,
0:32.0,,,58-61,,K. Towns misses 2-pt shot from 6 ft
0:30.0,Defensive rebound by G. Monroe,,58-61,,
0:26.0,M. James misses 2-pt shot from 10 ft,,58-61,,
0:24.0,,,58-61,,Defensive rebound by T. Jones
0:24.0,Personal foul by M. Chriss (drawn by T. Jones),,58-61,,
0:24.0,,,58-62,1,T. Jones makes free throw 1 of 2
0:24.0,T. Daniels enters the game for M. Chriss,,58-62,,
0:24.0,,,58-63,1,T. Jones makes free throw 2 of 2
0:04.0,Turnover by M. James (lost ball; steal by T. Jones),,58-63,,
0:00.0,,,58-63,,J. Butler misses 3-pt shot from 24 ft
0:00.0,,,58-63,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,J. Jackson misses 2-pt shot from 2 ft,,58-63,,
11:35.0,Offensive rebound by G. Monroe,,58-63,,
11:34.0,G. Monroe makes 2-pt shot at rim,2,60-63,,
11:13.0,,,60-65,2,J. Butler makes 2-pt shot from 14 ft
11:03.0,T. Ulis makes 2-pt shot from 12 ft,2,62-65,,
10:41.0,,,62-65,,J. Butler misses 2-pt shot from 16 ft
10:33.0,,,62-65,,Offensive rebound by K. Towns
10:33.0,,,62-67,2,K. Towns makes 2-pt shot at rim
10:26.0,Turnover by G. Monroe (bad pass; steal by T. Gibson),,62-67,,
10:22.0,,,62-69,2,T. Gibson makes 2-pt shot from 1 ft (assist by T. Jones)
9:57.0,J. Jackson misses 3-pt shot from 23 ft,,62-69,,
9:55.0,,,62-69,,Defensive rebound by T. Gibson
9:48.0,,,62-69,,K. Towns misses 3-pt shot from 24 ft
9:44.0,Defensive rebound by G. Monroe,,62-69,,
9:42.0,T. Warren makes 2-pt shot from 9 ft,2,64-69,,
9:42.0,Shooting foul by T. Jones (drawn by T. Warren),,64-69,,
9:42.0,T. Warren makes free throw 1 of 1,1,65-69,,
9:28.0,,,65-72,3,T. Jones makes 3-pt shot from 24 ft (assist by J. Butler)
9:18.0,,,65-72,,Personal foul by J. Butler (drawn by T. Chandler)
9:18.0,T. Daniels enters the game for J. Jackson,,65-72,,
9:13.0,G. Monroe misses 2-pt shot from 4 ft,,65-72,,
9:12.0,Offensive rebound by T. Warren,,65-72,,
9:10.0,T. Warren misses 2-pt shot at rim,,65-72,,
9:09.0,,,65-72,,Defensive rebound by T. Gibson
9:07.0,Personal foul by T. Warren (drawn by T. Gibson),,65-72,,
8:54.0,Personal foul by T. Warren (drawn by A. Wiggins),,65-72,,
8:54.0,J. Jackson enters the game for T. Warren,,65-72,,
8:43.0,,,65-72,,Shooting foul by J. Jackson (drawn by A. Wiggins)
8:43.0,,,65-73,1,A. Wiggins makes free throw 1 of 2
8:43.0,,,65-73,,A. Wiggins misses free throw 2 of 2
8:40.0,Defensive rebound by T. Chandler,,65-73,,
8:27.0,J. Jackson misses 3-pt shot from 25 ft,,65-73,,
8:22.0,,,65-73,,Defensive rebound by J. Butler
8:15.0,,,65-75,2,J. Butler makes 2-pt shot from 1 ft
8:13.0,Phoenix full timeout,,65-75,,
8:13.0,D. Bender enters the game for T. Ulis,,65-75,,
8:13.0,M. James enters the game for G. Monroe,,65-75,,
8:03.0,T. Daniels misses 2-pt shot from 21 ft (block by J. Butler),,65-75,,
7:59.0,,,65-75,,Defensive rebound by J. Butler
7:38.0,,,65-77,2,K. Towns makes 2-pt shot from 1 ft
7:14.0,M. James makes 2-pt shot from 9 ft,2,67-77,,
7:02.0,,,67-77,,K. Towns misses 3-pt shot from 24 ft
6:59.0,Defensive rebound by J. Jackson,,67-77,,
6:52.0,T. Chandler makes 2-pt shot at rim (assist by J. Jackson),2,69-77,,
6:45.0,Personal foul by J. Jackson (drawn by K. Towns),,69-77,,
6:45.0,M. Chriss enters the game for J. Jackson,,69-77,,
6:41.0,,,69-79,2,A. Wiggins makes 2-pt shot at rim (assist by T. Gibson)
6:31.0,,,69-79,,Violation by T. Gibson (kicked ball)
6:22.0,M. Chriss misses 2-pt shot from 12 ft,,69-79,,
6:19.0,,,69-79,,Defensive rebound by K. Towns
6:01.0,,,69-82,3,K. Towns makes 3-pt shot from 23 ft (assist by J. Butler)
5:43.0,Turnover by M. James (bad pass; steal by J. Butler),,69-82,,
5:40.0,,,69-82,,K. Towns misses 2-pt shot from 2 ft
5:38.0,,,69-82,,Offensive rebound by A. Wiggins
5:37.0,,,69-85,3,A. Wiggins makes 3-pt shot from 25 ft
5:37.0,Phoenix full timeout,,69-85,,
5:37.0,J. Dudley enters the game for T. Chandler,,69-85,,
5:37.0,T. Warren enters the game for D. Bender,,69-85,,
5:24.0,M. Chriss makes 2-pt shot from 1 ft (assist by T. Daniels),2,71-85,,
5:09.0,,,71-85,,Turnover by T. Gibson (lost ball; steal by J. Dudley)
5:03.0,T. Warren misses 2-pt shot at rim,,71-85,,
4:56.0,Offensive rebound by M. Chriss,,71-85,,
4:56.0,M. Chriss makes 2-pt shot at rim,2,73-85,,
4:39.0,,,73-85,,K. Towns misses 2-pt shot from 8 ft
4:36.0,,,73-85,,Offensive rebound by T. Gibson
4:34.0,,,73-88,3,A. Wiggins makes 3-pt shot from 24 ft (assist by T. Gibson)
4:24.0,M. Chriss makes 3-pt shot from 25 ft (assist by T. Warren),3,76-88,,
4:10.0,,,76-88,,Turnover by T. Gibson (lost ball; steal by M. Chriss)
4:10.0,Phoenix full timeout,,76-88,,
4:10.0,,,76-88,,G. Dieng enters the game for K. Towns
3:53.0,T. Warren makes 2-pt shot at rim (assist by J. Dudley),2,78-88,,
3:32.0,,,78-88,,J. Butler misses 2-pt shot from 6 ft
3:32.0,Defensive rebound by J. Dudley,,78-88,,
3:23.0,T. Warren misses 2-pt shot from 15 ft,,78-88,,
3:21.0,,,78-88,,Defensive rebound by T. Gibson
3:01.0,,,78-88,,G. Dieng misses 3-pt shot from 25 ft
2:57.0,,,78-88,,Offensive rebound by A. Wiggins
2:48.0,,,78-88,,T. Jones misses 2-pt shot from 1 ft
2:43.0,Defensive rebound by M. James,,78-88,,
2:40.0,M. James misses 2-pt shot from 2 ft (block by A. Wiggins),,78-88,,
2:37.0,,,78-88,,Defensive rebound by J. Butler
2:31.0,,,78-88,,T. Gibson misses 2-pt shot from 6 ft
2:31.0,Defensive rebound by J. Dudley,,78-88,,
2:23.0,Turnover by J. Dudley (bad pass; steal by T. Jones),,78-88,,
2:19.0,,,78-88,,A. Wiggins misses 3-pt shot from 25 ft
2:15.0,Defensive rebound by T. Warren,,78-88,,
2:15.0,,,78-88,,Personal foul by T. Jones (drawn by T. Warren)
2:15.0,,,78-88,,J. Crawford enters the game for J. Butler
2:06.0,T. Warren misses 3-pt shot from 23 ft,,78-88,,
2:01.0,Offensive rebound by M. James,,78-88,,
2:01.0,M. James misses 2-pt shot at rim,,78-88,,
2:01.0,Offensive rebound by M. Chriss,,78-88,,
2:01.0,M. Chriss misses 2-pt shot from 1 ft,,78-88,,
2:01.0,,,78-88,,Defensive rebound by Team
1:48.0,,,78-91,3,G. Dieng makes 3-pt shot from 22 ft (assist by A. Wiggins)
1:21.0,M. James misses 2-pt shot from 17 ft (block by T. Jones),,78-91,,
1:20.0,Offensive rebound by Team,,78-91,,
1:20.0,Turnover by Team (shot clock),,78-91,,
0:59.0,,,78-93,2,G. Dieng makes 2-pt shot from 12 ft (assist by T. Jones)
0:49.0,M. James misses 3-pt shot from 26 ft,,78-93,,
0:45.0,Offensive rebound by M. Chriss,,78-93,,
0:44.0,T. Warren misses 3-pt shot from 22 ft,,78-93,,
0:41.0,,,78-93,,Defensive rebound by G. Dieng
0:28.0,,,78-93,,Turnover by T. Gibson (lost ball; steal by J. Dudley)
0:25.0,T. Warren makes 2-pt shot at rim (assist by J. Dudley),2,80-93,,
0:06.0,,,80-93,,Turnover by A. Wiggins (bad pass)
0:04.0,,,80-93,,Personal take foul by T. Jones (drawn by M. James)
0:02.0,J. Dudley misses 3-pt shot from 23 ft,,80-93,,
0:02.0,,,80-93,,Defensive rebound by J. Crawford
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,80-95,2,A. Brooks makes 2-pt shot from 18 ft
11:19.0,T. Ulis misses 2-pt shot from 6 ft,,80-95,,
11:16.0,,,80-95,,Defensive rebound by K. Towns
11:00.0,,,80-97,2,K. Towns makes 2-pt shot at rim (assist by G. Dieng)
10:43.0,T. Ulis makes 2-pt shot from 11 ft (assist by J. Dudley),2,82-97,,
10:15.0,,,82-97,,K. Towns misses 2-pt shot from 13 ft
10:15.0,,,82-97,,Turnover by Team (shot clock)
10:14.0,,,82-97,,Offensive rebound by Team
10:07.0,T. Warren makes 2-pt shot from 2 ft (assist by J. Dudley),2,84-97,,
9:48.0,,,84-97,,K. Towns misses 2-pt shot at rim (block by J. Dudley)
9:47.0,,,84-97,,Offensive rebound by K. Towns
9:47.0,,,84-97,,K. Towns misses 2-pt shot at rim
9:47.0,,,84-97,,Offensive rebound by K. Towns
9:47.0,,,84-99,2,K. Towns makes 2-pt shot at rim
9:47.0,,,84-99,,Shooting foul by D. Bender (drawn by K. Towns)
9:47.0,,,84-100,1,K. Towns makes free throw 1 of 1
9:28.0,D. Bender makes 3-pt shot from 22 ft (assist by T. Ulis),3,87-100,,
9:13.0,,,87-100,,J. Crawford misses 2-pt shot from 21 ft
9:09.0,Defensive rebound by J. Dudley,,87-100,,
8:59.0,J. Dudley makes 3-pt shot from 22 ft (assist by T. Ulis),3,90-100,,
8:59.0,,,90-100,,Minnesota full timeout
8:59.0,,,90-100,,T. Jones enters the game for J. Crawford
8:59.0,,,90-100,,A. Wiggins enters the game for S. Muhammad
8:59.0,,,90-100,,J. Butler enters the game for A. Brooks
8:37.0,,,90-100,,Shooting foul by D. Bender (drawn by K. Towns)
8:37.0,,,90-101,1,K. Towns makes free throw 1 of 2
8:37.0,,,90-102,1,K. Towns makes free throw 2 of 2
8:19.0,Jump ball: K. Towns vs. T. Ulis (G. Dieng gains possession),,,,Jump ball: K. Towns vs. T. Ulis (G. Dieng gains possession)
8:19.0,Turnover by T. Ulis (lost ball; steal by T. Jones),,90-102,,
8:04.0,,,90-104,2,K. Towns makes 2-pt shot from 1 ft (assist by A. Wiggins)
7:42.0,T. Ulis misses 3-pt shot from 24 ft (block by T. Jones),,90-104,,
7:38.0,,,90-104,,Defensive rebound by G. Dieng
7:16.0,M. James enters the game for T. Ulis,,90-104,,
7:15.0,,,90-104,,Turnover by Team (shot clock)
6:58.0,Turnover by T. Warren (bad pass),,90-104,,
6:58.0,T. Chandler enters the game for D. Bender,,90-104,,
6:35.0,,,90-104,,J. Butler misses 2-pt shot from 19 ft
6:32.0,,,90-104,,Offensive rebound by K. Towns
6:31.0,,,90-104,,K. Towns misses 2-pt shot from 1 ft
6:31.0,,,90-104,,Offensive rebound by G. Dieng
6:10.0,,,90-106,2,J. Butler makes 2-pt shot from 5 ft
5:58.0,T. Warren misses 2-pt shot from 13 ft,,90-106,,
5:57.0,,,90-106,,Defensive rebound by T. Jones
5:50.0,,,90-108,2,J. Butler makes 2-pt shot from 1 ft (assist by T. Jones)
5:50.0,Phoenix full timeout,,90-108,,
5:32.0,J. Dudley makes 3-pt shot from 23 ft (assist by M. James),3,93-108,,
5:11.0,,,93-108,,J. Butler misses 2-pt shot from 12 ft
5:06.0,,,93-108,,Offensive rebound by G. Dieng
5:06.0,,,93-110,2,G. Dieng makes 2-pt shot at rim
5:01.0,M. James makes 2-pt shot from 3 ft (assist by J. Dudley),2,95-110,,
4:45.0,Personal foul by J. Dudley (drawn by A. Wiggins),,95-110,,
4:45.0,,,95-110,,T. Gibson enters the game for G. Dieng
4:34.0,,,95-110,,T. Gibson misses 2-pt shot from 15 ft
4:31.0,Defensive rebound by T. Chandler,,95-110,,
4:19.0,T. Daniels misses 2-pt shot from 5 ft,,95-110,,
4:17.0,,,95-110,,Defensive rebound by J. Butler
4:05.0,,,95-112,2,T. Gibson makes 2-pt shot from 1 ft (assist by J. Butler)
3:44.0,T. Daniels makes 2-pt shot from 20 ft (assist by M. James),2,97-112,,
3:18.0,,,97-112,,A. Wiggins misses 2-pt shot from 21 ft
3:17.0,Defensive rebound by M. James,,97-112,,
3:14.0,Shooting foul by A. Wiggins (drawn by T. Warren),,97-112,,
3:14.0,T. Warren makes free throw 1 of 2,1,98-112,,
3:14.0,J. Jackson enters the game for T. Daniels,,98-112,,
3:14.0,T. Warren makes free throw 2 of 2,1,99-112,,
3:01.0,,,99-114,2,J. Butler makes 2-pt shot from 2 ft
3:01.0,,,99-114,,Shooting foul by J. Dudley (drawn by J. Butler)
3:01.0,,,99-115,1,J. Butler makes free throw 1 of 1
2:50.0,J. Jackson misses 2-pt shot from 1 ft,,99-115,,
2:50.0,Offensive rebound by Team,,99-115,,
2:50.0,,,99-115,,Loose ball foul by K. Towns (drawn by T. Chandler)
2:44.0,T. Warren makes 2-pt shot from 15 ft (assist by J. Dudley),2,101-115,,
2:17.0,,,101-115,,T. Jones misses 3-pt shot from 23 ft
2:13.0,Defensive rebound by T. Chandler,,101-115,,
2:07.0,M. James makes 2-pt shot at rim,2,103-115,,
1:42.0,,,103-115,,Turnover by Team (shot clock)
1:42.0,M. Chriss enters the game for T. Chandler,,103-115,,
1:34.0,M. James makes 3-pt shot from 26 ft,3,106-115,,
1:18.0,,,106-117,2,J. Butler makes 2-pt shot from 10 ft
1:12.0,M. James misses 2-pt shot from 20 ft,,106-117,,
1:09.0,,,106-117,,Defensive rebound by T. Gibson
