time,Minnesota,pts.away,score,pts.home,San Antonio
8:25.0,,,58-62,,L. Aldridge misses 2-pt shot from 20 ft
8:18.0,Defensive rebound by A. Wiggins,,58-62,,
8:06.0,Turnover by J. Butler (bad pass),,58-62,,
7:50.0,,,58-62,,K. Anderson misses 2-pt shot from 5 ft
7:45.0,,,58-62,,Offensive rebound by D. Murray
7:43.0,,,58-64,2,D. Murray makes 2-pt shot from 2 ft
7:30.0,A. Wiggins makes 3-pt shot from 23 ft,3,61-64,,
7:10.0,,,61-66,2,D. Green makes 2-pt shot from 17 ft (assist by P. Gasol)
6:47.0,K. Towns makes 2-pt shot from 7 ft,2,63-66,,
6:39.0,,,63-66,,Shooting foul by T. Gibson (drawn by L. Aldridge)
6:39.0,,,63-67,1,L. Aldridge makes free throw 1 of 2
6:39.0,,,63-68,1,L. Aldridge makes free throw 2 of 2
6:16.0,A. Wiggins misses 3-pt shot from 27 ft,,63-68,,
6:13.0,,,63-68,,Defensive rebound by D. Green
5:58.0,,,63-70,2,D. Murray makes 2-pt shot from 2 ft
5:43.0,K. Towns misses 2-pt shot from 3 ft,,63-70,,
5:34.0,Offensive rebound by T. Gibson,,63-70,,
5:34.0,T. Gibson misses 2-pt shot at rim,,63-70,,
5:33.0,,,63-70,,Defensive rebound by D. Green
5:33.0,,,63-73,3,D. Green makes 3-pt shot from 24 ft
5:33.0,Minnesota full timeout,,63-73,,
5:33.0,,,63-73,,J. Lauvergne enters the game for P. Gasol
5:33.0,G. Dieng enters the game for K. Towns,,63-73,,
5:20.0,J. Teague makes 2-pt shot from 7 ft,2,65-73,,
5:02.0,,,65-75,2,L. Aldridge makes 2-pt shot from 8 ft
4:37.0,Turnover by J. Butler (traveling),,65-75,,
4:37.0,,,65-75,,M. Ginobili enters the game for K. Anderson
4:37.0,,,65-75,,R. Gay enters the game for L. Aldridge
4:23.0,Personal foul by J. Teague (drawn by D. Murray),,65-75,,
4:23.0,,,65-75,,P. Mills enters the game for D. Murray
4:16.0,,,65-75,,Turnover by D. Green (bad pass; steal by T. Gibson)
4:11.0,J. Teague makes 2-pt shot from 8 ft,2,67-75,,
4:11.0,Shooting foul by P. Mills (drawn by J. Teague),,67-75,,
4:11.0,J. Crawford enters the game for J. Butler,,67-75,,
4:11.0,J. Teague makes free throw 1 of 1,1,68-75,,
3:58.0,,,68-75,,Turnover by J. Lauvergne (bad pass)
3:45.0,J. Teague misses 2-pt shot from 10 ft,,68-75,,
3:42.0,,,68-75,,Defensive rebound by D. Green
3:36.0,,,68-77,2,J. Lauvergne makes 2-pt shot from 6 ft (assist by D. Green)
3:16.0,Turnover by T. Gibson (lost ball; steal by R. Gay),,68-77,,
3:12.0,,,68-77,,Shooting foul by J. Crawford (drawn by R. Gay)
3:12.0,,,68-78,1,R. Gay makes free throw 1 of 2
3:12.0,,,68-78,,K. Anderson enters the game for D. Green
3:12.0,N. Bjelica enters the game for J. Teague,,68-78,,
3:12.0,T. Jones enters the game for T. Gibson,,68-78,,
3:12.0,,,68-79,1,R. Gay makes free throw 2 of 2
3:00.0,A. Wiggins makes 2-pt shot from 1 ft (assist by G. Dieng),2,70-79,,
