time,Indiana,pts.away,score,pts.home,Cleveland
5:57.0,,,10-4,,Defensive rebound by K. Love
5:54.0,,,10-4,,Turnover by K. Love (bad pass; steal by V. Oladipo)
5:50.0,Turnover by M. Turner (lost ball; steal by G. Hill),,10-4,,
5:45.0,,,10-4,,Turnover by G. Hill (bad pass; steal by V. Oladipo)
5:40.0,,,10-4,,L. Nance enters the game for J. Green
5:23.0,D. Collison makes 2-pt shot from 1 ft (assist by M. Turner),2,12-4,,
5:01.0,,,12-4,,Turnover by K. Korver (bad pass; steal by B. Bogdanovic)
4:58.0,B. Bogdanovic makes 2-pt shot from 1 ft,2,14-4,,
4:58.0,Shooting foul by G. Hill (drawn by B. Bogdanovic),,14-4,,
4:58.0,,,14-4,,J. Smith enters the game for K. Korver
4:58.0,B. Bogdanovic makes free throw 1 of 1,1,15-4,,
4:43.0,,,15-4,,G. Hill misses 2-pt shot from 11 ft
4:42.0,Defensive rebound by B. Bogdanovic,,15-4,,
4:33.0,B. Bogdanovic makes 2-pt shot at rim,2,17-4,,
4:33.0,Shooting foul by K. Love (drawn by B. Bogdanovic),,17-4,,
4:33.0,,,17-4,,J. Calderon enters the game for G. Hill
4:33.0,B. Bogdanovic makes free throw 1 of 1,1,18-4,,
4:11.0,,,18-6,2,L. Nance makes 2-pt shot from 2 ft (assist by J. Calderon)
4:06.0,,,18-6,,Personal foul by J. Calderon (drawn by V. Oladipo)
4:06.0,V. Oladipo makes free throw 1 of 2,1,19-6,,
4:06.0,,,19-6,,J. Green enters the game for K. Love
4:06.0,D. Sabonis enters the game for T. Young,,19-6,,
4:06.0,V. Oladipo makes free throw 2 of 2,1,20-6,,
3:52.0,,,20-6,,J. Calderon misses 3-pt shot from 26 ft
3:50.0,Defensive rebound by D. Sabonis,,20-6,,
3:47.0,Shooting foul by J. Green (drawn by V. Oladipo),,20-6,,
3:47.0,V. Oladipo misses free throw 1 of 2,,20-6,,
3:47.0,Offensive rebound by Team,,20-6,,
3:47.0,V. Oladipo misses free throw 2 of 2,,20-6,,
3:44.0,,,20-6,,Defensive rebound by L. Nance
3:28.0,,,20-8,2,L. Nance makes 2-pt shot from 10 ft (assist by L. James)
3:23.0,Indiana full timeout,,20-8,,
3:23.0,L. Stephenson enters the game for B. Bogdanovic,,20-8,,
3:09.0,V. Oladipo makes 3-pt shot from 25 ft,3,23-8,,
2:46.0,,,23-8,,Turnover by J. Green (lost ball; steal by D. Collison)
2:40.0,M. Turner misses 2-pt shot at rim,,23-8,,
2:35.0,Offensive rebound by M. Turner,,23-8,,
2:35.0,M. Turner makes 2-pt shot at rim,2,25-8,,
2:20.0,Personal foul by L. Stephenson (drawn by L. James),,25-8,,
2:12.0,,,25-8,,J. Smith misses 2-pt shot from 9 ft
2:10.0,Defensive rebound by V. Oladipo,,25-8,,
2:04.0,L. Stephenson misses 3-pt shot from 23 ft,,25-8,,
2:01.0,,,25-8,,Defensive rebound by J. Green
1:52.0,,,25-8,,Shooting foul by D. Sabonis (drawn by L. James)
1:52.0,,,25-9,1,L. James makes free throw 1 of 2
1:52.0,,,25-9,,J. Clarkson enters the game for J. Calderon
1:52.0,T. Booker enters the game for D. Collison,,25-9,,
1:52.0,C. Joseph enters the game for M. Turner,,25-9,,
1:52.0,,,25-10,1,L. James makes free throw 2 of 2
1:37.0,V. Oladipo makes 3-pt shot from 26 ft,3,28-10,,
1:24.0,,,28-10,,L. James misses 3-pt shot from 26 ft
1:22.0,Defensive rebound by T. Booker,,28-10,,
1:16.0,V. Oladipo misses 3-pt shot from 26 ft,,28-10,,
1:13.0,,,28-10,,Defensive rebound by J. Smith
1:05.0,,,28-10,,L. James misses 2-pt shot at rim
0:58.0,,,28-10,,Offensive rebound by L. James
0:58.0,,,28-10,,L. James misses 2-pt shot at rim (block by D. Sabonis)
0:58.0,Defensive rebound by C. Joseph,,28-10,,
0:57.0,L. Stephenson makes 2-pt shot from 1 ft (assist by V. Oladipo),2,30-10,,
0:57.0,Shooting foul by J. Green (drawn by L. Stephenson),,30-10,,
0:57.0,L. Stephenson misses free throw 1 of 1,,30-10,,
0:54.0,Offensive rebound by T. Booker,,30-10,,
0:34.0,V. Oladipo misses 2-pt shot from 15 ft,,30-10,,
0:33.0,,,30-10,,Defensive rebound by Team
0:33.0,Loose ball foul by D. Sabonis (drawn by J. Clarkson),,30-10,,
0:33.0,,,30-11,1,J. Clarkson makes free throw 1 of 2
0:33.0,,,30-11,,G. Hill enters the game for J. Green
0:33.0,B. Bogdanovic enters the game for D. Sabonis,,30-11,,
0:33.0,Violation by L. Stephenson (lane),,30-11,,
0:33.0,,,30-12,1,J. Clarkson makes free throw 2 of 2
0:18.0,L. Stephenson makes 3-pt shot from 22 ft (assist by V. Oladipo),3,33-12,,
0:01.0,,,33-14,2,L. Nance makes 2-pt shot from 9 ft (assist by L. James)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,33-17,3,G. Hill makes 3-pt shot from 26 ft (assist by L. James)
11:17.0,L. Stephenson misses 3-pt shot from 25 ft,,33-17,,
11:15.0,,,33-17,,Defensive rebound by J. Smith
11:08.0,,,33-19,2,L. James makes 2-pt shot from 1 ft
10:46.0,C. Joseph misses 2-pt shot from 17 ft,,33-19,,
10:43.0,,,33-19,,Defensive rebound by L. James
10:37.0,,,33-19,,J. Smith misses 3-pt shot from 25 ft
10:34.0,Defensive rebound by L. Stephenson,,33-19,,
10:28.0,L. Stephenson misses 2-pt shot from 1 ft,,33-19,,
10:24.0,,,33-19,,Defensive rebound by G. Hill
10:22.0,,,33-21,2,L. James makes 2-pt shot from 1 ft (assist by G. Hill)
10:07.0,B. Bogdanovic misses 2-pt shot from 13 ft,,33-21,,
10:01.0,Offensive rebound by D. Sabonis,,33-21,,
10:01.0,Shooting foul by G. Hill (drawn by T. Booker),,33-21,,
10:01.0,T. Booker makes free throw 1 of 2,1,34-21,,
10:01.0,,,34-21,,K. Love enters the game for L. James
10:01.0,T. Booker misses free throw 2 of 2,,34-21,,
9:58.0,,,34-21,,Defensive rebound by K. Love
9:36.0,,,34-21,,J. Clarkson misses 3-pt shot from 24 ft
9:33.0,,,34-21,,Offensive rebound by K. Love
9:29.0,,,34-21,,Turnover by L. Nance (lost ball; steal by C. Joseph)
9:25.0,Turnover by B. Bogdanovic (bad pass),,34-21,,
9:11.0,Personal foul by T. Booker (drawn by K. Love),,34-21,,
9:05.0,,,34-21,,J. Smith misses 2-pt shot from 18 ft
9:02.0,Defensive rebound by L. Stephenson,,34-21,,
8:59.0,Offensive foul by T. Booker (drawn by G. Hill),,34-21,,
8:59.0,Turnover by T. Booker (offensive foul),,34-21,,
8:59.0,,,34-21,,R. Hood enters the game for G. Hill
8:47.0,,,34-23,2,J. Smith makes 2-pt shot from 1 ft (assist by L. Nance)
8:47.0,Indiana full timeout,,34-23,,
8:47.0,T. Young enters the game for T. Booker,,34-23,,
8:37.0,Shooting foul by J. Smith (drawn by B. Bogdanovic),,34-23,,
8:37.0,B. Bogdanovic makes free throw 1 of 2,1,35-23,,
8:37.0,B. Bogdanovic makes free throw 2 of 2,1,36-23,,
8:21.0,,,36-23,,Turnover by J. Smith (bad pass; steal by C. Joseph)
8:17.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by C. Joseph),2,38-23,,
8:01.0,,,38-23,,L. Nance misses 2-pt shot from 1 ft
7:59.0,Defensive rebound by L. Stephenson,,38-23,,
7:56.0,L. Stephenson makes 2-pt shot from 1 ft,2,40-23,,
7:56.0,,,40-23,,Cleveland full timeout
7:56.0,,,40-23,,L. James enters the game for J. Smith
7:56.0,,,40-23,,J. Green enters the game for L. Nance
7:37.0,,,40-23,,L. James misses 2-pt shot from 22 ft
7:35.0,Defensive rebound by D. Sabonis,,40-23,,
7:16.0,B. Bogdanovic misses 3-pt shot from 25 ft,,40-23,,
7:10.0,,,40-23,,Defensive rebound by R. Hood
7:07.0,,,40-25,2,L. James makes 2-pt shot at rim
7:07.0,,,40-25,,Shooting foul by D. Sabonis (drawn by L. James)
7:07.0,M. Turner enters the game for D. Sabonis,,40-25,,
7:07.0,V. Oladipo enters the game for B. Bogdanovic,,40-25,,
7:07.0,,,40-26,1,L. James makes free throw 1 of 1
6:43.0,C. Joseph misses 2-pt shot from 9 ft,,40-26,,
6:43.0,,,40-26,,Defensive rebound by K. Love
6:43.0,Personal foul by C. Joseph (drawn by K. Love),,40-26,,
6:33.0,Personal foul by C. Joseph (drawn by J. Clarkson),,40-26,,
6:24.0,,,40-28,2,J. Clarkson makes 2-pt shot from 2 ft (assist by L. James)
5:59.0,L. Stephenson makes 2-pt shot from 4 ft,2,42-28,,
5:47.0,,,42-30,2,L. James makes 2-pt shot from 2 ft
5:32.0,V. Oladipo misses 2-pt shot from 17 ft,,42-30,,
5:30.0,,,42-30,,Defensive rebound by K. Love
5:21.0,,,42-32,2,L. James makes 2-pt shot from 2 ft
5:04.0,C. Joseph makes 3-pt shot from 23 ft (assist by V. Oladipo),3,45-32,,
4:42.0,,,45-32,,K. Love misses 2-pt shot from 13 ft
4:39.0,Defensive rebound by V. Oladipo,,45-32,,
4:37.0,V. Oladipo makes 2-pt shot from 22 ft,2,47-32,,
4:19.0,,,47-32,,Shooting foul by V. Oladipo (drawn by R. Hood)
4:19.0,,,47-32,,R. Hood misses free throw 1 of 2
4:19.0,,,47-32,,Offensive rebound by Team
4:19.0,,,47-32,,G. Hill enters the game for J. Clarkson
4:19.0,B. Bogdanovic enters the game for L. Stephenson,,47-32,,
4:19.0,D. Collison enters the game for C. Joseph,,47-32,,
4:19.0,,,47-32,,R. Hood misses free throw 2 of 2
4:17.0,Defensive rebound by B. Bogdanovic,,47-32,,
4:07.0,V. Oladipo misses 2-pt shot from 2 ft (block by K. Love),,47-32,,
4:04.0,,,47-32,,Defensive rebound by K. Love
3:57.0,,,47-32,,L. James misses 2-pt shot from 2 ft (block by V. Oladipo)
3:54.0,Defensive rebound by B. Bogdanovic,,47-32,,
3:53.0,T. Young misses 2-pt shot from 2 ft,,47-32,,
3:50.0,,,47-32,,Defensive rebound by J. Green
3:46.0,,,47-34,2,R. Hood makes 2-pt shot at rim
3:20.0,D. Collison misses 2-pt shot from 17 ft,,47-34,,
3:17.0,,,47-34,,Defensive rebound by J. Green
3:02.0,,,47-34,,G. Hill misses 2-pt shot from 13 ft
3:02.0,,,47-34,,Offensive rebound by L. James
3:02.0,Personal foul by M. Turner (drawn by L. James),,47-34,,
3:02.0,,,47-34,,L. James misses free throw 1 of 2
3:02.0,,,47-34,,Offensive rebound by Team
3:02.0,,,47-34,,L. James misses free throw 2 of 2
3:00.0,Defensive rebound by M. Turner,,47-34,,
2:41.0,Turnover by D. Collison (traveling),,47-34,,
2:25.0,,,47-34,,R. Hood misses 2-pt shot from 12 ft
2:23.0,Defensive rebound by T. Young,,47-34,,
2:20.0,V. Oladipo makes 3-pt shot from 26 ft,3,50-34,,
1:53.0,,,50-37,3,K. Love makes 3-pt shot from 22 ft (assist by R. Hood)
1:35.0,B. Bogdanovic misses 2-pt shot from 4 ft,,50-37,,
1:33.0,,,50-37,,Defensive rebound by K. Love
1:14.0,Shooting block foul by V. Oladipo (drawn by L. James),,50-37,,
1:14.0,,,50-37,,L. James misses free throw 1 of 2
1:14.0,,,50-37,,Offensive rebound by Team
1:14.0,,,50-37,,L. Nance enters the game for K. Love
1:14.0,,,50-37,,J. Clarkson enters the game for R. Hood
1:14.0,,,50-37,,J. Smith enters the game for J. Green
1:14.0,L. Stephenson enters the game for V. Oladipo,,50-37,,
1:14.0,,,50-38,1,L. James makes free throw 2 of 2
0:58.0,M. Turner makes 2-pt shot from 11 ft (assist by D. Collison),2,52-38,,
0:43.0,,,52-38,,G. Hill misses 3-pt shot from 23 ft
0:41.0,Defensive rebound by B. Bogdanovic,,52-38,,
0:27.0,Turnover by L. Stephenson (bad pass; steal by L. Nance),,52-38,,
0:20.0,,,52-38,,J. Clarkson misses 3-pt shot from 23 ft
0:17.0,Defensive rebound by L. Stephenson,,52-38,,
0:02.0,M. Turner makes 3-pt shot from 26 ft (assist by D. Collison),3,55-38,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,55-38,,J. Green misses 2-pt shot from 4 ft
11:34.0,Defensive rebound by M. Turner,,55-38,,
11:30.0,M. Turner makes 2-pt shot from 1 ft (assist by D. Collison),2,57-38,,
11:12.0,,,57-38,,Turnover by G. Hill (lost ball; steal by B. Bogdanovic)
11:08.0,V. Oladipo makes 2-pt shot at rim (assist by D. Collison),2,59-38,,
11:08.0,,,59-38,,Cleveland full timeout
10:48.0,,,59-38,,L. James misses 2-pt shot from 6 ft (block by T. Young)
10:44.0,Defensive rebound by B. Bogdanovic,,59-38,,
10:28.0,T. Young makes 2-pt shot from 1 ft,2,61-38,,
10:14.0,,,61-41,3,K. Love makes 3-pt shot from 25 ft (assist by L. James)
9:47.0,V. Oladipo misses 2-pt shot from 22 ft,,61-41,,
9:46.0,,,61-41,,Defensive rebound by L. James
9:38.0,,,61-41,,J. Green misses 2-pt shot from 8 ft
9:36.0,Defensive rebound by M. Turner,,61-41,,
9:17.0,T. Young makes 2-pt shot from 4 ft,2,63-41,,
8:58.0,,,63-43,2,G. Hill makes 2-pt shot from 15 ft
8:45.0,B. Bogdanovic misses 2-pt shot from 7 ft,,63-43,,
8:42.0,,,63-43,,Defensive rebound by K. Love
8:39.0,Personal foul by V. Oladipo (drawn by G. Hill),,63-43,,
8:39.0,,,63-43,,J. Smith enters the game for G. Hill
8:39.0,,,63-43,,L. Nance enters the game for R. Hood
8:39.0,,,63-43,,J. Calderon enters the game for J. Green
8:30.0,,,63-43,,Turnover by K. Love (bad pass; steal by D. Collison)
8:25.0,Shooting foul by J. Smith (drawn by V. Oladipo),,63-43,,
8:25.0,V. Oladipo misses free throw 1 of 2,,63-43,,
8:25.0,Offensive rebound by Team,,63-43,,
8:25.0,V. Oladipo makes free throw 2 of 2,1,64-43,,
8:14.0,,,64-43,,Shooting foul by B. Bogdanovic (drawn by L. James)
8:14.0,,,64-44,1,L. James makes free throw 1 of 2
8:14.0,,,64-45,1,L. James makes free throw 2 of 2
8:02.0,V. Oladipo makes 2-pt shot from 12 ft,2,66-45,,
7:37.0,,,66-45,,L. James misses 3-pt shot from 29 ft
7:34.0,,,66-45,,Offensive rebound by K. Love
7:32.0,,,66-48,3,J. Smith makes 3-pt shot from 24 ft (assist by K. Love)
7:11.0,B. Bogdanovic misses 3-pt shot from 28 ft,,66-48,,
7:07.0,,,66-48,,Defensive rebound by K. Love
6:58.0,,,66-48,,K. Love misses 3-pt shot from 23 ft
6:55.0,Defensive rebound by D. Collison,,66-48,,
6:51.0,B. Bogdanovic misses 3-pt shot from 26 ft,,66-48,,
6:48.0,Offensive rebound by T. Young,,66-48,,
6:43.0,B. Bogdanovic misses 2-pt shot from 2 ft,,66-48,,
6:41.0,,,66-48,,Defensive rebound by K. Love
6:20.0,,,66-48,,L. James misses 3-pt shot from 23 ft
6:20.0,Defensive rebound by Team,,66-48,,
6:07.0,Shooting foul by L. James (drawn by M. Turner),,66-48,,
6:07.0,M. Turner makes free throw 1 of 2,1,67-48,,
6:07.0,M. Turner makes free throw 2 of 2,1,68-48,,
5:49.0,,,68-50,2,L. Nance makes 2-pt shot from 1 ft (assist by J. Smith)
5:38.0,D. Collison misses 3-pt shot from 26 ft,,68-50,,
5:36.0,,,68-50,,Defensive rebound by L. James
5:30.0,,,68-50,,J. Calderon misses 3-pt shot from 26 ft
5:27.0,,,68-50,,Offensive rebound by K. Love
5:20.0,,,68-50,,Offensive foul by J. Smith (drawn by M. Turner)
5:20.0,,,68-50,,Turnover by J. Smith (offensive foul)
5:11.0,,,68-50,,Personal foul by J. Calderon (drawn by T. Young)
4:59.0,Turnover by V. Oladipo (traveling),,68-50,,
4:40.0,,,68-50,,J. Smith misses 3-pt shot from 24 ft
4:37.0,,,68-50,,Offensive rebound by L. Nance
4:32.0,,,68-50,,J. Calderon misses 3-pt shot from 29 ft
4:32.0,Defensive rebound by Team,,68-50,,
4:32.0,,,68-50,,Loose ball foul by L. Nance (drawn by V. Oladipo)
4:16.0,B. Bogdanovic misses 2-pt shot from 15 ft (block by L. Nance),,68-50,,
4:13.0,,,68-50,,Defensive rebound by L. Nance
4:10.0,,,68-50,,Turnover by J. Calderon (bad pass; steal by V. Oladipo)
4:04.0,V. Oladipo misses 3-pt shot from 26 ft,,68-50,,
4:01.0,,,68-50,,Defensive rebound by K. Love
3:53.0,,,68-50,,Turnover by L. James (turnover)
3:53.0,,,68-50,,Loose ball foul by L. James (drawn by D. Collison)
3:53.0,D. Collison misses free throw 1 of 2,,68-50,,
3:53.0,Offensive rebound by Team,,68-50,,
3:53.0,,,68-50,,J. Clarkson enters the game for J. Calderon
3:53.0,D. Sabonis enters the game for T. Young,,68-50,,
3:53.0,D. Collison makes free throw 2 of 2,1,69-50,,
3:37.0,,,69-53,3,J. Smith makes 3-pt shot from 25 ft (assist by L. James)
3:37.0,Indiana full timeout,,69-53,,
3:37.0,L. Stephenson enters the game for B. Bogdanovic,,69-53,,
3:22.0,Turnover by V. Oladipo (bad pass; steal by L. Nance),,69-53,,
3:22.0,Personal foul by D. Sabonis (drawn by L. Nance),,69-53,,
3:07.0,,,69-56,3,J. Smith makes 3-pt shot from 26 ft (assist by L. James)
2:43.0,,,69-56,,Personal foul by L. Nance (drawn by V. Oladipo)
2:43.0,V. Oladipo makes free throw 1 of 2,1,70-56,,
2:43.0,V. Oladipo misses free throw 2 of 2,,70-56,,
2:39.0,,,70-56,,Defensive rebound by L. Nance
2:25.0,,,70-58,2,L. James makes 2-pt shot at rim
2:10.0,Turnover by D. Collison (bad pass; steal by J. Clarkson),,70-58,,
2:07.0,,,70-60,2,L. Nance makes 2-pt shot from 1 ft (assist by J. Clarkson)
2:07.0,,,70-60,,Shooting foul by M. Turner (drawn by L. Nance)
2:07.0,C. Joseph enters the game for V. Oladipo,,70-60,,
2:07.0,,,70-60,,L. Nance misses free throw 1 of 1
2:07.0,Defensive rebound by Team,,70-60,,
1:50.0,Turnover by L. Stephenson (bad pass; steal by K. Love),,70-60,,
1:46.0,,,70-60,,Turnover by L. Nance (bad pass; steal by C. Joseph)
1:26.0,L. Stephenson misses 3-pt shot from 23 ft,,70-60,,
1:22.0,,,70-60,,Defensive rebound by K. Love
1:06.0,,,70-63,3,K. Love makes 3-pt shot from 30 ft (assist by L. James)
1:06.0,,,70-63,,Shooting foul by D. Sabonis (drawn by K. Love)
1:06.0,T. Booker enters the game for D. Sabonis,,70-63,,
1:06.0,,,70-63,,K. Love misses free throw 1 of 1
1:06.0,Defensive rebound by T. Booker,,70-63,,
0:49.0,D. Collison makes 3-pt shot from 27 ft (assist by M. Turner),3,73-63,,
0:39.0,Personal foul by L. Stephenson,,73-63,,
0:39.0,Technical foul by L. Stephenson,,73-63,,
0:39.0,,,73-64,1,L. James makes technical free throw
0:39.0,,,73-65,1,L. James makes free throw 1 of 2
0:39.0,,,73-65,,J. Green enters the game for K. Love
0:39.0,,,73-65,,L. James misses free throw 2 of 2
0:37.0,Defensive rebound by M. Turner,,73-65,,
0:22.0,D. Collison misses 2-pt shot from 21 ft,,73-65,,
0:19.0,,,73-65,,Defensive rebound by J. Clarkson
0:00.0,,,73-65,,J. Green misses 3-pt shot from 23 ft
0:00.0,,,73-65,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,73-65,,Personal foul by J. Clarkson (drawn by B. Bogdanovic)
11:41.0,L. Stephenson misses 2-pt shot at rim (block by J. Green),,73-65,,
11:40.0,Offensive rebound by L. Stephenson,,73-65,,
11:40.0,L. Stephenson makes 2-pt shot at rim,2,75-65,,
11:27.0,,,75-65,,J. Clarkson misses 3-pt shot from 24 ft
11:27.0,Defensive rebound by Team,,75-65,,
11:05.0,Shooting foul by J. Clarkson (drawn by L. Stephenson),,75-65,,
11:05.0,L. Stephenson makes free throw 1 of 2,1,76-65,,
11:05.0,L. Stephenson misses free throw 2 of 2,,76-65,,
11:03.0,,,76-65,,Defensive rebound by L. Nance
10:52.0,,,76-67,2,J. Smith makes 2-pt shot from 15 ft (assist by L. James)
10:38.0,L. Stephenson misses 2-pt shot from 8 ft,,76-67,,
10:35.0,,,76-67,,Defensive rebound by L. James
10:29.0,,,76-69,2,L. James makes 2-pt shot from 1 ft
10:29.0,Indiana full timeout,,76-69,,
10:29.0,V. Oladipo enters the game for L. Stephenson,,76-69,,
10:10.0,T. Booker makes 2-pt shot from 2 ft (assist by D. Sabonis),2,78-69,,
9:55.0,,,78-69,,Offensive foul by L. Nance (drawn by V. Oladipo)
9:55.0,,,78-69,,Turnover by L. Nance (offensive foul)
9:43.0,V. Oladipo makes 3-pt shot from 27 ft (assist by C. Joseph),3,81-69,,
9:09.0,,,81-69,,J. Green misses 2-pt shot from 14 ft
9:05.0,,,81-69,,Offensive rebound by L. James
9:02.0,,,81-71,2,J. Smith makes 2-pt shot from 19 ft
8:38.0,C. Joseph misses 2-pt shot from 14 ft,,81-71,,
8:35.0,Offensive rebound by D. Sabonis,,81-71,,
8:34.0,D. Sabonis makes 2-pt shot from 12 ft,2,83-71,,
8:19.0,,,83-71,,J. Green misses 3-pt shot from 23 ft
8:17.0,Defensive rebound by C. Joseph,,83-71,,
8:04.0,V. Oladipo makes 2-pt shot from 19 ft,2,85-71,,
8:03.0,,,85-71,,Cleveland full timeout
8:03.0,,,85-71,,K. Love enters the game for J. Clarkson
8:03.0,,,85-71,,R. Hood enters the game for J. Green
7:48.0,,,85-71,,R. Hood misses 3-pt shot from 23 ft
7:46.0,Defensive rebound by T. Booker,,85-71,,
7:28.0,B. Bogdanovic makes 3-pt shot from 23 ft (assist by D. Sabonis),3,88-71,,
7:12.0,,,88-71,,L. James misses 3-pt shot from 24 ft
7:12.0,Defensive rebound by Team,,88-71,,
7:12.0,,,88-71,,Loose ball foul by L. Nance (drawn by D. Sabonis)
6:48.0,D. Sabonis misses 3-pt shot from 27 ft,,88-71,,
6:42.0,,,88-71,,Defensive rebound by R. Hood
6:31.0,Personal foul by T. Booker (drawn by L. James),,88-71,,
6:31.0,T. Young enters the game for T. Booker,,88-71,,
6:21.0,,,88-73,2,R. Hood makes 2-pt shot from 16 ft (assist by L. James)
5:58.0,C. Joseph misses 2-pt shot from 19 ft,,88-73,,
5:56.0,,,88-73,,Defensive rebound by Team
5:50.0,,,88-73,,Shooting foul by B. Bogdanovic (drawn by L. James)
5:50.0,,,88-74,1,L. James makes free throw 1 of 2
5:50.0,,,88-75,1,L. James makes free throw 2 of 2
5:50.0,Indiana full timeout,,88-75,,
5:26.0,D. Sabonis misses 3-pt shot from 22 ft,,88-75,,
5:22.0,,,88-75,,Defensive rebound by L. James
5:14.0,,,88-75,,Turnover by R. Hood (bad pass; steal by V. Oladipo)
5:09.0,D. Sabonis makes 2-pt shot at rim (assist by V. Oladipo),2,90-75,,
4:44.0,,,90-78,3,R. Hood makes 3-pt shot from 23 ft (assist by K. Love)
4:17.0,B. Bogdanovic misses 3-pt shot from 22 ft,,90-78,,
4:17.0,,,90-78,,Defensive rebound by Team
4:17.0,D. Collison enters the game for C. Joseph,,90-78,,
4:17.0,M. Turner enters the game for D. Sabonis,,90-78,,
4:06.0,,,90-78,,L. Nance misses 2-pt shot at rim (block by M. Turner)
4:02.0,Defensive rebound by V. Oladipo,,90-78,,
3:47.0,B. Bogdanovic misses 2-pt shot from 17 ft,,90-78,,
3:47.0,Offensive rebound by Team,,90-78,,
3:47.0,,,90-78,,Loose ball foul by K. Love (drawn by M. Turner)
3:32.0,M. Turner misses 2-pt shot from 12 ft (block by L. James),,90-78,,
3:28.0,,,90-78,,Defensive rebound by K. Love
3:26.0,Personal block foul by M. Turner (drawn by L. James),,90-78,,
3:26.0,,,90-78,,Cleveland full timeout
3:15.0,,,90-78,,L. James misses 2-pt shot from 19 ft
3:12.0,Defensive rebound by D. Collison,,90-78,,
