time,New Orleans,pts.away,score,pts.home,Portland
4:15.0,,,13-14,,Z. Collins enters the game for A. Aminu
4:15.0,,,13-14,,E. Davis enters the game for J. Nurkic
4:15.0,D. Miller enters the game for E. Moore,,13-14,,
4:15.0,I. Clark enters the game for R. Rondo,,13-14,,
4:02.0,A. Davis makes 2-pt shot from 1 ft (assist by I. Clark),2,15-14,,
3:37.0,,,15-14,,Z. Collins misses 2-pt shot from 8 ft (block by N. Mirotic)
3:34.0,,,15-14,,Offensive rebound by E. Davis
3:34.0,,,15-16,2,E. Davis makes 2-pt shot at rim
3:13.0,J. Holiday makes 2-pt shot from 14 ft,2,17-16,,
2:53.0,,,17-16,,D. Lillard misses 3-pt shot from 25 ft
2:50.0,Defensive rebound by D. Miller,,17-16,,
2:43.0,N. Mirotic misses 3-pt shot from 25 ft,,17-16,,
2:39.0,Offensive rebound by J. Holiday,,17-16,,
2:36.0,Turnover by D. Miller (traveling),,17-16,,
2:36.0,New Orleans full timeout,,17-16,,
2:36.0,,,17-16,,W. Baldwin enters the game for C. McCollum
2:36.0,C. Diallo enters the game for A. Davis,,17-16,,
2:36.0,,,17-16,,P. Connaughton enters the game for E. Turner
2:24.0,,,17-16,,P. Connaughton misses 3-pt shot from 25 ft
2:21.0,Defensive rebound by C. Diallo,,17-16,,
2:07.0,J. Holiday misses 2-pt shot from 14 ft,,17-16,,
2:05.0,,,17-16,,Defensive rebound by E. Davis
1:56.0,,,17-16,,D. Lillard misses 2-pt shot from 1 ft (block by I. Clark)
1:56.0,,,17-16,,Offensive rebound by Team
1:49.0,,,17-16,,E. Davis misses 2-pt shot from 4 ft (block by N. Mirotic)
1:47.0,Defensive rebound by J. Holiday,,17-16,,
1:41.0,D. Miller misses 3-pt shot from 24 ft,,17-16,,
1:38.0,,,17-16,,Defensive rebound by D. Lillard
1:34.0,Personal foul by C. Diallo (drawn by D. Lillard),,17-16,,
1:24.0,,,17-16,,Z. Collins misses 3-pt shot from 23 ft
1:20.0,Defensive rebound by I. Clark,,17-16,,
1:16.0,J. Holiday makes 2-pt shot from 1 ft,2,19-16,,
0:52.0,,,19-18,2,Z. Collins makes 2-pt shot from 7 ft (assist by W. Baldwin)
0:45.0,,,19-18,,Violation by Z. Collins (kicked ball)
0:34.0,N. Mirotic misses 3-pt shot from 25 ft,,19-18,,
0:32.0,,,19-18,,Defensive rebound by Team
0:18.0,,,19-18,,Offensive foul by E. Davis (drawn by I. Clark)
0:18.0,,,19-18,,Turnover by E. Davis (offensive foul)
0:00.0,J. Holiday makes 2-pt shot from 1 ft,2,21-18,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,21-20,2,P. Connaughton makes 2-pt shot at rim (assist by S. Napier)
11:38.0,,,21-20,,Personal foul by C. McCollum (drawn by I. Clark)
11:30.0,S. Hill makes 3-pt shot from 22 ft (assist by R. Rondo),3,24-20,,
11:18.0,,,24-20,,C. McCollum misses 2-pt shot from 21 ft
11:17.0,Defensive rebound by A. Davis,,24-20,,
11:04.0,Turnover by R. Rondo (bad pass; steal by Z. Collins),,24-20,,
10:58.0,,,24-22,2,S. Napier makes 2-pt shot from 1 ft
10:39.0,Turnover by S. Hill (bad pass; steal by S. Napier),,24-22,,
10:28.0,,,24-25,3,P. Connaughton makes 3-pt shot from 27 ft (assist by Z. Collins)
10:11.0,A. Davis misses 2-pt shot from 7 ft,,24-25,,
10:09.0,,,24-25,,Defensive rebound by Team
9:52.0,,,24-27,2,Z. Collins makes 2-pt shot from 10 ft
9:33.0,I. Clark makes 3-pt shot from 25 ft (assist by R. Rondo),3,27-27,,
9:10.0,,,27-27,,Shooting foul by S. Hill (drawn by Z. Collins)
9:10.0,,,27-28,1,Z. Collins makes free throw 1 of 2
9:10.0,,,27-28,,Z. Collins misses free throw 2 of 2
9:08.0,Defensive rebound by R. Rondo,,27-28,,
8:53.0,S. Hill misses 3-pt shot from 23 ft,,27-28,,
8:51.0,,,27-28,,Defensive rebound by E. Davis
8:41.0,,,27-28,,S. Napier misses 3-pt shot from 25 ft
8:37.0,Defensive rebound by D. Miller,,27-28,,
8:20.0,Turnover by I. Clark (bad pass; steal by Z. Collins),,27-28,,
8:16.0,,,27-28,,P. Connaughton misses 3-pt shot from 26 ft
8:10.0,Defensive rebound by D. Miller,,27-28,,
8:05.0,A. Davis makes 2-pt shot from 3 ft (assist by R. Rondo),2,29-28,,
7:46.0,,,29-28,,S. Napier misses 2-pt shot from 10 ft
7:45.0,,,29-28,,Offensive rebound by Team
7:45.0,E. Moore enters the game for D. Miller,,29-28,,
7:41.0,,,29-28,,Z. Collins misses 2-pt shot from 3 ft
7:37.0,,,29-28,,Offensive rebound by E. Davis
7:37.0,,,29-30,2,E. Davis makes 2-pt shot at rim
7:22.0,I. Clark misses 2-pt shot from 14 ft,,29-30,,
7:19.0,,,29-30,,Defensive rebound by E. Davis
7:04.0,,,29-32,2,S. Napier makes 2-pt shot from 1 ft (assist by Z. Collins)
6:45.0,R. Rondo misses 3-pt shot from 24 ft,,29-32,,
6:44.0,,,29-32,,Defensive rebound by Z. Collins
6:29.0,Loose ball foul by S. Hill (drawn by S. Napier),,29-32,,
6:29.0,,,29-32,,Portland full timeout
6:29.0,N. Mirotic enters the game for I. Clark,,29-32,,
6:29.0,J. Holiday enters the game for S. Hill,,29-32,,
6:20.0,,,29-32,,E. Davis misses 2-pt shot from 2 ft (block by A. Davis)
6:19.0,Defensive rebound by Team,,29-32,,
6:09.0,Shooting foul by E. Davis (drawn by A. Davis),,29-32,,
6:09.0,A. Davis makes free throw 1 of 2,1,30-32,,
6:09.0,,,30-32,,J. Nurkic enters the game for P. Connaughton
6:09.0,,,30-32,,A. Aminu enters the game for E. Davis
6:09.0,,,30-32,,D. Lillard enters the game for Z. Collins
6:09.0,A. Davis misses free throw 2 of 2,,30-32,,
6:07.0,,,30-32,,Defensive rebound by S. Napier
5:53.0,,,30-32,,S. Napier misses 3-pt shot from 26 ft
5:50.0,Defensive rebound by N. Mirotic,,30-32,,
5:44.0,J. Holiday makes 2-pt shot from 1 ft (assist by R. Rondo),2,32-32,,
5:44.0,Shooting foul by J. Nurkic (drawn by J. Holiday),,32-32,,
5:44.0,,,32-32,,E. Turner enters the game for C. McCollum
5:44.0,J. Holiday misses free throw 1 of 1,,32-32,,
5:44.0,,,32-32,,Defensive rebound by J. Nurkic
5:31.0,,,32-32,,D. Lillard misses 3-pt shot from 25 ft
5:26.0,Defensive rebound by R. Rondo,,32-32,,
5:10.0,A. Davis makes 2-pt shot from 2 ft (assist by E. Moore),2,34-32,,
4:56.0,,,34-32,,Turnover by E. Turner (bad pass; steal by N. Mirotic)
4:43.0,E. Moore misses 3-pt shot from 25 ft,,34-32,,
4:40.0,,,34-32,,Defensive rebound by D. Lillard
4:30.0,,,34-32,,E. Turner misses 3-pt shot from 23 ft
4:29.0,Defensive rebound by N. Mirotic,,34-32,,
4:21.0,N. Mirotic makes 3-pt shot from 24 ft (assist by R. Rondo),3,37-32,,
4:02.0,Personal foul by N. Mirotic (drawn by J. Nurkic),,37-32,,
4:02.0,C. Diallo enters the game for A. Davis,,37-32,,
3:59.0,Personal foul by E. Moore (drawn by S. Napier),,37-32,,
3:51.0,,,37-32,,D. Lillard misses 2-pt shot from 2 ft
3:49.0,Defensive rebound by N. Mirotic,,37-32,,
3:41.0,C. Diallo makes 2-pt shot from 8 ft (assist by N. Mirotic),2,39-32,,
3:23.0,,,39-32,,D. Lillard misses 2-pt shot from 17 ft (block by J. Holiday)
3:20.0,Defensive rebound by J. Holiday,,39-32,,
3:05.0,J. Holiday makes 2-pt shot from 13 ft,2,41-32,,
2:52.0,,,41-32,,Turnover by E. Turner (lost ball; steal by E. Moore)
2:41.0,C. Diallo misses 2-pt shot from 2 ft (block by E. Turner),,41-32,,
2:39.0,,,41-32,,Defensive rebound by A. Aminu
2:34.0,,,41-32,,S. Napier misses 3-pt shot from 24 ft
2:31.0,,,41-32,,Offensive rebound by E. Turner
2:20.0,,,41-32,,Turnover by S. Napier (bad pass)
2:20.0,New Orleans full timeout,,41-32,,
2:20.0,,,41-32,,C. McCollum enters the game for S. Napier
2:20.0,A. Davis enters the game for C. Diallo,,41-32,,
2:00.0,J. Holiday misses 3-pt shot from 29 ft,,41-32,,
1:56.0,Offensive rebound by E. Moore,,41-32,,
1:54.0,A. Davis makes 2-pt shot from 2 ft (assist by E. Moore),2,43-32,,
1:28.0,,,43-34,2,A. Aminu makes 2-pt shot from 22 ft
1:07.0,A. Davis makes 2-pt shot from 8 ft (assist by R. Rondo),2,45-34,,
0:52.0,,,45-34,,Shooting foul by R. Rondo (drawn by J. Nurkic)
0:52.0,,,45-35,1,J. Nurkic makes free throw 1 of 2
0:52.0,I. Clark enters the game for R. Rondo,,45-35,,
0:52.0,,,45-36,1,J. Nurkic makes free throw 2 of 2
0:42.0,Turnover by A. Davis (out of bounds lost ball),,45-36,,
0:36.0,,,45-36,,D. Lillard misses 2-pt shot from 9 ft
0:34.0,Defensive rebound by Team,,45-36,,
0:29.0,J. Holiday misses 2-pt shot from 8 ft,,45-36,,
0:26.0,,,45-36,,Defensive rebound by D. Lillard
0:02.0,,,45-36,,C. McCollum misses 3-pt shot from 24 ft
0:02.0,Defensive rebound by N. Mirotic,,45-36,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,45-38,2,J. Nurkic makes 2-pt shot from 1 ft
11:22.0,A. Davis misses 2-pt shot from 13 ft,,45-38,,
11:21.0,,,45-38,,Defensive rebound by A. Aminu
11:13.0,,,45-38,,A. Aminu misses 3-pt shot from 25 ft
11:08.0,Defensive rebound by E. Moore,,45-38,,
11:03.0,N. Mirotic makes 3-pt shot from 24 ft (assist by R. Rondo),3,48-38,,
10:35.0,,,48-40,2,A. Aminu makes 2-pt shot from 1 ft
10:17.0,A. Davis makes 2-pt shot from 11 ft (assist by R. Rondo),2,50-40,,
9:54.0,,,50-40,,E. Turner misses 2-pt shot from 17 ft
9:51.0,Defensive rebound by N. Mirotic,,50-40,,
9:39.0,Turnover by J. Holiday (bad pass; steal by C. McCollum),,50-40,,
9:34.0,,,50-42,2,D. Lillard makes 2-pt shot at rim
9:24.0,A. Davis makes 2-pt shot from 22 ft (assist by J. Holiday),2,52-42,,
9:08.0,,,52-42,,E. Turner misses 2-pt shot from 4 ft (block by A. Davis)
9:06.0,Defensive rebound by R. Rondo,,52-42,,
9:03.0,N. Mirotic makes 3-pt shot from 24 ft (assist by R. Rondo),3,55-42,,
9:02.0,,,55-42,,Portland full timeout
8:47.0,,,55-45,3,C. McCollum makes 3-pt shot from 24 ft (assist by D. Lillard)
8:28.0,R. Rondo misses 2-pt shot from 12 ft,,55-45,,
8:25.0,,,55-45,,Defensive rebound by J. Nurkic
8:15.0,,,55-45,,E. Turner misses 3-pt shot from 23 ft
8:13.0,Defensive rebound by J. Holiday,,55-45,,
8:10.0,,,55-45,,Personal foul by D. Lillard (drawn by J. Holiday)
7:54.0,E. Moore makes 2-pt shot from 16 ft,2,57-45,,
7:36.0,,,57-48,3,A. Aminu makes 3-pt shot from 23 ft (assist by D. Lillard)
7:28.0,,,57-48,,Personal foul by A. Aminu (drawn by J. Holiday)
7:16.0,A. Davis makes 2-pt shot from 1 ft (assist by R. Rondo),2,59-48,,
7:00.0,,,59-48,,A. Aminu misses 3-pt shot from 22 ft
6:57.0,Defensive rebound by R. Rondo,,59-48,,
6:54.0,R. Rondo makes 2-pt shot at rim,2,61-48,,
6:34.0,,,61-48,,Turnover by E. Turner (bad pass; steal by A. Davis)
6:32.0,Shooting foul by E. Turner (drawn by A. Davis),,61-48,,
6:32.0,A. Davis misses free throw 1 of 2,,61-48,,
6:32.0,Offensive rebound by Team,,61-48,,
6:32.0,,,61-48,,Z. Collins enters the game for J. Nurkic
6:32.0,A. Davis makes free throw 2 of 2,1,62-48,,
6:17.0,,,62-48,,Turnover by A. Aminu (bad pass; steal by A. Davis)
6:13.0,Turnover by E. Moore (bad pass; steal by C. McCollum),,62-48,,
6:08.0,,,62-50,2,C. McCollum makes 2-pt shot at rim
6:00.0,N. Mirotic misses 2-pt shot from 21 ft,,62-50,,
6:00.0,,,62-50,,Defensive rebound by E. Turner
5:54.0,,,62-50,,C. McCollum misses 3-pt shot from 24 ft
5:53.0,Defensive rebound by A. Davis,,62-50,,
5:49.0,E. Moore makes 2-pt shot at rim (assist by R. Rondo),2,64-50,,
5:31.0,Personal foul by E. Moore (drawn by C. McCollum),,64-50,,
5:31.0,I. Clark enters the game for R. Rondo,,64-50,,
5:31.0,D. Miller enters the game for E. Moore,,64-50,,
5:24.0,,,64-50,,Z. Collins misses 3-pt shot from 25 ft
5:24.0,Defensive rebound by J. Holiday,,64-50,,
5:14.0,N. Mirotic makes 3-pt shot from 26 ft (assist by A. Davis),3,67-50,,
4:55.0,,,67-50,,D. Lillard misses 2-pt shot from 20 ft
4:53.0,Defensive rebound by A. Davis,,67-50,,
4:46.0,N. Mirotic misses 3-pt shot from 27 ft,,67-50,,
4:44.0,,,67-50,,Defensive rebound by D. Lillard
4:31.0,,,67-50,,Turnover by A. Aminu (bad pass; steal by N. Mirotic)
4:25.0,J. Holiday makes 2-pt shot from 2 ft,2,69-50,,
4:02.0,,,69-50,,A. Aminu misses 3-pt shot from 26 ft
3:59.0,Defensive rebound by A. Davis,,69-50,,
3:46.0,J. Holiday misses 3-pt shot from 24 ft,,69-50,,
3:43.0,,,69-50,,Defensive rebound by C. McCollum
3:34.0,,,69-50,,E. Turner misses 2-pt shot from 10 ft
3:31.0,,,69-50,,Offensive rebound by E. Turner
3:30.0,,,69-52,2,E. Turner makes 2-pt shot from 1 ft
3:09.0,A. Davis misses 2-pt shot from 10 ft,,69-52,,
3:07.0,,,69-52,,Defensive rebound by D. Lillard
3:04.0,Personal take foul by A. Davis (drawn by D. Lillard),,69-52,,
3:04.0,,,69-52,,P. Connaughton enters the game for E. Turner
3:04.0,,,69-52,,S. Napier enters the game for C. McCollum
3:04.0,,,69-52,,E. Davis enters the game for A. Aminu
3:04.0,C. Diallo enters the game for A. Davis,,69-52,,
2:53.0,,,69-52,,D. Lillard misses 2-pt shot from 1 ft (block by C. Diallo)
2:51.0,Defensive rebound by D. Miller,,69-52,,
2:44.0,Turnover by N. Mirotic (bad pass; steal by P. Connaughton),,69-52,,
2:27.0,,,69-55,3,D. Lillard makes 3-pt shot from 24 ft
2:12.0,I. Clark makes 2-pt shot from 17 ft,2,71-55,,
1:58.0,New Orleans full timeout,,71-55,,
1:58.0,R. Rondo enters the game for J. Holiday,,71-55,,
1:49.0,Personal foul by R. Rondo (drawn by S. Napier),,71-55,,
1:36.0,,,71-55,,Z. Collins misses 3-pt shot from 23 ft
1:36.0,,,71-55,,Offensive rebound by E. Davis
1:36.0,Personal foul by C. Diallo (drawn by E. Davis),,71-55,,
1:36.0,,,71-55,,E. Davis misses free throw 1 of 2
1:36.0,,,71-55,,Offensive rebound by Team
1:36.0,,,71-55,,E. Davis misses free throw 2 of 2
1:34.0,Defensive rebound by R. Rondo,,71-55,,
1:23.0,,,71-55,,Personal foul by Z. Collins (drawn by N. Mirotic)
1:18.0,N. Mirotic misses 2-pt shot from 2 ft (block by Z. Collins),,71-55,,
1:15.0,,,71-55,,Defensive rebound by E. Davis
1:11.0,,,71-58,3,D. Lillard makes 3-pt shot from 27 ft
1:01.0,I. Clark makes 2-pt shot from 8 ft,2,73-58,,
0:53.0,,,73-58,,D. Lillard misses 3-pt shot from 27 ft
0:50.0,,,73-58,,Offensive rebound by P. Connaughton
0:45.0,,,73-61,3,Z. Collins makes 3-pt shot from 25 ft (assist by P. Connaughton)
0:30.0,N. Mirotic makes 2-pt shot from 19 ft (assist by R. Rondo),2,75-61,,
0:10.0,,,75-63,2,S. Napier makes 2-pt shot from 2 ft
0:04.0,N. Mirotic misses 3-pt shot from 27 ft,,75-63,,
0:01.0,,,75-63,,Defensive rebound by P. Connaughton
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,A. Davis misses 2-pt shot from 19 ft,,75-63,,
11:39.0,,,75-63,,Defensive rebound by Z. Collins
11:22.0,,,75-63,,Turnover by S. Napier (bad pass; steal by I. Clark)
11:08.0,C. Diallo misses 2-pt shot from 13 ft,,75-63,,
11:06.0,Offensive rebound by C. Diallo,,75-63,,
11:05.0,C. Diallo misses 2-pt shot from 1 ft,,75-63,,
11:03.0,,,75-63,,Defensive rebound by E. Davis
10:59.0,,,75-63,,Turnover by S. Napier (out of bounds lost ball)
10:42.0,,,75-63,,Personal foul by S. Napier (drawn by R. Rondo)
10:42.0,,,75-63,,C. McCollum enters the game for S. Napier
10:42.0,New Orleans full timeout,,75-63,,
10:42.0,J. Holiday enters the game for I. Clark,,75-63,,
10:35.0,Turnover by A. Davis (lost ball; steal by D. Lillard),,75-63,,
10:30.0,,,75-65,2,P. Connaughton makes 2-pt shot from 1 ft (assist by D. Lillard)
10:10.0,J. Holiday misses 2-pt shot from 3 ft (block by E. Davis),,75-65,,
10:07.0,,,75-65,,Defensive rebound by E. Davis
10:00.0,,,75-65,,D. Lillard misses 3-pt shot from 28 ft
9:57.0,Defensive rebound by A. Davis,,75-65,,
9:49.0,J. Holiday makes 2-pt shot from 1 ft (assist by R. Rondo),2,77-65,,
9:30.0,,,77-67,2,E. Davis makes 2-pt shot at rim (assist by D. Lillard)
9:13.0,J. Holiday misses 2-pt shot from 3 ft,,77-67,,
9:10.0,,,77-67,,Defensive rebound by D. Lillard
9:07.0,,,77-70,3,D. Lillard makes 3-pt shot from 24 ft (assist by C. McCollum)
9:06.0,New Orleans full timeout,,77-70,,
9:06.0,N. Mirotic enters the game for C. Diallo,,77-70,,
8:56.0,R. Rondo makes 2-pt shot at rim,2,79-70,,
8:40.0,,,79-70,,D. Lillard misses 2-pt shot from 15 ft
8:36.0,,,79-70,,Offensive rebound by E. Davis
8:30.0,,,79-70,,D. Lillard misses 2-pt shot from 10 ft
8:30.0,,,79-70,,Offensive rebound by Team
8:30.0,Loose ball foul by A. Davis (drawn by E. Davis),,79-70,,
8:19.0,,,79-70,,P. Connaughton misses 3-pt shot from 27 ft
8:16.0,Defensive rebound by N. Mirotic,,79-70,,
8:06.0,R. Rondo misses 2-pt shot from 12 ft,,79-70,,
8:05.0,Offensive rebound by A. Davis,,79-70,,
8:05.0,A. Davis makes 2-pt shot at rim,2,81-70,,
8:05.0,Shooting foul by E. Davis (drawn by A. Davis),,81-70,,
8:05.0,A. Davis makes free throw 1 of 1,1,82-70,,
7:53.0,,,82-72,2,C. McCollum makes 2-pt shot from 1 ft (assist by Z. Collins)
7:36.0,N. Mirotic misses 3-pt shot from 27 ft,,82-72,,
7:34.0,,,82-72,,Defensive rebound by E. Davis
7:17.0,,,82-72,,D. Lillard misses 2-pt shot from 3 ft (block by A. Davis)
7:15.0,Defensive rebound by Team,,82-72,,
7:15.0,I. Clark enters the game for E. Moore,,82-72,,
7:13.0,Jump ball: Z. Collins vs. A. Davis (R. Rondo gains possession),,,,Jump ball: Z. Collins vs. A. Davis (R. Rondo gains possession)
7:03.0,,,82-72,,Personal foul by D. Lillard (drawn by A. Davis)
7:03.0,,,82-72,,A. Aminu enters the game for Z. Collins
6:50.0,J. Holiday makes 2-pt shot from 16 ft,2,84-72,,
6:34.0,Personal foul by A. Davis (drawn by A. Aminu),,84-72,,
6:26.0,,,84-72,,C. McCollum misses 3-pt shot from 24 ft
6:22.0,Defensive rebound by R. Rondo,,84-72,,
6:09.0,A. Davis makes 2-pt shot at rim (assist by R. Rondo),2,86-72,,
6:09.0,,,86-72,,Portland full timeout
6:09.0,,,86-72,,E. Turner enters the game for P. Connaughton
5:53.0,,,86-72,,C. McCollum misses 2-pt shot from 1 ft
5:49.0,,,86-72,,Offensive rebound by E. Davis
5:49.0,,,86-72,,E. Davis misses 2-pt shot at rim
5:48.0,Defensive rebound by N. Mirotic,,86-72,,
5:28.0,A. Davis misses 2-pt shot from 21 ft,,86-72,,
5:26.0,,,86-72,,Defensive rebound by E. Davis
5:22.0,,,86-74,2,C. McCollum makes 2-pt shot at rim
5:22.0,,,86-74,,Shooting foul by R. Rondo (drawn by C. McCollum)
5:22.0,,,86-74,,J. Nurkic enters the game for E. Davis
5:22.0,,,86-75,1,C. McCollum makes free throw 1 of 1
5:08.0,A. Davis makes 2-pt shot at rim (assist by N. Mirotic),2,88-75,,
4:55.0,,,88-77,2,J. Nurkic makes 2-pt shot from 2 ft
4:55.0,,,88-77,,Shooting foul by A. Davis (drawn by J. Nurkic)
4:55.0,,,88-78,1,J. Nurkic makes free throw 1 of 1
4:45.0,R. Rondo misses 2-pt shot from 1 ft,,88-78,,
4:43.0,,,88-78,,Defensive rebound by E. Turner
4:29.0,,,88-78,,C. McCollum misses 3-pt shot from 24 ft
4:27.0,Defensive rebound by A. Davis,,88-78,,
4:16.0,Turnover by J. Holiday (bad pass; steal by C. McCollum),,88-78,,
4:10.0,,,88-80,2,D. Lillard makes 2-pt shot at rim (assist by C. McCollum)
3:42.0,Turnover by Team (shot clock),,88-80,,
3:32.0,,,88-83,3,C. McCollum makes 3-pt shot from 23 ft (assist by D. Lillard)
3:06.0,A. Davis misses 2-pt shot from 20 ft,,88-83,,
3:04.0,,,88-83,,Defensive rebound by J. Nurkic
2:56.0,,,88-83,,D. Lillard misses 2-pt shot from 17 ft
2:55.0,Defensive rebound by J. Holiday,,88-83,,
2:47.0,Turnover by J. Holiday (bad pass; steal by D. Lillard),,88-83,,
2:47.0,Personal foul by J. Holiday (drawn by D. Lillard),,88-83,,
2:47.0,,,88-84,1,D. Lillard makes free throw 1 of 2
2:47.0,,,88-85,1,D. Lillard makes free throw 2 of 2
2:29.0,I. Clark makes 3-pt shot from 25 ft (assist by J. Holiday),3,91-85,,
2:14.0,,,91-85,,C. McCollum misses 2-pt shot from 1 ft (block by N. Mirotic)
2:14.0,,,91-85,,Offensive rebound by J. Nurkic
2:14.0,,,91-85,,Shooting foul by I. Clark (drawn by J. Nurkic)
2:14.0,,,91-86,1,J. Nurkic makes free throw 1 of 2
2:14.0,,,91-87,1,J. Nurkic makes free throw 2 of 2
2:00.0,R. Rondo makes 2-pt shot from 2 ft,2,93-87,,
1:49.0,,,93-87,,J. Nurkic misses 2-pt shot from 2 ft
1:49.0,,,93-87,,Offensive rebound by D. Lillard
1:36.0,,,93-87,,J. Nurkic misses 2-pt shot from 1 ft
1:34.0,,,93-87,,Offensive rebound by E. Turner
1:34.0,,,93-89,2,E. Turner makes 2-pt shot at rim
1:16.0,R. Rondo misses 2-pt shot from 1 ft,,93-89,,
