time,Houston,pts.away,score,pts.home,Indiana
11:15.0,,,63-53,,M. Turner misses 2-pt shot from 8 ft
11:12.0,Defensive rebound by J. Harden,,63-53,,
11:00.0,C. Capela misses 2-pt shot from 6 ft,,63-53,,
10:58.0,,,63-53,,Defensive rebound by M. Turner
10:54.0,,,63-53,,D. Collison misses 2-pt shot from 2 ft
10:50.0,,,63-53,,Offensive rebound by V. Oladipo
10:50.0,,,63-55,2,V. Oladipo makes 2-pt shot at rim
10:30.0,J. Harden makes 3-pt shot from 25 ft,3,66-55,,
10:15.0,,,66-55,,T. Young misses 3-pt shot from 27 ft
10:12.0,Defensive rebound by T. Ariza,,66-55,,
9:58.0,J. Harden misses 2-pt shot from 1 ft (block by M. Turner),,66-55,,
9:54.0,,,66-55,,Defensive rebound by B. Bogdanovic
9:52.0,,,66-57,2,D. Collison makes 2-pt shot from 16 ft (assist by T. Young)
9:37.0,Shooting foul by M. Turner (drawn by E. Gordon),,66-57,,
9:37.0,E. Gordon misses free throw 1 of 2,,66-57,,
9:37.0,Offensive rebound by Team,,66-57,,
9:37.0,E. Gordon makes free throw 2 of 2,1,67-57,,
9:15.0,,,67-57,,T. Young misses 2-pt shot from 4 ft
9:12.0,Defensive rebound by C. Capela,,67-57,,
9:08.0,E. Gordon misses 3-pt shot from 27 ft,,67-57,,
9:06.0,,,67-57,,Defensive rebound by D. Collison
9:00.0,,,67-57,,T. Young misses 2-pt shot from 19 ft
8:56.0,Defensive rebound by C. Capela,,67-57,,
8:50.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,69-57,,
8:50.0,Shooting foul by B. Bogdanovic (drawn by C. Capela),,69-57,,
8:50.0,C. Capela misses free throw 1 of 1,,69-57,,
8:47.0,,,69-57,,Defensive rebound by M. Turner
8:29.0,,,69-57,,M. Turner misses 2-pt shot from 18 ft
8:26.0,Defensive rebound by C. Capela,,69-57,,
8:17.0,C. Capela misses 2-pt shot from 1 ft,,69-57,,
8:14.0,,,69-57,,Defensive rebound by V. Oladipo
8:10.0,,,69-57,,D. Collison misses 2-pt shot from 1 ft
8:08.0,Defensive rebound by C. Capela,,69-57,,
8:03.0,T. Ariza makes 3-pt shot from 22 ft (assist by J. Harden),3,72-57,,
8:01.0,,,72-57,,Indiana full timeout
7:48.0,,,72-57,,V. Oladipo misses 3-pt shot from 27 ft
7:44.0,Defensive rebound by C. Capela,,72-57,,
7:36.0,T. Ariza misses 3-pt shot from 25 ft,,72-57,,
7:33.0,,,72-57,,Defensive rebound by M. Turner
7:17.0,,,72-57,,V. Oladipo misses 2-pt shot from 20 ft
7:14.0,Defensive rebound by T. Ariza,,72-57,,
7:01.0,C. Capela makes 2-pt shot from 1 ft (assist by E. Gordon),2,74-57,,
6:44.0,,,74-57,,B. Bogdanovic misses 2-pt shot from 1 ft (block by C. Capela)
6:40.0,Defensive rebound by C. Capela,,74-57,,
6:27.0,J. Harden makes 2-pt shot from 18 ft,2,76-57,,
6:00.0,,,76-57,,T. Young misses 2-pt shot from 1 ft
5:58.0,Defensive rebound by C. Capela,,76-57,,
5:53.0,J. Harden misses 3-pt shot from 28 ft,,76-57,,
5:49.0,,,76-57,,Defensive rebound by D. Collison
5:47.0,,,76-57,,Shooting foul by C. Capela (drawn by V. Oladipo)
5:47.0,,,76-58,1,V. Oladipo makes free throw 1 of 2
5:47.0,,,76-58,,D. Sabonis enters the game for T. Young
5:47.0,P. Tucker enters the game for E. Gordon,,76-58,,
5:47.0,L. Mbah a Moute enters the game for C. Capela,,76-58,,
5:47.0,T. Black enters the game for R. Anderson,,76-58,,
5:47.0,,,76-59,1,V. Oladipo makes free throw 2 of 2
5:30.0,,,76-59,,Shooting block foul by M. Turner (drawn by P. Tucker)
5:30.0,P. Tucker makes free throw 1 of 2,1,77-59,,
5:30.0,P. Tucker makes free throw 2 of 2,1,78-59,,
5:11.0,,,78-59,,Turnover by V. Oladipo (bad pass; steal by T. Black)
5:09.0,Turnover by T. Black (bad pass; steal by V. Oladipo),,78-59,,
5:08.0,Shooting block foul by T. Black (drawn by D. Sabonis),,78-59,,
5:08.0,,,78-60,1,D. Sabonis makes free throw 1 of 2
5:08.0,,,78-61,1,D. Sabonis makes free throw 2 of 2
5:00.0,T. Ariza misses 3-pt shot from 24 ft,,78-61,,
4:58.0,,,78-61,,Defensive rebound by M. Turner
4:47.0,Personal foul by T. Black (drawn by D. Sabonis),,78-61,,
4:47.0,,,78-61,,C. Joseph enters the game for D. Collison
4:47.0,,,78-61,,L. Stephenson enters the game for B. Bogdanovic
4:35.0,,,78-63,2,V. Oladipo makes 2-pt shot at rim
4:21.0,P. Tucker misses 3-pt shot from 27 ft,,78-63,,
4:18.0,,,78-63,,Loose ball foul by V. Oladipo (drawn by T. Black)
4:17.0,Defensive rebound by Team,,78-63,,
4:08.0,T. Ariza misses 3-pt shot from 23 ft,,78-63,,
4:04.0,,,78-63,,Defensive rebound by L. Stephenson
3:49.0,,,78-66,3,V. Oladipo makes 3-pt shot from 28 ft (assist by C. Joseph)
3:32.0,Turnover by L. Mbah a Moute (traveling),,78-66,,
3:09.0,Personal foul by L. Mbah a Moute (drawn by D. Sabonis),,78-66,,
3:04.0,,,78-66,,Shooting foul by P. Tucker (drawn by L. Stephenson)
3:04.0,,,78-66,,L. Stephenson misses free throw 1 of 2
3:04.0,,,78-66,,Offensive rebound by Team
3:04.0,,,78-67,1,L. Stephenson makes free throw 2 of 2
2:47.0,,,78-67,,Personal block foul by M. Turner (drawn by J. Harden)
2:47.0,Houston full timeout,,78-67,,
2:47.0,,,78-67,,T. Leaf enters the game for M. Turner
2:47.0,J. Harden makes free throw 1 of 2,1,79-67,,
2:47.0,J. Harden makes free throw 2 of 2,1,80-67,,
2:27.0,,,80-67,,V. Oladipo misses 3-pt shot from 26 ft
2:23.0,Defensive rebound by P. Tucker,,80-67,,
2:15.0,J. Harden misses 3-pt shot from 26 ft,,80-67,,
2:08.0,Offensive rebound by P. Tucker,,80-67,,
2:08.0,P. Tucker makes 2-pt shot at rim,2,82-67,,
1:56.0,,,82-67,,C. Joseph misses 3-pt shot from 27 ft
1:51.0,Defensive rebound by T. Black,,82-67,,
1:43.0,Turnover by J. Harden (bad pass; steal by D. Sabonis),,82-67,,
1:42.0,Personal take foul by J. Harden (drawn by L. Stephenson),,82-67,,
1:42.0,,,82-68,1,L. Stephenson makes free throw 1 of 2
1:42.0,,,82-68,,B. Bogdanovic enters the game for V. Oladipo
1:42.0,,,82-69,1,L. Stephenson makes free throw 2 of 2
1:19.0,Shooting foul by C. Joseph (drawn by J. Harden),,82-69,,
1:19.0,J. Harden makes free throw 1 of 3,1,83-69,,
1:19.0,J. Harden makes free throw 2 of 3,1,84-69,,
1:19.0,R. Anderson enters the game for T. Ariza,,84-69,,
1:19.0,J. Harden makes free throw 3 of 3,1,85-69,,
1:02.0,,,85-69,,L. Stephenson misses 3-pt shot from 27 ft
0:58.0,Defensive rebound by J. Harden,,85-69,,
0:52.0,J. Harden makes 2-pt shot from 18 ft,2,87-69,,
0:39.0,,,87-69,,D. Sabonis misses 2-pt shot from 19 ft
0:37.0,,,87-69,,Offensive rebound by L. Stephenson
0:35.0,,,87-71,2,L. Stephenson makes 2-pt shot at rim
0:29.0,J. Harden misses 3-pt shot from 27 ft,,87-71,,
0:26.0,,,87-71,,Defensive rebound by L. Stephenson
0:05.0,,,87-71,,B. Bogdanovic misses 2-pt shot from 1 ft
0:02.0,Defensive rebound by J. Harden,,87-71,,
0:00.0,J. Harden misses 3-pt shot from 29 ft,,87-71,,
0:00.0,Offensive rebound by Team,,87-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,R. Anderson misses 3-pt shot from 27 ft,,87-71,,
11:41.0,,,87-71,,Defensive rebound by C. Joseph
11:29.0,,,87-73,2,T. Leaf makes 2-pt shot from 11 ft
11:19.0,L. Mbah a Moute makes 3-pt shot from 26 ft,3,90-73,,
11:01.0,,,90-75,2,C. Joseph makes 2-pt shot from 19 ft
10:47.0,E. Gordon makes 3-pt shot from 26 ft,3,93-75,,
10:21.0,,,93-75,,Loose ball foul by T. Leaf (drawn by L. Mbah a Moute)
10:20.0,,,93-75,,Turnover by D. Sabonis (bad pass; steal by L. Mbah a Moute)
10:04.0,E. Gordon misses 3-pt shot from 27 ft,,93-75,,
10:01.0,Offensive rebound by P. Tucker,,93-75,,
10:00.0,P. Tucker makes 2-pt shot at rim,2,95-75,,
9:46.0,,,95-75,,B. Bogdanovic misses 3-pt shot from 26 ft
9:42.0,Defensive rebound by R. Anderson,,95-75,,
9:34.0,E. Gordon misses 3-pt shot from 23 ft,,95-75,,
9:32.0,,,95-75,,Defensive rebound by L. Stephenson
9:16.0,,,95-75,,C. Joseph misses 3-pt shot from 22 ft
9:11.0,,,95-75,,Offensive rebound by L. Stephenson
9:06.0,,,95-75,,D. Sabonis misses 2-pt shot from 7 ft
9:04.0,Defensive rebound by P. Tucker,,95-75,,
9:01.0,Offensive charge foul by E. Gordon (drawn by B. Bogdanovic),,95-75,,
9:01.0,Turnover by E. Gordon (offensive foul),,95-75,,
9:01.0,,,95-75,,V. Oladipo enters the game for B. Bogdanovic
8:51.0,,,95-75,,L. Stephenson misses 2-pt shot from 20 ft
8:48.0,Defensive rebound by R. Anderson,,95-75,,
8:30.0,P. Tucker misses 2-pt shot from 5 ft,,95-75,,
8:28.0,,,95-75,,Defensive rebound by D. Sabonis
8:18.0,,,95-77,2,D. Sabonis makes 2-pt shot at rim (assist by V. Oladipo)
8:02.0,T. Black makes 2-pt shot from 2 ft (assist by L. Mbah a Moute),2,97-77,,
7:49.0,Personal foul by T. Black (drawn by V. Oladipo),,97-77,,
7:49.0,C. Capela enters the game for T. Black,,97-77,,
7:43.0,,,97-77,,T. Leaf misses 3-pt shot from 27 ft
7:40.0,,,97-77,,Offensive rebound by D. Sabonis
7:38.0,,,97-79,2,V. Oladipo makes 2-pt shot from 1 ft (assist by D. Sabonis)
7:18.0,L. Mbah a Moute misses 3-pt shot from 23 ft,,97-79,,
7:16.0,,,97-79,,Personal foul by L. Stephenson (drawn by R. Anderson)
7:15.0,Defensive rebound by R. Anderson,,97-79,,
7:12.0,Shooting foul by V. Oladipo (drawn by E. Gordon),,97-79,,
7:12.0,E. Gordon makes free throw 1 of 2,1,98-79,,
7:12.0,E. Gordon makes free throw 2 of 2,1,99-79,,
7:04.0,Violation by P. Tucker (kicked ball),,99-79,,
6:53.0,,,99-79,,Turnover by C. Joseph (bad pass; steal by L. Mbah a Moute)
6:50.0,L. Mbah a Moute makes 2-pt shot from 1 ft,2,101-79,,
6:40.0,Personal foul by E. Gordon (drawn by D. Sabonis),,101-79,,
6:40.0,,,101-79,,Indiana full timeout
6:40.0,,,101-79,,T. Young enters the game for T. Leaf
6:40.0,T. Ariza enters the game for P. Tucker,,101-79,,
6:40.0,J. Harden enters the game for L. Mbah a Moute,,101-79,,
6:24.0,,,101-81,2,V. Oladipo makes 2-pt shot from 1 ft
6:09.0,C. Capela makes 2-pt shot at rim (assist by E. Gordon),2,103-81,,
5:59.0,,,103-81,,Shooting foul by C. Capela (drawn by V. Oladipo)
5:59.0,,,103-81,,V. Oladipo misses free throw 1 of 2
5:59.0,,,103-81,,Offensive rebound by Team
5:59.0,,,103-81,,D. Collison enters the game for L. Stephenson
5:59.0,,,103-81,,M. Turner enters the game for C. Joseph
5:59.0,,,103-81,,B. Bogdanovic enters the game for D. Sabonis
5:59.0,,,103-82,1,V. Oladipo makes free throw 2 of 2
5:48.0,E. Gordon misses 2-pt shot at rim,,103-82,,
5:47.0,Offensive rebound by C. Capela,,103-82,,
5:36.0,J. Harden misses 3-pt shot from 27 ft,,103-82,,
5:33.0,Offensive rebound by R. Anderson,,103-82,,
5:29.0,E. Gordon misses 3-pt shot from 25 ft,,103-82,,
5:27.0,,,103-82,,Defensive rebound by M. Turner
5:13.0,,,103-84,2,M. Turner makes 2-pt shot from 8 ft
4:43.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,105-84,,
4:34.0,,,105-84,,Turnover by T. Young (bad pass)
4:27.0,Turnover by C. Capela (discontinued dribble),,105-84,,
4:13.0,,,105-86,2,M. Turner makes 2-pt shot from 1 ft (assist by D. Collison)
4:00.0,T. Ariza makes 3-pt shot from 27 ft,3,108-86,,
3:46.0,,,108-86,,Shooting foul by C. Capela (drawn by V. Oladipo)
3:46.0,,,108-86,,V. Oladipo misses free throw 1 of 2
3:46.0,,,108-86,,Offensive rebound by Team
3:46.0,,,108-87,1,V. Oladipo makes free throw 2 of 2
3:32.0,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden),2,110-87,,
3:32.0,,,110-87,,Indiana full timeout
3:32.0,,,110-87,,J. Young enters the game for V. Oladipo
3:32.0,,,110-87,,C. Joseph enters the game for T. Young
3:32.0,,,110-87,,I. Anigbogu enters the game for D. Collison
