time,Chicago,pts.away,score,pts.home,Boston
5:06.0,J. Holiday makes 2-pt shot from 1 ft,2,16-16,,
4:54.0,,,16-18,2,K. Irving makes 2-pt shot from 14 ft
4:42.0,K. Dunn misses 2-pt shot from 7 ft,,16-18,,
4:40.0,Offensive rebound by R. Lopez,,16-18,,
4:39.0,N. Mirotic enters the game for L. Markkanen,,16-18,,
4:36.0,J. Holiday misses 3-pt shot from 23 ft,,16-18,,
4:33.0,,,16-18,,Defensive rebound by A. Horford
4:26.0,,,16-20,2,J. Brown makes 2-pt shot at rim
3:58.0,J. Holiday makes 2-pt shot from 21 ft (assist by R. Lopez),2,18-20,,
3:43.0,,,18-20,,K. Irving misses 3-pt shot from 26 ft
3:40.0,Defensive rebound by N. Mirotic,,18-20,,
3:28.0,J. Holiday makes 2-pt shot from 16 ft,2,20-20,,
3:08.0,,,20-23,3,J. Brown makes 3-pt shot from 26 ft (assist by A. Horford)
2:53.0,K. Dunn makes 2-pt shot from 20 ft (assist by R. Lopez),2,22-23,,
2:33.0,,,22-26,3,S. Ojeleye makes 3-pt shot from 23 ft (assist by J. Brown)
2:21.0,Chicago full timeout,,22-26,,
2:21.0,,,22-26,,T. Rozier enters the game for K. Irving
2:21.0,B. Portis enters the game for K. Dunn,,22-26,,
2:21.0,D. Nwaba enters the game for R. Lopez,,22-26,,
2:21.0,J. Grant enters the game for D. Valentine,,22-26,,
2:15.0,N. Mirotic misses 2-pt shot from 16 ft,,22-26,,
2:10.0,Offensive rebound by B. Portis,,22-26,,
2:10.0,B. Portis makes 2-pt shot at rim,2,24-26,,
1:58.0,,,24-26,,M. Smart misses 3-pt shot from 26 ft
1:56.0,Defensive rebound by B. Portis,,24-26,,
1:51.0,Shooting foul by J. Brown (drawn by D. Nwaba),,24-26,,
1:51.0,D. Nwaba misses free throw 1 of 2,,24-26,,
1:51.0,Offensive rebound by Team,,24-26,,
1:51.0,,,24-26,,D. Theis enters the game for J. Brown
1:51.0,,,24-26,,J. Tatum enters the game for A. Horford
1:51.0,D. Nwaba misses free throw 2 of 2,,24-26,,
1:49.0,Offensive rebound by N. Mirotic,,24-26,,
1:44.0,J. Grant misses 3-pt shot from 26 ft,,24-26,,
1:40.0,Offensive rebound by B. Portis,,24-26,,
1:38.0,B. Portis makes 2-pt shot from 5 ft,2,26-26,,
1:21.0,,,26-28,2,M. Smart makes 2-pt shot from 14 ft
1:09.0,B. Portis misses 2-pt shot from 20 ft,,26-28,,
1:05.0,,,26-28,,Defensive rebound by S. Ojeleye
0:58.0,,,26-28,,M. Smart misses 3-pt shot from 25 ft
0:56.0,Defensive rebound by N. Mirotic,,26-28,,
0:40.0,Shooting foul by M. Smart (drawn by N. Mirotic),,26-28,,
0:40.0,N. Mirotic makes free throw 1 of 2,1,27-28,,
0:40.0,N. Mirotic makes free throw 2 of 2,1,28-28,,
0:31.0,Personal foul by J. Grant (drawn by T. Rozier),,28-28,,
0:27.0,,,28-30,2,D. Theis makes 2-pt shot from 15 ft (assist by T. Rozier)
0:08.0,J. Holiday makes 3-pt shot from 29 ft (assist by J. Grant),3,31-30,,
0:02.0,,,31-32,2,M. Smart makes 2-pt shot from 1 ft
0:02.0,,,31-32,,Shooting foul by J. Grant (drawn by M. Smart)
0:02.0,,,31-33,1,M. Smart makes free throw 1 of 1
0:00.0,J. Holiday misses 3-pt shot from 50 ft,,31-33,,
0:00.0,Offensive rebound by Team,,31-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,31-35,2,M. Smart makes 2-pt shot from 1 ft (assist by J. Tatum)
11:27.0,B. Portis makes 2-pt shot from 4 ft (assist by J. Grant),2,33-35,,
11:06.0,,,33-35,,M. Smart misses 3-pt shot from 25 ft
11:01.0,Defensive rebound by P. Zipser,,33-35,,
10:47.0,N. Mirotic misses 2-pt shot from 8 ft,,33-35,,
10:45.0,,,33-35,,Defensive rebound by D. Theis
10:34.0,,,33-35,,J. Tatum misses 3-pt shot from 25 ft
10:31.0,Defensive rebound by B. Portis,,33-35,,
10:20.0,B. Portis misses 3-pt shot from 27 ft,,33-35,,
10:19.0,Offensive rebound by Team,,33-35,,
10:19.0,,,33-35,,Loose ball foul by S. Ojeleye (drawn by N. Mirotic)
10:07.0,B. Portis makes 2-pt shot from 1 ft (assist by J. Grant),2,35-35,,
9:44.0,,,35-35,,T. Rozier misses 2-pt shot from 12 ft
9:41.0,,,35-35,,Offensive rebound by D. Theis
9:41.0,,,35-35,,D. Theis misses 2-pt shot at rim
9:40.0,,,35-35,,Offensive rebound by T. Rozier
9:40.0,,,35-35,,T. Rozier misses 2-pt shot at rim
9:39.0,,,35-35,,Offensive rebound by D. Theis
9:39.0,,,35-35,,D. Theis misses 2-pt shot at rim
9:38.0,Defensive rebound by N. Mirotic,,35-35,,
9:37.0,B. Portis makes 2-pt shot from 1 ft (assist by J. Grant),2,37-35,,
9:37.0,,,37-35,,Boston full timeout
9:16.0,,,37-38,3,S. Ojeleye makes 3-pt shot from 24 ft (assist by T. Rozier)
8:56.0,N. Mirotic misses 2-pt shot from 4 ft (block by M. Smart),,37-38,,
8:56.0,Offensive rebound by P. Zipser,,37-38,,
8:56.0,P. Zipser misses 2-pt shot from 1 ft,,37-38,,
8:56.0,,,37-38,,Defensive rebound by Team
8:40.0,,,37-38,,S. Ojeleye misses 3-pt shot from 27 ft
8:40.0,,,37-38,,Offensive rebound by D. Theis
8:34.0,,,37-38,,S. Ojeleye misses 2-pt shot from 1 ft
8:31.0,Defensive rebound by J. Grant,,37-38,,
8:29.0,N. Mirotic makes 3-pt shot from 27 ft (assist by D. Nwaba),3,40-38,,
8:03.0,,,40-40,2,T. Rozier makes 2-pt shot from 17 ft
7:41.0,D. Nwaba makes 2-pt shot from 1 ft (assist by J. Grant),2,42-40,,
7:25.0,,,42-40,,J. Tatum misses 2-pt shot from 10 ft
7:23.0,Defensive rebound by N. Mirotic,,42-40,,
7:18.0,N. Mirotic misses 3-pt shot from 26 ft,,42-40,,
7:13.0,Offensive rebound by B. Portis,,42-40,,
7:07.0,N. Mirotic makes 2-pt shot from 16 ft (assist by B. Portis),2,44-40,,
6:50.0,,,44-40,,S. Ojeleye misses 2-pt shot from 2 ft (block by P. Zipser)
6:47.0,Defensive rebound by P. Zipser,,44-40,,
6:44.0,P. Zipser makes 2-pt shot from 1 ft,2,46-40,,
6:26.0,,,46-40,,Boston full timeout
6:26.0,,,46-40,,J. Brown enters the game for D. Theis
6:26.0,,,46-40,,A. Horford enters the game for M. Smart
6:26.0,,,46-40,,K. Irving enters the game for S. Ojeleye
6:21.0,,,46-40,,Shooting foul by D. Nwaba (drawn by K. Irving)
6:21.0,,,46-41,1,K. Irving makes free throw 1 of 2
6:21.0,,,46-42,1,K. Irving makes free throw 2 of 2
6:11.0,B. Portis makes 2-pt shot from 3 ft (assist by N. Mirotic),2,48-42,,
6:11.0,Shooting foul by J. Tatum (drawn by B. Portis),,48-42,,
6:11.0,L. Markkanen enters the game for J. Grant,,48-42,,
6:11.0,K. Dunn enters the game for N. Mirotic,,48-42,,
6:11.0,B. Portis makes free throw 1 of 1,1,49-42,,
5:54.0,,,49-42,,Shooting foul by B. Portis (drawn by J. Brown)
5:54.0,,,49-43,1,J. Brown makes free throw 1 of 2
5:54.0,,,49-43,,J. Brown misses free throw 2 of 2
5:51.0,Defensive rebound by D. Nwaba,,49-43,,
5:42.0,L. Markkanen misses 2-pt shot from 19 ft,,49-43,,
5:37.0,,,49-43,,Defensive rebound by J. Tatum
5:31.0,,,49-46,3,K. Irving makes 3-pt shot from 29 ft (assist by A. Horford)
5:29.0,Chicago full timeout,,49-46,,
5:20.0,B. Portis misses 3-pt shot from 25 ft,,49-46,,
5:18.0,,,49-46,,Defensive rebound by J. Brown
5:08.0,,,49-49,3,K. Irving makes 3-pt shot from 28 ft (assist by A. Horford)
4:41.0,D. Nwaba misses 2-pt shot from 2 ft,,49-49,,
4:39.0,,,49-49,,Defensive rebound by J. Brown
4:33.0,,,49-49,,K. Irving misses 3-pt shot from 26 ft
4:30.0,Defensive rebound by B. Portis,,49-49,,
4:25.0,K. Dunn misses 2-pt shot from 17 ft,,49-49,,
4:23.0,,,49-49,,Defensive rebound by J. Tatum
4:11.0,,,49-49,,T. Rozier misses 2-pt shot from 1 ft
4:09.0,Defensive rebound by B. Portis,,49-49,,
4:03.0,B. Portis makes 2-pt shot from 1 ft (assist by K. Dunn),2,51-49,,
3:48.0,,,51-51,2,K. Irving makes 2-pt shot from 1 ft (assist by A. Horford)
3:36.0,K. Dunn misses 2-pt shot from 13 ft,,51-51,,
3:36.0,,,51-51,,Defensive rebound by J. Tatum
3:15.0,,,51-53,2,A. Horford makes 2-pt shot at rim
3:06.0,Turnover by P. Zipser (out of bounds lost ball),,51-53,,
3:06.0,,,51-53,,M. Smart enters the game for T. Rozier
3:06.0,R. Lopez enters the game for B. Portis,,51-53,,
3:06.0,D. Valentine enters the game for D. Nwaba,,51-53,,
3:06.0,J. Holiday enters the game for P. Zipser,,51-53,,
2:51.0,,,51-56,3,J. Brown makes 3-pt shot from 24 ft (assist by K. Irving)
2:41.0,L. Markkanen makes 3-pt shot from 27 ft (assist by K. Dunn),3,54-56,,
2:25.0,,,54-56,,J. Brown misses 3-pt shot from 23 ft
2:22.0,Defensive rebound by R. Lopez,,54-56,,
2:13.0,J. Holiday misses 2-pt shot from 16 ft,,54-56,,
2:11.0,,,54-56,,Defensive rebound by Team
1:58.0,,,54-58,2,J. Brown makes 2-pt shot from 1 ft (assist by J. Tatum)
1:42.0,Shooting foul by J. Brown (drawn by R. Lopez),,54-58,,
1:42.0,R. Lopez makes free throw 1 of 2,1,55-58,,
1:42.0,,,55-58,,T. Rozier enters the game for J. Tatum
1:42.0,,,55-58,,A. Baynes enters the game for A. Horford
1:42.0,R. Lopez makes free throw 2 of 2,1,56-58,,
1:28.0,,,56-60,2,A. Baynes makes 2-pt shot from 1 ft (assist by M. Smart)
1:18.0,K. Dunn misses 2-pt shot from 1 ft,,56-60,,
1:13.0,Offensive rebound by R. Lopez,,56-60,,
1:13.0,R. Lopez makes 2-pt shot at rim,2,58-60,,
0:58.0,,,58-60,,T. Rozier misses 3-pt shot from 23 ft
0:54.0,Defensive rebound by L. Markkanen,,58-60,,
0:45.0,R. Lopez misses 2-pt shot from 6 ft,,58-60,,
0:42.0,,,58-60,,Defensive rebound by A. Baynes
0:38.0,,,58-60,,K. Irving misses 2-pt shot from 2 ft
0:36.0,Defensive rebound by L. Markkanen,,58-60,,
0:31.0,Offensive charge foul by L. Markkanen (drawn by A. Baynes),,58-60,,
0:31.0,Turnover by L. Markkanen (offensive foul),,58-60,,
0:31.0,,,58-60,,A. Horford enters the game for A. Baynes
0:15.0,,,58-60,,K. Irving misses 2-pt shot from 12 ft
0:12.0,Defensive rebound by D. Valentine,,58-60,,
0:01.0,J. Holiday misses 2-pt shot from 7 ft,,58-60,,
0:01.0,Offensive rebound by J. Holiday,,58-60,,
0:00.0,J. Holiday misses 2-pt shot from 7 ft,,58-60,,
0:00.0,Offensive rebound by Team,,58-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,58-60,,Shooting foul by J. Holiday (drawn by J. Brown)
11:38.0,,,58-60,,J. Brown misses free throw 1 of 2
11:38.0,,,58-60,,Offensive rebound by Team
11:38.0,,,58-61,1,J. Brown makes free throw 2 of 2
11:22.0,R. Lopez makes 2-pt shot from 4 ft (assist by K. Dunn),2,60-61,,
11:09.0,,,60-61,,A. Horford misses 2-pt shot from 7 ft
11:03.0,Defensive rebound by D. Valentine,,60-61,,
11:01.0,Turnover by D. Valentine (out of bounds lost ball),,60-61,,
10:53.0,,,60-61,,K. Irving misses 2-pt shot from 5 ft
10:51.0,,,60-61,,Offensive rebound by Team
10:43.0,,,60-64,3,J. Brown makes 3-pt shot from 24 ft (assist by A. Horford)
10:22.0,Turnover by K. Dunn (bad pass; steal by J. Brown),,60-64,,
10:12.0,,,60-66,2,J. Tatum makes 2-pt shot from 20 ft
9:59.0,L. Markkanen misses 2-pt shot from 2 ft (block by A. Horford),,60-66,,
9:56.0,,,60-66,,Defensive rebound by A. Baynes
9:50.0,,,60-66,,K. Irving misses 2-pt shot from 4 ft
9:46.0,,,60-66,,Offensive rebound by A. Baynes
9:46.0,,,60-66,,A. Baynes misses 2-pt shot at rim
9:45.0,,,60-66,,Offensive rebound by K. Irving
9:42.0,,,60-66,,A. Horford misses 3-pt shot from 26 ft
9:40.0,Defensive rebound by J. Holiday,,60-66,,
9:34.0,K. Dunn misses 3-pt shot from 26 ft,,60-66,,
9:31.0,,,60-66,,Defensive rebound by J. Brown
9:16.0,,,60-68,2,A. Horford makes 2-pt shot from 3 ft (assist by J. Tatum)
9:16.0,Chicago full timeout,,60-68,,
9:05.0,Turnover by R. Lopez (traveling),,60-68,,
8:51.0,,,60-70,2,A. Baynes makes 2-pt shot from 6 ft (assist by J. Tatum)
8:34.0,L. Markkanen misses 3-pt shot from 26 ft,,60-70,,
8:31.0,,,60-70,,Defensive rebound by J. Tatum
8:10.0,,,60-70,,A. Horford misses 2-pt shot from 16 ft
8:08.0,Defensive rebound by J. Holiday,,60-70,,
8:02.0,L. Markkanen misses 2-pt shot from 2 ft,,60-70,,
8:00.0,,,60-70,,Defensive rebound by K. Irving
7:54.0,,,60-73,3,J. Brown makes 3-pt shot from 23 ft (assist by K. Irving)
7:53.0,Chicago full timeout,,60-73,,
7:53.0,N. Mirotic enters the game for D. Valentine,,60-73,,
7:53.0,D. Nwaba enters the game for R. Lopez,,60-73,,
7:41.0,D. Nwaba makes 2-pt shot at rim (assist by K. Dunn),2,62-73,,
7:19.0,,,62-75,2,A. Horford makes 2-pt shot from 2 ft
7:03.0,D. Nwaba makes 2-pt shot at rim (assist by N. Mirotic),2,64-75,,
7:03.0,Shooting foul by J. Brown (drawn by D. Nwaba),,64-75,,
7:03.0,D. Nwaba makes free throw 1 of 1,1,65-75,,
6:53.0,,,65-75,,Turnover by J. Brown (bad pass; steal by J. Holiday)
6:51.0,Turnover by J. Holiday (bad pass; steal by A. Baynes),,65-75,,
6:43.0,Personal foul by K. Dunn (drawn by K. Irving),,65-75,,
6:37.0,,,65-75,,A. Baynes misses 2-pt shot from 19 ft (block by J. Holiday)
6:34.0,Defensive rebound by K. Dunn,,65-75,,
6:33.0,Turnover by K. Dunn (bad pass; steal by J. Tatum),,65-75,,
6:29.0,,,65-77,2,J. Tatum makes 2-pt shot from 2 ft (assist by J. Brown)
6:12.0,J. Holiday makes 3-pt shot from 23 ft (assist by K. Dunn),3,68-77,,
5:58.0,,,68-80,3,K. Irving makes 3-pt shot from 27 ft
5:51.0,Turnover by D. Nwaba (out of bounds lost ball),,68-80,,
5:51.0,,,68-80,,M. Smart enters the game for A. Horford
5:36.0,,,68-82,2,A. Baynes makes 2-pt shot at rim (assist by K. Irving)
5:20.0,L. Markkanen misses 2-pt shot from 11 ft,,68-82,,
5:16.0,,,68-82,,Defensive rebound by J. Tatum
5:12.0,,,68-85,3,K. Irving makes 3-pt shot from 26 ft (assist by J. Tatum)
4:56.0,K. Dunn misses 2-pt shot from 10 ft,,68-85,,
4:56.0,Offensive rebound by L. Markkanen,,68-85,,
4:56.0,Shooting foul by A. Baynes (drawn by L. Markkanen),,68-85,,
4:56.0,L. Markkanen makes free throw 1 of 2,1,69-85,,
4:56.0,,,69-85,,D. Theis enters the game for A. Baynes
4:56.0,L. Markkanen makes free throw 2 of 2,1,70-85,,
4:34.0,,,70-85,,J. Tatum misses 2-pt shot from 16 ft
4:32.0,Defensive rebound by N. Mirotic,,70-85,,
4:19.0,D. Nwaba misses 2-pt shot from 4 ft,,70-85,,
4:16.0,,,70-85,,Defensive rebound by J. Brown
4:08.0,,,70-85,,J. Brown misses 3-pt shot from 26 ft
4:05.0,Defensive rebound by L. Markkanen,,70-85,,
3:54.0,J. Holiday misses 2-pt shot from 19 ft,,70-85,,
3:52.0,,,70-85,,Defensive rebound by D. Theis
3:39.0,,,70-88,3,J. Tatum makes 3-pt shot from 22 ft (assist by K. Irving)
3:24.0,K. Dunn misses 2-pt shot from 1 ft,,70-88,,
3:22.0,,,70-88,,Defensive rebound by J. Brown
3:11.0,Personal foul by J. Holiday (drawn by J. Tatum),,70-88,,
3:11.0,J. Grant enters the game for L. Markkanen,,70-88,,
3:11.0,B. Portis enters the game for K. Dunn,,70-88,,
3:05.0,,,70-88,,Offensive foul by M. Smart (drawn by J. Grant)
3:05.0,,,70-88,,Turnover by M. Smart (offensive foul)
2:52.0,N. Mirotic makes 2-pt shot from 3 ft,2,72-88,,
2:33.0,,,72-88,,J. Brown misses 2-pt shot from 3 ft
2:32.0,,,72-88,,Offensive rebound by D. Theis
2:32.0,,,72-88,,Shooting foul by N. Mirotic (drawn by D. Theis)
2:32.0,,,72-89,1,D. Theis makes free throw 1 of 2
2:32.0,,,72-89,,T. Rozier enters the game for J. Tatum
2:32.0,,,72-89,,A. Nader enters the game for K. Irving
2:32.0,,,72-90,1,D. Theis makes free throw 2 of 2
2:18.0,Shooting foul by T. Rozier (drawn by D. Nwaba),,72-90,,
2:18.0,D. Nwaba misses free throw 1 of 2,,72-90,,
2:18.0,Offensive rebound by Team,,72-90,,
2:18.0,D. Nwaba misses free throw 2 of 2,,72-90,,
2:18.0,,,72-90,,Defensive rebound by D. Theis
2:11.0,,,72-92,2,J. Brown makes 2-pt shot from 1 ft (assist by M. Smart)
1:59.0,B. Portis misses 2-pt shot from 18 ft,,72-92,,
1:59.0,,,72-92,,Defensive rebound by D. Theis
1:50.0,,,72-92,,M. Smart misses 2-pt shot from 1 ft
1:48.0,Defensive rebound by D. Nwaba,,72-92,,
1:45.0,Shooting foul by D. Theis (drawn by B. Portis),,72-92,,
1:45.0,B. Portis makes free throw 1 of 2,1,73-92,,
1:45.0,P. Zipser enters the game for J. Holiday,,73-92,,
1:45.0,B. Portis makes free throw 2 of 2,1,74-92,,
1:29.0,,,74-92,,T. Rozier misses 2-pt shot from 21 ft
1:28.0,,,74-92,,Offensive rebound by Team
1:28.0,Loose ball foul by J. Grant (drawn by D. Theis),,74-92,,
1:28.0,,,74-93,1,D. Theis makes free throw 1 of 2
1:28.0,,,74-93,,A. Horford enters the game for J. Brown
1:28.0,,,74-94,1,D. Theis makes free throw 2 of 2
1:12.0,J. Grant misses 2-pt shot from 15 ft,,74-94,,
1:08.0,Offensive rebound by D. Nwaba,,74-94,,
1:05.0,Turnover by D. Nwaba (bad pass),,74-94,,
0:51.0,,,74-94,,Shooting foul by N. Mirotic (drawn by M. Smart)
0:51.0,,,74-95,1,M. Smart makes free throw 1 of 2
0:51.0,,,74-96,1,M. Smart makes free throw 2 of 2
0:33.0,N. Mirotic misses 2-pt shot from 12 ft,,74-96,,
0:32.0,,,74-96,,Defensive rebound by T. Rozier
0:14.0,,,74-98,2,A. Nader makes 2-pt shot from 2 ft (assist by M. Smart)
0:00.0,J. Grant makes 2-pt shot from 1 ft,2,76-98,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,B. Portis misses 2-pt shot from 2 ft (block by A. Horford),,76-98,,
11:45.0,,,76-98,,Defensive rebound by A. Nader
11:35.0,,,76-98,,T. Rozier misses 3-pt shot from 27 ft
11:31.0,Defensive rebound by N. Mirotic,,76-98,,
11:22.0,Turnover by P. Zipser (lost ball; steal by A. Nader),,76-98,,
11:10.0,,,76-98,,M. Smart misses 2-pt shot from 4 ft
11:10.0,,,76-98,,Offensive rebound by D. Theis
11:10.0,,,76-98,,Shooting foul by P. Zipser (drawn by D. Theis)
11:10.0,,,76-99,1,D. Theis makes free throw 1 of 2
11:10.0,,,76-100,1,D. Theis makes free throw 2 of 2
10:59.0,P. Zipser misses 2-pt shot from 17 ft,,76-100,,
10:57.0,,,76-100,,Defensive rebound by A. Horford
10:45.0,,,76-100,,Shooting foul by J. Grant (drawn by M. Smart)
10:45.0,,,76-100,,M. Smart misses free throw 1 of 2
10:45.0,,,76-100,,Offensive rebound by Team
10:45.0,,,76-100,,M. Smart misses free throw 2 of 2
10:43.0,Defensive rebound by N. Mirotic,,76-100,,
10:36.0,J. Grant makes 2-pt shot from 11 ft,2,78-100,,
10:13.0,,,78-100,,A. Horford misses 2-pt shot from 7 ft
10:11.0,Defensive rebound by D. Nwaba,,78-100,,
10:09.0,,,78-100,,Personal foul by D. Theis (drawn by D. Nwaba)
9:59.0,D. Nwaba makes 2-pt shot from 1 ft (assist by J. Grant),2,80-100,,
9:59.0,Shooting foul by D. Theis (drawn by D. Nwaba),,80-100,,
9:59.0,D. Nwaba makes free throw 1 of 1,1,81-100,,
9:42.0,,,81-100,,A. Nader misses 3-pt shot from 24 ft
9:38.0,Defensive rebound by N. Mirotic,,81-100,,
9:32.0,P. Zipser misses 2-pt shot at rim (block by A. Horford),,81-100,,
9:28.0,,,81-100,,Defensive rebound by D. Theis
9:22.0,,,81-102,2,M. Smart makes 2-pt shot from 1 ft
9:09.0,D. Valentine enters the game for P. Zipser,,81-102,,
8:59.0,J. Grant makes 2-pt shot from 11 ft,2,83-102,,
8:38.0,,,83-102,,M. Smart misses 3-pt shot from 26 ft
8:37.0,Defensive rebound by B. Portis,,83-102,,
8:18.0,N. Mirotic misses 2-pt shot from 7 ft,,83-102,,
8:14.0,,,83-102,,Defensive rebound by A. Nader
8:03.0,,,83-102,,D. Theis misses 3-pt shot from 27 ft
7:56.0,Defensive rebound by D. Valentine,,83-102,,
7:50.0,N. Mirotic misses 3-pt shot from 23 ft,,83-102,,
7:46.0,,,83-102,,Defensive rebound by M. Smart
7:46.0,,,83-102,,Boston full timeout
7:46.0,,,83-102,,J. Tatum enters the game for M. Smart
7:46.0,L. Markkanen enters the game for N. Mirotic,,83-102,,
7:29.0,,,83-102,,Turnover by A. Horford (bad pass; steal by B. Portis)
7:17.0,,,83-102,,Personal foul by A. Nader (drawn by D. Valentine)
7:17.0,,,83-102,,K. Irving enters the game for A. Horford
7:10.0,J. Grant misses 2-pt shot from 18 ft,,83-102,,
7:06.0,,,83-102,,Defensive rebound by D. Theis
6:44.0,,,83-102,,J. Tatum misses 2-pt shot from 13 ft
6:41.0,Defensive rebound by D. Valentine,,83-102,,
6:40.0,Shooting foul by K. Irving (drawn by D. Nwaba),,83-102,,
6:40.0,D. Nwaba makes free throw 1 of 2,1,84-102,,
6:40.0,D. Nwaba misses free throw 2 of 2,,84-102,,
6:38.0,,,84-102,,Defensive rebound by D. Theis
6:22.0,,,84-102,,A. Nader misses 3-pt shot from 25 ft
6:22.0,,,84-102,,Offensive rebound by Team
6:22.0,Loose ball foul by B. Portis (drawn by D. Theis),,84-102,,
6:17.0,,,84-105,3,K. Irving makes 3-pt shot from 26 ft (assist by D. Theis)
5:58.0,B. Portis misses 2-pt shot from 19 ft,,84-105,,
5:54.0,Offensive rebound by L. Markkanen,,84-105,,
5:39.0,Turnover by D. Nwaba (lost ball; steal by K. Irving),,84-105,,
5:34.0,,,84-107,2,T. Rozier makes 2-pt shot from 1 ft (assist by K. Irving)
5:33.0,Chicago full timeout,,84-107,,
5:33.0,C. Felicio enters the game for B. Portis,,84-107,,
5:33.0,Q. Pondexter enters the game for D. Nwaba,,84-107,,
5:24.0,Shooting foul by D. Theis (drawn by C. Felicio),,84-107,,
5:24.0,C. Felicio makes free throw 1 of 2,1,85-107,,
5:24.0,C. Felicio misses free throw 2 of 2,,85-107,,
5:20.0,,,85-107,,Defensive rebound by J. Tatum
5:01.0,,,85-107,,Shooting foul by D. Valentine (drawn by D. Theis)
5:01.0,,,85-108,1,D. Theis makes free throw 1 of 2
5:01.0,,,85-108,,M. Smart enters the game for K. Irving
5:01.0,,,85-109,1,D. Theis makes free throw 2 of 2
4:46.0,L. Markkanen misses 2-pt shot from 12 ft,,85-109,,
4:43.0,,,85-109,,Defensive rebound by D. Theis
4:36.0,,,85-109,,J. Tatum misses 3-pt shot from 26 ft
4:33.0,Defensive rebound by Q. Pondexter,,85-109,,
4:28.0,C. Felicio misses 2-pt shot from 1 ft,,85-109,,
4:26.0,,,85-109,,Defensive rebound by D. Theis
4:08.0,,,85-109,,D. Theis misses 2-pt shot from 2 ft
4:06.0,Defensive rebound by J. Grant,,85-109,,
4:05.0,,,85-109,,Personal foul by M. Smart (drawn by J. Grant)
4:05.0,J. Grant misses free throw 1 of 2,,85-109,,
