time,LA Clippers,pts.away,score,pts.home,Orlando
6:17.0,Personal foul by J. Wilson (drawn by N. Vucevic),,26-33,,
6:05.0,,,26-33,,Turnover by N. Vucevic (traveling)
5:53.0,L. Williams makes 3-pt shot from 25 ft (assist by M. Teodosic),3,29-33,,
5:35.0,,,29-33,,Turnover by M. Hezonja (lost ball; steal by D. Jordan)
5:29.0,A. Rivers makes 3-pt shot from 26 ft (assist by M. Teodosic),3,32-33,,
5:10.0,,,32-33,,Turnover by M. Hezonja (bad pass; steal by A. Rivers)
5:00.0,J. Wilson makes 3-pt shot from 25 ft (assist by M. Teodosic),3,35-33,,
4:59.0,,,35-33,,Orlando full timeout
4:59.0,,,35-33,,E. Payton enters the game for S. Mack
4:42.0,,,35-33,,N. Vucevic misses 2-pt shot from 21 ft
4:39.0,Defensive rebound by D. Jordan,,35-33,,
4:32.0,L. Williams misses 3-pt shot from 25 ft,,35-33,,
4:26.0,,,35-33,,Defensive rebound by W. Iwundu
4:15.0,,,35-33,,E. Payton misses 2-pt shot from 12 ft
4:13.0,,,35-33,,Offensive rebound by Team
4:07.0,,,35-33,,J. Simmons misses 3-pt shot from 25 ft
4:02.0,Defensive rebound by M. Teodosic,,35-33,,
3:55.0,L. Williams misses 2-pt shot from 5 ft (block by N. Vucevic),,35-33,,
3:52.0,,,35-33,,Defensive rebound by N. Vucevic
3:52.0,,,35-33,,Shooting foul by M. Teodosic (drawn by M. Hezonja)
3:52.0,,,35-34,1,M. Hezonja makes free throw 1 of 2
3:52.0,,,35-35,1,M. Hezonja makes free throw 2 of 2
3:46.0,A. Rivers misses 2-pt shot from 4 ft (block by M. Hezonja),,35-35,,
3:43.0,,,35-35,,Defensive rebound by J. Simmons
3:36.0,,,35-35,,J. Simmons misses 2-pt shot from 17 ft
3:32.0,Defensive rebound by D. Jordan,,35-35,,
3:12.0,Shooting foul by N. Vucevic (drawn by L. Williams),,35-35,,
3:12.0,L. Williams makes free throw 1 of 2,1,36-35,,
3:12.0,L. Williams makes free throw 2 of 2,1,37-35,,
3:01.0,,,37-35,,W. Iwundu misses 2-pt shot from 3 ft (block by D. Jordan)
2:56.0,Defensive rebound by D. Jordan,,37-35,,
2:52.0,D. Jordan makes 2-pt shot from 3 ft (assist by L. Williams),2,39-35,,
2:39.0,,,39-35,,E. Payton misses 2-pt shot from 3 ft (block by A. Rivers)
2:36.0,Defensive rebound by A. Rivers,,39-35,,
2:33.0,L. Williams misses 3-pt shot from 22 ft,,39-35,,
2:33.0,,,39-35,,Defensive rebound by M. Hezonja
2:26.0,,,39-37,2,W. Iwundu makes 2-pt shot at rim (assist by M. Hezonja)
2:11.0,M. Teodosic misses 2-pt shot from 18 ft,,39-37,,
2:08.0,,,39-37,,Defensive rebound by N. Vucevic
1:49.0,,,39-39,2,M. Hezonja makes 2-pt shot from 1 ft (assist by N. Vucevic)
1:31.0,A. Rivers misses 2-pt shot from 2 ft,,39-39,,
1:28.0,,,39-39,,Defensive rebound by N. Vucevic
1:21.0,,,39-39,,E. Payton misses 3-pt shot from 27 ft
1:18.0,Defensive rebound by A. Rivers,,39-39,,
1:06.0,A. Rivers makes 2-pt shot from 1 ft (assist by D. Jordan),2,41-39,,
0:46.0,,,41-39,,M. Hezonja misses 3-pt shot from 26 ft
0:43.0,Defensive rebound by M. Teodosic,,41-39,,
0:34.0,L. Williams makes 2-pt shot from 2 ft,2,43-39,,
0:30.0,,,43-39,,E. Payton misses 2-pt shot from 2 ft (block by M. Teodosic)
0:27.0,Defensive rebound by L. Williams,,43-39,,
0:24.0,L. Williams misses 2-pt shot from 2 ft (block by M. Hezonja),,43-39,,
0:22.0,Offensive rebound by L. Williams,,43-39,,
0:21.0,L. Williams makes 2-pt shot from 1 ft,2,45-39,,
0:07.0,,,45-39,,Shooting foul by A. Rivers (drawn by J. Simmons)
0:07.0,J. Evans enters the game for A. Rivers,,45-39,,
0:07.0,LA Clippers full timeout,,45-39,,
0:07.0,,,45-40,1,J. Simmons makes free throw 1 of 2
0:07.0,,,45-40,,J. Simmons misses free throw 2 of 2
0:04.0,,,45-40,,Offensive rebound by Team
0:04.0,,,45-40,,D. Augustin enters the game for E. Payton
0:04.0,S. Thornwell enters the game for M. Teodosic,,45-40,,
0:04.0,C. Williams enters the game for L. Williams,,45-40,,
0:03.0,,,45-40,,N. Vucevic misses 2-pt shot from 22 ft
0:00.0,,,45-40,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,J. Wilson makes 3-pt shot from 26 ft (assist by M. Teodosic),3,48-40,,
11:29.0,,,48-42,2,N. Vucevic makes 2-pt shot from 17 ft (assist by J. Simmons)
11:02.0,D. Jordan misses 2-pt shot from 2 ft,,48-42,,
10:59.0,,,48-42,,Defensive rebound by N. Vucevic
10:49.0,,,48-42,,Turnover by N. Vucevic (lost ball; steal by C. Williams)
10:47.0,Shooting foul by M. Hezonja (drawn by J. Wilson),,48-42,,
10:47.0,J. Wilson makes free throw 1 of 2,1,49-42,,
10:47.0,J. Wilson misses free throw 2 of 2,,49-42,,
10:42.0,,,49-42,,Defensive rebound by M. Hezonja
10:35.0,,,49-45,3,J. Simmons makes 3-pt shot from 25 ft (assist by E. Payton)
10:25.0,Turnover by M. Teodosic (bad pass; steal by N. Vucevic),,49-45,,
10:15.0,,,49-45,,E. Payton misses 3-pt shot from 23 ft
10:11.0,Defensive rebound by M. Teodosic,,49-45,,
10:02.0,M. Teodosic makes 3-pt shot from 26 ft,3,52-45,,
9:41.0,,,52-45,,J. Simmons misses 2-pt shot from 15 ft (block by W. Johnson)
9:38.0,Defensive rebound by J. Wilson,,52-45,,
9:29.0,W. Johnson misses 2-pt shot from 9 ft,,52-45,,
9:26.0,,,52-45,,Defensive rebound by E. Payton
9:20.0,,,52-45,,J. Simmons misses 3-pt shot from 25 ft
9:16.0,,,52-45,,Offensive rebound by N. Vucevic
9:12.0,,,52-47,2,W. Iwundu makes 2-pt shot from 17 ft (assist by E. Payton)
8:50.0,C. Williams misses 2-pt shot from 7 ft,,52-47,,
8:48.0,,,52-47,,Defensive rebound by J. Simmons
8:41.0,,,52-47,,W. Iwundu misses 3-pt shot from 24 ft
8:38.0,Defensive rebound by M. Teodosic,,52-47,,
8:28.0,D. Jordan makes 2-pt shot at rim (assist by M. Teodosic),2,54-47,,
8:15.0,,,54-50,3,E. Payton makes 3-pt shot from 25 ft (assist by N. Vucevic)
7:59.0,M. Teodosic misses 2-pt shot from 20 ft,,54-50,,
7:57.0,,,54-50,,Defensive rebound by N. Vucevic
7:41.0,,,54-53,3,J. Simmons makes 3-pt shot from 22 ft (assist by M. Hezonja)
7:40.0,LA Clippers full timeout,,54-53,,
7:40.0,L. Williams enters the game for W. Johnson,,54-53,,
7:30.0,,,54-53,,Personal foul by M. Hezonja (drawn by J. Wilson)
7:23.0,Offensive foul by D. Jordan (drawn by W. Iwundu),,54-53,,
7:23.0,Turnover by D. Jordan (offensive foul),,54-53,,
6:58.0,,,54-53,,M. Hezonja misses 3-pt shot from 25 ft
6:53.0,Defensive rebound by C. Williams,,54-53,,
6:47.0,J. Wilson misses 3-pt shot from 23 ft,,54-53,,
6:43.0,,,54-53,,Defensive rebound by E. Payton
