time,Denver,pts.away,score,pts.home,Indiana
4:48.0,,,20-15,2,D. Sabonis makes 2-pt shot from 17 ft (assist by C. Joseph)
4:36.0,W. Chandler makes 3-pt shot from 28 ft (assist by M. Plumlee),3,23-15,,
4:17.0,,,23-15,,B. Bogdanovic misses 3-pt shot from 27 ft
4:14.0,Defensive rebound by M. Plumlee,,23-15,,
4:06.0,Turnover by G. Harris (bad pass; steal by M. Turner),,23-15,,
4:01.0,,,23-17,2,D. Sabonis makes 2-pt shot at rim (assist by V. Oladipo)
4:01.0,Violation by W. Barton (def goaltending),,23-17,,
3:50.0,Turnover by M. Plumlee (bad pass; steal by V. Oladipo),,23-17,,
3:48.0,Shooting block foul by G. Harris (drawn by V. Oladipo),,23-17,,
3:48.0,,,23-17,,V. Oladipo misses free throw 1 of 2
3:48.0,,,23-17,,Offensive rebound by Team
3:48.0,,,23-17,,L. Stephenson enters the game for B. Bogdanovic
3:48.0,M. Beasley enters the game for W. Barton,,23-17,,
3:48.0,,,23-18,1,V. Oladipo makes free throw 2 of 2
3:36.0,M. Plumlee misses 2-pt shot from 5 ft,,23-18,,
3:33.0,Offensive rebound by M. Plumlee,,23-18,,
3:33.0,M. Plumlee makes 2-pt shot at rim,2,25-18,,
3:26.0,,,25-20,2,V. Oladipo makes 2-pt shot from 1 ft
3:14.0,W. Chandler misses 2-pt shot from 11 ft,,25-20,,
3:12.0,Offensive rebound by W. Chandler,,25-20,,
3:11.0,W. Chandler misses 2-pt shot from 9 ft,,25-20,,
3:09.0,,,25-20,,Defensive rebound by M. Turner
3:01.0,,,25-20,,C. Joseph misses 2-pt shot from 11 ft
2:56.0,Defensive rebound by G. Harris,,25-20,,
2:46.0,J. Murray makes 3-pt shot from 25 ft (assist by M. Beasley),3,28-20,,
2:31.0,,,28-20,,V. Oladipo misses 2-pt shot from 16 ft
2:26.0,,,28-20,,Offensive rebound by D. Sabonis
2:19.0,,,28-20,,D. Sabonis misses 2-pt shot from 5 ft (block by W. Chandler)
2:18.0,Defensive rebound by J. Murray,,28-20,,
2:14.0,M. Beasley misses 3-pt shot from 26 ft,,28-20,,
2:09.0,Offensive rebound by W. Chandler,,28-20,,
2:08.0,Shooting foul by D. Sabonis (drawn by G. Harris),,28-20,,
2:08.0,G. Harris makes free throw 1 of 2,1,29-20,,
2:08.0,,,29-20,,J. Young enters the game for C. Joseph
2:08.0,,,29-20,,T. Leaf enters the game for M. Turner
2:08.0,E. Mudiay enters the game for W. Chandler,,29-20,,
2:08.0,T. Lyles enters the game for M. Plumlee,,29-20,,
2:08.0,K. Faried enters the game for J. Murray,,29-20,,
2:08.0,G. Harris makes free throw 2 of 2,1,30-20,,
1:55.0,,,30-20,,D. Sabonis misses 2-pt shot from 16 ft
1:53.0,Defensive rebound by K. Faried,,30-20,,
1:34.0,Turnover by G. Harris (bad pass; steal by D. Sabonis),,30-20,,
1:31.0,,,30-20,,Turnover by L. Stephenson (bad pass)
1:17.0,T. Lyles misses 2-pt shot from 18 ft,,30-20,,
1:14.0,,,30-20,,Defensive rebound by L. Stephenson
1:07.0,,,30-20,,Offensive charge foul by D. Sabonis (drawn by K. Faried)
1:07.0,,,30-20,,Turnover by D. Sabonis (offensive foul)
0:46.0,M. Beasley misses 2-pt shot from 2 ft,,30-20,,
0:44.0,Offensive rebound by M. Beasley,,30-20,,
0:44.0,Shooting foul by T. Leaf (drawn by M. Beasley),,30-20,,
0:44.0,M. Beasley makes free throw 1 of 2,1,31-20,,
0:44.0,M. Beasley makes free throw 2 of 2,1,32-20,,
0:33.0,,,32-20,,Shooting foul by T. Lyles (drawn by V. Oladipo)
0:33.0,,,32-21,1,V. Oladipo makes free throw 1 of 2
0:33.0,,,32-22,1,V. Oladipo makes free throw 2 of 2
0:17.0,G. Harris makes 3-pt shot from 23 ft (assist by E. Mudiay),3,35-22,,
0:00.0,,,35-22,,V. Oladipo misses 2-pt shot from 1 ft (block by K. Faried)
0:00.0,,,35-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,35-24,2,L. Stephenson makes 2-pt shot at rim
11:29.0,Turnover by E. Mudiay (bad pass),,35-24,,
11:09.0,,,35-26,2,D. Sabonis makes 2-pt shot from 5 ft
10:51.0,E. Mudiay misses 2-pt shot from 1 ft,,35-26,,
10:50.0,Offensive rebound by Team,,35-26,,
10:41.0,T. Lyles makes 3-pt shot from 28 ft (assist by E. Mudiay),3,38-26,,
10:30.0,,,38-26,,J. Young misses 2-pt shot from 17 ft
10:26.0,,,38-26,,Offensive rebound by T. Leaf
10:26.0,,,38-26,,T. Leaf misses 2-pt shot at rim
10:25.0,Defensive rebound by K. Faried,,38-26,,
10:16.0,W. Barton makes 2-pt shot at rim,2,40-26,,
10:04.0,,,40-26,,B. Bogdanovic misses 2-pt shot at rim
10:01.0,Defensive rebound by T. Lyles,,40-26,,
9:56.0,T. Lyles misses 2-pt shot from 1 ft,,40-26,,
9:54.0,Offensive rebound by K. Faried,,40-26,,
9:54.0,K. Faried makes 2-pt shot from 10 ft,2,42-26,,
9:52.0,,,42-26,,Indiana full timeout
9:52.0,,,42-26,,T. Young enters the game for T. Leaf
9:37.0,,,42-28,2,D. Sabonis makes 2-pt shot from 8 ft
9:13.0,T. Lyles makes 2-pt shot from 2 ft,2,44-28,,
8:53.0,,,44-30,2,T. Young makes 2-pt shot from 2 ft (assist by L. Stephenson)
8:42.0,M. Beasley misses 3-pt shot from 25 ft,,44-30,,
8:39.0,,,44-30,,Defensive rebound by T. Young
8:30.0,,,44-30,,L. Stephenson misses 2-pt shot from 3 ft
8:29.0,,,44-30,,Offensive rebound by L. Stephenson
8:28.0,,,44-32,2,L. Stephenson makes 2-pt shot from 1 ft
8:20.0,W. Barton makes 2-pt shot from 2 ft,2,46-32,,
8:15.0,,,46-32,,Turnover by J. Young (bad pass)
8:00.0,W. Barton makes 3-pt shot from 26 ft,3,49-32,,
7:46.0,,,49-34,2,D. Sabonis makes 2-pt shot from 1 ft
7:27.0,,,49-34,,Personal foul by B. Bogdanovic (drawn by E. Mudiay)
7:27.0,,,49-34,,V. Oladipo enters the game for J. Young
7:27.0,,,49-34,,C. Joseph enters the game for B. Bogdanovic
7:23.0,Turnover by T. Lyles (traveling),,49-34,,
7:08.0,,,49-34,,D. Sabonis misses 2-pt shot from 11 ft
7:06.0,Defensive rebound by T. Lyles,,49-34,,
7:00.0,T. Lyles misses 3-pt shot from 26 ft,,49-34,,
6:56.0,,,49-34,,Defensive rebound by D. Sabonis
6:52.0,,,49-34,,V. Oladipo misses 2-pt shot from 2 ft (block by M. Beasley)
6:49.0,Defensive rebound by E. Mudiay,,49-34,,
6:44.0,T. Lyles makes 2-pt shot at rim (assist by E. Mudiay),2,51-34,,
6:42.0,,,51-34,,Indiana full timeout
6:42.0,,,51-34,,B. Bogdanovic enters the game for V. Oladipo
6:34.0,,,51-34,,Turnover by C. Joseph (bad pass; steal by W. Barton)
6:31.0,W. Barton makes 2-pt shot from 1 ft,2,53-34,,
6:28.0,Personal foul by K. Faried (drawn by L. Stephenson),,53-34,,
6:28.0,,,53-34,,V. Oladipo enters the game for B. Bogdanovic
6:28.0,G. Harris enters the game for M. Beasley,,53-34,,
6:19.0,,,53-36,2,V. Oladipo makes 2-pt shot from 19 ft (assist by C. Joseph)
6:10.0,,,53-36,,M. Turner enters the game for D. Sabonis
6:10.0,W. Chandler enters the game for T. Lyles,,53-36,,
5:48.0,G. Harris misses 3-pt shot from 29 ft,,53-36,,
5:46.0,,,53-36,,Defensive rebound by L. Stephenson
5:40.0,,,53-36,,L. Stephenson misses 2-pt shot from 1 ft
5:38.0,,,53-36,,Offensive rebound by T. Young
5:37.0,,,53-38,2,T. Young makes 2-pt shot from 4 ft
5:20.0,E. Mudiay makes 3-pt shot from 27 ft (assist by W. Barton),3,56-38,,
5:06.0,,,56-40,2,M. Turner makes 2-pt shot from 18 ft (assist by L. Stephenson)
4:55.0,Turnover by E. Mudiay (bad pass),,56-40,,
4:55.0,M. Plumlee enters the game for K. Faried,,56-40,,
4:43.0,,,56-42,2,M. Turner makes 2-pt shot at rim (assist by L. Stephenson)
4:41.0,Denver full timeout,,56-42,,
4:41.0,J. Murray enters the game for E. Mudiay,,56-42,,
4:18.0,M. Plumlee makes 2-pt shot from 1 ft,2,58-42,,
4:02.0,,,58-45,3,M. Turner makes 3-pt shot from 27 ft (assist by L. Stephenson)
3:45.0,W. Chandler misses 3-pt shot from 26 ft,,58-45,,
3:42.0,Offensive rebound by W. Barton,,58-45,,
3:40.0,W. Chandler makes 2-pt shot at rim (assist by W. Barton),2,60-45,,
3:25.0,,,60-47,2,L. Stephenson makes 2-pt shot from 1 ft
3:16.0,W. Barton misses 3-pt shot from 27 ft,,60-47,,
3:11.0,Offensive rebound by W. Barton,,60-47,,
3:05.0,W. Chandler misses 3-pt shot from 31 ft,,60-47,,
3:01.0,,,60-47,,Defensive rebound by M. Turner
2:56.0,,,60-50,3,T. Young makes 3-pt shot from 23 ft (assist by L. Stephenson)
2:38.0,M. Plumlee misses 2-pt shot from 6 ft,,60-50,,
2:34.0,Offensive rebound by M. Plumlee,,60-50,,
2:31.0,M. Plumlee makes 2-pt shot from 6 ft,2,62-50,,
2:19.0,,,62-50,,C. Joseph misses 2-pt shot from 2 ft (block by J. Murray)
2:16.0,Defensive rebound by M. Plumlee,,62-50,,
2:15.0,,,62-50,,Shooting block foul by V. Oladipo (drawn by W. Barton)
2:15.0,W. Barton makes free throw 1 of 2,1,63-50,,
2:15.0,W. Barton makes free throw 2 of 2,1,64-50,,
2:02.0,,,64-52,2,L. Stephenson makes 2-pt shot at rim
1:38.0,Turnover by G. Harris (lost ball; steal by M. Turner),,64-52,,
1:33.0,,,64-55,3,V. Oladipo makes 3-pt shot from 28 ft (assist by C. Joseph)
1:05.0,W. Barton misses 2-pt shot from 11 ft,,64-55,,
1:04.0,,,64-55,,Defensive rebound by V. Oladipo
0:58.0,,,64-57,2,M. Turner makes 2-pt shot at rim (assist by V. Oladipo)
0:58.0,Denver full timeout,,64-57,,
0:58.0,,,64-57,,B. Bogdanovic enters the game for T. Young
0:46.0,G. Harris misses 3-pt shot from 27 ft,,64-57,,
0:43.0,,,64-57,,Defensive rebound by V. Oladipo
0:35.0,,,64-57,,V. Oladipo misses 2-pt shot from 17 ft
0:33.0,Defensive rebound by M. Plumlee,,64-57,,
0:22.0,J. Murray makes 2-pt shot from 13 ft,2,66-57,,
0:09.0,Personal take foul by W. Barton (drawn by V. Oladipo),,66-57,,
0:02.0,,,66-59,2,C. Joseph makes 2-pt shot from 1 ft
0:00.0,J. Murray misses 3-pt shot from 34 ft,,66-59,,
0:00.0,Offensive rebound by Team,,66-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,66-59,,M. Turner misses 2-pt shot from 19 ft
11:44.0,Defensive rebound by M. Plumlee,,66-59,,
11:31.0,J. Murray misses 2-pt shot from 17 ft,,66-59,,
11:28.0,,,66-59,,Defensive rebound by V. Oladipo
11:22.0,,,66-59,,Turnover by V. Oladipo (bad pass; steal by J. Murray)
11:12.0,G. Harris misses 2-pt shot from 4 ft,,66-59,,
11:07.0,,,66-59,,Defensive rebound by T. Young
11:03.0,,,66-59,,Shooting foul by M. Plumlee (drawn by M. Turner)
11:03.0,,,66-60,1,M. Turner makes free throw 1 of 2
11:03.0,,,66-60,,M. Turner misses free throw 2 of 2
11:01.0,Defensive rebound by W. Barton,,66-60,,
10:42.0,G. Harris misses 3-pt shot from 27 ft,,66-60,,
10:40.0,,,66-60,,Defensive rebound by M. Turner
10:30.0,,,66-60,,B. Bogdanovic misses 3-pt shot from 26 ft
10:26.0,Defensive rebound by W. Chandler,,66-60,,
10:13.0,W. Barton makes 2-pt shot from 19 ft,2,68-60,,
9:58.0,,,68-63,3,M. Turner makes 3-pt shot from 26 ft (assist by V. Oladipo)
9:40.0,W. Barton misses 2-pt shot at rim,,68-63,,
9:38.0,,,68-63,,Defensive rebound by T. Young
9:32.0,,,68-63,,T. Young misses 2-pt shot from 1 ft
9:30.0,,,68-63,,Offensive rebound by V. Oladipo
9:30.0,,,68-63,,V. Oladipo misses 2-pt shot from 1 ft (block by M. Plumlee)
9:30.0,,,68-63,,Offensive rebound by M. Turner
9:26.0,,,68-63,,B. Bogdanovic misses 2-pt shot from 18 ft
9:23.0,Defensive rebound by W. Chandler,,68-63,,
9:04.0,Shooting foul by C. Joseph (drawn by M. Plumlee),,68-63,,
9:04.0,M. Plumlee makes free throw 1 of 2,1,69-63,,
9:04.0,M. Plumlee misses free throw 2 of 2,,69-63,,
9:02.0,,,69-63,,Defensive rebound by B. Bogdanovic
8:49.0,,,69-63,,C. Joseph misses 2-pt shot from 20 ft
8:45.0,Defensive rebound by W. Barton,,69-63,,
8:36.0,W. Chandler makes 2-pt shot from 7 ft,2,71-63,,
8:24.0,,,71-65,2,V. Oladipo makes 2-pt shot at rim
8:07.0,M. Plumlee misses 2-pt shot from 6 ft,,71-65,,
8:05.0,,,71-65,,Defensive rebound by V. Oladipo
7:58.0,,,71-67,2,T. Young makes 2-pt shot at rim (assist by M. Turner)
7:35.0,G. Harris makes 2-pt shot from 17 ft,2,73-67,,
7:12.0,,,73-70,3,V. Oladipo makes 3-pt shot from 23 ft (assist by M. Turner)
7:10.0,Denver full timeout,,73-70,,
6:52.0,G. Harris makes 3-pt shot from 23 ft (assist by W. Chandler),3,76-70,,
6:36.0,,,76-73,3,T. Young makes 3-pt shot from 25 ft (assist by V. Oladipo)
6:25.0,W. Barton misses 3-pt shot from 26 ft,,76-73,,
6:23.0,,,76-73,,Defensive rebound by M. Turner
6:23.0,Personal foul by M. Plumlee (drawn by M. Turner),,76-73,,
6:09.0,,,76-73,,M. Turner misses 2-pt shot from 16 ft
6:04.0,Defensive rebound by W. Chandler,,76-73,,
6:00.0,,,76-73,,Personal foul by B. Bogdanovic (drawn by W. Barton)
6:00.0,K. Faried enters the game for M. Plumlee,,76-73,,
5:52.0,W. Chandler misses 3-pt shot from 29 ft,,76-73,,
5:47.0,Offensive rebound by G. Harris,,76-73,,
5:46.0,J. Murray makes 3-pt shot from 26 ft (assist by G. Harris),3,79-73,,
5:26.0,Def 3 sec tech foul by W. Chandler,,79-73,,
5:26.0,,,79-74,1,B. Bogdanovic makes technical free throw
5:12.0,,,79-74,,B. Bogdanovic misses 3-pt shot from 28 ft
5:06.0,Defensive rebound by W. Chandler,,79-74,,
4:50.0,Turnover by W. Chandler (bad pass),,79-74,,
4:40.0,,,79-77,3,V. Oladipo makes 3-pt shot from 26 ft
4:18.0,M. Beasley enters the game for W. Barton,,79-77,,
4:16.0,W. Chandler misses 3-pt shot from 25 ft,,79-77,,
4:14.0,,,79-77,,Defensive rebound by B. Bogdanovic
4:11.0,,,79-79,2,M. Turner makes 2-pt shot from 1 ft (assist by B. Bogdanovic)
3:55.0,J. Murray makes 2-pt shot from 1 ft (assist by K. Faried),2,81-79,,
3:43.0,,,81-79,,M. Turner misses 3-pt shot from 27 ft
3:39.0,Defensive rebound by K. Faried,,81-79,,
3:21.0,J. Murray misses 3-pt shot from 26 ft,,81-79,,
3:16.0,,,81-79,,Defensive rebound by B. Bogdanovic
3:07.0,,,81-81,2,B. Bogdanovic makes 2-pt shot from 7 ft
2:49.0,G. Harris makes 2-pt shot from 18 ft (assist by K. Faried),2,83-81,,
2:49.0,,,83-81,,Indiana full timeout
2:49.0,,,83-81,,L. Stephenson enters the game for C. Joseph
2:49.0,,,83-81,,D. Sabonis enters the game for T. Young
2:49.0,,,83-81,,J. Young enters the game for B. Bogdanovic
2:49.0,E. Mudiay enters the game for J. Murray,,83-81,,
2:29.0,,,83-81,,V. Oladipo misses 3-pt shot from 27 ft
2:27.0,Defensive rebound by Team,,83-81,,
2:18.0,Offensive foul by K. Faried (drawn by J. Young),,83-81,,
2:18.0,Turnover by K. Faried (offensive foul),,83-81,,
2:10.0,,,83-84,3,V. Oladipo makes 3-pt shot from 26 ft (assist by D. Sabonis)
1:55.0,G. Harris makes 2-pt shot from 15 ft,2,85-84,,
1:38.0,,,85-84,,V. Oladipo misses 2-pt shot from 17 ft
1:35.0,,,85-84,,Offensive rebound by L. Stephenson
1:31.0,,,85-84,,Turnover by L. Stephenson (bad pass; steal by K. Faried)
1:31.0,Turnover by K. Faried (bad pass),,85-84,,
1:31.0,T. Lyles enters the game for W. Chandler,,85-84,,
1:22.0,,,85-84,,V. Oladipo misses 3-pt shot from 28 ft
1:18.0,,,85-84,,Offensive rebound by D. Sabonis
1:17.0,,,85-86,2,J. Young makes 2-pt shot from 1 ft (assist by D. Sabonis)
1:03.0,E. Mudiay misses 2-pt shot from 18 ft,,85-86,,
1:01.0,,,85-86,,Defensive rebound by J. Young
0:55.0,,,85-88,2,V. Oladipo makes 2-pt shot from 1 ft (assist by L. Stephenson)
0:55.0,Denver full timeout,,85-88,,
0:38.0,Turnover by E. Mudiay (out of bounds lost ball),,85-88,,
0:27.0,,,85-88,,Shooting foul by K. Faried (drawn by V. Oladipo)
0:27.0,,,85-89,1,V. Oladipo makes free throw 1 of 2
0:27.0,,,85-90,1,V. Oladipo makes free throw 2 of 2
0:17.0,T. Lyles makes 3-pt shot from 28 ft (assist by E. Mudiay),3,88-90,,
0:05.0,,,88-90,,L. Stephenson misses 3-pt shot from 27 ft
0:00.0,Defensive rebound by Team,,88-90,,
0:00.0,G. Harris misses 3-pt shot from 78 ft (block by V. Oladipo),,88-90,,
0:00.0,Offensive rebound by Team,,88-90,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,Turnover by E. Mudiay (traveling),,88-90,,
11:41.0,,,88-92,2,L. Stephenson makes 2-pt shot from 18 ft
11:14.0,M. Beasley misses 3-pt shot from 22 ft,,88-92,,
11:14.0,Offensive rebound by Team,,88-92,,
11:02.0,Turnover by M. Beasley (out of bounds lost ball),,88-92,,
10:50.0,,,88-92,,Shooting foul by M. Beasley (drawn by D. Sabonis)
10:50.0,,,88-93,1,D. Sabonis makes free throw 1 of 2
10:50.0,,,88-94,1,D. Sabonis makes free throw 2 of 2
10:29.0,W. Barton misses 2-pt shot from 5 ft,,88-94,,
10:27.0,Offensive rebound by K. Faried,,88-94,,
10:27.0,,,88-94,,Personal foul by J. Young (drawn by K. Faried)
10:19.0,E. Mudiay misses 2-pt shot from 1 ft,,88-94,,
10:15.0,Offensive rebound by K. Faried,,88-94,,
10:15.0,K. Faried misses 2-pt shot at rim,,88-94,,
10:15.0,,,88-94,,Defensive rebound by D. Sabonis
10:02.0,,,88-94,,T. Young misses 3-pt shot from 23 ft
9:59.0,Defensive rebound by W. Barton,,88-94,,
9:57.0,,,88-94,,Personal foul by L. Stephenson (drawn by M. Beasley)
9:52.0,T. Lyles misses 2-pt shot from 1 ft,,88-94,,
9:52.0,Offensive rebound by T. Lyles,,88-94,,
9:52.0,T. Lyles makes 2-pt shot from 1 ft,2,90-94,,
9:52.0,Shooting foul by D. Sabonis (drawn by T. Lyles),,90-94,,
9:52.0,T. Lyles misses free throw 1 of 1,,90-94,,
9:52.0,Violation by K. Faried (double lane),,90-94,,
9:52.0,,,90-94,,Violation by B. Bogdanovic (double lane)
9:52.0,Jump ball: D. Sabonis vs. K. Faried (T. Young gains possession),,,,Jump ball: D. Sabonis vs. K. Faried (T. Young gains possession)
9:34.0,,,90-96,2,T. Young makes 2-pt shot at rim
9:13.0,M. Beasley makes 2-pt shot from 19 ft (assist by W. Barton),2,92-96,,
8:57.0,,,92-96,,T. Young misses 2-pt shot from 1 ft
8:54.0,,,92-96,,Offensive rebound by J. Young
8:50.0,,,92-96,,Offensive charge foul by J. Young (drawn by E. Mudiay)
8:50.0,,,92-96,,Turnover by J. Young (offensive foul)
8:50.0,,,92-96,,C. Joseph enters the game for J. Young
8:50.0,,,92-96,,V. Oladipo enters the game for B. Bogdanovic
8:50.0,J. Murray enters the game for E. Mudiay,,92-96,,
8:50.0,G. Harris enters the game for M. Beasley,,92-96,,
8:36.0,Shooting foul by D. Sabonis (drawn by T. Lyles),,92-96,,
8:36.0,T. Lyles makes free throw 1 of 2,1,93-96,,
8:36.0,T. Lyles makes free throw 2 of 2,1,94-96,,
8:23.0,,,94-96,,L. Stephenson misses 2-pt shot from 1 ft
8:22.0,Defensive rebound by Team,,94-96,,
8:04.0,T. Lyles makes 3-pt shot from 26 ft (assist by W. Barton),3,97-96,,
7:49.0,,,97-96,,Shooting foul by K. Faried (drawn by V. Oladipo)
7:49.0,,,97-97,1,V. Oladipo makes free throw 1 of 2
7:49.0,,,97-97,,M. Turner enters the game for D. Sabonis
7:49.0,,,97-98,1,V. Oladipo makes free throw 2 of 2
7:36.0,T. Lyles makes 3-pt shot from 26 ft (assist by W. Barton),3,100-98,,
7:18.0,,,100-100,2,M. Turner makes 2-pt shot from 15 ft (assist by V. Oladipo)
6:57.0,W. Barton makes 3-pt shot from 25 ft (assist by G. Harris),3,103-100,,
6:43.0,,,103-100,,V. Oladipo misses 3-pt shot from 26 ft
6:41.0,,,103-100,,Offensive rebound by C. Joseph
6:34.0,,,103-102,2,L. Stephenson makes 2-pt shot from 19 ft
6:07.0,T. Lyles misses 2-pt shot from 2 ft,,103-102,,
6:03.0,Offensive rebound by K. Faried,,103-102,,
6:03.0,Shooting foul by T. Young (drawn by J. Murray),,103-102,,
6:03.0,,,103-102,,Indiana full timeout
6:03.0,,,103-102,,B. Bogdanovic enters the game for T. Young
6:03.0,J. Murray makes free throw 1 of 3,1,104-102,,
6:03.0,J. Murray makes free throw 2 of 3,1,105-102,,
6:03.0,J. Murray makes free throw 3 of 3,1,106-102,,
5:51.0,Personal foul by J. Murray (drawn by M. Turner),,106-102,,
5:51.0,W. Chandler enters the game for J. Murray,,106-102,,
5:51.0,,,106-102,,T. Young enters the game for B. Bogdanovic
5:41.0,,,106-102,,Shooting foul by T. Lyles (drawn by V. Oladipo)
5:41.0,,,106-102,,V. Oladipo misses free throw 1 of 2
5:41.0,,,106-102,,Offensive rebound by Team
5:41.0,,,106-103,1,V. Oladipo makes free throw 2 of 2
5:29.0,T. Lyles makes 3-pt shot from 25 ft (assist by W. Barton),3,109-103,,
5:14.0,,,109-103,,V. Oladipo misses 3-pt shot from 27 ft
5:12.0,Defensive rebound by K. Faried,,109-103,,
4:58.0,Offensive charge foul by T. Lyles (drawn by C. Joseph),,109-103,,
4:58.0,Turnover by T. Lyles (offensive foul),,109-103,,
4:48.0,,,109-103,,L. Stephenson misses 2-pt shot from 19 ft
4:45.0,Defensive rebound by W. Barton,,109-103,,
4:21.0,T. Lyles misses 3-pt shot from 23 ft,,109-103,,
4:18.0,,,109-103,,Defensive rebound by M. Turner
4:05.0,,,109-103,,C. Joseph misses 2-pt shot from 19 ft
4:02.0,Defensive rebound by K. Faried,,109-103,,
3:53.0,W. Barton misses 2-pt shot from 17 ft,,109-103,,
3:51.0,Offensive rebound by T. Lyles,,109-103,,
3:51.0,T. Lyles makes 2-pt shot at rim,2,111-103,,
3:51.0,,,111-103,,Indiana full timeout
3:51.0,,,111-103,,B. Bogdanovic enters the game for C. Joseph
3:36.0,,,111-103,,Shooting foul by G. Harris (drawn by M. Turner)
3:36.0,,,111-104,1,M. Turner makes free throw 1 of 2
3:36.0,,,111-104,,M. Turner misses free throw 2 of 2
3:34.0,Defensive rebound by T. Lyles,,111-104,,
3:22.0,Offensive foul by K. Faried (drawn by B. Bogdanovic),,111-104,,
3:22.0,Turnover by K. Faried (offensive foul),,111-104,,
3:06.0,,,111-104,,Shooting foul by G. Harris (drawn by V. Oladipo)
3:06.0,,,111-105,1,V. Oladipo makes free throw 1 of 2
