time,New York,pts.away,score,pts.home,Utah
2:02.0,Turnover by M. Beasley (lost ball; steal by R. Hood),,22-15,,
1:52.0,,,22-17,2,J. Johnson makes 2-pt shot from 6 ft
1:41.0,K. Porzingis misses 3-pt shot from 28 ft,,22-17,,
1:39.0,,,22-17,,Defensive rebound by R. Neto
1:29.0,,,22-19,2,R. Neto makes 2-pt shot from 3 ft
1:17.0,C. Lee misses 2-pt shot from 7 ft,,22-19,,
1:14.0,,,22-19,,Defensive rebound by Team
1:14.0,Personal foul by C. Lee (drawn by J. Johnson),,22-19,,
1:14.0,D. McDermott enters the game for C. Lee,,22-19,,
1:14.0,K. O'Quinn enters the game for M. Beasley,,22-19,,
0:54.0,,,22-21,2,R. Neto makes 2-pt shot from 1 ft (assist by J. Ingles)
0:44.0,Offensive charge foul by F. Ntilikina (drawn by R. Neto),,22-21,,
0:44.0,Turnover by F. Ntilikina (offensive foul),,22-21,,
0:44.0,T. Burke enters the game for F. Ntilikina,,22-21,,
0:33.0,,,22-24,3,R. Hood makes 3-pt shot from 25 ft
0:25.0,Turnover by T. Burke (step out of bounds),,22-24,,
0:09.0,Personal foul by L. Thomas (drawn by J. Ingles),,22-24,,
0:09.0,,,22-24,,J. Ingles misses free throw 1 of 2
0:09.0,,,22-24,,Offensive rebound by Team
0:09.0,C. Lee enters the game for L. Thomas,,22-24,,
0:09.0,,,22-25,1,J. Ingles makes free throw 2 of 2
0:05.0,,,22-25,,Personal foul by R. Neto (drawn by K. O'Quinn)
0:00.0,D. McDermott misses 3-pt shot from 25 ft,,22-25,,
0:00.0,Offensive rebound by Team,,22-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,22-25,,J. Johnson misses 3-pt shot from 25 ft
11:38.0,Defensive rebound by D. McDermott,,22-25,,
11:32.0,,,22-25,,Personal foul by J. Johnson (drawn by K. Porzingis)
11:25.0,K. Porzingis misses 2-pt shot from 10 ft (block by J. Johnson),,22-25,,
11:22.0,Offensive rebound by K. Porzingis,,22-25,,
11:19.0,K. Porzingis misses 2-pt shot from 9 ft,,22-25,,
11:19.0,,,22-25,,Defensive rebound by R. Gobert
11:13.0,,,22-25,,R. Hood misses 3-pt shot from 25 ft
11:10.0,Defensive rebound by D. McDermott,,22-25,,
10:59.0,L. Thomas makes 3-pt shot from 23 ft (assist by K. O'Quinn),3,25-25,,
10:43.0,,,25-27,2,R. Gobert makes 2-pt shot from 1 ft (assist by J. Ingles)
10:32.0,Turnover by K. O'Quinn (traveling),,25-27,,
10:32.0,,,25-27,,R. Rubio enters the game for R. Neto
10:08.0,,,25-29,2,R. Hood makes 2-pt shot from 13 ft
9:57.0,L. Thomas makes 2-pt shot from 2 ft (assist by K. O'Quinn),2,27-29,,
9:41.0,,,27-29,,R. Rubio misses 2-pt shot from 19 ft
9:39.0,Defensive rebound by T. Burke,,27-29,,
9:36.0,,,27-29,,Personal foul by R. Rubio (drawn by T. Burke)
9:36.0,,,27-29,,R. O'Neale enters the game for J. Ingles
9:36.0,,,27-29,,D. Mitchell enters the game for R. Hood
9:30.0,T. Burke makes 2-pt shot from 19 ft (assist by K. O'Quinn),2,29-29,,
9:16.0,Personal foul by L. Thomas (drawn by D. Mitchell),,29-29,,
9:12.0,Personal foul by L. Thomas (drawn by R. Gobert),,29-29,,
9:12.0,C. Lee enters the game for L. Thomas,,29-29,,
9:06.0,,,29-29,,R. O'Neale misses 2-pt shot from 20 ft
9:02.0,Defensive rebound by C. Lee,,29-29,,
8:54.0,Shooting foul by J. Johnson (drawn by K. Porzingis),,29-29,,
8:54.0,K. Porzingis makes free throw 1 of 2,1,30-29,,
8:54.0,K. Porzingis misses free throw 2 of 2,,30-29,,
8:52.0,,,30-29,,Defensive rebound by R. O'Neale
8:36.0,,,30-32,3,J. Johnson makes 3-pt shot from 24 ft (assist by D. Mitchell)
8:23.0,K. Porzingis makes 2-pt shot from 1 ft,2,32-32,,
8:04.0,,,32-32,,Turnover by D. Mitchell (traveling)
8:04.0,,,32-32,,J. Jerebko enters the game for J. Johnson
7:47.0,K. Porzingis misses 2-pt shot from 10 ft,,32-32,,
7:44.0,,,32-32,,Defensive rebound by R. Gobert
7:41.0,,,32-32,,Shooting foul by K. O'Quinn (drawn by R. O'Neale)
7:41.0,,,32-33,1,R. O'Neale makes free throw 1 of 2
7:41.0,J. Jack enters the game for T. Burke,,32-33,,
7:41.0,,,32-34,1,R. O'Neale makes free throw 2 of 2
7:28.0,D. McDermott misses 2-pt shot from 2 ft,,32-34,,
7:27.0,Offensive rebound by Team,,32-34,,
7:27.0,M. Beasley enters the game for K. Porzingis,,32-34,,
7:22.0,C. Lee misses 3-pt shot from 24 ft,,32-34,,
7:19.0,,,32-34,,Defensive rebound by R. Gobert
7:11.0,,,32-36,2,R. Gobert makes 2-pt shot from 2 ft (assist by D. Mitchell)
6:55.0,M. Beasley misses 2-pt shot from 15 ft,,32-36,,
6:52.0,,,32-36,,Defensive rebound by R. Gobert
6:47.0,,,32-38,2,R. Gobert makes 2-pt shot from 2 ft (assist by R. Rubio)
6:47.0,,,32-38,,Shooting foul by K. O'Quinn (drawn by R. Gobert)
6:47.0,,,32-38,,Utah full timeout
6:47.0,T. Hardaway enters the game for K. O'Quinn,,32-38,,
6:47.0,E. Kanter enters the game for D. McDermott,,32-38,,
6:47.0,,,32-38,,R. Gobert misses free throw 1 of 1
6:44.0,Defensive rebound by C. Lee,,32-38,,
6:21.0,M. Beasley makes 2-pt shot from 3 ft,2,34-38,,
6:05.0,,,34-38,,Shooting foul by E. Kanter (drawn by R. Gobert)
6:05.0,,,34-38,,R. Gobert misses free throw 1 of 2
6:05.0,,,34-38,,Offensive rebound by Team
6:05.0,,,34-39,1,R. Gobert makes free throw 2 of 2
5:54.0,E. Kanter misses 2-pt shot from 2 ft (block by R. Gobert),,34-39,,
5:53.0,,,34-39,,Defensive rebound by R. O'Neale
5:49.0,,,34-39,,R. O'Neale misses 2-pt shot from 1 ft
5:49.0,,,34-39,,Offensive rebound by D. Mitchell
5:45.0,,,34-41,2,D. Mitchell makes 2-pt shot at rim
5:23.0,J. Jack makes 2-pt shot from 10 ft,2,36-41,,
5:14.0,,,36-41,,Offensive foul by R. Gobert (drawn by J. Jack)
5:14.0,,,36-41,,Turnover by R. Gobert (offensive foul)
5:14.0,,,36-41,,J. Ingles enters the game for R. O'Neale
5:14.0,,,36-41,,D. Favors enters the game for R. Gobert
5:07.0,T. Hardaway makes 2-pt shot from 19 ft (assist by M. Beasley),2,38-41,,
4:53.0,,,38-44,3,R. Rubio makes 3-pt shot from 23 ft (assist by D. Mitchell)
4:39.0,E. Kanter misses 2-pt shot from 6 ft,,38-44,,
4:37.0,,,38-44,,Defensive rebound by J. Jerebko
4:29.0,Personal foul by J. Jack (drawn by R. Rubio),,38-44,,
4:29.0,,,38-45,1,R. Rubio makes free throw 1 of 2
4:29.0,,,38-45,,J. Johnson enters the game for J. Jerebko
4:29.0,K. Porzingis enters the game for C. Lee,,38-45,,
4:29.0,,,38-46,1,R. Rubio makes free throw 2 of 2
4:17.0,Turnover by T. Hardaway (bad pass; steal by D. Mitchell),,38-46,,
4:12.0,,,38-46,,D. Mitchell misses 2-pt shot from 2 ft
4:09.0,,,38-46,,Offensive rebound by J. Ingles
3:54.0,,,38-46,,D. Mitchell misses 3-pt shot from 28 ft
3:51.0,Defensive rebound by E. Kanter,,38-46,,
3:39.0,T. Hardaway misses 2-pt shot from 10 ft,,38-46,,
3:37.0,,,38-46,,Defensive rebound by D. Favors
3:30.0,,,38-48,2,D. Favors makes 2-pt shot from 1 ft (assist by R. Rubio)
3:30.0,New York full timeout,,38-48,,
3:30.0,,,38-48,,R. Hood enters the game for R. Rubio
3:30.0,R. Baker enters the game for M. Beasley,,38-48,,
3:17.0,J. Jack makes 2-pt shot from 8 ft (assist by R. Baker),2,40-48,,
2:54.0,,,40-48,,R. Hood misses 2-pt shot from 7 ft
2:51.0,,,40-48,,Offensive rebound by R. Hood
2:49.0,,,40-50,2,R. Hood makes 2-pt shot from 4 ft
2:38.0,R. Baker misses 3-pt shot from 24 ft,,40-50,,
2:35.0,,,40-50,,Defensive rebound by R. Hood
2:23.0,,,40-50,,R. Hood misses 3-pt shot from 26 ft
2:20.0,Defensive rebound by K. Porzingis,,40-50,,
2:10.0,K. Porzingis makes 2-pt shot from 2 ft (assist by J. Jack),2,42-50,,
1:51.0,,,42-52,2,J. Johnson makes 2-pt shot from 19 ft
1:35.0,T. Hardaway misses 2-pt shot from 3 ft,,42-52,,
1:32.0,Offensive rebound by E. Kanter,,42-52,,
1:32.0,E. Kanter makes 2-pt shot at rim,2,44-52,,
1:15.0,,,44-52,,D. Mitchell misses 3-pt shot from 24 ft
1:13.0,Defensive rebound by E. Kanter,,44-52,,
1:03.0,J. Jack misses 2-pt shot from 8 ft,,44-52,,
0:59.0,Offensive rebound by E. Kanter,,44-52,,
0:59.0,E. Kanter misses 2-pt shot at rim,,44-52,,
0:58.0,Offensive rebound by E. Kanter,,44-52,,
0:58.0,E. Kanter misses 2-pt shot at rim (block by R. Hood),,44-52,,
0:58.0,,,44-52,,Defensive rebound by J. Johnson
0:55.0,,,44-52,,Turnover by J. Johnson (bad pass)
0:45.0,T. Hardaway makes 3-pt shot from 24 ft (assist by K. Porzingis),3,47-52,,
0:37.0,,,47-52,,Turnover by D. Mitchell (bad pass; steal by R. Baker)
0:33.0,,,47-52,,Shooting block foul by R. Hood (drawn by R. Baker)
0:33.0,R. Baker makes free throw 1 of 2,1,48-52,,
0:33.0,L. Thomas enters the game for E. Kanter,,48-52,,
0:33.0,R. Baker makes free throw 2 of 2,1,49-52,,
0:18.0,,,49-55,3,R. Hood makes 3-pt shot from 24 ft (assist by D. Mitchell)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,49-55,,D. Mitchell misses 2-pt shot from 2 ft
11:45.0,Defensive rebound by T. Hardaway,,49-55,,
11:39.0,C. Lee makes 2-pt shot from 9 ft (assist by T. Hardaway),2,51-55,,
11:22.0,,,51-55,,Turnover by R. Hood (bad pass; steal by K. Porzingis)
11:20.0,,,51-55,,Personal foul by D. Mitchell (drawn by J. Jack)
11:15.0,C. Lee misses 2-pt shot from 11 ft,,51-55,,
11:12.0,,,51-55,,Defensive rebound by D. Favors
11:04.0,,,51-55,,R. Hood misses 3-pt shot from 22 ft
11:00.0,Defensive rebound by J. Jack,,51-55,,
10:55.0,C. Lee makes 3-pt shot from 25 ft (assist by J. Jack),3,54-55,,
10:32.0,,,54-55,,Turnover by R. Hood (bad pass)
10:16.0,C. Lee makes 2-pt shot from 16 ft,2,56-55,,
10:03.0,,,56-55,,D. Mitchell misses 3-pt shot from 24 ft
10:02.0,,,56-55,,Offensive rebound by R. Gobert
10:02.0,,,56-57,2,R. Gobert makes 2-pt shot at rim
10:02.0,,,56-57,,Shooting foul by E. Kanter (drawn by R. Gobert)
10:02.0,,,56-58,1,R. Gobert makes free throw 1 of 1
9:51.0,T. Hardaway makes 3-pt shot from 27 ft,3,59-58,,
9:38.0,,,59-60,2,R. Rubio makes 2-pt shot from 2 ft
9:31.0,E. Kanter makes 2-pt shot from 2 ft (assist by J. Jack),2,61-60,,
9:31.0,Shooting foul by R. Rubio (drawn by E. Kanter),,61-60,,
9:31.0,E. Kanter makes free throw 1 of 1,1,62-60,,
9:09.0,,,62-63,3,D. Mitchell makes 3-pt shot from 31 ft
8:53.0,,,62-63,,Personal foul by D. Favors (drawn by K. Porzingis)
8:53.0,,,62-63,,J. Jerebko enters the game for D. Favors
8:41.0,K. Porzingis misses 2-pt shot from 13 ft,,62-63,,
8:39.0,,,62-63,,Defensive rebound by R. Rubio
8:31.0,,,62-63,,J. Jerebko misses 2-pt shot from 20 ft
8:27.0,Defensive rebound by E. Kanter,,62-63,,
8:23.0,,,62-63,,Personal foul by R. Hood (drawn by T. Hardaway)
8:23.0,R. Baker enters the game for T. Hardaway,,62-63,,
8:15.0,J. Jack makes 2-pt shot from 13 ft,2,64-63,,
8:14.0,,,64-63,,Utah full timeout
8:01.0,,,64-65,2,R. Hood makes 2-pt shot from 16 ft
7:47.0,C. Lee makes 2-pt shot from 9 ft (assist by E. Kanter),2,66-65,,
7:39.0,Personal foul by J. Jack (drawn by R. Rubio),,66-65,,
7:26.0,,,66-65,,Turnover by R. Hood (out of bounds lost ball)
7:16.0,E. Kanter makes 2-pt shot from 1 ft (assist by C. Lee),2,68-65,,
7:01.0,,,68-65,,Shooting foul by K. Porzingis (drawn by R. Rubio)
7:01.0,,,68-65,,R. Rubio misses free throw 1 of 2
7:01.0,,,68-65,,Offensive rebound by Team
7:01.0,,,68-65,,J. Ingles enters the game for R. Hood
7:01.0,,,68-66,1,R. Rubio makes free throw 2 of 2
6:51.0,Shooting foul by D. Mitchell (drawn by C. Lee),,68-66,,
6:51.0,C. Lee makes free throw 1 of 2,1,69-66,,
6:51.0,C. Lee makes free throw 2 of 2,1,70-66,,
6:29.0,,,70-66,,Turnover by D. Mitchell (lost ball; steal by C. Lee)
6:23.0,Turnover by K. Porzingis (out of bounds lost ball),,70-66,,
6:23.0,Loose ball foul by K. Porzingis (drawn by J. Jerebko),,70-66,,
6:23.0,F. Ntilikina enters the game for J. Jack,,70-66,,
6:12.0,,,70-66,,R. Gobert misses 2-pt shot from 6 ft
6:12.0,Defensive rebound by Team,,70-66,,
6:12.0,,,70-66,,D. Favors enters the game for R. Gobert
6:12.0,K. Porzingis makes technical free throw,1,71-66,,
6:00.0,C. Lee misses 2-pt shot from 12 ft,,71-66,,
5:58.0,,,71-66,,Defensive rebound by Team
5:45.0,,,71-66,,D. Favors misses 2-pt shot from 6 ft
5:42.0,Defensive rebound by E. Kanter,,71-66,,
5:32.0,K. Porzingis misses 2-pt shot from 12 ft,,71-66,,
5:30.0,,,71-66,,Defensive rebound by R. Rubio
5:22.0,,,71-68,2,R. Rubio makes 2-pt shot from 2 ft
5:11.0,E. Kanter misses 2-pt shot from 10 ft,,71-68,,
5:08.0,,,71-68,,Defensive rebound by J. Ingles
5:00.0,,,71-70,2,D. Favors makes 2-pt shot from 3 ft (assist by J. Ingles)
4:59.0,New York full timeout,,71-70,,
4:46.0,Turnover by R. Baker (step out of bounds),,71-70,,
4:34.0,,,71-73,3,J. Ingles makes 3-pt shot from 23 ft (assist by R. Rubio)
4:14.0,,,71-73,,Personal foul by J. Jerebko (drawn by K. Porzingis)
4:14.0,K. Porzingis makes free throw 1 of 2,1,72-73,,
4:14.0,K. O'Quinn enters the game for E. Kanter,,72-73,,
4:14.0,J. Jack enters the game for F. Ntilikina,,72-73,,
4:14.0,,,72-73,,J. Johnson enters the game for J. Jerebko
4:14.0,K. Porzingis makes free throw 2 of 2,1,73-73,,
4:05.0,,,73-73,,D. Mitchell misses 2-pt shot from 9 ft
4:01.0,,,73-73,,Offensive rebound by D. Favors
4:01.0,,,73-73,,D. Favors misses 2-pt shot at rim
4:00.0,Defensive rebound by R. Baker,,73-73,,
3:52.0,K. Porzingis makes 2-pt shot from 11 ft (assist by J. Jack),2,75-73,,
3:31.0,,,75-73,,R. Rubio misses 3-pt shot from 24 ft
3:29.0,,,75-73,,Offensive rebound by D. Favors
3:21.0,,,75-73,,R. Rubio misses 2-pt shot from 19 ft
3:18.0,Defensive rebound by C. Lee,,75-73,,
3:11.0,K. Porzingis misses 2-pt shot from 9 ft,,75-73,,
3:08.0,,,75-73,,Defensive rebound by J. Johnson
3:00.0,,,75-73,,J. Johnson misses 2-pt shot from 6 ft
2:58.0,,,75-73,,Offensive rebound by D. Favors
2:56.0,,,75-75,2,D. Favors makes 2-pt shot from 1 ft
2:46.0,,,75-75,,Personal foul by D. Mitchell (drawn by C. Lee)
2:46.0,C. Lee makes free throw 1 of 2,1,76-75,,
2:46.0,,,76-75,,R. Hood enters the game for R. Rubio
2:46.0,,,76-75,,R. Neto enters the game for D. Mitchell
2:46.0,M. Beasley enters the game for K. Porzingis,,76-75,,
2:46.0,T. Hardaway enters the game for R. Baker,,76-75,,
2:46.0,C. Lee makes free throw 2 of 2,1,77-75,,
2:36.0,,,77-75,,Shooting foul by J. Jack (drawn by D. Favors)
2:36.0,,,77-75,,D. Favors misses free throw 1 of 2
2:36.0,,,77-75,,Offensive rebound by Team
2:36.0,,,77-76,1,D. Favors makes free throw 2 of 2
2:20.0,M. Beasley misses 2-pt shot from 16 ft,,77-76,,
2:17.0,,,77-76,,Defensive rebound by R. Neto
2:11.0,,,77-76,,D. Favors misses 2-pt shot from 2 ft (block by K. O'Quinn)
2:07.0,Defensive rebound by K. O'Quinn,,77-76,,
2:02.0,C. Lee misses 2-pt shot from 20 ft,,77-76,,
2:00.0,,,77-76,,Defensive rebound by J. Ingles
1:43.0,,,77-76,,Turnover by D. Favors (turnover)
1:28.0,T. Hardaway misses 3-pt shot from 25 ft,,77-76,,
1:25.0,,,77-76,,Defensive rebound by J. Johnson
1:13.0,,,77-78,2,J. Johnson makes 2-pt shot from 8 ft
0:54.0,T. Hardaway makes 2-pt shot from 5 ft,2,79-78,,
0:41.0,,,79-78,,J. Johnson misses 2-pt shot from 10 ft
0:39.0,Defensive rebound by M. Beasley,,79-78,,
0:34.0,T. Hardaway makes 3-pt shot from 25 ft (assist by M. Beasley),3,82-78,,
0:13.0,,,82-78,,Turnover by R. Hood (traveling)
0:02.0,T. Hardaway makes 3-pt shot from 25 ft,3,85-78,,
0:00.0,,,85-78,,R. Neto misses 3-pt shot from 70 ft
0:00.0,,,85-78,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,M. Beasley misses 2-pt shot from 2 ft (block by R. Gobert),,85-78,,
11:43.0,Offensive rebound by K. O'Quinn,,85-78,,
11:43.0,Shooting foul by R. Gobert (drawn by K. O'Quinn),,85-78,,
11:43.0,K. O'Quinn makes free throw 1 of 2,1,86-78,,
11:43.0,K. O'Quinn makes free throw 2 of 2,1,87-78,,
11:24.0,,,87-81,3,J. Ingles makes 3-pt shot from 27 ft (assist by J. Johnson)
11:05.0,M. Beasley misses 2-pt shot from 4 ft,,87-81,,
11:01.0,,,87-81,,Defensive rebound by R. Hood
10:57.0,,,87-81,,Shooting foul by K. O'Quinn (drawn by R. Gobert)
10:57.0,,,87-82,1,R. Gobert makes free throw 1 of 2
10:57.0,,,87-82,,R. Rubio enters the game for R. Neto
10:57.0,D. McDermott enters the game for T. Hardaway,,87-82,,
10:57.0,,,87-83,1,R. Gobert makes free throw 2 of 2
10:41.0,K. O'Quinn makes 2-pt shot from 20 ft,2,89-83,,
10:18.0,,,89-83,,J. Johnson misses 2-pt shot from 22 ft
10:14.0,Defensive rebound by R. Baker,,89-83,,
10:07.0,M. Beasley misses 3-pt shot from 25 ft,,89-83,,
10:05.0,,,89-83,,Defensive rebound by J. Ingles
9:58.0,,,89-83,,R. Gobert misses 2-pt shot from 2 ft (block by M. Beasley)
9:58.0,,,89-83,,Offensive rebound by Team
9:58.0,T. Burke enters the game for J. Jack,,89-83,,
9:50.0,,,89-85,2,R. Hood makes 2-pt shot from 8 ft (assist by J. Ingles)
9:41.0,Offensive foul by T. Burke (drawn by R. Rubio),,89-85,,
9:41.0,Turnover by T. Burke (offensive foul),,89-85,,
9:28.0,,,89-85,,R. Hood misses 2-pt shot from 1 ft
9:25.0,,,89-85,,Offensive rebound by R. Gobert
9:23.0,,,89-87,2,R. Gobert makes 2-pt shot at rim
9:14.0,M. Beasley makes 2-pt shot from 1 ft (assist by R. Baker),2,91-87,,
9:01.0,,,91-87,,Turnover by R. Rubio (out of bounds lost ball)
9:01.0,,,91-87,,R. O'Neale enters the game for R. Hood
8:50.0,M. Beasley misses 2-pt shot from 7 ft,,91-87,,
8:47.0,,,91-87,,Defensive rebound by J. Ingles
8:40.0,,,91-87,,Shooting foul by M. Beasley (drawn by R. Gobert)
8:40.0,,,91-87,,R. Gobert misses free throw 1 of 2
8:40.0,,,91-87,,Offensive rebound by Team
8:40.0,,,91-87,,D. Mitchell enters the game for J. Ingles
8:40.0,,,91-88,1,R. Gobert makes free throw 2 of 2
8:27.0,R. Baker misses 3-pt shot from 25 ft,,91-88,,
8:25.0,,,91-88,,Defensive rebound by R. Gobert
8:08.0,,,91-91,3,D. Mitchell makes 3-pt shot from 24 ft
8:06.0,New York full timeout,,91-91,,
8:06.0,C. Lee enters the game for R. Baker,,91-91,,
7:46.0,M. Beasley makes 2-pt shot from 2 ft,2,93-91,,
7:30.0,,,93-93,2,D. Mitchell makes 2-pt shot from 2 ft
7:15.0,Offensive foul by K. O'Quinn (drawn by R. Rubio),,93-93,,
7:15.0,Turnover by K. O'Quinn (offensive foul),,93-93,,
7:15.0,E. Kanter enters the game for K. O'Quinn,,93-93,,
6:56.0,,,93-93,,Turnover by R. Gobert (lost ball; steal by T. Burke)
6:56.0,,,93-93,,Personal foul by D. Mitchell (drawn by T. Burke)
6:56.0,,,93-93,,D. Favors enters the game for R. Gobert
6:44.0,M. Beasley misses 2-pt shot from 2 ft,,93-93,,
6:41.0,Offensive rebound by E. Kanter,,93-93,,
6:40.0,E. Kanter makes 2-pt shot from 2 ft,2,95-93,,
6:27.0,,,95-93,,D. Mitchell misses 3-pt shot from 25 ft
6:25.0,Defensive rebound by M. Beasley,,95-93,,
6:17.0,T. Burke makes 3-pt shot from 25 ft,3,98-93,,
6:16.0,,,98-93,,Utah full timeout
6:16.0,,,98-93,,R. Hood enters the game for R. O'Neale
