time,Chicago,pts.away,score,pts.home,Orlando
9:20.0,Turnover by J. Grant (lost ball; steal by M. Hezonja),,38-29,,
9:09.0,Personal foul by D. Valentine (drawn by B. Biyombo),,38-29,,
9:04.0,Personal foul by N. Vonleh (drawn by B. Biyombo),,38-29,,
8:54.0,,,38-32,3,S. Mack makes 3-pt shot from 26 ft
8:45.0,Shooting foul by B. Biyombo (drawn by N. Vonleh),,38-32,,
8:45.0,N. Vonleh makes free throw 1 of 2,1,39-32,,
8:45.0,,,39-32,,N. Vucevic enters the game for B. Biyombo
8:45.0,N. Vonleh misses free throw 2 of 2,,39-32,,
8:43.0,,,39-32,,Defensive rebound by M. Hezonja
8:30.0,,,39-32,,N. Vucevic misses 2-pt shot from 16 ft
8:29.0,Defensive rebound by Team,,39-32,,
8:29.0,,,39-32,,Loose ball foul by K. Birch (drawn by N. Vonleh)
8:11.0,B. Portis makes 3-pt shot from 25 ft (assist by N. Vonleh),3,42-32,,
7:49.0,,,42-32,,J. Artis misses 2-pt shot from 1 ft
7:45.0,Defensive rebound by N. Vonleh,,42-32,,
7:41.0,L. Markkanen enters the game for B. Portis,,42-32,,
7:34.0,S. Kilpatrick misses 3-pt shot from 24 ft,,42-32,,
7:31.0,Offensive rebound by N. Vonleh,,42-32,,
7:27.0,L. Markkanen misses 3-pt shot from 27 ft,,42-32,,
7:24.0,,,42-32,,Defensive rebound by S. Mack
7:21.0,,,42-32,,Turnover by S. Mack (bad pass)
7:00.0,J. Grant misses 3-pt shot from 26 ft,,42-32,,
6:56.0,,,42-32,,Defensive rebound by S. Mack
6:51.0,,,42-32,,S. Mack misses 3-pt shot from 24 ft
6:47.0,,,42-32,,Offensive rebound by K. Birch
6:42.0,,,42-32,,M. Hezonja misses 3-pt shot from 27 ft
6:41.0,,,42-32,,Offensive rebound by N. Vucevic
6:38.0,,,42-32,,Shooting foul by D. Valentine (drawn by N. Vucevic)
6:38.0,,,42-32,,Orlando full timeout
6:38.0,C. Payne enters the game for J. Grant,,42-32,,
6:38.0,J. Holiday enters the game for N. Vonleh,,42-32,,
6:38.0,C. Felicio enters the game for D. Valentine,,42-32,,
6:38.0,,,42-33,1,N. Vucevic makes free throw 1 of 2
6:38.0,,,42-34,1,N. Vucevic makes free throw 2 of 2
6:25.0,Shooting foul by K. Birch (drawn by L. Markkanen),,42-34,,
6:25.0,L. Markkanen makes free throw 1 of 2,1,43-34,,
6:25.0,,,43-34,,A. Gordon enters the game for K. Birch
6:25.0,L. Markkanen makes free throw 2 of 2,1,44-34,,
6:04.0,,,44-34,,A. Gordon misses 2-pt shot from 8 ft
6:01.0,Defensive rebound by S. Kilpatrick,,44-34,,
5:58.0,Turnover by S. Kilpatrick (bad pass; steal by S. Mack),,44-34,,
5:55.0,,,44-34,,Shooting foul by J. Holiday (drawn by J. Artis)
5:55.0,,,44-35,1,J. Artis makes free throw 1 of 2
5:55.0,,,44-35,,D. Augustin enters the game for S. Mack
5:55.0,,,44-35,,J. Isaac enters the game for M. Hezonja
5:55.0,,,44-36,1,J. Artis makes free throw 2 of 2
5:55.0,D. Nwaba enters the game for S. Kilpatrick,,44-36,,
5:37.0,Turnover by C. Felicio (bad pass; steal by J. Isaac),,44-36,,
5:26.0,Personal foul by J. Holiday (drawn by A. Gordon),,44-36,,
5:26.0,,,44-37,1,A. Gordon makes free throw 1 of 2
5:26.0,,,44-37,,R. Purvis enters the game for J. Artis
5:26.0,,,44-38,1,A. Gordon makes free throw 2 of 2
5:15.0,C. Payne makes 3-pt shot from 26 ft,3,47-38,,
5:01.0,,,47-40,2,N. Vucevic makes 2-pt shot from 18 ft (assist by D. Augustin)
4:44.0,L. Markkanen makes 2-pt shot from 1 ft,2,49-40,,
4:30.0,,,49-40,,N. Vucevic misses 2-pt shot from 15 ft
4:26.0,Defensive rebound by L. Markkanen,,49-40,,
4:20.0,J. Holiday misses 3-pt shot from 23 ft,,49-40,,
4:16.0,,,49-40,,Defensive rebound by N. Vucevic
4:12.0,,,49-40,,Turnover by D. Augustin (lost ball; steal by J. Holiday)
4:09.0,,,49-40,,Personal block foul by J. Isaac (drawn by D. Nwaba)
4:09.0,D. Nwaba misses free throw 1 of 2,,49-40,,
4:09.0,Offensive rebound by Team,,49-40,,
4:09.0,D. Nwaba makes free throw 2 of 2,1,50-40,,
3:56.0,,,50-40,,N. Vucevic misses 2-pt shot from 8 ft
3:52.0,Defensive rebound by C. Payne,,50-40,,
3:46.0,C. Payne misses 2-pt shot from 2 ft,,50-40,,
3:44.0,,,50-40,,Defensive rebound by N. Vucevic
3:39.0,,,50-40,,D. Augustin misses 2-pt shot from 1 ft
3:36.0,Defensive rebound by L. Markkanen,,50-40,,
3:33.0,J. Holiday makes 3-pt shot from 22 ft (assist by L. Markkanen),3,53-40,,
3:15.0,,,53-42,2,N. Vucevic makes 2-pt shot at rim (assist by R. Purvis)
2:57.0,L. Markkanen misses 3-pt shot from 29 ft,,53-42,,
2:52.0,,,53-42,,Defensive rebound by J. Isaac
2:44.0,,,53-42,,J. Isaac misses 2-pt shot from 17 ft
2:42.0,Defensive rebound by C. Felicio,,53-42,,
2:34.0,C. Payne makes 2-pt shot from 17 ft,2,55-42,,
2:07.0,,,55-42,,A. Gordon misses 3-pt shot from 26 ft
2:04.0,Defensive rebound by Team,,55-42,,
2:04.0,Chicago full timeout,,55-42,,
1:54.0,D. Nwaba misses 3-pt shot from 22 ft,,55-42,,
1:52.0,Offensive rebound by C. Felicio,,55-42,,
1:51.0,C. Felicio misses 2-pt shot from 1 ft (block by J. Isaac),,55-42,,
1:51.0,,,55-42,,Defensive rebound by R. Purvis
1:42.0,Personal foul by J. Holiday (drawn by J. Isaac),,55-42,,
1:42.0,,,55-43,1,J. Isaac makes free throw 1 of 2
1:42.0,,,55-44,1,J. Isaac makes free throw 2 of 2
1:21.0,Offensive charge foul by C. Payne (drawn by D. Augustin),,55-44,,
1:21.0,Turnover by C. Payne (offensive foul),,55-44,,
1:09.0,,,55-44,,J. Isaac misses 2-pt shot from 11 ft (block by J. Holiday)
1:05.0,Jump ball: J. Isaac vs. J. Holiday (D. Augustin gains possession),,,,Jump ball: J. Isaac vs. J. Holiday (D. Augustin gains possession)
1:05.0,,,55-44,,Offensive rebound by Team
1:02.0,,,55-44,,R. Purvis misses 3-pt shot from 28 ft
0:58.0,Defensive rebound by L. Markkanen,,55-44,,
0:45.0,L. Markkanen misses 2-pt shot from 16 ft,,55-44,,
0:42.0,Offensive rebound by C. Felicio,,55-44,,
0:38.0,L. Markkanen misses 2-pt shot from 2 ft (block by A. Gordon),,55-44,,
0:28.0,,,55-44,,Defensive rebound by N. Vucevic
0:26.0,,,55-44,,Turnover by N. Vucevic (bad pass; steal by D. Nwaba)
0:20.0,D. Nwaba makes 2-pt shot from 1 ft,2,57-44,,
0:10.0,,,57-44,,A. Gordon misses 3-pt shot from 27 ft
0:06.0,Defensive rebound by C. Felicio,,57-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,D. Valentine makes 3-pt shot from 23 ft (assist by C. Payne),3,60-44,,
11:31.0,,,60-46,2,A. Gordon makes 2-pt shot from 1 ft
11:31.0,,,60-46,,Shooting foul by L. Markkanen (drawn by A. Gordon)
11:31.0,,,60-46,,A. Gordon misses free throw 1 of 1
11:31.0,,,60-46,,Offensive rebound by Team
11:27.0,,,60-48,2,R. Purvis makes 2-pt shot from 16 ft (assist by J. Isaac)
11:06.0,C. Felicio misses 2-pt shot from 1 ft,,60-48,,
11:03.0,,,60-48,,Defensive rebound by N. Vucevic
10:46.0,,,60-48,,Shooting foul by C. Felicio (drawn by D. Augustin)
10:46.0,,,60-49,1,D. Augustin makes free throw 1 of 2
10:46.0,,,60-50,1,D. Augustin makes free throw 2 of 2
10:32.0,Turnover by D. Nwaba (lost ball; steal by J. Isaac),,60-50,,
10:27.0,,,60-50,,A. Gordon misses 2-pt shot from 2 ft (block by L. Markkanen)
10:23.0,Defensive rebound by C. Felicio,,60-50,,
10:22.0,Turnover by C. Felicio (lost ball; steal by D. Augustin),,60-50,,
10:15.0,,,60-50,,D. Augustin misses 3-pt shot from 29 ft
10:13.0,,,60-50,,Offensive rebound by J. Isaac
10:10.0,,,60-50,,N. Vucevic misses 3-pt shot from 26 ft
10:04.0,Defensive rebound by L. Markkanen,,60-50,,
9:58.0,D. Nwaba misses 2-pt shot from 2 ft,,60-50,,
9:56.0,Offensive rebound by Team,,60-50,,
9:47.0,Turnover by C. Payne (bad pass; steal by R. Purvis),,60-50,,
9:38.0,,,60-53,3,A. Gordon makes 3-pt shot from 22 ft (assist by D. Augustin)
9:36.0,Chicago full timeout,,60-53,,
9:21.0,Turnover by D. Nwaba (bad pass; steal by N. Vucevic),,60-53,,
9:08.0,,,60-55,2,N. Vucevic makes 2-pt shot at rim
8:43.0,C. Felicio misses 2-pt shot from 18 ft,,60-55,,
8:40.0,,,60-55,,Defensive rebound by R. Purvis
8:31.0,,,60-57,2,A. Gordon makes 2-pt shot at rim (assist by N. Vucevic)
8:18.0,Turnover by C. Payne (bad pass; steal by A. Gordon),,60-57,,
8:18.0,Personal foul by C. Payne (drawn by A. Gordon),,60-57,,
8:18.0,B. Portis enters the game for C. Felicio,,60-57,,
8:05.0,,,60-57,,Turnover by J. Isaac (lost ball; steal by L. Markkanen)
8:02.0,Shooting foul by J. Isaac (drawn by L. Markkanen),,60-57,,
8:02.0,L. Markkanen makes free throw 1 of 2,1,61-57,,
8:02.0,L. Markkanen misses free throw 2 of 2,,61-57,,
7:59.0,,,61-57,,Defensive rebound by D. Augustin
7:45.0,,,61-57,,R. Purvis misses 3-pt shot from 25 ft
7:42.0,Defensive rebound by Team,,61-57,,
7:31.0,C. Payne misses 2-pt shot from 9 ft,,61-57,,
7:28.0,,,61-57,,Defensive rebound by N. Vucevic
7:07.0,,,61-57,,Turnover by Team (shot clock)
6:58.0,D. Valentine misses 3-pt shot from 26 ft,,61-57,,
6:55.0,,,61-57,,Defensive rebound by J. Isaac
6:48.0,,,61-57,,D. Augustin misses 2-pt shot from 5 ft (block by C. Payne)
6:48.0,Defensive rebound by Team,,61-57,,
6:38.0,C. Payne misses 2-pt shot from 18 ft,,61-57,,
6:38.0,,,61-57,,Defensive rebound by J. Isaac
6:36.0,Personal foul by D. Nwaba (drawn by D. Augustin),,61-57,,
6:23.0,,,61-57,,J. Isaac misses 3-pt shot from 23 ft
6:20.0,Defensive rebound by L. Markkanen,,61-57,,
6:04.0,D. Nwaba misses 2-pt shot from 10 ft,,61-57,,
6:03.0,,,61-57,,Defensive rebound by N. Vucevic
5:58.0,,,61-59,2,D. Augustin makes 2-pt shot at rim
5:40.0,L. Markkanen misses 3-pt shot from 27 ft,,61-59,,
5:37.0,,,61-59,,Defensive rebound by D. Augustin
5:28.0,,,61-59,,D. Augustin misses 2-pt shot from 2 ft
5:25.0,,,61-59,,Offensive rebound by A. Gordon
5:17.0,,,61-59,,R. Purvis misses 3-pt shot from 22 ft
5:13.0,Defensive rebound by L. Markkanen,,61-59,,
5:11.0,Turnover by L. Markkanen (lost ball; steal by J. Isaac),,61-59,,
5:05.0,,,61-59,,A. Gordon misses 3-pt shot from 25 ft
5:01.0,Defensive rebound by L. Markkanen,,61-59,,
4:47.0,C. Payne misses 3-pt shot from 25 ft,,61-59,,
4:45.0,,,61-59,,Defensive rebound by N. Vucevic
4:36.0,,,61-59,,Shooting foul by D. Nwaba (drawn by A. Gordon)
4:36.0,,,61-60,1,A. Gordon makes free throw 1 of 2
4:36.0,,,61-60,,M. Hezonja enters the game for J. Isaac
4:36.0,,,61-60,,S. Mack enters the game for R. Purvis
4:36.0,J. Grant enters the game for D. Nwaba,,61-60,,
4:36.0,S. Kilpatrick enters the game for C. Payne,,61-60,,
4:36.0,N. Vonleh enters the game for L. Markkanen,,61-60,,
4:36.0,,,61-61,1,A. Gordon makes free throw 2 of 2
4:22.0,Shooting foul by M. Hezonja (drawn by S. Kilpatrick),,61-61,,
4:22.0,S. Kilpatrick misses free throw 1 of 2,,61-61,,
4:22.0,Offensive rebound by Team,,61-61,,
4:22.0,S. Kilpatrick makes free throw 2 of 2,1,62-61,,
4:07.0,,,62-64,3,D. Augustin makes 3-pt shot from 25 ft (assist by N. Vucevic)
3:46.0,B. Portis misses 2-pt shot from 2 ft (block by N. Vucevic),,62-64,,
3:46.0,Offensive rebound by Team,,62-64,,
3:42.0,N. Vonleh misses 2-pt shot from 13 ft,,62-64,,
3:39.0,,,62-64,,Defensive rebound by D. Augustin
3:37.0,,,62-64,,D. Augustin misses 2-pt shot from 1 ft (block by B. Portis)
3:36.0,Defensive rebound by Team,,62-64,,
3:31.0,J. Grant misses 3-pt shot from 26 ft,,62-64,,
3:31.0,,,62-64,,Defensive rebound by A. Gordon
3:25.0,,,62-64,,S. Mack misses 3-pt shot from 25 ft
3:19.0,Defensive rebound by B. Portis,,62-64,,
3:12.0,D. Valentine misses 3-pt shot from 24 ft,,62-64,,
3:12.0,Offensive rebound by Team,,62-64,,
3:12.0,,,62-64,,Personal foul by S. Mack (drawn by J. Grant)
3:12.0,R. Arcidiacono enters the game for D. Valentine,,62-64,,
3:06.0,B. Portis misses 3-pt shot from 25 ft,,62-64,,
3:03.0,,,62-64,,Defensive rebound by D. Augustin
2:49.0,,,62-64,,N. Vucevic misses 2-pt shot from 6 ft
2:46.0,Defensive rebound by N. Vonleh,,62-64,,
2:39.0,B. Portis makes 2-pt shot at rim,2,64-64,,
2:39.0,,,64-64,,Orlando full timeout
2:16.0,,,64-64,,M. Hezonja misses 3-pt shot from 26 ft
2:14.0,Defensive rebound by N. Vonleh,,64-64,,
1:58.0,B. Portis misses 2-pt shot from 3 ft (block by N. Vucevic),,64-64,,
1:54.0,,,64-64,,Defensive rebound by D. Augustin
1:51.0,,,64-64,,D. Augustin misses 2-pt shot from 1 ft
1:50.0,,,64-64,,Offensive rebound by N. Vucevic
1:45.0,,,64-64,,N. Vucevic misses 2-pt shot at rim
1:45.0,,,64-64,,Offensive rebound by N. Vucevic
1:42.0,,,64-66,2,N. Vucevic makes 2-pt shot at rim
1:35.0,N. Vonleh misses 3-pt shot from 26 ft,,64-66,,
1:31.0,,,64-66,,Defensive rebound by A. Gordon
1:25.0,,,64-68,2,A. Gordon makes 2-pt shot from 1 ft (assist by S. Mack)
1:25.0,,,64-68,,Shooting foul by B. Portis (drawn by A. Gordon)
1:25.0,,,64-68,,J. Artis enters the game for D. Augustin
1:25.0,L. Markkanen enters the game for N. Vonleh,,64-68,,
1:25.0,,,64-69,1,A. Gordon makes free throw 1 of 1
1:14.0,J. Grant misses 2-pt shot from 1 ft,,64-69,,
1:14.0,,,64-69,,Defensive rebound by J. Artis
1:04.0,,,64-69,,Turnover by S. Mack (bad pass; steal by L. Markkanen)
0:55.0,S. Kilpatrick misses 2-pt shot from 6 ft,,64-69,,
0:51.0,Offensive rebound by B. Portis,,64-69,,
0:51.0,B. Portis misses 2-pt shot at rim,,64-69,,
0:49.0,,,64-69,,Defensive rebound by A. Gordon
0:46.0,,,64-69,,Turnover by A. Gordon (lost ball; steal by R. Arcidiacono)
0:43.0,Shooting foul by N. Vucevic (drawn by S. Kilpatrick),,64-69,,
0:43.0,S. Kilpatrick makes free throw 1 of 2,1,65-69,,
0:43.0,,,65-69,,K. Birch enters the game for A. Gordon
0:43.0,S. Kilpatrick makes free throw 2 of 2,1,66-69,,
0:20.0,,,66-69,,K. Birch misses 2-pt shot from 5 ft
0:17.0,Defensive rebound by B. Portis,,66-69,,
0:02.0,B. Portis misses 2-pt shot from 7 ft (block by M. Hezonja),,66-69,,
0:02.0,,,66-69,,Defensive rebound by J. Artis
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,66-71,2,K. Birch makes 2-pt shot at rim (assist by B. Biyombo)
11:17.0,R. Arcidiacono makes 3-pt shot from 23 ft (assist by J. Grant),3,69-71,,
10:58.0,,,69-71,,Turnover by M. Hezonja (bad pass; steal by R. Arcidiacono)
10:55.0,Turnover by R. Arcidiacono (bad pass),,69-71,,
10:38.0,,,69-71,,S. Mack misses 3-pt shot from 26 ft
10:34.0,,,69-71,,Offensive rebound by K. Birch
10:30.0,,,69-71,,Turnover by J. Artis (lost ball; steal by J. Grant)
10:30.0,,,69-71,,Personal foul by S. Mack (drawn by S. Kilpatrick)
10:14.0,Shooting foul by B. Biyombo (drawn by S. Kilpatrick),,69-71,,
10:14.0,S. Kilpatrick makes free throw 1 of 2,1,70-71,,
10:14.0,S. Kilpatrick makes free throw 2 of 2,1,71-71,,
10:01.0,,,71-71,,M. Hezonja misses 3-pt shot from 27 ft
9:56.0,Defensive rebound by N. Vonleh,,71-71,,
9:50.0,N. Vonleh makes 3-pt shot from 26 ft (assist by R. Arcidiacono),3,74-71,,
9:26.0,,,74-71,,S. Mack misses 2-pt shot from 5 ft
9:23.0,Defensive rebound by J. Grant,,74-71,,
9:11.0,J. Grant makes 2-pt shot from 14 ft,2,76-71,,
9:10.0,,,76-71,,Orlando full timeout
9:10.0,,,76-71,,A. Gordon enters the game for K. Birch
8:55.0,,,76-71,,J. Artis misses 3-pt shot from 22 ft
8:49.0,Defensive rebound by B. Portis,,76-71,,
8:36.0,J. Grant makes 2-pt shot from 18 ft,2,78-71,,
8:22.0,,,78-71,,A. Gordon misses 2-pt shot from 3 ft (block by N. Vonleh)
8:22.0,,,78-71,,Offensive rebound by Team
8:22.0,C. Felicio enters the game for B. Portis,,78-71,,
8:12.0,,,78-71,,B. Biyombo misses 2-pt shot from 6 ft
8:10.0,Defensive rebound by N. Vonleh,,78-71,,
8:07.0,,,78-71,,Violation by M. Hezonja (kicked ball)
8:00.0,S. Kilpatrick misses 3-pt shot from 27 ft,,78-71,,
7:56.0,,,78-71,,Defensive rebound by M. Hezonja
7:46.0,,,78-71,,B. Biyombo misses 2-pt shot from 7 ft
7:43.0,Defensive rebound by C. Felicio,,78-71,,
7:21.0,J. Grant misses 3-pt shot from 25 ft,,78-71,,
7:19.0,,,78-71,,Defensive rebound by S. Mack
7:03.0,,,78-71,,A. Gordon misses 3-pt shot from 25 ft
7:01.0,Defensive rebound by N. Vonleh,,78-71,,
6:48.0,S. Kilpatrick misses 3-pt shot from 26 ft,,78-71,,
6:45.0,Offensive rebound by N. Vonleh,,78-71,,
6:44.0,Shooting foul by B. Biyombo (drawn by S. Kilpatrick),,78-71,,
6:44.0,S. Kilpatrick makes free throw 1 of 2,1,79-71,,
6:44.0,,,79-71,,D. Augustin enters the game for J. Artis
6:44.0,,,79-71,,R. Purvis enters the game for S. Mack
6:44.0,,,79-71,,N. Vucevic enters the game for B. Biyombo
6:44.0,S. Kilpatrick makes free throw 2 of 2,1,80-71,,
6:22.0,,,80-71,,N. Vucevic misses 2-pt shot from 13 ft
