time,Minnesota,pts.away,score,pts.home,Dallas
11:22.0,,,16-23,,Y. Ferrell misses 2-pt shot from 9 ft
11:22.0,Defensive rebound by Team,,16-23,,
10:57.0,K. Towns makes 2-pt shot from 5 ft (assist by T. Jones),2,18-23,,
10:43.0,,,18-25,2,D. McDermott makes 2-pt shot from 8 ft (assist by Y. Ferrell)
10:19.0,J. Crawford misses 3-pt shot from 29 ft,,18-25,,
10:15.0,,,18-25,,Defensive rebound by M. Kleber
10:05.0,,,18-25,,M. Kleber misses 3-pt shot from 22 ft
10:01.0,Defensive rebound by K. Towns,,18-25,,
9:54.0,T. Jones makes 2-pt shot from 7 ft,2,20-25,,
9:37.0,,,20-25,,D. McDermott misses 2-pt shot from 20 ft
9:35.0,Defensive rebound by K. Towns,,20-25,,
9:26.0,K. Towns misses 3-pt shot from 25 ft,,20-25,,
9:22.0,,,20-25,,Defensive rebound by D. McDermott
9:12.0,,,20-25,,Turnover by M. Kleber (bad pass)
9:12.0,J. Teague enters the game for T. Jones,,20-25,,
9:01.0,G. Dieng misses 2-pt shot from 8 ft (block by M. Kleber),,20-25,,
8:57.0,,,20-25,,Defensive rebound by N. Noel
8:52.0,,,20-25,,D. McDermott misses 2-pt shot from 16 ft
8:49.0,Defensive rebound by G. Dieng,,20-25,,
8:41.0,J. Crawford makes 2-pt shot from 16 ft,2,22-25,,
8:21.0,,,22-25,,D. McDermott misses 2-pt shot at rim
8:20.0,Defensive rebound by N. Bjelica,,22-25,,
8:11.0,,,22-25,,Personal foul by A. Harrison (drawn by K. Towns)
8:11.0,T. Gibson enters the game for G. Dieng,,22-25,,
8:01.0,K. Towns misses 2-pt shot from 9 ft,,22-25,,
7:57.0,,,22-25,,Defensive rebound by A. Harrison
7:53.0,,,22-28,3,Y. Ferrell makes 3-pt shot from 25 ft (assist by A. Harrison)
7:36.0,N. Bjelica misses 2-pt shot from 6 ft (block by M. Kleber),,22-28,,
7:34.0,,,22-28,,Defensive rebound by M. Kleber
7:25.0,,,22-31,3,D. McDermott makes 3-pt shot from 25 ft (assist by M. Kleber)
7:17.0,Minnesota full timeout,,22-31,,
7:17.0,,,22-31,,D. Nowitzki enters the game for M. Kleber
7:17.0,A. Wiggins enters the game for N. Bjelica,,22-31,,
7:14.0,,,22-31,,Personal foul by N. Noel (drawn by K. Towns)
7:03.0,J. Teague makes 3-pt shot from 24 ft (assist by A. Wiggins),3,25-31,,
6:48.0,,,25-31,,A. Harrison misses 2-pt shot from 15 ft
6:46.0,Defensive rebound by T. Gibson,,25-31,,
6:38.0,,,25-31,,Personal foul by Y. Ferrell (drawn by J. Teague)
6:38.0,,,25-31,,D. Smith enters the game for Y. Ferrell
6:38.0,,,25-31,,H. Barnes enters the game for D. McDermott
6:31.0,A. Wiggins makes 2-pt shot from 16 ft,2,27-31,,
6:11.0,,,27-31,,Turnover by H. Barnes (bad pass; steal by A. Wiggins)
5:58.0,A. Wiggins misses 3-pt shot from 25 ft,,27-31,,
5:55.0,,,27-31,,Defensive rebound by A. Harrison
5:33.0,,,27-33,2,N. Noel makes 2-pt shot from 13 ft (assist by D. Smith)
5:19.0,Shooting foul by D. Smith (drawn by J. Teague),,27-33,,
5:19.0,J. Teague makes free throw 1 of 2,1,28-33,,
5:19.0,,,28-33,,D. Finney-Smith enters the game for A. Harrison
5:19.0,J. Teague makes free throw 2 of 2,1,29-33,,
5:07.0,,,29-36,3,D. Smith makes 3-pt shot from 24 ft (assist by H. Barnes)
4:55.0,T. Gibson makes 2-pt shot from 5 ft (assist by J. Teague),2,31-36,,
4:55.0,Shooting foul by D. Nowitzki (drawn by T. Gibson),,31-36,,
4:55.0,T. Gibson misses free throw 1 of 1,,31-36,,
4:55.0,,,31-36,,Defensive rebound by N. Noel
4:41.0,,,31-36,,H. Barnes misses 2-pt shot from 6 ft (block by A. Wiggins)
4:39.0,Defensive rebound by J. Teague,,31-36,,
4:39.0,,,31-36,,Personal foul by H. Barnes (drawn by J. Teague)
4:39.0,J. Teague makes free throw 1 of 2,1,32-36,,
4:39.0,N. Bjelica enters the game for J. Crawford,,32-36,,
4:39.0,J. Teague makes free throw 2 of 2,1,33-36,,
4:27.0,,,33-38,2,D. Smith makes 2-pt shot from 6 ft
4:16.0,Turnover by J. Teague (bad pass; steal by H. Barnes),,33-38,,
4:06.0,,,33-38,,D. Smith misses 3-pt shot from 26 ft
4:03.0,Defensive rebound by K. Towns,,33-38,,
4:00.0,,,33-38,,Personal block foul by D. Smith (drawn by J. Teague)
4:00.0,J. Teague makes free throw 1 of 2,1,34-38,,
4:00.0,J. Teague makes free throw 2 of 2,1,35-38,,
3:44.0,Personal foul by J. Teague (drawn by D. Smith),,35-38,,
3:44.0,T. Jones enters the game for J. Teague,,35-38,,
3:38.0,,,35-38,,D. Nowitzki misses 2-pt shot from 18 ft
3:35.0,,,35-38,,Offensive rebound by N. Noel
3:29.0,Personal block foul by T. Gibson (drawn by D. Smith),,35-38,,
3:23.0,,,35-38,,Offensive charge foul by D. Smith (drawn by T. Jones)
3:23.0,,,35-38,,Turnover by D. Smith (offensive foul)
3:23.0,,,35-38,,Y. Ferrell enters the game for D. Smith
3:10.0,Turnover by T. Jones (bad pass),,35-38,,
2:53.0,Personal block foul by A. Wiggins (drawn by H. Barnes),,35-38,,
2:53.0,,,35-38,,Dallas full timeout
2:42.0,,,35-38,,Y. Ferrell misses 2-pt shot from 17 ft
2:39.0,Defensive rebound by K. Towns,,35-38,,
2:18.0,T. Gibson misses 3-pt shot from 22 ft,,35-38,,
2:15.0,,,35-38,,Defensive rebound by N. Noel
2:04.0,,,35-41,3,H. Barnes makes 3-pt shot from 26 ft (assist by D. Nowitzki)
1:46.0,A. Wiggins misses 2-pt shot from 9 ft,,35-41,,
1:46.0,,,35-41,,Defensive rebound by D. Finney-Smith
1:44.0,,,35-41,,Turnover by D. Finney-Smith (traveling)
1:44.0,,,35-41,,D. Powell enters the game for N. Noel
1:44.0,J. Crawford enters the game for N. Bjelica,,35-41,,
1:41.0,,,35-41,,Personal foul by D. Powell (drawn by K. Towns)
1:41.0,K. Towns makes free throw 1 of 2,1,36-41,,
1:41.0,,,36-41,,M. Kleber enters the game for D. Powell
1:41.0,K. Towns makes free throw 2 of 2,1,37-41,,
1:26.0,,,37-43,2,Y. Ferrell makes 2-pt shot from 18 ft
1:13.0,T. Jones misses 3-pt shot from 23 ft,,37-43,,
1:09.0,Offensive rebound by K. Towns,,37-43,,
0:59.0,K. Towns misses 3-pt shot from 24 ft,,37-43,,
0:57.0,,,37-43,,Defensive rebound by D. Nowitzki
0:48.0,,,37-43,,Turnover by D. Finney-Smith (bad pass; steal by J. Crawford)
0:43.0,J. Crawford makes 2-pt shot from 13 ft,2,39-43,,
0:27.0,,,39-46,3,D. Nowitzki makes 3-pt shot from 25 ft (assist by H. Barnes)
0:07.0,A. Wiggins misses 2-pt shot from 14 ft,,39-46,,
0:04.0,Offensive rebound by K. Towns,,39-46,,
0:02.0,J. Crawford makes 3-pt shot from 22 ft (assist by K. Towns),3,42-46,,
0:00.0,,,42-46,,Turnover by M. Kleber (bad pass; steal by K. Towns)
0:00.0,K. Towns makes 2-pt shot from 10 ft,2,44-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,44-48,2,H. Barnes makes 2-pt shot from 17 ft (assist by D. Smith)
11:32.0,A. Wiggins misses 2-pt shot from 19 ft,,44-48,,
11:29.0,,,44-48,,Defensive rebound by D. Smith
11:14.0,,,44-50,2,H. Barnes makes 2-pt shot from 22 ft
11:01.0,K. Towns misses 3-pt shot from 25 ft,,44-50,,
11:01.0,,,44-50,,Defensive rebound by Team
10:43.0,,,44-50,,H. Barnes misses 2-pt shot from 14 ft
10:42.0,Defensive rebound by Team,,44-50,,
10:26.0,A. Wiggins misses 3-pt shot from 25 ft,,44-50,,
10:23.0,,,44-50,,Defensive rebound by D. Powell
10:13.0,,,44-50,,Turnover by D. Smith (bad pass; steal by A. Wiggins)
10:09.0,K. Towns makes 2-pt shot at rim (assist by J. Teague),2,46-50,,
9:42.0,,,46-50,,H. Barnes misses 2-pt shot from 16 ft
9:39.0,Defensive rebound by K. Towns,,46-50,,
9:22.0,Shooting foul by D. Powell (drawn by K. Towns),,46-50,,
9:22.0,K. Towns makes free throw 1 of 2,1,47-50,,
9:22.0,K. Towns makes free throw 2 of 2,1,48-50,,
9:07.0,,,48-53,3,D. Finney-Smith makes 3-pt shot from 23 ft (assist by D. Nowitzki)
8:58.0,J. Teague makes 2-pt shot from 1 ft,2,50-53,,
8:45.0,Personal foul by K. Towns (drawn by D. Smith),,50-53,,
8:41.0,,,50-53,,Turnover by D. Nowitzki (lost ball; steal by T. Gibson)
8:37.0,T. Gibson makes 2-pt shot at rim,2,52-53,,
8:19.0,,,52-53,,D. Smith misses 2-pt shot from 22 ft
8:16.0,Defensive rebound by N. Bjelica,,52-53,,
7:58.0,Turnover by J. Teague (bad pass),,52-53,,
7:40.0,,,52-53,,D. Finney-Smith misses 3-pt shot from 22 ft
7:37.0,Defensive rebound by J. Teague,,52-53,,
7:27.0,,,52-53,,Personal foul by H. Barnes (drawn by A. Wiggins)
7:21.0,A. Wiggins makes 2-pt shot from 3 ft,2,54-53,,
7:05.0,,,54-55,2,D. Smith makes 2-pt shot from 3 ft
6:56.0,A. Wiggins misses 2-pt shot from 19 ft,,54-55,,
6:54.0,,,54-55,,Defensive rebound by D. Finney-Smith
6:45.0,,,54-55,,D. Nowitzki misses 3-pt shot from 25 ft
6:41.0,Defensive rebound by T. Gibson,,54-55,,
6:20.0,T. Gibson makes 2-pt shot from 1 ft,2,56-55,,
6:20.0,,,56-55,,Dallas full timeout
6:06.0,,,56-55,,Turnover by D. Powell (bad pass; steal by A. Wiggins)
5:43.0,K. Towns misses 2-pt shot from 7 ft,,56-55,,
5:43.0,,,56-55,,Defensive rebound by Team
5:43.0,Loose ball foul by K. Towns (drawn by D. Powell),,56-55,,
5:30.0,,,56-55,,D. Powell misses 2-pt shot from 3 ft (block by K. Towns)
5:29.0,,,56-55,,Offensive rebound by D. Powell
5:28.0,Personal foul by K. Towns (drawn by D. Powell),,56-55,,
5:14.0,,,56-55,,D. Smith misses 2-pt shot from 20 ft
5:11.0,Defensive rebound by T. Gibson,,56-55,,
4:59.0,J. Teague misses 2-pt shot from 9 ft,,56-55,,
4:57.0,,,56-55,,Defensive rebound by H. Barnes
4:51.0,,,56-55,,H. Barnes misses 3-pt shot from 25 ft
4:48.0,Defensive rebound by J. Teague,,56-55,,
4:41.0,,,56-55,,Y. Ferrell enters the game for D. Smith
4:41.0,J. Crawford enters the game for N. Bjelica,,56-55,,
4:30.0,K. Towns misses 2-pt shot from 1 ft,,56-55,,
4:30.0,,,56-55,,Defensive rebound by Team
4:09.0,,,56-55,,Y. Ferrell misses 2-pt shot from 18 ft
4:06.0,Defensive rebound by T. Gibson,,56-55,,
3:49.0,A. Wiggins makes 2-pt shot from 18 ft,2,58-55,,
3:24.0,,,58-58,3,D. Powell makes 3-pt shot from 23 ft (assist by D. Finney-Smith)
3:10.0,J. Teague makes 3-pt shot from 25 ft,3,61-58,,
2:56.0,,,61-58,,Y. Ferrell misses 2-pt shot from 5 ft
2:55.0,,,61-58,,Offensive rebound by D. Powell
2:50.0,,,61-60,2,D. Finney-Smith makes 2-pt shot at rim (assist by D. Powell)
2:47.0,Minnesota full timeout,,61-60,,
2:47.0,T. Jones enters the game for J. Teague,,61-60,,
2:28.0,T. Jones makes 3-pt shot from 22 ft (assist by T. Gibson),3,64-60,,
2:11.0,,,64-60,,D. Nowitzki misses 2-pt shot from 19 ft
2:09.0,Defensive rebound by J. Crawford,,64-60,,
1:59.0,J. Crawford makes 2-pt shot from 19 ft,2,66-60,,
1:39.0,,,66-60,,Y. Ferrell misses 2-pt shot from 12 ft
1:37.0,,,66-60,,Offensive rebound by D. Powell
1:37.0,,,66-62,2,D. Powell makes 2-pt shot at rim
1:21.0,J. Crawford misses 2-pt shot from 15 ft,,66-62,,
1:19.0,,,66-62,,Defensive rebound by Y. Ferrell
1:06.0,,,66-62,,D. Finney-Smith misses 2-pt shot from 6 ft
1:03.0,Defensive rebound by K. Towns,,66-62,,
0:50.0,T. Gibson misses 2-pt shot from 16 ft,,66-62,,
0:49.0,,,66-62,,Defensive rebound by Y. Ferrell
0:35.0,,,66-62,,D. Finney-Smith misses 3-pt shot from 23 ft
0:34.0,,,66-62,,Offensive rebound by H. Barnes
0:34.0,,,66-64,2,H. Barnes makes 2-pt shot at rim
0:27.0,,,66-64,,Shooting block foul by Y. Ferrell (drawn by T. Jones)
0:27.0,T. Jones makes free throw 1 of 2,1,67-64,,
0:27.0,,,67-64,,M. Kleber enters the game for D. Powell
0:27.0,,,67-64,,A. Harrison enters the game for D. Finney-Smith
0:27.0,,,67-64,,N. Noel enters the game for D. Nowitzki
0:27.0,G. Dieng enters the game for K. Towns,,67-64,,
0:27.0,T. Jones misses free throw 2 of 2,,67-64,,
0:24.0,,,67-64,,Defensive rebound by N. Noel
0:08.0,,,67-64,,Y. Ferrell misses 2-pt shot from 11 ft
0:05.0,Defensive rebound by T. Jones,,67-64,,
0:01.0,J. Crawford misses 3-pt shot from 30 ft,,67-64,,
0:01.0,,,67-64,,Defensive rebound by N. Noel
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,Turnover by T. Jones (bad pass),,67-64,,
11:35.0,,,67-64,,H. Barnes misses 2-pt shot from 2 ft (block by N. Bjelica)
11:32.0,Defensive rebound by G. Dieng,,67-64,,
11:17.0,Turnover by T. Jones (bad pass; steal by Y. Ferrell),,67-64,,
11:17.0,Personal take foul by N. Bjelica (drawn by Y. Ferrell),,67-64,,
11:17.0,A. Wiggins enters the game for G. Dieng,,67-64,,
11:02.0,,,67-66,2,H. Barnes makes 2-pt shot from 1 ft
10:42.0,J. Crawford makes 2-pt shot from 22 ft,2,69-66,,
10:24.0,,,69-66,,Shooting foul by A. Wiggins (drawn by H. Barnes)
10:24.0,,,69-67,1,H. Barnes makes free throw 1 of 2
10:24.0,,,69-68,1,H. Barnes makes free throw 2 of 2
10:06.0,J. Crawford makes 3-pt shot from 27 ft,3,72-68,,
9:43.0,,,72-68,,Y. Ferrell misses 3-pt shot from 25 ft
9:39.0,Defensive rebound by K. Towns,,72-68,,
9:28.0,J. Crawford makes 2-pt shot from 16 ft,2,74-68,,
9:27.0,,,74-68,,Dallas full timeout
9:15.0,,,74-68,,H. Barnes misses 2-pt shot from 18 ft
9:12.0,Defensive rebound by A. Wiggins,,74-68,,
8:56.0,N. Bjelica misses 2-pt shot from 5 ft (block by M. Kleber),,74-68,,
8:53.0,,,74-68,,Defensive rebound by H. Barnes
8:49.0,,,74-70,2,A. Harrison makes 2-pt shot from 1 ft
8:26.0,K. Towns makes 3-pt shot from 22 ft (assist by A. Wiggins),3,77-70,,
8:04.0,,,77-70,,A. Harrison misses 3-pt shot from 22 ft
8:01.0,Defensive rebound by K. Towns,,77-70,,
7:43.0,N. Bjelica makes 3-pt shot from 29 ft (assist by A. Wiggins),3,80-70,,
7:28.0,,,80-73,3,M. Kleber makes 3-pt shot from 22 ft (assist by A. Harrison)
7:06.0,J. Crawford makes 2-pt shot from 17 ft,2,82-73,,
7:05.0,,,82-73,,Dallas full timeout
7:05.0,,,82-73,,D. McDermott enters the game for A. Harrison
7:05.0,,,82-73,,D. Smith enters the game for H. Barnes
6:54.0,,,82-73,,Y. Ferrell misses 3-pt shot from 25 ft
6:50.0,Defensive rebound by A. Wiggins,,82-73,,
6:38.0,N. Bjelica misses 2-pt shot from 4 ft,,82-73,,
6:37.0,Offensive rebound by N. Bjelica,,82-73,,
6:31.0,J. Crawford misses 3-pt shot from 23 ft,,82-73,,
6:28.0,,,82-73,,Defensive rebound by N. Noel
6:17.0,,,82-73,,D. Smith misses 2-pt shot from 7 ft
6:14.0,Defensive rebound by K. Towns,,82-73,,
5:58.0,K. Towns misses 3-pt shot from 22 ft,,82-73,,
5:55.0,,,82-73,,Defensive rebound by M. Kleber
5:32.0,,,82-73,,M. Kleber misses 3-pt shot from 25 ft
5:31.0,,,82-73,,Offensive rebound by Team
5:21.0,,,82-73,,Turnover by D. McDermott (bad pass; steal by J. Crawford)
5:06.0,N. Bjelica makes 3-pt shot from 28 ft (assist by J. Crawford),3,85-73,,
4:53.0,,,85-75,2,N. Noel makes 2-pt shot from 11 ft (assist by D. Smith)
4:28.0,A. Wiggins misses 2-pt shot from 11 ft,,85-75,,
4:26.0,Offensive rebound by K. Towns,,85-75,,
4:25.0,K. Towns misses 2-pt shot at rim,,85-75,,
4:25.0,,,85-75,,Defensive rebound by N. Noel
4:12.0,,,85-77,2,Y. Ferrell makes 2-pt shot from 18 ft (assist by N. Noel)
3:49.0,K. Towns makes 2-pt shot from 18 ft (assist by T. Jones),2,87-77,,
3:27.0,,,87-79,2,D. Smith makes 2-pt shot from 1 ft
3:09.0,K. Towns makes 2-pt shot at rim (assist by T. Jones),2,89-79,,
2:48.0,,,89-81,2,M. Kleber makes 2-pt shot from 11 ft (assist by D. Smith)
2:28.0,N. Bjelica misses 3-pt shot from 27 ft,,89-81,,
2:25.0,,,89-81,,Defensive rebound by N. Noel
2:09.0,,,89-81,,D. Smith misses 2-pt shot from 3 ft (block by A. Wiggins)
2:06.0,Defensive rebound by J. Crawford,,89-81,,
1:51.0,J. Crawford misses 2-pt shot from 3 ft (block by M. Kleber),,89-81,,
1:48.0,,,89-81,,Defensive rebound by Y. Ferrell
1:44.0,,,89-81,,Shooting foul by N. Bjelica (drawn by M. Kleber)
1:44.0,,,89-82,1,M. Kleber makes free throw 1 of 2
1:44.0,,,89-83,1,M. Kleber makes free throw 2 of 2
1:30.0,A. Wiggins misses 2-pt shot from 11 ft,,89-83,,
1:29.0,,,89-83,,Defensive rebound by N. Noel
1:29.0,T. Gibson enters the game for N. Bjelica,,89-83,,
1:13.0,,,89-85,2,Y. Ferrell makes 2-pt shot from 21 ft
1:05.0,Minnesota full timeout,,89-85,,
1:05.0,N. Bjelica enters the game for T. Gibson,,89-85,,
0:50.0,J. Crawford makes 2-pt shot from 19 ft,2,91-85,,
0:41.0,,,91-87,2,D. Smith makes 2-pt shot from 1 ft
0:31.0,Turnover by J. Crawford (lost ball; steal by Y. Ferrell),,91-87,,
0:28.0,,,91-89,2,D. Smith makes 2-pt shot from 1 ft
0:28.0,Minnesota full timeout,,91-89,,
0:09.0,J. Crawford makes 2-pt shot from 16 ft,2,93-89,,
0:09.0,,,93-89,,Dallas full timeout
0:09.0,,,93-89,,D. Powell enters the game for N. Noel
0:09.0,T. Gibson enters the game for J. Crawford,,93-89,,
0:06.0,,,93-89,,M. Kleber misses 3-pt shot from 25 ft
0:03.0,Defensive rebound by A. Wiggins,,93-89,,
0:03.0,Turnover by A. Wiggins (step out of bounds),,93-89,,
0:01.0,,,93-92,2,Y. Ferrell makes 3-pt shot from 23 ft (assist by D. Smith)
0:00.0,,,93-92,,Personal take foul by Y. Ferrell (drawn by N. Bjelica)
0:00.0,J. Crawford enters the game for T. Gibson,,93-92,,
0:00.0,,,93-92,,A. Harrison enters the game for D. McDermott
