time,New Orleans,pts.away,score,pts.home,Memphis
6:10.0,,,15-14,,Defensive rebound by M. Gasol
5:57.0,,,15-14,,M. Chalmers misses 2-pt shot from 14 ft
5:54.0,Defensive rebound by C. Diallo,,15-14,,
5:46.0,,,15-14,,Personal foul by J. Ennis (drawn by E. Moore)
5:32.0,R. Rondo makes 3-pt shot from 23 ft,3,18-14,,
5:19.0,,,18-17,3,M. Gasol makes 3-pt shot from 26 ft (assist by A. Harrison)
5:10.0,Turnover by D. Cousins (bad pass; steal by M. Gasol),,18-17,,
5:02.0,,,18-17,,A. Harrison misses 2-pt shot from 20 ft
4:59.0,Defensive rebound by C. Diallo,,18-17,,
4:50.0,R. Rondo makes 2-pt shot from 13 ft,2,20-17,,
4:30.0,,,20-19,2,M. Gasol makes 2-pt shot at rim
4:19.0,Shooting foul by M. Gasol (drawn by D. Cousins),,20-19,,
4:19.0,D. Cousins makes free throw 1 of 3,1,21-19,,
4:19.0,D. Cousins makes free throw 2 of 3,1,22-19,,
4:19.0,,,22-19,,W. Selden enters the game for A. Harrison
4:19.0,,,22-19,,D. Davis enters the game for M. Gasol
4:19.0,D. Cousins makes free throw 3 of 3,1,23-19,,
4:03.0,,,23-19,,Shooting foul by C. Diallo (drawn by J. Ennis)
4:03.0,,,23-20,1,J. Ennis makes free throw 1 of 2
4:03.0,,,23-21,1,J. Ennis makes free throw 2 of 2
3:53.0,J. Holiday makes 2-pt shot from 22 ft (assist by D. Cousins),2,25-21,,
3:41.0,,,25-21,,Shooting foul by R. Rondo (drawn by J. Green)
3:41.0,,,25-22,1,J. Green makes free throw 1 of 2
3:41.0,,,25-23,1,J. Green makes free throw 2 of 2
3:35.0,R. Rondo makes 2-pt shot at rim (assist by J. Holiday),2,27-23,,
3:23.0,,,27-23,,W. Selden misses 3-pt shot from 25 ft
3:20.0,Defensive rebound by D. Cousins,,27-23,,
3:11.0,Shooting foul by M. Chalmers (drawn by R. Rondo),,27-23,,
3:11.0,R. Rondo makes free throw 1 of 2,1,28-23,,
3:11.0,,,28-23,,J. Martin enters the game for J. Green
3:11.0,D. Miller enters the game for E. Moore,,28-23,,
3:11.0,R. Rondo makes free throw 2 of 2,1,29-23,,
2:58.0,,,29-23,,D. Davis misses 2-pt shot from 7 ft
2:55.0,Defensive rebound by D. Cousins,,29-23,,
2:45.0,D. Miller makes 3-pt shot from 25 ft (assist by R. Rondo),3,32-23,,
2:23.0,,,32-23,,Turnover by M. Chalmers (out of bounds lost ball)
2:23.0,New Orleans full timeout,,32-23,,
2:23.0,I. Clark enters the game for R. Rondo,,32-23,,
2:23.0,,,32-23,,Personal foul by D. Davis (drawn by D. Cousins)
2:23.0,D. Cousins makes free throw 1 of 2,1,33-23,,
2:23.0,D. Cousins makes free throw 2 of 2,1,34-23,,
2:04.0,,,34-25,2,W. Selden makes 2-pt shot from 7 ft
1:41.0,Shooting foul by D. Davis (drawn by D. Cousins),,34-25,,
1:41.0,D. Cousins makes free throw 1 of 2,1,35-25,,
1:41.0,,,35-25,,B. Wright enters the game for D. Davis
1:41.0,D. Cousins misses free throw 2 of 2,,35-25,,
1:38.0,,,35-25,,Defensive rebound by J. Martin
1:24.0,,,35-27,2,M. Chalmers makes 2-pt shot from 1 ft
1:12.0,Shooting foul by J. Martin (drawn by C. Diallo),,35-27,,
1:12.0,C. Diallo misses free throw 1 of 2,,35-27,,
1:12.0,Offensive rebound by Team,,35-27,,
1:12.0,J. Nelson enters the game for D. Cousins,,35-27,,
1:12.0,O. Asik enters the game for J. Holiday,,35-27,,
1:12.0,C. Diallo makes free throw 2 of 2,1,36-27,,
0:51.0,,,36-27,,Shooting foul by C. Diallo (drawn by W. Selden)
0:51.0,,,36-27,,W. Selden misses free throw 1 of 2
0:51.0,,,36-27,,Offensive rebound by Team
0:51.0,D. Liggins enters the game for C. Diallo,,36-27,,
0:51.0,,,36-27,,W. Selden misses free throw 2 of 2
0:47.0,Defensive rebound by J. Nelson,,36-27,,
0:43.0,J. Nelson misses 2-pt shot from 16 ft,,36-27,,
0:41.0,,,36-27,,Defensive rebound by M. Chalmers
0:38.0,,,36-29,2,B. Wright makes 2-pt shot at rim (assist by M. Chalmers)
0:18.0,I. Clark makes 2-pt shot from 1 ft (assist by J. Nelson),2,38-29,,
0:01.0,,,38-29,,M. Chalmers misses 2-pt shot from 6 ft
0:01.0,Defensive rebound by O. Asik,,38-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,D. Miller misses 3-pt shot from 25 ft,,38-29,,
11:46.0,,,38-29,,Defensive rebound by B. Wright
11:29.0,,,38-29,,B. Wright misses 2-pt shot from 11 ft
11:27.0,,,38-29,,Offensive rebound by B. Wright
11:15.0,,,38-29,,T. Evans misses 2-pt shot from 10 ft
11:13.0,Defensive rebound by O. Asik,,38-29,,
10:59.0,I. Clark makes 2-pt shot from 22 ft,2,40-29,,
10:49.0,Personal foul by D. Liggins (drawn by T. Evans),,40-29,,
10:40.0,,,40-32,3,T. Evans makes 3-pt shot from 26 ft (assist by J. Martin)
10:15.0,D. Liggins misses 2-pt shot from 22 ft,,40-32,,
10:13.0,,,40-32,,Defensive rebound by J. Martin
10:04.0,,,40-32,,Shooting foul by D. Miller (drawn by J. Martin)
10:04.0,,,40-33,1,J. Martin makes free throw 1 of 2
10:04.0,,,40-34,1,J. Martin makes free throw 2 of 2
9:44.0,O. Asik misses 2-pt shot from 1 ft (block by J. Martin),,40-34,,
9:41.0,,,40-34,,Defensive rebound by M. Chalmers
9:38.0,Violation by D. Miller (kicked ball),,40-34,,
9:26.0,,,40-36,2,T. Evans makes 2-pt shot from 1 ft
9:26.0,,,40-36,,Shooting foul by O. Asik (drawn by T. Evans)
9:26.0,,,40-37,1,T. Evans makes free throw 1 of 1
9:19.0,,,40-37,,Personal foul by D. Brooks (drawn by I. Clark)
9:19.0,D. Cousins enters the game for O. Asik,,40-37,,
9:19.0,D. Cunningham enters the game for D. Miller,,40-37,,
9:15.0,I. Clark misses 3-pt shot from 28 ft,,40-37,,
9:11.0,,,40-37,,Defensive rebound by J. Martin
9:03.0,,,40-37,,T. Evans misses 3-pt shot from 26 ft
8:58.0,,,40-37,,Offensive rebound by B. Wright
8:56.0,,,40-37,,J. Martin misses 2-pt shot from 20 ft
8:54.0,Defensive rebound by J. Nelson,,40-37,,
8:37.0,D. Cunningham makes 2-pt shot from 20 ft (assist by D. Liggins),2,42-37,,
8:24.0,,,42-40,3,M. Chalmers makes 3-pt shot from 25 ft (assist by T. Evans)
8:08.0,,,42-40,,A. Harrison enters the game for J. Martin
8:08.0,,,42-40,,J. Green enters the game for M. Chalmers
8:08.0,,,42-40,,M. Gasol enters the game for B. Wright
7:56.0,D. Cousins misses 2-pt shot from 17 ft,,42-40,,
7:52.0,Offensive rebound by D. Liggins,,42-40,,
7:52.0,D. Liggins makes 2-pt shot at rim,2,44-40,,
7:35.0,,,44-42,2,T. Evans makes 2-pt shot from 1 ft (assist by M. Gasol)
7:25.0,D. Cousins misses 2-pt shot from 6 ft (block by J. Green),,44-42,,
7:22.0,,,44-42,,Defensive rebound by J. Green
7:20.0,,,44-44,2,J. Green makes 2-pt shot from 1 ft (assist by D. Brooks)
7:02.0,D. Cunningham misses 2-pt shot from 12 ft,,44-44,,
6:59.0,,,44-44,,Defensive rebound by A. Harrison
6:54.0,,,44-44,,D. Brooks misses 3-pt shot from 23 ft
6:51.0,Defensive rebound by I. Clark,,44-44,,
6:37.0,I. Clark misses 2-pt shot from 5 ft,,44-44,,
6:35.0,,,44-44,,Defensive rebound by A. Harrison
6:20.0,,,44-44,,T. Evans misses 2-pt shot at rim
6:17.0,,,44-44,,Offensive rebound by T. Evans
6:17.0,,,44-44,,T. Evans misses 2-pt shot at rim
6:17.0,,,44-44,,Offensive rebound by J. Green
6:16.0,,,44-44,,J. Green misses 2-pt shot from 1 ft
6:16.0,,,44-44,,Offensive rebound by J. Green
6:16.0,,,44-44,,Shooting foul by D. Cunningham (drawn by J. Green)
6:16.0,,,44-44,,Memphis full timeout
6:16.0,J. Holiday enters the game for I. Clark,,44-44,,
6:16.0,E. Moore enters the game for J. Nelson,,44-44,,
6:16.0,R. Rondo enters the game for D. Liggins,,44-44,,
6:16.0,,,44-45,1,J. Green makes free throw 1 of 2
6:16.0,,,44-46,1,J. Green makes free throw 2 of 2
6:00.0,E. Moore makes 2-pt shot from 8 ft (assist by R. Rondo),2,46-46,,
5:35.0,,,46-46,,Turnover by A. Harrison (bad pass; steal by D. Cunningham)
5:27.0,R. Rondo misses 3-pt shot from 23 ft,,46-46,,
5:24.0,,,46-46,,Defensive rebound by A. Harrison
5:19.0,,,46-48,2,A. Harrison makes 2-pt shot from 17 ft
5:03.0,,,46-48,,Personal foul by D. Brooks (drawn by E. Moore)
4:55.0,D. Cunningham misses 3-pt shot from 23 ft,,46-48,,
4:51.0,Offensive rebound by J. Holiday,,46-48,,
4:50.0,D. Cunningham makes 2-pt shot from 1 ft (assist by J. Holiday),2,48-48,,
4:43.0,,,48-48,,A. Harrison misses 2-pt shot from 1 ft (block by E. Moore)
4:43.0,,,48-48,,Offensive rebound by Team
4:43.0,,,48-48,,M. Chalmers enters the game for A. Harrison
4:35.0,,,48-50,2,M. Gasol makes 2-pt shot from 1 ft (assist by D. Brooks)
4:22.0,Turnover by R. Rondo (out of bounds lost ball),,48-50,,
4:06.0,,,48-50,,M. Chalmers misses 2-pt shot from 2 ft (block by D. Cousins)
4:04.0,Defensive rebound by R. Rondo,,48-50,,
4:00.0,E. Moore misses 3-pt shot from 23 ft,,48-50,,
3:55.0,,,48-50,,Defensive rebound by T. Evans
3:51.0,,,48-50,,T. Evans misses 2-pt shot from 7 ft
3:48.0,,,48-50,,Offensive rebound by J. Green
3:48.0,,,48-50,,J. Green misses 2-pt shot at rim
3:48.0,,,48-50,,Offensive rebound by J. Green
3:48.0,,,48-50,,Shooting foul by D. Cunningham (drawn by J. Green)
3:48.0,,,48-51,1,J. Green makes free throw 1 of 2
3:48.0,,,48-51,,J. Ennis enters the game for D. Brooks
3:48.0,D. Miller enters the game for D. Cunningham,,48-51,,
3:48.0,,,48-52,1,J. Green makes free throw 2 of 2
3:37.0,,,48-52,,Personal foul by M. Chalmers (drawn by J. Holiday)
3:37.0,,,48-52,,J. Martin enters the game for J. Green
3:29.0,D. Cousins misses 3-pt shot from 26 ft,,48-52,,
3:25.0,,,48-52,,Defensive rebound by T. Evans
3:16.0,Personal foul by D. Cousins (drawn by M. Gasol),,48-52,,
3:16.0,,,48-53,1,M. Gasol makes free throw 1 of 2
3:16.0,,,48-54,1,M. Gasol makes free throw 2 of 2
3:11.0,Shooting foul by M. Gasol (drawn by D. Cousins),,48-54,,
3:11.0,D. Cousins makes free throw 1 of 2,1,49-54,,
3:11.0,,,49-54,,A. Harrison enters the game for M. Chalmers
3:11.0,D. Cousins makes free throw 2 of 2,1,50-54,,
2:56.0,,,50-54,,Turnover by M. Gasol (lost ball; steal by J. Holiday)
2:53.0,E. Moore misses 2-pt shot from 1 ft (block by A. Harrison),,50-54,,
2:48.0,Offensive rebound by J. Holiday,,50-54,,
2:46.0,Turnover by J. Holiday (bad pass; steal by T. Evans),,50-54,,
2:40.0,,,50-54,,A. Harrison misses 3-pt shot from 25 ft
2:35.0,Defensive rebound by J. Holiday,,50-54,,
2:35.0,,,50-54,,Personal foul by A. Harrison (drawn by J. Holiday)
2:35.0,New Orleans full timeout,,50-54,,
2:35.0,,,50-54,,B. Wright enters the game for M. Gasol
2:35.0,J. Holiday makes free throw 1 of 2,1,51-54,,
2:35.0,J. Holiday misses free throw 2 of 2,,51-54,,
2:31.0,,,51-54,,Defensive rebound by A. Harrison
2:13.0,,,51-54,,T. Evans misses 3-pt shot from 25 ft
2:11.0,,,51-54,,Offensive rebound by A. Harrison
1:56.0,,,51-54,,A. Harrison misses 2-pt shot from 1 ft
1:55.0,Defensive rebound by Team,,51-54,,
1:39.0,D. Cousins makes 2-pt shot from 5 ft (assist by E. Moore),2,53-54,,
1:26.0,,,53-54,,A. Harrison misses 2-pt shot from 1 ft (block by D. Cousins)
1:26.0,,,53-54,,Offensive rebound by Team
1:26.0,C. Diallo enters the game for D. Cousins,,53-54,,
1:21.0,,,53-56,2,B. Wright makes 2-pt shot from 1 ft (assist by T. Evans)
1:06.0,C. Diallo makes 2-pt shot from 7 ft (assist by R. Rondo),2,55-56,,
0:47.0,,,55-58,2,J. Ennis makes 2-pt shot at rim
0:40.0,E. Moore misses 2-pt shot at rim,,55-58,,
0:38.0,Offensive rebound by C. Diallo,,55-58,,
0:38.0,,,55-58,,D. Brooks enters the game for T. Evans
0:31.0,E. Moore makes 3-pt shot from 23 ft (assist by J. Holiday),3,58-58,,
0:13.0,,,58-58,,A. Harrison misses 2-pt shot from 1 ft (block by J. Holiday)
0:11.0,Defensive rebound by J. Holiday,,58-58,,
0:04.0,Shooting foul by J. Ennis (drawn by E. Moore),,58-58,,
0:04.0,E. Moore makes free throw 1 of 3,1,59-58,,
0:04.0,E. Moore makes free throw 2 of 3,1,60-58,,
0:04.0,,,60-58,,T. Evans enters the game for J. Martin
0:04.0,D. Liggins enters the game for R. Rondo,,60-58,,
0:04.0,E. Moore makes free throw 3 of 3,1,61-58,,
0:01.0,,,61-60,2,B. Wright makes 2-pt shot at rim (assist by J. Ennis)
0:00.0,J. Holiday misses 3-pt shot from 54 ft,,61-60,,
0:00.0,Offensive rebound by Team,,61-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,J. Holiday makes 2-pt shot from 16 ft,2,63-60,,
11:15.0,,,63-60,,J. Green misses 2-pt shot from 22 ft
11:12.0,Defensive rebound by D. Cunningham,,63-60,,
11:04.0,J. Holiday misses 3-pt shot from 27 ft,,63-60,,
11:01.0,,,63-60,,Defensive rebound by J. Green
10:54.0,,,63-62,2,T. Evans makes 2-pt shot from 1 ft
10:45.0,E. Moore misses 2-pt shot at rim,,63-62,,
10:44.0,,,63-62,,Defensive rebound by D. Brooks
10:44.0,Personal foul by R. Rondo (drawn by D. Brooks),,63-62,,
10:22.0,,,63-62,,A. Harrison misses 2-pt shot from 2 ft
10:20.0,Defensive rebound by D. Cousins,,63-62,,
10:12.0,D. Cousins misses 3-pt shot from 26 ft,,63-62,,
10:10.0,,,63-62,,Defensive rebound by M. Gasol
9:56.0,,,63-64,2,J. Green makes 2-pt shot at rim (assist by M. Gasol)
9:39.0,J. Holiday misses 2-pt shot from 1 ft,,63-64,,
9:36.0,,,63-64,,Defensive rebound by M. Gasol
9:29.0,,,63-64,,M. Gasol misses 3-pt shot from 27 ft
9:26.0,Defensive rebound by D. Cousins,,63-64,,
9:21.0,D. Cunningham makes 2-pt shot at rim (assist by J. Holiday),2,65-64,,
9:02.0,,,65-66,2,T. Evans makes 2-pt shot at rim (assist by M. Gasol)
8:44.0,Turnover by E. Moore (bad pass; steal by J. Green),,65-66,,
8:40.0,,,65-68,2,T. Evans makes 2-pt shot at rim (assist by J. Green)
8:23.0,J. Holiday misses 3-pt shot from 25 ft,,65-68,,
8:21.0,,,65-68,,Defensive rebound by J. Green
7:58.0,,,65-68,,T. Evans misses 2-pt shot from 20 ft
7:54.0,,,65-68,,Offensive rebound by J. Green
7:54.0,,,65-70,2,J. Green makes 2-pt shot at rim
7:51.0,New Orleans full timeout,,65-70,,
7:39.0,Turnover by E. Moore (out of bounds lost ball),,65-70,,
7:24.0,,,65-70,,Turnover by J. Green (traveling)
6:59.0,R. Rondo misses 2-pt shot from 20 ft,,65-70,,
6:57.0,,,65-70,,Defensive rebound by D. Brooks
6:52.0,,,65-72,2,A. Harrison makes 2-pt shot from 1 ft
6:52.0,,,65-72,,Shooting foul by E. Moore (drawn by A. Harrison)
6:52.0,,,65-73,1,A. Harrison makes free throw 1 of 1
6:37.0,D. Cunningham makes 3-pt shot from 24 ft (assist by D. Cousins),3,68-73,,
6:27.0,Personal foul by J. Holiday (drawn by A. Harrison),,68-73,,
6:27.0,,,68-73,,W. Selden enters the game for T. Evans
6:11.0,,,68-73,,M. Gasol misses 3-pt shot from 25 ft
6:08.0,Defensive rebound by E. Moore,,68-73,,
6:02.0,,,68-73,,Personal foul by A. Harrison (drawn by E. Moore)
5:54.0,D. Cousins misses 3-pt shot from 26 ft,,68-73,,
5:50.0,,,68-73,,Defensive rebound by M. Gasol
5:41.0,,,68-73,,J. Green misses 2-pt shot from 14 ft
5:39.0,Defensive rebound by J. Holiday,,68-73,,
5:29.0,E. Moore misses 3-pt shot from 25 ft,,68-73,,
5:25.0,,,68-73,,Defensive rebound by M. Gasol
5:21.0,,,68-73,,D. Brooks misses 2-pt shot from 1 ft
5:19.0,Defensive rebound by E. Moore,,68-73,,
5:10.0,,,68-73,,Personal foul by D. Brooks (drawn by D. Cousins)
5:10.0,I. Clark enters the game for J. Holiday,,68-73,,
5:10.0,D. Miller enters the game for D. Cunningham,,68-73,,
5:03.0,Shooting foul by W. Selden (drawn by D. Cousins),,68-73,,
5:03.0,D. Cousins misses free throw 1 of 2,,68-73,,
5:03.0,Offensive rebound by Team,,68-73,,
5:03.0,,,68-73,,J. Ennis enters the game for A. Harrison
5:03.0,,,68-73,,M. Chalmers enters the game for D. Brooks
5:03.0,D. Cousins misses free throw 2 of 2,,68-73,,
5:01.0,,,68-73,,Defensive rebound by M. Gasol
4:45.0,,,68-73,,M. Chalmers misses 2-pt shot from 2 ft (block by I. Clark)
4:45.0,,,68-73,,Offensive rebound by Team
4:43.0,,,68-73,,W. Selden misses 2-pt shot from 5 ft
4:40.0,Defensive rebound by E. Moore,,68-73,,
4:32.0,Turnover by D. Cousins (lost ball; steal by J. Ennis),,68-73,,
4:27.0,,,68-73,,Turnover by M. Chalmers (bad pass)
4:05.0,D. Cousins misses 2-pt shot from 17 ft,,68-73,,
4:03.0,,,68-73,,Defensive rebound by J. Green
3:41.0,,,68-73,,M. Chalmers misses 3-pt shot from 26 ft (block by I. Clark)
3:41.0,,,68-73,,Offensive rebound by Team
3:41.0,,,68-73,,Turnover by Team (shot clock)
3:23.0,I. Clark makes 2-pt shot from 1 ft (assist by E. Moore),2,70-73,,
3:04.0,Personal foul by D. Miller (drawn by M. Gasol),,70-73,,
3:04.0,,,70-73,,J. Martin enters the game for J. Green
2:59.0,,,70-73,,M. Chalmers misses 2-pt shot from 12 ft
2:55.0,Defensive rebound by D. Miller,,70-73,,
2:40.0,D. Miller misses 3-pt shot from 25 ft,,70-73,,
2:38.0,,,70-73,,Defensive rebound by M. Gasol
2:32.0,Personal foul by D. Cousins (drawn by M. Gasol),,70-73,,
2:32.0,,,70-73,,Memphis full timeout
2:32.0,,,70-73,,T. Evans enters the game for W. Selden
2:32.0,O. Asik enters the game for D. Cousins,,70-73,,
2:32.0,,,70-73,,M. Gasol misses free throw 1 of 2
2:32.0,,,70-73,,Offensive rebound by Team
2:32.0,,,70-74,1,M. Gasol makes free throw 2 of 2
2:32.0,J. Holiday enters the game for R. Rondo,,70-74,,
2:25.0,Offensive foul by O. Asik (drawn by J. Martin),,70-74,,
2:25.0,Turnover by O. Asik (offensive foul),,70-74,,
2:17.0,,,70-74,,Offensive foul by M. Chalmers (drawn by O. Asik)
2:17.0,,,70-74,,Turnover by M. Chalmers (offensive foul)
2:17.0,,,70-74,,B. Wright enters the game for M. Gasol
2:02.0,Turnover by O. Asik (turnover),,70-74,,
1:44.0,,,70-74,,B. Wright misses 2-pt shot at rim
1:43.0,,,70-74,,Offensive rebound by B. Wright
1:43.0,,,70-74,,Shooting foul by O. Asik (drawn by B. Wright)
1:43.0,,,70-75,1,B. Wright makes free throw 1 of 2
1:43.0,,,70-76,1,B. Wright makes free throw 2 of 2
1:30.0,I. Clark misses 2-pt shot from 12 ft (block by B. Wright),,70-76,,
1:29.0,Offensive rebound by O. Asik,,70-76,,
1:29.0,Shooting foul by J. Martin (drawn by O. Asik),,70-76,,
1:29.0,O. Asik misses free throw 1 of 2,,70-76,,
1:29.0,Offensive rebound by Team,,70-76,,
1:29.0,O. Asik misses free throw 2 of 2,,70-76,,
1:26.0,,,70-76,,Defensive rebound by T. Evans
1:14.0,,,70-76,,T. Evans misses 2-pt shot at rim (block by O. Asik)
1:14.0,D. Liggins enters the game for E. Moore,,70-76,,
1:14.0,,,70-76,,Defensive rebound by Team
1:04.0,,,70-76,,T. Evans misses 2-pt shot from 20 ft
1:01.0,Defensive rebound by I. Clark,,70-76,,
0:57.0,Turnover by I. Clark (bad pass; steal by J. Ennis),,70-76,,
0:33.0,,,70-76,,M. Chalmers misses 3-pt shot from 22 ft
0:30.0,Defensive rebound by O. Asik,,70-76,,
0:25.0,D. Miller misses 3-pt shot from 26 ft,,70-76,,
0:23.0,,,70-76,,Defensive rebound by M. Chalmers
0:02.0,,,70-76,,Shooting foul by J. Holiday (drawn by T. Evans)
0:02.0,,,70-76,,T. Evans misses free throw 1 of 2
0:02.0,,,70-76,,Offensive rebound by Team
0:02.0,,,70-77,1,T. Evans makes free throw 2 of 2
0:00.0,I. Clark misses 3-pt shot from 57 ft,,70-77,,
0:00.0,Offensive rebound by Team,,70-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,70-79,2,M. Gasol makes 2-pt shot from 19 ft (assist by M. Chalmers)
11:24.0,,,70-79,,Def 3 sec tech foul by M. Gasol
11:24.0,I. Clark makes technical free throw,1,71-79,,
11:16.0,D. Liggins makes 2-pt shot from 21 ft,2,73-79,,
10:57.0,,,73-81,2,M. Chalmers makes 2-pt shot at rim
10:32.0,J. Holiday misses 2-pt shot at rim (block by A. Harrison),,73-81,,
10:30.0,,,73-81,,Defensive rebound by A. Harrison
10:30.0,Personal foul by J. Holiday (drawn by A. Harrison),,73-81,,
10:18.0,,,73-81,,M. Gasol misses 2-pt shot from 6 ft
10:16.0,Defensive rebound by D. Cousins,,73-81,,
9:59.0,Turnover by D. Cousins (lost ball; steal by J. Green),,73-81,,
9:54.0,,,73-81,,Turnover by J. Green (bad pass; steal by J. Holiday)
9:47.0,D. Miller misses 3-pt shot from 24 ft,,73-81,,
9:45.0,,,73-81,,Defensive rebound by A. Harrison
9:42.0,,,73-81,,Memphis full timeout
9:32.0,,,73-83,2,M. Chalmers makes 2-pt shot from 1 ft
9:19.0,,,73-83,,Personal foul by J. Ennis (drawn by D. Cousins)
9:06.0,I. Clark misses 3-pt shot from 22 ft,,73-83,,
9:02.0,,,73-83,,Defensive rebound by J. Green
8:51.0,,,73-83,,Shooting foul by J. Holiday (drawn by A. Harrison)
8:51.0,,,73-83,,A. Harrison misses free throw 1 of 2
8:51.0,,,73-83,,Offensive rebound by Team
8:51.0,E. Moore enters the game for D. Liggins,,73-83,,
8:51.0,,,73-84,1,A. Harrison makes free throw 2 of 2
8:36.0,D. Cousins makes 3-pt shot from 25 ft (assist by D. Miller),3,76-84,,
8:16.0,,,76-84,,Turnover by J. Ennis (lost ball; steal by E. Moore)
8:08.0,D. Cousins makes 3-pt shot from 27 ft (assist by E. Moore),3,79-84,,
7:38.0,,,79-84,,M. Gasol misses 2-pt shot from 11 ft
7:36.0,Defensive rebound by E. Moore,,79-84,,
7:33.0,I. Clark makes 2-pt shot at rim (assist by E. Moore),2,81-84,,
7:33.0,Shooting foul by M. Chalmers (drawn by I. Clark),,81-84,,
7:33.0,,,81-84,,D. Brooks enters the game for M. Chalmers
7:33.0,,,81-84,,T. Evans enters the game for J. Ennis
7:33.0,I. Clark makes free throw 1 of 1,1,82-84,,
7:14.0,,,82-87,3,A. Harrison makes 3-pt shot from 27 ft (assist by M. Gasol)
6:59.0,D. Miller misses 3-pt shot from 25 ft,,82-87,,
6:55.0,Offensive rebound by I. Clark,,82-87,,
