time,Miami,pts.away,score,pts.home,Philadelphia
6:59.0,,,40-42,,M. Belinelli misses free throw 2 of 2
6:56.0,Defensive rebound by J. Winslow,,40-42,,
6:51.0,G. Dragic misses 3-pt shot from 25 ft,,40-42,,
6:48.0,,,40-42,,Defensive rebound by D. Saric
6:34.0,,,40-42,,Turnover by J. Redick (bad pass; steal by J. Richardson)
6:30.0,J. Winslow makes 2-pt shot from 1 ft (assist by J. Johnson),2,42-42,,
6:30.0,,,42-42,,Philadelphia full timeout
6:30.0,,,42-42,,R. Covington enters the game for M. Belinelli
6:25.0,,,42-42,,Offensive foul by B. Simmons (drawn by J. Johnson)
6:25.0,,,42-42,,Turnover by B. Simmons (offensive foul)
6:13.0,G. Dragic misses 2-pt shot from 1 ft,,42-42,,
6:13.0,,,42-42,,Defensive rebound by Team
6:13.0,Loose ball foul by K. Olynyk (drawn by R. Covington),,42-42,,
6:13.0,,,42-43,1,R. Covington makes free throw 1 of 2
6:13.0,,,42-43,,R. Covington misses free throw 2 of 2
6:11.0,Defensive rebound by K. Olynyk,,42-43,,
6:00.0,Turnover by G. Dragic (bad pass; steal by J. Redick),,42-43,,
5:52.0,,,42-43,,B. Simmons misses 2-pt shot from 1 ft
5:47.0,,,42-43,,Offensive rebound by B. Simmons
5:47.0,,,42-45,2,B. Simmons makes 2-pt shot at rim
5:43.0,,,42-45,,Personal foul by R. Covington (drawn by K. Olynyk)
5:43.0,,,42-45,,M. Belinelli enters the game for R. Covington
5:43.0,,,42-45,,Technical foul by A. Johnson (drawn by G. Dragic)
5:43.0,G. Dragic makes free throw 1 of 1,1,43-45,,
5:35.0,Turnover by G. Dragic (lost ball; steal by B. Simmons),,43-45,,
5:18.0,,,43-45,,D. Saric misses 2-pt shot from 16 ft
5:14.0,,,43-45,,Offensive rebound by A. Johnson
5:13.0,,,43-45,,J. Redick misses 3-pt shot from 28 ft
5:12.0,,,43-45,,Offensive rebound by Team
5:12.0,,,43-45,,Turnover by Team (shot clock)
4:56.0,K. Olynyk makes 2-pt shot from 1 ft,2,45-45,,
4:40.0,,,45-47,2,J. Redick makes 2-pt shot at rim (assist by A. Johnson)
4:28.0,J. Johnson makes 2-pt shot at rim (assist by G. Dragic),2,47-47,,
4:20.0,,,47-47,,Turnover by B. Simmons (traveling)
4:20.0,,,47-47,,E. Ilyasova enters the game for A. Johnson
4:20.0,,,47-47,,T. McConnell enters the game for J. Redick
4:20.0,T. Johnson enters the game for J. Richardson,,47-47,,
4:11.0,J. Winslow misses 2-pt shot from 4 ft,,47-47,,
4:08.0,,,47-47,,Defensive rebound by B. Simmons
4:02.0,,,47-47,,E. Ilyasova misses 2-pt shot from 1 ft
4:02.0,,,47-47,,Offensive rebound by Team
4:02.0,,,47-47,,Turnover by E. Ilyasova (traveling)
3:50.0,J. Winslow misses 3-pt shot from 26 ft,,47-47,,
3:46.0,Offensive rebound by G. Dragic,,47-47,,
3:38.0,G. Dragic makes 2-pt shot at rim,2,49-47,,
3:28.0,,,49-47,,M. Belinelli misses 2-pt shot at rim
3:25.0,Defensive rebound by J. Winslow,,49-47,,
3:23.0,K. Olynyk misses 3-pt shot from 26 ft,,49-47,,
3:20.0,Offensive rebound by J. Winslow,,49-47,,
3:18.0,J. Winslow makes 2-pt shot from 3 ft,2,51-47,,
3:08.0,Personal foul by J. Johnson (drawn by B. Simmons),,51-47,,
3:08.0,,,51-48,1,B. Simmons makes free throw 1 of 2
3:08.0,,,51-48,,A. Johnson enters the game for D. Saric
3:08.0,,,51-48,,B. Simmons misses free throw 2 of 2
3:04.0,,,51-48,,Offensive rebound by E. Ilyasova
3:04.0,,,51-48,,E. Ilyasova misses 2-pt shot at rim
3:03.0,,,51-48,,Offensive rebound by A. Johnson
3:03.0,,,51-48,,A. Johnson misses 2-pt shot from 1 ft
3:02.0,,,51-48,,Offensive rebound by B. Simmons
3:01.0,,,51-48,,Turnover by B. Simmons (step out of bounds)
2:41.0,K. Olynyk misses 2-pt shot from 1 ft,,51-48,,
2:38.0,,,51-48,,Defensive rebound by E. Ilyasova
2:22.0,,,51-48,,E. Ilyasova misses 2-pt shot from 2 ft
2:18.0,,,51-48,,Offensive rebound by E. Ilyasova
2:18.0,,,51-50,2,E. Ilyasova makes 2-pt shot at rim
2:11.0,,,51-50,,Personal foul by T. McConnell (drawn by G. Dragic)
2:11.0,G. Dragic makes free throw 1 of 2,1,52-50,,
2:11.0,,,52-50,,J. Redick enters the game for T. McConnell
2:11.0,B. Adebayo enters the game for K. Olynyk,,52-50,,
2:11.0,G. Dragic makes free throw 2 of 2,1,53-50,,
2:03.0,Personal foul by G. Dragic (drawn by M. Belinelli),,53-50,,
2:03.0,,,53-51,1,M. Belinelli makes free throw 1 of 2
2:03.0,,,53-52,1,M. Belinelli makes free throw 2 of 2
1:51.0,G. Dragic misses 2-pt shot from 19 ft,,53-52,,
1:47.0,,,53-52,,Defensive rebound by E. Ilyasova
1:47.0,,,53-52,,Turnover by E. Ilyasova (step out of bounds)
1:47.0,D. Wade enters the game for G. Dragic,,53-52,,
1:47.0,,,53-52,,M. Fultz enters the game for B. Simmons
1:41.0,Turnover by B. Adebayo (offensive goaltending),,53-52,,
1:26.0,,,53-54,2,A. Johnson makes 2-pt shot from 9 ft
1:11.0,T. Johnson makes 3-pt shot from 25 ft (assist by J. Johnson),3,56-54,,
0:56.0,,,56-54,,M. Belinelli misses 2-pt shot from 18 ft
0:54.0,Defensive rebound by T. Johnson,,56-54,,
0:34.0,J. Johnson makes 3-pt shot from 25 ft (assist by D. Wade),3,59-54,,
0:26.0,,,59-54,,Shooting foul by D. Wade (drawn by M. Fultz)
0:26.0,,,59-55,1,M. Fultz makes free throw 1 of 2
0:26.0,W. Ellington enters the game for B. Adebayo,,59-55,,
0:26.0,K. Olynyk enters the game for J. Winslow,,59-55,,
0:26.0,,,59-56,1,M. Fultz makes free throw 2 of 2
0:03.0,J. Johnson misses 2-pt shot from 12 ft,,59-56,,
0:01.0,Offensive rebound by Team,,59-56,,
0:01.0,,,59-56,,Loose ball foul by M. Belinelli (drawn by K. Olynyk)
0:01.0,K. Olynyk makes free throw 1 of 2,1,60-56,,
0:01.0,B. Adebayo enters the game for D. Wade,,60-56,,
0:01.0,K. Olynyk misses free throw 2 of 2,,60-56,,
0:00.0,,,60-56,,Defensive rebound by E. Ilyasova
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,J. Johnson misses 2-pt shot from 13 ft,,60-56,,
11:41.0,,,60-56,,Defensive rebound by E. Ilyasova
11:28.0,,,60-56,,D. Saric misses 3-pt shot from 22 ft
11:23.0,Defensive rebound by J. Johnson,,60-56,,
11:06.0,J. Richardson misses 3-pt shot from 24 ft,,60-56,,
11:03.0,Offensive rebound by G. Dragic,,60-56,,
11:01.0,G. Dragic makes 3-pt shot from 25 ft,3,63-56,,
10:47.0,,,63-59,3,J. Redick makes 3-pt shot from 25 ft (assist by D. Saric)
10:31.0,G. Dragic misses 2-pt shot from 18 ft,,63-59,,
10:29.0,,,63-59,,Defensive rebound by E. Ilyasova
10:14.0,,,63-61,2,E. Ilyasova makes 2-pt shot from 2 ft (assist by B. Simmons)
9:45.0,G. Dragic misses 2-pt shot from 1 ft (block by R. Covington),,63-61,,
9:41.0,,,63-61,,Defensive rebound by R. Covington
9:38.0,Personal foul by G. Dragic (drawn by R. Covington),,63-61,,
9:32.0,,,63-64,3,E. Ilyasova makes 3-pt shot from 26 ft (assist by B. Simmons)
9:16.0,J. Johnson misses 2-pt shot from 16 ft,,63-64,,
9:10.0,Offensive rebound by H. Whiteside,,63-64,,
9:10.0,H. Whiteside misses 2-pt shot at rim,,63-64,,
9:09.0,,,63-64,,Defensive rebound by E. Ilyasova
9:07.0,,,63-66,2,B. Simmons makes 2-pt shot from 1 ft
9:07.0,Miami full timeout,,63-66,,
8:48.0,H. Whiteside misses 2-pt shot from 1 ft,,63-66,,
8:45.0,,,63-66,,Defensive rebound by E. Ilyasova
8:43.0,,,63-66,,R. Covington misses 3-pt shot from 23 ft
8:43.0,Defensive rebound by H. Whiteside,,63-66,,
8:31.0,,,63-66,,Personal foul by B. Simmons (drawn by H. Whiteside)
8:18.0,J. Richardson misses 3-pt shot from 25 ft,,63-66,,
8:14.0,,,63-66,,Defensive rebound by R. Covington
8:07.0,,,63-69,3,D. Saric makes 3-pt shot from 25 ft (assist by B. Simmons)
7:54.0,T. Johnson misses 2-pt shot from 1 ft (block by E. Ilyasova),,63-69,,
7:54.0,,,63-69,,Defensive rebound by Team
7:54.0,K. Olynyk enters the game for H. Whiteside,,63-69,,
7:32.0,Jump ball: R. Covington vs. G. Dragic (B. Simmons gains possession),,,,Jump ball: R. Covington vs. G. Dragic (B. Simmons gains possession)
7:30.0,,,63-69,,B. Simmons misses 2-pt shot from 15 ft
7:26.0,Defensive rebound by J. Johnson,,63-69,,
7:14.0,Turnover by J. Johnson (traveling),,63-69,,
7:05.0,,,63-71,2,J. Redick makes 2-pt shot from 20 ft (assist by R. Covington)
6:43.0,J. Richardson misses 2-pt shot from 1 ft (block by R. Covington),,63-71,,
6:41.0,,,63-71,,Defensive rebound by R. Covington
6:34.0,,,63-71,,B. Simmons misses 2-pt shot from 9 ft
6:30.0,Defensive rebound by T. Johnson,,63-71,,
6:29.0,Shooting foul by D. Saric (drawn by T. Johnson),,63-71,,
6:29.0,T. Johnson makes free throw 1 of 2,1,64-71,,
6:29.0,,,64-71,,M. Belinelli enters the game for E. Ilyasova
6:29.0,,,64-71,,A. Johnson enters the game for R. Covington
6:29.0,J. Winslow enters the game for J. Richardson,,64-71,,
6:29.0,T. Johnson makes free throw 2 of 2,1,65-71,,
6:18.0,,,65-71,,D. Saric misses 2-pt shot from 1 ft
6:16.0,,,65-71,,Offensive rebound by Team
6:16.0,Jump ball: D. Saric vs. J. Winslow (A. Johnson gains possession),,,,Jump ball: D. Saric vs. J. Winslow (A. Johnson gains possession)
6:16.0,W. Ellington enters the game for T. Johnson,,65-71,,
6:10.0,Jump ball: A. Johnson vs. J. Winslow (D. Saric gains possession),,,,Jump ball: A. Johnson vs. J. Winslow (D. Saric gains possession)
6:08.0,,,65-73,2,D. Saric makes 2-pt shot from 2 ft
5:52.0,Turnover by G. Dragic (traveling),,65-73,,
5:52.0,B. Adebayo enters the game for J. Johnson,,65-73,,
5:41.0,,,65-73,,Shooting foul by W. Ellington (drawn by J. Redick)
5:41.0,,,65-74,1,J. Redick makes free throw 1 of 3
5:41.0,,,65-75,1,J. Redick makes free throw 2 of 3
5:41.0,,,65-76,1,J. Redick makes free throw 3 of 3
5:20.0,G. Dragic misses 2-pt shot from 1 ft,,65-76,,
5:17.0,,,65-76,,Defensive rebound by D. Saric
4:58.0,,,65-76,,A. Johnson misses 2-pt shot from 1 ft
4:55.0,,,65-76,,Offensive rebound by D. Saric
4:55.0,,,65-76,,R. Covington enters the game for J. Redick
4:53.0,Jump ball: D. Saric vs. J. Winslow (K. Olynyk gains possession),,,,Jump ball: D. Saric vs. J. Winslow (K. Olynyk gains possession)
4:53.0,,,65-76,,Turnover by D. Saric (turnover; steal by J. Winslow)
4:41.0,Shooting foul by A. Johnson (drawn by B. Adebayo),,65-76,,
4:41.0,B. Adebayo misses free throw 1 of 2,,65-76,,
4:41.0,Offensive rebound by Team,,65-76,,
4:41.0,,,65-76,,E. Ilyasova enters the game for D. Saric
4:41.0,D. Wade enters the game for G. Dragic,,65-76,,
4:41.0,B. Adebayo makes free throw 2 of 2,1,66-76,,
4:30.0,,,66-79,3,E. Ilyasova makes 3-pt shot from 24 ft (assist by R. Covington)
4:10.0,K. Olynyk makes 3-pt shot from 25 ft (assist by D. Wade),3,69-79,,
3:56.0,,,69-81,2,B. Simmons makes 2-pt shot from 1 ft
3:39.0,Shooting foul by B. Simmons (drawn by B. Adebayo),,69-81,,
3:39.0,B. Adebayo misses free throw 1 of 2,,69-81,,
3:39.0,Offensive rebound by Team,,69-81,,
3:39.0,,,69-81,,M. Fultz enters the game for B. Simmons
3:39.0,B. Adebayo makes free throw 2 of 2,1,70-81,,
3:39.0,,,70-81,,Philadelphia full timeout
3:29.0,,,70-83,2,M. Belinelli makes 2-pt shot from 21 ft (assist by M. Fultz)
3:10.0,W. Ellington makes 3-pt shot from 25 ft (assist by D. Wade),3,73-83,,
2:49.0,,,73-83,,M. Fultz misses 2-pt shot from 7 ft
2:46.0,,,73-83,,Offensive rebound by A. Johnson
2:46.0,,,73-83,,A. Johnson misses 2-pt shot from 1 ft
2:46.0,,,73-83,,Offensive rebound by A. Johnson
2:45.0,,,73-83,,A. Johnson misses 2-pt shot from 1 ft
2:43.0,Defensive rebound by J. Winslow,,73-83,,
2:43.0,,,73-83,,Shooting block foul by E. Ilyasova (drawn by J. Winslow)
2:43.0,J. Winslow makes free throw 1 of 2,1,74-83,,
2:43.0,J. Winslow misses free throw 2 of 2,,74-83,,
2:41.0,,,74-83,,Defensive rebound by E. Ilyasova
2:22.0,,,74-83,,A. Johnson misses 2-pt shot from 7 ft
2:17.0,,,74-83,,Offensive rebound by E. Ilyasova
2:17.0,,,74-85,2,E. Ilyasova makes 2-pt shot at rim
2:07.0,D. Wade makes 2-pt shot from 2 ft (assist by J. Winslow),2,76-85,,
1:49.0,,,76-85,,R. Covington misses 3-pt shot from 24 ft
1:48.0,Defensive rebound by Team,,76-85,,
1:48.0,,,76-85,,Violation by A. Johnson (kicked ball)
1:37.0,K. Olynyk makes 2-pt shot from 1 ft (assist by D. Wade),2,78-85,,
1:24.0,,,78-88,3,M. Belinelli makes 3-pt shot from 25 ft (assist by M. Fultz)
1:03.0,B. Adebayo misses 2-pt shot from 2 ft,,78-88,,
1:00.0,,,78-88,,Defensive rebound by M. Fultz
0:46.0,,,78-90,2,M. Fultz makes 2-pt shot from 6 ft
0:27.0,W. Ellington misses 3-pt shot from 24 ft,,78-90,,
0:24.0,,,78-90,,Defensive rebound by R. Covington
0:21.0,,,78-90,,R. Covington misses 2-pt shot from 6 ft (block by K. Olynyk)
0:21.0,Defensive rebound by Team,,78-90,,
0:03.0,J. Winslow misses 2-pt shot from 5 ft,,78-90,,
0:00.0,,,78-90,,Defensive rebound by R. Covington
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,78-92,2,J. Redick makes 2-pt shot from 1 ft
11:43.0,,,78-92,,Shooting foul by B. Adebayo (drawn by J. Redick)
11:43.0,G. Dragic enters the game for B. Adebayo,,78-92,,
11:43.0,,,78-93,1,J. Redick makes free throw 1 of 1
11:29.0,,,78-93,,Personal foul by M. Fultz (drawn by K. Olynyk)
11:27.0,Shooting foul by R. Covington (drawn by K. Olynyk),,78-93,,
11:27.0,K. Olynyk makes free throw 1 of 2,1,79-93,,
11:27.0,K. Olynyk makes free throw 2 of 2,1,80-93,,
11:13.0,,,80-96,3,J. Redick makes 3-pt shot from 26 ft (assist by M. Belinelli)
10:53.0,J. Winslow makes 2-pt shot from 2 ft (assist by K. Olynyk),2,82-96,,
10:37.0,,,82-96,,J. Redick misses 2-pt shot from 20 ft
10:35.0,Defensive rebound by D. Wade,,82-96,,
