time,Brooklyn,pts.away,score,pts.home,Detroit
8:57.0,C. LeVert misses 3-pt shot from 26 ft,,32-25,,
8:54.0,,,32-25,,Defensive rebound by E. Moreland
8:47.0,Personal foul by J. Harris (drawn by S. Johnson),,32-25,,
8:41.0,,,32-27,2,L. Kennard makes 2-pt shot from 15 ft
8:23.0,J. Okafor misses 2-pt shot from 9 ft,,32-27,,
8:21.0,,,32-27,,Defensive rebound by E. Moreland
8:05.0,,,32-27,,S. Johnson misses 2-pt shot from 4 ft
8:05.0,Defensive rebound by Team,,32-27,,
7:53.0,J. Harris makes 2-pt shot from 2 ft (assist by Q. Acy),2,34-27,,
7:53.0,Shooting foul by E. Moreland (drawn by J. Harris),,34-27,,
7:53.0,J. Harris misses free throw 1 of 1,,34-27,,
7:49.0,,,34-27,,Defensive rebound by A. Tolliver
7:44.0,Personal foul by D. Russell (drawn by L. Kennard),,34-27,,
7:44.0,,,34-27,,R. Bullock enters the game for S. Johnson
7:32.0,,,34-27,,L. Kennard misses 3-pt shot from 25 ft
7:26.0,Defensive rebound by C. LeVert,,34-27,,
7:17.0,J. Harris makes 2-pt shot at rim (assist by C. LeVert),2,36-27,,
7:17.0,,,36-27,,Violation by E. Moreland (def goaltending)
7:01.0,,,36-29,2,L. Galloway makes 2-pt shot from 13 ft
6:35.0,J. Harris makes 3-pt shot from 26 ft (assist by J. Okafor),3,39-29,,
6:31.0,,,39-29,,Detroit full timeout
6:31.0,,,39-29,,A. Drummond enters the game for E. Moreland
6:31.0,,,39-29,,T. Harris enters the game for A. Tolliver
6:31.0,A. Crabbe enters the game for D. Russell,,39-29,,
6:21.0,Personal foul by C. LeVert (drawn by L. Galloway),,39-29,,
6:14.0,,,39-31,2,T. Harris makes 2-pt shot from 12 ft (assist by A. Drummond)
6:04.0,C. LeVert makes 2-pt shot at rim,2,41-31,,
6:04.0,Shooting foul by A. Drummond (drawn by C. LeVert),,41-31,,
6:04.0,,,41-31,,I. Smith enters the game for L. Galloway
6:04.0,R. Hollis-Jefferson enters the game for Q. Acy,,41-31,,
6:04.0,C. LeVert makes free throw 1 of 1,1,42-31,,
5:54.0,,,42-31,,T. Harris misses 2-pt shot from 11 ft
5:48.0,Defensive rebound by R. Hollis-Jefferson,,42-31,,
5:44.0,R. Hollis-Jefferson misses 2-pt shot from 4 ft (block by T. Harris),,42-31,,
5:44.0,Offensive rebound by R. Hollis-Jefferson,,42-31,,
5:38.0,Turnover by J. Okafor (turnover),,42-31,,
5:38.0,D. Carroll enters the game for J. Harris,,42-31,,
5:25.0,,,42-31,,Shooting foul by R. Hollis-Jefferson (drawn by T. Harris)
5:25.0,,,42-32,1,T. Harris makes free throw 1 of 2
5:25.0,,,42-32,,A. Bradley enters the game for L. Kennard
5:25.0,J. Allen enters the game for J. Okafor,,42-32,,
5:25.0,S. Dinwiddie enters the game for C. LeVert,,42-32,,
5:25.0,,,42-33,1,T. Harris makes free throw 2 of 2
5:17.0,R. Hollis-Jefferson misses 2-pt shot from 3 ft,,42-33,,
5:13.0,,,42-33,,Defensive rebound by A. Drummond
5:04.0,,,42-35,2,T. Harris makes 2-pt shot from 1 ft (assist by A. Bradley)
4:43.0,S. Dinwiddie misses 3-pt shot from 28 ft,,42-35,,
4:38.0,,,42-35,,Defensive rebound by A. Drummond
4:34.0,,,42-35,,I. Smith misses 2-pt shot from 12 ft
4:34.0,Defensive rebound by A. Crabbe,,42-35,,
4:28.0,,,42-35,,Personal foul by I. Smith (drawn by S. Dinwiddie)
4:23.0,Turnover by J. Allen (out of bounds lost ball),,42-35,,
4:04.0,,,42-37,2,R. Bullock makes 2-pt shot from 1 ft (assist by I. Smith)
3:51.0,Shooting foul by A. Drummond (drawn by D. Carroll),,42-37,,
3:51.0,D. Carroll makes free throw 1 of 2,1,43-37,,
3:51.0,,,43-37,,A. Tolliver enters the game for A. Drummond
3:51.0,D. Carroll makes free throw 2 of 2,1,44-37,,
3:35.0,,,44-40,3,A. Tolliver makes 3-pt shot from 26 ft (assist by R. Bullock)
3:24.0,Turnover by S. Dinwiddie (bad pass),,44-40,,
3:12.0,,,44-40,,Offensive foul by T. Harris (drawn by R. Hollis-Jefferson)
3:12.0,,,44-40,,Turnover by T. Harris (offensive foul)
2:58.0,A. Crabbe misses 2-pt shot from 5 ft,,44-40,,
2:57.0,,,44-40,,Defensive rebound by I. Smith
2:57.0,Personal foul by J. Allen (drawn by I. Smith),,44-40,,
2:57.0,Brooklyn full timeout,,44-40,,
2:57.0,Q. Acy enters the game for J. Allen,,44-40,,
2:57.0,,,44-41,1,I. Smith makes free throw 1 of 2
2:57.0,,,44-42,1,I. Smith makes free throw 2 of 2
2:43.0,Q. Acy misses 3-pt shot from 28 ft,,44-42,,
2:38.0,Offensive rebound by D. Carroll,,44-42,,
2:36.0,D. Carroll makes 2-pt shot at rim,2,46-42,,
2:19.0,,,46-42,,Shooting foul by Q. Acy (drawn by A. Tolliver)
2:19.0,,,46-43,1,A. Tolliver makes free throw 1 of 2
2:19.0,,,46-44,1,A. Tolliver makes free throw 2 of 2
2:04.0,D. Carroll makes 2-pt shot from 5 ft,2,48-44,,
1:43.0,,,48-44,,I. Smith misses 2-pt shot from 3 ft
1:40.0,Defensive rebound by S. Dinwiddie,,48-44,,
1:34.0,Turnover by D. Carroll (bad pass; steal by I. Smith),,48-44,,
1:24.0,,,48-46,2,I. Smith makes 2-pt shot from 13 ft
1:10.0,S. Dinwiddie makes 2-pt shot from 2 ft,2,50-46,,
0:55.0,,,50-46,,I. Smith misses 2-pt shot from 12 ft
0:53.0,Defensive rebound by S. Dinwiddie,,50-46,,
0:49.0,S. Dinwiddie makes 3-pt shot from 28 ft (assist by R. Hollis-Jefferson),3,53-46,,
0:30.0,,,53-48,2,A. Bradley makes 2-pt shot from 22 ft (assist by A. Tolliver)
0:14.0,D. Carroll misses 2-pt shot from 4 ft,,53-48,,
0:11.0,,,53-48,,Defensive rebound by A. Bradley
0:00.0,,,53-48,,I. Smith misses 2-pt shot from 13 ft
0:00.0,,,53-48,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,Turnover by S. Dinwiddie (bad pass),,53-48,,
11:27.0,,,53-50,2,R. Bullock makes 2-pt shot from 10 ft (assist by T. Harris)
11:14.0,A. Crabbe makes 3-pt shot from 24 ft (assist by D. Carroll),3,56-50,,
11:00.0,,,56-50,,A. Bradley misses 2-pt shot from 9 ft (block by A. Crabbe)
10:56.0,Defensive rebound by S. Dinwiddie,,56-50,,
10:49.0,T. Zeller makes 2-pt shot from 6 ft (assist by R. Hollis-Jefferson),2,58-50,,
10:30.0,,,58-50,,R. Bullock misses 3-pt shot from 23 ft
10:27.0,Defensive rebound by R. Hollis-Jefferson,,58-50,,
10:21.0,R. Hollis-Jefferson makes 2-pt shot from 8 ft,2,60-50,,
10:02.0,,,60-52,2,I. Smith makes 2-pt shot from 19 ft (assist by A. Drummond)
9:43.0,T. Zeller misses 2-pt shot from 9 ft,,60-52,,
9:40.0,,,60-52,,Defensive rebound by A. Drummond
9:36.0,,,60-52,,T. Harris misses 2-pt shot at rim
9:33.0,Defensive rebound by T. Zeller,,60-52,,
9:25.0,Turnover by R. Hollis-Jefferson (out of bounds lost ball),,60-52,,
9:14.0,,,60-54,2,A. Drummond makes 2-pt shot at rim (assist by I. Smith)
8:49.0,,,60-54,,Personal foul by A. Drummond (drawn by S. Dinwiddie)
8:49.0,,,60-54,,E. Moreland enters the game for A. Drummond
8:39.0,A. Crabbe misses 3-pt shot from 24 ft,,60-54,,
8:39.0,,,60-54,,Defensive rebound by T. Harris
8:39.0,Personal foul by T. Zeller (drawn by E. Moreland),,60-54,,
8:31.0,,,60-54,,I. Smith misses 2-pt shot from 14 ft
8:28.0,Defensive rebound by T. Zeller,,60-54,,
8:09.0,D. Carroll makes 2-pt shot from 6 ft (assist by S. Dinwiddie),2,62-54,,
7:53.0,,,62-54,,A. Bradley misses 2-pt shot from 13 ft
7:49.0,Defensive rebound by T. Zeller,,62-54,,
7:43.0,R. Hollis-Jefferson makes 3-pt shot from 22 ft (assist by D. Carroll),3,65-54,,
7:35.0,,,65-54,,Detroit full timeout
7:25.0,,,65-54,,A. Bradley misses 2-pt shot from 14 ft (block by A. Crabbe)
7:22.0,Defensive rebound by D. Carroll,,65-54,,
7:14.0,R. Hollis-Jefferson misses 2-pt shot from 14 ft,,65-54,,
7:09.0,,,65-54,,Defensive rebound by T. Harris
6:58.0,,,65-56,2,T. Harris makes 2-pt shot from 11 ft
6:30.0,S. Dinwiddie misses 2-pt shot from 13 ft,,65-56,,
6:27.0,,,65-56,,Defensive rebound by E. Moreland
6:13.0,,,65-58,2,E. Moreland makes 2-pt shot from 1 ft
5:56.0,A. Crabbe misses 2-pt shot from 2 ft,,65-58,,
5:53.0,Offensive rebound by T. Zeller,,65-58,,
5:53.0,T. Zeller misses 2-pt shot from 1 ft (block by I. Smith),,65-58,,
5:53.0,,,65-58,,Defensive rebound by E. Moreland
5:47.0,,,65-58,,A. Bradley misses 3-pt shot from 27 ft
5:45.0,,,65-58,,Offensive rebound by E. Moreland
5:38.0,,,65-58,,Turnover by A. Bradley (bad pass; steal by D. Carroll)
5:33.0,S. Dinwiddie makes 3-pt shot from 26 ft (assist by R. Hollis-Jefferson),3,68-58,,
5:16.0,,,68-58,,T. Harris misses 2-pt shot from 15 ft
5:12.0,Defensive rebound by S. Dinwiddie,,68-58,,
5:09.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by S. Dinwiddie),2,70-58,,
5:02.0,,,70-58,,Detroit full timeout
5:02.0,,,70-58,,L. Kennard enters the game for A. Bradley
5:02.0,,,70-58,,S. Johnson enters the game for R. Bullock
5:02.0,,,70-58,,A. Tolliver enters the game for T. Harris
5:02.0,C. LeVert enters the game for S. Dinwiddie,,70-58,,
5:02.0,J. Harris enters the game for A. Crabbe,,70-58,,
5:02.0,J. Allen enters the game for T. Zeller,,70-58,,
4:54.0,,,70-58,,S. Johnson misses 3-pt shot from 24 ft
4:50.0,,,70-58,,Offensive rebound by E. Moreland
4:41.0,,,70-58,,E. Moreland misses 2-pt shot from 9 ft
4:36.0,Defensive rebound by R. Hollis-Jefferson,,70-58,,
4:23.0,C. LeVert misses 2-pt shot from 6 ft,,70-58,,
4:18.0,,,70-58,,Defensive rebound by E. Moreland
4:06.0,,,70-58,,L. Kennard misses 2-pt shot from 3 ft
4:02.0,Defensive rebound by J. Harris,,70-58,,
3:50.0,R. Hollis-Jefferson makes 3-pt shot from 24 ft (assist by D. Carroll),3,73-58,,
3:26.0,,,73-58,,S. Johnson misses 2-pt shot from 6 ft
3:24.0,,,73-58,,Offensive rebound by Team
3:24.0,,,73-58,,T. Harris enters the game for E. Moreland
3:23.0,,,73-58,,Turnover by Team (shot clock)
3:15.0,Offensive foul by J. Allen (drawn by A. Tolliver),,73-58,,
3:15.0,Turnover by J. Allen (offensive foul),,73-58,,
3:15.0,,,73-58,,L. Galloway enters the game for I. Smith
3:15.0,D. Russell enters the game for D. Carroll,,73-58,,
3:15.0,Q. Acy enters the game for R. Hollis-Jefferson,,73-58,,
2:56.0,,,73-58,,L. Galloway misses 3-pt shot from 24 ft
2:51.0,Defensive rebound by J. Allen,,73-58,,
2:43.0,D. Russell misses 2-pt shot from 7 ft,,73-58,,
2:41.0,Offensive rebound by J. Allen,,73-58,,
2:41.0,Turnover by J. Allen (traveling),,73-58,,
2:27.0,,,73-60,2,L. Kennard makes 2-pt shot from 8 ft
1:57.0,J. Harris misses 3-pt shot from 26 ft,,73-60,,
1:53.0,,,73-60,,Defensive rebound by S. Johnson
1:48.0,,,73-60,,T. Harris misses 3-pt shot from 26 ft
1:44.0,Defensive rebound by J. Harris,,73-60,,
1:40.0,C. LeVert misses 3-pt shot from 25 ft,,73-60,,
1:38.0,,,73-60,,Defensive rebound by L. Galloway
1:32.0,,,73-60,,Offensive foul by L. Galloway (drawn by Q. Acy)
1:32.0,,,73-60,,Turnover by L. Galloway (offensive foul)
1:32.0,Brooklyn full timeout,,73-60,,
1:22.0,Q. Acy misses 2-pt shot from 20 ft,,73-60,,
1:18.0,,,73-60,,Defensive rebound by L. Galloway
1:13.0,,,73-60,,Shooting foul by J. Harris (drawn by S. Johnson)
1:13.0,,,73-61,1,S. Johnson makes free throw 1 of 2
1:13.0,,,73-62,1,S. Johnson makes free throw 2 of 2
1:04.0,Offensive charge foul by D. Russell (drawn by A. Tolliver),,73-62,,
1:04.0,Turnover by D. Russell (offensive foul),,73-62,,
0:50.0,,,73-62,,A. Tolliver misses 3-pt shot from 24 ft
0:47.0,,,73-62,,Offensive rebound by S. Johnson
0:43.0,,,73-64,2,S. Johnson makes 2-pt shot from 1 ft
0:43.0,,,73-64,,Shooting foul by C. LeVert (drawn by S. Johnson)
0:43.0,D. Carroll enters the game for J. Allen,,73-64,,
0:43.0,,,73-65,1,S. Johnson makes free throw 1 of 1
0:30.0,Shooting foul by S. Johnson (drawn by C. LeVert),,73-65,,
0:30.0,C. LeVert makes free throw 1 of 2,1,74-65,,
0:30.0,C. LeVert misses free throw 2 of 2,,74-65,,
0:27.0,,,74-65,,Defensive rebound by A. Tolliver
0:12.0,,,74-68,3,L. Kennard makes 3-pt shot from 27 ft (assist by L. Galloway)
0:03.0,D. Russell makes 3-pt shot from 25 ft,3,77-68,,
0:00.0,,,77-68,,L. Kennard misses 3-pt shot from 31 ft
0:00.0,,,77-68,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,77-68,,A. Tolliver misses 3-pt shot from 26 ft
11:38.0,Defensive rebound by Q. Acy,,77-68,,
11:21.0,D. Carroll misses 3-pt shot from 25 ft,,77-68,,
11:16.0,,,77-68,,Defensive rebound by L. Galloway
11:12.0,Personal foul by Q. Acy (drawn by S. Johnson),,77-68,,
11:09.0,,,77-71,3,L. Galloway makes 3-pt shot from 27 ft (assist by L. Kennard)
10:56.0,Shooting foul by L. Kennard (drawn by J. Harris),,77-71,,
10:56.0,J. Harris makes free throw 1 of 3,1,78-71,,
10:56.0,J. Harris makes free throw 2 of 3,1,79-71,,
10:56.0,J. Harris makes free throw 3 of 3,1,80-71,,
10:38.0,,,80-73,2,S. Johnson makes 2-pt shot from 5 ft
10:11.0,D. Russell misses 3-pt shot from 27 ft,,80-73,,
10:07.0,,,80-73,,Defensive rebound by T. Harris
10:06.0,,,80-73,,Shooting foul by D. Russell (drawn by L. Galloway)
10:06.0,,,80-73,,L. Galloway misses free throw 1 of 2
10:06.0,,,80-73,,Offensive rebound by Team
10:06.0,S. Dinwiddie enters the game for D. Russell,,80-73,,
10:06.0,,,80-74,1,L. Galloway makes free throw 2 of 2
9:59.0,Turnover by S. Dinwiddie (traveling),,80-74,,
9:37.0,,,80-74,,T. Harris misses 2-pt shot from 3 ft
9:37.0,Defensive rebound by Team,,80-74,,
9:34.0,Turnover by J. Harris (bad pass; steal by L. Galloway),,80-74,,
9:29.0,,,80-77,3,L. Kennard makes 3-pt shot from 25 ft (assist by L. Galloway)
9:29.0,,,80-77,,Personal foul by L. Galloway (drawn by S. Dinwiddie)
9:19.0,,,80-77,,Personal foul by A. Tolliver (drawn by S. Dinwiddie)
9:15.0,,,80-77,,Personal foul by A. Tolliver (drawn by A. Crabbe)
9:03.0,S. Dinwiddie misses 2-pt shot from 8 ft,,80-77,,
9:00.0,,,80-77,,Defensive rebound by T. Harris
8:55.0,,,80-77,,T. Harris misses 2-pt shot from 3 ft
8:51.0,Defensive rebound by Q. Acy,,80-77,,
8:43.0,D. Carroll misses 2-pt shot from 17 ft (block by L. Kennard),,80-77,,
8:39.0,,,80-77,,Defensive rebound by A. Tolliver
8:30.0,,,80-77,,A. Drummond enters the game for T. Harris
8:30.0,R. Hollis-Jefferson enters the game for Q. Acy,,80-77,,
8:25.0,,,80-79,2,L. Galloway makes 2-pt shot from 17 ft
7:59.0,S. Dinwiddie makes 2-pt shot from 22 ft,2,82-79,,
7:41.0,,,82-79,,A. Tolliver misses 3-pt shot from 28 ft
7:35.0,Defensive rebound by R. Hollis-Jefferson,,82-79,,
7:15.0,D. Carroll makes 3-pt shot from 27 ft (assist by R. Hollis-Jefferson),3,85-79,,
6:54.0,,,85-79,,L. Kennard misses 3-pt shot from 26 ft
6:51.0,Defensive rebound by R. Hollis-Jefferson,,85-79,,
6:42.0,D. Carroll misses 3-pt shot from 26 ft,,85-79,,
6:39.0,,,85-79,,Defensive rebound by Team
6:39.0,,,85-79,,Detroit full timeout
6:39.0,T. Zeller enters the game for D. Carroll,,85-79,,
6:39.0,C. LeVert enters the game for A. Crabbe,,85-79,,
6:32.0,,,85-79,,L. Galloway misses 2-pt shot from 9 ft
6:28.0,Defensive rebound by T. Zeller,,85-79,,
6:18.0,S. Dinwiddie makes 2-pt shot from 1 ft,2,87-79,,
5:54.0,,,87-79,,S. Johnson misses 2-pt shot from 8 ft
5:54.0,,,87-79,,Offensive rebound by Team
5:54.0,,,87-79,,Turnover by S. Johnson (traveling)
5:54.0,,,87-79,,T. Harris enters the game for A. Tolliver
5:41.0,Turnover by S. Dinwiddie (bad pass; steal by L. Galloway),,87-79,,
5:37.0,,,87-81,2,S. Johnson makes 2-pt shot from 1 ft
5:28.0,D. Carroll enters the game for J. Harris,,87-81,,
5:15.0,C. LeVert makes 2-pt shot at rim (assist by T. Zeller),2,89-81,,
5:00.0,,,89-83,2,T. Harris makes 2-pt shot from 3 ft
5:00.0,,,89-83,,Shooting foul by R. Hollis-Jefferson (drawn by T. Harris)
5:00.0,,,89-84,1,T. Harris makes free throw 1 of 1
4:44.0,Shooting foul by L. Kennard (drawn by R. Hollis-Jefferson),,89-84,,
4:44.0,R. Hollis-Jefferson makes free throw 1 of 2,1,90-84,,
4:44.0,R. Hollis-Jefferson makes free throw 2 of 2,1,91-84,,
4:33.0,,,91-84,,L. Galloway misses 2-pt shot from 3 ft (block by R. Hollis-Jefferson)
4:29.0,Defensive rebound by T. Zeller,,91-84,,
4:18.0,R. Hollis-Jefferson misses 3-pt shot from 26 ft,,91-84,,
4:13.0,,,91-84,,Defensive rebound by L. Galloway
4:09.0,,,91-86,2,S. Johnson makes 2-pt shot from 1 ft
4:07.0,Brooklyn full timeout,,91-86,,
4:07.0,,,91-86,,I. Smith enters the game for L. Kennard
4:07.0,,,91-86,,A. Bradley enters the game for L. Galloway
4:07.0,Q. Acy enters the game for T. Zeller,,91-86,,
3:51.0,,,91-86,,Personal foul by S. Johnson (drawn by R. Hollis-Jefferson)
3:51.0,R. Hollis-Jefferson makes free throw 1 of 2,1,92-86,,
3:51.0,R. Hollis-Jefferson misses free throw 2 of 2,,92-86,,
3:49.0,,,92-86,,Defensive rebound by S. Johnson
3:33.0,,,92-89,3,S. Johnson makes 3-pt shot from 25 ft (assist by T. Harris)
3:09.0,D. Carroll misses 3-pt shot from 28 ft,,92-89,,
3:05.0,,,92-89,,Defensive rebound by T. Harris
2:58.0,,,92-92,3,I. Smith makes 3-pt shot from 27 ft (assist by T. Harris)
2:29.0,S. Dinwiddie makes 2-pt shot from 21 ft,2,94-92,,
