time,Houston,pts.away,score,pts.home,Sacramento
5:43.0,,,13-12,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by D. Fox)
5:42.0,Houston full timeout,,13-12,,
5:42.0,,,13-12,,B. Hield enters the game for W. Cauley-Stein
5:42.0,,,13-12,,J. Cooley enters the game for B. Bogdanovic
5:42.0,A. Jackson enters the game for J. Johnson,,13-12,,
5:42.0,Z. Qi enters the game for T. Black,,13-12,,
5:21.0,G. Green misses 3-pt shot from 25 ft,,13-12,,
5:17.0,,,13-12,,Defensive rebound by B. Hield
5:01.0,,,13-15,3,D. Fox makes 3-pt shot from 23 ft (assist by J. Jackson)
4:45.0,Z. Qi makes 2-pt shot from 6 ft (assist by P. Tucker),2,15-15,,
4:28.0,,,15-15,,J. Sampson misses 2-pt shot from 8 ft (block by Z. Qi)
4:28.0,,,15-15,,Offensive rebound by Team
4:28.0,,,15-15,,N. Hayes enters the game for J. Sampson
4:25.0,,,15-17,2,N. Hayes makes 2-pt shot from 17 ft (assist by B. Hield)
4:05.0,A. Jackson misses 2-pt shot at rim (block by N. Hayes),,15-17,,
4:05.0,Offensive rebound by Team,,15-17,,
3:59.0,G. Green makes 2-pt shot from 9 ft,2,17-17,,
3:55.0,,,17-17,,Turnover by D. Fox (out of bounds lost ball)
3:44.0,Z. Qi misses 2-pt shot from 2 ft (block by J. Jackson),,17-17,,
3:44.0,Offensive rebound by Team,,17-17,,
3:44.0,,,17-17,,B. Bogdanovic enters the game for D. Fox
3:39.0,Jump ball: J. Jackson vs. Z. Qi (G. Green gains possession),,,,Jump ball: J. Jackson vs. Z. Qi (G. Green gains possession)
3:35.0,G. Green makes 2-pt shot from 18 ft,2,19-17,,
3:13.0,,,19-17,,J. Jackson misses 3-pt shot from 22 ft
3:09.0,Defensive rebound by Z. Qi,,19-17,,
3:02.0,,,19-17,,Personal foul by J. Cooley (drawn by G. Green)
3:02.0,,,19-17,,V. Carter enters the game for J. Jackson
2:47.0,P. Tucker misses 3-pt shot from 25 ft,,19-17,,
2:45.0,,,19-17,,Defensive rebound by B. Bogdanovic
2:42.0,,,19-20,3,B. Hield makes 3-pt shot from 24 ft (assist by B. Bogdanovic)
2:26.0,R. Hunter makes 3-pt shot from 22 ft (assist by Z. Qi),3,22-20,,
2:02.0,,,22-22,2,J. Cooley makes 2-pt shot from 2 ft (assist by B. Bogdanovic)
1:50.0,Offensive foul by R. Hunter (drawn by B. Bogdanovic),,22-22,,
1:50.0,Turnover by R. Hunter (offensive foul),,22-22,,
1:50.0,,,22-22,,Sacramento full timeout
1:50.0,J. Johnson enters the game for P. Tucker,,22-22,,
1:50.0,C. Onuaku enters the game for G. Green,,22-22,,
1:35.0,,,22-24,2,B. Hield makes 2-pt shot from 3 ft
1:19.0,C. Onuaku misses 2-pt shot from 19 ft,,22-24,,
1:17.0,,,22-24,,Defensive rebound by N. Hayes
1:11.0,,,22-24,,N. Hayes misses 3-pt shot from 23 ft
1:05.0,Defensive rebound by C. Onuaku,,22-24,,
0:58.0,Turnover by J. Johnson (lost ball; steal by B. Hield),,22-24,,
0:51.0,,,22-27,3,B. Hield makes 3-pt shot from 24 ft (assist by B. Bogdanovic)
0:38.0,Z. Qi misses 3-pt shot from 25 ft,,22-27,,
0:35.0,Offensive rebound by C. Onuaku,,22-27,,
0:32.0,C. Onuaku misses 2-pt shot from 4 ft,,22-27,,
0:30.0,,,22-27,,Defensive rebound by B. Bogdanovic
0:28.0,Personal foul by A. Jackson (drawn by B. Bogdanovic),,22-27,,
0:23.0,Personal foul by R. Hunter (drawn by J. Cooley),,22-27,,
0:23.0,,,22-27,,J. Cooley misses free throw 1 of 2
0:23.0,,,22-27,,Offensive rebound by Team
0:23.0,,,22-28,1,J. Cooley makes free throw 2 of 2
0:07.0,,,22-28,,Personal foul by B. Hield (drawn by C. Onuaku)
0:03.0,R. Hunter misses 3-pt shot from 28 ft,,22-28,,
0:00.0,,,22-28,,Defensive rebound by B. Hield
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,J. Johnson misses 3-pt shot from 32 ft,,22-28,,
11:34.0,,,22-28,,Defensive rebound by B. Bogdanovic
11:18.0,,,22-31,2,V. Carter makes 3-pt shot from 26 ft (assist by B. Hield)
11:04.0,T. Black misses 2-pt shot from 6 ft,,22-31,,
11:02.0,,,22-31,,Defensive rebound by J. Cooley
10:46.0,,,22-31,,Turnover by J. Cooley (bad pass)
10:28.0,J. Johnson misses 2-pt shot from 12 ft,,22-31,,
10:24.0,Offensive rebound by T. Black,,22-31,,
10:22.0,T. Black makes 2-pt shot from 7 ft,2,24-31,,
10:04.0,,,24-31,,Turnover by B. Bogdanovic (bad pass)
9:52.0,J. Johnson misses 2-pt shot from 18 ft,,24-31,,
9:50.0,,,24-31,,Defensive rebound by B. Bogdanovic
9:48.0,Personal foul by C. Onuaku (drawn by B. Bogdanovic),,24-31,,
9:48.0,,,24-31,,D. Fox enters the game for B. Hield
9:35.0,Personal foul by C. Onuaku (drawn by J. Cooley),,24-31,,
9:28.0,,,24-33,2,D. Fox makes 2-pt shot from 2 ft
9:13.0,C. Onuaku makes 2-pt shot from 8 ft,2,26-33,,
9:04.0,,,26-33,,B. Bogdanovic misses 2-pt shot from 22 ft
9:01.0,Defensive rebound by T. Black,,26-33,,
8:50.0,A. Jackson makes 2-pt shot at rim (assist by T. Black),2,28-33,,
8:39.0,,,28-35,2,B. Bogdanovic makes 2-pt shot from 4 ft (assist by J. Cooley)
8:29.0,A. Jackson makes 3-pt shot at rim,3,31-35,,
8:17.0,,,31-35,,J. Cooley misses 2-pt shot from 4 ft
8:15.0,,,31-35,,Offensive rebound by Team
8:15.0,Loose ball foul by T. Black (drawn by J. Cooley),,31-35,,
8:15.0,,,31-35,,W. Cauley-Stein enters the game for J. Cooley
8:07.0,,,31-35,,Shooting foul by T. Black (drawn by W. Cauley-Stein)
8:07.0,,,31-36,1,W. Cauley-Stein makes free throw 1 of 2
8:07.0,,,31-37,1,W. Cauley-Stein makes free throw 2 of 2
7:49.0,,,31-37,,Violation by N. Hayes (kicked ball)
7:34.0,J. Johnson misses 2-pt shot from 20 ft,,31-37,,
7:31.0,,,31-37,,Defensive rebound by W. Cauley-Stein
7:16.0,,,31-39,2,V. Carter makes 2-pt shot from 1 ft
6:59.0,,,31-39,,Personal foul by N. Hayes (drawn by C. Onuaku)
6:59.0,,,31-39,,Sacramento full timeout
6:59.0,,,31-39,,J. Jackson enters the game for B. Bogdanovic
6:59.0,P. Tucker enters the game for Z. Qi,,31-39,,
6:59.0,R. Hunter enters the game for C. Onuaku,,31-39,,
6:59.0,G. Green enters the game for A. Jackson,,31-39,,
6:52.0,G. Green misses 3-pt shot from 25 ft,,31-39,,
6:48.0,,,31-39,,Defensive rebound by D. Fox
6:33.0,,,31-39,,N. Hayes misses 3-pt shot from 23 ft
6:28.0,Defensive rebound by R. Hunter,,31-39,,
6:25.0,P. Tucker misses 3-pt shot from 23 ft,,31-39,,
6:22.0,,,31-39,,Defensive rebound by V. Carter
6:08.0,,,31-41,2,N. Hayes makes 2-pt shot from 19 ft
5:48.0,T. Black makes 2-pt shot from 1 ft (assist by J. Johnson),2,33-41,,
5:22.0,,,33-41,,V. Carter misses 2-pt shot from 16 ft
5:19.0,Defensive rebound by P. Tucker,,33-41,,
5:03.0,J. Johnson misses 2-pt shot from 2 ft,,33-41,,
5:00.0,,,33-41,,Defensive rebound by W. Cauley-Stein
4:52.0,Personal foul by R. Hunter (drawn by W. Cauley-Stein),,33-41,,
4:52.0,,,33-41,,W. Cauley-Stein misses free throw 1 of 2
4:52.0,,,33-41,,Offensive rebound by Team
4:52.0,,,33-41,,B. Hield enters the game for V. Carter
4:52.0,,,33-41,,J. Sampson enters the game for N. Hayes
4:52.0,,,33-42,1,W. Cauley-Stein makes free throw 2 of 2
4:34.0,G. Green makes 3-pt shot from 22 ft,3,36-42,,
4:09.0,,,36-44,2,B. Hield makes 2-pt shot from 18 ft
3:58.0,R. Hunter misses 3-pt shot from 25 ft,,36-44,,
3:54.0,Offensive rebound by P. Tucker,,36-44,,
3:42.0,G. Green misses 3-pt shot from 23 ft,,36-44,,
3:40.0,,,36-44,,Defensive rebound by D. Fox
3:33.0,,,36-46,2,W. Cauley-Stein makes 2-pt shot from 5 ft (assist by D. Fox)
3:08.0,T. Black misses 2-pt shot from 16 ft,,36-46,,
3:05.0,,,36-46,,Defensive rebound by J. Jackson
3:00.0,,,36-46,,D. Fox misses 3-pt shot from 24 ft
2:57.0,Defensive rebound by P. Tucker,,36-46,,
2:49.0,G. Green makes 3-pt shot from 22 ft,3,39-46,,
2:31.0,,,39-48,2,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by B. Hield)
2:30.0,Houston full timeout,,39-48,,
2:30.0,A. Jackson enters the game for R. Hunter,,39-48,,
2:30.0,Z. Qi enters the game for J. Johnson,,39-48,,
2:16.0,Shooting foul by W. Cauley-Stein (drawn by T. Black),,39-48,,
2:16.0,T. Black misses free throw 1 of 2,,39-48,,
2:16.0,Offensive rebound by Team,,39-48,,
2:16.0,T. Black misses free throw 2 of 2,,39-48,,
2:13.0,,,39-48,,Defensive rebound by W. Cauley-Stein
2:03.0,,,39-50,2,D. Fox makes 2-pt shot from 2 ft (assist by J. Jackson)
1:44.0,,,39-50,,Personal foul by D. Fox (drawn by A. Jackson)
1:39.0,G. Green misses 3-pt shot from 24 ft,,39-50,,
1:36.0,Offensive rebound by T. Black,,39-50,,
1:33.0,P. Tucker misses 3-pt shot from 22 ft,,39-50,,
1:31.0,,,39-50,,Defensive rebound by D. Fox
1:31.0,,,39-50,,Turnover by D. Fox (bad pass)
1:24.0,A. Jackson misses 3-pt shot at rim,,39-50,,
1:21.0,,,39-50,,Defensive rebound by W. Cauley-Stein
1:05.0,,,39-52,2,J. Sampson makes 2-pt shot from 1 ft (assist by W. Cauley-Stein)
0:52.0,G. Green makes 2-pt shot from 18 ft,2,41-52,,
0:29.0,,,41-52,,J. Jackson misses 3-pt shot from 22 ft
0:26.0,Defensive rebound by T. Black,,41-52,,
0:21.0,G. Green makes 3-pt shot from 24 ft,3,44-52,,
0:00.0,,,44-52,,Shooting foul by T. Black (drawn by D. Fox)
0:00.0,,,44-52,,D. Fox misses free throw 1 of 2
0:00.0,,,44-52,,Offensive rebound by Team
0:00.0,,,44-52,,D. Fox misses free throw 2 of 2
0:00.0,Defensive rebound by P. Tucker,,44-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:52.0,Offensive foul by P. Tucker (drawn by J. Jackson),,44-52,,
11:52.0,Turnover by P. Tucker (offensive foul),,44-52,,
11:33.0,,,44-54,2,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by D. Fox)
11:15.0,T. Black makes 2-pt shot from 2 ft (assist by J. Johnson),2,46-54,,
10:51.0,,,46-56,2,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by D. Fox)
10:31.0,J. Johnson makes 2-pt shot from 12 ft,2,48-56,,
10:14.0,Violation by P. Tucker (kicked ball),,48-56,,
10:04.0,,,48-56,,J. Sampson misses 2-pt shot from 2 ft
10:01.0,Defensive rebound by P. Tucker,,48-56,,
9:57.0,G. Green makes 3-pt shot from 25 ft,3,51-56,,
9:47.0,,,51-56,,Turnover by D. Fox (bad pass)
9:42.0,Shooting foul by J. Jackson (drawn by G. Green),,51-56,,
9:42.0,G. Green makes free throw 1 of 2,1,52-56,,
9:42.0,G. Green makes free throw 2 of 2,1,53-56,,
9:32.0,,,53-56,,D. Fox misses 2-pt shot from 7 ft
9:29.0,,,53-56,,Offensive rebound by W. Cauley-Stein
9:26.0,,,53-58,2,W. Cauley-Stein makes 2-pt shot from 1 ft
9:10.0,Turnover by G. Green (bad pass; steal by W. Cauley-Stein),,53-58,,
9:08.0,,,53-58,,Turnover by D. Fox (bad pass)
8:55.0,G. Green misses 3-pt shot from 24 ft,,53-58,,
8:52.0,,,53-58,,Defensive rebound by J. Sampson
8:38.0,,,53-60,2,W. Cauley-Stein makes 2-pt shot from 11 ft
8:19.0,Turnover by P. Tucker (bad pass; steal by B. Bogdanovic),,53-60,,
8:16.0,Personal foul by A. Jackson (drawn by B. Bogdanovic),,53-60,,
8:06.0,Personal foul by G. Green (drawn by W. Cauley-Stein),,53-60,,
7:59.0,,,53-62,2,D. Fox makes 2-pt shot from 21 ft
7:43.0,A. Jackson misses 2-pt shot at rim,,53-62,,
7:39.0,,,53-62,,Defensive rebound by J. Sampson
7:30.0,,,53-62,,J. Sampson misses 2-pt shot from 2 ft
7:27.0,Defensive rebound by P. Tucker,,53-62,,
7:12.0,Turnover by G. Green (palming),,53-62,,
6:56.0,,,53-62,,B. Bogdanovic misses 2-pt shot from 19 ft
6:52.0,Defensive rebound by T. Black,,53-62,,
6:44.0,G. Green misses 3-pt shot from 24 ft,,53-62,,
6:40.0,Offensive rebound by A. Jackson,,53-62,,
6:38.0,P. Tucker misses 3-pt shot from 23 ft,,53-62,,
6:35.0,,,53-62,,Defensive rebound by D. Fox
6:27.0,,,53-64,2,J. Sampson makes 2-pt shot from 1 ft (assist by W. Cauley-Stein)
6:27.0,,,53-64,,Shooting foul by A. Jackson (drawn by J. Sampson)
6:27.0,,,53-64,,Sacramento full timeout
6:27.0,,,53-64,,B. Hield enters the game for B. Bogdanovic
6:27.0,R. Hunter enters the game for T. Black,,53-64,,
6:27.0,Z. Qi enters the game for J. Johnson,,53-64,,
6:27.0,,,53-65,1,J. Sampson makes free throw 1 of 1
6:11.0,G. Green makes 3-pt shot from 23 ft (assist by A. Jackson),3,56-65,,
5:57.0,,,56-65,,B. Hield misses 2-pt shot from 19 ft
5:52.0,Defensive rebound by G. Green,,56-65,,
5:48.0,G. Green makes 3-pt shot from 25 ft,3,59-65,,
5:25.0,,,59-65,,J. Jackson misses 2-pt shot from 9 ft
5:21.0,Defensive rebound by P. Tucker,,59-65,,
5:17.0,G. Green misses 2-pt shot from 2 ft,,59-65,,
5:15.0,Offensive rebound by A. Jackson,,59-65,,
5:14.0,A. Jackson misses 2-pt shot at rim,,59-65,,
5:14.0,,,59-65,,Defensive rebound by D. Fox
5:02.0,,,59-67,2,B. Hield makes 2-pt shot from 7 ft
5:02.0,,,59-67,,Shooting foul by R. Hunter (drawn by B. Hield)
5:02.0,,,59-67,,V. Carter enters the game for J. Jackson
5:02.0,T. Black enters the game for R. Hunter,,59-67,,
5:02.0,,,59-67,,B. Hield misses free throw 1 of 1
5:02.0,Defensive rebound by T. Black,,59-67,,
4:50.0,Shooting foul by D. Fox (drawn by A. Jackson),,59-67,,
4:50.0,A. Jackson makes free throw 1 of 2,1,60-67,,
4:50.0,,,60-67,,N. Hayes enters the game for J. Sampson
4:50.0,A. Jackson misses free throw 2 of 2,,60-67,,
4:47.0,,,60-67,,Defensive rebound by W. Cauley-Stein
4:32.0,,,60-69,2,B. Hield makes 2-pt shot from 22 ft
4:18.0,Turnover by G. Green (lost ball; steal by B. Hield),,60-69,,
4:14.0,,,60-71,2,D. Fox makes 2-pt shot from 2 ft
4:01.0,G. Green misses 3-pt shot from 24 ft,,60-71,,
3:59.0,,,60-71,,Defensive rebound by N. Hayes
3:42.0,,,60-71,,N. Hayes misses 2-pt shot from 14 ft
3:39.0,Defensive rebound by T. Black,,60-71,,
3:17.0,P. Tucker misses 3-pt shot from 24 ft,,60-71,,
3:13.0,,,60-71,,Defensive rebound by N. Hayes
3:04.0,,,60-73,2,W. Cauley-Stein makes 2-pt shot from 2 ft
2:43.0,Turnover by A. Jackson (out of bounds lost ball),,60-73,,
2:43.0,Houston full timeout,,60-73,,
2:43.0,,,60-73,,B. Bogdanovic enters the game for W. Cauley-Stein
2:43.0,,,60-73,,J. Cooley enters the game for D. Fox
2:43.0,C. Onuaku enters the game for G. Green,,60-73,,
2:43.0,J. Johnson enters the game for A. Jackson,,60-73,,
2:28.0,,,60-73,,Shooting foul by T. Black (drawn by J. Cooley)
2:28.0,,,60-73,,J. Cooley misses free throw 1 of 2
2:28.0,,,60-73,,Offensive rebound by Team
2:28.0,,,60-74,1,J. Cooley makes free throw 2 of 2
2:17.0,Turnover by C. Onuaku (bad pass),,60-74,,
2:00.0,,,60-74,,Offensive foul by J. Cooley (drawn by P. Tucker)
2:00.0,,,60-74,,Turnover by J. Cooley (offensive foul)
1:50.0,Z. Qi misses 3-pt shot from 25 ft,,60-74,,
1:47.0,Offensive rebound by Team,,60-74,,
1:27.0,T. Black makes 3-pt shot from 22 ft (assist by J. Johnson),3,63-74,,
1:06.0,,,63-77,3,V. Carter makes 3-pt shot from 25 ft (assist by B. Hield)
1:00.0,Turnover by Z. Qi (traveling),,63-77,,
0:48.0,,,63-77,,Turnover by B. Bogdanovic (turnover)
0:34.0,Turnover by J. Johnson (turnover),,63-77,,
0:30.0,,,63-77,,B. Bogdanovic misses 3-pt shot from 24 ft
0:28.0,,,63-77,,Offensive rebound by B. Hield
0:28.0,,,63-77,,B. Hield misses 2-pt shot from 1 ft (block by T. Black)
0:28.0,,,63-77,,Offensive rebound by Team
0:28.0,Loose ball foul by C. Onuaku (drawn by J. Cooley),,63-77,,
0:28.0,,,63-78,1,J. Cooley makes free throw 1 of 2
0:28.0,,,63-79,1,J. Cooley makes free throw 2 of 2
0:07.0,J. Johnson misses 2-pt shot from 23 ft,,63-79,,
0:04.0,Offensive rebound by P. Tucker,,63-79,,
0:02.0,T. Black misses 2-pt shot from 21 ft,,63-79,,
0:02.0,,,63-79,,Defensive rebound by B. Hield
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,Personal foul by J. Johnson (drawn by J. Cooley),,63-79,,
11:37.0,,,63-82,3,B. Bogdanovic makes 3-pt shot from 25 ft
11:19.0,J. Johnson misses 3-pt shot from 25 ft,,63-82,,
11:15.0,,,63-82,,Defensive rebound by V. Carter
11:11.0,,,63-84,2,B. Bogdanovic makes 2-pt shot from 21 ft (assist by V. Carter)
10:52.0,R. Hunter makes 2-pt shot from 2 ft (assist by C. Onuaku),2,65-84,,
10:52.0,Shooting foul by N. Hayes (drawn by R. Hunter),,65-84,,
10:52.0,R. Hunter makes free throw 1 of 1,1,66-84,,
10:37.0,,,66-84,,B. Hield misses 3-pt shot from 27 ft
10:36.0,Defensive rebound by Team,,66-84,,
10:36.0,,,66-84,,Loose ball foul by J. Cooley (drawn by A. Jackson)
10:24.0,A. Jackson misses 3-pt shot at rim,,66-84,,
10:21.0,,,66-84,,Defensive rebound by V. Carter
10:13.0,Personal foul by A. Jackson (drawn by V. Carter),,66-84,,
10:02.0,,,66-84,,Shooting foul by J. Johnson (drawn by J. Cooley)
10:02.0,,,66-85,1,J. Cooley makes free throw 1 of 2
10:02.0,,,66-86,1,J. Cooley makes free throw 2 of 2
9:49.0,Offensive foul by C. Onuaku (drawn by B. Hield),,66-86,,
9:49.0,Turnover by C. Onuaku (offensive foul),,66-86,,
9:28.0,,,66-86,,Turnover by V. Carter (bad pass; steal by R. Hunter)
9:23.0,C. Onuaku makes 2-pt shot from 1 ft (assist by R. Hunter),2,68-86,,
9:13.0,Personal foul by J. Johnson (drawn by J. Cooley),,68-86,,
9:13.0,T. Black enters the game for J. Johnson,,68-86,,
8:59.0,,,68-88,2,V. Carter makes 2-pt shot from 7 ft
8:43.0,A. Jackson makes 2-pt shot at rim,2,70-88,,
8:30.0,,,70-88,,J. Cooley misses 2-pt shot from 3 ft
8:28.0,,,70-88,,Offensive rebound by J. Cooley
8:27.0,,,70-88,,J. Cooley misses 2-pt shot from 3 ft (block by Z. Qi)
8:27.0,,,70-88,,Offensive rebound by N. Hayes
8:20.0,,,70-88,,B. Bogdanovic misses 3-pt shot from 25 ft
8:18.0,Defensive rebound by R. Hunter,,70-88,,
8:15.0,,,70-88,,Personal foul by B. Hield (drawn by R. Hunter)
8:15.0,,,70-88,,W. Cauley-Stein enters the game for B. Bogdanovic
8:15.0,,,70-88,,J. Jackson enters the game for J. Cooley
8:00.0,T. Black misses 3-pt shot from 22 ft,,70-88,,
7:57.0,,,70-88,,Defensive rebound by W. Cauley-Stein
7:41.0,,,70-88,,V. Carter misses 2-pt shot from 9 ft
7:38.0,Defensive rebound by Z. Qi,,70-88,,
7:33.0,R. Hunter misses 3-pt shot from 27 ft,,70-88,,
7:31.0,,,70-88,,Defensive rebound by W. Cauley-Stein
7:31.0,,,70-88,,Sacramento full timeout
7:16.0,,,70-90,2,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by B. Hield)
6:58.0,C. Onuaku misses 2-pt shot from 3 ft,,70-90,,
6:54.0,,,70-90,,Defensive rebound by W. Cauley-Stein
6:47.0,,,70-90,,B. Hield misses 2-pt shot from 3 ft (block by Z. Qi)
6:47.0,,,70-90,,Offensive rebound by Team
6:37.0,,,70-90,,B. Hield misses 3-pt shot from 25 ft
6:34.0,Defensive rebound by Z. Qi,,70-90,,
6:17.0,R. Hunter makes 3-pt shot from 25 ft,3,73-90,,
5:54.0,,,73-90,,V. Carter misses 3-pt shot from 23 ft
5:49.0,Defensive rebound by R. Hunter,,73-90,,
5:43.0,R. Hunter makes 2-pt shot from 16 ft,2,75-90,,
5:26.0,,,75-90,,W. Cauley-Stein misses 2-pt shot from 14 ft
5:24.0,Defensive rebound by T. Black,,75-90,,
5:19.0,R. Hunter makes 3-pt shot from 31 ft,3,78-90,,
5:17.0,,,78-90,,Sacramento full timeout
4:55.0,,,78-90,,B. Hield misses 2-pt shot from 2 ft (block by Z. Qi)
4:52.0,,,78-90,,Offensive rebound by B. Hield
4:51.0,,,78-90,,B. Hield misses 2-pt shot from 9 ft
4:51.0,Defensive rebound by R. Hunter,,78-90,,
4:43.0,Turnover by C. Onuaku (bad pass; steal by N. Hayes),,78-90,,
4:26.0,,,78-90,,W. Cauley-Stein misses 2-pt shot from 17 ft
4:22.0,Defensive rebound by A. Jackson,,78-90,,
4:15.0,R. Hunter misses 3-pt shot from 29 ft,,78-90,,
4:11.0,,,78-90,,Defensive rebound by J. Jackson
3:51.0,,,78-92,2,V. Carter makes 2-pt shot from 2 ft (assist by W. Cauley-Stein)
3:29.0,R. Hunter makes 2-pt shot from 2 ft,2,80-92,,
3:29.0,Shooting foul by J. Jackson (drawn by R. Hunter),,80-92,,
3:29.0,,,80-92,,B. Bogdanovic enters the game for B. Hield
3:29.0,,,80-92,,J. Sampson enters the game for N. Hayes
3:29.0,R. Hunter makes free throw 1 of 1,1,81-92,,
3:12.0,,,81-92,,W. Cauley-Stein misses 2-pt shot from 3 ft
3:10.0,Defensive rebound by C. Onuaku,,81-92,,
3:02.0,Z. Qi misses 3-pt shot from 25 ft,,81-92,,
2:59.0,,,81-92,,Defensive rebound by B. Bogdanovic
2:44.0,,,81-94,2,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by B. Bogdanovic)
2:25.0,Shooting foul by B. Bogdanovic (drawn by T. Black),,81-94,,
2:25.0,T. Black makes free throw 1 of 2,1,82-94,,
2:25.0,,,82-94,,J. Cooley enters the game for V. Carter
2:25.0,T. Black makes free throw 2 of 2,1,83-94,,
2:06.0,,,83-94,,B. Bogdanovic misses 3-pt shot from 25 ft
2:04.0,Defensive rebound by Team,,83-94,,
1:56.0,R. Hunter misses 2-pt shot from 4 ft (block by J. Sampson),,83-94,,
1:49.0,,,83-94,,Defensive rebound by W. Cauley-Stein
1:41.0,Personal foul by T. Black (drawn by J. Cooley),,83-94,,
1:41.0,,,83-95,1,J. Cooley makes free throw 1 of 2
1:41.0,,,83-95,,N. Hayes enters the game for W. Cauley-Stein
1:41.0,,,83-96,1,J. Cooley makes free throw 2 of 2
1:27.0,A. Jackson misses 3-pt shot at rim,,83-96,,
1:23.0,,,83-96,,Defensive rebound by J. Cooley
1:17.0,,,83-96,,J. Jackson misses 3-pt shot from 27 ft
1:13.0,Defensive rebound by T. Black,,83-96,,
1:04.0,Turnover by R. Hunter (bad pass; steal by B. Bogdanovic),,83-96,,
0:44.0,,,83-96,,B. Bogdanovic misses 3-pt shot from 28 ft
