time,Portland,pts.away,score,pts.home,New York
0:07.0,D. Lillard misses 2-pt shot from 1 ft,,28-23,,
0:07.0,Offensive rebound by Team,,28-23,,
0:07.0,P. Connaughton enters the game for E. Davis,,28-23,,
0:03.0,E. Turner makes 2-pt shot from 18 ft (assist by P. Connaughton),2,30-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,30-23,,W. Hernangomez misses 2-pt shot from 6 ft
11:41.0,Defensive rebound by E. Davis,,30-23,,
11:26.0,E. Davis makes 2-pt shot at rim (assist by C. McCollum),2,32-23,,
11:13.0,,,32-23,,Turnover by W. Hernangomez (traveling)
11:13.0,,,32-23,,C. Lee enters the game for D. Dotson
10:59.0,C. McCollum makes 2-pt shot from 10 ft,2,34-23,,
10:44.0,,,34-23,,Turnover by F. Ntilikina (bad pass; steal by E. Turner)
10:38.0,C. McCollum makes 3-pt shot from 24 ft (assist by E. Turner),3,37-23,,
10:38.0,,,37-23,,New York full timeout
10:38.0,,,37-23,,K. O'Quinn enters the game for W. Hernangomez
10:29.0,,,37-23,,F. Ntilikina misses 2-pt shot from 22 ft
10:26.0,Defensive rebound by E. Davis,,37-23,,
10:20.0,E. Turner misses 2-pt shot from 15 ft,,37-23,,
10:19.0,Offensive rebound by Team,,37-23,,
10:19.0,,,37-23,,Loose ball foul by D. McDermott (drawn by E. Davis)
9:58.0,C. McCollum misses 2-pt shot at rim,,37-23,,
9:54.0,Offensive rebound by E. Davis,,37-23,,
9:54.0,E. Davis makes 2-pt shot at rim,2,39-23,,
9:37.0,,,39-25,2,C. Lee makes 2-pt shot from 2 ft
9:15.0,E. Turner misses 2-pt shot from 18 ft,,39-25,,
9:13.0,,,39-25,,Defensive rebound by D. McDermott
9:08.0,,,39-25,,F. Ntilikina misses 2-pt shot from 3 ft
9:04.0,,,39-25,,Offensive rebound by L. Thomas
8:53.0,,,39-27,2,D. McDermott makes 2-pt shot from 1 ft (assist by K. O'Quinn)
8:34.0,S. Napier misses 3-pt shot from 22 ft,,39-27,,
8:32.0,,,39-27,,Defensive rebound by L. Thomas
8:24.0,,,39-27,,K. O'Quinn misses 2-pt shot from 18 ft
8:21.0,Defensive rebound by C. McCollum,,39-27,,
8:13.0,E. Turner makes 2-pt shot from 10 ft,2,41-27,,
7:44.0,,,41-27,,F. Ntilikina misses 2-pt shot from 22 ft
7:44.0,Defensive rebound by E. Turner,,41-27,,
7:35.0,E. Turner misses 2-pt shot from 15 ft,,41-27,,
7:33.0,,,41-27,,Defensive rebound by L. Thomas
7:27.0,,,41-27,,L. Thomas misses 3-pt shot from 26 ft
7:27.0,Defensive rebound by C. McCollum,,41-27,,
7:04.0,,,41-27,,Personal foul by F. Ntilikina (drawn by S. Napier)
