time,Atlanta,pts.away,score,pts.home,Miami
1:37.0,,,19-21,,T. Johnson misses 2-pt shot from 19 ft
1:35.0,Defensive rebound by J. Collins,,19-21,,
1:17.0,J. Collins makes 2-pt shot at rim (assist by I. Taylor),2,21-21,,
1:04.0,,,21-24,3,K. Olynyk makes 3-pt shot from 25 ft (assist by J. Richardson)
0:49.0,Turnover by I. Taylor (bad pass; steal by K. Olynyk),,21-24,,
0:45.0,,,21-24,,J. Richardson misses 2-pt shot from 1 ft
0:42.0,,,21-24,,Offensive rebound by W. Ellington
0:39.0,,,21-24,,W. Ellington misses 2-pt shot from 3 ft
0:39.0,Defensive rebound by J. Collins,,21-24,,
0:31.0,L. Babbitt makes 2-pt shot from 17 ft,2,23-24,,
0:14.0,,,23-26,2,T. Johnson makes 2-pt shot from 1 ft (assist by K. Olynyk)
0:00.0,K. Bazemore misses 2-pt shot from 13 ft,,23-26,,
0:00.0,Offensive rebound by Team,,23-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,23-26,,Turnover by K. Olynyk (bad pass)
11:24.0,J. Collins makes 2-pt shot from 2 ft (assist by K. Bazemore),2,25-26,,
11:03.0,,,25-29,3,D. Waiters makes 3-pt shot from 26 ft (assist by W. Ellington)
10:48.0,K. Bazemore misses 3-pt shot from 23 ft,,25-29,,
10:43.0,,,25-29,,Defensive rebound by J. Winslow
10:34.0,,,25-29,,J. Winslow misses 3-pt shot from 23 ft
10:31.0,Defensive rebound by J. Collins,,25-29,,
10:25.0,,,25-29,,Personal foul by W. Ellington (drawn by T. Dorsey)
10:25.0,M. Delaney enters the game for J. Collins,,25-29,,
10:25.0,D. Dedmon enters the game for I. Taylor,,25-29,,
10:13.0,M. Delaney misses 2-pt shot from 18 ft,,25-29,,
10:10.0,,,25-29,,Defensive rebound by W. Ellington
10:03.0,,,25-32,3,W. Ellington makes 3-pt shot from 27 ft (assist by D. Waiters)
9:39.0,K. Bazemore misses 3-pt shot from 26 ft,,25-32,,
9:35.0,,,25-32,,Defensive rebound by D. Waiters
9:32.0,,,25-32,,W. Ellington misses 3-pt shot from 25 ft
9:28.0,,,25-32,,Offensive rebound by J. Winslow
9:23.0,,,25-34,2,D. Waiters makes 2-pt shot from 1 ft
9:23.0,Atlanta full timeout,,25-34,,
9:23.0,M. Muscala enters the game for L. Babbitt,,25-34,,
9:03.0,K. Bazemore misses 2-pt shot from 2 ft,,25-34,,
9:00.0,,,25-34,,Defensive rebound by K. Olynyk
8:52.0,,,25-34,,Violation by W. Ellington (kicked ball)
8:43.0,,,25-34,,J. Winslow misses 2-pt shot from 15 ft
8:40.0,Defensive rebound by T. Dorsey,,25-34,,
8:36.0,Turnover by T. Dorsey (traveling),,25-34,,
8:36.0,T. Waller-Prince enters the game for K. Bazemore,,25-34,,
8:21.0,,,25-34,,Turnover by K. Olynyk (traveling)
7:55.0,M. Muscala misses 2-pt shot from 8 ft,,25-34,,
7:52.0,,,25-34,,Defensive rebound by K. Olynyk
7:46.0,,,25-37,3,W. Ellington makes 3-pt shot from 25 ft (assist by K. Olynyk)
7:27.0,M. Muscala misses 3-pt shot from 25 ft,,25-37,,
7:24.0,,,25-37,,Defensive rebound by K. Olynyk
7:15.0,,,25-37,,T. Johnson misses 3-pt shot from 22 ft
7:12.0,Defensive rebound by D. Dedmon,,25-37,,
7:07.0,Shooting foul by D. Waiters (drawn by M. Delaney),,25-37,,
7:07.0,M. Delaney misses free throw 1 of 2,,25-37,,
7:07.0,Offensive rebound by Team,,25-37,,
7:07.0,,,25-37,,G. Dragic enters the game for D. Waiters
7:07.0,M. Belinelli enters the game for T. Dorsey,,25-37,,
7:07.0,M. Delaney makes free throw 2 of 2,1,26-37,,
6:55.0,,,26-40,3,W. Ellington makes 3-pt shot from 25 ft
6:31.0,M. Delaney makes 2-pt shot from 16 ft,2,28-40,,
6:12.0,,,28-42,2,J. Winslow makes 2-pt shot from 2 ft (assist by G. Dragic)
6:00.0,T. Waller-Prince makes 2-pt shot from 2 ft,2,30-42,,
5:36.0,,,30-45,3,W. Ellington makes 3-pt shot from 25 ft
5:20.0,T. Waller-Prince makes 2-pt shot from 20 ft,2,32-45,,
5:08.0,Personal foul by T. Waller-Prince (drawn by W. Ellington),,32-45,,
5:01.0,,,32-45,,Turnover by W. Ellington (traveling)
4:46.0,T. Waller-Prince makes 2-pt shot from 1 ft,2,34-45,,
4:33.0,,,34-45,,J. Winslow misses 2-pt shot from 1 ft
4:31.0,Defensive rebound by M. Belinelli,,34-45,,
4:25.0,M. Belinelli makes 2-pt shot from 16 ft,2,36-45,,
4:25.0,,,36-45,,Miami full timeout
4:25.0,,,36-45,,J. Richardson enters the game for T. Johnson
4:25.0,,,36-45,,J. Johnson enters the game for J. Winslow
4:25.0,L. Babbitt enters the game for D. Dedmon,,36-45,,
4:25.0,J. Collins enters the game for M. Muscala,,36-45,,
4:15.0,,,36-48,3,W. Ellington makes 3-pt shot from 25 ft (assist by G. Dragic)
4:03.0,M. Belinelli makes 3-pt shot from 25 ft (assist by J. Collins),3,39-48,,
3:45.0,,,39-51,3,J. Richardson makes 3-pt shot from 26 ft (assist by G. Dragic)
3:35.0,M. Belinelli misses 3-pt shot from 25 ft,,39-51,,
3:32.0,,,39-51,,Defensive rebound by J. Johnson
3:27.0,,,39-54,3,G. Dragic makes 3-pt shot from 25 ft (assist by K. Olynyk)
3:06.0,M. Delaney misses 2-pt shot from 2 ft,,39-54,,
3:02.0,,,39-54,,Defensive rebound by K. Olynyk
2:59.0,,,39-54,,Turnover by G. Dragic (bad pass; steal by M. Delaney)
2:51.0,L. Babbitt makes 2-pt shot from 1 ft,2,41-54,,
2:30.0,,,41-54,,K. Olynyk misses 3-pt shot from 25 ft
2:27.0,Defensive rebound by J. Collins,,41-54,,
2:14.0,J. Collins misses 2-pt shot from 3 ft (block by K. Olynyk),,41-54,,
2:09.0,Offensive rebound by J. Collins,,41-54,,
2:07.0,M. Belinelli makes 2-pt shot from 16 ft (assist by J. Collins),2,43-54,,
1:52.0,,,43-56,2,K. Olynyk makes 2-pt shot from 1 ft (assist by G. Dragic)
1:32.0,M. Delaney misses 2-pt shot from 4 ft,,43-56,,
1:29.0,,,43-56,,Defensive rebound by J. Johnson
1:27.0,,,43-59,3,W. Ellington makes 3-pt shot from 22 ft (assist by J. Johnson)
1:26.0,Atlanta full timeout,,43-59,,
1:26.0,,,43-59,,J. Mickey enters the game for K. Olynyk
1:26.0,K. Bazemore enters the game for M. Delaney,,43-59,,
1:26.0,,,43-60,1,W. Ellington makes free throw 1 of 1
1:26.0,,,43-60,,Technical foul by Team
0:59.0,,,43-60,,G. Dragic misses 2-pt shot from 18 ft
0:57.0,,,43-60,,Offensive rebound by J. Mickey
0:50.0,,,43-60,,J. Mickey misses 3-pt shot from 26 ft
0:48.0,Defensive rebound by L. Babbitt,,43-60,,
0:32.0,J. Collins misses 2-pt shot from 2 ft,,43-60,,
0:30.0,,,43-60,,Defensive rebound by J. Johnson
0:26.0,,,43-62,2,G. Dragic makes 2-pt shot from 1 ft (assist by J. Johnson)
0:11.0,Shooting foul by J. Mickey (drawn by K. Bazemore),,43-62,,
0:11.0,K. Bazemore makes free throw 1 of 2,1,44-62,,
0:11.0,I. Taylor enters the game for M. Belinelli,,44-62,,
0:11.0,M. Delaney enters the game for L. Babbitt,,44-62,,
0:11.0,K. Bazemore misses free throw 2 of 2,,44-62,,
0:07.0,,,44-62,,Defensive rebound by J. Johnson
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,44-62,,J. Mickey misses 2-pt shot from 7 ft
11:38.0,Defensive rebound by M. Muscala,,44-62,,
11:27.0,Turnover by M. Delaney (bad pass),,44-62,,
11:11.0,,,44-65,3,G. Dragic makes 3-pt shot from 25 ft
11:02.0,Turnover by M. Muscala (lost ball; steal by J. Johnson),,44-65,,
10:57.0,,,44-65,,G. Dragic misses 2-pt shot from 1 ft
10:53.0,Defensive rebound by D. Dedmon,,44-65,,
10:50.0,,,44-65,,Personal foul by J. Richardson (drawn by M. Muscala)
10:37.0,Shooting foul by G. Dragic (drawn by M. Delaney),,44-65,,
10:37.0,M. Delaney makes free throw 1 of 2,1,45-65,,
10:37.0,M. Delaney makes free throw 2 of 2,1,46-65,,
10:26.0,,,46-65,,D. Waiters misses 3-pt shot from 26 ft
10:24.0,Defensive rebound by D. Dedmon,,46-65,,
10:18.0,Turnover by T. Waller-Prince (bad pass),,46-65,,
10:08.0,,,46-65,,Turnover by G. Dragic (lost ball; steal by D. Dedmon)
10:01.0,T. Waller-Prince misses 3-pt shot from 23 ft,,46-65,,
9:58.0,Offensive rebound by M. Muscala,,46-65,,
9:57.0,M. Muscala makes 2-pt shot from 2 ft,2,48-65,,
9:45.0,,,48-65,,Turnover by J. Johnson (out of bounds lost ball)
9:32.0,K. Bazemore misses 2-pt shot from 2 ft (block by J. Mickey),,48-65,,
9:28.0,,,48-65,,Defensive rebound by D. Waiters
9:21.0,,,48-65,,J. Richardson misses 2-pt shot from 17 ft
9:19.0,Defensive rebound by M. Muscala,,48-65,,
9:07.0,T. Waller-Prince makes 3-pt shot from 22 ft,3,51-65,,
8:54.0,,,51-65,,J. Johnson misses 3-pt shot from 25 ft
8:49.0,,,51-65,,Offensive rebound by J. Mickey
8:49.0,,,51-65,,Offensive foul by J. Mickey (drawn by T. Waller-Prince)
8:49.0,,,51-65,,Turnover by J. Mickey (offensive foul)
8:38.0,M. Muscala makes 3-pt shot from 25 ft (assist by M. Delaney),3,54-65,,
8:37.0,,,54-65,,Miami full timeout
8:25.0,,,54-65,,J. Richardson misses 3-pt shot from 26 ft
8:25.0,Technical foul by T. Waller-Prince (drawn by G. Dragic),,54-65,,
8:24.0,,,54-65,,Defensive rebound by Team
8:23.0,,,54-65,,Technical foul by G. Dragic
8:23.0,,,54-65,,Technical foul by D. Waiters
8:23.0,K. Bazemore misses free throw 1 of 1,,54-65,,
8:23.0,Offensive rebound by Team,,54-65,,
8:23.0,,,54-65,,G. Dragic misses free throw 2 of 2
8:23.0,,,54-65,,Offensive rebound by Team
8:23.0,,,54-65,,G. Dragic misses free throw 1 of 2
8:23.0,,,54-65,,Offensive rebound by Team
8:23.0,Technical foul by D. Dedmon,,54-65,,
8:11.0,,,54-67,2,J. Johnson makes 2-pt shot from 14 ft (assist by G. Dragic)
7:54.0,Turnover by T. Waller-Prince (traveling),,54-67,,
7:37.0,,,54-67,,Turnover by D. Waiters (bad pass; steal by T. Waller-Prince)
7:32.0,Turnover by T. Waller-Prince (lost ball; steal by G. Dragic),,54-67,,
7:27.0,,,54-67,,J. Mickey misses 2-pt shot from 1 ft
7:26.0,Defensive rebound by Team,,54-67,,
7:26.0,,,54-67,,Loose ball foul by J. Mickey (drawn by M. Muscala)
7:16.0,Shooting foul by J. Richardson (drawn by K. Bazemore),,54-67,,
7:16.0,K. Bazemore makes free throw 1 of 2,1,55-67,,
7:16.0,,,55-67,,K. Olynyk enters the game for J. Mickey
7:16.0,K. Bazemore misses free throw 2 of 2,,55-67,,
7:12.0,,,55-67,,Defensive rebound by J. Richardson
6:57.0,,,55-69,2,D. Waiters makes 2-pt shot from 10 ft
6:43.0,M. Delaney makes 2-pt shot from 1 ft (assist by K. Bazemore),2,57-69,,
6:31.0,,,57-69,,Turnover by J. Richardson (bad pass; steal by K. Bazemore)
6:26.0,D. Dedmon misses 3-pt shot from 22 ft,,57-69,,
6:15.0,Offensive rebound by Team,,57-69,,
6:15.0,Turnover by T. Waller-Prince (lost ball; steal by K. Olynyk),,57-69,,
6:09.0,,,57-69,,G. Dragic misses 2-pt shot from 2 ft
6:08.0,Defensive rebound by M. Delaney,,57-69,,
6:08.0,Turnover by M. Delaney (turnover),,57-69,,
6:08.0,Loose ball foul by M. Delaney (drawn by D. Waiters),,57-69,,
6:08.0,M. Belinelli enters the game for D. Dedmon,,57-69,,
6:08.0,J. Collins enters the game for K. Bazemore,,57-69,,
5:56.0,,,57-71,2,J. Johnson makes 2-pt shot from 1 ft
5:41.0,Shooting foul by J. Johnson (drawn by J. Collins),,57-71,,
5:41.0,J. Collins makes free throw 1 of 2,1,58-71,,
5:41.0,,,58-71,,T. Johnson enters the game for J. Richardson
5:41.0,L. Babbitt enters the game for M. Muscala,,58-71,,
5:41.0,J. Collins makes free throw 2 of 2,1,59-71,,
5:33.0,,,59-73,2,J. Johnson makes 2-pt shot from 1 ft
5:14.0,J. Collins makes 2-pt shot at rim (assist by T. Waller-Prince),2,61-73,,
4:57.0,,,61-73,,D. Waiters misses 2-pt shot from 1 ft (block by J. Collins)
4:53.0,Defensive rebound by T. Waller-Prince,,61-73,,
4:52.0,T. Waller-Prince misses 2-pt shot from 1 ft,,61-73,,
4:45.0,,,61-73,,Defensive rebound by K. Olynyk
4:44.0,,,61-73,,Turnover by K. Olynyk (lost ball; steal by M. Delaney)
4:38.0,M. Delaney makes 3-pt shot from 23 ft (assist by M. Belinelli),3,64-73,,
4:35.0,,,64-73,,Miami full timeout
4:30.0,Personal foul by M. Delaney (drawn by K. Olynyk),,64-73,,
4:19.0,,,64-73,,K. Olynyk misses 2-pt shot from 6 ft
4:13.0,Defensive rebound by T. Waller-Prince,,64-73,,
4:01.0,T. Waller-Prince makes 2-pt shot from 1 ft,2,66-73,,
3:39.0,,,66-73,,G. Dragic misses 3-pt shot from 25 ft
3:33.0,Defensive rebound by M. Delaney,,66-73,,
3:25.0,M. Belinelli misses 3-pt shot from 23 ft,,66-73,,
3:21.0,,,66-73,,Defensive rebound by G. Dragic
3:04.0,,,66-73,,T. Johnson misses 3-pt shot from 25 ft
3:01.0,Defensive rebound by M. Delaney,,66-73,,
2:52.0,,,66-73,,W. Ellington enters the game for D. Waiters
2:52.0,,,66-73,,J. Winslow enters the game for J. Johnson
2:52.0,I. Taylor enters the game for M. Delaney,,66-73,,
2:40.0,,,66-73,,G. Dragic misses 2-pt shot from 2 ft
2:37.0,Defensive rebound by T. Waller-Prince,,66-73,,
2:35.0,I. Taylor makes 2-pt shot from 1 ft (assist by T. Waller-Prince),2,68-73,,
2:27.0,Personal foul by L. Babbitt (drawn by G. Dragic),,68-73,,
2:16.0,,,68-73,,Turnover by K. Olynyk (bad pass; steal by M. Belinelli)
2:11.0,Turnover by M. Belinelli (lost ball; steal by T. Johnson),,68-73,,
2:09.0,,,68-73,,Shooting foul by L. Babbitt (drawn by T. Johnson)
2:09.0,,,68-74,1,T. Johnson makes free throw 1 of 2
2:09.0,K. Bazemore enters the game for T. Waller-Prince,,68-74,,
2:09.0,,,68-75,1,T. Johnson makes free throw 2 of 2
2:09.0,,,68-75,,J. Richardson enters the game for G. Dragic
1:53.0,J. Collins misses 2-pt shot from 15 ft,,68-75,,
1:48.0,,,68-75,,Defensive rebound by K. Olynyk
1:31.0,,,68-75,,T. Johnson misses 2-pt shot from 15 ft
1:24.0,Defensive rebound by J. Collins,,68-75,,
1:19.0,K. Bazemore misses 2-pt shot from 15 ft,,68-75,,
1:13.0,,,68-75,,Defensive rebound by K. Olynyk
1:03.0,,,68-75,,Turnover by T. Johnson (bad pass; steal by K. Bazemore)
1:02.0,K. Bazemore makes 2-pt shot from 1 ft,2,70-75,,
1:02.0,Shooting foul by K. Olynyk (drawn by K. Bazemore),,70-75,,
1:02.0,K. Bazemore makes free throw 1 of 1,1,71-75,,
0:44.0,,,71-77,2,J. Winslow makes 2-pt shot from 2 ft (assist by J. Richardson)
0:35.0,J. Collins makes 2-pt shot from 1 ft (assist by K. Bazemore),2,73-77,,
0:21.0,,,73-77,,T. Johnson misses 2-pt shot from 16 ft
0:17.0,Defensive rebound by J. Collins,,73-77,,
0:01.0,J. Collins misses 2-pt shot from 2 ft (block by J. Richardson),,73-77,,
0:00.0,,,73-77,,Defensive rebound by J. Winslow
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:34.0,L. Babbitt makes 2-pt shot from 2 ft (assist by I. Taylor),2,75-77,,
11:16.0,,,75-77,,T. Johnson misses 3-pt shot from 25 ft
11:10.0,,,75-77,,Offensive rebound by T. Johnson
11:09.0,,,75-77,,W. Ellington misses 3-pt shot from 25 ft
11:06.0,Defensive rebound by J. Collins,,75-77,,
10:56.0,M. Belinelli makes 2-pt shot from 16 ft,2,77-77,,
10:41.0,,,77-79,2,J. Richardson makes 2-pt shot from 15 ft
10:34.0,K. Bazemore misses 2-pt shot from 1 ft,,77-79,,
10:25.0,Offensive rebound by J. Collins,,77-79,,
10:24.0,J. Collins makes 2-pt shot from 1 ft,2,79-79,,
10:20.0,M. Delaney enters the game for M. Belinelli,,79-79,,
10:17.0,,,79-81,2,K. Olynyk makes 2-pt shot from 1 ft
10:17.0,,,79-81,,Shooting foul by J. Collins (drawn by K. Olynyk)
10:17.0,D. Dedmon enters the game for J. Collins,,79-81,,
10:17.0,,,79-82,1,K. Olynyk makes free throw 1 of 1
10:03.0,M. Delaney misses 3-pt shot from 24 ft,,79-82,,
9:59.0,,,79-82,,Defensive rebound by T. Johnson
9:56.0,Personal foul by M. Delaney (drawn by T. Johnson),,79-82,,
9:46.0,,,79-84,2,K. Olynyk makes 2-pt shot from 20 ft (assist by W. Ellington)
9:24.0,L. Babbitt misses 2-pt shot from 10 ft,,79-84,,
9:20.0,,,79-84,,Defensive rebound by J. Winslow
9:18.0,,,79-86,2,J. Winslow makes 2-pt shot from 2 ft
9:18.0,Atlanta full timeout,,79-86,,
9:18.0,T. Waller-Prince enters the game for L. Babbitt,,79-86,,
9:18.0,M. Muscala enters the game for I. Taylor,,79-86,,
8:56.0,,,79-86,,Personal foul by J. Winslow (drawn by K. Bazemore)
8:42.0,D. Dedmon misses 2-pt shot from 9 ft,,79-86,,
8:42.0,Offensive rebound by Team,,79-86,,
8:27.0,Shooting foul by K. Olynyk (drawn by K. Bazemore),,79-86,,
8:27.0,K. Bazemore makes free throw 1 of 2,1,80-86,,
8:27.0,K. Bazemore makes free throw 2 of 2,1,81-86,,
8:15.0,,,81-86,,K. Olynyk misses 3-pt shot from 25 ft
8:11.0,,,81-86,,Offensive rebound by K. Olynyk
8:09.0,,,81-86,,J. Richardson misses 3-pt shot from 25 ft
8:06.0,Defensive rebound by K. Bazemore,,81-86,,
7:48.0,Offensive charge foul by M. Muscala (drawn by T. Johnson),,81-86,,
7:48.0,Turnover by M. Muscala (offensive foul),,81-86,,
7:48.0,M. Belinelli enters the game for K. Bazemore,,81-86,,
7:36.0,,,81-86,,T. Johnson misses 2-pt shot from 1 ft
7:32.0,,,81-86,,Offensive rebound by T. Johnson
7:20.0,,,81-86,,J. Richardson misses 3-pt shot from 24 ft
7:16.0,Defensive rebound by T. Waller-Prince,,81-86,,
7:04.0,M. Delaney misses 2-pt shot from 1 ft,,81-86,,
7:00.0,,,81-86,,Defensive rebound by T. Johnson
6:47.0,Def 3 sec tech foul by T. Waller-Prince,,81-86,,
6:47.0,,,81-87,1,W. Ellington makes technical free throw
6:47.0,I. Taylor enters the game for M. Delaney,,81-87,,
6:41.0,,,81-87,,Shooting foul by D. Dedmon (drawn by J. Richardson)
6:41.0,,,81-88,1,J. Richardson makes free throw 1 of 2
6:41.0,,,81-89,1,J. Richardson makes free throw 2 of 2
6:26.0,T. Waller-Prince misses 2-pt shot from 6 ft,,81-89,,
6:21.0,,,81-89,,Defensive rebound by J. Richardson
6:15.0,,,81-89,,J. Richardson misses 2-pt shot from 1 ft
6:12.0,Defensive rebound by I. Taylor,,81-89,,
6:08.0,Turnover by T. Waller-Prince (bad pass; steal by W. Ellington),,81-89,,
6:00.0,Personal foul by I. Taylor (drawn by J. Winslow),,81-89,,
6:00.0,,,81-89,,G. Dragic enters the game for T. Johnson
6:00.0,K. Bazemore enters the game for I. Taylor,,81-89,,
5:49.0,Violation by D. Dedmon (kicked ball),,81-89,,
5:39.0,,,81-89,,K. Olynyk misses 2-pt shot from 5 ft
5:35.0,Defensive rebound by D. Dedmon,,81-89,,
5:30.0,K. Bazemore makes 2-pt shot from 11 ft,2,83-89,,
5:16.0,,,83-89,,J. Richardson misses 3-pt shot from 22 ft
5:07.0,Defensive rebound by D. Dedmon,,83-89,,
5:05.0,K. Bazemore misses 2-pt shot from 16 ft,,83-89,,
5:00.0,,,83-89,,Defensive rebound by K. Olynyk
4:43.0,,,83-89,,G. Dragic misses 3-pt shot from 23 ft
4:40.0,Defensive rebound by M. Muscala,,83-89,,
4:28.0,Turnover by M. Muscala (lost ball; steal by J. Winslow),,83-89,,
4:25.0,,,83-91,2,J. Richardson makes 2-pt shot from 1 ft (assist by J. Winslow)
4:25.0,,,83-91,,Shooting foul by K. Bazemore (drawn by J. Richardson)
4:25.0,Atlanta full timeout,,83-91,,
4:25.0,,,83-91,,D. Waiters enters the game for W. Ellington
4:25.0,,,83-91,,J. Johnson enters the game for K. Olynyk
4:25.0,M. Delaney enters the game for M. Muscala,,83-91,,
4:25.0,,,83-91,,J. Richardson misses free throw 1 of 1
4:22.0,Defensive rebound by T. Waller-Prince,,83-91,,
4:11.0,K. Bazemore makes 2-pt shot from 2 ft,2,85-91,,
3:49.0,,,85-93,2,J. Richardson makes 2-pt shot from 1 ft
3:32.0,T. Waller-Prince misses 2-pt shot from 3 ft (block by D. Waiters),,85-93,,
3:30.0,,,85-93,,Defensive rebound by J. Richardson
