time,Indiana,pts.away,score,pts.home,Denver
6:03.0,,,10-17,,P. Millsap misses free throw 1 of 2
6:03.0,,,10-17,,Offensive rebound by Team
6:03.0,,,10-18,1,P. Millsap makes free throw 2 of 2
5:42.0,B. Bogdanovic misses 2-pt shot from 8 ft,,10-18,,
5:39.0,,,10-18,,Defensive rebound by N. Jokic
5:36.0,,,10-18,,W. Barton misses 2-pt shot from 6 ft (block by M. Turner)
5:32.0,Defensive rebound by T. Young,,10-18,,
5:29.0,D. Collison makes 3-pt shot from 24 ft (assist by V. Oladipo),3,13-18,,
5:18.0,,,13-18,,P. Millsap misses 2-pt shot from 3 ft (block by V. Oladipo)
5:18.0,,,13-18,,Offensive rebound by Team
5:18.0,,,13-18,,M. Plumlee enters the game for N. Jokic
5:18.0,,,13-18,,D. Harris enters the game for J. Murray
5:08.0,,,13-18,,W. Chandler misses 3-pt shot from 22 ft
5:06.0,Defensive rebound by M. Turner,,13-18,,
5:06.0,,,13-18,,Personal foul by M. Plumlee (drawn by M. Turner)
4:54.0,V. Oladipo misses 3-pt shot from 24 ft,,13-18,,
4:51.0,,,13-18,,Defensive rebound by P. Millsap
4:43.0,,,13-18,,D. Harris misses 3-pt shot from 25 ft
4:41.0,,,13-18,,Offensive rebound by P. Millsap
4:36.0,,,13-18,,P. Millsap misses 2-pt shot from 13 ft
4:33.0,Defensive rebound by V. Oladipo,,13-18,,
4:11.0,B. Bogdanovic misses 3-pt shot from 23 ft,,13-18,,
4:08.0,,,13-18,,Defensive rebound by W. Barton
3:59.0,,,13-18,,W. Barton misses 3-pt shot from 24 ft
3:54.0,Defensive rebound by V. Oladipo,,13-18,,
3:52.0,D. Collison makes 3-pt shot from 25 ft (assist by V. Oladipo),3,16-18,,
3:51.0,,,16-18,,Denver full timeout
3:51.0,,,16-18,,T. Craig enters the game for W. Chandler
3:51.0,D. Sabonis enters the game for D. Collison,,16-18,,
3:51.0,G. Robinson enters the game for T. Young,,16-18,,
3:51.0,C. Joseph enters the game for B. Bogdanovic,,16-18,,
3:34.0,,,16-18,,P. Millsap misses 2-pt shot from 10 ft
3:33.0,,,16-18,,Offensive rebound by Team
3:33.0,Loose ball foul by M. Turner (drawn by M. Plumlee),,16-18,,
3:17.0,,,16-20,2,P. Millsap makes 2-pt shot from 11 ft (assist by D. Harris)
3:05.0,V. Oladipo makes 2-pt shot from 17 ft,2,18-20,,
2:44.0,,,18-22,2,D. Harris makes 2-pt shot from 16 ft (assist by W. Barton)
2:30.0,D. Sabonis misses 2-pt shot from 2 ft (block by M. Plumlee),,18-22,,
2:28.0,,,18-22,,Defensive rebound by D. Harris
2:26.0,,,18-22,,T. Craig misses 2-pt shot from 2 ft
2:24.0,,,18-22,,M. Plumlee misses 2-pt shot from 2 ft
2:24.0,,,18-22,,Offensive rebound by T. Craig
2:24.0,,,18-22,,Offensive rebound by M. Plumlee
2:22.0,,,18-24,2,T. Craig makes 2-pt shot from 1 ft
2:08.0,Shooting foul by M. Plumlee (drawn by V. Oladipo),,18-24,,
2:08.0,V. Oladipo makes free throw 1 of 2,1,19-24,,
2:08.0,,,19-24,,N. Jokic enters the game for P. Millsap
2:08.0,,,19-24,,J. Murray enters the game for W. Barton
2:08.0,T. Booker enters the game for M. Turner,,19-24,,
2:08.0,V. Oladipo makes free throw 2 of 2,1,20-24,,
1:55.0,,,20-24,,T. Craig misses 3-pt shot from 22 ft
1:50.0,Defensive rebound by C. Joseph,,20-24,,
1:47.0,V. Oladipo misses 3-pt shot from 24 ft,,20-24,,
1:44.0,Offensive rebound by T. Booker,,20-24,,
1:42.0,Offensive foul by D. Sabonis (drawn by T. Craig),,20-24,,
1:42.0,Turnover by D. Sabonis (offensive foul),,20-24,,
1:41.0,L. Stephenson enters the game for V. Oladipo,,20-24,,
1:24.0,,,20-26,2,M. Plumlee makes 2-pt shot from 1 ft (assist by T. Craig)
1:09.0,D. Sabonis makes 2-pt shot from 15 ft (assist by G. Robinson),2,22-26,,
0:51.0,,,22-26,,N. Jokic misses 2-pt shot from 5 ft
0:49.0,Defensive rebound by T. Booker,,22-26,,
0:46.0,D. Sabonis makes 2-pt shot from 1 ft (assist by T. Booker),2,24-26,,
0:35.0,,,24-26,,J. Murray misses 3-pt shot from 24 ft
0:32.0,Defensive rebound by L. Stephenson,,24-26,,
0:30.0,D. Sabonis makes 2-pt shot from 1 ft (assist by L. Stephenson),2,26-26,,
0:18.0,,,26-26,,Shooting foul by D. Sabonis (drawn by N. Jokic)
0:18.0,,,26-26,,N. Jokic misses free throw 1 of 2
0:18.0,,,26-26,,Offensive rebound by Team
0:18.0,,,26-26,,T. Lyles enters the game for M. Plumlee
0:18.0,,,26-27,1,N. Jokic makes free throw 2 of 2
0:02.0,L. Stephenson misses 3-pt shot from 23 ft,,26-27,,
0:02.0,,,26-27,,Defensive rebound by T. Lyles
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,26-27,,Personal foul by T. Craig (drawn by D. Sabonis)
11:40.0,C. Joseph makes 2-pt shot from 19 ft (assist by D. Sabonis),2,28-27,,
11:27.0,Away from play foul by C. Joseph (drawn by N. Jokic),,28-27,,
11:13.0,,,28-27,,D. Harris misses 2-pt shot from 2 ft
11:11.0,,,28-27,,Offensive rebound by N. Jokic
11:09.0,,,28-27,,J. Murray misses 3-pt shot from 25 ft
11:04.0,Defensive rebound by L. Stephenson,,28-27,,
10:58.0,L. Stephenson misses 2-pt shot from 17 ft,,28-27,,
10:52.0,Offensive rebound by T. Booker,,28-27,,
10:52.0,T. Booker makes 2-pt shot at rim,2,30-27,,
10:42.0,,,30-27,,T. Lyles misses 3-pt shot from 24 ft
10:39.0,Defensive rebound by L. Stephenson,,30-27,,
10:34.0,L. Stephenson makes 2-pt shot from 1 ft,2,32-27,,
10:34.0,,,32-27,,Denver full timeout
10:21.0,,,32-27,,T. Lyles misses 3-pt shot from 25 ft
10:18.0,Defensive rebound by D. Sabonis,,32-27,,
10:09.0,D. Sabonis misses 2-pt shot from 20 ft,,32-27,,
10:07.0,,,32-27,,Defensive rebound by T. Lyles
9:56.0,,,32-29,2,N. Jokic makes 2-pt shot from 16 ft (assist by J. Murray)
9:40.0,G. Robinson misses 2-pt shot from 12 ft,,32-29,,
9:37.0,,,32-29,,Defensive rebound by T. Lyles
9:22.0,Personal foul by D. Sabonis (drawn by N. Jokic),,32-29,,
9:22.0,M. Turner enters the game for D. Sabonis,,32-29,,
9:13.0,,,32-29,,T. Lyles misses 2-pt shot from 13 ft
9:09.0,Defensive rebound by L. Stephenson,,32-29,,
9:02.0,L. Stephenson makes 2-pt shot from 10 ft,2,34-29,,
8:45.0,,,34-29,,Offensive charge foul by N. Jokic (drawn by M. Turner)
8:45.0,,,34-29,,Turnover by N. Jokic (offensive foul)
8:45.0,,,34-29,,W. Barton enters the game for J. Murray
8:25.0,T. Booker misses 2-pt shot from 11 ft (block by T. Craig),,34-29,,
8:23.0,,,34-29,,Defensive rebound by T. Craig
8:18.0,Away from play foul by T. Booker (drawn by N. Jokic),,34-29,,
8:18.0,B. Bogdanovic enters the game for G. Robinson,,34-29,,
8:09.0,,,34-31,2,N. Jokic makes 2-pt shot from 9 ft (assist by D. Harris)
7:47.0,L. Stephenson misses 3-pt shot from 24 ft,,34-31,,
7:42.0,,,34-31,,Defensive rebound by D. Harris
7:31.0,,,34-34,3,N. Jokic makes 3-pt shot from 25 ft (assist by T. Lyles)
7:09.0,Shooting foul by T. Craig (drawn by T. Booker),,34-34,,
7:09.0,T. Booker makes free throw 1 of 2,1,35-34,,
7:09.0,,,35-34,,W. Chandler enters the game for T. Craig
7:09.0,,,35-34,,J. Murray enters the game for D. Harris
7:09.0,T. Booker makes free throw 2 of 2,1,36-34,,
6:55.0,,,36-36,2,T. Lyles makes 2-pt shot from 2 ft (assist by W. Barton)
6:31.0,C. Joseph misses 2-pt shot from 10 ft,,36-36,,
6:28.0,,,36-36,,Defensive rebound by W. Chandler
6:25.0,,,36-36,,J. Murray misses 3-pt shot from 25 ft
6:22.0,,,36-36,,Offensive rebound by T. Lyles
6:02.0,,,36-36,,W. Chandler misses 3-pt shot from 25 ft
5:55.0,Defensive rebound by B. Bogdanovic,,36-36,,
5:53.0,B. Bogdanovic misses 2-pt shot from 3 ft (block by J. Murray),,36-36,,
5:51.0,,,36-36,,Defensive rebound by J. Murray
5:48.0,,,36-36,,W. Barton misses 3-pt shot from 22 ft
5:46.0,Defensive rebound by Team,,36-36,,
5:46.0,,,36-36,,P. Millsap enters the game for N. Jokic
5:46.0,D. Collison enters the game for C. Joseph,,36-36,,
5:46.0,T. Young enters the game for T. Booker,,36-36,,
5:25.0,L. Stephenson misses 3-pt shot from 24 ft,,36-36,,
5:23.0,,,36-36,,Defensive rebound by J. Murray
5:15.0,,,36-36,,P. Millsap misses 2-pt shot from 10 ft
5:11.0,Defensive rebound by M. Turner,,36-36,,
5:07.0,L. Stephenson misses 2-pt shot from 4 ft (block by P. Millsap),,36-36,,
5:06.0,Offensive rebound by Team,,36-36,,
5:06.0,V. Oladipo enters the game for L. Stephenson,,36-36,,
5:02.0,B. Bogdanovic misses 2-pt shot from 17 ft,,36-36,,
4:59.0,,,36-36,,Defensive rebound by T. Lyles
4:54.0,,,36-36,,Shooting foul by V. Oladipo (drawn by W. Barton)
4:54.0,,,36-36,,W. Barton misses free throw 1 of 2
4:54.0,,,36-36,,Offensive rebound by Team
4:54.0,,,36-37,1,W. Barton makes free throw 2 of 2
4:42.0,Turnover by V. Oladipo (lost ball; steal by J. Murray),,36-37,,
4:37.0,,,36-39,2,W. Barton makes 2-pt shot from 1 ft (assist by J. Murray)
4:37.0,Indiana full timeout,,36-39,,
4:37.0,,,36-39,,N. Jokic enters the game for T. Lyles
4:21.0,M. Turner makes 2-pt shot from 1 ft (assist by D. Collison),2,38-39,,
4:00.0,,,38-39,,N. Jokic misses 2-pt shot from 3 ft
3:58.0,Defensive rebound by T. Young,,38-39,,
3:37.0,T. Young misses 2-pt shot from 2 ft (block by N. Jokic),,38-39,,
3:35.0,,,38-39,,Defensive rebound by N. Jokic
3:32.0,,,38-39,,W. Barton misses 2-pt shot from 17 ft
3:29.0,Defensive rebound by B. Bogdanovic,,38-39,,
3:21.0,Offensive foul by M. Turner (drawn by W. Barton),,38-39,,
3:21.0,Turnover by M. Turner (offensive foul),,38-39,,
3:21.0,L. Stephenson enters the game for B. Bogdanovic,,38-39,,
3:04.0,,,38-39,,W. Chandler misses 2-pt shot from 2 ft
3:03.0,,,38-39,,Offensive rebound by W. Barton
3:02.0,,,38-39,,W. Barton misses 2-pt shot from 1 ft
3:02.0,Defensive rebound by Team,,38-39,,
3:02.0,,,38-39,,Loose ball foul by W. Barton (drawn by V. Oladipo)
2:46.0,Turnover by T. Young (lost ball; steal by N. Jokic),,38-39,,
2:30.0,,,38-42,3,P. Millsap makes 3-pt shot from 25 ft (assist by J. Murray)
2:10.0,M. Turner makes 2-pt shot from 1 ft (assist by V. Oladipo),2,40-42,,
1:56.0,,,40-42,,N. Jokic misses 3-pt shot from 25 ft
1:52.0,Defensive rebound by V. Oladipo,,40-42,,
1:41.0,D. Collison makes 2-pt shot from 19 ft,2,42-42,,
1:27.0,,,42-44,2,W. Barton makes 2-pt shot from 1 ft (assist by N. Jokic)
0:58.0,D. Collison misses 2-pt shot from 21 ft,,42-44,,
0:56.0,Offensive rebound by T. Young,,42-44,,
0:56.0,T. Young makes 2-pt shot from 1 ft,2,44-44,,
0:50.0,Violation by V. Oladipo (kicked ball),,44-44,,
0:50.0,,,44-44,,T. Craig enters the game for W. Barton
0:50.0,T. Booker enters the game for M. Turner,,44-44,,
0:40.0,,,44-47,3,N. Jokic makes 3-pt shot from 24 ft (assist by P. Millsap)
0:35.0,V. Oladipo misses 3-pt shot from 24 ft,,44-47,,
0:32.0,,,44-47,,Defensive rebound by P. Millsap
0:27.0,,,44-47,,Turnover by P. Millsap (bad pass; steal by V. Oladipo)
0:09.0,T. Booker makes 2-pt shot from 10 ft (assist by V. Oladipo),2,46-47,,
0:00.0,,,46-49,2,J. Murray makes 2-pt shot from 13 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,B. Bogdanovic misses 2-pt shot from 17 ft,,46-49,,
11:33.0,,,46-49,,Defensive rebound by W. Barton
11:26.0,,,46-52,3,N. Jokic makes 3-pt shot from 23 ft (assist by P. Millsap)
11:12.0,V. Oladipo misses 2-pt shot from 18 ft,,46-52,,
11:10.0,,,46-52,,Defensive rebound by W. Barton
10:56.0,,,46-55,3,W. Chandler makes 3-pt shot from 24 ft (assist by W. Barton)
10:38.0,M. Turner misses 2-pt shot from 22 ft,,46-55,,
10:36.0,,,46-55,,Defensive rebound by W. Chandler
10:18.0,,,46-58,3,W. Chandler makes 3-pt shot from 22 ft (assist by N. Jokic)
10:17.0,Indiana full timeout,,46-58,,
10:04.0,Turnover by D. Collison (lost ball; steal by J. Murray),,46-58,,
10:02.0,Personal foul by D. Collison (drawn by J. Murray),,46-58,,
9:46.0,,,46-60,2,J. Murray makes 2-pt shot from 10 ft (assist by N. Jokic)
9:23.0,D. Collison makes 3-pt shot from 26 ft (assist by T. Young),3,49-60,,
9:01.0,,,49-60,,J. Murray misses 2-pt shot from 2 ft
8:58.0,Defensive rebound by T. Young,,49-60,,
8:46.0,Turnover by T. Young (lost ball; steal by W. Barton),,49-60,,
8:41.0,,,49-60,,Turnover by W. Barton (lost ball; steal by M. Turner)
8:35.0,T. Young makes 2-pt shot from 1 ft (assist by V. Oladipo),2,51-60,,
8:18.0,,,51-60,,J. Murray misses 2-pt shot from 3 ft
8:15.0,Defensive rebound by T. Young,,51-60,,
8:08.0,B. Bogdanovic makes 2-pt shot from 4 ft (assist by D. Collison),2,53-60,,
7:44.0,,,53-60,,P. Millsap misses 2-pt shot at rim
7:41.0,Defensive rebound by B. Bogdanovic,,53-60,,
7:25.0,B. Bogdanovic misses 3-pt shot from 26 ft,,53-60,,
7:22.0,,,53-60,,Defensive rebound by J. Murray
7:15.0,,,53-60,,N. Jokic misses 3-pt shot from 24 ft
7:09.0,,,53-60,,Offensive rebound by P. Millsap
7:09.0,,,53-60,,Turnover by P. Millsap (bad pass; steal by D. Collison)
7:05.0,B. Bogdanovic makes 3-pt shot from 24 ft (assist by V. Oladipo),3,56-60,,
7:04.0,,,56-60,,Denver full timeout
6:45.0,,,56-62,2,N. Jokic makes 2-pt shot from 3 ft (assist by W. Barton)
6:25.0,V. Oladipo misses 2-pt shot from 5 ft,,56-62,,
6:25.0,,,56-62,,Defensive rebound by Team
6:14.0,,,56-62,,W. Barton misses 3-pt shot from 24 ft
6:11.0,Defensive rebound by T. Young,,56-62,,
5:59.0,D. Collison misses 2-pt shot from 15 ft,,56-62,,
5:57.0,,,56-62,,Defensive rebound by W. Chandler
5:47.0,,,56-64,2,W. Barton makes 2-pt shot from 3 ft (assist by P. Millsap)
5:28.0,B. Bogdanovic misses 2-pt shot from 3 ft,,56-64,,
5:26.0,,,56-64,,Defensive rebound by W. Barton
5:20.0,,,56-67,3,W. Chandler makes 3-pt shot from 24 ft (assist by P. Millsap)
5:16.0,Technical foul by B. Bogdanovic,,56-67,,
5:16.0,,,56-68,1,J. Murray makes technical free throw
5:16.0,,,56-68,,D. Harris enters the game for N. Jokic
5:16.0,,,56-68,,M. Plumlee enters the game for J. Murray
4:59.0,V. Oladipo misses 2-pt shot from 3 ft (block by P. Millsap),,56-68,,
4:58.0,,,56-68,,Defensive rebound by W. Barton
4:51.0,,,56-70,2,W. Barton makes 2-pt shot from 1 ft (assist by M. Plumlee)
4:51.0,Indiana full timeout,,56-70,,
4:42.0,T. Young makes 2-pt shot from 6 ft (assist by D. Collison),2,58-70,,
4:25.0,,,58-72,2,M. Plumlee makes 2-pt shot at rim (assist by D. Harris)
4:12.0,T. Young misses 3-pt shot from 24 ft,,58-72,,
4:10.0,,,58-72,,Defensive rebound by W. Barton
4:00.0,,,58-72,,P. Millsap misses 3-pt shot from 22 ft
3:58.0,Defensive rebound by V. Oladipo,,58-72,,
3:56.0,,,58-72,,Personal foul by M. Plumlee (drawn by V. Oladipo)
3:56.0,D. Sabonis enters the game for T. Young,,58-72,,
3:56.0,L. Stephenson enters the game for B. Bogdanovic,,58-72,,
3:46.0,Shooting foul by M. Plumlee (drawn by D. Sabonis),,58-72,,
3:46.0,D. Sabonis makes free throw 1 of 2,1,59-72,,
3:46.0,C. Joseph enters the game for D. Collison,,59-72,,
3:46.0,D. Sabonis makes free throw 2 of 2,1,60-72,,
3:28.0,,,60-72,,P. Millsap misses 2-pt shot from 5 ft
3:26.0,,,60-72,,Offensive rebound by P. Millsap
3:23.0,,,60-72,,P. Millsap misses 2-pt shot at rim
3:21.0,Defensive rebound by D. Sabonis,,60-72,,
3:13.0,C. Joseph misses 3-pt shot from 22 ft,,60-72,,
3:10.0,,,60-72,,Defensive rebound by D. Harris
3:00.0,,,60-72,,Turnover by D. Harris (lost ball; steal by D. Sabonis)
2:59.0,,,60-72,,Personal foul by D. Harris (drawn by D. Sabonis)
2:59.0,,,60-72,,J. Murray enters the game for P. Millsap
2:59.0,,,60-72,,N. Jokic enters the game for W. Barton
2:59.0,T. Booker enters the game for M. Turner,,60-72,,
2:51.0,V. Oladipo makes 2-pt shot from 15 ft,2,62-72,,
2:24.0,,,62-72,,J. Murray misses 3-pt shot from 24 ft
2:23.0,,,62-72,,Offensive rebound by Team
2:23.0,Loose ball foul by V. Oladipo (drawn by M. Plumlee),,62-72,,
2:23.0,,,62-72,,T. Craig enters the game for W. Chandler
2:12.0,,,62-72,,T. Craig misses 3-pt shot from 23 ft
2:09.0,Defensive rebound by T. Booker,,62-72,,
2:01.0,V. Oladipo makes 2-pt shot from 2 ft,2,64-72,,
1:49.0,,,64-75,3,N. Jokic makes 3-pt shot from 24 ft (assist by D. Harris)
1:33.0,Turnover by V. Oladipo (lost ball; steal by T. Craig),,64-75,,
1:28.0,,,64-75,,Turnover by T. Craig (bad pass; steal by C. Joseph)
1:23.0,D. Sabonis makes 2-pt shot from 2 ft (assist by C. Joseph),2,66-75,,
1:07.0,Personal foul by C. Joseph (drawn by J. Murray),,66-75,,
1:07.0,B. Bogdanovic enters the game for V. Oladipo,,66-75,,
0:59.0,,,66-75,,Loose ball foul by M. Plumlee (drawn by D. Sabonis)
0:59.0,,,66-75,,Turnover by M. Plumlee (turnover)
0:59.0,,,66-75,,T. Lyles enters the game for M. Plumlee
0:54.0,T. Booker makes 2-pt shot from 2 ft,2,68-75,,
0:36.0,,,68-75,,Turnover by T. Lyles (lost ball; steal by T. Booker)
0:27.0,,,68-75,,Personal foul by T. Craig (drawn by D. Sabonis)
0:27.0,D. Sabonis makes free throw 1 of 2,1,69-75,,
0:27.0,D. Sabonis makes free throw 2 of 2,1,70-75,,
0:12.0,,,70-77,2,T. Lyles makes 2-pt shot from 11 ft (assist by J. Murray)
0:02.0,B. Bogdanovic makes 3-pt shot from 23 ft (assist by C. Joseph),3,73-77,,
0:00.0,,,73-77,,J. Murray misses 3-pt shot from 63 ft
0:00.0,,,73-77,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,73-77,,D. Harris misses 3-pt shot from 25 ft
11:38.0,,,73-77,,Offensive rebound by T. Lyles
11:36.0,,,73-77,,Offensive charge foul by T. Craig (drawn by C. Joseph)
11:36.0,,,73-77,,Turnover by T. Craig (offensive foul)
11:18.0,D. Sabonis misses 2-pt shot from 20 ft,,73-77,,
11:16.0,,,73-77,,Defensive rebound by T. Lyles
11:01.0,,,73-79,2,D. Harris makes 2-pt shot from 2 ft
11:01.0,,,73-79,,Shooting foul by L. Stephenson (drawn by D. Harris)
11:01.0,,,73-80,1,D. Harris makes free throw 1 of 1
10:52.0,D. Sabonis misses 2-pt shot from 16 ft,,73-80,,
10:49.0,,,73-80,,Defensive rebound by T. Craig
10:38.0,Personal foul by D. Sabonis (drawn by D. Harris),,73-80,,
10:31.0,,,73-80,,Turnover by D. Harris (bad pass)
10:17.0,D. Sabonis makes 2-pt shot from 6 ft (assist by L. Stephenson),2,75-80,,
10:05.0,Personal foul by T. Booker (drawn by T. Lyles),,75-80,,
10:05.0,,,75-80,,W. Barton enters the game for J. Murray
9:56.0,,,75-80,,T. Lyles misses 2-pt shot from 12 ft
9:52.0,,,75-80,,Offensive rebound by T. Craig
9:42.0,,,75-80,,N. Jokic misses 2-pt shot from 5 ft
9:40.0,Defensive rebound by C. Joseph,,75-80,,
9:40.0,,,75-80,,Personal foul by N. Jokic (drawn by C. Joseph)
9:26.0,B. Bogdanovic misses 2-pt shot from 16 ft,,75-80,,
9:23.0,,,75-80,,Defensive rebound by W. Barton
9:17.0,Personal foul by L. Stephenson (drawn by N. Jokic),,75-80,,
9:17.0,V. Oladipo enters the game for B. Bogdanovic,,75-80,,
9:05.0,,,75-80,,Turnover by N. Jokic (traveling)
8:49.0,D. Sabonis misses 2-pt shot from 3 ft,,75-80,,
8:48.0,,,75-80,,Defensive rebound by N. Jokic
8:48.0,Personal foul by T. Booker (drawn by N. Jokic),,75-80,,
8:48.0,,,75-81,1,N. Jokic makes free throw 1 of 2
8:48.0,,,75-81,,N. Jokic misses free throw 2 of 2
8:46.0,Defensive rebound by D. Sabonis,,75-81,,
8:35.0,Turnover by V. Oladipo (bad pass; steal by N. Jokic),,75-81,,
8:17.0,,,75-81,,N. Jokic misses 2-pt shot from 14 ft
8:12.0,Defensive rebound by T. Booker,,75-81,,
7:59.0,,,75-81,,P. Millsap enters the game for N. Jokic
7:59.0,T. Young enters the game for D. Sabonis,,75-81,,
7:59.0,M. Turner enters the game for T. Booker,,75-81,,
7:57.0,V. Oladipo misses 2-pt shot from 16 ft,,75-81,,
7:54.0,,,75-81,,Defensive rebound by P. Millsap
7:39.0,,,75-83,2,W. Barton makes 2-pt shot from 3 ft
7:25.0,V. Oladipo makes 2-pt shot from 2 ft,2,77-83,,
7:07.0,,,77-85,2,P. Millsap makes 2-pt shot from 2 ft (assist by W. Barton)
6:56.0,Shooting foul by T. Lyles (drawn by V. Oladipo),,77-85,,
6:56.0,,,77-85,,Denver full timeout
6:56.0,,,77-85,,J. Murray enters the game for D. Harris
6:56.0,D. Collison enters the game for L. Stephenson,,77-85,,
6:56.0,B. Bogdanovic enters the game for C. Joseph,,77-85,,
6:56.0,V. Oladipo makes free throw 1 of 2,1,78-85,,
6:56.0,V. Oladipo makes free throw 2 of 2,1,79-85,,
6:45.0,,,79-85,,Turnover by T. Craig (bad pass; steal by V. Oladipo)
6:42.0,V. Oladipo makes 2-pt shot from 2 ft,2,81-85,,
6:28.0,,,81-87,2,P. Millsap makes 2-pt shot from 12 ft
6:09.0,Offensive foul by M. Turner (drawn by T. Craig),,81-87,,
6:09.0,Turnover by M. Turner (offensive foul),,81-87,,
6:09.0,,,81-87,,N. Jokic enters the game for T. Craig
6:09.0,,,81-87,,W. Chandler enters the game for T. Lyles
5:49.0,,,81-89,2,N. Jokic makes 2-pt shot from 11 ft
5:28.0,T. Young makes 2-pt shot from 4 ft (assist by B. Bogdanovic),2,83-89,,
5:11.0,,,83-89,,W. Chandler misses 2-pt shot from 3 ft
5:10.0,Defensive rebound by V. Oladipo,,83-89,,
5:05.0,V. Oladipo makes 2-pt shot from 20 ft,2,85-89,,
4:46.0,,,85-91,2,N. Jokic makes 2-pt shot from 2 ft
4:36.0,,,85-91,,Personal foul by W. Barton (drawn by V. Oladipo)
4:27.0,T. Young makes 2-pt shot from 4 ft (assist by V. Oladipo),2,87-91,,
4:08.0,,,87-91,,Turnover by N. Jokic (lost ball; steal by D. Collison)
3:55.0,Shooting foul by P. Millsap (drawn by T. Young),,87-91,,
3:55.0,T. Young makes free throw 1 of 2,1,88-91,,
3:55.0,T. Young makes free throw 2 of 2,1,89-91,,
3:37.0,,,89-94,3,J. Murray makes 3-pt shot from 22 ft (assist by N. Jokic)
3:36.0,Indiana full timeout,,89-94,,
3:36.0,,,89-94,,M. Plumlee enters the game for N. Jokic
3:30.0,V. Oladipo misses 2-pt shot from 20 ft,,89-94,,
3:25.0,Offensive rebound by T. Young,,89-94,,
3:12.0,T. Young misses 2-pt shot from 5 ft (block by P. Millsap),,89-94,,
3:09.0,,,89-94,,Defensive rebound by W. Barton
3:09.0,,,89-94,,Denver full timeout
3:09.0,,,89-94,,N. Jokic enters the game for M. Plumlee
3:09.0,C. Joseph enters the game for D. Collison,,89-94,,
