time,Miami,pts.away,score,pts.home,Indiana
1:30.0,,,28-16,,B. Bogdanovic enters the game for V. Oladipo
1:30.0,J. Richardson enters the game for G. Dragic,,28-16,,
1:19.0,Turnover by J. Richardson (bad pass; steal by T. Booker),,28-16,,
1:16.0,,,28-18,2,G. Robinson makes 2-pt shot from 1 ft (assist by T. Booker)
0:56.0,D. Wade misses 2-pt shot from 13 ft,,28-18,,
0:54.0,,,28-18,,Defensive rebound by B. Bogdanovic
0:43.0,,,28-18,,B. Bogdanovic misses 2-pt shot from 4 ft (block by D. Wade)
0:43.0,Defensive rebound by Team,,28-18,,
0:22.0,J. Winslow makes 2-pt shot from 5 ft,2,30-18,,
0:04.0,,,30-21,3,B. Bogdanovic makes 3-pt shot from 26 ft (assist by C. Joseph)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,30-24,3,G. Robinson makes 3-pt shot from 22 ft (assist by B. Bogdanovic)
11:28.0,Offensive foul by K. Olynyk (drawn by C. Joseph),,30-24,,
11:28.0,Turnover by K. Olynyk (offensive foul),,30-24,,
11:17.0,,,30-24,,L. Stephenson misses 2-pt shot from 1 ft
11:15.0,Defensive rebound by K. Olynyk,,30-24,,
11:05.0,D. Wade misses 2-pt shot from 17 ft,,30-24,,
11:02.0,,,30-24,,Defensive rebound by L. Stephenson
10:55.0,,,30-26,2,B. Bogdanovic makes 2-pt shot at rim (assist by L. Stephenson)
10:40.0,,,30-26,,Shooting block foul by B. Bogdanovic (drawn by J. Richardson)
10:40.0,J. Richardson makes free throw 1 of 2,1,31-26,,
10:40.0,J. Richardson makes free throw 2 of 2,1,32-26,,
10:28.0,,,32-26,,C. Joseph misses 2-pt shot from 14 ft
10:22.0,Defensive rebound by D. Wade,,32-26,,
10:17.0,J. Winslow misses 2-pt shot from 2 ft (block by T. Booker),,32-26,,
10:16.0,,,32-26,,Defensive rebound by C. Joseph
10:06.0,,,32-28,2,T. Booker makes 2-pt shot at rim (assist by G. Robinson)
9:47.0,Shooting foul by T. Booker (drawn by K. Olynyk),,32-28,,
9:47.0,K. Olynyk makes free throw 1 of 2,1,33-28,,
9:47.0,K. Olynyk makes free throw 2 of 2,1,34-28,,
9:35.0,,,34-30,2,L. Stephenson makes 2-pt shot at rim
9:20.0,J. Winslow misses 2-pt shot at rim,,34-30,,
9:19.0,,,34-30,,Defensive rebound by C. Joseph
9:16.0,,,34-32,2,L. Stephenson makes 2-pt shot from 1 ft (assist by C. Joseph)
9:09.0,,,34-32,,Personal foul by T. Booker (drawn by K. Olynyk)
9:09.0,Miami full timeout,,34-32,,
8:59.0,D. Wade makes 2-pt shot from 1 ft,2,36-32,,
8:39.0,,,36-32,,Turnover by B. Bogdanovic (bad pass; steal by K. Olynyk)
8:30.0,Turnover by K. Olynyk (bad pass; steal by L. Stephenson),,36-32,,
8:27.0,,,36-34,2,L. Stephenson makes 2-pt shot from 1 ft
8:13.0,K. Olynyk misses 3-pt shot from 24 ft,,36-34,,
8:11.0,,,36-34,,Defensive rebound by B. Bogdanovic
8:02.0,,,36-34,,B. Bogdanovic misses 3-pt shot from 26 ft
7:58.0,,,36-34,,Offensive rebound by T. Booker
7:58.0,,,36-34,,T. Booker misses 2-pt shot from 3 ft (block by D. Wade)
7:58.0,,,36-34,,Offensive rebound by Team
7:58.0,,,36-34,,M. Turner enters the game for T. Booker
7:58.0,,,36-34,,T. Young enters the game for G. Robinson
7:58.0,B. Adebayo enters the game for K. Olynyk,,36-34,,
7:43.0,,,36-36,2,T. Young makes 2-pt shot at rim
7:29.0,,,36-36,,Personal foul by T. Young (drawn by B. Adebayo)
7:29.0,T. Johnson enters the game for J. Richardson,,36-36,,
7:24.0,J. Winslow makes 3-pt shot from 24 ft (assist by D. Wade),3,39-36,,
7:08.0,,,39-38,2,C. Joseph makes 2-pt shot from 18 ft
6:54.0,B. Adebayo makes 2-pt shot from 2 ft (assist by D. Wade),2,41-38,,
6:38.0,,,41-41,3,B. Bogdanovic makes 3-pt shot from 26 ft (assist by C. Joseph)
6:13.0,J. Winslow misses 3-pt shot from 26 ft,,41-41,,
6:11.0,Offensive rebound by B. Adebayo,,41-41,,
6:11.0,,,41-41,,Personal foul by C. Joseph (drawn by B. Adebayo)
6:11.0,B. Adebayo makes free throw 1 of 2,1,42-41,,
6:11.0,,,42-41,,V. Oladipo enters the game for B. Bogdanovic
6:11.0,G. Dragic enters the game for D. Wade,,42-41,,
6:11.0,J. Johnson enters the game for J. Winslow,,42-41,,
6:11.0,B. Adebayo makes free throw 2 of 2,1,43-41,,
5:58.0,,,43-43,2,M. Turner makes 2-pt shot from 18 ft (assist by C. Joseph)
5:41.0,B. Adebayo makes 2-pt shot from 1 ft,2,45-43,,
5:25.0,,,45-43,,L. Stephenson misses 2-pt shot at rim
5:24.0,Defensive rebound by J. Johnson,,45-43,,
5:19.0,G. Dragic misses 2-pt shot from 3 ft (block by T. Young),,45-43,,
5:15.0,,,45-43,,Defensive rebound by M. Turner
5:04.0,,,45-43,,M. Turner misses 3-pt shot from 28 ft
5:01.0,Defensive rebound by G. Dragic,,45-43,,
4:47.0,Turnover by B. Adebayo (bad pass; steal by T. Young),,45-43,,
4:34.0,,,45-45,2,V. Oladipo makes 2-pt shot from 18 ft
4:12.0,Shooting foul by T. Young (drawn by J. Johnson),,45-45,,
4:12.0,J. Johnson makes free throw 1 of 2,1,46-45,,
4:12.0,J. Johnson misses free throw 2 of 2,,46-45,,
4:12.0,,,46-45,,Defensive rebound by L. Stephenson
3:50.0,,,46-47,2,C. Joseph makes 2-pt shot from 16 ft
3:34.0,T. Johnson misses 3-pt shot from 27 ft,,46-47,,
3:32.0,,,46-47,,Defensive rebound by C. Joseph
3:22.0,Personal foul by G. Dragic (drawn by T. Young),,46-47,,
3:18.0,,,46-47,,C. Joseph misses 2-pt shot from 18 ft
3:11.0,,,46-47,,Offensive rebound by C. Joseph
3:08.0,,,46-49,2,T. Young makes 2-pt shot from 1 ft (assist by L. Stephenson)
3:08.0,,,46-49,,Shooting foul by T. Johnson (drawn by T. Young)
3:08.0,,,46-49,,T. Booker enters the game for M. Turner
3:08.0,,,46-50,1,T. Young makes free throw 1 of 1
2:49.0,J. Johnson misses 2-pt shot from 1 ft,,46-50,,
2:46.0,,,46-50,,Defensive rebound by T. Booker
2:32.0,Personal foul by G. Dragic (drawn by C. Joseph),,46-50,,
2:32.0,,,46-50,,Indiana full timeout
2:32.0,,,46-50,,D. Collison enters the game for C. Joseph
2:32.0,,,46-50,,B. Bogdanovic enters the game for T. Young
2:32.0,J. Richardson enters the game for W. Ellington,,46-50,,
2:24.0,,,46-52,2,V. Oladipo makes 2-pt shot from 18 ft (assist by D. Collison)
2:07.0,T. Johnson makes 2-pt shot from 1 ft,2,48-52,,
1:53.0,,,48-52,,D. Collison misses 2-pt shot from 16 ft
1:50.0,Defensive rebound by J. Richardson,,48-52,,
1:46.0,T. Johnson misses 3-pt shot from 26 ft,,48-52,,
1:42.0,Offensive rebound by J. Johnson,,48-52,,
1:41.0,,,48-52,,Personal foul by T. Booker (drawn by B. Adebayo)
1:41.0,B. Adebayo makes free throw 1 of 2,1,49-52,,
1:41.0,B. Adebayo makes free throw 2 of 2,1,50-52,,
1:41.0,,,50-52,,M. Turner enters the game for T. Booker
1:41.0,D. Wade enters the game for G. Dragic,,50-52,,
1:21.0,,,50-52,,B. Bogdanovic misses 3-pt shot from 29 ft
1:18.0,Defensive rebound by D. Wade,,50-52,,
1:09.0,B. Adebayo makes 2-pt shot at rim (assist by D. Wade),2,52-52,,
0:47.0,,,52-52,,Turnover by L. Stephenson (bad pass)
0:35.0,Turnover by D. Wade (bad pass; steal by L. Stephenson),,52-52,,
0:22.0,,,52-52,,V. Oladipo misses 2-pt shot from 1 ft
0:20.0,Defensive rebound by J. Johnson,,52-52,,
0:00.0,Shooting foul by V. Oladipo (drawn by J. Johnson),,52-52,,
0:00.0,J. Johnson makes free throw 1 of 2,1,53-52,,
0:00.0,J. Johnson misses free throw 2 of 2,,53-52,,
0:00.0,Offensive rebound by J. Johnson,,53-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,53-52,,Offensive charge foul by M. Turner (drawn by B. Adebayo)
11:48.0,,,53-52,,Turnover by M. Turner (offensive foul)
11:34.0,Turnover by G. Dragic (lost ball; steal by D. Collison),,53-52,,
11:32.0,,,53-52,,Shooting foul by G. Dragic (drawn by B. Bogdanovic)
11:32.0,,,53-53,1,B. Bogdanovic makes free throw 1 of 2
11:32.0,,,53-54,1,B. Bogdanovic makes free throw 2 of 2
11:21.0,B. Adebayo misses 2-pt shot from 7 ft,,53-54,,
11:19.0,,,53-54,,Defensive rebound by V. Oladipo
11:12.0,,,53-54,,M. Turner misses 3-pt shot from 26 ft
11:10.0,Defensive rebound by B. Adebayo,,53-54,,
10:56.0,B. Adebayo misses 2-pt shot from 4 ft (block by M. Turner),,53-54,,
10:54.0,Offensive rebound by T. Johnson,,53-54,,
10:51.0,T. Johnson makes 2-pt shot from 9 ft,2,55-54,,
10:36.0,Shooting block foul by B. Adebayo (drawn by M. Turner),,55-54,,
10:36.0,,,55-55,1,M. Turner makes free throw 1 of 2
10:36.0,,,55-56,1,M. Turner makes free throw 2 of 2
10:28.0,Turnover by J. Johnson (lost ball; steal by T. Young),,55-56,,
10:25.0,,,55-56,,Turnover by V. Oladipo (out of bounds lost ball)
10:15.0,T. Johnson misses 3-pt shot from 26 ft,,55-56,,
10:11.0,,,55-56,,Defensive rebound by T. Young
10:00.0,,,55-56,,M. Turner misses 2-pt shot from 19 ft
9:57.0,Defensive rebound by J. Johnson,,55-56,,
9:52.0,B. Adebayo makes 2-pt shot from 1 ft (assist by J. Johnson),2,57-56,,
9:32.0,,,57-58,2,T. Young makes 2-pt shot from 3 ft (assist by D. Collison)
9:19.0,J. Johnson misses 3-pt shot from 26 ft,,57-58,,
9:16.0,,,57-58,,Defensive rebound by M. Turner
9:06.0,,,57-58,,V. Oladipo misses 2-pt shot from 1 ft (block by B. Adebayo)
9:06.0,,,57-58,,Offensive rebound by Team
9:02.0,,,57-58,,B. Bogdanovic misses 2-pt shot from 12 ft
8:57.0,,,57-58,,Offensive rebound by M. Turner
8:43.0,,,57-60,2,T. Young makes 2-pt shot from 1 ft (assist by M. Turner)
8:30.0,G. Dragic makes 2-pt shot from 7 ft,2,59-60,,
8:17.0,,,59-62,2,T. Young makes 2-pt shot from 7 ft
8:04.0,Turnover by J. Johnson (bad pass; steal by T. Young),,59-62,,
7:54.0,,,59-64,2,V. Oladipo makes 2-pt shot from 1 ft
7:38.0,G. Dragic makes 3-pt shot from 24 ft (assist by T. Johnson),3,62-64,,
7:10.0,,,62-66,2,D. Collison makes 2-pt shot from 19 ft (assist by V. Oladipo)
6:43.0,J. Richardson misses 2-pt shot from 1 ft,,62-66,,
6:41.0,,,62-66,,Defensive rebound by M. Turner
6:38.0,,,62-66,,Shooting foul by J. Johnson (drawn by V. Oladipo)
6:38.0,,,62-66,,Indiana full timeout
6:38.0,W. Ellington enters the game for J. Richardson,,62-66,,
6:38.0,,,62-66,,V. Oladipo misses free throw 1 of 2
6:38.0,,,62-66,,Offensive rebound by Team
6:38.0,,,62-66,,C. Joseph enters the game for B. Bogdanovic
6:38.0,,,62-67,1,V. Oladipo makes free throw 2 of 2
6:26.0,J. Johnson makes 2-pt shot from 2 ft (assist by T. Johnson),2,64-67,,
6:00.0,,,64-69,2,T. Young makes 2-pt shot from 10 ft (assist by V. Oladipo)
5:44.0,J. Johnson makes 3-pt shot from 25 ft (assist by T. Johnson),3,67-69,,
5:30.0,,,67-69,,M. Turner misses 2-pt shot from 9 ft
5:28.0,,,67-69,,Offensive rebound by T. Young
5:27.0,,,67-69,,T. Young misses 2-pt shot from 4 ft
5:27.0,Defensive rebound by G. Dragic,,67-69,,
5:15.0,W. Ellington misses 3-pt shot from 29 ft,,67-69,,
5:13.0,,,67-69,,Defensive rebound by M. Turner
4:58.0,,,67-71,2,V. Oladipo makes 2-pt shot from 1 ft (assist by C. Joseph)
4:58.0,Violation by B. Adebayo (def goaltending),,67-71,,
4:44.0,J. Johnson misses 2-pt shot from 16 ft,,67-71,,
4:39.0,,,67-71,,Defensive rebound by M. Turner
4:28.0,,,67-73,2,C. Joseph makes 2-pt shot from 16 ft (assist by V. Oladipo)
4:19.0,,,67-73,,Personal foul by D. Collison (drawn by G. Dragic)
4:19.0,K. Olynyk enters the game for B. Adebayo,,67-73,,
4:19.0,,,67-73,,T. Booker enters the game for M. Turner
4:15.0,T. Johnson makes 3-pt shot from 26 ft (assist by K. Olynyk),3,70-73,,
3:47.0,,,70-73,,T. Young misses 2-pt shot from 3 ft
3:47.0,,,70-73,,Offensive rebound by Team
3:43.0,Jump ball: V. Oladipo vs. K. Olynyk (T. Young gains possession),,,,Jump ball: V. Oladipo vs. K. Olynyk (T. Young gains possession)
3:32.0,,,70-73,,Turnover by V. Oladipo (lost ball; steal by G. Dragic)
3:26.0,W. Ellington makes 2-pt shot at rim (assist by J. Johnson),2,72-73,,
3:10.0,,,72-75,2,T. Young makes 2-pt shot from 5 ft (assist by D. Collison)
2:55.0,K. Olynyk misses 3-pt shot from 29 ft,,72-75,,
2:53.0,,,72-75,,Defensive rebound by T. Young
2:47.0,,,72-75,,V. Oladipo misses 2-pt shot from 15 ft
2:46.0,,,72-75,,Offensive rebound by Team
2:46.0,Loose ball foul by W. Ellington (drawn by T. Booker),,72-75,,
2:46.0,Miami full timeout,,72-75,,
2:46.0,,,72-75,,L. Stephenson enters the game for D. Collison
2:46.0,,,72-75,,G. Robinson enters the game for V. Oladipo
2:46.0,D. Wade enters the game for T. Johnson,,72-75,,
2:46.0,J. Winslow enters the game for J. Johnson,,72-75,,
2:39.0,,,72-75,,Shooting foul by G. Dragic (drawn by T. Young)
2:39.0,,,72-75,,T. Young misses free throw 1 of 2
2:39.0,,,72-75,,Offensive rebound by Team
2:39.0,J. Richardson enters the game for G. Dragic,,72-75,,
2:39.0,,,72-76,1,T. Young makes free throw 2 of 2
2:25.0,J. Richardson misses 3-pt shot from 27 ft,,72-76,,
2:23.0,,,72-76,,Defensive rebound by G. Robinson
2:09.0,,,72-76,,Shooting foul by K. Olynyk (drawn by C. Joseph)
2:09.0,,,72-77,1,C. Joseph makes free throw 1 of 2
2:09.0,,,72-77,,C. Joseph misses free throw 2 of 2
2:09.0,Defensive rebound by K. Olynyk,,72-77,,
1:58.0,D. Wade misses 2-pt shot from 18 ft,,72-77,,
1:56.0,,,72-77,,Defensive rebound by G. Robinson
1:39.0,,,72-77,,Turnover by T. Young (bad pass; steal by W. Ellington)
1:32.0,J. Winslow misses 2-pt shot from 20 ft,,72-77,,
1:28.0,,,72-77,,Defensive rebound by C. Joseph
1:21.0,,,72-77,,L. Stephenson misses 3-pt shot from 32 ft
1:18.0,Defensive rebound by K. Olynyk,,72-77,,
1:11.0,,,72-77,,Personal foul by T. Young (drawn by K. Olynyk)
1:11.0,,,72-77,,B. Bogdanovic enters the game for T. Young
1:05.0,J. Winslow makes 2-pt shot from 1 ft (assist by K. Olynyk),2,74-77,,
0:46.0,,,74-79,2,C. Joseph makes 2-pt shot from 18 ft
0:37.0,K. Olynyk misses 2-pt shot from 5 ft (block by L. Stephenson),,74-79,,
0:35.0,Offensive rebound by K. Olynyk,,74-79,,
0:32.0,D. Wade misses 2-pt shot from 13 ft,,74-79,,
0:29.0,,,74-79,,Defensive rebound by B. Bogdanovic
0:22.0,,,74-82,3,G. Robinson makes 3-pt shot from 22 ft (assist by C. Joseph)
0:03.0,D. Wade misses 3-pt shot from 26 ft,,74-82,,
0:00.0,,,74-82,,Defensive rebound by C. Joseph
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,W. Ellington misses 3-pt shot from 26 ft,,74-82,,
11:44.0,,,74-82,,Defensive rebound by T. Booker
11:31.0,,,74-82,,Turnover by L. Stephenson (bad pass; steal by K. Olynyk)
11:24.0,D. Wade makes 2-pt shot from 1 ft (assist by K. Olynyk),2,76-82,,
11:09.0,,,76-84,2,B. Bogdanovic makes 2-pt shot at rim
10:55.0,W. Ellington misses 2-pt shot at rim,,76-84,,
10:53.0,,,76-84,,Defensive rebound by G. Robinson
10:49.0,,,76-84,,L. Stephenson misses 2-pt shot from 1 ft
10:47.0,Defensive rebound by K. Olynyk,,76-84,,
10:43.0,W. Ellington makes 3-pt shot from 23 ft (assist by J. Richardson),3,79-84,,
10:23.0,,,79-84,,Turnover by B. Bogdanovic (lost ball; steal by W. Ellington)
10:20.0,J. Richardson makes 2-pt shot at rim (assist by W. Ellington),2,81-84,,
10:20.0,,,81-84,,Indiana full timeout
10:00.0,,,81-86,2,T. Booker makes 2-pt shot from 3 ft (assist by C. Joseph)
9:37.0,W. Ellington misses 3-pt shot from 26 ft,,81-86,,
9:34.0,,,81-86,,Defensive rebound by T. Booker
9:23.0,,,81-86,,C. Joseph misses 3-pt shot from 23 ft
9:18.0,Defensive rebound by D. Wade,,81-86,,
9:09.0,K. Olynyk makes 2-pt shot at rim (assist by D. Wade),2,83-86,,
8:55.0,,,83-86,,Turnover by C. Joseph (out of bounds lost ball)
8:46.0,K. Olynyk makes 2-pt shot at rim (assist by D. Wade),2,85-86,,
8:45.0,,,85-86,,Indiana full timeout
8:45.0,,,85-86,,D. Collison enters the game for L. Stephenson
8:45.0,,,85-86,,M. Turner enters the game for C. Joseph
8:45.0,,,85-86,,V. Oladipo enters the game for T. Booker
8:35.0,,,85-86,,B. Bogdanovic misses 2-pt shot from 17 ft
8:31.0,Defensive rebound by W. Ellington,,85-86,,
8:18.0,J. Richardson misses 2-pt shot from 17 ft,,85-86,,
8:15.0,,,85-86,,Defensive rebound by G. Robinson
7:56.0,,,85-86,,V. Oladipo misses 3-pt shot from 27 ft
7:54.0,Defensive rebound by K. Olynyk,,85-86,,
7:48.0,D. Wade misses 2-pt shot from 17 ft,,85-86,,
7:44.0,,,85-86,,Defensive rebound by D. Collison
7:23.0,,,85-86,,V. Oladipo misses 3-pt shot from 24 ft
7:19.0,,,85-86,,Offensive rebound by B. Bogdanovic
7:15.0,,,85-88,2,B. Bogdanovic makes 2-pt shot from 5 ft
6:57.0,W. Ellington misses 3-pt shot from 23 ft,,85-88,,
6:55.0,,,85-88,,Defensive rebound by M. Turner
6:39.0,,,85-88,,Turnover by D. Collison (bad pass; steal by W. Ellington)
6:36.0,Offensive charge foul by W. Ellington (drawn by V. Oladipo),,85-88,,
6:36.0,Turnover by W. Ellington (offensive foul),,85-88,,
6:36.0,,,85-88,,T. Young enters the game for G. Robinson
6:36.0,T. Johnson enters the game for W. Ellington,,85-88,,
6:36.0,G. Dragic enters the game for D. Wade,,85-88,,
6:21.0,,,85-90,2,V. Oladipo makes 2-pt shot from 7 ft
6:04.0,K. Olynyk makes 3-pt shot from 27 ft (assist by G. Dragic),3,88-90,,
5:39.0,,,88-90,,V. Oladipo misses 3-pt shot from 26 ft
5:34.0,Defensive rebound by J. Winslow,,88-90,,
5:22.0,,,88-90,,Personal foul by D. Collison (drawn by K. Olynyk)
5:22.0,Miami full timeout,,88-90,,
5:22.0,,,88-90,,C. Joseph enters the game for B. Bogdanovic
5:22.0,J. Johnson enters the game for J. Winslow,,88-90,,
5:14.0,J. Johnson makes 3-pt shot from 24 ft (assist by K. Olynyk),3,91-90,,
4:55.0,,,91-93,3,V. Oladipo makes 3-pt shot from 22 ft (assist by M. Turner)
4:35.0,K. Olynyk misses 3-pt shot from 28 ft,,91-93,,
4:34.0,,,91-93,,Defensive rebound by T. Young
4:20.0,,,91-93,,M. Turner misses 2-pt shot from 20 ft
4:13.0,Defensive rebound by T. Johnson,,91-93,,
4:03.0,G. Dragic misses 2-pt shot from 17 ft,,91-93,,
4:00.0,Offensive rebound by J. Richardson,,91-93,,
3:56.0,K. Olynyk misses 2-pt shot from 5 ft (block by T. Young),,91-93,,
3:54.0,,,91-93,,Defensive rebound by T. Young
3:44.0,,,91-93,,Turnover by V. Oladipo (traveling)
3:44.0,Miami full timeout,,91-93,,
3:44.0,,,91-93,,B. Bogdanovic enters the game for D. Collison
3:32.0,Turnover by K. Olynyk (bad pass; steal by T. Young),,91-93,,
3:18.0,,,91-93,,Turnover by M. Turner (lost ball; steal by K. Olynyk)
3:15.0,K. Olynyk misses 2-pt shot from 2 ft (block by T. Young),,91-93,,
3:13.0,,,91-93,,Defensive rebound by C. Joseph
2:51.0,,,91-93,,Turnover by V. Oladipo (bad pass; steal by G. Dragic)
2:47.0,J. Richardson makes 2-pt shot at rim (assist by G. Dragic),2,93-93,,
2:26.0,,,93-93,,Turnover by B. Bogdanovic (out of bounds lost ball)
2:26.0,D. Wade enters the game for T. Johnson,,93-93,,
2:18.0,G. Dragic makes 2-pt shot at rim,2,95-93,,
2:04.0,Personal foul by K. Olynyk (drawn by V. Oladipo),,95-93,,
1:56.0,,,95-93,,M. Turner misses 2-pt shot from 19 ft
1:53.0,Defensive rebound by J. Johnson,,95-93,,
1:31.0,Turnover by J. Johnson (bad pass; steal by V. Oladipo),,95-93,,
1:26.0,,,95-93,,Turnover by V. Oladipo (lost ball; steal by J. Richardson)
1:08.0,Turnover by K. Olynyk (turnover),,95-93,,
1:08.0,,,95-93,,Indiana full timeout
1:08.0,,,95-93,,D. Collison enters the game for C. Joseph
1:01.0,Shooting block foul by K. Olynyk (drawn by V. Oladipo),,95-93,,
1:01.0,,,95-94,1,V. Oladipo makes free throw 1 of 2
1:01.0,,,95-94,,C. Joseph enters the game for D. Collison
1:01.0,,,95-95,1,V. Oladipo makes free throw 2 of 2
