time,Toronto,pts.away,score,pts.home,San Antonio
3:19.0,,,16-18,3,M. Ginobili makes 3-pt shot from 25 ft (assist by L. Aldridge)
3:11.0,C. Miles misses 3-pt shot from 25 ft,,16-18,,
3:07.0,,,16-18,,Defensive rebound by R. Gay
2:55.0,,,16-18,,J. Lauvergne misses 2-pt shot from 2 ft
2:55.0,Defensive rebound by J. Poeltl,,16-18,,
2:50.0,K. Lowry misses 3-pt shot from 24 ft,,16-18,,
2:50.0,,,16-18,,Defensive rebound by Team
2:47.0,Toronto full timeout,,16-18,,
2:47.0,,,16-18,,P. Gasol enters the game for L. Aldridge
2:47.0,D. Wright enters the game for K. Lowry,,16-18,,
2:36.0,,,16-20,2,M. Ginobili makes 2-pt shot from 1 ft (assist by P. Mills)
2:17.0,D. Wright misses 3-pt shot from 25 ft,,16-20,,
2:17.0,Offensive rebound by J. Poeltl,,16-20,,
2:10.0,D. DeRozan misses 2-pt shot from 13 ft,,16-20,,
2:10.0,,,16-20,,Defensive rebound by J. Lauvergne
1:54.0,,,16-20,,Turnover by P. Gasol (bad pass; steal by D. Wright)
1:47.0,C. Miles makes 3-pt shot from 25 ft (assist by O. Anunoby),3,19-20,,
1:19.0,,,19-20,,P. Gasol misses 2-pt shot from 1 ft (block by J. Poeltl)
1:19.0,,,19-20,,Offensive rebound by R. Gay
1:19.0,F. VanVleet enters the game for D. DeRozan,,19-20,,
1:08.0,,,19-20,,R. Gay misses 2-pt shot from 1 ft
1:08.0,Defensive rebound by J. Poeltl,,19-20,,
1:02.0,D. Wright makes 2-pt shot at rim,2,21-20,,
0:48.0,Personal foul by O. Anunoby (drawn by P. Gasol),,21-20,,
0:48.0,,,21-20,,P. Gasol misses free throw 1 of 2
0:48.0,,,21-20,,Offensive rebound by Team
0:48.0,,,21-21,1,P. Gasol makes free throw 2 of 2
0:31.0,O. Anunoby misses 2-pt shot from 2 ft (block by P. Gasol),,21-21,,
0:31.0,,,21-21,,Defensive rebound by P. Gasol
0:10.0,,,21-21,,Turnover by M. Ginobili (out of bounds lost ball)
0:10.0,,,21-21,,K. Anderson enters the game for P. Gasol
0:01.0,O. Anunoby makes 2-pt shot from 2 ft,2,23-21,,
0:00.0,,,23-21,,R. Gay misses 3-pt shot from 78 ft
0:00.0,,,23-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,,,23-21,,K. Anderson enters the game for J. Lauvergne
11:49.0,,,23-21,,Personal block foul by K. Anderson (drawn by C. Miles)
11:49.0,,,23-21,,D. Green enters the game for K. Anderson
11:39.0,O. Anunoby makes 2-pt shot from 2 ft (assist by D. Wright),2,25-21,,
11:26.0,,,25-23,2,P. Mills makes 2-pt shot from 19 ft
10:55.0,D. Wright misses 3-pt shot from 24 ft,,25-23,,
10:53.0,,,25-23,,Defensive rebound by P. Gasol
10:53.0,Violation by J. Poeltl (kicked ball),,25-23,,
10:51.0,,,25-23,,Shooting foul by O. Anunoby (drawn by D. Green)
10:51.0,,,25-24,1,D. Green makes free throw 1 of 2
10:51.0,,,25-24,,D. Green misses free throw 2 of 2
10:49.0,Defensive rebound by C. Miles,,25-24,,
10:36.0,F. VanVleet makes 2-pt shot from 1 ft,2,27-24,,
10:22.0,,,27-27,3,R. Gay makes 3-pt shot from 26 ft (assist by P. Mills)
10:01.0,F. VanVleet makes 3-pt shot from 24 ft (assist by D. Wright),3,30-27,,
9:44.0,,,30-29,2,M. Ginobili makes 2-pt shot at rim
9:38.0,Offensive charge foul by D. Wright (drawn by M. Ginobili),,30-29,,
9:38.0,Turnover by D. Wright (offensive foul),,30-29,,
9:38.0,,,30-29,,D. Murray enters the game for M. Ginobili
9:31.0,Personal foul by O. Anunoby (drawn by P. Mills),,30-29,,
9:31.0,K. Lowry enters the game for O. Anunoby,,30-29,,
9:22.0,,,30-31,2,P. Mills makes 2-pt shot from 19 ft (assist by P. Gasol)
9:05.0,C. Miles misses 3-pt shot from 24 ft,,30-31,,
9:02.0,,,30-31,,Defensive rebound by R. Gay
8:57.0,,,30-31,,P. Mills misses 3-pt shot from 23 ft
8:55.0,,,30-31,,Offensive rebound by Team
8:55.0,L. Nogueira enters the game for J. Poeltl,,30-31,,
8:55.0,,,30-31,,B. Forbes enters the game for P. Mills
8:49.0,,,30-33,2,R. Gay makes 2-pt shot at rim (assist by P. Gasol)
8:29.0,F. VanVleet misses 2-pt shot from 12 ft,,30-33,,
8:27.0,,,30-33,,Defensive rebound by P. Gasol
8:18.0,,,30-33,,P. Gasol misses 2-pt shot from 6 ft
8:13.0,,,30-33,,Offensive rebound by R. Gay
8:13.0,,,30-35,2,R. Gay makes 2-pt shot at rim
8:12.0,Toronto full timeout,,30-35,,
8:12.0,,,30-35,,L. Aldridge enters the game for B. Forbes
8:12.0,D. DeRozan enters the game for C. Miles,,30-35,,
8:12.0,S. Ibaka enters the game for F. VanVleet,,30-35,,
8:12.0,Turnover by Team (turnover),,30-35,,
8:03.0,Personal foul by L. Nogueira (drawn by P. Gasol),,30-35,,
8:03.0,J. Poeltl enters the game for L. Nogueira,,30-35,,
7:55.0,,,30-35,,D. Green misses 3-pt shot from 25 ft
7:53.0,Defensive rebound by J. Poeltl,,30-35,,
7:46.0,S. Ibaka makes 3-pt shot from 24 ft (assist by D. DeRozan),3,33-35,,
7:25.0,,,33-35,,Turnover by P. Gasol (bad pass)
7:16.0,S. Ibaka makes 2-pt shot from 9 ft (assist by D. DeRozan),2,35-35,,
7:03.0,,,35-35,,D. Murray misses 2-pt shot from 17 ft
7:03.0,Defensive rebound by D. Wright,,35-35,,
6:55.0,Shooting foul by R. Gay (drawn by D. DeRozan),,35-35,,
6:55.0,D. DeRozan misses free throw 1 of 2,,35-35,,
6:55.0,Offensive rebound by Team,,35-35,,
6:55.0,,,35-35,,B. Forbes enters the game for R. Gay
6:55.0,D. DeRozan makes free throw 2 of 2,1,36-35,,
6:42.0,,,36-37,2,D. Green makes 2-pt shot at rim (assist by P. Gasol)
6:30.0,D. DeRozan misses 2-pt shot from 6 ft,,36-37,,
6:27.0,,,36-37,,Defensive rebound by P. Gasol
6:21.0,Violation by D. DeRozan (kicked ball),,36-37,,
6:13.0,,,36-37,,P. Gasol misses 2-pt shot from 2 ft (block by D. Wright)
6:07.0,,,36-37,,Offensive rebound by P. Gasol
6:07.0,,,36-37,,P. Gasol misses 2-pt shot at rim (block by J. Poeltl)
6:06.0,Defensive rebound by S. Ibaka,,36-37,,
6:05.0,K. Lowry misses 2-pt shot from 3 ft (block by L. Aldridge),,36-37,,
6:05.0,Offensive rebound by Team,,36-37,,
5:50.0,D. DeRozan misses 3-pt shot from 22 ft (block by D. Green),,36-37,,
5:50.0,,,36-37,,Defensive rebound by D. Murray
5:42.0,,,36-40,3,D. Green makes 3-pt shot from 22 ft (assist by D. Murray)
5:26.0,J. Poeltl misses 2-pt shot from 2 ft (block by D. Green),,36-40,,
5:26.0,,,36-40,,Defensive rebound by D. Murray
5:20.0,,,36-40,,D. Green misses 3-pt shot from 24 ft
5:20.0,,,36-40,,Offensive rebound by D. Murray
5:17.0,,,36-40,,D. Murray misses 2-pt shot at rim
5:17.0,,,36-40,,Offensive rebound by L. Aldridge
5:17.0,Personal foul by S. Ibaka (drawn by L. Aldridge),,36-40,,
5:17.0,,,36-41,1,L. Aldridge makes free throw 2 of 2
5:17.0,,,36-42,1,L. Aldridge makes free throw 1 of 2
5:17.0,,,36-42,,B. Paul enters the game for D. Green
5:17.0,,,36-42,,J. Lauvergne enters the game for P. Gasol
5:17.0,N. Powell enters the game for D. Wright,,36-42,,
5:02.0,Shooting foul by D. Murray (drawn by D. DeRozan),,36-42,,
5:02.0,D. DeRozan misses free throw 1 of 2,,36-42,,
5:02.0,Offensive rebound by Team,,36-42,,
5:02.0,D. DeRozan makes free throw 2 of 2,1,37-42,,
4:44.0,,,37-42,,J. Lauvergne misses 3-pt shot from 22 ft
4:38.0,,,37-42,,Offensive rebound by L. Aldridge
4:37.0,,,37-42,,Turnover by L. Aldridge (bad pass; steal by D. DeRozan)
4:36.0,D. DeRozan makes 2-pt shot from 12 ft,2,39-42,,
4:36.0,Shooting foul by B. Paul (drawn by D. DeRozan),,39-42,,
4:36.0,D. DeRozan makes free throw 1 of 1,1,40-42,,
4:28.0,,,40-42,,Turnover by D. Murray (bad pass)
4:20.0,Turnover by D. DeRozan (step out of bounds),,40-42,,
4:03.0,,,40-44,2,L. Aldridge makes 2-pt shot at rim (assist by B. Paul)
3:52.0,K. Lowry makes 3-pt shot from 24 ft,3,43-44,,
3:46.0,,,43-46,2,B. Forbes makes 2-pt shot at rim (assist by D. Murray)
3:43.0,Violation by S. Ibaka (def goaltending),,43-46,,
3:32.0,J. Poeltl makes 2-pt shot from 2 ft (assist by N. Powell),2,45-46,,
3:32.0,Shooting foul by L. Aldridge (drawn by J. Poeltl),,45-46,,
3:32.0,,,45-46,,M. Ginobili enters the game for D. Murray
3:32.0,,,45-46,,P. Mills enters the game for B. Forbes
3:32.0,,,45-46,,D. Green enters the game for B. Paul
3:32.0,J. Poeltl misses free throw 1 of 1,,45-46,,
3:26.0,,,45-46,,Defensive rebound by J. Lauvergne
3:08.0,,,45-46,,D. Green misses 3-pt shot from 24 ft
3:08.0,Defensive rebound by Team,,45-46,,
3:08.0,,,45-46,,Loose ball foul by J. Lauvergne (drawn by S. Ibaka)
3:08.0,S. Ibaka makes free throw 1 of 2,1,46-46,,
3:08.0,,,46-46,,San Antonio full timeout
3:08.0,,,46-46,,R. Gay enters the game for J. Lauvergne
3:08.0,S. Ibaka misses free throw 2 of 2,,46-46,,
3:04.0,,,46-46,,Defensive rebound by R. Gay
2:53.0,,,46-46,,M. Ginobili misses 2-pt shot from 2 ft
2:50.0,Defensive rebound by S. Ibaka,,46-46,,
2:39.0,Offensive foul by D. DeRozan (drawn by P. Mills),,46-46,,
2:39.0,Turnover by D. DeRozan (offensive foul),,46-46,,
2:39.0,C. Miles enters the game for J. Poeltl,,46-46,,
2:30.0,Personal foul by S. Ibaka (drawn by L. Aldridge),,46-46,,
2:30.0,,,46-47,1,L. Aldridge makes free throw 1 of 2
2:30.0,J. Poeltl enters the game for S. Ibaka,,46-47,,
2:30.0,,,46-48,1,L. Aldridge makes free throw 2 of 2
2:10.0,D. DeRozan misses 3-pt shot from 24 ft,,46-48,,
2:06.0,,,46-48,,Defensive rebound by L. Aldridge
1:54.0,,,46-48,,Turnover by R. Gay (bad pass; steal by J. Poeltl)
1:49.0,J. Poeltl makes 2-pt shot from 2 ft (assist by N. Powell),2,48-48,,
1:30.0,,,48-48,,L. Aldridge misses 2-pt shot from 13 ft
1:30.0,Defensive rebound by K. Lowry,,48-48,,
1:17.0,C. Miles misses 3-pt shot from 25 ft,,48-48,,
1:17.0,,,48-48,,Defensive rebound by D. Green
1:01.0,,,48-50,2,R. Gay makes 2-pt shot from 1 ft
0:39.0,Shooting foul by R. Gay (drawn by N. Powell),,48-50,,
0:39.0,N. Powell makes free throw 1 of 2,1,49-50,,
0:39.0,D. Wright enters the game for D. DeRozan,,49-50,,
0:39.0,N. Powell makes free throw 2 of 2,1,50-50,,
0:32.0,,,50-50,,L. Aldridge misses 2-pt shot from 3 ft
0:32.0,Turnover by J. Poeltl (bad pass; steal by M. Ginobili),,50-50,,
0:28.0,Offensive rebound by J. Poeltl,,50-50,,
0:25.0,,,50-50,,Turnover by M. Ginobili (bad pass; steal by N. Powell)
0:02.0,Offensive charge foul by N. Powell (drawn by R. Gay),,50-50,,
0:02.0,Turnover by N. Powell (offensive foul),,50-50,,
0:00.0,,,50-50,,Turnover by R. Gay (bad pass; steal by N. Powell)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,S. Ibaka misses 3-pt shot from 25 ft,,50-50,,
11:37.0,,,50-50,,Defensive rebound by D. Murray
11:26.0,,,50-50,,P. Gasol misses 3-pt shot from 24 ft
11:24.0,Defensive rebound by L. Nogueira,,50-50,,
11:20.0,N. Powell misses 3-pt shot from 23 ft (block by D. Green),,50-50,,
11:14.0,,,50-50,,Defensive rebound by D. Murray
11:11.0,,,50-52,2,D. Murray makes 2-pt shot from 1 ft
10:56.0,K. Lowry makes 3-pt shot from 24 ft (assist by N. Powell),3,53-52,,
10:33.0,,,53-54,2,L. Aldridge makes 2-pt shot from 13 ft (assist by D. Murray)
10:13.0,K. Lowry misses 2-pt shot from 3 ft (block by P. Gasol),,53-54,,
10:10.0,,,53-54,,Defensive rebound by D. Green
10:10.0,Personal foul by N. Powell (drawn by D. Green),,53-54,,
9:57.0,,,53-54,,Turnover by K. Anderson (bad pass; steal by N. Powell)
9:51.0,N. Powell makes 2-pt shot from 1 ft,2,55-54,,
9:38.0,,,55-54,,Offensive charge foul by D. Murray (drawn by K. Lowry)
9:38.0,,,55-54,,Turnover by D. Murray (offensive foul)
9:20.0,L. Nogueira misses 3-pt shot from 25 ft,,55-54,,
9:17.0,,,55-54,,Defensive rebound by L. Aldridge
9:13.0,Personal foul by K. Lowry (drawn by L. Aldridge),,55-54,,
9:07.0,,,55-54,,L. Aldridge misses 3-pt shot from 25 ft
9:03.0,Defensive rebound by S. Ibaka,,55-54,,
8:59.0,S. Ibaka misses 3-pt shot from 25 ft (block by P. Gasol),,55-54,,
8:55.0,,,55-54,,Defensive rebound by D. Green
8:48.0,,,55-54,,Turnover by P. Gasol (bad pass; steal by D. DeRozan)
8:41.0,D. DeRozan makes 2-pt shot from 1 ft (assist by K. Lowry),2,57-54,,
8:29.0,,,57-54,,D. Green misses 2-pt shot from 15 ft
8:29.0,Defensive rebound by N. Powell,,57-54,,
8:18.0,D. DeRozan misses 3-pt shot from 22 ft,,57-54,,
8:18.0,,,57-54,,Defensive rebound by D. Murray
8:13.0,,,57-56,2,D. Murray makes 2-pt shot at rim
8:13.0,Violation by S. Ibaka (def goaltending),,57-56,,
8:02.0,D. DeRozan makes 2-pt shot from 13 ft,2,59-56,,
7:45.0,,,59-56,,D. Green misses 2-pt shot at rim
7:45.0,Defensive rebound by L. Nogueira,,59-56,,
7:37.0,N. Powell misses 2-pt shot from 2 ft,,59-56,,
7:37.0,Offensive rebound by L. Nogueira,,59-56,,
7:37.0,L. Nogueira misses 2-pt shot at rim,,59-56,,
7:37.0,,,59-56,,Defensive rebound by D. Murray
7:32.0,,,59-56,,Shooting foul by D. DeRozan (drawn by D. Murray)
7:32.0,,,59-57,1,D. Murray makes free throw 1 of 2
7:32.0,,,59-57,,D. Murray misses free throw 2 of 2
7:29.0,Defensive rebound by S. Ibaka,,59-57,,
7:13.0,Shooting foul by P. Gasol (drawn by L. Nogueira),,59-57,,
7:13.0,L. Nogueira makes free throw 1 of 2,1,60-57,,
7:13.0,L. Nogueira makes free throw 2 of 2,1,61-57,,
6:53.0,,,61-57,,D. Murray misses 3-pt shot from 25 ft
6:49.0,,,61-57,,Offensive rebound by P. Gasol
6:47.0,,,61-60,3,D. Green makes 3-pt shot from 23 ft (assist by P. Gasol)
6:29.0,N. Powell misses 3-pt shot from 23 ft,,61-60,,
6:26.0,,,61-60,,Defensive rebound by L. Aldridge
6:23.0,,,61-62,2,D. Murray makes 2-pt shot from 12 ft (assist by K. Anderson)
6:12.0,Toronto full timeout,,61-62,,
6:12.0,,,61-62,,M. Ginobili enters the game for D. Murray
6:12.0,,,61-62,,P. Mills enters the game for P. Gasol
6:12.0,,,61-62,,J. Lauvergne enters the game for K. Anderson
5:59.0,S. Ibaka misses 3-pt shot from 26 ft,,61-62,,
5:55.0,,,61-62,,Defensive rebound by J. Lauvergne
5:40.0,,,61-62,,M. Ginobili misses 2-pt shot from 11 ft
5:37.0,,,61-62,,Offensive rebound by L. Aldridge
5:36.0,,,61-62,,L. Aldridge misses 2-pt shot from 2 ft
5:36.0,Defensive rebound by N. Powell,,61-62,,
5:17.0,N. Powell makes 2-pt shot from 1 ft,2,63-62,,
5:07.0,,,63-62,,D. Green misses 3-pt shot from 22 ft
5:04.0,,,63-62,,Offensive rebound by J. Lauvergne
5:03.0,,,63-62,,R. Gay enters the game for D. Green
5:03.0,C. Miles enters the game for N. Powell,,63-62,,
4:55.0,Jump ball: J. Lauvergne vs. L. Nogueira (D. DeRozan gains possession),,,,Jump ball: J. Lauvergne vs. L. Nogueira (D. DeRozan gains possession)
4:55.0,,,63-62,,Turnover by J. Lauvergne (turnover; steal by L. Nogueira)
4:50.0,K. Lowry misses 3-pt shot from 25 ft,,63-62,,
4:49.0,,,63-62,,Defensive rebound by Team
4:36.0,,,63-64,2,J. Lauvergne makes 2-pt shot from 1 ft (assist by L. Aldridge)
4:36.0,,,63-64,,Shooting foul by C. Miles (drawn by J. Lauvergne)
4:36.0,,,63-65,1,J. Lauvergne makes free throw 1 of 1
4:15.0,C. Miles makes 2-pt shot at rim,2,65-65,,
4:02.0,,,65-65,,Turnover by J. Lauvergne (traveling)
3:54.0,Turnover by D. DeRozan (traveling),,65-65,,
3:38.0,,,65-67,2,M. Ginobili makes 2-pt shot at rim
3:25.0,Shooting foul by J. Lauvergne (drawn by D. DeRozan),,65-67,,
3:25.0,D. DeRozan misses free throw 1 of 2,,65-67,,
3:25.0,Offensive rebound by Team,,65-67,,
3:25.0,D. Wright enters the game for K. Lowry,,65-67,,
3:25.0,J. Poeltl enters the game for L. Nogueira,,65-67,,
3:25.0,D. DeRozan makes free throw 2 of 2,1,66-67,,
3:08.0,,,66-69,2,R. Gay makes 2-pt shot from 4 ft
2:42.0,Offensive foul by S. Ibaka (drawn by P. Mills),,66-69,,
2:42.0,Turnover by S. Ibaka (offensive foul),,66-69,,
2:42.0,,,66-69,,San Antonio full timeout
2:42.0,O. Anunoby enters the game for S. Ibaka,,66-69,,
2:29.0,,,66-69,,Turnover by L. Aldridge (bad pass)
2:27.0,,,66-69,,K. Anderson enters the game for L. Aldridge
2:17.0,D. DeRozan makes 2-pt shot from 2 ft,2,68-69,,
2:06.0,,,68-69,,P. Mills misses 3-pt shot from 24 ft
1:59.0,,,68-69,,Offensive rebound by J. Lauvergne
1:59.0,,,68-71,2,J. Lauvergne makes 2-pt shot at rim
1:45.0,Shooting foul by R. Gay (drawn by C. Miles),,68-71,,
1:45.0,C. Miles makes free throw 1 of 2,1,69-71,,
1:45.0,F. VanVleet enters the game for D. DeRozan,,69-71,,
1:45.0,C. Miles makes free throw 2 of 2,1,70-71,,
1:31.0,,,70-71,,K. Anderson misses 2-pt shot from 20 ft
1:31.0,Defensive rebound by Team,,70-71,,
1:31.0,,,70-71,,Personal foul by J. Lauvergne (drawn by J. Poeltl)
1:31.0,J. Poeltl makes free throw 2 of 2,1,71-71,,
1:31.0,J. Poeltl makes free throw 1 of 2,1,72-71,,
1:18.0,,,72-71,,P. Mills misses 3-pt shot from 24 ft
1:11.0,,,72-71,,Offensive rebound by M. Ginobili
1:08.0,,,72-71,,K. Anderson misses 2-pt shot from 1 ft
1:02.0,Defensive rebound by J. Poeltl,,72-71,,
0:57.0,Turnover by C. Miles (lost ball; steal by J. Lauvergne),,72-71,,
0:51.0,,,72-71,,K. Anderson misses 2-pt shot from 1 ft
0:50.0,,,72-71,,Offensive rebound by J. Lauvergne
0:50.0,,,72-73,2,J. Lauvergne makes 2-pt shot at rim
0:31.0,,,72-73,,Personal foul by M. Ginobili (drawn by D. Wright)
0:31.0,D. Wright makes free throw 1 of 2,1,73-73,,
0:31.0,D. Wright makes free throw 2 of 2,1,74-73,,
0:08.0,,,74-75,2,P. Mills makes 2-pt shot at rim (assist by M. Ginobili)
0:01.0,F. VanVleet misses 2-pt shot from 1 ft (block by R. Gay),,74-75,,
0:01.0,Offensive rebound by Team,,74-75,,
0:00.0,C. Miles misses 3-pt shot from 24 ft,,74-75,,
0:00.0,Offensive rebound by Team,,74-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,74-75,,J. Lauvergne misses 2-pt shot at rim
11:39.0,Defensive rebound by D. Wright,,74-75,,
11:36.0,Turnover by D. Wright (bad pass; steal by R. Gay),,74-75,,
11:30.0,,,74-75,,M. Ginobili misses 3-pt shot from 25 ft
11:21.0,Defensive rebound by O. Anunoby,,74-75,,
11:07.0,F. VanVleet misses 3-pt shot from 26 ft,,74-75,,
11:07.0,Offensive rebound by J. Poeltl,,74-75,,
11:04.0,,,74-75,,Personal foul by M. Ginobili (drawn by C. Miles)
10:55.0,Offensive charge foul by C. Miles (drawn by P. Mills),,74-75,,
10:55.0,Turnover by C. Miles (offensive foul),,74-75,,
10:38.0,,,74-75,,Turnover by P. Mills (bad pass; steal by F. VanVleet)
10:38.0,,,74-75,,Personal foul by P. Mills (drawn by F. VanVleet)
10:38.0,F. VanVleet makes clear path free throw 2 of 2,1,75-75,,
10:38.0,F. VanVleet makes clear path free throw 1 of 2,1,76-75,,
10:15.0,C. Miles misses 2-pt shot from 10 ft,,76-75,,
10:06.0,Offensive rebound by J. Poeltl,,76-75,,
10:06.0,J. Poeltl makes 2-pt shot at rim,2,78-75,,
9:49.0,,,78-75,,R. Gay misses 2-pt shot from 2 ft (block by J. Poeltl)
9:49.0,Defensive rebound by D. Wright,,78-75,,
9:36.0,Turnover by D. Wright (turnover),,78-75,,
9:25.0,,,78-75,,J. Lauvergne misses 2-pt shot from 1 ft
9:19.0,Defensive rebound by J. Poeltl,,78-75,,
9:19.0,C. Miles makes 3-pt shot from 22 ft (assist by D. Wright),3,81-75,,
9:19.0,,,81-75,,San Antonio full timeout
9:19.0,,,81-75,,D. Murray enters the game for P. Mills
9:19.0,,,81-75,,L. Aldridge enters the game for M. Ginobili
9:19.0,,,81-75,,D. Green enters the game for J. Lauvergne
9:02.0,,,81-77,2,K. Anderson makes 2-pt shot from 5 ft
8:35.0,O. Anunoby misses 3-pt shot from 23 ft,,81-77,,
8:35.0,,,81-77,,Defensive rebound by D. Murray
8:23.0,,,81-77,,D. Murray misses 2-pt shot from 7 ft
8:23.0,,,81-77,,Offensive rebound by D. Murray
