time,LA Clippers,pts.away,score,pts.home,Memphis
6:47.0,M. Teodosic makes 2-pt shot from 21 ft,2,49-46,,
6:27.0,,,49-48,2,M. Gasol makes 2-pt shot from 7 ft
6:14.0,W. Reed misses 2-pt shot from 1 ft,,49-48,,
6:10.0,,,49-48,,Defensive rebound by M. Gasol
6:06.0,Personal foul by M. Teodosic (drawn by K. Simmons),,49-48,,
6:06.0,D. Jordan enters the game for M. Harrell,,49-48,,
6:06.0,A. Rivers enters the game for S. Dekker,,49-48,,
6:06.0,J. Wilson enters the game for W. Reed,,49-48,,
5:59.0,,,49-48,,M. Gasol misses 3-pt shot from 26 ft
5:55.0,Defensive rebound by J. Wilson,,49-48,,
5:45.0,L. Williams misses 2-pt shot from 19 ft,,49-48,,
5:42.0,Offensive rebound by D. Jordan,,49-48,,
5:42.0,D. Jordan misses 2-pt shot at rim,,49-48,,
5:41.0,,,49-48,,Defensive rebound by M. Gasol
5:35.0,Personal foul by J. Wilson (drawn by C. Parsons),,49-48,,
5:28.0,Personal foul by A. Rivers (drawn by M. Gasol),,49-48,,
5:20.0,,,49-50,2,K. Simmons makes 2-pt shot from 11 ft
5:10.0,D. Jordan misses 2-pt shot at rim (block by M. Gasol),,49-50,,
5:07.0,,,49-50,,Defensive rebound by M. Gasol
5:02.0,,,49-53,3,D. Brooks makes 3-pt shot from 23 ft (assist by T. Evans)
5:02.0,LA Clippers full timeout,,49-53,,
5:02.0,C. Williams enters the game for J. Wilson,,49-53,,
4:48.0,L. Williams makes 3-pt shot from 25 ft (assist by M. Teodosic),3,52-53,,
4:30.0,,,52-53,,K. Simmons misses 2-pt shot from 13 ft
4:27.0,Defensive rebound by D. Jordan,,52-53,,
4:23.0,,,52-53,,Personal foul by D. Brooks (drawn by L. Williams)
4:11.0,Shooting foul by M. Gasol (drawn by A. Rivers),,52-53,,
4:11.0,A. Rivers makes free throw 1 of 2,1,53-53,,
4:11.0,A. Rivers misses free throw 2 of 2,,53-53,,
4:09.0,,,53-53,,Defensive rebound by C. Parsons
4:02.0,,,53-56,3,T. Evans makes 3-pt shot from 24 ft (assist by M. Gasol)
3:40.0,A. Rivers makes 2-pt shot from 11 ft,2,55-56,,
3:40.0,Shooting foul by C. Parsons (drawn by A. Rivers),,55-56,,
3:40.0,,,55-56,,J. Ennis enters the game for D. Brooks
3:40.0,,,55-56,,J. Martin enters the game for C. Parsons
3:40.0,A. Rivers makes free throw 1 of 1,1,56-56,,
3:27.0,,,56-56,,K. Simmons misses 2-pt shot at rim
3:27.0,,,56-56,,Offensive rebound by J. Martin
3:27.0,,,56-56,,Shooting foul by C. Williams (drawn by J. Martin)
3:27.0,,,56-57,1,J. Martin makes free throw 1 of 2
3:27.0,,,56-57,,J. Martin misses free throw 2 of 2
3:26.0,Defensive rebound by C. Williams,,56-57,,
3:15.0,M. Teodosic misses 3-pt shot from 26 ft,,56-57,,
3:12.0,,,56-57,,Defensive rebound by K. Simmons
3:04.0,,,56-57,,J. Martin misses 2-pt shot from 13 ft
3:02.0,Defensive rebound by D. Jordan,,56-57,,
2:51.0,Turnover by A. Rivers (bad pass),,56-57,,
2:39.0,,,56-59,2,T. Evans makes 2-pt shot from 7 ft
2:27.0,L. Williams misses 3-pt shot from 22 ft,,56-59,,
2:25.0,,,56-59,,Defensive rebound by J. Martin
2:23.0,,,56-59,,Memphis full timeout
2:11.0,,,56-61,2,J. Martin makes 2-pt shot at rim (assist by M. Gasol)
1:56.0,M. Teodosic misses 3-pt shot from 23 ft,,56-61,,
1:53.0,,,56-61,,Defensive rebound by M. Gasol
1:43.0,,,56-61,,Turnover by K. Simmons (bad pass; steal by A. Rivers)
1:28.0,A. Rivers misses 2-pt shot from 9 ft,,56-61,,
1:25.0,Offensive rebound by A. Rivers,,56-61,,
1:22.0,Shooting foul by J. Martin (drawn by L. Williams),,56-61,,
1:22.0,L. Williams misses free throw 1 of 2,,56-61,,
1:22.0,Offensive rebound by Team,,56-61,,
1:22.0,,,56-61,,A. Harrison enters the game for J. Martin
1:22.0,L. Williams makes free throw 2 of 2,1,57-61,,
1:06.0,,,57-61,,A. Harrison misses 2-pt shot from 16 ft
1:04.0,Defensive rebound by D. Jordan,,57-61,,
0:59.0,A. Rivers makes 2-pt shot at rim,2,59-61,,
0:43.0,,,59-61,,J. Ennis misses 2-pt shot at rim (block by C. Williams)
0:39.0,,,59-61,,Offensive rebound by M. Gasol
0:39.0,,,59-61,,M. Gasol misses 2-pt shot at rim
0:38.0,Defensive rebound by M. Teodosic,,59-61,,
0:36.0,L. Williams misses 3-pt shot from 26 ft,,59-61,,
0:32.0,,,59-61,,Defensive rebound by A. Harrison
0:14.0,,,59-61,,Shooting foul by A. Rivers (drawn by A. Harrison)
0:14.0,,,59-62,1,A. Harrison makes free throw 1 of 2
0:14.0,,,59-63,1,A. Harrison makes free throw 2 of 2
0:02.0,M. Teodosic misses 3-pt shot from 25 ft,,59-63,,
0:02.0,,,59-63,,Defensive rebound by M. Gasol
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,59-66,3,D. Brooks makes 3-pt shot from 24 ft (assist by T. Evans)
11:19.0,M. Teodosic misses 3-pt shot from 25 ft,,59-66,,
11:16.0,,,59-66,,Defensive rebound by C. Parsons
11:08.0,,,59-69,3,T. Evans makes 3-pt shot from 26 ft (assist by A. Harrison)
10:47.0,Shooting foul by D. Brooks (drawn by D. Jordan),,59-69,,
10:47.0,D. Jordan misses free throw 1 of 2,,59-69,,
10:47.0,Offensive rebound by Team,,59-69,,
10:47.0,D. Jordan makes free throw 2 of 2,1,60-69,,
10:40.0,Personal foul by D. Jordan (drawn by A. Harrison),,60-69,,
10:31.0,,,60-69,,M. Gasol misses 2-pt shot from 12 ft
10:28.0,Defensive rebound by J. Wilson,,60-69,,
10:12.0,Turnover by M. Teodosic (traveling),,60-69,,
10:01.0,,,60-69,,D. Brooks misses 3-pt shot from 25 ft
9:58.0,,,60-69,,Offensive rebound by M. Gasol
9:53.0,,,60-69,,M. Gasol misses 3-pt shot from 25 ft
9:49.0,Defensive rebound by A. Rivers,,60-69,,
9:34.0,A. Rivers makes 3-pt shot from 22 ft,3,63-69,,
9:12.0,,,63-69,,A. Harrison misses 2-pt shot from 9 ft (block by D. Jordan)
9:12.0,Defensive rebound by Team,,63-69,,
8:56.0,J. Wilson misses 3-pt shot from 26 ft,,63-69,,
8:55.0,,,63-69,,Defensive rebound by Team
8:55.0,Loose ball foul by D. Jordan (drawn by M. Gasol),,63-69,,
8:38.0,,,63-69,,M. Gasol misses 2-pt shot from 10 ft
8:35.0,Defensive rebound by D. Jordan,,63-69,,
8:31.0,,,63-69,,Personal foul by A. Harrison (drawn by A. Rivers)
8:27.0,,,63-69,,Violation by M. Gasol (kicked ball)
8:20.0,,,63-69,,Personal foul by A. Harrison (drawn by M. Teodosic)
8:15.0,Turnover by M. Teodosic (traveling),,63-69,,
7:55.0,,,63-69,,Shooting foul by A. Rivers (drawn by D. Brooks)
7:55.0,,,63-70,1,D. Brooks makes free throw 1 of 2
7:55.0,,,63-71,1,D. Brooks makes free throw 2 of 2
7:44.0,A. Rivers makes 3-pt shot from 25 ft,3,66-71,,
7:18.0,,,66-71,,T. Evans misses 2-pt shot from 11 ft
7:16.0,Defensive rebound by D. Jordan,,66-71,,
7:11.0,A. Rivers misses 3-pt shot from 25 ft,,66-71,,
7:08.0,,,66-71,,Defensive rebound by M. Gasol
6:53.0,Personal foul by M. Teodosic (drawn by M. Gasol),,66-71,,
6:53.0,,,66-71,,Memphis full timeout
6:43.0,,,66-71,,T. Evans misses 3-pt shot from 25 ft
6:39.0,Defensive rebound by D. Jordan,,66-71,,
6:27.0,Turnover by D. Jordan (bad pass),,66-71,,
6:06.0,,,66-71,,M. Gasol misses 2-pt shot from 20 ft
6:03.0,Defensive rebound by D. Jordan,,66-71,,
5:56.0,Shooting foul by D. Brooks (drawn by A. Rivers),,66-71,,
5:56.0,A. Rivers makes free throw 1 of 2,1,67-71,,
5:56.0,,,67-71,,J. Ennis enters the game for D. Brooks
5:56.0,,,67-71,,K. Simmons enters the game for C. Parsons
5:56.0,L. Williams enters the game for M. Teodosic,,67-71,,
5:56.0,,,67-71,,J. Martin enters the game for A. Harrison
5:56.0,A. Rivers makes free throw 2 of 2,1,68-71,,
5:32.0,,,68-73,2,J. Martin makes 2-pt shot from 13 ft (assist by T. Evans)
5:14.0,D. Jordan makes 2-pt shot at rim (assist by J. Wilson),2,70-73,,
4:58.0,,,70-73,,Turnover by J. Ennis (bad pass)
4:58.0,S. Dekker enters the game for J. Wilson,,70-73,,
4:43.0,A. Rivers makes 2-pt shot at rim,2,72-73,,
4:30.0,,,72-73,,Shooting foul by C. Williams (drawn by T. Evans)
4:30.0,,,72-74,1,T. Evans makes free throw 1 of 2
4:30.0,,,72-75,1,T. Evans makes free throw 2 of 2
4:17.0,S. Dekker misses 3-pt shot from 26 ft,,72-75,,
4:16.0,,,72-75,,Defensive rebound by K. Simmons
4:13.0,,,72-77,2,J. Martin makes 2-pt shot from 1 ft (assist by K. Simmons)
4:04.0,A. Rivers makes 2-pt shot at rim,2,74-77,,
3:53.0,,,74-79,2,M. Gasol makes 2-pt shot from 1 ft (assist by T. Evans)
3:52.0,LA Clippers full timeout,,74-79,,
3:52.0,,,74-79,,B. Wright enters the game for M. Gasol
3:52.0,J. Evans enters the game for C. Williams,,74-79,,
3:36.0,J. Evans misses 2-pt shot from 9 ft,,74-79,,
3:33.0,,,74-79,,Defensive rebound by T. Evans
3:32.0,,,74-81,2,B. Wright makes 2-pt shot from 1 ft (assist by T. Evans)
3:19.0,A. Rivers misses 2-pt shot from 4 ft,,74-81,,
3:16.0,Offensive rebound by D. Jordan,,74-81,,
3:15.0,Turnover by D. Jordan (bad pass; steal by T. Evans),,74-81,,
3:13.0,Personal take foul by D. Jordan (drawn by T. Evans),,74-81,,
3:13.0,M. Harrell enters the game for A. Rivers,,74-81,,
3:13.0,,,74-82,1,T. Evans makes free throw 1 of 2
3:13.0,,,74-83,1,T. Evans makes free throw 2 of 2
3:00.0,L. Williams misses 3-pt shot from 25 ft,,74-83,,
2:59.0,Offensive rebound by Team,,74-83,,
2:59.0,Turnover by M. Harrell (turnover),,74-83,,
2:45.0,,,74-83,,T. Evans misses 3-pt shot from 26 ft
2:43.0,Defensive rebound by D. Jordan,,74-83,,
2:29.0,M. Harrell misses 2-pt shot from 2 ft (block by J. Martin),,74-83,,
2:27.0,,,74-83,,Defensive rebound by B. Wright
2:27.0,,,74-85,2,J. Ennis makes 2-pt shot from 1 ft (assist by T. Evans)
2:27.0,,,74-85,,Shooting foul by J. Evans (drawn by J. Ennis)
2:27.0,,,74-86,1,J. Ennis makes free throw 1 of 1
2:13.0,,,74-86,,Personal foul by K. Simmons (drawn by L. Williams)
2:13.0,L. Williams makes free throw 1 of 2,1,75-86,,
2:13.0,W. Reed enters the game for J. Evans,,75-86,,
2:13.0,M. Teodosic enters the game for D. Jordan,,75-86,,
2:13.0,L. Williams makes free throw 2 of 2,1,76-86,,
2:03.0,,,76-86,,Offensive foul by T. Evans (drawn by M. Teodosic)
2:03.0,,,76-86,,Turnover by T. Evans (offensive foul)
1:52.0,L. Williams makes 2-pt shot from 14 ft,2,78-86,,
1:32.0,,,78-86,,T. Evans misses 2-pt shot at rim
1:30.0,,,78-86,,Offensive rebound by J. Martin
1:30.0,,,78-86,,J. Martin misses 2-pt shot at rim
1:29.0,,,78-86,,Offensive rebound by J. Martin
1:27.0,,,78-86,,Shooting foul by M. Harrell (drawn by J. Martin)
1:27.0,,,78-87,1,J. Martin makes free throw 1 of 2
1:27.0,,,78-87,,A. Harrison enters the game for T. Evans
1:27.0,,,78-87,,M. Gasol enters the game for B. Wright
1:27.0,,,78-88,1,J. Martin makes free throw 2 of 2
1:20.0,L. Williams misses 2-pt shot from 17 ft,,78-88,,
1:18.0,Offensive rebound by M. Harrell,,78-88,,
1:17.0,L. Williams makes 3-pt shot from 29 ft (assist by M. Harrell),3,81-88,,
0:53.0,,,81-88,,A. Harrison misses 2-pt shot from 17 ft
0:49.0,,,81-88,,Offensive rebound by J. Martin
0:38.0,Personal foul by M. Teodosic (drawn by A. Harrison),,81-88,,
0:38.0,,,81-89,1,A. Harrison makes free throw 1 of 2
0:38.0,,,81-90,1,A. Harrison makes free throw 2 of 2
0:32.0,L. Williams misses 3-pt shot from 26 ft,,81-90,,
0:30.0,,,81-90,,Defensive rebound by M. Gasol
0:09.0,,,81-90,,M. Gasol misses 2-pt shot from 10 ft
0:07.0,Defensive rebound by S. Dekker,,81-90,,
0:00.0,Turnover by L. Williams (lost ball; steal by A. Harrison),,81-90,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,L. Williams misses 2-pt shot from 10 ft,,81-90,,
11:43.0,Offensive rebound by M. Harrell,,81-90,,
11:41.0,M. Harrell misses 2-pt shot from 9 ft,,81-90,,
11:41.0,,,81-90,,Defensive rebound by M. Gasol
11:24.0,,,81-90,,Turnover by M. Gasol (traveling)
11:06.0,Shooting foul by J. Martin (drawn by W. Reed),,81-90,,
11:06.0,W. Reed misses free throw 1 of 2,,81-90,,
11:06.0,Offensive rebound by Team,,81-90,,
11:06.0,W. Reed misses free throw 2 of 2,,81-90,,
11:03.0,,,81-90,,Defensive rebound by J. Ennis
10:54.0,,,81-92,2,K. Simmons makes 2-pt shot from 16 ft (assist by A. Harrison)
10:43.0,Shooting foul by J. Martin (drawn by L. Williams),,81-92,,
10:43.0,L. Williams makes free throw 1 of 2,1,82-92,,
10:43.0,L. Williams makes free throw 2 of 2,1,83-92,,
10:31.0,,,83-92,,A. Harrison misses 2-pt shot from 9 ft (block by L. Williams)
10:31.0,,,83-92,,Offensive rebound by Team
10:31.0,,,83-92,,Turnover by A. Harrison (bad pass; steal by M. Harrell)
10:26.0,Shooting foul by J. Martin (drawn by M. Harrell),,83-92,,
10:26.0,M. Harrell misses free throw 1 of 2,,83-92,,
10:26.0,Offensive rebound by Team,,83-92,,
10:26.0,,,83-92,,C. Parsons enters the game for K. Simmons
10:26.0,,,83-92,,D. Brooks enters the game for J. Ennis
10:26.0,,,83-92,,T. Evans enters the game for A. Harrison
10:26.0,M. Harrell makes free throw 2 of 2,1,84-92,,
10:12.0,,,84-94,2,M. Gasol makes 2-pt shot from 1 ft (assist by T. Evans)
10:05.0,L. Williams misses 2-pt shot from 18 ft,,84-94,,
10:05.0,,,84-94,,Defensive rebound by T. Evans
9:47.0,,,84-94,,D. Brooks misses 3-pt shot from 27 ft
9:47.0,Defensive rebound by W. Reed,,84-94,,
9:37.0,,,84-94,,Personal foul by D. Brooks (drawn by L. Williams)
9:37.0,,,84-94,,A. Harrison enters the game for D. Brooks
9:37.0,D. Jordan enters the game for M. Harrell,,84-94,,
9:37.0,A. Rivers enters the game for S. Dekker,,84-94,,
9:37.0,J. Wilson enters the game for W. Reed,,84-94,,
9:24.0,A. Rivers makes 2-pt shot from 2 ft,2,86-94,,
9:06.0,,,86-94,,Shooting foul by D. Jordan (drawn by A. Harrison)
9:06.0,,,86-95,1,A. Harrison makes free throw 1 of 2
9:06.0,,,86-95,,J. Ennis enters the game for J. Martin
9:06.0,,,86-96,1,A. Harrison makes free throw 2 of 2
8:50.0,L. Williams makes 3-pt shot from 25 ft (assist by A. Rivers),3,89-96,,
8:26.0,,,89-96,,T. Evans misses 3-pt shot from 26 ft
8:20.0,,,89-96,,Offensive rebound by J. Ennis
8:02.0,,,89-99,3,C. Parsons makes 3-pt shot from 23 ft (assist by A. Harrison)
7:42.0,Shooting foul by M. Gasol (drawn by D. Jordan),,89-99,,
7:42.0,D. Jordan misses free throw 1 of 2,,89-99,,
7:42.0,Offensive rebound by Team,,89-99,,
7:42.0,C. Williams enters the game for M. Teodosic,,89-99,,
7:42.0,D. Jordan makes free throw 2 of 2,1,90-99,,
7:29.0,Personal foul by D. Jordan (drawn by C. Parsons),,90-99,,
7:23.0,,,90-101,2,T. Evans makes 2-pt shot from 1 ft
7:10.0,L. Williams makes 2-pt shot from 1 ft,2,92-101,,
7:10.0,Shooting foul by M. Gasol (drawn by L. Williams),,92-101,,
7:10.0,L. Williams makes free throw 1 of 1,1,93-101,,
6:49.0,,,93-104,3,T. Evans makes 3-pt shot from 25 ft (assist by M. Gasol)
6:28.0,Turnover by L. Williams (bad pass; steal by M. Gasol),,93-104,,
6:21.0,,,93-106,2,J. Ennis makes 2-pt shot at rim (assist by A. Harrison)
6:20.0,LA Clippers full timeout,,93-106,,
6:20.0,,,93-106,,B. Wright enters the game for M. Gasol
6:12.0,L. Williams misses 3-pt shot from 26 ft,,93-106,,
6:08.0,,,93-106,,Defensive rebound by C. Parsons
5:47.0,,,93-109,3,T. Evans makes 3-pt shot from 26 ft
5:32.0,J. Wilson misses 3-pt shot from 25 ft,,93-109,,
5:29.0,,,93-109,,Defensive rebound by B. Wright
5:13.0,,,93-109,,C. Parsons misses 3-pt shot from 27 ft
5:11.0,Defensive rebound by Team,,93-109,,
5:11.0,M. Teodosic enters the game for J. Wilson,,93-109,,
4:57.0,A. Rivers makes 2-pt shot from 1 ft,2,95-109,,
4:28.0,,,95-109,,A. Harrison misses 3-pt shot from 27 ft
4:24.0,Defensive rebound by L. Williams,,95-109,,
4:19.0,Shooting foul by J. Ennis (drawn by L. Williams),,95-109,,
