time,Toronto,pts.away,score,pts.home,Orlando
10:26.0,,,69-66,,Defensive rebound by Team
10:20.0,Personal foul by K. Lowry (drawn by D. Augustin),,69-66,,
10:10.0,,,69-66,,N. Vucevic misses 2-pt shot from 15 ft
10:07.0,Defensive rebound by K. Lowry,,69-66,,
10:01.0,Turnover by S. Ibaka (bad pass; steal by J. Simmons),,69-66,,
9:49.0,,,69-68,2,N. Vucevic makes 2-pt shot from 10 ft (assist by E. Fournier)
9:49.0,Violation by S. Ibaka (def goaltending),,69-68,,
9:42.0,Shooting foul by J. Simmons (drawn by D. DeRozan),,69-68,,
9:42.0,D. DeRozan makes free throw 1 of 2,1,70-68,,
9:42.0,D. DeRozan makes free throw 2 of 2,1,71-68,,
9:22.0,Personal foul by K. Lowry (drawn by A. Gordon),,71-68,,
9:19.0,,,71-70,2,E. Fournier makes 2-pt shot from 9 ft (assist by J. Simmons)
9:01.0,D. DeRozan misses 3-pt shot from 25 ft,,71-70,,
8:58.0,,,71-70,,Defensive rebound by E. Fournier
8:47.0,,,71-72,2,N. Vucevic makes 2-pt shot from 3 ft (assist by D. Augustin)
8:47.0,Toronto full timeout,,71-72,,
8:38.0,K. Lowry makes 3-pt shot from 25 ft (assist by J. Valanciunas),3,74-72,,
8:19.0,,,74-72,,E. Fournier misses 3-pt shot from 22 ft
8:16.0,,,74-72,,Offensive rebound by N. Vucevic
8:07.0,,,74-75,3,J. Simmons makes 3-pt shot from 26 ft (assist by D. Augustin)
7:46.0,D. DeRozan makes 2-pt shot from 2 ft,2,76-75,,
7:33.0,,,76-75,,D. Augustin misses 2-pt shot from 15 ft
7:31.0,,,76-75,,Offensive rebound by N. Vucevic
7:25.0,,,76-77,2,J. Simmons makes 2-pt shot from 8 ft
7:10.0,J. Valanciunas makes 2-pt shot from 2 ft (assist by K. Lowry),2,78-77,,
6:54.0,,,78-79,2,E. Fournier makes 2-pt shot from 17 ft (assist by D. Augustin)
6:41.0,S. Ibaka misses 2-pt shot from 3 ft,,78-79,,
6:39.0,,,78-79,,Defensive rebound by N. Vucevic
6:23.0,,,78-79,,Turnover by D. Augustin (bad pass; steal by S. Ibaka)
6:18.0,K. Lowry misses 3-pt shot from 25 ft,,78-79,,
6:13.0,,,78-79,,Defensive rebound by D. Augustin
6:12.0,,,78-79,,Turnover by D. Augustin (out of bounds lost ball)
6:12.0,,,78-79,,Technical foul by D. Augustin
6:12.0,D. DeRozan makes technical free throw,1,79-79,,
5:59.0,S. Ibaka makes 3-pt shot from 25 ft (assist by K. Lowry),3,82-79,,
5:42.0,,,82-79,,Shooting foul by S. Ibaka (drawn by A. Gordon)
5:42.0,,,82-79,,A. Gordon misses free throw 1 of 3
5:42.0,,,82-79,,Offensive rebound by Team
5:42.0,,,82-80,1,A. Gordon makes free throw 2 of 3
5:42.0,,,82-81,1,A. Gordon makes free throw 3 of 3
5:28.0,D. DeRozan misses 2-pt shot from 12 ft,,82-81,,
5:25.0,,,82-81,,Defensive rebound by A. Gordon
5:16.0,,,82-81,,Turnover by N. Vucevic (bad pass; steal by D. DeRozan)
4:58.0,S. Ibaka misses 2-pt shot from 13 ft,,82-81,,
4:56.0,,,82-81,,Defensive rebound by Team
4:56.0,F. VanVleet enters the game for N. Powell,,82-81,,
4:39.0,,,82-81,,N. Vucevic misses 3-pt shot from 26 ft
4:34.0,,,82-81,,Offensive rebound by J. Simmons
4:25.0,,,82-81,,N. Vucevic misses 2-pt shot from 2 ft
4:23.0,Defensive rebound by K. Lowry,,82-81,,
4:18.0,J. Valanciunas misses 3-pt shot from 25 ft,,82-81,,
4:13.0,,,82-81,,Defensive rebound by E. Fournier
4:10.0,,,82-83,2,E. Fournier makes 2-pt shot from 2 ft
3:55.0,S. Ibaka makes 2-pt shot from 18 ft (assist by F. VanVleet),2,84-83,,
3:55.0,,,84-83,,Orlando full timeout
3:55.0,,,84-83,,W. Iwundu enters the game for J. Simmons
3:55.0,P. Siakam enters the game for S. Ibaka,,84-83,,
3:55.0,J. Poeltl enters the game for J. Valanciunas,,84-83,,
3:30.0,,,84-83,,Turnover by E. Fournier (lost ball; steal by F. VanVleet)
3:24.0,D. DeRozan makes 2-pt shot from 2 ft (assist by P. Siakam),2,86-83,,
3:05.0,,,86-83,,E. Fournier misses 2-pt shot from 17 ft
3:02.0,Defensive rebound by K. Lowry,,86-83,,
2:49.0,,,86-83,,B. Biyombo enters the game for N. Vucevic
2:49.0,,,86-83,,S. Mack enters the game for D. Augustin
2:44.0,D. DeRozan makes 2-pt shot from 20 ft (assist by J. Poeltl),2,88-83,,
2:22.0,,,88-83,,S. Mack misses 3-pt shot from 26 ft
2:19.0,Defensive rebound by J. Poeltl,,88-83,,
2:04.0,K. Lowry makes 2-pt shot from 7 ft (assist by D. DeRozan),2,90-83,,
2:04.0,Shooting foul by B. Biyombo (drawn by K. Lowry),,90-83,,
2:04.0,,,90-83,,Orlando full timeout
2:04.0,K. Lowry misses free throw 1 of 1,,90-83,,
2:02.0,,,90-83,,Defensive rebound by B. Biyombo
1:40.0,,,90-83,,S. Mack misses 2-pt shot from 11 ft
1:38.0,,,90-83,,Offensive rebound by B. Biyombo
