time,Phoenix,pts.away,score,pts.home,Toronto
0:26.0,D. Booker makes free throw 1 of 2,1,20-36,,
0:26.0,D. Booker makes free throw 2 of 2,1,21-36,,
0:05.0,,,21-36,,J. Poeltl misses 2-pt shot from 1 ft
0:02.0,Defensive rebound by A. Len,,21-36,,
0:00.0,J. Jackson makes 2-pt shot from 2 ft (assist by A. Len),2,23-36,,
0:00.0,,,23-36,,C. Miles misses 3-pt shot from 49 ft
0:00.0,,,23-36,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,T. Daniels misses 2-pt shot from 10 ft,,23-36,,
11:38.0,,,23-36,,Defensive rebound by P. Siakam
11:28.0,,,23-36,,C. Miles misses 2-pt shot from 1 ft
11:27.0,Defensive rebound by A. Len,,23-36,,
11:21.0,Turnover by A. Len (bad pass; steal by P. Siakam),,23-36,,
11:19.0,,,23-36,,Turnover by P. Siakam (bad pass)
11:07.0,D. Booker misses 2-pt shot from 9 ft,,23-36,,
11:05.0,,,23-36,,Defensive rebound by N. Powell
10:59.0,,,23-36,,P. Siakam misses 3-pt shot from 22 ft
10:57.0,Defensive rebound by A. Len,,23-36,,
10:53.0,,,23-36,,Personal foul by N. Powell (drawn by J. Jackson)
10:48.0,Turnover by J. Jackson (bad pass; steal by P. Siakam),,23-36,,
10:41.0,,,23-36,,J. Poeltl misses 2-pt shot from 6 ft (block by A. Len)
10:37.0,,,23-36,,Offensive rebound by J. Poeltl
10:36.0,,,23-36,,Turnover by N. Powell (step out of bounds)
10:15.0,T. Daniels makes 3-pt shot from 24 ft (assist by J. Jackson),3,26-36,,
10:00.0,,,26-36,,C. Miles misses 3-pt shot from 25 ft
9:58.0,Defensive rebound by J. Jackson,,26-36,,
9:55.0,Turnover by J. Jackson (out of bounds lost ball),,26-36,,
9:46.0,,,26-36,,Shooting foul by A. Len (drawn by C. Miles)
9:46.0,,,26-37,1,C. Miles makes free throw 1 of 2
9:46.0,,,26-38,1,C. Miles makes free throw 2 of 2
9:36.0,T. Daniels misses 3-pt shot from 22 ft,,26-38,,
9:32.0,,,26-38,,Defensive rebound by P. Siakam
9:28.0,,,26-38,,N. Powell misses 3-pt shot from 24 ft
9:26.0,Defensive rebound by D. Booker,,26-38,,
9:20.0,J. Dudley enters the game for D. Bender,,26-38,,
9:20.0,T. Warren enters the game for J. Jackson,,26-38,,
9:13.0,A. Len makes 2-pt shot from 1 ft (assist by D. Booker),2,28-38,,
9:08.0,Technical foul by D. Booker,,28-38,,
9:08.0,,,28-39,1,C. Miles makes technical free throw
9:08.0,,,28-39,,S. Ibaka enters the game for P. Siakam
8:45.0,,,28-39,,F. VanVleet misses 3-pt shot from 24 ft
8:42.0,Defensive rebound by A. Len,,28-39,,
8:32.0,A. Len makes 2-pt shot at rim (assist by J. Dudley),2,30-39,,
8:32.0,,,30-39,,Toronto full timeout
8:32.0,,,30-39,,K. Lowry enters the game for N. Powell
8:08.0,,,30-41,2,J. Poeltl makes 2-pt shot from 10 ft (assist by F. VanVleet)
7:56.0,Shooting foul by S. Ibaka (drawn by A. Len),,30-41,,
7:56.0,A. Len misses free throw 1 of 2,,30-41,,
7:56.0,Offensive rebound by Team,,30-41,,
7:56.0,A. Len makes free throw 2 of 2,1,31-41,,
7:44.0,,,31-44,3,C. Miles makes 3-pt shot from 24 ft (assist by K. Lowry)
7:28.0,A. Len misses 2-pt shot from 6 ft (block by J. Poeltl),,31-44,,
7:25.0,,,31-44,,Defensive rebound by S. Ibaka
7:22.0,Personal foul by J. Dudley (drawn by C. Miles),,31-44,,
7:15.0,,,31-44,,J. Poeltl misses 2-pt shot from 3 ft
7:13.0,Defensive rebound by T. Daniels,,31-44,,
7:13.0,,,31-44,,Personal foul by K. Lowry (drawn by D. Booker)
7:13.0,,,31-44,,D. DeRozan enters the game for F. VanVleet
7:11.0,D. Booker misses 3-pt shot from 23 ft,,31-44,,
7:07.0,,,31-44,,Defensive rebound by C. Miles
7:04.0,,,31-44,,K. Lowry misses 3-pt shot from 24 ft
7:01.0,Defensive rebound by J. Dudley,,31-44,,
6:44.0,T. Daniels misses 3-pt shot from 22 ft,,31-44,,
6:41.0,,,31-44,,Defensive rebound by K. Lowry
6:35.0,,,31-44,,S. Ibaka misses 3-pt shot from 25 ft
6:34.0,Defensive rebound by A. Len,,31-44,,
6:22.0,A. Len misses 2-pt shot from 6 ft (block by S. Ibaka),,31-44,,
6:18.0,,,31-44,,Defensive rebound by K. Lowry
6:13.0,,,31-44,,O. Anunoby enters the game for C. Miles
6:13.0,M. James enters the game for T. Daniels,,31-44,,
6:02.0,,,31-44,,Shooting foul by M. James (drawn by K. Lowry)
6:02.0,,,31-44,,K. Lowry misses free throw 1 of 2
6:02.0,,,31-44,,Offensive rebound by Team
6:02.0,,,31-45,1,K. Lowry makes free throw 2 of 2
5:40.0,T. Warren misses 2-pt shot from 19 ft,,31-45,,
5:38.0,,,31-45,,Defensive rebound by S. Ibaka
5:30.0,,,31-45,,D. DeRozan misses 2-pt shot from 11 ft
5:28.0,Defensive rebound by D. Booker,,31-45,,
5:23.0,T. Warren misses 2-pt shot from 3 ft,,31-45,,
5:21.0,,,31-45,,Defensive rebound by J. Poeltl
5:17.0,,,31-45,,Offensive charge foul by O. Anunoby (drawn by D. Booker)
5:17.0,,,31-45,,Turnover by O. Anunoby (offensive foul)
5:17.0,,,31-45,,N. Powell enters the game for O. Anunoby
4:53.0,A. Len makes 2-pt shot from 3 ft,2,33-45,,
4:41.0,,,33-47,2,S. Ibaka makes 2-pt shot from 19 ft (assist by N. Powell)
4:23.0,A. Len makes 2-pt shot from 1 ft (assist by J. Dudley),2,35-47,,
4:02.0,,,35-50,3,S. Ibaka makes 3-pt shot from 25 ft (assist by D. DeRozan)
3:44.0,T. Warren makes 3-pt shot from 24 ft (assist by J. Dudley),3,38-50,,
3:24.0,,,38-50,,J. Valanciunas enters the game for J. Poeltl
3:24.0,G. Monroe enters the game for A. Len,,38-50,,
3:16.0,,,38-50,,N. Powell misses 3-pt shot from 24 ft
3:15.0,,,38-50,,Offensive rebound by Team
3:15.0,,,38-50,,Turnover by Team (shot clock)
3:15.0,Phoenix full timeout,,38-50,,
3:02.0,G. Monroe misses 2-pt shot from 5 ft,,38-50,,
2:59.0,,,38-50,,Defensive rebound by J. Valanciunas
2:49.0,,,38-50,,D. DeRozan misses 2-pt shot from 5 ft
2:49.0,,,38-50,,Offensive rebound by Team
2:49.0,Loose ball foul by D. Booker (drawn by J. Valanciunas),,38-50,,
2:39.0,,,38-50,,Turnover by J. Valanciunas (lost ball; steal by G. Monroe)
2:27.0,J. Dudley misses 2-pt shot from 2 ft (block by S. Ibaka),,38-50,,
2:25.0,,,38-50,,Defensive rebound by S. Ibaka
2:21.0,,,38-52,2,D. DeRozan makes 2-pt shot from 2 ft (assist by K. Lowry)
2:13.0,D. Booker misses 3-pt shot from 22 ft,,38-52,,
2:09.0,,,38-52,,Defensive rebound by K. Lowry
1:58.0,,,38-52,,Turnover by K. Lowry (bad pass; steal by D. Booker)
1:55.0,M. James makes 2-pt shot at rim (assist by D. Booker),2,40-52,,
1:38.0,,,40-52,,N. Powell misses 2-pt shot from 3 ft (block by D. Booker)
1:35.0,Defensive rebound by D. Booker,,40-52,,
1:33.0,T. Warren makes 2-pt shot from 1 ft (assist by D. Booker),2,42-52,,
1:13.0,,,42-52,,Turnover by K. Lowry (bad pass)
0:57.0,Shooting foul by N. Powell (drawn by J. Dudley),,42-52,,
0:57.0,J. Dudley makes free throw 1 of 2,1,43-52,,
0:57.0,,,43-52,,F. VanVleet enters the game for N. Powell
0:57.0,J. Dudley makes free throw 2 of 2,1,44-52,,
0:48.0,,,44-52,,F. VanVleet misses 3-pt shot from 25 ft
0:44.0,Defensive rebound by G. Monroe,,44-52,,
0:39.0,Shooting foul by F. VanVleet (drawn by D. Booker),,44-52,,
0:39.0,D. Booker makes free throw 1 of 2,1,45-52,,
0:39.0,D. Booker makes free throw 2 of 2,1,46-52,,
0:27.0,,,46-55,3,S. Ibaka makes 3-pt shot from 25 ft (assist by K. Lowry)
0:07.0,D. Booker misses 2-pt shot from 6 ft,,46-55,,
0:06.0,,,46-55,,Defensive rebound by J. Valanciunas
0:00.0,,,46-55,,K. Lowry misses 3-pt shot from 35 ft
0:00.0,Defensive rebound by J. Dudley,,46-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,Offensive foul by T. Warren (drawn by O. Anunoby),,46-55,,
11:38.0,Turnover by T. Warren (offensive foul),,46-55,,
11:24.0,,,46-55,,Turnover by O. Anunoby (traveling)
11:08.0,G. Monroe makes 2-pt shot from 1 ft,2,48-55,,
11:00.0,,,48-55,,Shooting foul by G. Monroe (drawn by J. Valanciunas)
11:00.0,,,48-56,1,J. Valanciunas makes free throw 1 of 2
11:00.0,,,48-57,1,J. Valanciunas makes free throw 2 of 2
10:51.0,T. Warren misses 2-pt shot from 16 ft,,48-57,,
10:49.0,,,48-57,,Defensive rebound by D. DeRozan
10:39.0,,,48-60,3,O. Anunoby makes 3-pt shot from 22 ft (assist by D. DeRozan)
10:18.0,D. Booker makes 3-pt shot from 25 ft (assist by M. Chriss),3,51-60,,
9:55.0,,,51-60,,S. Ibaka misses 2-pt shot from 10 ft
9:53.0,Defensive rebound by G. Monroe,,51-60,,
9:43.0,T. Warren misses 3-pt shot from 22 ft,,51-60,,
9:40.0,,,51-60,,Defensive rebound by K. Lowry
9:20.0,,,51-62,2,S. Ibaka makes 2-pt shot from 17 ft (assist by K. Lowry)
9:09.0,Offensive charge foul by T. Warren (drawn by K. Lowry),,51-62,,
9:09.0,Turnover by T. Warren (offensive foul),,51-62,,
8:53.0,,,51-62,,Turnover by K. Lowry (bad pass; steal by G. Monroe)
8:48.0,T. Warren misses 2-pt shot from 1 ft (block by S. Ibaka),,51-62,,
8:48.0,,,51-62,,Defensive rebound by Team
8:48.0,Personal foul by G. Monroe (drawn by J. Valanciunas),,51-62,,
8:42.0,,,51-62,,D. DeRozan misses 2-pt shot from 14 ft (block by T. Ulis)
8:37.0,Defensive rebound by M. Chriss,,51-62,,
8:35.0,D. Booker misses 2-pt shot from 8 ft,,51-62,,
8:35.0,Offensive rebound by Team,,51-62,,
8:27.0,Turnover by T. Warren (lost ball; steal by J. Valanciunas),,51-62,,
8:26.0,Personal foul by D. Booker (drawn by D. DeRozan),,51-62,,
8:11.0,,,51-65,3,O. Anunoby makes 3-pt shot from 24 ft
7:58.0,Shooting foul by D. DeRozan (drawn by D. Booker),,51-65,,
7:58.0,Technical foul by T. Warren,,51-65,,
7:58.0,,,51-66,1,D. DeRozan makes technical free throw
7:58.0,Technical foul by T. Warren,,51-66,,
7:58.0,,,51-67,1,D. DeRozan makes technical free throw
7:58.0,J. Jackson enters the game for T. Warren,,51-67,,
7:58.0,D. Booker makes free throw 1 of 2,1,52-67,,
7:58.0,D. Booker makes free throw 2 of 2,1,53-67,,
7:47.0,,,53-67,,D. DeRozan misses 2-pt shot from 2 ft
7:45.0,Defensive rebound by T. Ulis,,53-67,,
7:42.0,D. Booker makes 2-pt shot from 1 ft,2,55-67,,
7:31.0,,,55-67,,O. Anunoby misses 2-pt shot from 2 ft
7:30.0,,,55-67,,Offensive rebound by Team
7:23.0,,,55-67,,K. Lowry misses 3-pt shot from 25 ft
7:19.0,Defensive rebound by G. Monroe,,55-67,,
7:13.0,D. Booker misses 2-pt shot from 13 ft,,55-67,,
7:11.0,,,55-67,,Defensive rebound by D. DeRozan
7:10.0,Technical foul by M. Chriss,,55-67,,
7:10.0,,,55-68,1,D. DeRozan makes technical free throw
7:10.0,D. Bender enters the game for M. Chriss,,55-68,,
7:04.0,,,55-70,2,D. DeRozan makes 2-pt shot from 10 ft (assist by K. Lowry)
7:04.0,,,55-70,,Shooting foul by J. Jackson (drawn by D. DeRozan)
7:04.0,,,55-71,1,D. DeRozan makes free throw 1 of 1
6:57.0,D. Booker makes 2-pt shot from 14 ft,2,57-71,,
6:44.0,,,57-71,,Toronto full timeout
6:44.0,T. Daniels enters the game for T. Ulis,,57-71,,
6:30.0,,,57-71,,Turnover by Team (shot clock)
6:18.0,Turnover by G. Monroe (bad pass; steal by D. DeRozan),,57-71,,
6:13.0,,,57-73,2,O. Anunoby makes 2-pt shot from 1 ft (assist by D. DeRozan)
5:58.0,G. Monroe makes 2-pt shot from 1 ft (assist by D. Booker),2,59-73,,
5:58.0,Shooting foul by O. Anunoby (drawn by G. Monroe),,59-73,,
5:58.0,G. Monroe makes free throw 1 of 1,1,60-73,,
5:38.0,,,60-75,2,D. DeRozan makes 2-pt shot from 3 ft
5:22.0,T. Daniels makes 3-pt shot from 25 ft (assist by D. Booker),3,63-75,,
5:05.0,,,63-75,,Turnover by J. Valanciunas (bad pass; steal by G. Monroe)
4:59.0,T. Daniels misses 3-pt shot from 23 ft,,63-75,,
4:57.0,,,63-75,,Defensive rebound by Team
4:57.0,,,63-75,,C. Miles enters the game for O. Anunoby
4:57.0,A. Len enters the game for G. Monroe,,63-75,,
4:41.0,,,63-78,3,K. Lowry makes 3-pt shot from 25 ft
4:31.0,A. Len misses 2-pt shot from 17 ft,,63-78,,
4:27.0,,,63-78,,Defensive rebound by J. Valanciunas
4:23.0,Personal foul by D. Bender (drawn by D. DeRozan),,63-78,,
4:23.0,,,63-78,,J. Poeltl enters the game for J. Valanciunas
4:23.0,,,63-79,1,D. DeRozan makes free throw 1 of 2
4:23.0,,,63-80,1,D. DeRozan makes free throw 2 of 2
4:10.0,T. Daniels makes 2-pt shot from 15 ft,2,65-80,,
3:52.0,,,65-80,,S. Ibaka misses 3-pt shot from 25 ft
3:50.0,Defensive rebound by A. Len,,65-80,,
3:45.0,Shooting foul by J. Poeltl (drawn by J. Jackson),,65-80,,
3:45.0,J. Jackson makes free throw 1 of 2,1,66-80,,
3:45.0,,,66-80,,P. Siakam enters the game for S. Ibaka
3:45.0,J. Jackson makes free throw 2 of 2,1,67-80,,
3:36.0,,,67-82,2,J. Poeltl makes 2-pt shot from 2 ft (assist by K. Lowry)
3:25.0,,,67-82,,Personal foul by J. Poeltl (drawn by A. Len)
3:25.0,Phoenix full timeout,,67-82,,
3:25.0,,,67-82,,F. VanVleet enters the game for K. Lowry
3:25.0,J. Dudley enters the game for D. Bender,,67-82,,
3:18.0,T. Daniels makes 2-pt shot from 19 ft (assist by D. Booker),2,69-82,,
2:56.0,,,69-82,,D. DeRozan misses 3-pt shot from 24 ft
2:54.0,Defensive rebound by J. Dudley,,69-82,,
2:52.0,,,69-82,,Personal foul by D. DeRozan (drawn by J. Jackson)
2:52.0,J. Jackson makes free throw 1 of 2,1,70-82,,
2:52.0,J. Jackson makes free throw 2 of 2,1,71-82,,
2:42.0,,,71-84,2,D. DeRozan makes 2-pt shot from 13 ft
2:29.0,D. Booker misses 2-pt shot from 8 ft,,71-84,,
2:29.0,,,71-84,,Defensive rebound by Team
2:29.0,Loose ball foul by A. Len (drawn by J. Poeltl),,71-84,,
2:29.0,,,71-85,1,J. Poeltl makes free throw 1 of 2
2:29.0,,,71-86,1,J. Poeltl makes free throw 2 of 2
2:07.0,A. Len makes 2-pt shot from 1 ft (assist by J. Jackson),2,73-86,,
1:56.0,Personal foul by J. Dudley (drawn by C. Miles),,73-86,,
1:56.0,,,73-86,,C. Miles misses free throw 1 of 2
1:56.0,,,73-86,,Offensive rebound by Team
1:56.0,T. Ulis enters the game for D. Booker,,73-86,,
1:56.0,,,73-87,1,C. Miles makes free throw 2 of 2
1:44.0,T. Daniels makes 3-pt shot from 22 ft (assist by T. Ulis),3,76-87,,
1:28.0,,,76-87,,D. DeRozan misses 2-pt shot from 12 ft
1:27.0,,,76-87,,Offensive rebound by J. Poeltl
1:27.0,,,76-89,2,J. Poeltl makes 2-pt shot from 2 ft
1:27.0,,,76-89,,Shooting foul by A. Len (drawn by J. Poeltl)
1:27.0,,,76-90,1,J. Poeltl makes free throw 1 of 1
1:12.0,Shooting foul by C. Miles (drawn by A. Len),,76-90,,
1:12.0,A. Len misses free throw 1 of 2,,76-90,,
1:12.0,Offensive rebound by Team,,76-90,,
1:12.0,,,76-90,,N. Powell enters the game for D. DeRozan
1:12.0,A. Len makes free throw 2 of 2,1,77-90,,
0:57.0,,,77-93,3,C. Miles makes 3-pt shot from 25 ft (assist by F. VanVleet)
0:41.0,A. Len makes 2-pt shot from 1 ft,2,79-93,,
0:33.0,,,79-95,2,J. Poeltl makes 2-pt shot from 2 ft (assist by F. VanVleet)
0:13.0,T. Ulis misses 2-pt shot from 10 ft,,79-95,,
0:10.0,,,79-95,,Defensive rebound by P. Siakam
0:07.0,,,79-97,2,C. Miles makes 2-pt shot from 1 ft (assist by P. Siakam)
0:00.0,J. Dudley misses 3-pt shot from 25 ft,,79-97,,
0:00.0,Offensive rebound by Team,,79-97,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,79-97,,Turnover by F. VanVleet (bad pass)
11:31.0,Shooting foul by C. Miles (drawn by G. Monroe),,79-97,,
11:31.0,G. Monroe makes free throw 1 of 2,1,80-97,,
11:31.0,G. Monroe makes free throw 2 of 2,1,81-97,,
11:15.0,,,81-97,,C. Miles misses 3-pt shot from 25 ft
11:13.0,Defensive rebound by G. Monroe,,81-97,,
11:01.0,Turnover by T. Ulis (bad pass; steal by N. Powell),,81-97,,
10:55.0,Personal foul by J. Dudley (drawn by P. Siakam),,81-97,,
10:42.0,,,81-100,3,F. VanVleet makes 3-pt shot from 26 ft
10:19.0,,,81-100,,Personal foul by P. Siakam (drawn by J. Dudley)
10:18.0,D. Booker enters the game for T. Ulis,,81-100,,
10:08.0,J. Jackson makes 2-pt shot from 7 ft (assist by T. Daniels),2,83-100,,
10:00.0,Personal foul by T. Daniels (drawn by F. VanVleet),,83-100,,
9:54.0,,,83-102,2,P. Siakam makes 2-pt shot from 3 ft (assist by F. VanVleet)
9:32.0,G. Monroe makes 2-pt shot from 2 ft,2,85-102,,
9:32.0,Shooting foul by C. Miles (drawn by G. Monroe),,85-102,,
9:32.0,M. James enters the game for T. Daniels,,85-102,,
9:32.0,G. Monroe misses free throw 1 of 1,,85-102,,
9:32.0,,,85-102,,Defensive rebound by P. Siakam
9:19.0,,,85-102,,F. VanVleet misses 2-pt shot from 2 ft
9:17.0,Defensive rebound by G. Monroe,,85-102,,
9:11.0,Shooting foul by P. Siakam (drawn by G. Monroe),,85-102,,
9:11.0,G. Monroe makes free throw 1 of 2,1,86-102,,
9:11.0,G. Monroe makes free throw 2 of 2,1,87-102,,
9:09.0,,,87-102,,Turnover by N. Powell (bad pass; steal by M. James)
9:05.0,M. James makes 2-pt shot at rim,2,89-102,,
8:55.0,,,89-102,,Turnover by F. VanVleet (step out of bounds)
8:44.0,J. Dudley makes 3-pt shot from 25 ft (assist by G. Monroe),3,92-102,,
8:37.0,,,92-102,,Toronto full timeout
8:37.0,,,92-102,,S. Ibaka enters the game for C. Miles
8:37.0,,,92-102,,K. Lowry enters the game for F. VanVleet
8:37.0,,,92-102,,O. Anunoby enters the game for P. Siakam
8:26.0,,,92-104,2,N. Powell makes 2-pt shot from 3 ft
8:08.0,,,92-104,,Personal foul by S. Ibaka (drawn by J. Jackson)
8:08.0,J. Jackson misses free throw 1 of 2,,92-104,,
8:08.0,Offensive rebound by Team,,92-104,,
8:08.0,J. Jackson makes free throw 2 of 2,1,93-104,,
7:44.0,,,93-104,,K. Lowry misses 3-pt shot from 24 ft
7:41.0,Defensive rebound by J. Dudley,,93-104,,
7:19.0,Turnover by G. Monroe (bad pass; steal by K. Lowry),,93-104,,
7:07.0,,,93-104,,Turnover by N. Powell (bad pass; steal by D. Booker)
7:03.0,D. Booker misses 3-pt shot from 24 ft,,93-104,,
7:01.0,,,93-104,,Defensive rebound by S. Ibaka
6:56.0,Personal foul by D. Booker (drawn by K. Lowry),,93-104,,
