time,New Orleans,pts.away,score,pts.home,Philadelphia
4:55.0,,,6-26,3,D. Saric makes 3-pt shot from 27 ft (assist by T. McConnell)
4:35.0,Turnover by R. Rondo (bad pass; steal by B. Simmons),,6-26,,
4:33.0,,,6-26,,Turnover by B. Simmons (bad pass)
4:33.0,,,6-26,,T. Luwawu-Cabarrot enters the game for R. Covington
4:20.0,Shooting foul by T. Luwawu-Cabarrot (drawn by J. Holiday),,6-26,,
4:20.0,J. Holiday makes free throw 1 of 2,1,7-26,,
4:20.0,D. Miller enters the game for E. Moore,,7-26,,
4:20.0,J. Holiday makes free throw 2 of 2,1,8-26,,
3:57.0,,,8-26,,B. Simmons misses 2-pt shot from 16 ft (block by J. Holiday)
3:53.0,Defensive rebound by R. Rondo,,8-26,,
3:50.0,R. Rondo makes 2-pt shot from 2 ft,2,10-26,,
3:49.0,,,10-26,,Philadelphia full timeout
3:49.0,,,10-26,,T. Booker enters the game for D. Saric
3:49.0,C. Diallo enters the game for N. Mirotic,,10-26,,
3:33.0,,,10-26,,B. Simmons misses 2-pt shot from 12 ft
3:28.0,Defensive rebound by D. Miller,,10-26,,
3:23.0,J. Holiday misses 3-pt shot from 22 ft,,10-26,,
3:16.0,,,10-26,,Defensive rebound by T. Luwawu-Cabarrot
3:08.0,,,10-26,,B. Simmons misses 2-pt shot from 10 ft
3:05.0,Defensive rebound by D. Miller,,10-26,,
3:04.0,Turnover by D. Miller (bad pass; steal by T. Booker),,10-26,,
3:00.0,,,10-26,,T. Luwawu-Cabarrot misses 3-pt shot from 26 ft
2:56.0,Defensive rebound by A. Davis,,10-26,,
2:49.0,A. Davis makes 2-pt shot from 16 ft (assist by R. Rondo),2,12-26,,
2:49.0,Shooting foul by A. Johnson (drawn by A. Davis),,12-26,,
2:49.0,,,12-26,,J. Redick enters the game for A. Johnson
2:49.0,,,12-26,,J. Embiid enters the game for B. Simmons
2:49.0,I. Clark enters the game for J. Holiday,,12-26,,
2:49.0,A. Davis misses free throw 1 of 1,,12-26,,
2:46.0,,,12-26,,Defensive rebound by J. Redick
2:37.0,,,12-28,2,J. Embiid makes 2-pt shot from 1 ft (assist by T. Luwawu-Cabarrot)
2:26.0,A. Davis misses 2-pt shot from 6 ft,,12-28,,
2:23.0,,,12-28,,Defensive rebound by J. Embiid
2:19.0,,,12-28,,T. Luwawu-Cabarrot misses 3-pt shot from 24 ft
2:15.0,Defensive rebound by R. Rondo,,12-28,,
2:09.0,Turnover by I. Clark (bad pass; steal by J. Redick),,12-28,,
2:04.0,Violation by C. Diallo (kicked ball),,12-28,,
2:04.0,E. Okafor enters the game for A. Davis,,12-28,,
2:02.0,,,12-28,,T. Luwawu-Cabarrot misses 2-pt shot from 5 ft
1:59.0,,,12-28,,Offensive rebound by J. Embiid
1:57.0,,,12-28,,T. Luwawu-Cabarrot misses 2-pt shot from 18 ft
1:53.0,Defensive rebound by C. Diallo,,12-28,,
1:45.0,C. Diallo misses 2-pt shot from 11 ft,,12-28,,
1:42.0,Offensive rebound by E. Okafor,,12-28,,
1:40.0,E. Okafor misses 2-pt shot from 8 ft,,12-28,,
1:38.0,,,12-28,,Defensive rebound by J. Embiid
1:37.0,,,12-30,2,J. Redick makes 2-pt shot from 1 ft (assist by T. McConnell)
1:28.0,New Orleans full timeout,,12-30,,
1:28.0,N. Mirotic enters the game for C. Diallo,,12-30,,
1:09.0,I. Clark misses 3-pt shot from 24 ft,,12-30,,
1:06.0,,,12-30,,Defensive rebound by T. McConnell
1:00.0,,,12-30,,J. Embiid misses 2-pt shot from 18 ft
0:57.0,,,12-30,,Offensive rebound by T. Booker
0:39.0,,,12-32,2,J. Embiid makes 2-pt shot from 9 ft
0:24.0,D. Miller misses 3-pt shot from 25 ft,,12-32,,
0:22.0,Offensive rebound by E. Okafor,,12-32,,
0:16.0,N. Mirotic makes 2-pt shot at rim (assist by D. Miller),2,14-32,,
0:04.0,,,14-32,,Turnover by J. Embiid (bad pass; steal by R. Rondo)
0:00.0,N. Mirotic misses 3-pt shot from 27 ft,,14-32,,
0:00.0,Offensive rebound by Team,,14-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,14-32,,Offensive foul by J. Redick (drawn by I. Clark)
11:45.0,,,14-32,,Turnover by J. Redick (offensive foul)
11:43.0,,,14-32,,Personal foul by T. McConnell (drawn by R. Rondo)
11:29.0,N. Mirotic makes 3-pt shot from 25 ft (assist by E. Okafor),3,17-32,,
11:20.0,Personal foul by N. Mirotic (drawn by T. Booker),,17-32,,
11:08.0,,,17-32,,T. McConnell misses 2-pt shot from 15 ft
11:04.0,Defensive rebound by D. Miller,,17-32,,
10:59.0,R. Rondo misses 2-pt shot from 17 ft,,17-32,,
10:55.0,Offensive rebound by N. Mirotic,,17-32,,
10:47.0,D. Miller misses 2-pt shot from 5 ft,,17-32,,
10:46.0,,,17-32,,Defensive rebound by Team
10:46.0,Loose ball foul by E. Okafor (drawn by T. Booker),,17-32,,
10:46.0,,,17-32,,D. Saric enters the game for T. Booker
10:32.0,,,17-32,,Turnover by J. Embiid (bad pass; steal by R. Rondo)
10:30.0,R. Rondo misses 2-pt shot from 3 ft (block by R. Covington),,17-32,,
10:30.0,Offensive rebound by Team,,17-32,,
10:28.0,N. Mirotic makes 3-pt shot from 24 ft (assist by R. Rondo),3,20-32,,
10:26.0,,,20-32,,Philadelphia full timeout
10:12.0,,,20-34,2,J. Embiid makes 2-pt shot at rim (assist by J. Redick)
9:49.0,D. Miller misses 2-pt shot from 20 ft,,20-34,,
9:49.0,Offensive rebound by N. Mirotic,,20-34,,
9:44.0,N. Mirotic makes 2-pt shot from 3 ft,2,22-34,,
9:30.0,,,22-37,3,J. Redick makes 3-pt shot from 28 ft (assist by D. Saric)
9:15.0,E. Okafor makes 2-pt shot from 16 ft (assist by R. Rondo),2,24-37,,
9:02.0,,,24-39,2,J. Redick makes 2-pt shot from 20 ft (assist by D. Saric)
8:50.0,N. Mirotic misses 3-pt shot from 26 ft,,24-39,,
8:50.0,,,24-39,,Defensive rebound by J. Redick
8:41.0,,,24-39,,J. Redick misses 3-pt shot from 27 ft
8:41.0,Defensive rebound by E. Okafor,,24-39,,
8:21.0,D. Miller makes 3-pt shot from 26 ft (assist by R. Rondo),3,27-39,,
8:07.0,Personal foul by R. Rondo (drawn by T. McConnell),,27-39,,
8:07.0,,,27-39,,A. Johnson enters the game for J. Redick
8:07.0,,,27-39,,B. Simmons enters the game for J. Embiid
8:07.0,A. Davis enters the game for E. Okafor,,27-39,,
8:03.0,,,27-42,3,D. Saric makes 3-pt shot from 27 ft (assist by B. Simmons)
7:51.0,Shooting foul by T. McConnell (drawn by R. Rondo),,27-42,,
7:51.0,R. Rondo misses free throw 1 of 2,,27-42,,
7:51.0,Offensive rebound by Team,,27-42,,
7:51.0,R. Rondo misses free throw 2 of 2,,27-42,,
7:48.0,,,27-42,,Defensive rebound by B. Simmons
7:37.0,Personal foul by I. Clark (drawn by R. Covington),,27-42,,
7:37.0,J. Holiday enters the game for D. Miller,,27-42,,
7:37.0,E. Moore enters the game for I. Clark,,27-42,,
7:30.0,,,27-42,,D. Saric misses 2-pt shot from 18 ft
7:28.0,Defensive rebound by Team,,27-42,,
7:24.0,Shooting foul by R. Covington (drawn by J. Holiday),,27-42,,
7:24.0,J. Holiday misses free throw 1 of 2,,27-42,,
7:24.0,Offensive rebound by Team,,27-42,,
7:24.0,J. Holiday misses free throw 2 of 2,,27-42,,
7:22.0,,,27-42,,Defensive rebound by B. Simmons
7:07.0,,,27-42,,B. Simmons misses 2-pt shot from 6 ft
7:05.0,Defensive rebound by A. Davis,,27-42,,
6:56.0,E. Moore makes 2-pt shot from 18 ft (assist by R. Rondo),2,29-42,,
6:40.0,,,29-42,,D. Saric misses 2-pt shot from 9 ft (block by J. Holiday)
6:40.0,Defensive rebound by Team,,29-42,,
6:40.0,,,29-42,,T. Luwawu-Cabarrot enters the game for T. McConnell
6:28.0,A. Davis makes 2-pt shot from 1 ft (assist by R. Rondo),2,31-42,,
6:11.0,,,31-44,2,D. Saric makes 2-pt shot from 2 ft
5:55.0,A. Davis misses 2-pt shot from 5 ft,,31-44,,
5:51.0,,,31-44,,Defensive rebound by D. Saric
5:47.0,,,31-44,,Turnover by B. Simmons (traveling)
5:47.0,D. Miller enters the game for N. Mirotic,,31-44,,
5:34.0,D. Miller makes 3-pt shot from 24 ft (assist by R. Rondo),3,34-44,,
5:20.0,Personal foul by D. Miller (drawn by D. Saric),,34-44,,
5:20.0,,,34-45,1,D. Saric makes free throw 1 of 2
5:20.0,,,34-46,1,D. Saric makes free throw 2 of 2
5:07.0,A. Davis makes 2-pt shot at rim (assist by R. Rondo),2,36-46,,
4:51.0,,,36-48,2,R. Covington makes 2-pt shot from 2 ft
4:45.0,J. Holiday makes 3-pt shot from 24 ft (assist by R. Rondo),3,39-48,,
4:22.0,,,39-51,3,T. Luwawu-Cabarrot makes 3-pt shot from 22 ft (assist by B. Simmons)
4:12.0,D. Miller misses 3-pt shot from 24 ft,,39-51,,
4:09.0,,,39-51,,Defensive rebound by B. Simmons
4:03.0,,,39-51,,Turnover by B. Simmons (bad pass; steal by E. Moore)
3:47.0,A. Davis misses 2-pt shot from 4 ft (block by R. Covington),,39-51,,
3:47.0,Offensive rebound by Team,,39-51,,
3:43.0,A. Davis misses 2-pt shot from 15 ft,,39-51,,
3:43.0,,,39-51,,Defensive rebound by A. Johnson
3:40.0,,,39-51,,J. Embiid enters the game for A. Johnson
3:40.0,,,39-51,,J. Redick enters the game for R. Covington
3:40.0,N. Mirotic enters the game for R. Rondo,,39-51,,
3:25.0,,,39-51,,B. Simmons misses 2-pt shot from 11 ft
3:18.0,,,39-51,,Offensive rebound by J. Embiid
3:18.0,,,39-53,2,J. Embiid makes 2-pt shot at rim
3:13.0,J. Holiday misses 2-pt shot from 19 ft,,39-53,,
3:11.0,,,39-53,,Defensive rebound by T. Luwawu-Cabarrot
3:07.0,,,39-53,,T. Luwawu-Cabarrot misses 3-pt shot from 26 ft
3:06.0,Defensive rebound by Team,,39-53,,
3:06.0,,,39-53,,T. Booker enters the game for D. Saric
2:51.0,A. Davis misses 3-pt shot from 26 ft,,39-53,,
2:49.0,,,39-53,,Defensive rebound by Team
2:49.0,New Orleans full timeout,,39-53,,
2:24.0,,,39-53,,T. Luwawu-Cabarrot misses 2-pt shot from 6 ft
2:24.0,,,39-53,,Offensive rebound by Team
2:23.0,,,39-53,,Turnover by Team (shot clock)
2:13.0,A. Davis makes 2-pt shot at rim (assist by N. Mirotic),2,41-53,,
2:02.0,,,41-53,,J. Redick misses 3-pt shot from 26 ft
2:02.0,,,41-53,,Offensive rebound by J. Embiid
1:57.0,,,41-56,3,J. Redick makes 3-pt shot from 27 ft (assist by B. Simmons)
1:38.0,N. Mirotic misses 3-pt shot from 27 ft,,41-56,,
1:38.0,,,41-56,,Defensive rebound by J. Embiid
1:25.0,,,41-56,,J. Embiid misses 2-pt shot from 2 ft
1:25.0,Defensive rebound by J. Holiday,,41-56,,
1:18.0,E. Moore misses 3-pt shot from 25 ft,,41-56,,
1:18.0,Offensive rebound by Team,,41-56,,
1:14.0,,,41-56,,J. Anderson enters the game for T. Luwawu-Cabarrot
1:02.0,,,41-56,,Personal foul by T. Booker (drawn by A. Davis)
0:58.0,E. Moore misses 2-pt shot from 4 ft,,41-56,,
0:58.0,,,41-56,,Defensive rebound by J. Embiid
0:37.0,,,41-56,,Turnover by J. Anderson (traveling)
0:32.0,A. Davis misses 3-pt shot from 26 ft,,41-56,,
0:28.0,,,41-56,,Defensive rebound by J. Redick
0:05.0,,,41-56,,B. Simmons misses 2-pt shot from 4 ft
0:03.0,Defensive rebound by D. Miller,,41-56,,
0:01.0,N. Mirotic misses 2-pt shot from 4 ft (block by J. Embiid),,41-56,,
0:01.0,Offensive rebound by Team,,41-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,41-56,,J. Embiid misses 2-pt shot from 11 ft
11:43.0,Defensive rebound by N. Mirotic,,41-56,,
11:31.0,A. Davis misses 2-pt shot from 14 ft,,41-56,,
11:28.0,,,41-56,,Defensive rebound by B. Simmons
11:15.0,,,41-56,,R. Covington misses 3-pt shot from 26 ft
11:11.0,Defensive rebound by D. Liggins,,41-56,,
10:56.0,Turnover by D. Liggins (bad pass; steal by J. Embiid),,41-56,,
10:50.0,,,41-56,,B. Simmons misses 2-pt shot from 2 ft
10:47.0,,,41-56,,Offensive rebound by B. Simmons
10:46.0,,,41-58,2,B. Simmons makes 2-pt shot from 1 ft
10:36.0,E. Moore makes 2-pt shot from 15 ft,2,43-58,,
10:19.0,,,43-60,2,J. Embiid makes 2-pt shot from 19 ft (assist by D. Saric)
10:09.0,J. Holiday misses 2-pt shot from 16 ft,,43-60,,
10:07.0,,,43-60,,Defensive rebound by J. Embiid
9:59.0,,,43-60,,J. Embiid misses 2-pt shot from 1 ft
9:56.0,Defensive rebound by A. Davis,,43-60,,
9:40.0,D. Liggins misses 3-pt shot from 23 ft,,43-60,,
9:37.0,,,43-60,,Defensive rebound by J. Redick
9:16.0,,,43-60,,Turnover by D. Saric (bad pass; steal by A. Davis)
9:09.0,J. Holiday misses 2-pt shot from 3 ft,,43-60,,
9:09.0,,,43-60,,Defensive rebound by R. Covington
9:03.0,,,43-60,,J. Embiid misses 2-pt shot from 14 ft
9:03.0,Defensive rebound by D. Liggins,,43-60,,
8:51.0,N. Mirotic misses 2-pt shot from 12 ft,,43-60,,
8:51.0,,,43-60,,Defensive rebound by J. Embiid
8:43.0,,,43-62,2,R. Covington makes 2-pt shot from 1 ft (assist by B. Simmons)
8:42.0,New Orleans full timeout,,43-62,,
8:30.0,,,43-62,,Personal foul by J. Redick (drawn by E. Moore)
8:28.0,Turnover by J. Holiday (out of bounds lost ball),,43-62,,
8:12.0,,,43-62,,J. Redick misses 2-pt shot from 1 ft
8:10.0,Defensive rebound by A. Davis,,43-62,,
8:05.0,A. Davis misses 3-pt shot from 26 ft,,43-62,,
8:02.0,,,43-62,,Defensive rebound by J. Embiid
7:45.0,,,43-62,,J. Embiid misses 3-pt shot from 26 ft
7:41.0,,,43-62,,Offensive rebound by D. Saric
7:40.0,,,43-64,2,D. Saric makes 2-pt shot from 15 ft
7:27.0,J. Holiday makes 2-pt shot from 11 ft,2,45-64,,
7:01.0,,,45-64,,B. Simmons misses 2-pt shot from 6 ft
6:59.0,,,45-64,,Offensive rebound by R. Covington
6:59.0,,,45-64,,R. Covington misses 2-pt shot at rim
6:59.0,,,45-64,,Offensive rebound by B. Simmons
6:59.0,,,45-64,,Shooting foul by A. Davis (drawn by B. Simmons)
6:59.0,,,45-65,1,B. Simmons makes free throw 1 of 2
6:59.0,,,45-65,,A. Johnson enters the game for J. Redick
6:59.0,,,45-65,,T. McConnell enters the game for J. Embiid
6:59.0,R. Rondo enters the game for D. Liggins,,45-65,,
6:59.0,,,45-66,1,B. Simmons makes free throw 2 of 2
6:48.0,R. Rondo makes 2-pt shot from 5 ft,2,47-66,,
6:34.0,Personal foul by J. Holiday (drawn by D. Saric),,47-66,,
6:28.0,,,47-66,,R. Covington misses 3-pt shot from 25 ft
6:25.0,Defensive rebound by A. Davis,,47-66,,
6:19.0,Shooting foul by B. Simmons (drawn by R. Rondo),,47-66,,
6:19.0,R. Rondo misses free throw 1 of 2,,47-66,,
6:19.0,Offensive rebound by Team,,47-66,,
6:19.0,R. Rondo makes free throw 2 of 2,1,48-66,,
6:10.0,,,48-66,,D. Saric misses 3-pt shot from 25 ft
6:07.0,Defensive rebound by A. Davis,,48-66,,
5:57.0,E. Moore misses 3-pt shot from 26 ft,,48-66,,
5:53.0,Offensive rebound by N. Mirotic,,48-66,,
5:53.0,N. Mirotic makes 2-pt shot at rim,2,50-66,,
5:53.0,,,50-66,,Philadelphia full timeout
5:53.0,D. Miller enters the game for J. Holiday,,50-66,,
5:42.0,,,50-66,,Shooting foul by N. Mirotic (drawn by D. Saric)
5:42.0,,,50-67,1,D. Saric makes free throw 1 of 2
5:42.0,,,50-68,1,D. Saric makes free throw 2 of 2
5:25.0,N. Mirotic misses 2-pt shot from 15 ft,,50-68,,
5:21.0,,,50-68,,Defensive rebound by R. Covington
5:16.0,,,50-68,,R. Covington misses 3-pt shot from 26 ft
5:13.0,Defensive rebound by E. Moore,,50-68,,
5:10.0,A. Davis makes 2-pt shot from 3 ft (assist by E. Moore),2,52-68,,
5:02.0,,,52-70,2,D. Saric makes 2-pt shot from 3 ft (assist by B. Simmons)
4:52.0,N. Mirotic misses 3-pt shot from 26 ft,,52-70,,
4:52.0,,,52-70,,Defensive rebound by D. Saric
4:28.0,,,52-70,,T. McConnell misses 2-pt shot from 6 ft
4:26.0,Defensive rebound by D. Miller,,52-70,,
4:20.0,E. Moore misses 2-pt shot from 21 ft,,52-70,,
4:16.0,,,52-70,,Defensive rebound by B. Simmons
4:10.0,Personal foul by E. Moore (drawn by A. Johnson),,52-70,,
4:10.0,,,52-70,,J. Anderson enters the game for B. Simmons
4:01.0,,,52-72,2,R. Covington makes 2-pt shot from 2 ft (assist by D. Saric)
3:54.0,N. Mirotic misses 3-pt shot from 27 ft,,52-72,,
3:52.0,,,52-72,,Defensive rebound by D. Saric
3:46.0,,,52-74,2,R. Covington makes 2-pt shot from 1 ft (assist by T. McConnell)
3:31.0,A. Davis misses 2-pt shot from 14 ft,,52-74,,
3:27.0,,,52-74,,Defensive rebound by T. McConnell
3:19.0,,,52-77,3,D. Saric makes 3-pt shot from 24 ft (assist by T. McConnell)
3:04.0,C. Diallo enters the game for N. Mirotic,,52-77,,
3:04.0,I. Clark enters the game for E. Moore,,52-77,,
2:53.0,A. Davis misses 2-pt shot from 18 ft,,52-77,,
2:49.0,,,52-77,,Defensive rebound by A. Johnson
2:44.0,,,52-77,,J. Anderson misses 3-pt shot from 26 ft
2:41.0,Defensive rebound by A. Davis,,52-77,,
2:28.0,D. Miller misses 3-pt shot from 25 ft,,52-77,,
2:27.0,Offensive rebound by Team,,52-77,,
2:27.0,,,52-77,,Personal foul by D. Saric (drawn by C. Diallo)
2:27.0,,,52-77,,J. Redick enters the game for A. Johnson
2:27.0,,,52-77,,J. Embiid enters the game for R. Covington
2:27.0,E. Okafor enters the game for A. Davis,,52-77,,
2:18.0,C. Diallo misses 2-pt shot from 21 ft,,52-77,,
2:18.0,,,52-77,,Defensive rebound by J. Redick
2:10.0,,,52-80,3,J. Redick makes 3-pt shot from 23 ft (assist by T. McConnell)
1:55.0,D. Miller misses 3-pt shot from 26 ft,,52-80,,
1:55.0,Offensive rebound by C. Diallo,,52-80,,
1:51.0,C. Diallo misses 2-pt shot from 1 ft,,52-80,,
1:51.0,,,52-80,,Defensive rebound by J. Embiid
1:31.0,,,52-82,2,J. Embiid makes 2-pt shot from 1 ft (assist by J. Anderson)
1:20.0,Turnover by R. Rondo (lost ball; steal by J. Redick),,52-82,,
1:04.0,,,52-84,2,T. McConnell makes 2-pt shot from 2 ft
0:53.0,I. Clark misses 2-pt shot from 19 ft,,52-84,,
0:50.0,,,52-84,,Defensive rebound by J. Embiid
0:36.0,,,52-84,,J. Redick misses 3-pt shot from 24 ft
0:33.0,Defensive rebound by R. Rondo,,52-84,,
0:17.0,I. Clark misses 2-pt shot from 9 ft,,52-84,,
0:14.0,,,52-84,,Defensive rebound by J. Embiid
0:02.0,,,52-84,,J. Embiid misses 3-pt shot from 25 ft
0:02.0,Defensive rebound by C. Diallo,,52-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,C. Diallo misses 2-pt shot from 3 ft,,52-84,,
11:41.0,,,52-84,,Defensive rebound by A. Johnson
11:33.0,,,52-84,,Turnover by A. Johnson (bad pass)
11:23.0,Turnover by I. Clark (bad pass; steal by A. Johnson),,52-84,,
11:12.0,,,52-84,,J. Anderson misses 3-pt shot from 25 ft
11:07.0,Defensive rebound by R. Rondo,,52-84,,
10:55.0,Turnover by D. Miller (bad pass; steal by A. Johnson),,52-84,,
10:46.0,,,52-86,2,J. Redick makes 2-pt shot from 15 ft
10:29.0,C. Diallo makes 2-pt shot from 13 ft,2,54-86,,
10:28.0,,,54-86,,Philadelphia full timeout
10:28.0,,,54-86,,T. Luwawu-Cabarrot enters the game for D. Saric
10:28.0,,,54-86,,T. Booker enters the game for J. Redick
10:16.0,,,54-89,3,T. Luwawu-Cabarrot makes 3-pt shot from 27 ft (assist by T. Booker)
9:56.0,Shooting foul by A. Johnson (drawn by E. Okafor),,54-89,,
9:56.0,E. Okafor makes free throw 1 of 2,1,55-89,,
9:56.0,E. Okafor makes free throw 2 of 2,1,56-89,,
9:42.0,,,56-89,,J. Anderson misses 2-pt shot from 11 ft
9:42.0,Defensive rebound by C. Diallo,,56-89,,
9:42.0,,,56-89,,Loose ball foul by A. Johnson (drawn by C. Diallo)
9:36.0,D. Miller misses 3-pt shot from 26 ft,,56-89,,
9:34.0,,,56-89,,Defensive rebound by A. Johnson
9:29.0,,,56-89,,T. McConnell misses 2-pt shot from 10 ft
9:25.0,Defensive rebound by E. Okafor,,56-89,,
9:13.0,R. Rondo misses 2-pt shot from 18 ft,,56-89,,
9:09.0,Offensive rebound by E. Okafor,,56-89,,
9:03.0,C. Diallo makes 2-pt shot from 13 ft (assist by R. Rondo),2,58-89,,
8:41.0,,,58-89,,Turnover by A. Johnson (lost ball; steal by D. Miller)
8:35.0,I. Clark makes 2-pt shot from 14 ft,2,60-89,,
8:20.0,,,60-89,,J. Anderson misses 2-pt shot from 4 ft (block by E. Okafor)
8:20.0,,,60-89,,Offensive rebound by Team
8:20.0,,,60-89,,J. Bayless enters the game for T. McConnell
8:20.0,D. Liggins enters the game for R. Rondo,,60-89,,
8:18.0,,,60-89,,T. Luwawu-Cabarrot misses 3-pt shot from 23 ft
8:13.0,Defensive rebound by D. Liggins,,60-89,,
7:59.0,I. Clark makes 3-pt shot from 25 ft,3,63-89,,
7:33.0,,,63-89,,J. Bayless misses 3-pt shot from 25 ft
7:31.0,Defensive rebound by Team,,63-89,,
7:31.0,,,63-89,,Loose ball foul by A. Johnson (drawn by C. Diallo)
7:11.0,I. Clark misses 2-pt shot from 19 ft,,63-89,,
7:07.0,,,63-89,,Defensive rebound by J. Anderson
6:56.0,,,63-92,3,J. Anderson makes 3-pt shot from 25 ft (assist by A. Johnson)
6:43.0,D. Miller makes 2-pt shot from 16 ft,2,65-92,,
6:31.0,,,65-92,,J. Anderson misses 2-pt shot from 4 ft (block by E. Okafor)
6:28.0,Defensive rebound by D. Miller,,65-92,,
6:26.0,I. Clark misses 3-pt shot from 26 ft,,65-92,,
6:26.0,,,65-92,,Defensive rebound by A. Johnson
6:16.0,,,65-92,,Turnover by T. Luwawu-Cabarrot (bad pass; steal by D. Liggins)
6:00.0,I. Clark makes 2-pt shot from 4 ft,2,67-92,,
5:59.0,,,67-92,,Philadelphia full timeout
5:59.0,,,67-92,,R. Holmes enters the game for A. Johnson
5:49.0,,,67-92,,Turnover by R. Holmes (bad pass; steal by C. Diallo)
5:45.0,C. Diallo misses 2-pt shot from 2 ft,,67-92,,
5:42.0,,,67-92,,Defensive rebound by R. Holmes
5:27.0,,,67-92,,T. Luwawu-Cabarrot misses 2-pt shot from 6 ft (block by E. Okafor)
5:24.0,Defensive rebound by C. Diallo,,67-92,,
5:20.0,D. Miller makes 2-pt shot from 15 ft,2,69-92,,
5:12.0,,,69-92,,T. Luwawu-Cabarrot misses 2-pt shot from 2 ft
5:12.0,Defensive rebound by D. Liggins,,69-92,,
