time,Sacramento,pts.away,score,pts.home,LA Lakers
6:04.0,,,10-10,2,J. Randle makes 2-pt shot from 1 ft (assist by A. Caruso)
5:39.0,J. Jackson misses 3-pt shot from 26 ft,,10-10,,
5:34.0,,,10-10,,Defensive rebound by K. Caldwell-Pope
5:32.0,Violation by D. Fox (kicked ball),,10-10,,
5:32.0,,,10-10,,LA Lakers full timeout
5:32.0,,,10-10,,T. Ennis enters the game for A. Caruso
5:32.0,,,10-10,,I. Zubac enters the game for B. Lopez
5:32.0,J. Sampson enters the game for S. Labissiere,,10-10,,
5:20.0,,,10-10,,J. Randle misses 2-pt shot from 3 ft (block by J. Sampson)
5:17.0,Defensive rebound by J. Cooley,,10-10,,
5:09.0,,,10-10,,Def 3 sec tech foul by J. Randle
5:09.0,B. Bogdanovic makes technical free throw,1,11-10,,
5:01.0,B. Bogdanovic makes 2-pt shot from 19 ft,2,13-10,,
4:45.0,Violation by J. Cooley (kicked ball),,13-10,,
4:33.0,,,13-12,2,K. Kuzma makes 2-pt shot from 5 ft (assist by T. Ennis)
4:14.0,D. Fox misses 2-pt shot from 3 ft,,13-12,,
4:10.0,Offensive rebound by J. Cooley,,13-12,,
4:10.0,J. Cooley misses 2-pt shot at rim,,13-12,,
4:10.0,,,13-12,,Defensive rebound by T. Ennis
4:08.0,,,13-14,2,J. Randle makes 2-pt shot at rim (assist by T. Ennis)
3:44.0,J. Sampson makes 2-pt shot from 1 ft,2,15-14,,
3:44.0,Shooting foul by J. Randle (drawn by J. Sampson),,15-14,,
3:44.0,,,15-14,,J. Hart enters the game for J. Randle
3:44.0,V. Carter enters the game for J. Jackson,,15-14,,
3:44.0,J. Sampson makes free throw 1 of 1,1,16-14,,
3:44.0,S. Labissiere enters the game for J. Cooley,,16-14,,
3:30.0,,,16-16,2,T. Ennis makes 2-pt shot from 4 ft (assist by I. Zubac)
3:14.0,Sacramento full timeout,,16-16,,
3:14.0,,,16-16,,C. Frye enters the game for K. Kuzma
3:14.0,F. Mason enters the game for D. Fox,,16-16,,
3:09.0,V. Carter misses 2-pt shot from 20 ft,,16-16,,
3:05.0,,,16-16,,Defensive rebound by C. Frye
2:56.0,,,16-16,,I. Zubac misses 2-pt shot from 1 ft (block by J. Sampson)
2:53.0,,,16-16,,Offensive rebound by I. Zubac
2:51.0,,,16-18,2,I. Zubac makes 2-pt shot from 5 ft
2:31.0,Turnover by S. Labissiere (lost ball; steal by K. Caldwell-Pope),,16-18,,
2:28.0,,,16-20,2,K. Caldwell-Pope makes 2-pt shot at rim
2:12.0,J. Sampson misses 2-pt shot from 1 ft (block by T. Ennis),,16-20,,
2:09.0,,,16-20,,Defensive rebound by I. Zubac
1:59.0,,,16-20,,K. Caldwell-Pope misses 3-pt shot from 24 ft
1:55.0,,,16-20,,Offensive rebound by J. Hart
1:34.0,,,16-20,,Turnover by Team (shot clock)
1:34.0,N. Hayes enters the game for B. Bogdanovic,,16-20,,
1:34.0,B. Hield enters the game for J. Sampson,,16-20,,
1:21.0,N. Hayes misses 3-pt shot from 24 ft,,16-20,,
1:16.0,Offensive rebound by S. Labissiere,,16-20,,
1:01.0,F. Mason misses 3-pt shot from 26 ft,,16-20,,
0:58.0,,,16-20,,Defensive rebound by I. Zubac
0:44.0,,,16-22,2,T. Ennis makes 2-pt shot from 3 ft
0:29.0,F. Mason misses 2-pt shot from 3 ft (block by T. Ennis),,16-22,,
0:29.0,Offensive rebound by Team,,16-22,,
0:23.0,B. Hield makes 3-pt shot from 28 ft,3,19-22,,
0:01.0,,,19-22,,K. Caldwell-Pope misses 3-pt shot from 25 ft
0:00.0,,,19-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,19-24,2,I. Zubac makes 2-pt shot from 1 ft (assist by T. Ennis)
11:22.0,B. Hield misses 2-pt shot from 11 ft,,19-24,,
11:17.0,Offensive rebound by S. Labissiere,,19-24,,
11:14.0,B. Hield misses 3-pt shot from 24 ft,,19-24,,
11:11.0,Offensive rebound by S. Labissiere,,19-24,,
11:09.0,S. Labissiere misses 2-pt shot from 2 ft (block by C. Frye),,19-24,,
11:09.0,Offensive rebound by S. Labissiere,,19-24,,
10:54.0,F. Mason misses 2-pt shot from 4 ft,,19-24,,
10:52.0,,,19-24,,Defensive rebound by I. Zubac
10:48.0,,,19-24,,J. Hart misses 3-pt shot from 22 ft
10:44.0,Defensive rebound by S. Labissiere,,19-24,,
10:25.0,B. Hield makes 2-pt shot from 3 ft,2,21-24,,
10:03.0,,,21-24,,T. Ennis misses 3-pt shot from 28 ft
10:00.0,Defensive rebound by V. Carter,,21-24,,
9:44.0,Turnover by S. Labissiere (bad pass; steal by I. Zubac),,21-24,,
9:33.0,,,21-27,3,K. Kuzma makes 3-pt shot from 22 ft (assist by J. Hart)
9:12.0,S. Labissiere misses 2-pt shot from 6 ft,,21-27,,
9:08.0,,,21-27,,Defensive rebound by C. Frye
9:01.0,,,21-27,,C. Frye misses 3-pt shot from 24 ft
8:57.0,Defensive rebound by B. Hield,,21-27,,
8:52.0,F. Mason misses 3-pt shot from 23 ft,,21-27,,
8:47.0,,,21-27,,Defensive rebound by I. Zubac
8:37.0,,,21-27,,Turnover by K. Kuzma (bad pass; steal by S. Labissiere)
8:22.0,S. Labissiere misses 2-pt shot from 14 ft,,21-27,,
8:18.0,,,21-27,,Defensive rebound by C. Frye
8:11.0,,,21-27,,Shooting foul by F. Mason (drawn by I. Zubac)
8:11.0,,,21-27,,I. Zubac misses free throw 1 of 2
8:11.0,,,21-27,,Offensive rebound by Team
8:11.0,,,21-27,,A. Caruso enters the game for T. Ennis
8:11.0,W. Cauley-Stein enters the game for S. Labissiere,,21-27,,
8:11.0,J. Jackson enters the game for V. Carter,,21-27,,
8:11.0,,,21-28,1,I. Zubac makes free throw 2 of 2
7:52.0,B. Hield makes 2-pt shot from 9 ft,2,23-28,,
7:41.0,,,23-28,,J. Hart misses 3-pt shot from 24 ft
7:39.0,Defensive rebound by W. Cauley-Stein,,23-28,,
7:30.0,W. Cauley-Stein misses 2-pt shot from 2 ft (block by I. Zubac),,23-28,,
7:27.0,,,23-28,,Defensive rebound by I. Zubac
7:21.0,,,23-30,2,I. Zubac makes 2-pt shot from 1 ft (assist by J. Hart)
7:04.0,Shooting foul by I. Zubac (drawn by W. Cauley-Stein),,23-30,,
7:04.0,W. Cauley-Stein misses free throw 1 of 2,,23-30,,
7:04.0,Offensive rebound by Team,,23-30,,
7:04.0,,,23-30,,B. Lopez enters the game for I. Zubac
7:04.0,W. Cauley-Stein makes free throw 2 of 2,1,24-30,,
6:40.0,,,24-30,,B. Lopez misses 3-pt shot from 25 ft
6:35.0,,,24-30,,Offensive rebound by C. Frye
6:35.0,,,24-30,,LA Lakers full timeout
6:35.0,,,24-30,,K. Caldwell-Pope enters the game for J. Hart
6:35.0,,,24-30,,J. Randle enters the game for C. Frye
6:35.0,D. Fox enters the game for F. Mason,,24-30,,
6:30.0,,,24-30,,K. Caldwell-Pope misses 3-pt shot from 25 ft
6:26.0,Defensive rebound by W. Cauley-Stein,,24-30,,
6:12.0,W. Cauley-Stein makes 2-pt shot at rim (assist by B. Hield),2,26-30,,
5:51.0,,,26-30,,J. Randle misses 2-pt shot from 3 ft
5:49.0,Defensive rebound by W. Cauley-Stein,,26-30,,
5:37.0,Turnover by W. Cauley-Stein (bad pass; steal by K. Kuzma),,26-30,,
5:32.0,,,26-32,2,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by K. Kuzma)
5:09.0,B. Hield makes 2-pt shot at rim (assist by W. Cauley-Stein),2,28-32,,
5:02.0,,,28-32,,K. Kuzma misses 2-pt shot from 21 ft
5:01.0,Defensive rebound by W. Cauley-Stein,,28-32,,
4:44.0,B. Hield makes 3-pt shot from 25 ft (assist by W. Cauley-Stein),3,31-32,,
4:44.0,,,31-32,,LA Lakers full timeout
4:31.0,,,31-32,,A. Caruso misses 2-pt shot from 6 ft
4:29.0,Defensive rebound by W. Cauley-Stein,,31-32,,
4:27.0,J. Jackson misses 3-pt shot from 23 ft,,31-32,,
4:27.0,,,31-32,,Defensive rebound by B. Lopez
4:08.0,,,31-34,2,K. Caldwell-Pope makes 2-pt shot from 1 ft
4:08.0,,,31-34,,Shooting foul by D. Fox (drawn by K. Caldwell-Pope)
4:08.0,,,31-34,,J. Hart enters the game for K. Kuzma
4:08.0,,,31-35,1,K. Caldwell-Pope makes free throw 1 of 1
3:51.0,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by B. Hield),2,33-35,,
3:51.0,Shooting foul by J. Randle (drawn by W. Cauley-Stein),,33-35,,
3:51.0,,,33-35,,K. Kuzma enters the game for J. Randle
3:51.0,B. Bogdanovic enters the game for J. Jackson,,33-35,,
3:51.0,W. Cauley-Stein misses free throw 1 of 1,,33-35,,
3:51.0,Offensive rebound by Team,,33-35,,
3:35.0,B. Bogdanovic makes 2-pt shot from 4 ft,2,35-35,,
3:17.0,,,35-37,2,K. Caldwell-Pope makes 2-pt shot from 4 ft
3:07.0,B. Hield makes 2-pt shot from 2 ft,2,37-37,,
2:47.0,,,37-40,3,A. Caruso makes 3-pt shot from 25 ft (assist by B. Lopez)
2:27.0,Shooting foul by J. Hart (drawn by N. Hayes),,37-40,,
2:27.0,N. Hayes misses free throw 1 of 2,,37-40,,
2:27.0,Offensive rebound by Team,,37-40,,
2:27.0,,,37-40,,C. Frye enters the game for K. Kuzma
2:27.0,J. Cooley enters the game for W. Cauley-Stein,,37-40,,
2:27.0,N. Hayes misses free throw 2 of 2,,37-40,,
2:25.0,,,37-40,,Defensive rebound by C. Frye
2:07.0,,,37-40,,K. Caldwell-Pope misses 3-pt shot from 25 ft
2:03.0,Defensive rebound by B. Hield,,37-40,,
1:47.0,N. Hayes misses 2-pt shot from 9 ft,,37-40,,
1:46.0,Offensive rebound by J. Cooley,,37-40,,
1:46.0,Shooting foul by C. Frye (drawn by J. Cooley),,37-40,,
1:46.0,J. Cooley misses free throw 1 of 2,,37-40,,
1:46.0,Offensive rebound by Team,,37-40,,
1:46.0,J. Cooley makes free throw 2 of 2,1,38-40,,
1:32.0,,,38-40,,A. Caruso misses 3-pt shot from 24 ft
1:28.0,Defensive rebound by D. Fox,,38-40,,
1:17.0,D. Fox misses 2-pt shot from 4 ft,,38-40,,
1:14.0,,,38-40,,Defensive rebound by B. Lopez
1:13.0,,,38-40,,Shooting foul by B. Hield (drawn by K. Caldwell-Pope)
1:13.0,,,38-41,1,K. Caldwell-Pope makes free throw 1 of 2
1:13.0,,,38-41,,K. Caldwell-Pope misses free throw 2 of 2
1:10.0,Defensive rebound by N. Hayes,,38-41,,
1:01.0,D. Fox misses 3-pt shot from 23 ft,,38-41,,
0:58.0,,,38-41,,Defensive rebound by C. Frye
0:48.0,,,38-41,,B. Lopez misses 3-pt shot from 25 ft
0:46.0,Defensive rebound by N. Hayes,,38-41,,
0:40.0,B. Hield makes 3-pt shot from 25 ft,3,41-41,,
0:26.0,,,41-43,2,K. Caldwell-Pope makes 2-pt shot from 2 ft
0:05.0,D. Fox makes 2-pt shot from 16 ft,2,43-43,,
0:01.0,,,43-43,,A. Caruso misses 3-pt shot from 28 ft
0:00.0,,,43-43,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,Violation by D. Fox (kicked ball),,43-43,,
11:34.0,,,43-43,,J. Randle misses 2-pt shot from 3 ft
11:31.0,Defensive rebound by S. Labissiere,,43-43,,
11:16.0,D. Fox makes 2-pt shot from 4 ft (assist by W. Cauley-Stein),2,45-43,,
11:10.0,,,45-43,,Turnover by B. Lopez (traveling)
10:59.0,W. Cauley-Stein misses 2-pt shot from 2 ft,,45-43,,
10:55.0,,,45-43,,Defensive rebound by J. Randle
10:49.0,,,45-46,3,K. Kuzma makes 3-pt shot from 24 ft (assist by A. Caruso)
10:42.0,Turnover by D. Fox (bad pass; steal by A. Caruso),,45-46,,
10:37.0,,,45-46,,K. Kuzma misses 3-pt shot from 22 ft
10:32.0,Defensive rebound by S. Labissiere,,45-46,,
10:17.0,S. Labissiere makes 2-pt shot from 1 ft (assist by B. Bogdanovic),2,47-46,,
10:04.0,,,47-46,,K. Caldwell-Pope misses 3-pt shot from 25 ft
10:00.0,Defensive rebound by S. Labissiere,,47-46,,
9:53.0,D. Fox misses 2-pt shot from 18 ft,,47-46,,
9:49.0,,,47-46,,Defensive rebound by J. Randle
9:43.0,,,47-48,2,K. Caldwell-Pope makes 2-pt shot from 3 ft (assist by B. Lopez)
9:43.0,,,47-48,,Shooting foul by W. Cauley-Stein (drawn by K. Caldwell-Pope)
9:43.0,,,47-49,1,K. Caldwell-Pope makes free throw 1 of 1
9:29.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by D. Fox),2,49-49,,
9:17.0,,,49-51,2,B. Lopez makes 2-pt shot from 6 ft
8:55.0,Turnover by S. Labissiere (traveling),,49-51,,
8:42.0,,,49-51,,Shooting foul by S. Labissiere (drawn by J. Randle)
8:42.0,,,49-51,,J. Randle misses free throw 1 of 2
8:42.0,,,49-51,,Offensive rebound by Team
8:42.0,J. Sampson enters the game for S. Labissiere,,49-51,,
8:42.0,,,49-51,,J. Randle misses free throw 2 of 2
8:38.0,,,49-51,,Offensive rebound by K. Kuzma
8:27.0,,,49-51,,K. Caldwell-Pope misses 2-pt shot from 21 ft
8:23.0,Defensive rebound by J. Sampson,,49-51,,
8:11.0,Offensive charge foul by W. Cauley-Stein (drawn by A. Caruso),,49-51,,
8:11.0,Turnover by W. Cauley-Stein (offensive foul),,49-51,,
7:56.0,Personal foul by W. Cauley-Stein,,49-51,,
7:56.0,J. Cooley enters the game for W. Cauley-Stein,,49-51,,
7:56.0,Technical foul by W. Cauley-Stein,,49-51,,
7:56.0,,,49-52,1,K. Caldwell-Pope makes technical free throw
7:48.0,,,49-52,,B. Lopez misses 3-pt shot from 24 ft
7:43.0,Defensive rebound by J. Sampson,,49-52,,
7:34.0,,,49-52,,Violation by B. Lopez (kicked ball)
7:25.0,D. Fox misses 2-pt shot from 16 ft,,49-52,,
7:23.0,Offensive rebound by J. Sampson,,49-52,,
7:23.0,Shooting foul by J. Randle (drawn by J. Sampson),,49-52,,
7:23.0,J. Sampson makes free throw 1 of 2,1,50-52,,
7:23.0,J. Sampson misses free throw 2 of 2,,50-52,,
7:19.0,Offensive rebound by J. Sampson,,50-52,,
7:19.0,,,50-52,,Personal foul by B. Lopez (drawn by J. Sampson)
7:19.0,,,50-52,,C. Frye enters the game for J. Randle
7:19.0,B. Hield enters the game for J. Jackson,,50-52,,
7:12.0,J. Sampson misses 2-pt shot from 16 ft,,50-52,,
7:08.0,,,50-52,,Defensive rebound by K. Kuzma
7:00.0,,,50-54,2,B. Lopez makes 2-pt shot from 1 ft (assist by K. Kuzma)
6:39.0,B. Hield misses 2-pt shot from 17 ft,,50-54,,
6:35.0,,,50-54,,Defensive rebound by K. Kuzma
6:32.0,,,50-54,,K. Kuzma misses 2-pt shot from 2 ft (block by J. Sampson)
6:27.0,,,50-54,,Offensive rebound by A. Caruso
6:26.0,,,50-56,2,A. Caruso makes 2-pt shot from 1 ft
6:04.0,B. Bogdanovic misses 2-pt shot from 2 ft,,50-56,,
6:04.0,,,50-56,,Defensive rebound by Team
6:04.0,Loose ball foul by J. Cooley (drawn by C. Frye),,50-56,,
6:04.0,,,50-56,,LA Lakers full timeout
5:51.0,,,50-56,,Turnover by A. Caruso (bad pass; steal by B. Hield)
5:27.0,D. Fox misses 3-pt shot from 28 ft,,50-56,,
5:22.0,,,50-56,,Defensive rebound by C. Frye
5:10.0,,,50-56,,K. Kuzma misses 3-pt shot from 22 ft
5:06.0,Defensive rebound by J. Cooley,,50-56,,
4:54.0,B. Bogdanovic makes 3-pt shot from 24 ft,3,53-56,,
4:39.0,,,53-56,,K. Kuzma misses 2-pt shot from 3 ft
4:34.0,,,53-56,,Offensive rebound by B. Lopez
4:34.0,,,53-56,,B. Lopez misses 2-pt shot at rim
4:34.0,Defensive rebound by B. Hield,,53-56,,
4:25.0,J. Cooley makes 2-pt shot from 2 ft (assist by D. Fox),2,55-56,,
4:15.0,,,55-56,,Offensive foul by B. Lopez (drawn by J. Cooley)
4:15.0,,,55-56,,Turnover by B. Lopez (offensive foul)
4:15.0,,,55-56,,I. Zubac enters the game for B. Lopez
4:15.0,N. Hayes enters the game for J. Sampson,,55-56,,
4:01.0,D. Fox makes 2-pt shot from 1 ft,2,57-56,,
3:50.0,,,57-58,2,A. Caruso makes 2-pt shot at rim
3:32.0,N. Hayes misses 3-pt shot from 24 ft,,57-58,,
3:29.0,,,57-58,,Defensive rebound by A. Caruso
3:25.0,,,57-58,,C. Frye misses 3-pt shot from 25 ft
3:20.0,,,57-58,,Offensive rebound by I. Zubac
3:18.0,,,57-58,,I. Zubac misses 2-pt shot from 4 ft
3:15.0,Defensive rebound by J. Cooley,,57-58,,
3:03.0,N. Hayes misses 2-pt shot from 17 ft,,57-58,,
3:02.0,,,57-58,,Defensive rebound by Team
3:02.0,,,57-58,,J. Hart enters the game for K. Kuzma
3:02.0,J. Jackson enters the game for B. Hield,,57-58,,
2:52.0,,,57-58,,Turnover by K. Caldwell-Pope (lost ball; steal by D. Fox)
2:45.0,N. Hayes makes 3-pt shot from 22 ft (assist by D. Fox),3,60-58,,
2:34.0,,,60-58,,Turnover by K. Caldwell-Pope (bad pass)
2:34.0,Sacramento full timeout,,60-58,,
2:34.0,,,60-58,,T. Ennis enters the game for A. Caruso
2:34.0,B. Hield enters the game for J. Jackson,,60-58,,
2:26.0,D. Fox misses 2-pt shot from 17 ft,,60-58,,
2:21.0,,,60-58,,Defensive rebound by C. Frye
2:01.0,,,60-58,,T. Ennis misses 2-pt shot from 7 ft
2:01.0,,,60-58,,Offensive rebound by Team
2:01.0,F. Mason enters the game for D. Fox,,60-58,,
1:45.0,,,60-61,3,J. Hart makes 3-pt shot from 24 ft (assist by C. Frye)
1:20.0,N. Hayes misses 3-pt shot from 22 ft,,60-61,,
1:16.0,,,60-61,,Defensive rebound by T. Ennis
1:10.0,,,60-61,,J. Hart misses 3-pt shot from 25 ft
1:08.0,Defensive rebound by Team,,60-61,,
1:08.0,V. Carter enters the game for B. Bogdanovic,,60-61,,
1:08.0,J. Jackson enters the game for J. Cooley,,60-61,,
0:49.0,Turnover by J. Jackson (step out of bounds),,60-61,,
0:34.0,,,60-64,3,C. Frye makes 3-pt shot from 25 ft (assist by J. Hart)
0:23.0,F. Mason misses 2-pt shot from 3 ft,,60-64,,
0:21.0,,,60-64,,Defensive rebound by J. Hart
0:04.0,,,60-64,,J. Hart misses 3-pt shot from 25 ft
0:04.0,Defensive rebound by V. Carter,,60-64,,
0:01.0,V. Carter misses 3-pt shot from 73 ft,,60-64,,
0:00.0,Offensive rebound by Team,,60-64,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,B. Hield misses 2-pt shot from 4 ft,,60-64,,
11:37.0,,,60-64,,Defensive rebound by C. Frye
11:28.0,,,60-64,,Turnover by T. Ennis (bad pass; steal by B. Hield)
11:24.0,Turnover by B. Hield (bad pass; steal by T. Ennis),,60-64,,
11:19.0,,,60-66,2,J. Hart makes 2-pt shot from 1 ft (assist by I. Zubac)
10:55.0,J. Jackson makes 2-pt shot from 6 ft (assist by F. Mason),2,62-66,,
10:37.0,,,62-66,,I. Zubac misses 2-pt shot from 1 ft
10:34.0,Defensive rebound by V. Carter,,62-66,,
10:26.0,F. Mason makes 3-pt shot from 26 ft (assist by N. Hayes),3,65-66,,
10:06.0,,,65-66,,C. Frye misses 3-pt shot from 25 ft
10:04.0,,,65-66,,Offensive rebound by I. Zubac
10:04.0,Personal foul by N. Hayes (drawn by I. Zubac),,65-66,,
9:53.0,,,65-66,,T. Ennis misses 2-pt shot from 6 ft (block by N. Hayes)
9:49.0,Defensive rebound by N. Hayes,,65-66,,
9:30.0,F. Mason makes 2-pt shot from 2 ft,2,67-66,,
9:18.0,,,67-66,,Turnover by K. Kuzma (step out of bounds)
9:03.0,J. Jackson misses 2-pt shot from 17 ft,,67-66,,
8:59.0,,,67-66,,Defensive rebound by I. Zubac
8:53.0,,,67-66,,J. Hart misses 2-pt shot from 2 ft
8:53.0,,,67-66,,Offensive rebound by I. Zubac
8:53.0,,,67-66,,Shooting foul by V. Carter (drawn by I. Zubac)
8:53.0,,,67-66,,I. Zubac misses free throw 1 of 2
8:53.0,,,67-66,,Offensive rebound by Team
8:53.0,,,67-66,,K. Caldwell-Pope enters the game for C. Frye
8:53.0,,,67-66,,I. Zubac misses free throw 2 of 2
8:50.0,Defensive rebound by V. Carter,,67-66,,
8:35.0,V. Carter misses 2-pt shot from 5 ft,,67-66,,
8:35.0,Offensive rebound by Team,,67-66,,
8:35.0,,,67-66,,J. Randle enters the game for I. Zubac
8:28.0,N. Hayes misses 2-pt shot from 4 ft,,67-66,,
8:26.0,,,67-66,,Defensive rebound by T. Ennis
8:16.0,,,67-69,3,K. Kuzma makes 3-pt shot from 27 ft (assist by T. Ennis)
8:13.0,Sacramento full timeout,,67-69,,
8:13.0,,,67-69,,A. Caruso enters the game for T. Ennis
8:13.0,W. Cauley-Stein enters the game for V. Carter,,67-69,,
8:13.0,J. Sampson enters the game for N. Hayes,,67-69,,
8:00.0,J. Jackson misses 3-pt shot from 24 ft,,67-69,,
7:56.0,,,67-69,,Defensive rebound by K. Kuzma
7:50.0,,,67-69,,Turnover by A. Caruso (lost ball; steal by J. Sampson)
7:37.0,B. Hield misses 2-pt shot from 8 ft,,67-69,,
7:34.0,,,67-69,,Defensive rebound by A. Caruso
7:32.0,,,67-69,,Shooting foul by J. Jackson (drawn by J. Randle)
7:32.0,,,67-70,1,J. Randle makes free throw 1 of 2
7:32.0,,,67-71,1,J. Randle makes free throw 2 of 2
7:12.0,F. Mason misses 3-pt shot from 25 ft,,67-71,,
7:07.0,,,67-71,,Defensive rebound by K. Kuzma
6:53.0,,,67-71,,K. Kuzma misses 3-pt shot from 24 ft
6:49.0,Defensive rebound by F. Mason,,67-71,,
6:28.0,J. Sampson makes 2-pt shot from 1 ft (assist by F. Mason),2,69-71,,
6:21.0,,,69-73,2,J. Randle makes 2-pt shot from 2 ft
5:57.0,F. Mason misses 3-pt shot from 25 ft,,69-73,,
5:55.0,,,69-73,,Defensive rebound by Team
5:55.0,B. Bogdanovic enters the game for F. Mason,,69-73,,
5:55.0,D. Fox enters the game for J. Jackson,,69-73,,
5:43.0,,,69-73,,K. Kuzma misses 3-pt shot from 25 ft
5:38.0,Defensive rebound by B. Bogdanovic,,69-73,,
5:33.0,B. Bogdanovic makes 3-pt shot from 26 ft (assist by D. Fox),3,72-73,,
5:16.0,,,72-73,,Shooting foul by B. Bogdanovic (drawn by J. Randle)
5:16.0,,,72-73,,J. Randle misses free throw 1 of 2
5:16.0,,,72-73,,Offensive rebound by Team
5:16.0,,,72-74,1,J. Randle makes free throw 2 of 2
5:04.0,D. Fox misses 2-pt shot from 20 ft,,72-74,,
4:57.0,Offensive rebound by W. Cauley-Stein,,72-74,,
4:57.0,W. Cauley-Stein makes 2-pt shot at rim,2,74-74,,
4:41.0,,,74-74,,LA Lakers full timeout
4:41.0,,,74-74,,B. Lopez enters the game for A. Caruso
4:37.0,,,74-74,,K. Kuzma misses 3-pt shot from 27 ft
4:34.0,Defensive rebound by B. Bogdanovic,,74-74,,
4:23.0,,,74-74,,Personal foul by K. Caldwell-Pope (drawn by B. Bogdanovic)
4:18.0,Shooting foul by J. Hart (drawn by D. Fox),,74-74,,
4:18.0,D. Fox makes free throw 1 of 2,1,75-74,,
4:18.0,D. Fox misses free throw 2 of 2,,75-74,,
4:15.0,,,75-74,,Defensive rebound by B. Lopez
4:05.0,,,75-74,,Turnover by K. Caldwell-Pope (bad pass; steal by B. Hield)
4:00.0,B. Hield misses 2-pt shot from 2 ft,,75-74,,
3:57.0,,,75-74,,Defensive rebound by J. Randle
3:54.0,,,75-74,,K. Kuzma misses 2-pt shot from 1 ft
3:48.0,Defensive rebound by W. Cauley-Stein,,75-74,,
3:31.0,W. Cauley-Stein makes 2-pt shot at rim (assist by J. Sampson),2,77-74,,
3:16.0,Personal foul by J. Sampson (drawn by J. Randle),,77-74,,
3:16.0,,,77-75,1,J. Randle makes free throw 1 of 2
3:16.0,J. Cooley enters the game for B. Bogdanovic,,77-75,,
3:16.0,,,77-76,1,J. Randle makes free throw 2 of 2
