time,LA Lakers,pts.away,score,pts.home,New York
4:03.0,,,16-16,,K. Porzingis misses 2-pt shot from 5 ft
4:00.0,,,16-16,,Offensive rebound by E. Kanter
3:53.0,,,16-18,2,D. McDermott makes 2-pt shot from 1 ft (assist by J. Jack)
3:43.0,L. Nance misses 2-pt shot from 13 ft,,16-18,,
3:42.0,,,16-18,,Defensive rebound by C. Lee
3:34.0,,,16-18,,C. Lee misses 2-pt shot from 13 ft
3:33.0,Defensive rebound by B. Ingram,,16-18,,
3:26.0,B. Ingram misses 2-pt shot from 13 ft,,16-18,,
3:24.0,,,16-18,,Defensive rebound by J. Jack
3:17.0,,,16-18,,D. McDermott misses 3-pt shot from 24 ft
3:15.0,Defensive rebound by K. Caldwell-Pope,,16-18,,
3:07.0,L. Ball misses 3-pt shot from 22 ft,,16-18,,
3:05.0,Offensive rebound by L. Nance,,16-18,,
3:05.0,L. Nance makes 2-pt shot at rim,2,18-18,,
2:49.0,,,18-18,,J. Jack misses 2-pt shot from 19 ft
2:48.0,,,18-18,,Offensive rebound by D. McDermott
2:46.0,,,18-18,,D. McDermott misses 2-pt shot from 1 ft
2:45.0,Defensive rebound by L. Nance,,18-18,,
2:40.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,18-18,,
2:39.0,Offensive rebound by B. Lopez,,18-18,,
2:34.0,B. Lopez makes 2-pt shot at rim,2,20-18,,
2:07.0,,,20-18,,Turnover by K. Porzingis (bad pass; steal by K. Caldwell-Pope)
2:05.0,Turnover by K. Caldwell-Pope (bad pass),,20-18,,
2:05.0,,,20-18,,F. Ntilikina enters the game for E. Kanter
2:05.0,,,20-18,,K. O'Quinn enters the game for J. Jack
2:05.0,K. Kuzma enters the game for B. Ingram,,20-18,,
2:05.0,J. Randle enters the game for L. Nance,,20-18,,
2:05.0,J. Clarkson enters the game for B. Lopez,,20-18,,
1:53.0,,,20-20,2,K. Porzingis makes 2-pt shot at rim (assist by K. O'Quinn)
1:34.0,K. Kuzma misses 2-pt shot from 2 ft (block by K. O'Quinn),,20-20,,
1:33.0,Offensive rebound by J. Clarkson,,20-20,,
1:28.0,J. Clarkson makes 2-pt shot from 2 ft,2,22-20,,
1:28.0,Shooting foul by F. Ntilikina (drawn by J. Clarkson),,22-20,,
1:28.0,J. Clarkson makes free throw 1 of 1,1,23-20,,
1:03.0,,,23-20,,C. Lee misses 3-pt shot from 22 ft
1:03.0,Defensive rebound by K. Kuzma,,23-20,,
0:56.0,J. Randle makes 2-pt shot from 1 ft (assist by K. Kuzma),2,25-20,,
0:56.0,Shooting foul by K. Porzingis (drawn by J. Randle),,25-20,,
0:56.0,J. Randle makes free throw 1 of 1,1,26-20,,
0:49.0,Personal foul by J. Randle (drawn by K. Porzingis),,26-20,,
0:44.0,,,26-23,3,F. Ntilikina makes 3-pt shot from 25 ft (assist by K. O'Quinn)
0:37.0,J. Clarkson makes 3-pt shot from 25 ft (assist by J. Randle),3,29-23,,
0:26.0,,,29-25,2,K. Porzingis makes 2-pt shot from 19 ft
0:08.0,Shooting foul by K. O'Quinn (drawn by J. Randle),,29-25,,
0:08.0,J. Randle misses free throw 1 of 2,,29-25,,
0:08.0,Offensive rebound by Team,,29-25,,
0:08.0,J. Randle misses free throw 2 of 2,,29-25,,
0:06.0,,,29-25,,Defensive rebound by K. Porzingis
0:01.0,,,29-25,,C. Lee misses 2-pt shot from 20 ft
0:01.0,,,29-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,29-25,,F. Ntilikina misses 2-pt shot from 21 ft
11:44.0,Defensive rebound by Team,,29-25,,
11:20.0,J. Clarkson misses 2-pt shot from 19 ft,,29-25,,
11:19.0,Offensive rebound by K. Kuzma,,29-25,,
11:18.0,K. Kuzma makes 2-pt shot at rim,2,31-25,,
11:08.0,,,31-25,,M. Beasley misses 2-pt shot from 3 ft
11:08.0,,,31-25,,Offensive rebound by M. Beasley
11:02.0,,,31-25,,M. Beasley misses 2-pt shot at rim
11:01.0,Defensive rebound by C. Brewer,,31-25,,
10:50.0,J. Clarkson makes 2-pt shot from 7 ft,2,33-25,,
10:28.0,,,33-25,,R. Baker misses 3-pt shot from 22 ft
10:26.0,Defensive rebound by K. Kuzma,,33-25,,
10:15.0,J. Randle misses 2-pt shot from 4 ft,,33-25,,
10:14.0,,,33-25,,Defensive rebound by Team
10:00.0,,,33-27,2,K. O'Quinn makes 2-pt shot from 18 ft
9:41.0,J. Clarkson misses 3-pt shot from 25 ft,,33-27,,
9:38.0,Offensive rebound by J. Clarkson,,33-27,,
9:38.0,J. Clarkson misses 2-pt shot from 2 ft,,33-27,,
9:36.0,Offensive rebound by J. Clarkson,,33-27,,
9:30.0,J. Clarkson misses 2-pt shot at rim,,33-27,,
9:30.0,,,33-27,,Defensive rebound by K. O'Quinn
9:27.0,,,33-27,,Offensive charge foul by D. McDermott (drawn by C. Brewer)
9:27.0,,,33-27,,Turnover by D. McDermott (offensive foul)
9:19.0,K. Kuzma makes 3-pt shot from 25 ft (assist by J. Clarkson),3,36-27,,
8:58.0,,,36-27,,M. Beasley misses 2-pt shot from 19 ft
8:56.0,,,36-27,,Offensive rebound by F. Ntilikina
8:52.0,,,36-30,3,F. Ntilikina makes 3-pt shot from 23 ft (assist by R. Baker)
8:50.0,LA Lakers full timeout,,36-30,,
8:50.0,,,36-30,,L. Thomas enters the game for M. Beasley
8:35.0,C. Brewer misses 2-pt shot from 10 ft,,36-30,,
8:33.0,,,36-30,,Defensive rebound by K. O'Quinn
8:19.0,,,36-30,,Turnover by F. Ntilikina (bad pass)
7:56.0,J. Randle makes 2-pt shot from 6 ft,2,38-30,,
7:35.0,,,38-32,2,K. O'Quinn makes 2-pt shot from 11 ft
7:23.0,Turnover by C. Brewer (bad pass; steal by F. Ntilikina),,38-32,,
7:17.0,,,38-32,,Turnover by K. O'Quinn (out of bounds lost ball)
7:17.0,,,38-32,,J. Jack enters the game for R. Baker
7:17.0,B. Ingram enters the game for C. Brewer,,38-32,,
7:04.0,K. Kuzma makes 2-pt shot from 21 ft (assist by J. Clarkson),2,40-32,,
6:45.0,,,40-32,,D. McDermott misses 3-pt shot from 25 ft
6:43.0,Defensive rebound by J. Hart,,40-32,,
6:35.0,J. Randle misses 2-pt shot from 2 ft,,40-32,,
6:34.0,Offensive rebound by K. Kuzma,,40-32,,
6:34.0,K. Kuzma misses 2-pt shot at rim,,40-32,,
6:33.0,Offensive rebound by Team,,40-32,,
6:33.0,,,40-32,,E. Kanter enters the game for K. O'Quinn
6:19.0,Turnover by B. Ingram (bad pass),,40-32,,
6:19.0,,,40-32,,K. Porzingis enters the game for F. Ntilikina
6:01.0,,,40-32,,K. Porzingis misses 2-pt shot from 12 ft (block by K. Kuzma)
5:59.0,Defensive rebound by J. Hart,,40-32,,
5:52.0,J. Randle makes 2-pt shot from 1 ft (assist by J. Clarkson),2,42-32,,
5:47.0,,,42-32,,New York full timeout
5:47.0,,,42-32,,C. Lee enters the game for D. McDermott
5:47.0,K. Caldwell-Pope enters the game for J. Hart,,42-32,,
5:32.0,,,42-32,,Turnover by L. Thomas (bad pass; steal by K. Caldwell-Pope)
5:14.0,Turnover by J. Randle (bad pass),,42-32,,
5:05.0,,,42-34,2,J. Jack makes 2-pt shot from 20 ft
4:45.0,J. Clarkson makes 2-pt shot from 12 ft (assist by J. Randle),2,44-34,,
4:31.0,,,44-34,,K. Porzingis misses 2-pt shot from 16 ft
4:30.0,,,44-34,,Offensive rebound by Team
4:30.0,L. Ball enters the game for K. Kuzma,,44-34,,
4:30.0,B. Lopez enters the game for J. Clarkson,,44-34,,
4:30.0,L. Nance enters the game for J. Randle,,44-34,,
4:21.0,,,44-34,,Shooting foul by L. Ball (drawn by L. Thomas)
4:21.0,,,44-35,1,L. Thomas makes free throw 1 of 2
4:21.0,,,44-36,1,L. Thomas makes free throw 2 of 2
4:06.0,L. Nance misses 2-pt shot from 1 ft,,44-36,,
4:04.0,,,44-36,,Defensive rebound by J. Jack
3:48.0,,,44-36,,Offensive foul by E. Kanter (drawn by L. Nance)
3:48.0,,,44-36,,Turnover by E. Kanter (offensive foul)
3:40.0,B. Lopez misses 3-pt shot from 27 ft,,44-36,,
3:38.0,,,44-36,,Defensive rebound by E. Kanter
3:29.0,,,44-39,3,K. Porzingis makes 3-pt shot from 26 ft (assist by J. Jack)
3:21.0,Turnover by B. Lopez (out of bounds lost ball),,44-39,,
3:07.0,,,44-41,2,C. Lee makes 2-pt shot from 18 ft
2:54.0,Shooting foul by E. Kanter (drawn by B. Lopez),,44-41,,
2:54.0,B. Lopez makes free throw 1 of 2,1,45-41,,
2:54.0,B. Lopez makes free throw 2 of 2,1,46-41,,
2:39.0,,,46-43,2,C. Lee makes 2-pt shot from 10 ft
2:27.0,B. Lopez misses 3-pt shot from 25 ft,,46-43,,
2:25.0,,,46-43,,Defensive rebound by J. Jack
2:09.0,,,46-45,2,C. Lee makes 2-pt shot from 1 ft (assist by J. Jack)
1:54.0,K. Caldwell-Pope misses 2-pt shot from 21 ft,,46-45,,
1:52.0,Offensive rebound by B. Lopez,,46-45,,
1:50.0,B. Lopez misses 2-pt shot from 6 ft,,46-45,,
1:49.0,,,46-45,,Defensive rebound by L. Thomas
1:34.0,Personal foul by K. Caldwell-Pope (drawn by E. Kanter),,46-45,,
1:24.0,,,46-45,,C. Lee misses 3-pt shot from 22 ft
1:22.0,,,46-45,,Offensive rebound by K. Porzingis
1:22.0,,,46-47,2,K. Porzingis makes 2-pt shot at rim
1:12.0,L. Ball makes 2-pt shot from 20 ft,2,48-47,,
0:48.0,,,48-47,,C. Lee misses 2-pt shot from 15 ft
0:46.0,,,48-47,,Offensive rebound by E. Kanter
0:46.0,,,48-49,2,E. Kanter makes 2-pt shot at rim
0:46.0,Violation by L. Nance (def goaltending),,48-49,,
0:39.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,48-49,,
0:37.0,,,48-49,,Defensive rebound by L. Thomas
0:33.0,Personal foul by B. Ingram (drawn by J. Jack),,48-49,,
0:33.0,J. Clarkson enters the game for B. Ingram,,48-49,,
0:33.0,,,48-50,1,J. Jack makes free throw 1 of 2
0:33.0,,,48-50,,J. Jack misses free throw 2 of 2
0:31.0,Defensive rebound by L. Ball,,48-50,,
0:27.0,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by L. Ball),3,51-50,,
0:03.0,,,51-50,,E. Kanter misses 2-pt shot from 1 ft
0:02.0,Defensive rebound by J. Clarkson,,51-50,,
0:00.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,51-50,,
0:00.0,Offensive rebound by Team,,51-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,,,51-52,2,K. Porzingis makes 2-pt shot from 11 ft
11:11.0,B. Ingram misses 2-pt shot from 7 ft,,51-52,,
11:09.0,Offensive rebound by B. Ingram,,51-52,,
11:09.0,B. Ingram misses 2-pt shot at rim,,51-52,,
11:07.0,,,51-52,,Defensive rebound by J. Jack
11:04.0,,,51-54,2,E. Kanter makes 2-pt shot from 1 ft (assist by J. Jack)
10:54.0,B. Lopez misses 2-pt shot from 14 ft,,51-54,,
10:53.0,Offensive rebound by L. Ball,,51-54,,
10:53.0,L. Ball misses 2-pt shot at rim,,51-54,,
10:51.0,,,51-54,,Defensive rebound by K. Porzingis
10:45.0,,,51-57,3,K. Porzingis makes 3-pt shot from 27 ft (assist by J. Jack)
10:43.0,LA Lakers full timeout,,51-57,,
10:23.0,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by L. Ball),3,54-57,,
9:59.0,,,54-57,,L. Thomas misses 3-pt shot from 25 ft
9:58.0,,,54-57,,Offensive rebound by Team
9:58.0,Loose ball foul by B. Lopez (drawn by E. Kanter),,54-57,,
9:51.0,,,54-57,,Turnover by J. Jack (bad pass; steal by L. Ball)
9:42.0,L. Ball makes 3-pt shot from 25 ft (assist by B. Lopez),3,57-57,,
9:12.0,,,57-57,,Turnover by C. Lee (lost ball; steal by K. Caldwell-Pope)
9:03.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,57-57,,
9:01.0,,,57-57,,Defensive rebound by E. Kanter
8:49.0,,,57-57,,Shooting foul by L. Nance (drawn by K. Porzingis)
8:49.0,,,57-58,1,K. Porzingis makes free throw 1 of 2
8:49.0,,,57-58,,K. Porzingis misses free throw 2 of 2
8:47.0,Defensive rebound by L. Nance,,57-58,,
8:36.0,B. Lopez misses 3-pt shot from 24 ft,,57-58,,
8:34.0,,,57-58,,Defensive rebound by E. Kanter
8:27.0,,,57-58,,Turnover by K. Porzingis (bad pass; steal by L. Ball)
8:21.0,B. Lopez makes 2-pt shot at rim (assist by K. Caldwell-Pope),2,59-58,,
7:59.0,,,59-61,3,L. Thomas makes 3-pt shot from 22 ft (assist by J. Jack)
7:44.0,B. Ingram misses 2-pt shot from 1 ft (block by K. Porzingis),,59-61,,
7:42.0,Offensive rebound by B. Ingram,,59-61,,
7:36.0,Turnover by B. Ingram (lost ball; steal by C. Lee),,59-61,,
7:32.0,,,59-61,,C. Lee misses 2-pt shot from 1 ft (block by B. Lopez)
7:30.0,Defensive rebound by K. Caldwell-Pope,,59-61,,
7:27.0,K. Caldwell-Pope makes 2-pt shot from 14 ft,2,61-61,,
7:06.0,Personal foul by L. Ball (drawn by K. Porzingis),,61-61,,
7:02.0,,,61-61,,J. Jack misses 3-pt shot from 23 ft
7:00.0,Defensive rebound by L. Nance,,61-61,,
6:54.0,L. Ball misses 2-pt shot from 14 ft,,61-61,,
6:52.0,,,61-61,,Defensive rebound by L. Thomas
6:28.0,,,61-61,,C. Lee misses 3-pt shot from 24 ft
6:26.0,Defensive rebound by B. Ingram,,61-61,,
6:21.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,61-61,,
6:19.0,,,61-61,,Defensive rebound by E. Kanter
6:07.0,,,61-61,,Turnover by J. Jack (bad pass; steal by B. Ingram)
6:03.0,L. Ball makes 2-pt shot at rim (assist by K. Caldwell-Pope),2,63-61,,
5:32.0,,,63-64,3,K. Porzingis makes 3-pt shot from 27 ft (assist by J. Jack)
5:18.0,L. Ball makes 3-pt shot from 25 ft (assist by B. Lopez),3,66-64,,
5:04.0,,,66-66,2,E. Kanter makes 2-pt shot at rim (assist by C. Lee)
4:56.0,L. Ball makes 2-pt shot from 1 ft,2,68-66,,
4:43.0,,,68-68,2,E. Kanter makes 2-pt shot from 1 ft (assist by J. Jack)
4:31.0,B. Lopez makes 3-pt shot from 24 ft (assist by L. Ball),3,71-68,,
4:13.0,,,71-71,3,K. Porzingis makes 3-pt shot from 25 ft (assist by J. Jack)
4:04.0,,,71-71,,Personal foul by C. Lee (drawn by K. Caldwell-Pope)
4:04.0,,,71-71,,F. Ntilikina enters the game for L. Thomas
4:04.0,,,71-71,,D. McDermott enters the game for J. Jack
3:51.0,B. Lopez misses 2-pt shot from 8 ft,,71-71,,
3:50.0,,,71-71,,Defensive rebound by K. Porzingis
3:36.0,,,71-71,,F. Ntilikina misses 2-pt shot from 22 ft
3:34.0,Defensive rebound by L. Nance,,71-71,,
3:19.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,71-71,,
3:15.0,Offensive rebound by L. Nance,,71-71,,
3:14.0,K. Caldwell-Pope makes 3-pt shot from 22 ft (assist by L. Nance),3,74-71,,
2:59.0,Personal foul by B. Lopez (drawn by D. McDermott),,74-71,,
2:59.0,,,74-71,,New York full timeout
2:59.0,,,74-71,,M. Beasley enters the game for K. Porzingis
2:59.0,J. Randle enters the game for L. Nance,,74-71,,
2:59.0,K. Kuzma enters the game for B. Lopez,,74-71,,
2:49.0,,,74-71,,M. Beasley misses 2-pt shot from 7 ft
2:46.0,,,74-71,,Offensive rebound by F. Ntilikina
2:45.0,,,74-71,,New York full timeout
2:35.0,,,74-73,2,E. Kanter makes 2-pt shot from 1 ft (assist by F. Ntilikina)
2:20.0,K. Kuzma misses 2-pt shot at rim,,74-73,,
2:18.0,,,74-73,,Defensive rebound by E. Kanter
2:13.0,,,74-75,2,D. McDermott makes 2-pt shot from 1 ft (assist by M. Beasley)
1:57.0,B. Ingram misses 2-pt shot from 1 ft,,74-75,,
1:55.0,,,74-75,,Defensive rebound by D. McDermott
1:44.0,,,74-75,,K. O'Quinn enters the game for E. Kanter
1:44.0,,,74-75,,R. Baker enters the game for C. Lee
1:44.0,J. Clarkson enters the game for L. Ball,,74-75,,
1:35.0,,,74-75,,M. Beasley misses 2-pt shot from 8 ft (block by J. Randle)
1:34.0,,,74-75,,Offensive rebound by M. Beasley
1:33.0,,,74-75,,Shooting foul by K. Kuzma (drawn by M. Beasley)
1:33.0,,,74-75,,M. Beasley misses free throw 1 of 2
1:33.0,,,74-75,,Offensive rebound by Team
1:33.0,,,74-76,1,M. Beasley makes free throw 2 of 2
1:17.0,,,74-76,,Personal foul by R. Baker (drawn by B. Ingram)
1:05.0,J. Randle makes 2-pt shot from 15 ft (assist by B. Ingram),2,76-76,,
0:52.0,,,76-76,,Offensive foul by K. O'Quinn (drawn by K. Caldwell-Pope)
0:52.0,,,76-76,,Turnover by K. O'Quinn (offensive foul)
0:40.0,B. Ingram makes 2-pt shot from 2 ft,2,78-76,,
0:40.0,Shooting foul by K. O'Quinn (drawn by B. Ingram),,78-76,,
0:40.0,B. Ingram makes free throw 1 of 1,1,79-76,,
0:28.0,Violation by J. Randle (kicked ball),,79-76,,
0:19.0,,,79-76,,Turnover by M. Beasley (bad pass)
0:01.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,79-76,,
0:01.0,Offensive rebound by Team,,79-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,Turnover by J. Randle (traveling),,79-76,,
11:26.0,,,79-78,2,D. McDermott makes 2-pt shot from 1 ft (assist by F. Ntilikina)
11:03.0,J. Clarkson misses 2-pt shot from 20 ft,,79-78,,
11:01.0,Offensive rebound by K. Kuzma,,79-78,,
11:01.0,K. Kuzma makes 2-pt shot at rim,2,81-78,,
10:44.0,,,81-80,2,M. Beasley makes 2-pt shot from 11 ft
10:30.0,J. Clarkson misses 2-pt shot from 5 ft (block by R. Baker),,81-80,,
10:26.0,Jump ball: R. Baker vs. J. Clarkson (J. Hart gains possession),,,,Jump ball: R. Baker vs. J. Clarkson (J. Hart gains possession)
10:26.0,Defensive rebound by J. Clarkson,,81-80,,
10:21.0,J. Randle misses 2-pt shot from 19 ft,,81-80,,
10:20.0,,,81-80,,Defensive rebound by M. Beasley
10:05.0,,,81-80,,F. Ntilikina misses 2-pt shot from 23 ft
10:03.0,Defensive rebound by J. Hart,,81-80,,
9:55.0,J. Clarkson makes 2-pt shot from 16 ft,2,83-80,,
9:34.0,,,83-82,2,M. Beasley makes 2-pt shot from 7 ft
9:23.0,Turnover by J. Clarkson (bad pass; steal by R. Baker),,83-82,,
9:18.0,,,83-82,,M. Beasley misses 2-pt shot from 2 ft
9:17.0,,,83-82,,Offensive rebound by K. O'Quinn
9:15.0,,,83-84,2,K. O'Quinn makes 2-pt shot from 1 ft
9:15.0,LA Lakers full timeout,,83-84,,
8:59.0,K. Kuzma makes 3-pt shot from 26 ft,3,86-84,,
8:37.0,Jump ball: M. Beasley vs. C. Brewer (F. Ntilikina gains possession),,,,Jump ball: M. Beasley vs. C. Brewer (F. Ntilikina gains possession)
8:29.0,,,86-86,2,K. O'Quinn makes 2-pt shot at rim (assist by F. Ntilikina)
8:12.0,K. Kuzma misses 2-pt shot from 20 ft,,86-86,,
8:10.0,,,86-86,,Defensive rebound by F. Ntilikina
7:54.0,,,86-86,,M. Beasley misses 2-pt shot from 11 ft
7:52.0,Defensive rebound by J. Clarkson,,86-86,,
7:45.0,Offensive foul by J. Randle (drawn by M. Beasley),,86-86,,
7:45.0,Turnover by J. Randle (offensive foul),,86-86,,
7:45.0,,,86-86,,K. Porzingis enters the game for K. O'Quinn
7:45.0,B. Ingram enters the game for J. Hart,,86-86,,
7:45.0,L. Ball enters the game for C. Brewer,,86-86,,
7:25.0,,,86-86,,K. Porzingis misses 3-pt shot from 26 ft
7:24.0,Defensive rebound by Team,,86-86,,
7:03.0,Turnover by B. Ingram (bad pass),,86-86,,
7:03.0,,,86-86,,C. Lee enters the game for R. Baker
6:41.0,,,86-86,,D. McDermott misses 2-pt shot from 8 ft
6:40.0,,,86-86,,Offensive rebound by Team
6:31.0,,,86-88,2,M. Beasley makes 2-pt shot from 7 ft (assist by F. Ntilikina)
6:18.0,L. Ball misses 2-pt shot from 1 ft (block by K. Porzingis),,86-88,,
6:17.0,Offensive rebound by J. Randle,,86-88,,
6:16.0,J. Randle misses 2-pt shot from 1 ft,,86-88,,
6:15.0,,,86-88,,Defensive rebound by F. Ntilikina
5:57.0,,,86-88,,K. Porzingis misses 2-pt shot from 10 ft
5:56.0,Defensive rebound by K. Kuzma,,86-88,,
5:56.0,,,86-88,,Personal foul by M. Beasley (drawn by K. Kuzma)
5:36.0,K. Kuzma makes 2-pt shot from 3 ft,2,88-88,,
5:22.0,,,88-90,2,F. Ntilikina makes 2-pt shot from 13 ft
5:08.0,L. Ball misses 2-pt shot at rim (block by K. Porzingis),,88-90,,
5:07.0,Offensive rebound by J. Randle,,88-90,,
5:05.0,J. Randle makes 2-pt shot from 1 ft,2,90-90,,
4:51.0,,,90-92,2,F. Ntilikina makes 2-pt shot from 17 ft
4:43.0,K. Kuzma misses 3-pt shot from 24 ft,,90-92,,
4:40.0,,,90-92,,Defensive rebound by K. Porzingis
4:27.0,Personal foul by L. Ball (drawn by F. Ntilikina),,90-92,,
4:27.0,LA Lakers full timeout,,90-92,,
4:13.0,,,90-95,3,F. Ntilikina makes 3-pt shot from 27 ft (assist by K. Porzingis)
3:55.0,J. Randle makes 2-pt shot at rim (assist by L. Ball),2,92-95,,
3:36.0,,,92-95,,K. Porzingis misses 2-pt shot from 18 ft (block by L. Ball)
3:35.0,K. Caldwell-Pope enters the game for J. Clarkson,,92-95,,
3:35.0,Jump ball: K. Porzingis vs. L. Ball (F. Ntilikina gains possession),,,,Jump ball: K. Porzingis vs. L. Ball (F. Ntilikina gains possession)
3:35.0,,,92-95,,Offensive rebound by K. Porzingis
3:22.0,,,92-95,,F. Ntilikina misses 2-pt shot from 17 ft
3:19.0,Defensive rebound by J. Randle,,92-95,,
3:10.0,Turnover by B. Ingram (bad pass; steal by C. Lee),,92-95,,
3:08.0,,,92-95,,C. Lee misses 2-pt shot from 1 ft
2:58.0,Defensive rebound by Team,,92-95,,
2:49.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,92-95,,
2:49.0,,,92-95,,Defensive rebound by M. Beasley
2:37.0,,,92-95,,K. Porzingis misses 2-pt shot from 22 ft (block by K. Kuzma)
2:37.0,Defensive rebound by J. Randle,,92-95,,
2:28.0,J. Randle misses 2-pt shot from 6 ft (block by K. Porzingis),,92-95,,
2:28.0,,,92-95,,Defensive rebound by Team
2:28.0,Loose ball foul by J. Randle (drawn by F. Ntilikina),,92-95,,
2:28.0,L. Nance enters the game for J. Randle,,92-95,,
