time,Orlando,pts.away,score,pts.home,Oklahoma City
11:15.0,,,40-33,2,R. Felton makes 2-pt shot from 1 ft
11:03.0,W. Iwundu makes 2-pt shot from 1 ft (assist by S. Mack),2,42-33,,
11:02.0,,,42-33,,Oklahoma City full timeout
10:50.0,,,42-33,,J. Grant misses 2-pt shot from 1 ft
10:47.0,Defensive rebound by W. Iwundu,,42-33,,
10:34.0,Shooting foul by P. Patterson (drawn by B. Biyombo),,42-33,,
10:34.0,B. Biyombo misses free throw 1 of 2,,42-33,,
10:34.0,Offensive rebound by Team,,42-33,,
10:34.0,B. Biyombo misses free throw 2 of 2,,42-33,,
10:32.0,,,42-33,,Defensive rebound by J. Huestis
10:22.0,,,42-33,,R. Felton misses 2-pt shot from 21 ft
10:19.0,Defensive rebound by R. Vaughn,,42-33,,
10:10.0,W. Iwundu makes 2-pt shot at rim (assist by S. Mack),2,44-33,,
9:56.0,,,44-33,,A. Abrines misses 3-pt shot from 25 ft
9:52.0,,,44-33,,Offensive rebound by J. Huestis
9:42.0,,,44-35,2,R. Felton makes 2-pt shot at rim
9:20.0,B. Biyombo misses 2-pt shot from 10 ft,,44-35,,
9:17.0,,,44-35,,Defensive rebound by J. Grant
9:08.0,,,44-38,3,P. Patterson makes 3-pt shot from 24 ft (assist by R. Felton)
8:56.0,S. Mack makes 2-pt shot at rim,2,46-38,,
8:46.0,Personal foul by S. Mack (drawn by J. Grant),,46-38,,
8:46.0,,,46-38,,S. Adams enters the game for R. Felton
8:46.0,,,46-38,,R. Westbrook enters the game for J. Huestis
8:40.0,,,46-38,,R. Westbrook misses 2-pt shot from 15 ft
8:37.0,,,46-38,,Offensive rebound by S. Adams
8:36.0,,,46-38,,R. Westbrook misses 2-pt shot at rim
8:34.0,Defensive rebound by M. Hezonja,,46-38,,
8:30.0,M. Hezonja makes 2-pt shot from 1 ft,2,48-38,,
8:14.0,,,48-40,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
7:56.0,B. Biyombo makes 2-pt shot at rim (assist by S. Mack),2,50-40,,
7:56.0,Shooting foul by R. Westbrook (drawn by B. Biyombo),,50-40,,
7:56.0,B. Biyombo misses free throw 1 of 1,,50-40,,
7:54.0,,,50-40,,Defensive rebound by R. Westbrook
7:44.0,,,50-40,,Shooting foul by B. Biyombo (drawn by S. Adams)
7:44.0,,,50-41,1,S. Adams makes free throw 1 of 2
7:44.0,,,50-42,1,S. Adams makes free throw 2 of 2
7:24.0,M. Hezonja misses 3-pt shot from 25 ft,,50-42,,
7:19.0,,,50-42,,Defensive rebound by J. Grant
7:06.0,,,50-44,2,P. Patterson makes 2-pt shot from 6 ft (assist by R. Westbrook)
7:06.0,,,50-44,,Shooting foul by W. Iwundu (drawn by P. Patterson)
7:06.0,J. Simmons enters the game for R. Vaughn,,50-44,,
7:06.0,,,50-45,1,P. Patterson makes free throw 1 of 1
6:56.0,M. Hezonja misses 2-pt shot from 3 ft (block by A. Abrines),,50-45,,
6:52.0,,,50-45,,Defensive rebound by R. Westbrook
6:50.0,,,50-45,,C. Anthony enters the game for J. Grant
6:50.0,N. Vucevic enters the game for B. Biyombo,,50-45,,
6:45.0,,,50-45,,A. Abrines misses 3-pt shot from 24 ft
6:39.0,Defensive rebound by J. Simmons,,50-45,,
6:29.0,Turnover by N. Vucevic (traveling),,50-45,,
6:29.0,,,50-45,,P. George enters the game for P. Patterson
6:19.0,,,50-45,,P. George misses 3-pt shot from 25 ft
6:14.0,,,50-45,,Offensive rebound by P. George
6:11.0,,,50-45,,Turnover by R. Westbrook (lost ball; steal by S. Mack)
6:07.0,S. Mack misses 2-pt shot from 1 ft,,50-45,,
6:06.0,,,50-45,,Defensive rebound by R. Westbrook
5:58.0,,,50-48,3,A. Abrines makes 3-pt shot from 25 ft (assist by S. Adams)
5:56.0,Orlando full timeout,,50-48,,
5:56.0,D. Augustin enters the game for S. Mack,,50-48,,
5:42.0,N. Vucevic makes 2-pt shot from 1 ft (assist by J. Simmons),2,52-48,,
5:30.0,,,52-48,,Shooting foul by M. Hezonja (drawn by S. Adams)
5:30.0,,,52-49,1,S. Adams makes free throw 1 of 2
5:30.0,,,52-49,,S. Adams misses free throw 2 of 2
5:27.0,Defensive rebound by M. Hezonja,,52-49,,
5:13.0,Turnover by J. Simmons (step out of bounds),,52-49,,
5:02.0,,,52-51,2,A. Abrines makes 2-pt shot at rim (assist by R. Westbrook)
4:40.0,M. Hezonja misses 2-pt shot from 2 ft (block by S. Adams),,52-51,,
4:39.0,,,52-51,,Defensive rebound by A. Abrines
4:28.0,,,52-51,,P. George misses 2-pt shot from 21 ft
4:24.0,Defensive rebound by J. Simmons,,52-51,,
4:19.0,Shooting foul by P. George (drawn by J. Simmons),,52-51,,
4:19.0,J. Simmons makes free throw 1 of 2,1,53-51,,
4:19.0,A. Gordon enters the game for M. Hezonja,,53-51,,
4:19.0,E. Fournier enters the game for W. Iwundu,,53-51,,
4:19.0,J. Simmons makes free throw 2 of 2,1,54-51,,
4:05.0,,,54-51,,C. Anthony misses 2-pt shot from 13 ft
4:02.0,Defensive rebound by N. Vucevic,,54-51,,
3:55.0,A. Gordon misses 3-pt shot from 23 ft,,54-51,,
3:53.0,,,54-51,,Defensive rebound by R. Westbrook
3:48.0,,,54-51,,C. Anthony misses 3-pt shot from 24 ft
3:45.0,,,54-51,,Offensive rebound by R. Westbrook
3:42.0,,,54-53,2,R. Westbrook makes 2-pt shot from 11 ft
3:42.0,Orlando full timeout,,54-53,,
3:20.0,A. Gordon misses 2-pt shot from 2 ft,,54-53,,
3:17.0,,,54-53,,Defensive rebound by S. Adams
3:14.0,,,54-53,,A. Abrines misses 3-pt shot from 23 ft
3:14.0,Defensive rebound by Team,,54-53,,
3:12.0,,,54-53,,Loose ball foul by R. Westbrook (drawn by A. Gordon)
2:58.0,N. Vucevic misses 3-pt shot from 25 ft,,54-53,,
2:55.0,,,54-53,,Defensive rebound by C. Anthony
2:50.0,,,54-55,2,P. George makes 2-pt shot at rim
2:45.0,E. Fournier misses 2-pt shot from 1 ft,,54-55,,
2:42.0,Offensive rebound by J. Simmons,,54-55,,
2:42.0,J. Simmons makes 2-pt shot from 1 ft,2,56-55,,
2:27.0,,,56-57,2,P. George makes 2-pt shot at rim
2:13.0,A. Gordon misses 2-pt shot from 16 ft,,56-57,,
2:11.0,,,56-57,,Defensive rebound by S. Adams
2:03.0,,,56-59,2,A. Abrines makes 2-pt shot from 1 ft (assist by C. Anthony)
1:39.0,E. Fournier misses 2-pt shot from 16 ft,,56-59,,
1:36.0,,,56-59,,Defensive rebound by S. Adams
1:22.0,,,56-59,,C. Anthony misses 2-pt shot from 15 ft
1:19.0,Defensive rebound by N. Vucevic,,56-59,,
1:11.0,E. Fournier makes 3-pt shot from 22 ft (assist by D. Augustin),3,59-59,,
0:49.0,,,59-61,2,C. Anthony makes 2-pt shot at rim
0:34.0,E. Fournier makes 3-pt shot from 23 ft (assist by N. Vucevic),3,62-61,,
0:28.0,,,62-61,,Turnover by C. Anthony (bad pass; steal by D. Augustin)
0:08.0,E. Fournier misses 3-pt shot from 25 ft,,62-61,,
0:04.0,,,62-61,,Defensive rebound by S. Adams
0:00.0,,,62-61,,A. Abrines misses 3-pt shot from 25 ft (block by A. Gordon)
0:00.0,,,62-61,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,A. Gordon misses 2-pt shot from 10 ft,,62-61,,
11:39.0,,,62-61,,Defensive rebound by C. Anthony
11:18.0,,,62-63,2,C. Anthony makes 2-pt shot from 5 ft
11:01.0,A. Gordon misses 2-pt shot at rim,,62-63,,
10:59.0,,,62-63,,Defensive rebound by S. Adams
10:54.0,,,62-66,3,J. Huestis makes 3-pt shot from 26 ft (assist by R. Westbrook)
10:34.0,E. Fournier misses 3-pt shot from 23 ft,,62-66,,
10:32.0,,,62-66,,Defensive rebound by R. Westbrook
10:30.0,,,62-66,,Shooting foul by N. Vucevic (drawn by S. Adams)
10:30.0,,,62-66,,S. Adams misses free throw 1 of 2
10:30.0,,,62-66,,Offensive rebound by Team
10:30.0,,,62-67,1,S. Adams makes free throw 2 of 2
10:08.0,N. Vucevic misses 2-pt shot from 7 ft,,62-67,,
10:06.0,,,62-67,,Defensive rebound by R. Westbrook
10:03.0,,,62-67,,Turnover by R. Westbrook (bad pass)
9:50.0,A. Gordon makes 2-pt shot from 8 ft (assist by D. Augustin),2,64-67,,
9:34.0,,,64-67,,R. Westbrook misses 3-pt shot from 27 ft
9:33.0,,,64-67,,Offensive rebound by P. George
9:31.0,,,64-67,,P. George misses 3-pt shot from 25 ft
9:27.0,Defensive rebound by J. Simmons,,64-67,,
9:23.0,Shooting foul by P. George (drawn by J. Simmons),,64-67,,
9:23.0,J. Simmons misses free throw 1 of 2,,64-67,,
9:23.0,Offensive rebound by Team,,64-67,,
9:23.0,J. Simmons makes free throw 2 of 2,1,65-67,,
9:06.0,,,65-67,,C. Anthony misses 2-pt shot from 5 ft (block by N. Vucevic)
9:06.0,,,65-67,,Offensive rebound by Team
9:01.0,,,65-67,,P. George misses 3-pt shot from 24 ft
8:58.0,Defensive rebound by N. Vucevic,,65-67,,
8:45.0,N. Vucevic misses 2-pt shot from 3 ft (block by J. Huestis),,65-67,,
8:40.0,,,65-67,,Defensive rebound by P. George
8:39.0,,,65-69,2,P. George makes 2-pt shot from 8 ft
8:39.0,,,65-69,,Shooting foul by E. Fournier (drawn by P. George)
8:39.0,,,65-70,1,P. George makes free throw 1 of 1
8:23.0,J. Simmons makes 2-pt shot from 1 ft,2,67-70,,
8:06.0,,,67-70,,Turnover by R. Westbrook (traveling)
7:50.0,N. Vucevic misses 3-pt shot from 24 ft,,67-70,,
7:48.0,,,67-70,,Defensive rebound by R. Westbrook
7:46.0,,,67-70,,Turnover by R. Westbrook (bad pass; steal by A. Gordon)
7:32.0,Turnover by D. Augustin (traveling),,67-70,,
7:19.0,,,67-72,2,P. George makes 2-pt shot from 4 ft
7:06.0,D. Augustin makes 3-pt shot from 28 ft (assist by N. Vucevic),3,70-72,,
6:39.0,,,70-72,,R. Westbrook misses 2-pt shot from 21 ft
6:37.0,Defensive rebound by A. Gordon,,70-72,,
6:37.0,,,70-72,,Personal take foul by R. Westbrook (drawn by A. Gordon)
6:37.0,,,70-72,,Oklahoma City full timeout
6:19.0,N. Vucevic makes 2-pt shot from 13 ft (assist by A. Gordon),2,72-72,,
6:03.0,,,72-72,,Turnover by R. Westbrook (bad pass; steal by D. Augustin)
6:00.0,A. Gordon misses 2-pt shot from 9 ft,,72-72,,
5:57.0,Offensive rebound by N. Vucevic,,72-72,,
5:57.0,N. Vucevic misses 2-pt shot at rim,,72-72,,
5:56.0,,,72-72,,Defensive rebound by C. Anthony
5:55.0,,,72-72,,Turnover by C. Anthony (lost ball; steal by J. Simmons)
5:42.0,J. Simmons makes 2-pt shot at rim,2,74-72,,
5:30.0,,,74-72,,Shooting foul by J. Simmons (drawn by R. Westbrook)
5:30.0,,,74-73,1,R. Westbrook makes free throw 1 of 2
5:30.0,,,74-73,,T. Ferguson enters the game for J. Huestis
5:30.0,,,74-74,1,R. Westbrook makes free throw 2 of 2
5:09.0,E. Fournier misses 2-pt shot from 15 ft,,74-74,,
5:07.0,Offensive rebound by Team,,74-74,,
4:59.0,A. Gordon misses 2-pt shot at rim (block by S. Adams),,74-74,,
4:54.0,,,74-74,,Defensive rebound by R. Westbrook
4:53.0,,,74-74,,R. Westbrook misses 2-pt shot from 1 ft (block by J. Simmons)
4:49.0,Defensive rebound by A. Gordon,,74-74,,
4:48.0,A. Gordon misses 3-pt shot from 22 ft,,74-74,,
4:45.0,,,74-74,,Defensive rebound by C. Anthony
4:38.0,,,74-74,,C. Anthony misses 2-pt shot from 22 ft
4:36.0,Defensive rebound by A. Gordon,,74-74,,
4:22.0,N. Vucevic misses 2-pt shot from 19 ft,,74-74,,
4:20.0,,,74-74,,Defensive rebound by C. Anthony
4:05.0,,,74-74,,Turnover by S. Adams (bad pass; steal by A. Gordon)
3:45.0,D. Augustin misses 3-pt shot from 24 ft,,74-74,,
3:41.0,,,74-74,,Defensive rebound by P. George
3:35.0,,,74-74,,Shooting foul by N. Vucevic (drawn by P. George)
3:35.0,,,74-75,1,P. George makes free throw 1 of 2
3:35.0,,,74-75,,J. Grant enters the game for S. Adams
3:35.0,Orlando full timeout,,74-75,,
3:35.0,S. Mack enters the game for D. Augustin,,74-75,,
3:35.0,,,74-75,,P. George misses free throw 2 of 2
3:30.0,Defensive rebound by N. Vucevic,,74-75,,
3:14.0,Turnover by E. Fournier (lost ball; steal by C. Anthony),,74-75,,
3:09.0,,,74-75,,P. George misses 3-pt shot from 25 ft
3:06.0,Defensive rebound by A. Gordon,,74-75,,
3:01.0,Shooting foul by R. Westbrook (drawn by A. Gordon),,74-75,,
3:01.0,A. Gordon makes free throw 1 of 2,1,75-75,,
3:01.0,,,75-75,,P. Patterson enters the game for C. Anthony
3:01.0,B. Biyombo enters the game for N. Vucevic,,75-75,,
3:01.0,A. Gordon misses free throw 2 of 2,,75-75,,
2:59.0,,,75-75,,Defensive rebound by P. Patterson
2:45.0,,,75-75,,P. George misses 2-pt shot from 1 ft (block by A. Gordon)
2:43.0,,,75-75,,Offensive rebound by R. Westbrook
2:41.0,,,75-75,,Turnover by J. Grant (lost ball; steal by J. Simmons)
2:29.0,J. Simmons misses 2-pt shot from 6 ft (block by T. Ferguson),,75-75,,
2:25.0,Offensive rebound by J. Simmons,,75-75,,
2:20.0,Shooting foul by T. Ferguson (drawn by J. Simmons),,75-75,,
2:20.0,J. Simmons makes free throw 1 of 2,1,76-75,,
2:20.0,,,76-75,,R. Felton enters the game for R. Westbrook
2:20.0,M. Hezonja enters the game for A. Gordon,,76-75,,
2:20.0,J. Simmons makes free throw 2 of 2,1,77-75,,
2:06.0,,,77-75,,Shooting foul by B. Biyombo (drawn by J. Grant)
2:06.0,,,77-76,1,J. Grant makes free throw 1 of 2
2:06.0,R. Vaughn enters the game for J. Simmons,,77-76,,
2:06.0,,,77-77,1,J. Grant makes free throw 2 of 2
1:50.0,Turnover by B. Biyombo (traveling),,77-77,,
1:33.0,,,77-77,,Turnover by P. George (bad pass; steal by M. Hezonja)
1:15.0,Turnover by S. Mack (bad pass; steal by P. George),,77-77,,
1:11.0,,,77-79,2,T. Ferguson makes 2-pt shot at rim (assist by P. George)
0:45.0,S. Mack misses 2-pt shot from 8 ft,,77-79,,
0:43.0,,,77-79,,Defensive rebound by P. George
0:33.0,,,77-82,3,R. Felton makes 3-pt shot from 25 ft (assist by P. Patterson)
0:27.0,Turnover by S. Mack (bad pass; steal by R. Felton),,77-82,,
0:07.0,,,77-82,,P. George misses 2-pt shot from 4 ft
0:05.0,,,77-82,,Offensive rebound by P. George
0:04.0,,,77-84,2,P. George makes 2-pt shot at rim
0:00.0,S. Mack misses 3-pt shot from 25 ft,,77-84,,
0:00.0,Offensive rebound by Team,,77-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,77-86,2,J. Grant makes 2-pt shot from 1 ft (assist by R. Felton)
11:19.0,M. Hezonja misses 2-pt shot from 13 ft,,77-86,,
11:16.0,,,77-86,,Defensive rebound by J. Huestis
11:07.0,,,77-86,,J. Grant misses 2-pt shot from 2 ft
11:06.0,,,77-86,,Offensive rebound by Team
11:06.0,Loose ball foul by S. Mack (drawn by J. Grant),,77-86,,
10:56.0,,,77-86,,Turnover by R. Felton (bad pass; steal by M. Hezonja)
10:48.0,B. Biyombo makes 2-pt shot from 1 ft (assist by S. Mack),2,79-86,,
10:27.0,,,79-86,,R. Felton misses 2-pt shot at rim
10:25.0,Defensive rebound by M. Hezonja,,79-86,,
10:21.0,M. Hezonja misses 2-pt shot from 3 ft (block by T. Ferguson),,79-86,,
10:21.0,Offensive rebound by Team,,79-86,,
10:21.0,,,79-86,,A. Abrines enters the game for T. Ferguson
10:03.0,W. Iwundu misses 2-pt shot from 11 ft,,79-86,,
9:59.0,Offensive rebound by W. Iwundu,,79-86,,
9:58.0,S. Mack makes 3-pt shot from 25 ft (assist by W. Iwundu),3,82-86,,
9:42.0,,,82-86,,Turnover by R. Felton (bad pass)
9:25.0,Shooting foul by J. Grant (drawn by B. Biyombo),,82-86,,
9:25.0,B. Biyombo misses free throw 1 of 2,,82-86,,
9:25.0,Offensive rebound by Team,,82-86,,
9:25.0,D. Augustin enters the game for R. Vaughn,,82-86,,
9:25.0,B. Biyombo makes free throw 2 of 2,1,83-86,,
9:06.0,,,83-89,3,R. Felton makes 3-pt shot from 22 ft (assist by P. Patterson)
8:47.0,M. Hezonja makes 2-pt shot from 8 ft,2,85-89,,
8:30.0,,,85-92,3,A. Abrines makes 3-pt shot from 25 ft (assist by P. Patterson)
8:11.0,S. Mack makes 2-pt shot at rim,2,87-92,,
7:50.0,,,87-95,3,P. Patterson makes 3-pt shot from 25 ft (assist by R. Felton)
7:27.0,M. Hezonja misses 2-pt shot from 22 ft,,87-95,,
7:23.0,,,87-95,,Defensive rebound by J. Huestis
7:18.0,,,87-97,2,J. Grant makes 2-pt shot from 1 ft (assist by R. Felton)
7:18.0,Orlando full timeout,,87-97,,
7:18.0,,,87-97,,R. Westbrook enters the game for J. Huestis
7:18.0,E. Fournier enters the game for S. Mack,,87-97,,
7:18.0,N. Vucevic enters the game for M. Hezonja,,87-97,,
7:18.0,A. Gordon enters the game for B. Biyombo,,87-97,,
7:18.0,J. Simmons enters the game for W. Iwundu,,87-97,,
7:18.0,,,87-97,,S. Adams enters the game for R. Felton
7:04.0,Shooting foul by R. Westbrook (drawn by E. Fournier),,87-97,,
7:04.0,E. Fournier makes free throw 1 of 2,1,88-97,,
7:04.0,E. Fournier makes free throw 2 of 2,1,89-97,,
6:49.0,,,89-99,2,J. Grant makes 2-pt shot from 1 ft (assist by R. Westbrook)
6:32.0,J. Simmons makes 2-pt shot from 7 ft,2,91-99,,
6:17.0,,,91-101,2,P. Patterson makes 2-pt shot from 2 ft
6:07.0,Offensive foul by D. Augustin (drawn by J. Grant),,91-101,,
6:07.0,Turnover by D. Augustin (offensive foul),,91-101,,
6:07.0,,,91-101,,C. Anthony enters the game for J. Grant
6:07.0,,,91-101,,P. George enters the game for P. Patterson
6:01.0,Personal foul by J. Simmons (drawn by R. Westbrook),,91-101,,
5:55.0,,,91-103,2,R. Westbrook makes 2-pt shot from 16 ft
5:42.0,Turnover by D. Augustin (bad pass; steal by R. Westbrook),,91-103,,
5:38.0,,,91-103,,R. Westbrook misses 2-pt shot from 17 ft
5:37.0,,,91-103,,Offensive rebound by A. Abrines
5:37.0,,,91-103,,A. Abrines misses 2-pt shot at rim
5:35.0,,,91-103,,Offensive rebound by A. Abrines
5:35.0,,,91-103,,Turnover by A. Abrines (bad pass; steal by J. Simmons)
5:29.0,E. Fournier misses 3-pt shot from 26 ft,,91-103,,
5:28.0,Offensive rebound by A. Gordon,,91-103,,
5:25.0,Turnover by D. Augustin (bad pass; steal by A. Abrines),,91-103,,
5:18.0,,,91-103,,Turnover by S. Adams (lost ball; steal by N. Vucevic)
5:12.0,J. Simmons misses 3-pt shot from 26 ft,,91-103,,
5:10.0,,,91-103,,Defensive rebound by C. Anthony
5:05.0,,,91-103,,A. Abrines misses 3-pt shot from 24 ft
5:02.0,Defensive rebound by A. Gordon,,91-103,,
4:56.0,Orlando full timeout,,91-103,,
4:47.0,A. Gordon misses 3-pt shot from 25 ft,,91-103,,
4:45.0,,,91-103,,Defensive rebound by Team
4:30.0,,,91-103,,S. Adams misses 2-pt shot from 2 ft (block by A. Gordon)
4:30.0,Defensive rebound by Team,,91-103,,
4:16.0,D. Augustin makes 2-pt shot from 1 ft,2,93-103,,
4:00.0,,,93-103,,C. Anthony misses 2-pt shot from 9 ft
3:55.0,Defensive rebound by E. Fournier,,93-103,,
3:52.0,D. Augustin misses 3-pt shot from 25 ft,,93-103,,
3:44.0,,,93-103,,Defensive rebound by R. Westbrook
3:43.0,,,93-103,,Turnover by R. Westbrook (bad pass)
3:32.0,Turnover by E. Fournier (discontinued dribble),,93-103,,
3:32.0,,,93-103,,Oklahoma City full timeout
3:22.0,,,93-103,,Turnover by R. Westbrook (out of bounds lost ball)
2:59.0,E. Fournier makes 3-pt shot from 24 ft (assist by D. Augustin),3,96-103,,
2:53.0,Personal foul by J. Simmons (drawn by R. Westbrook),,96-103,,
2:33.0,,,96-105,2,P. George makes 2-pt shot from 1 ft
2:22.0,E. Fournier makes 3-pt shot from 26 ft,3,99-105,,
1:59.0,,,99-105,,P. George misses 2-pt shot from 21 ft
1:55.0,Defensive rebound by D. Augustin,,99-105,,
