time,Cleveland,pts.away,score,pts.home,Brooklyn
2:22.0,L. James makes 2-pt shot from 3 ft,2,21-19,,
2:03.0,,,21-22,3,S. Dinwiddie makes 3-pt shot from 25 ft
2:03.0,,,21-22,,Shooting foul by T. Thompson (drawn by S. Dinwiddie)
2:03.0,,,21-23,1,S. Dinwiddie makes free throw 1 of 1
1:45.0,J. Smith makes 2-pt shot from 18 ft,2,23-23,,
1:26.0,,,23-25,2,D. Carroll makes 2-pt shot from 1 ft (assist by J. Harris)
1:16.0,L. James misses 3-pt shot from 24 ft,,23-25,,
1:13.0,,,23-25,,Defensive rebound by S. Dinwiddie
1:00.0,,,23-25,,D. Carroll misses 3-pt shot from 23 ft
0:57.0,Defensive rebound by T. Thompson,,23-25,,
0:51.0,J. Clarkson misses 2-pt shot from 16 ft,,23-25,,
0:51.0,,,23-25,,Defensive rebound by C. LeVert
0:42.0,,,23-25,,Shooting foul by J. Smith (drawn by S. Dinwiddie)
0:42.0,,,23-26,1,S. Dinwiddie makes free throw 1 of 2
0:42.0,,,23-27,1,S. Dinwiddie makes free throw 2 of 2
0:28.0,R. Hood makes 3-pt shot from 23 ft (assist by L. James),3,26-27,,
0:10.0,Violation by J. Clarkson (def goaltending),,26-27,,
0:10.0,,,26-29,2,J. Harris makes 2-pt shot from 2 ft (assist by C. LeVert)
0:04.0,L. James makes 2-pt shot from 1 ft,2,28-29,,
0:00.0,,,28-29,,Shooting foul by L. James (drawn by D. Carroll)
0:00.0,,,28-30,1,D. Carroll makes free throw 1 of 2
0:00.0,,,28-30,,D. Carroll misses free throw 2 of 2
0:00.0,,,28-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,J. Smith misses 2-pt shot from 18 ft,,28-30,,
11:38.0,,,28-30,,Defensive rebound by C. LeVert
11:32.0,,,28-30,,J. Harris misses 2-pt shot from 2 ft
11:29.0,Defensive rebound by K. Love,,28-30,,
11:29.0,Turnover by K. Love (bad pass; steal by S. Dinwiddie),,28-30,,
11:26.0,,,28-30,,D. Carroll misses 2-pt shot from 1 ft
11:23.0,,,28-30,,Offensive rebound by S. Dinwiddie
11:18.0,,,28-30,,D. Carroll misses 3-pt shot from 22 ft
11:15.0,Defensive rebound by K. Love,,28-30,,
11:09.0,Offensive foul by T. Thompson (drawn by J. Allen),,28-30,,
11:09.0,Turnover by T. Thompson (offensive foul),,28-30,,
10:52.0,,,28-30,,D. Carroll misses 3-pt shot from 25 ft
10:47.0,Defensive rebound by J. Smith,,28-30,,
10:41.0,K. Love makes 2-pt shot from 6 ft (assist by R. Hood),2,30-30,,
10:26.0,,,30-33,3,J. Harris makes 3-pt shot from 25 ft (assist by C. LeVert)
10:12.0,J. Clarkson makes 2-pt shot from 16 ft,2,32-33,,
9:54.0,,,32-33,,S. Dinwiddie misses 2-pt shot from 11 ft
9:52.0,Defensive rebound by T. Thompson,,32-33,,
9:42.0,T. Thompson makes 2-pt shot from 14 ft (assist by K. Love),2,34-33,,
9:21.0,,,34-33,,Shooting foul by R. Hood (drawn by J. Allen)
9:21.0,,,34-34,1,J. Allen makes free throw 1 of 2
9:21.0,J. Holland enters the game for T. Thompson,,34-34,,
9:21.0,,,34-35,1,J. Allen makes free throw 2 of 2
9:14.0,R. Hood misses 3-pt shot from 25 ft,,34-35,,
9:11.0,,,34-35,,Defensive rebound by J. Harris
9:02.0,,,34-38,3,J. Harris makes 3-pt shot from 23 ft (assist by D. Carroll)
8:50.0,J. Clarkson makes 2-pt shot from 2 ft,2,36-38,,
8:35.0,,,36-40,2,J. Allen makes 2-pt shot at rim (assist by S. Dinwiddie)
8:18.0,K. Love misses 3-pt shot from 24 ft,,36-40,,
8:16.0,,,36-40,,Defensive rebound by J. Harris
8:04.0,,,36-43,3,J. Harris makes 3-pt shot from 26 ft (assist by S. Dinwiddie)
7:51.0,Cleveland full timeout,,36-43,,
7:51.0,J. Calderon enters the game for R. Hood,,36-43,,
7:51.0,L. James enters the game for J. Clarkson,,36-43,,
7:46.0,L. James makes 2-pt shot from 1 ft (assist by J. Calderon),2,38-43,,
7:46.0,Shooting foul by D. Carroll (drawn by L. James),,38-43,,
7:46.0,L. James makes free throw 1 of 1,1,39-43,,
7:38.0,Personal foul by J. Holland (drawn by J. Harris),,39-43,,
7:31.0,,,39-43,,C. LeVert misses 3-pt shot from 25 ft
7:29.0,Defensive rebound by K. Love,,39-43,,
7:25.0,J. Smith misses 3-pt shot from 22 ft,,39-43,,
7:22.0,,,39-43,,Defensive rebound by D. Carroll
7:15.0,,,39-45,2,J. Harris makes 2-pt shot from 1 ft (assist by D. Carroll)
7:08.0,J. Smith misses 3-pt shot from 24 ft,,39-45,,
7:04.0,,,39-45,,Defensive rebound by J. Allen
6:44.0,,,39-45,,D. Russell enters the game for S. Dinwiddie
6:44.0,,,39-45,,R. Hollis-Jefferson enters the game for D. Carroll
6:44.0,L. Nance enters the game for J. Smith,,39-45,,
6:44.0,G. Hill enters the game for J. Holland,,39-45,,
6:44.0,,,39-45,,R. Hollis-Jefferson misses 2-pt shot from 12 ft
6:43.0,,,39-45,,Offensive rebound by Team
6:43.0,,,39-45,,Turnover by Team (shot clock)
6:29.0,,,39-45,,Def 3 sec tech foul by J. Allen
6:29.0,K. Love makes technical free throw,1,40-45,,
6:26.0,Turnover by K. Love (bad pass),,40-45,,
6:05.0,,,40-47,2,J. Harris makes 2-pt shot from 1 ft
5:59.0,Shooting foul by R. Hollis-Jefferson (drawn by G. Hill),,40-47,,
5:59.0,G. Hill makes free throw 1 of 2,1,41-47,,
5:59.0,G. Hill makes free throw 2 of 2,1,42-47,,
5:37.0,,,42-49,2,C. LeVert makes 2-pt shot from 10 ft
5:29.0,L. James makes 2-pt shot from 2 ft,2,44-49,,
5:29.0,Shooting foul by C. LeVert (drawn by L. James),,44-49,,
5:29.0,,,44-49,,A. Crabbe enters the game for J. Harris
5:29.0,L. James makes free throw 1 of 1,1,45-49,,
5:07.0,,,45-49,,Shooting foul by L. Nance (drawn by C. LeVert)
5:07.0,,,45-50,1,C. LeVert makes free throw 1 of 2
5:07.0,J. Clarkson enters the game for L. Nance,,45-50,,
5:07.0,,,45-51,1,C. LeVert makes free throw 2 of 2
4:46.0,K. Love makes 3-pt shot from 26 ft (assist by J. Calderon),3,48-51,,
4:25.0,,,48-51,,A. Crabbe misses 3-pt shot from 26 ft
4:21.0,Defensive rebound by K. Love,,48-51,,
4:14.0,L. James makes 2-pt shot at rim,2,50-51,,
4:08.0,,,50-51,,Brooklyn full timeout
4:08.0,,,50-51,,D. Cunningham enters the game for J. Allen
3:59.0,,,50-51,,Shooting foul by K. Love (drawn by D. Cunningham)
3:59.0,,,50-51,,D. Cunningham misses free throw 1 of 2
3:59.0,,,50-51,,Offensive rebound by Team
3:59.0,,,50-52,1,D. Cunningham makes free throw 2 of 2
3:47.0,Shooting foul by R. Hollis-Jefferson (drawn by L. James),,50-52,,
3:47.0,R. Hood enters the game for J. Calderon,,50-52,,
3:47.0,L. James makes free throw 1 of 2,1,51-52,,
3:47.0,,,51-52,,S. Dinwiddie enters the game for C. LeVert
3:47.0,L. James makes free throw 2 of 2,1,52-52,,
3:22.0,,,52-52,,D. Cunningham misses 2-pt shot from 7 ft
3:20.0,Defensive rebound by R. Hood,,52-52,,
3:18.0,,,52-52,,Personal foul by S. Dinwiddie (drawn by K. Love)
3:18.0,K. Love makes free throw 1 of 2,1,53-52,,
3:18.0,K. Love makes free throw 2 of 2,1,54-52,,
3:08.0,,,54-52,,D. Russell misses 2-pt shot from 8 ft
3:05.0,Defensive rebound by L. James,,54-52,,
2:53.0,G. Hill misses 2-pt shot from 4 ft (block by A. Crabbe),,54-52,,
2:52.0,Offensive rebound by G. Hill,,54-52,,
2:51.0,Turnover by G. Hill (step out of bounds),,54-52,,
2:51.0,T. Thompson enters the game for K. Love,,54-52,,
2:36.0,,,54-52,,Turnover by D. Russell (bad pass; steal by R. Hood)
2:35.0,,,54-52,,Personal foul by D. Russell (drawn by R. Hood)
2:35.0,R. Hood makes free throw 1 of 2,1,55-52,,
2:35.0,,,55-52,,J. Harris enters the game for D. Russell
2:35.0,R. Hood misses free throw 2 of 2,,55-52,,
2:33.0,,,55-52,,Defensive rebound by R. Hollis-Jefferson
2:25.0,,,55-55,3,S. Dinwiddie makes 3-pt shot from 25 ft (assist by R. Hollis-Jefferson)
2:10.0,J. Clarkson misses 3-pt shot from 24 ft,,55-55,,
2:08.0,,,55-55,,Defensive rebound by Team
1:47.0,,,55-55,,S. Dinwiddie misses 3-pt shot from 24 ft
1:45.0,Defensive rebound by T. Thompson,,55-55,,
1:42.0,,,55-55,,C. LeVert enters the game for S. Dinwiddie
1:34.0,J. Clarkson makes 2-pt shot from 3 ft (assist by T. Thompson),2,57-55,,
1:18.0,,,57-57,2,R. Hollis-Jefferson makes 2-pt shot from 17 ft
1:04.0,L. James misses 3-pt shot from 24 ft,,57-57,,
1:01.0,,,57-57,,Defensive rebound by A. Crabbe
0:52.0,,,57-59,2,J. Harris makes 2-pt shot at rim (assist by A. Crabbe)
0:34.0,J. Clarkson misses 2-pt shot from 18 ft,,57-59,,
0:31.0,,,57-59,,Defensive rebound by R. Hollis-Jefferson
0:20.0,,,57-62,3,D. Cunningham makes 3-pt shot from 23 ft (assist by C. LeVert)
0:00.0,G. Hill makes 3-pt shot from 21 ft (assist by L. James),3,60-62,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,J. Calderon misses 2-pt shot from 13 ft,,60-62,,
11:42.0,Offensive rebound by J. Calderon,,60-62,,
11:42.0,J. Calderon misses 2-pt shot at rim,,60-62,,
11:41.0,,,60-62,,Defensive rebound by J. Allen
11:34.0,,,60-64,2,A. Crabbe makes 2-pt shot from 7 ft (assist by D. Carroll)
11:13.0,J. Calderon misses 2-pt shot from 18 ft,,60-64,,
11:11.0,,,60-64,,Defensive rebound by A. Crabbe
11:01.0,,,60-66,2,R. Hollis-Jefferson makes 2-pt shot from 9 ft
10:45.0,,,60-66,,Personal foul by A. Crabbe (drawn by L. Nance)
10:39.0,L. Nance makes 2-pt shot from 6 ft (assist by J. Calderon),2,62-66,,
10:17.0,,,62-68,2,R. Hollis-Jefferson makes 2-pt shot at rim
10:17.0,,,62-68,,Shooting foul by J. Calderon (drawn by R. Hollis-Jefferson)
10:17.0,,,62-69,1,R. Hollis-Jefferson makes free throw 1 of 1
10:02.0,G. Hill makes 3-pt shot from 22 ft (assist by L. James),3,65-69,,
9:49.0,,,65-69,,Turnover by D. Russell (bad pass; steal by L. Nance)
9:47.0,Shooting foul by D. Carroll (drawn by L. James),,65-69,,
9:47.0,L. James makes free throw 1 of 2,1,66-69,,
9:47.0,L. James makes free throw 2 of 2,1,67-69,,
9:35.0,,,67-69,,R. Hollis-Jefferson misses 2-pt shot from 16 ft
9:30.0,Defensive rebound by K. Love,,67-69,,
9:25.0,Turnover by L. James (bad pass; steal by R. Hollis-Jefferson),,67-69,,
9:21.0,,,67-71,2,D. Carroll makes 2-pt shot at rim (assist by R. Hollis-Jefferson)
9:03.0,L. James makes 2-pt shot from 2 ft (assist by K. Love),2,69-71,,
8:44.0,,,69-71,,Shooting foul by L. Nance (drawn by R. Hollis-Jefferson)
8:44.0,,,69-72,1,R. Hollis-Jefferson makes free throw 1 of 2
8:44.0,,,69-72,,R. Hollis-Jefferson misses free throw 2 of 2
8:42.0,Defensive rebound by L. Nance,,69-72,,
8:37.0,K. Love misses 3-pt shot from 25 ft,,69-72,,
8:36.0,Offensive rebound by Team,,69-72,,
8:31.0,K. Love misses 3-pt shot from 24 ft,,69-72,,
8:28.0,,,69-72,,Defensive rebound by J. Allen
8:13.0,,,69-72,,A. Crabbe misses 2-pt shot from 8 ft
8:09.0,Defensive rebound by K. Love,,69-72,,
8:08.0,,,69-72,,Personal block foul by D. Russell (drawn by G. Hill)
8:08.0,,,69-72,,C. LeVert enters the game for D. Russell
7:58.0,,,69-72,,Personal foul by C. LeVert (drawn by K. Love)
7:47.0,J. Calderon misses 3-pt shot from 24 ft,,69-72,,
7:45.0,,,69-72,,Defensive rebound by A. Crabbe
7:38.0,,,69-72,,A. Crabbe misses 3-pt shot from 24 ft
7:36.0,,,69-72,,Offensive rebound by R. Hollis-Jefferson
7:32.0,,,69-75,3,D. Carroll makes 3-pt shot from 24 ft (assist by C. LeVert)
7:14.0,Turnover by K. Love (bad pass; steal by D. Carroll),,69-75,,
7:14.0,Personal foul by J. Calderon (drawn by R. Hollis-Jefferson),,69-75,,
7:14.0,R. Hood enters the game for J. Calderon,,69-75,,
7:04.0,,,69-78,3,A. Crabbe makes 3-pt shot from 26 ft (assist by C. LeVert)
6:38.0,R. Hood misses 2-pt shot from 7 ft,,69-78,,
6:36.0,,,69-78,,Defensive rebound by C. LeVert
6:24.0,,,69-78,,R. Hollis-Jefferson misses 2-pt shot from 15 ft
6:22.0,Defensive rebound by K. Love,,69-78,,
6:18.0,,,69-78,,Personal block foul by R. Hollis-Jefferson (drawn by L. James)
6:18.0,,,69-78,,Brooklyn full timeout
6:18.0,L. James makes free throw 1 of 2,1,70-78,,
6:18.0,L. James makes free throw 2 of 2,1,71-78,,
6:04.0,,,71-78,,C. LeVert misses 2-pt shot from 7 ft (block by G. Hill)
5:59.0,Defensive rebound by K. Love,,71-78,,
5:53.0,Shooting foul by D. Carroll (drawn by L. James),,71-78,,
5:53.0,L. James misses free throw 1 of 2,,71-78,,
5:53.0,Offensive rebound by Team,,71-78,,
5:53.0,L. James misses free throw 2 of 2,,71-78,,
5:50.0,,,71-78,,Defensive rebound by C. LeVert
5:30.0,,,71-80,2,C. LeVert makes 2-pt shot from 1 ft
5:23.0,K. Love makes 3-pt shot from 24 ft (assist by R. Hood),3,74-80,,
5:10.0,,,74-80,,C. LeVert misses 3-pt shot from 24 ft
5:08.0,Defensive rebound by K. Love,,74-80,,
4:51.0,G. Hill makes 3-pt shot from 22 ft (assist by L. James),3,77-80,,
4:36.0,,,77-80,,A. Crabbe misses 2-pt shot from 23 ft
4:33.0,Defensive rebound by G. Hill,,77-80,,
4:29.0,G. Hill makes 2-pt shot from 1 ft,2,79-80,,
4:29.0,,,79-80,,Brooklyn full timeout
4:29.0,,,79-80,,S. Dinwiddie enters the game for D. Carroll
4:29.0,,,79-80,,J. Harris enters the game for J. Allen
4:29.0,,,79-80,,D. Cunningham enters the game for A. Crabbe
4:29.0,J. Smith enters the game for K. Love,,79-80,,
4:09.0,,,79-82,2,R. Hollis-Jefferson makes 2-pt shot from 10 ft
3:51.0,L. Nance misses 2-pt shot from 21 ft,,79-82,,
3:47.0,,,79-82,,Defensive rebound by S. Dinwiddie
3:33.0,,,79-84,2,J. Harris makes 2-pt shot from 1 ft (assist by R. Hollis-Jefferson)
3:21.0,L. James misses 3-pt shot from 24 ft,,79-84,,
3:18.0,,,79-84,,Defensive rebound by J. Harris
3:12.0,,,79-84,,Turnover by J. Harris (bad pass; steal by G. Hill)
3:06.0,G. Hill misses 2-pt shot from 9 ft,,79-84,,
3:03.0,,,79-84,,Defensive rebound by D. Cunningham
2:59.0,,,79-84,,J. Harris misses 3-pt shot from 22 ft
2:54.0,Defensive rebound by J. Smith,,79-84,,
2:48.0,Turnover by J. Smith (bad pass; steal by J. Harris),,79-84,,
2:38.0,,,79-84,,S. Dinwiddie misses 3-pt shot from 24 ft
2:34.0,Defensive rebound by G. Hill,,79-84,,
2:28.0,Cleveland full timeout,,79-84,,
2:28.0,T. Thompson enters the game for G. Hill,,79-84,,
2:28.0,J. Clarkson enters the game for L. Nance,,79-84,,
2:28.0,,,79-84,,D. Carroll enters the game for R. Hollis-Jefferson
2:12.0,J. Smith makes 2-pt shot from 19 ft,2,81-84,,
1:48.0,,,81-84,,D. Cunningham misses 2-pt shot from 1 ft
1:46.0,Defensive rebound by L. James,,81-84,,
1:37.0,R. Hood misses 2-pt shot from 7 ft,,81-84,,
1:36.0,Offensive rebound by T. Thompson,,81-84,,
1:35.0,T. Thompson misses 2-pt shot at rim,,81-84,,
1:34.0,Offensive rebound by T. Thompson,,81-84,,
1:33.0,T. Thompson makes 2-pt shot from 2 ft,2,83-84,,
1:09.0,,,83-84,,S. Dinwiddie misses 2-pt shot from 8 ft
1:05.0,Defensive rebound by L. James,,83-84,,
0:58.0,J. Clarkson misses 3-pt shot from 22 ft,,83-84,,
0:54.0,,,83-84,,Defensive rebound by D. Carroll
0:47.0,,,83-84,,C. LeVert misses 2-pt shot from 1 ft
0:45.0,,,83-84,,Offensive rebound by D. Cunningham
0:43.0,,,83-87,3,J. Harris makes 3-pt shot from 25 ft (assist by D. Cunningham)
0:37.0,L. James makes 2-pt shot at rim,2,85-87,,
0:31.0,,,85-89,2,S. Dinwiddie makes 2-pt shot from 1 ft
0:12.0,J. Clarkson makes 2-pt shot from 6 ft,2,87-89,,
0:05.0,Personal take foul by J. Clarkson (drawn by C. LeVert),,87-89,,
0:05.0,G. Hill enters the game for L. James,,87-89,,
0:03.0,,,87-89,,D. Cunningham misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by T. Thompson,,87-89,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,87-91,2,C. LeVert makes 2-pt shot from 1 ft
11:26.0,J. Clarkson makes 3-pt shot from 24 ft (assist by G. Hill),3,90-91,,
11:03.0,,,90-91,,C. LeVert misses 2-pt shot from 7 ft
10:59.0,Defensive rebound by T. Thompson,,90-91,,
10:52.0,J. Clarkson misses 2-pt shot from 8 ft,,90-91,,
10:50.0,,,90-91,,Defensive rebound by J. Harris
10:32.0,,,90-93,2,S. Dinwiddie makes 2-pt shot from 1 ft (assist by C. LeVert)
10:19.0,J. Clarkson misses 2-pt shot from 10 ft,,90-93,,
10:17.0,Offensive rebound by T. Thompson,,90-93,,
10:17.0,,,90-93,,Personal foul by C. LeVert (drawn by T. Thompson)
10:10.0,Turnover by J. Smith (bad pass; steal by D. Carroll),,90-93,,
10:04.0,,,90-95,2,D. Cunningham makes 2-pt shot from 1 ft (assist by D. Carroll)
10:03.0,Cleveland full timeout,,90-95,,
9:52.0,R. Hood makes 2-pt shot from 7 ft (assist by G. Hill),2,92-95,,
9:29.0,,,92-95,,C. LeVert misses 2-pt shot from 1 ft
9:27.0,Defensive rebound by T. Thompson,,92-95,,
9:20.0,Shooting foul by J. Harris (drawn by J. Clarkson),,92-95,,
9:20.0,J. Clarkson makes free throw 1 of 3,1,93-95,,
9:20.0,J. Clarkson makes free throw 2 of 3,1,94-95,,
9:20.0,,,94-95,,D. Russell enters the game for C. LeVert
9:20.0,J. Clarkson makes free throw 3 of 3,1,95-95,,
9:02.0,,,95-95,,D. Carroll misses 2-pt shot from 20 ft
8:58.0,Defensive rebound by T. Thompson,,95-95,,
8:39.0,R. Hood makes 2-pt shot from 17 ft,2,97-95,,
8:15.0,,,97-98,3,S. Dinwiddie makes 3-pt shot from 25 ft (assist by D. Cunningham)
7:51.0,R. Hood misses 3-pt shot from 24 ft,,97-98,,
7:51.0,,,97-98,,Defensive rebound by Team
7:51.0,,,97-98,,R. Hollis-Jefferson enters the game for D. Carroll
7:51.0,K. Love enters the game for T. Thompson,,97-98,,
7:40.0,,,97-98,,Offensive charge foul by D. Cunningham (drawn by R. Hood)
7:40.0,,,97-98,,Turnover by D. Cunningham (offensive foul)
7:26.0,J. Clarkson makes 2-pt shot from 1 ft (assist by K. Love),2,99-98,,
6:58.0,,,99-98,,S. Dinwiddie misses 2-pt shot from 1 ft
6:56.0,Defensive rebound by J. Smith,,99-98,,
6:49.0,K. Love misses 2-pt shot from 5 ft,,99-98,,
6:45.0,,,99-98,,Defensive rebound by R. Hollis-Jefferson
6:28.0,,,99-98,,R. Hollis-Jefferson misses 2-pt shot from 2 ft
6:25.0,,,99-98,,Offensive rebound by J. Harris
6:22.0,,,99-98,,J. Harris misses 2-pt shot from 2 ft (block by R. Hood)
6:19.0,,,99-98,,Offensive rebound by S. Dinwiddie
6:18.0,,,99-98,,D. Cunningham misses 3-pt shot from 24 ft
6:17.0,,,99-98,,Offensive rebound by J. Harris
6:17.0,,,99-98,,Shooting foul by R. Hood (drawn by J. Harris)
6:17.0,,,99-99,1,J. Harris makes free throw 1 of 2
6:17.0,L. James enters the game for J. Smith,,99-99,,
6:17.0,,,99-100,1,J. Harris makes free throw 2 of 2
5:58.0,G. Hill makes 2-pt shot from 2 ft (assist by L. James),2,101-100,,
5:49.0,,,101-100,,Turnover by D. Russell (bad pass)
5:49.0,,,101-100,,A. Crabbe enters the game for J. Harris
5:40.0,L. James makes 2-pt shot at rim (assist by G. Hill),2,103-100,,
5:27.0,,,103-100,,S. Dinwiddie misses 3-pt shot from 24 ft
5:25.0,Defensive rebound by R. Hood,,103-100,,
5:16.0,R. Hood makes 2-pt shot from 9 ft,2,105-100,,
5:15.0,,,105-100,,Brooklyn full timeout
5:15.0,,,105-100,,C. LeVert enters the game for S. Dinwiddie
5:15.0,,,105-100,,D. Carroll enters the game for D. Cunningham
5:03.0,,,105-100,,A. Crabbe misses 3-pt shot from 24 ft
