time,Portland,pts.away,score,pts.home,Miami
8:46.0,A. Aminu misses 3-pt shot from 25 ft,,54-67,,
8:43.0,,,54-67,,Defensive rebound by G. Dragic
8:30.0,,,54-70,3,D. Waiters makes 3-pt shot from 22 ft (assist by J. Johnson)
8:10.0,C. McCollum makes 2-pt shot from 18 ft,2,56-70,,
7:57.0,,,56-70,,K. Olynyk misses 3-pt shot from 24 ft
7:55.0,Defensive rebound by A. Aminu,,56-70,,
7:48.0,Shooting foul by K. Olynyk (drawn by D. Lillard),,56-70,,
7:48.0,D. Lillard makes free throw 1 of 2,1,57-70,,
7:48.0,D. Lillard makes free throw 2 of 2,1,58-70,,
7:39.0,,,58-70,,J. Richardson misses 3-pt shot from 22 ft
7:37.0,Defensive rebound by E. Turner,,58-70,,
7:26.0,E. Turner misses 2-pt shot from 7 ft,,58-70,,
7:23.0,,,58-70,,Defensive rebound by J. Johnson
7:15.0,,,58-70,,D. Waiters misses 2-pt shot from 12 ft
7:13.0,,,58-70,,Offensive rebound by J. Johnson
7:11.0,Personal foul by C. McCollum (drawn by K. Olynyk),,58-70,,
7:00.0,,,58-70,,D. Waiters misses 2-pt shot from 9 ft
6:58.0,Defensive rebound by Z. Collins,,58-70,,
6:53.0,Shooting foul by J. Johnson (drawn by Z. Collins),,58-70,,
6:53.0,,,58-70,,Miami full timeout
6:53.0,Z. Collins misses free throw 1 of 2,,58-70,,
6:53.0,Offensive rebound by Team,,58-70,,
6:53.0,Z. Collins misses free throw 2 of 2,,58-70,,
6:51.0,,,58-70,,Defensive rebound by K. Olynyk
6:28.0,,,58-70,,D. Waiters misses 2-pt shot from 20 ft
6:24.0,Defensive rebound by A. Aminu,,58-70,,
6:18.0,C. McCollum makes 2-pt shot from 1 ft,2,60-70,,
5:56.0,,,60-70,,G. Dragic misses 2-pt shot from 10 ft
5:56.0,,,60-70,,Offensive rebound by Team
5:56.0,,,60-70,,B. Adebayo enters the game for K. Olynyk
5:56.0,,,60-70,,W. Ellington enters the game for G. Dragic
5:44.0,Personal foul by A. Aminu (drawn by J. Richardson),,60-70,,
5:39.0,Personal foul by Z. Collins (drawn by D. Waiters),,60-70,,
5:26.0,,,60-70,,J. Johnson misses 3-pt shot from 25 ft
5:22.0,,,60-70,,Offensive rebound by W. Ellington
5:19.0,,,60-70,,Shooting foul by Z. Collins (drawn by B. Adebayo)
5:19.0,,,60-70,,B. Adebayo misses free throw 1 of 2
5:19.0,,,60-70,,Offensive rebound by Team
5:19.0,E. Davis enters the game for Z. Collins,,60-70,,
5:19.0,,,60-71,1,B. Adebayo makes free throw 2 of 2
4:57.0,D. Lillard makes 2-pt shot from 15 ft,2,62-71,,
4:46.0,,,62-71,,Offensive foul by B. Adebayo (drawn by D. Lillard)
4:46.0,,,62-71,,Turnover by B. Adebayo (offensive foul)
4:26.0,C. McCollum misses 3-pt shot from 25 ft,,62-71,,
4:25.0,,,62-71,,Defensive rebound by J. Johnson
4:24.0,,,62-71,,W. Ellington misses 3-pt shot from 24 ft
4:23.0,,,62-71,,Offensive rebound by B. Adebayo
4:02.0,,,62-71,,Turnover by D. Waiters (out of bounds lost ball)
3:47.0,,,62-71,,Personal foul by J. Johnson (drawn by E. Davis)
3:47.0,,,62-71,,K. Olynyk enters the game for J. Johnson
3:47.0,N. Vonleh enters the game for A. Aminu,,62-71,,
3:37.0,E. Turner makes 2-pt shot from 13 ft,2,64-71,,
3:11.0,,,64-71,,Turnover by B. Adebayo (lost ball; steal by E. Davis)
3:05.0,E. Davis makes 2-pt shot at rim (assist by D. Lillard),2,66-71,,
2:44.0,,,66-73,2,K. Olynyk makes 2-pt shot from 9 ft
2:43.0,Portland full timeout,,66-73,,
2:43.0,,,66-73,,G. Dragic enters the game for D. Waiters
2:43.0,S. Napier enters the game for C. McCollum,,66-73,,
2:25.0,D. Lillard misses 3-pt shot from 26 ft,,66-73,,
2:21.0,,,66-73,,Defensive rebound by W. Ellington
2:07.0,,,66-73,,Shooting foul by E. Davis (drawn by B. Adebayo)
2:07.0,,,66-74,1,B. Adebayo makes free throw 1 of 2
2:07.0,,,66-75,1,B. Adebayo makes free throw 2 of 2
1:44.0,E. Turner makes 2-pt shot from 13 ft,2,68-75,,
1:15.0,,,68-75,,W. Ellington misses 3-pt shot from 25 ft
1:13.0,,,68-75,,Offensive rebound by G. Dragic
1:13.0,,,68-75,,Shooting foul by S. Napier (drawn by G. Dragic)
1:13.0,,,68-75,,G. Dragic misses free throw 1 of 2
1:13.0,,,68-75,,Offensive rebound by Team
1:13.0,P. Connaughton enters the game for E. Turner,,68-75,,
1:13.0,,,68-76,1,G. Dragic makes free throw 2 of 2
1:01.0,D. Lillard misses 2-pt shot from 12 ft,,68-76,,
1:01.0,Offensive rebound by E. Davis,,68-76,,
0:59.0,Shooting foul by K. Olynyk (drawn by E. Davis),,68-76,,
0:59.0,E. Davis makes free throw 1 of 2,1,69-76,,
0:59.0,E. Davis makes free throw 2 of 2,1,70-76,,
0:40.0,,,70-78,2,G. Dragic makes 2-pt shot from 1 ft
0:28.0,Turnover by N. Vonleh (bad pass; steal by W. Ellington),,70-78,,
0:14.0,Personal foul by P. Connaughton (drawn by G. Dragic),,70-78,,
0:14.0,,,70-78,,G. Dragic misses free throw 1 of 2
0:14.0,,,70-78,,Offensive rebound by Team
0:14.0,C. McCollum enters the game for N. Vonleh,,70-78,,
0:14.0,,,70-79,1,G. Dragic makes free throw 2 of 2
0:01.0,D. Lillard misses 2-pt shot from 7 ft (block by W. Ellington),,70-79,,
0:00.0,,,70-79,,Defensive rebound by K. Olynyk
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,S. Napier makes 2-pt shot at rim,2,72-79,,
11:23.0,,,72-79,,G. Dragic misses 2-pt shot from 18 ft
11:18.0,Defensive rebound by E. Davis,,72-79,,
11:16.0,,,72-79,,Personal block foul by D. Waiters (drawn by C. McCollum)
11:09.0,A. Aminu makes 3-pt shot from 23 ft (assist by C. McCollum),3,75-79,,
10:53.0,,,75-81,2,D. Waiters makes 2-pt shot from 20 ft
10:32.0,P. Connaughton makes 2-pt shot from 1 ft,2,77-81,,
10:14.0,,,77-81,,D. Waiters misses 2-pt shot from 17 ft
10:10.0,Defensive rebound by A. Aminu,,77-81,,
10:03.0,C. McCollum misses 2-pt shot from 7 ft,,77-81,,
10:03.0,Offensive rebound by Team,,77-81,,
10:03.0,,,77-81,,J. Johnson enters the game for K. Olynyk
9:56.0,E. Davis makes 2-pt shot at rim (assist by C. McCollum),2,79-81,,
9:46.0,,,79-81,,Miami full timeout
9:31.0,,,79-81,,Shooting foul by E. Davis (drawn by B. Adebayo)
9:31.0,,,79-82,1,B. Adebayo makes free throw 1 of 2
9:31.0,,,79-83,1,B. Adebayo makes free throw 2 of 2
9:17.0,,,79-83,,Violation by D. Waiters (kicked ball)
9:09.0,A. Aminu misses 3-pt shot from 25 ft,,79-83,,
9:07.0,,,79-83,,Defensive rebound by Team
8:45.0,,,79-83,,Turnover by J. Johnson (lost ball; steal by C. McCollum)
8:40.0,P. Connaughton misses 3-pt shot from 25 ft,,79-83,,
8:34.0,,,79-83,,Defensive rebound by G. Dragic
8:29.0,,,79-85,2,D. Waiters makes 2-pt shot at rim
8:09.0,C. McCollum misses 2-pt shot from 17 ft,,79-85,,
8:06.0,Offensive rebound by P. Connaughton,,79-85,,
8:03.0,A. Aminu makes 3-pt shot from 23 ft (assist by P. Connaughton),3,82-85,,
7:46.0,,,82-85,,Shooting foul by C. McCollum (drawn by D. Waiters)
7:46.0,,,82-86,1,D. Waiters makes free throw 1 of 2
7:46.0,,,82-86,,J. Richardson enters the game for G. Dragic
7:46.0,D. Lillard enters the game for P. Connaughton,,82-86,,
7:46.0,,,82-86,,D. Waiters misses free throw 2 of 2
7:43.0,Defensive rebound by A. Aminu,,82-86,,
7:30.0,C. McCollum makes 2-pt shot from 18 ft,2,84-86,,
7:10.0,,,84-86,,D. Waiters misses 3-pt shot from 23 ft
7:07.0,Defensive rebound by A. Aminu,,84-86,,
7:04.0,,,84-86,,Personal foul by J. Richardson (drawn by D. Lillard)
6:48.0,D. Lillard makes 2-pt shot at rim,2,86-86,,
6:31.0,,,86-88,2,J. Johnson makes 2-pt shot from 14 ft
6:10.0,E. Davis makes 2-pt shot from 3 ft,2,88-88,,
6:10.0,Shooting foul by B. Adebayo (drawn by E. Davis),,88-88,,
6:10.0,E. Davis makes free throw 1 of 1,1,89-88,,
5:56.0,,,89-91,3,W. Ellington makes 3-pt shot from 25 ft (assist by B. Adebayo)
5:56.0,Portland full timeout,,89-91,,
5:42.0,D. Lillard misses 3-pt shot from 27 ft,,89-91,,
5:38.0,,,89-91,,Defensive rebound by J. Johnson
5:22.0,,,89-91,,D. Waiters misses 2-pt shot from 1 ft
5:22.0,,,89-91,,Offensive rebound by B. Adebayo
5:22.0,,,89-91,,Shooting foul by A. Aminu (drawn by B. Adebayo)
5:22.0,,,89-92,1,B. Adebayo makes free throw 1 of 2
5:22.0,,,89-92,,B. Adebayo misses free throw 2 of 2
5:19.0,Defensive rebound by C. McCollum,,89-92,,
5:08.0,S. Napier makes 2-pt shot from 6 ft,2,91-92,,
4:44.0,,,91-92,,J. Johnson misses 3-pt shot from 24 ft
4:39.0,,,91-92,,Offensive rebound by J. Richardson
4:24.0,,,91-94,2,B. Adebayo makes 2-pt shot from 1 ft (assist by D. Waiters)
4:11.0,Shooting foul by J. Richardson (drawn by C. McCollum),,91-94,,
4:11.0,C. McCollum makes free throw 1 of 2,1,92-94,,
4:11.0,C. McCollum makes free throw 2 of 2,1,93-94,,
3:58.0,,,93-94,,Offensive foul by J. Johnson (drawn by S. Napier)
3:58.0,,,93-94,,Turnover by J. Johnson (offensive foul)
3:58.0,,,93-94,,G. Dragic enters the game for W. Ellington
3:49.0,Turnover by A. Aminu (traveling),,93-94,,
3:49.0,Portland full timeout,,93-94,,
3:27.0,,,93-94,,J. Johnson misses 2-pt shot from 1 ft
3:25.0,Defensive rebound by E. Davis,,93-94,,
3:16.0,D. Lillard makes 2-pt shot from 1 ft,2,95-94,,
3:04.0,,,95-94,,Shooting foul by C. McCollum (drawn by D. Waiters)
3:04.0,,,95-94,,D. Waiters misses free throw 1 of 2
3:04.0,,,95-94,,Offensive rebound by Team
3:04.0,,,95-94,,D. Waiters misses free throw 2 of 2
3:01.0,Defensive rebound by C. McCollum,,95-94,,
2:50.0,D. Lillard misses 2-pt shot from 1 ft,,95-94,,
2:48.0,,,95-94,,Defensive rebound by D. Waiters
2:46.0,,,95-94,,Shooting foul by S. Napier (drawn by G. Dragic)
2:46.0,,,95-94,,G. Dragic misses free throw 1 of 2
2:46.0,,,95-94,,Offensive rebound by Team
2:46.0,,,95-95,1,G. Dragic makes free throw 2 of 2
2:23.0,D. Lillard misses 2-pt shot at rim,,95-95,,
2:21.0,,,95-95,,Defensive rebound by J. Johnson
2:01.0,,,95-95,,D. Waiters misses 2-pt shot from 16 ft
1:57.0,Defensive rebound by D. Lillard,,95-95,,
1:52.0,A. Aminu misses 2-pt shot from 1 ft,,95-95,,
1:48.0,Jump ball: B. Adebayo vs. E. Davis (D. Lillard gains possession),,,,Jump ball: B. Adebayo vs. E. Davis (D. Lillard gains possession)
1:48.0,Defensive rebound by Team,,95-95,,
1:40.0,D. Lillard makes 2-pt shot from 1 ft,2,97-95,,
1:40.0,Shooting foul by G. Dragic (drawn by D. Lillard),,97-95,,
1:40.0,D. Lillard makes free throw 1 of 1,1,98-95,,
1:19.0,,,98-95,,G. Dragic misses 2-pt shot from 15 ft
1:16.0,Defensive rebound by A. Aminu,,98-95,,
1:02.0,Shooting foul by B. Adebayo (drawn by D. Lillard),,98-95,,
1:02.0,D. Lillard makes free throw 1 of 2,1,99-95,,
1:02.0,D. Lillard makes free throw 2 of 2,1,100-95,,
1:02.0,,,100-95,,Miami full timeout
1:02.0,,,100-95,,K. Olynyk enters the game for B. Adebayo
0:53.0,,,100-95,,J. Richardson misses 3-pt shot from 24 ft
0:48.0,Defensive rebound by C. McCollum,,100-95,,
0:28.0,S. Napier misses 3-pt shot from 23 ft,,100-95,,
0:18.0,Offensive rebound by A. Aminu,,100-95,,
0:18.0,Portland full timeout,,100-95,,
0:18.0,,,100-95,,B. Adebayo enters the game for K. Olynyk
0:18.0,E. Turner enters the game for E. Davis,,100-95,,
0:14.0,,,100-95,,Personal foul by J. Johnson (drawn by E. Turner)
0:14.0,E. Turner makes free throw 1 of 2,1,101-95,,
0:14.0,E. Turner makes free throw 2 of 2,1,102-95,,
0:14.0,,,102-95,,Miami full timeout
0:14.0,,,102-95,,K. Olynyk enters the game for J. Johnson
0:14.0,,,102-95,,W. Ellington enters the game for B. Adebayo
0:12.0,,,102-95,,K. Olynyk misses 3-pt shot from 24 ft
0:09.0,Defensive rebound by S. Napier,,102-95,,
