time,New Orleans,pts.away,score,pts.home,Golden State
6:26.0,A. Davis makes 2-pt shot from 11 ft (assist by J. Holiday),2,34-41,,
6:13.0,,,34-43,2,S. Curry makes 2-pt shot from 19 ft (assist by K. Durant)
5:49.0,R. Rondo makes 3-pt shot from 23 ft,3,37-43,,
5:35.0,,,37-46,3,S. Curry makes 3-pt shot from 26 ft (assist by K. Durant)
5:17.0,E. Moore misses 2-pt shot from 4 ft (block by D. Green),,37-46,,
5:15.0,,,37-46,,Defensive rebound by D. Green
5:02.0,,,37-48,2,K. Durant makes 2-pt shot from 18 ft (assist by D. Green)
4:55.0,A. Davis makes 2-pt shot from 2 ft (assist by E. Moore),2,39-48,,
4:55.0,Shooting foul by K. Looney (drawn by A. Davis),,39-48,,
4:55.0,A. Davis makes free throw 1 of 1,1,40-48,,
4:45.0,,,40-48,,S. Curry misses 2-pt shot from 18 ft
4:44.0,Defensive rebound by J. Holiday,,40-48,,
4:33.0,R. Rondo misses 3-pt shot from 25 ft,,40-48,,
4:31.0,,,40-48,,Defensive rebound by D. Green
4:27.0,Personal foul by E. Moore (drawn by S. Curry),,40-48,,
4:27.0,,,40-48,,K. Thompson enters the game for K. Looney
4:22.0,,,40-50,2,K. Durant makes 2-pt shot from 2 ft (assist by A. Iguodala)
4:11.0,A. Davis makes 2-pt shot from 5 ft (assist by R. Rondo),2,42-50,,
4:06.0,,,42-50,,K. Thompson misses 2-pt shot from 20 ft
4:05.0,Defensive rebound by A. Davis,,42-50,,
3:52.0,J. Holiday misses 2-pt shot from 2 ft (block by D. Green),,42-50,,
3:50.0,Offensive rebound by E. Moore,,42-50,,
3:45.0,A. Davis makes 2-pt shot from 1 ft (assist by R. Rondo),2,44-50,,
3:38.0,,,44-50,,Turnover by D. Green (bad pass; steal by R. Rondo)
3:33.0,N. Mirotic makes 3-pt shot from 25 ft (assist by R. Rondo),3,47-50,,
3:33.0,,,47-50,,Golden State full timeout
3:18.0,,,47-50,,Turnover by S. Curry (lost ball; steal by R. Rondo)
3:13.0,R. Rondo makes 2-pt shot from 1 ft,2,49-50,,
2:56.0,,,49-50,,Offensive foul by D. Green (drawn by J. Holiday)
2:56.0,,,49-50,,Turnover by D. Green (offensive foul)
2:42.0,A. Davis makes 2-pt shot at rim (assist by R. Rondo),2,51-50,,
2:30.0,,,51-50,,A. Iguodala misses 2-pt shot from 8 ft
2:29.0,Defensive rebound by A. Davis,,51-50,,
2:15.0,Turnover by E. Moore (bad pass; steal by K. Thompson),,51-50,,
2:09.0,,,51-52,2,S. Curry makes 2-pt shot from 2 ft (assist by K. Thompson)
1:48.0,E. Moore makes 3-pt shot from 24 ft (assist by J. Holiday),3,54-52,,
1:33.0,,,54-54,2,K. Durant makes 2-pt shot from 12 ft (assist by S. Curry)
1:14.0,N. Mirotic misses 3-pt shot from 29 ft,,54-54,,
1:12.0,,,54-54,,Defensive rebound by D. Green
1:07.0,,,54-54,,S. Curry misses 3-pt shot from 28 ft
1:05.0,Defensive rebound by J. Holiday,,54-54,,
0:59.0,Turnover by J. Holiday (lost ball; steal by A. Iguodala),,54-54,,
0:54.0,,,54-57,3,K. Durant makes 3-pt shot from 25 ft (assist by S. Curry)
0:39.0,,,54-57,,Violation by D. Green (kicked ball)
0:33.0,Offensive charge foul by E. Moore (drawn by S. Curry),,54-57,,
0:33.0,Turnover by E. Moore (offensive foul),,54-57,,
0:26.0,,,54-59,2,A. Iguodala makes 2-pt shot from 2 ft (assist by K. Thompson)
