time,LA Clippers,pts.away,score,pts.home,New Orleans
6:41.0,A. Rivers makes 3-pt shot from 27 ft (assist by W. Johnson),3,10-10,,
6:16.0,,,10-12,2,D. Cousins makes 2-pt shot from 3 ft
5:53.0,B. Griffin makes 3-pt shot from 27 ft (assist by S. Thornwell),3,13-12,,
5:38.0,,,13-15,3,D. Cousins makes 3-pt shot from 28 ft (assist by A. Davis)
5:38.0,,,13-15,,Shooting foul by D. Jordan (drawn by D. Cousins)
5:38.0,L. Williams enters the game for W. Johnson,,13-15,,
5:38.0,,,13-16,1,D. Cousins makes free throw 1 of 1
5:24.0,D. Jordan makes 2-pt shot from 3 ft (assist by B. Griffin),2,15-16,,
5:02.0,,,15-16,,D. Cousins misses 2-pt shot from 13 ft
4:56.0,,,15-16,,Offensive rebound by D. Cunningham
4:52.0,,,15-18,2,A. Davis makes 2-pt shot from 1 ft (assist by J. Holiday)
4:52.0,,,15-18,,Shooting foul by S. Thornwell (drawn by A. Davis)
4:52.0,,,15-19,1,A. Davis makes free throw 1 of 1
4:43.0,A. Rivers misses 3-pt shot from 28 ft,,15-19,,
4:38.0,,,15-19,,Defensive rebound by A. Davis
4:35.0,,,15-19,,Offensive charge foul by D. Cousins (drawn by D. Jordan)
4:35.0,,,15-19,,Turnover by D. Cousins (offensive foul)
4:35.0,,,15-19,,J. Nelson enters the game for J. Holiday
4:22.0,B. Griffin makes 2-pt shot from 5 ft,2,17-19,,
4:03.0,,,17-19,,D. Cousins misses 2-pt shot from 16 ft
3:59.0,Defensive rebound by B. Griffin,,17-19,,
3:56.0,D. Jordan makes 2-pt shot from 5 ft (assist by B. Griffin),2,19-19,,
3:44.0,,,19-22,3,D. Cousins makes 3-pt shot from 26 ft (assist by J. Nelson)
3:33.0,B. Griffin misses 2-pt shot from 19 ft,,19-22,,
3:27.0,,,19-22,,Defensive rebound by D. Cousins
3:27.0,Personal foul by A. Rivers (drawn by A. Davis),,19-22,,
3:27.0,J. Evans enters the game for A. Rivers,,19-22,,
3:20.0,,,19-22,,A. Davis misses 2-pt shot from 16 ft
3:16.0,Defensive rebound by J. Evans,,19-22,,
3:13.0,Technical foul by A. Rivers,,19-22,,
3:13.0,,,19-23,1,A. Davis makes technical free throw
2:58.0,J. Evans misses 2-pt shot from 8 ft,,19-23,,
2:54.0,,,19-23,,Defensive rebound by D. Cousins
2:53.0,,,19-23,,Turnover by D. Cunningham (turnover)
2:53.0,LA Clippers full timeout,,19-23,,
2:53.0,,,19-23,,D. Miller enters the game for D. Cousins
2:53.0,,,19-23,,C. Diallo enters the game for E. Moore
2:53.0,W. Reed enters the game for D. Jordan,,19-23,,
2:53.0,,,19-23,,E. Moore enters the game for D. Miller
2:38.0,B. Griffin makes 2-pt shot from 7 ft,2,21-23,,
2:23.0,,,21-25,2,C. Diallo makes 2-pt shot from 5 ft
2:11.0,B. Griffin misses 3-pt shot from 27 ft,,21-25,,
2:07.0,,,21-25,,Defensive rebound by J. Nelson
2:04.0,Personal foul by J. Evans (drawn by J. Nelson),,21-25,,
2:04.0,,,21-26,1,J. Nelson makes free throw 1 of 2
2:04.0,,,21-26,,D. Miller enters the game for D. Cunningham
2:04.0,,,21-27,1,J. Nelson makes free throw 2 of 2
1:44.0,L. Williams misses 3-pt shot from 23 ft,,21-27,,
1:40.0,,,21-27,,Defensive rebound by A. Davis
1:35.0,,,21-27,,Turnover by J. Nelson (bad pass; steal by J. Evans)
1:31.0,Shooting foul by D. Miller (drawn by J. Evans),,21-27,,
1:31.0,J. Evans makes free throw 1 of 2,1,22-27,,
1:31.0,W. Johnson enters the game for S. Thornwell,,22-27,,
1:31.0,M. Harrell enters the game for B. Griffin,,22-27,,
1:31.0,J. Evans makes free throw 2 of 2,1,23-27,,
1:21.0,,,23-27,,J. Nelson misses 2-pt shot from 6 ft (block by M. Harrell)
1:16.0,Defensive rebound by J. Evans,,23-27,,
1:16.0,Shooting foul by E. Moore (drawn by M. Harrell),,23-27,,
1:16.0,M. Harrell misses free throw 1 of 2,,23-27,,
1:16.0,Offensive rebound by Team,,23-27,,
1:16.0,,,23-27,,D. Cousins enters the game for A. Davis
1:16.0,,,23-27,,J. Holiday enters the game for E. Moore
1:16.0,M. Harrell makes free throw 2 of 2,1,24-27,,
1:08.0,,,24-27,,Offensive charge foul by D. Cousins (drawn by W. Reed)
1:08.0,,,24-27,,Turnover by D. Cousins (offensive foul)
1:08.0,,,24-27,,A. Davis enters the game for D. Cousins
0:53.0,M. Harrell makes 2-pt shot from 3 ft (assist by J. Evans),2,26-27,,
0:45.0,,,26-29,2,C. Diallo makes 2-pt shot from 3 ft (assist by J. Holiday)
0:40.0,L. Williams misses 2-pt shot from 5 ft,,26-29,,
0:35.0,,,26-29,,Defensive rebound by A. Davis
0:35.0,,,26-29,,Turnover by J. Holiday (turnover)
0:15.0,Turnover by L. Williams (lost ball; steal by J. Holiday),,26-29,,
0:08.0,,,26-29,,Shooting foul by M. Harrell (drawn by J. Holiday)
0:08.0,,,26-30,1,J. Holiday makes free throw 1 of 2
0:08.0,,,26-30,,D. Cunningham enters the game for A. Davis
0:08.0,B. Johnson enters the game for M. Harrell,,26-30,,
0:08.0,,,26-31,1,J. Holiday makes free throw 2 of 2
0:00.0,L. Williams misses 3-pt shot from 29 ft,,26-31,,
0:00.0,,,26-31,,Defensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,26-33,2,D. Cousins makes 2-pt shot from 3 ft (assist by J. Nelson)
11:27.0,L. Williams makes 3-pt shot from 28 ft,3,29-33,,
11:13.0,,,29-36,3,D. Miller makes 3-pt shot from 27 ft
11:04.0,Shooting foul by J. Holiday (drawn by W. Reed),,29-36,,
11:04.0,W. Reed makes free throw 1 of 2,1,30-36,,
11:04.0,W. Reed misses free throw 2 of 2,,30-36,,
11:01.0,,,30-36,,Defensive rebound by C. Diallo
10:49.0,,,30-38,2,D. Cousins makes 2-pt shot from 3 ft (assist by J. Nelson)
10:49.0,,,30-38,,Shooting foul by W. Reed (drawn by D. Cousins)
10:49.0,,,30-38,,D. Cousins misses free throw 1 of 1
10:46.0,Defensive rebound by W. Johnson,,30-38,,
10:30.0,M. Harrell misses 2-pt shot from 17 ft,,30-38,,
10:25.0,,,30-38,,Defensive rebound by C. Diallo
10:21.0,,,30-38,,Turnover by J. Holiday (bad pass; steal by W. Johnson)
10:11.0,M. Harrell makes 2-pt shot from 3 ft (assist by J. Evans),2,32-38,,
9:53.0,,,32-38,,J. Nelson misses 2-pt shot from 15 ft
9:49.0,Defensive rebound by W. Reed,,32-38,,
9:47.0,J. Evans misses 2-pt shot from 2 ft (block by D. Miller),,32-38,,
9:39.0,,,32-38,,Defensive rebound by D. Cousins
9:36.0,,,32-38,,I. Clark enters the game for J. Nelson
9:24.0,,,32-40,2,D. Cousins makes 2-pt shot from 1 ft (assist by J. Holiday)
9:24.0,,,32-40,,Shooting foul by M. Harrell (drawn by D. Cousins)
9:24.0,D. Jordan enters the game for W. Reed,,32-40,,
9:24.0,,,32-40,,D. Cousins misses free throw 1 of 1
9:21.0,Defensive rebound by M. Harrell,,32-40,,
9:04.0,L. Williams misses 2-pt shot from 11 ft,,32-40,,
8:59.0,,,32-40,,Defensive rebound by D. Miller
8:54.0,,,32-40,,Turnover by J. Holiday (bad pass; steal by W. Johnson)
8:50.0,D. Jordan makes 2-pt shot from 2 ft (assist by J. Evans),2,34-40,,
8:38.0,,,34-42,2,D. Cousins makes 2-pt shot from 6 ft
8:30.0,L. Williams makes 2-pt shot from 2 ft,2,36-42,,
8:21.0,,,36-42,,I. Clark misses 3-pt shot from 23 ft
8:15.0,Defensive rebound by M. Harrell,,36-42,,
8:10.0,Turnover by J. Evans (bad pass),,36-42,,
7:53.0,,,36-42,,D. Miller misses 2-pt shot from 17 ft
7:48.0,Defensive rebound by W. Johnson,,36-42,,
7:36.0,M. Harrell makes 2-pt shot from 8 ft,2,38-42,,
7:20.0,,,38-42,,D. Cousins misses 3-pt shot from 28 ft
7:15.0,Defensive rebound by D. Jordan,,38-42,,
7:06.0,Shooting foul by D. Miller (drawn by L. Williams),,38-42,,
7:06.0,L. Williams makes free throw 1 of 3,1,39-42,,
7:06.0,L. Williams makes free throw 2 of 3,1,40-42,,
7:06.0,,,40-42,,A. Davis enters the game for J. Holiday
7:06.0,,,40-42,,J. Nelson enters the game for C. Diallo
7:06.0,B. Griffin enters the game for M. Harrell,,40-42,,
7:06.0,L. Williams makes free throw 3 of 3,1,41-42,,
6:54.0,Personal foul by J. Evans (drawn by J. Nelson),,41-42,,
6:54.0,,,41-42,,New Orleans full timeout
6:54.0,A. Rivers enters the game for W. Johnson,,41-42,,
6:48.0,,,41-44,2,I. Clark makes 2-pt shot from 4 ft (assist by D. Cousins)
6:25.0,B. Griffin misses 2-pt shot from 12 ft,,41-44,,
6:19.0,,,41-44,,Defensive rebound by I. Clark
6:06.0,,,41-44,,A. Davis misses 2-pt shot from 8 ft
6:02.0,Defensive rebound by A. Rivers,,41-44,,
5:55.0,Shooting foul by J. Nelson (drawn by J. Evans),,41-44,,
5:55.0,J. Evans makes free throw 1 of 2,1,42-44,,
5:55.0,J. Evans makes free throw 2 of 2,1,43-44,,
5:40.0,,,43-44,,I. Clark misses 2-pt shot from 4 ft
5:31.0,,,43-44,,Offensive rebound by A. Davis
5:31.0,,,43-46,2,A. Davis makes 2-pt shot at rim
5:23.0,B. Griffin misses 3-pt shot from 26 ft,,43-46,,
5:18.0,Offensive rebound by D. Jordan,,43-46,,
5:14.0,Shooting foul by D. Miller (drawn by B. Griffin),,43-46,,
5:14.0,B. Griffin makes free throw 1 of 2,1,44-46,,
5:14.0,,,44-46,,J. Holiday enters the game for D. Miller
5:14.0,S. Thornwell enters the game for J. Evans,,44-46,,
5:14.0,B. Griffin makes free throw 2 of 2,1,45-46,,
5:03.0,,,45-46,,Turnover by I. Clark (turnover)
5:03.0,,,45-46,,C. Diallo enters the game for D. Cousins
4:54.0,Shooting foul by C. Diallo (drawn by B. Griffin),,45-46,,
4:54.0,B. Griffin misses free throw 1 of 2,,45-46,,
4:54.0,Offensive rebound by Team,,45-46,,
4:54.0,B. Griffin makes free throw 2 of 2,1,46-46,,
4:41.0,Personal foul by A. Rivers (drawn by J. Nelson),,46-46,,
4:41.0,J. Evans enters the game for A. Rivers,,46-46,,
4:34.0,,,46-46,,J. Holiday misses 2-pt shot from 6 ft
4:26.0,Defensive rebound by D. Jordan,,46-46,,
4:23.0,Turnover by D. Jordan (bad pass; steal by A. Davis),,46-46,,
4:17.0,,,46-48,2,A. Davis makes 2-pt shot from 3 ft
4:06.0,B. Griffin makes 2-pt shot from 9 ft,2,48-48,,
3:55.0,,,48-50,2,I. Clark makes 2-pt shot from 3 ft (assist by J. Holiday)
3:43.0,Turnover by Team (shot clock),,48-50,,
3:33.0,,,48-52,2,J. Holiday makes 2-pt shot from 3 ft
3:21.0,L. Williams makes 2-pt shot from 10 ft,2,50-52,,
2:57.0,,,50-52,,Turnover by J. Nelson (bad pass; steal by L. Williams)
2:53.0,Turnover by B. Griffin (bad pass),,50-52,,
2:53.0,LA Clippers full timeout,,50-52,,
2:42.0,,,50-54,2,J. Nelson makes 2-pt shot from 15 ft (assist by A. Davis)
2:24.0,Shooting foul by J. Holiday (drawn by S. Thornwell),,50-54,,
2:24.0,S. Thornwell makes free throw 1 of 2,1,51-54,,
2:24.0,,,51-54,,E. Moore enters the game for J. Holiday
2:24.0,S. Thornwell makes free throw 2 of 2,1,52-54,,
2:09.0,,,52-56,2,A. Davis makes 2-pt shot from 6 ft
2:00.0,D. Jordan makes 2-pt shot from 2 ft (assist by L. Williams),2,54-56,,
2:00.0,Shooting foul by E. Moore (drawn by D. Jordan),,54-56,,
2:00.0,D. Jordan misses free throw 1 of 1,,54-56,,
1:57.0,,,54-56,,Defensive rebound by A. Davis
1:41.0,,,54-56,,A. Davis misses 2-pt shot from 8 ft
1:37.0,,,54-56,,Offensive rebound by A. Davis
1:37.0,,,54-56,,A. Davis misses 2-pt shot from 3 ft
1:37.0,,,54-56,,Offensive rebound by Team
1:37.0,,,54-56,,Shooting foul by J. Evans (drawn by C. Diallo)
1:37.0,,,54-56,,C. Diallo misses free throw 1 of 2
1:37.0,,,54-56,,Offensive rebound by Team
1:37.0,,,54-57,1,C. Diallo makes free throw 2 of 2
1:26.0,D. Jordan makes 2-pt shot from 5 ft (assist by L. Williams),2,56-57,,
1:15.0,,,56-59,2,E. Moore makes 2-pt shot from 8 ft
1:01.0,Turnover by S. Thornwell (bad pass; steal by I. Clark),,56-59,,
0:57.0,,,56-59,,I. Clark misses 2-pt shot at rim
0:55.0,,,56-59,,Offensive rebound by E. Moore
0:53.0,,,56-61,2,E. Moore makes 2-pt shot at rim
0:46.0,L. Williams misses 2-pt shot from 1 ft,,56-61,,
0:43.0,Offensive rebound by S. Thornwell,,56-61,,
0:43.0,S. Thornwell makes 2-pt shot from 2 ft,2,58-61,,
0:35.0,,,58-63,2,E. Moore makes 2-pt shot from 8 ft
0:25.0,B. Griffin misses 3-pt shot from 27 ft,,58-63,,
0:20.0,,,58-63,,Defensive rebound by A. Davis
0:01.0,,,58-63,,J. Nelson misses 3-pt shot from 30 ft
0:00.0,Defensive rebound by D. Jordan,,58-63,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,58-63,,Turnover by J. Holiday (bad pass; steal by A. Rivers)
11:29.0,B. Griffin makes 2-pt shot from 3 ft,2,60-63,,
11:29.0,Shooting foul by J. Holiday (drawn by B. Griffin),,60-63,,
11:29.0,B. Griffin makes free throw 1 of 1,1,61-63,,
11:19.0,Personal foul by S. Thornwell (drawn by D. Cousins),,61-63,,
11:12.0,,,61-63,,Turnover by D. Cousins (traveling)
10:56.0,B. Griffin makes 3-pt shot from 27 ft (assist by A. Rivers),3,64-63,,
10:45.0,,,64-65,2,A. Davis makes 2-pt shot from 6 ft (assist by E. Moore)
10:22.0,B. Griffin misses 2-pt shot from 15 ft,,64-65,,
10:18.0,,,64-65,,Defensive rebound by J. Holiday
10:12.0,,,64-65,,Turnover by D. Cousins (lost ball; steal by D. Jordan)
10:04.0,S. Thornwell misses 2-pt shot from 2 ft,,64-65,,
10:00.0,,,64-65,,Defensive rebound by D. Cousins
9:48.0,,,64-65,,Turnover by D. Cousins (lost ball; steal by D. Jordan)
9:44.0,A. Rivers misses 2-pt shot from 2 ft,,64-65,,
9:36.0,,,64-65,,Defensive rebound by E. Moore
9:33.0,Personal foul by D. Jordan (drawn by D. Cousins),,64-65,,
9:19.0,,,64-68,3,D. Cousins makes 3-pt shot from 29 ft
9:13.0,B. Griffin misses 2-pt shot from 7 ft,,64-68,,
9:03.0,,,64-68,,Defensive rebound by D. Cunningham
8:59.0,,,64-68,,E. Moore misses 2-pt shot from 4 ft
8:52.0,Defensive rebound by D. Jordan,,64-68,,
8:38.0,A. Rivers misses 3-pt shot from 27 ft,,64-68,,
8:34.0,,,64-68,,Defensive rebound by D. Cousins
8:27.0,,,64-68,,Shooting foul by W. Johnson (drawn by A. Davis)
8:12.0,,,64-68,,J. Holiday misses 2-pt shot from 6 ft
8:08.0,Defensive rebound by W. Johnson,,64-68,,
8:04.0,A. Rivers makes 3-pt shot from 26 ft (assist by B. Griffin),3,67-68,,
7:50.0,,,67-68,,Turnover by J. Holiday (bad pass)
7:39.0,A. Rivers misses 2-pt shot from 8 ft,,67-68,,
7:39.0,Offensive rebound by D. Jordan,,67-68,,
7:39.0,,,67-68,,Personal foul by D. Cunningham (drawn by D. Jordan)
7:24.0,B. Griffin misses 2-pt shot from 14 ft,,67-68,,
7:18.0,,,67-68,,Defensive rebound by D. Cousins
7:15.0,,,67-70,2,D. Cousins makes 2-pt shot from 4 ft
6:59.0,A. Rivers misses 2-pt shot from 2 ft,,67-70,,
6:56.0,,,67-70,,Defensive rebound by D. Cousins
6:54.0,,,67-70,,Turnover by D. Cousins (bad pass; steal by S. Thornwell)
6:49.0,A. Rivers makes 2-pt shot from 2 ft (assist by S. Thornwell),2,69-70,,
6:34.0,Personal foul by S. Thornwell (drawn by E. Moore),,69-70,,
6:34.0,LA Clippers full timeout,,69-70,,
6:34.0,,,69-70,,J. Nelson enters the game for J. Holiday
6:34.0,L. Williams enters the game for W. Johnson,,69-70,,
6:26.0,,,69-70,,D. Cousins misses 2-pt shot from 20 ft
6:26.0,,,69-70,,Violation by D. Cousins (kicked ball)
6:22.0,Defensive rebound by D. Jordan,,69-70,,
6:03.0,Turnover by A. Rivers (bad pass; steal by A. Davis),,69-70,,
5:58.0,,,69-72,2,D. Cunningham makes 2-pt shot from 2 ft (assist by A. Davis)
5:35.0,L. Williams misses 2-pt shot from 17 ft,,69-72,,
5:30.0,,,69-72,,Defensive rebound by D. Cousins
5:29.0,,,69-72,,Turnover by D. Cousins (bad pass)
5:29.0,J. Evans enters the game for A. Rivers,,69-72,,
5:08.0,Turnover by B. Griffin (bad pass; steal by J. Nelson),,69-72,,
5:04.0,,,69-72,,Shooting foul by S. Thornwell (drawn by A. Davis)
5:04.0,,,69-73,1,A. Davis makes free throw 1 of 2
5:04.0,A. Rivers enters the game for S. Thornwell,,69-73,,
5:04.0,,,69-74,1,A. Davis makes free throw 2 of 2
4:51.0,J. Evans makes 3-pt shot from 27 ft,3,72-74,,
4:34.0,,,72-74,,D. Cousins misses 3-pt shot from 27 ft
4:30.0,Defensive rebound by D. Jordan,,72-74,,
4:26.0,,,72-74,,Personal foul by J. Nelson (drawn by D. Jordan)
4:18.0,A. Rivers misses 2-pt shot from 17 ft,,72-74,,
4:12.0,,,72-74,,Defensive rebound by D. Cousins
4:03.0,,,72-77,3,D. Cunningham makes 3-pt shot from 25 ft (assist by A. Davis)
3:45.0,L. Williams makes 2-pt shot from 5 ft,2,74-77,,
3:32.0,,,74-80,3,D. Cousins makes 3-pt shot from 28 ft (assist by J. Nelson)
3:11.0,B. Griffin misses 2-pt shot from 6 ft (block by A. Davis),,74-80,,
3:10.0,,,74-80,,Defensive rebound by J. Nelson
3:02.0,,,74-82,2,E. Moore makes 2-pt shot from 22 ft (assist by J. Nelson)
3:02.0,LA Clippers full timeout,,74-82,,
3:02.0,,,74-82,,C. Diallo enters the game for D. Cousins
2:43.0,J. Evans misses 2-pt shot from 6 ft (block by A. Davis),,74-82,,
2:43.0,Offensive rebound by Team,,74-82,,
2:43.0,W. Reed enters the game for D. Jordan,,74-82,,
2:39.0,W. Reed makes 2-pt shot from 8 ft (assist by A. Rivers),2,76-82,,
2:16.0,,,76-84,2,C. Diallo makes 2-pt shot from 13 ft (assist by D. Cunningham)
1:58.0,W. Reed makes 2-pt shot from 1 ft,2,78-84,,
1:43.0,,,78-86,2,C. Diallo makes 2-pt shot from 10 ft (assist by D. Cunningham)
1:32.0,B. Griffin misses 3-pt shot from 27 ft,,78-86,,
1:26.0,,,78-86,,Defensive rebound by C. Diallo
1:14.0,,,78-86,,J. Nelson misses 2-pt shot from 13 ft
1:14.0,,,78-86,,Offensive rebound by Team
1:14.0,Personal foul by J. Evans (drawn by A. Davis),,78-86,,
1:14.0,,,78-86,,A. Davis misses free throw 1 of 2
1:14.0,,,78-86,,Offensive rebound by Team
1:14.0,M. Harrell enters the game for B. Griffin,,78-86,,
1:14.0,,,78-87,1,A. Davis makes free throw 2 of 2
1:02.0,Shooting foul by J. Nelson (drawn by W. Reed),,78-87,,
1:02.0,,,78-87,,J. Holiday enters the game for E. Moore
1:02.0,W. Reed makes free throw 1 of 2,1,80-87,,
1:02.0,W. Reed makes free throw 2 of 2,1,80-87,,
0:42.0,,,80-87,,J. Holiday misses 3-pt shot from 27 ft
0:37.0,,,80-87,,Personal foul by J. Nelson (drawn by J. Evans)
0:37.0,J. Evans makes free throw 1 of 2,1,81-87,,
0:37.0,,,81-87,,I. Clark enters the game for D. Cunningham
0:37.0,J. Evans makes free throw 2 of 2,1,82-87,,
0:37.0,Offensive rebound by J. Evans,,82-87,,
0:26.0,,,82-87,,Shooting foul by M. Harrell (drawn by A. Davis)
0:26.0,,,82-88,1,A. Davis makes free throw 1 of 2
0:26.0,,,82-88,,A. Davis misses free throw 2 of 2
0:23.0,Defensive rebound by J. Evans,,82-88,,
0:04.0,L. Williams misses 3-pt shot from 26 ft,,82-88,,
0:00.0,Offensive rebound by A. Rivers,,82-88,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,Turnover by A. Rivers (traveling),,82-88,,
11:33.0,,,82-88,,I. Clark misses 2-pt shot from 9 ft
11:28.0,Defensive rebound by M. Harrell,,82-88,,
11:24.0,J. Evans misses 2-pt shot from 18 ft,,82-88,,
11:18.0,,,82-88,,Defensive rebound by D. Cousins
11:11.0,,,82-90,2,D. Cousins makes 2-pt shot from 5 ft
10:49.0,Shooting foul by I. Clark (drawn by J. Evans),,82-90,,
10:49.0,J. Evans makes free throw 1 of 2,1,83-90,,
10:49.0,J. Evans makes free throw 2 of 2,1,84-90,,
10:29.0,,,84-90,,I. Clark misses 2-pt shot from 6 ft
10:21.0,,,84-90,,Offensive rebound by I. Clark
10:19.0,,,84-90,,I. Clark misses 2-pt shot from 3 ft
10:15.0,Defensive rebound by M. Harrell,,84-90,,
10:13.0,J. Evans misses 2-pt shot from 3 ft (block by D. Cousins),,84-90,,
10:08.0,,,84-90,,Defensive rebound by C. Diallo
10:08.0,,,84-90,,I. Clark misses 3-pt shot from 28 ft
10:08.0,,,84-90,,Offensive rebound by C. Diallo
10:08.0,,,84-91,1,I. Clark makes technical free throw
10:08.0,B. Griffin enters the game for M. Harrell,,84-91,,
9:52.0,,,84-91,,D. Cousins misses 2-pt shot from 5 ft
9:49.0,,,84-91,,Offensive rebound by C. Diallo
9:48.0,,,84-91,,C. Diallo misses 2-pt shot from 9 ft
9:39.0,Defensive rebound by L. Williams,,84-91,,
9:31.0,B. Griffin misses 2-pt shot from 15 ft,,84-91,,
9:25.0,,,84-91,,Defensive rebound by I. Clark
9:18.0,,,84-91,,Shooting foul by W. Reed (drawn by D. Cousins)
9:18.0,D. Jordan enters the game for W. Reed,,84-91,,
9:13.0,Personal foul by J. Evans (drawn by I. Clark),,84-91,,
9:13.0,S. Thornwell enters the game for J. Evans,,84-91,,
9:03.0,,,84-91,,J. Nelson misses 2-pt shot from 16 ft
9:03.0,Defensive rebound by Team,,84-91,,
9:03.0,,,84-91,,Personal foul by C. Diallo (drawn by B. Griffin)
8:45.0,Turnover by L. Williams (lost ball; steal by J. Holiday),,84-91,,
8:45.0,,,84-91,,A. Davis enters the game for C. Diallo
8:35.0,,,84-91,,Technical foul by Team
8:35.0,,,84-92,1,I. Clark makes technical free throw
8:35.0,,,84-92,,E. Moore enters the game for J. Nelson
8:26.0,,,84-92,,D. Cousins misses 2-pt shot from 16 ft
8:20.0,Defensive rebound by D. Jordan,,84-92,,
8:20.0,Turnover by S. Thornwell (bad pass; steal by E. Moore),,84-92,,
8:01.0,,,84-94,2,D. Cousins makes 2-pt shot from 8 ft
7:48.0,L. Williams misses 3-pt shot from 27 ft,,84-94,,
7:42.0,,,84-94,,Defensive rebound by I. Clark
7:41.0,,,84-94,,D. Cousins misses 3-pt shot from 27 ft
7:33.0,Defensive rebound by A. Rivers,,84-94,,
7:21.0,S. Thornwell misses 3-pt shot from 29 ft,,84-94,,
7:16.0,,,84-94,,Defensive rebound by D. Cousins
7:00.0,,,84-94,,Turnover by I. Clark (step out of bounds)
6:46.0,B. Griffin makes 2-pt shot from 7 ft,2,86-94,,
6:27.0,,,86-94,,A. Davis misses 2-pt shot from 9 ft
6:24.0,,,86-94,,Offensive rebound by E. Moore
6:21.0,,,86-94,,E. Moore misses 2-pt shot from 18 ft
6:16.0,Defensive rebound by D. Jordan,,86-94,,
6:08.0,B. Griffin misses 2-pt shot from 18 ft,,86-94,,
6:05.0,,,86-94,,Defensive rebound by D. Cousins
6:05.0,,,86-96,2,A. Davis makes 2-pt shot from 1 ft (assist by D. Cousins)
6:05.0,,,86-96,,Shooting foul by A. Rivers (drawn by A. Davis)
6:05.0,,,86-96,,New Orleans full timeout
6:05.0,,,86-97,1,A. Davis makes free throw 1 of 1
5:45.0,A. Rivers makes 3-pt shot from 29 ft,3,89-97,,
5:23.0,,,89-99,2,E. Moore makes 2-pt shot from 4 ft (assist by D. Cousins)
5:04.0,L. Williams misses 2-pt shot from 7 ft,,89-99,,
4:57.0,Offensive rebound by S. Thornwell,,89-99,,
4:52.0,A. Rivers makes 2-pt shot from 4 ft,2,91-99,,
4:34.0,,,91-99,,Turnover by I. Clark (turnover)
