time,Cleveland,pts.away,score,pts.home,Minnesota
9:29.0,Defensive rebound by T. Thompson,,22-39,,
9:24.0,I. Thomas misses 3-pt shot from 25 ft,,22-39,,
9:21.0,,,22-39,,Defensive rebound by N. Bjelica
9:14.0,,,22-42,3,N. Bjelica makes 3-pt shot from 25 ft (assist by A. Brooks)
8:54.0,J. Green misses 2-pt shot from 6 ft,,22-42,,
8:52.0,Offensive rebound by J. Green,,22-42,,
8:50.0,J. Green misses 2-pt shot from 1 ft,,22-42,,
8:50.0,Offensive rebound by J. Green,,22-42,,
8:47.0,D. Wade makes 2-pt shot from 1 ft (assist by K. Korver),2,24-42,,
8:42.0,Personal foul by K. Korver (drawn by N. Bjelica),,24-42,,
8:37.0,,,24-45,3,J. Crawford makes 3-pt shot from 25 ft
8:35.0,Cleveland full timeout,,24-45,,
8:16.0,I. Thomas misses 3-pt shot from 25 ft,,24-45,,
8:13.0,Offensive rebound by T. Thompson,,24-45,,
8:10.0,K. Korver makes 3-pt shot from 25 ft (assist by T. Thompson),3,27-45,,
7:44.0,,,27-45,,G. Dieng misses 2-pt shot from 3 ft (block by D. Wade)
7:42.0,,,27-45,,Offensive rebound by G. Dieng
7:41.0,,,27-45,,G. Dieng misses 2-pt shot from 3 ft
7:39.0,Defensive rebound by T. Thompson,,27-45,,
7:36.0,Shooting foul by A. Brooks (drawn by D. Wade),,27-45,,
7:36.0,D. Wade makes free throw 1 of 2,1,28-45,,
7:36.0,D. Wade makes free throw 2 of 2,1,29-45,,
7:24.0,,,29-45,,J. Crawford misses 2-pt shot from 21 ft
7:19.0,Defensive rebound by T. Thompson,,29-45,,
7:15.0,J. Green makes 2-pt shot from 2 ft,2,31-45,,
7:15.0,Shooting foul by K. Towns (drawn by J. Green),,31-45,,
7:15.0,,,31-45,,T. Gibson enters the game for G. Dieng
7:15.0,J. Green misses free throw 1 of 1,,31-45,,
7:13.0,,,31-45,,Defensive rebound by K. Towns
7:02.0,Personal foul by T. Thompson (drawn by J. Crawford),,31-45,,
6:53.0,,,31-47,2,A. Brooks makes 2-pt shot from 14 ft
6:44.0,Shooting foul by K. Towns (drawn by I. Thomas),,31-47,,
6:44.0,I. Thomas makes free throw 1 of 2,1,32-47,,
6:44.0,,,32-47,,J. Butler enters the game for N. Bjelica
6:44.0,,,32-47,,A. Wiggins enters the game for J. Crawford
6:44.0,L. James enters the game for D. Wade,,32-47,,
6:44.0,,,32-47,,T. Jones enters the game for A. Brooks
6:44.0,I. Thomas makes free throw 2 of 2,1,33-47,,
6:33.0,,,33-49,2,T. Jones makes 2-pt shot from 19 ft (assist by J. Butler)
6:21.0,I. Thomas misses 2-pt shot from 1 ft (block by T. Gibson),,33-49,,
6:18.0,,,33-49,,Defensive rebound by J. Butler
6:14.0,,,33-51,2,K. Towns makes 2-pt shot from 17 ft (assist by J. Butler)
5:59.0,T. Thompson makes 2-pt shot at rim (assist by K. Korver),2,35-51,,
5:43.0,,,35-51,,T. Jones misses 3-pt shot from 24 ft
5:43.0,Defensive rebound by L. James,,35-51,,
5:35.0,Turnover by J. Green (lost ball; steal by T. Jones),,35-51,,
5:31.0,,,35-51,,T. Jones misses 2-pt shot at rim (block by L. James)
5:30.0,,,35-51,,Offensive rebound by Team
5:30.0,K. Love enters the game for I. Thomas,,35-51,,
5:30.0,J. Smith enters the game for K. Korver,,35-51,,
5:24.0,,,35-51,,J. Butler misses 2-pt shot from 10 ft
5:20.0,Defensive rebound by L. James,,35-51,,
5:14.0,,,35-51,,Personal foul by T. Jones (drawn by J. Smith)
5:14.0,J. Smith makes free throw 1 of 2,1,36-51,,
5:14.0,J. Smith makes free throw 2 of 2,1,37-51,,
5:01.0,,,37-54,3,J. Butler makes 3-pt shot from 23 ft (assist by T. Gibson)
4:40.0,T. Thompson makes 2-pt shot from 4 ft (assist by L. James),2,39-54,,
4:23.0,,,39-54,,A. Wiggins misses 2-pt shot from 6 ft
4:22.0,,,39-54,,Offensive rebound by A. Wiggins
4:21.0,,,39-54,,A. Wiggins misses 2-pt shot from 5 ft
4:21.0,,,39-54,,Offensive rebound by K. Towns
4:20.0,,,39-56,2,K. Towns makes 2-pt shot at rim
3:57.0,J. Green misses 2-pt shot from 2 ft,,39-56,,
3:55.0,,,39-56,,Defensive rebound by K. Towns
3:51.0,,,39-58,2,A. Wiggins makes 2-pt shot at rim (assist by T. Jones)
3:51.0,Cleveland full timeout,,39-58,,
3:51.0,J. Crowder enters the game for T. Thompson,,39-58,,
3:51.0,D. Wade enters the game for J. Green,,39-58,,
3:34.0,J. Smith misses 3-pt shot from 26 ft,,39-58,,
3:32.0,,,39-58,,Defensive rebound by T. Gibson
3:23.0,,,39-58,,A. Wiggins misses 3-pt shot from 24 ft
3:18.0,Defensive rebound by L. James,,39-58,,
3:14.0,D. Wade makes 2-pt shot from 1 ft (assist by L. James),2,41-58,,
3:14.0,Shooting foul by T. Gibson (drawn by D. Wade),,41-58,,
3:14.0,D. Wade makes free throw 1 of 1,1,42-58,,
3:00.0,Violation by J. Smith (kicked ball),,42-58,,
2:49.0,,,42-58,,K. Towns misses 2-pt shot from 14 ft
2:47.0,Defensive rebound by D. Wade,,42-58,,
2:43.0,Turnover by D. Wade (lost ball; steal by T. Jones),,42-58,,
2:39.0,,,42-60,2,T. Jones makes 2-pt shot from 1 ft (assist by J. Butler)
2:27.0,D. Wade misses 3-pt shot from 23 ft,,42-60,,
2:23.0,,,42-60,,Defensive rebound by T. Gibson
2:16.0,,,42-62,2,A. Wiggins makes 2-pt shot at rim
1:59.0,J. Smith misses 3-pt shot from 26 ft,,42-62,,
1:55.0,,,42-62,,Defensive rebound by J. Butler
1:44.0,,,42-62,,Offensive foul by K. Towns (drawn by K. Love)
1:44.0,,,42-62,,Turnover by K. Towns (offensive foul)
1:44.0,,,42-62,,G. Dieng enters the game for K. Towns
1:27.0,Turnover by L. James (bad pass),,42-62,,
1:10.0,,,42-64,2,G. Dieng makes 2-pt shot from 20 ft (assist by J. Butler)
0:57.0,Turnover by J. Smith (bad pass; steal by J. Butler),,42-64,,
0:52.0,,,42-64,,Turnover by J. Butler (out of bounds lost ball)
0:45.0,D. Wade misses 2-pt shot from 2 ft,,42-64,,
0:43.0,,,42-64,,Defensive rebound by A. Wiggins
0:38.0,,,42-64,,J. Butler misses 2-pt shot at rim
0:36.0,,,42-64,,Offensive rebound by T. Gibson
0:35.0,,,42-64,,T. Gibson misses 2-pt shot from 1 ft
0:35.0,,,42-64,,Offensive rebound by T. Gibson
0:34.0,,,42-66,2,T. Gibson makes 2-pt shot from 1 ft
0:13.0,L. James misses 3-pt shot from 24 ft,,42-66,,
0:07.0,Offensive rebound by K. Love,,42-66,,
0:07.0,K. Love misses 2-pt shot at rim,,42-66,,
0:06.0,,,42-66,,Defensive rebound by T. Gibson
0:00.0,,,42-69,3,J. Butler makes 3-pt shot from 24 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,42-71,2,T. Gibson makes 2-pt shot from 2 ft (assist by K. Towns)
11:24.0,I. Thomas makes 3-pt shot from 24 ft (assist by L. James),3,45-71,,
11:05.0,Personal foul by J. Crowder (drawn by K. Towns),,45-71,,
10:56.0,,,45-71,,T. Gibson misses 2-pt shot from 14 ft
10:53.0,Defensive rebound by L. James,,45-71,,
10:44.0,L. James misses 3-pt shot from 24 ft,,45-71,,
10:40.0,,,45-71,,Defensive rebound by J. Butler
10:25.0,,,45-71,,Offensive charge foul by J. Butler (drawn by I. Thomas)
10:25.0,,,45-71,,Turnover by J. Butler (offensive foul)
10:12.0,I. Thomas makes 2-pt shot at rim,2,47-71,,
9:46.0,,,47-73,2,K. Towns makes 2-pt shot from 1 ft (assist by T. Jones)
9:33.0,J. Crowder misses 3-pt shot from 24 ft,,47-73,,
9:33.0,,,47-73,,Defensive rebound by T. Gibson
9:19.0,,,47-75,2,J. Butler makes 2-pt shot from 12 ft
9:02.0,Turnover by I. Thomas (bad pass; steal by J. Butler),,47-75,,
8:57.0,,,47-78,3,J. Butler makes 3-pt shot from 24 ft
8:57.0,Cleveland full timeout,,47-78,,
8:40.0,Shooting foul by T. Gibson (drawn by L. James),,47-78,,
8:40.0,L. James misses free throw 1 of 2,,47-78,,
8:40.0,Offensive rebound by Team,,47-78,,
8:40.0,L. James misses free throw 2 of 2,,47-78,,
8:38.0,,,47-78,,Defensive rebound by K. Towns
8:23.0,,,47-78,,T. Jones misses 3-pt shot from 24 ft
8:16.0,,,47-78,,Offensive rebound by K. Towns
8:16.0,,,47-80,2,K. Towns makes 2-pt shot at rim
8:08.0,I. Thomas misses 2-pt shot from 2 ft (block by K. Towns),,47-80,,
8:07.0,Offensive rebound by I. Thomas,,47-80,,
8:07.0,I. Thomas makes 2-pt shot from 2 ft,2,49-80,,
7:41.0,,,49-80,,T. Gibson misses 2-pt shot from 12 ft
7:41.0,,,49-80,,Offensive rebound by Team
7:39.0,Loose ball foul by L. James (drawn by K. Towns),,49-80,,
7:21.0,,,49-82,2,T. Gibson makes 2-pt shot from 4 ft (assist by K. Towns)
7:01.0,K. Love makes 3-pt shot from 23 ft (assist by I. Thomas),3,52-82,,
6:47.0,Technical foul by I. Thomas (drawn by A. Wiggins),,52-82,,
6:47.0,D. Wade enters the game for I. Thomas,,52-82,,
6:47.0,,,52-83,1,A. Wiggins makes flagrant free throw 1 of 2
6:47.0,,,52-84,1,A. Wiggins makes flagrant free throw 2 of 2
6:31.0,,,52-84,,A. Wiggins misses 2-pt shot from 21 ft
6:29.0,Defensive rebound by K. Love,,52-84,,
6:23.0,J. Smith misses 3-pt shot from 21 ft,,52-84,,
6:23.0,,,52-84,,Defensive rebound by J. Butler
6:12.0,,,52-86,2,T. Gibson makes 2-pt shot at rim (assist by J. Butler)
5:52.0,L. James makes 3-pt shot from 24 ft,3,55-86,,
5:28.0,,,55-88,2,T. Gibson makes 2-pt shot at rim (assist by T. Jones)
5:16.0,D. Wade misses 2-pt shot from 12 ft,,55-88,,
5:14.0,,,55-88,,Defensive rebound by K. Towns
5:09.0,,,55-88,,A. Wiggins misses 2-pt shot from 4 ft
5:07.0,,,55-88,,Offensive rebound by A. Wiggins
5:06.0,,,55-88,,A. Wiggins misses 2-pt shot from 1 ft (block by L. James)
5:06.0,,,55-88,,Offensive rebound by J. Butler
5:01.0,,,55-88,,J. Butler misses 3-pt shot from 25 ft
5:01.0,,,55-88,,Offensive rebound by K. Towns
4:51.0,T. Thompson enters the game for K. Love,,55-88,,
4:38.0,,,55-91,3,K. Towns makes 3-pt shot from 24 ft
4:24.0,J. Smith misses 3-pt shot from 22 ft,,55-91,,
4:21.0,,,55-91,,Defensive rebound by T. Gibson
4:12.0,,,55-94,3,A. Wiggins makes 3-pt shot from 25 ft (assist by J. Butler)
4:09.0,Cleveland full timeout,,55-94,,
4:09.0,C. Osman enters the game for J. Smith,,55-94,,
4:09.0,K. Korver enters the game for L. James,,55-94,,
4:09.0,J. Green enters the game for J. Crowder,,55-94,,
3:46.0,D. Wade misses 2-pt shot from 13 ft,,55-94,,
3:45.0,Offensive rebound by T. Thompson,,55-94,,
3:45.0,T. Thompson misses 2-pt shot at rim,,55-94,,
3:44.0,,,55-94,,Defensive rebound by T. Gibson
3:32.0,,,55-94,,A. Wiggins misses 2-pt shot from 16 ft
3:29.0,Defensive rebound by D. Wade,,55-94,,
3:24.0,Turnover by D. Wade (out of bounds lost ball),,55-94,,
3:24.0,,,55-94,,G. Dieng enters the game for J. Butler
3:24.0,,,55-94,,J. Crawford enters the game for K. Towns
3:14.0,,,55-94,,T. Jones misses 3-pt shot from 26 ft
3:12.0,,,55-94,,Offensive rebound by T. Jones
3:09.0,,,55-96,2,A. Wiggins makes 2-pt shot from 1 ft (assist by T. Jones)
2:57.0,K. Korver makes 2-pt shot from 20 ft (assist by D. Wade),2,57-96,,
2:33.0,,,57-96,,J. Crawford misses 3-pt shot from 26 ft
2:29.0,Defensive rebound by D. Wade,,57-96,,
2:22.0,J. Green makes 2-pt shot from 19 ft (assist by D. Wade),2,59-96,,
2:00.0,,,59-98,2,A. Wiggins makes 2-pt shot from 21 ft
1:44.0,C. Osman makes 3-pt shot from 24 ft (assist by D. Wade),3,62-98,,
1:27.0,,,62-98,,T. Gibson misses 3-pt shot from 26 ft
1:24.0,Defensive rebound by D. Wade,,62-98,,
1:16.0,Turnover by T. Thompson (offensive goaltending),,62-98,,
0:57.0,,,62-98,,Shooting foul by K. Korver (drawn by A. Wiggins)
0:57.0,,,62-99,1,A. Wiggins makes free throw 1 of 2
0:57.0,,,62-100,1,A. Wiggins makes free throw 2 of 2
0:41.0,D. Wade misses 2-pt shot from 1 ft,,62-100,,
0:41.0,,,62-100,,Defensive rebound by G. Dieng
0:33.0,,,62-100,,Turnover by T. Jones (bad pass)
0:28.0,J. Green makes 2-pt shot from 1 ft,2,64-100,,
0:28.0,Shooting foul by T. Gibson (drawn by J. Green),,64-100,,
0:28.0,J. Green makes free throw 1 of 1,1,65-100,,
0:06.0,,,65-102,2,G. Dieng makes 2-pt shot from 2 ft (assist by A. Wiggins)
0:04.0,,,65-102,,Personal take foul by A. Wiggins (drawn by D. Wade)
0:04.0,D. Wade makes free throw 1 of 2,1,66-102,,
0:04.0,D. Wade makes free throw 2 of 2,1,67-102,,
0:00.0,,,67-102,,A. Wiggins misses 3-pt shot from 26 ft
0:00.0,,,67-102,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,C. Osman makes 2-pt shot from 3 ft,2,69-102,,
11:40.0,Shooting foul by G. Dieng (drawn by C. Osman),,69-102,,
11:40.0,C. Osman makes free throw 1 of 1,1,70-102,,
11:22.0,,,70-104,2,J. Crawford makes 2-pt shot from 2 ft
11:22.0,,,70-104,,Shooting foul by T. Thompson (drawn by J. Crawford)
11:22.0,,,70-104,,J. Crawford misses free throw 1 of 1
11:19.0,Defensive rebound by C. Osman,,70-104,,
11:15.0,,,70-104,,Personal foul by G. Dieng (drawn by D. Wade)
11:11.0,K. Korver makes 3-pt shot from 24 ft (assist by D. Wade),3,73-104,,
10:48.0,,,73-104,,G. Dieng misses 3-pt shot from 23 ft
10:46.0,Defensive rebound by K. Korver,,73-104,,
10:41.0,J. Green misses 3-pt shot from 25 ft,,73-104,,
10:38.0,,,73-104,,Defensive rebound by K. Towns
10:32.0,,,73-104,,Shooting foul by J. Green (drawn by G. Dieng)
10:32.0,,,73-105,1,G. Dieng makes free throw 1 of 2
10:32.0,,,73-106,1,G. Dieng makes free throw 2 of 2
10:21.0,K. Korver makes 3-pt shot from 23 ft (assist by D. Wade),3,76-106,,
10:01.0,,,76-108,2,K. Towns makes 2-pt shot from 1 ft (assist by J. Crawford)
9:44.0,T. Thompson makes 2-pt shot from 3 ft (assist by K. Korver),2,78-108,,
9:19.0,,,78-111,3,J. Crawford makes 3-pt shot from 26 ft (assist by G. Dieng)
8:57.0,J. Green misses 3-pt shot from 25 ft,,78-111,,
8:54.0,,,78-111,,Defensive rebound by J. Crawford
8:50.0,,,78-113,2,N. Bjelica makes 2-pt shot at rim (assist by J. Crawford)
8:41.0,Offensive foul by D. Wade (drawn by A. Brooks),,78-113,,
8:41.0,Turnover by D. Wade (offensive foul),,78-113,,
8:41.0,,,78-113,,M. Georges-Hunt enters the game for K. Towns
8:41.0,J. Calderon enters the game for D. Wade,,78-113,,
8:22.0,,,78-113,,J. Crawford misses 2-pt shot from 3 ft
8:22.0,,,78-113,,Offensive rebound by G. Dieng
8:19.0,,,78-113,,G. Dieng misses 2-pt shot from 1 ft
8:19.0,Defensive rebound by T. Thompson,,78-113,,
8:07.0,K. Korver makes 3-pt shot from 25 ft (assist by J. Green),3,81-113,,
8:03.0,,,81-113,,Minnesota full timeout
7:48.0,,,81-115,2,A. Brooks makes 2-pt shot from 1 ft (assist by G. Dieng)
7:25.0,K. Korver misses 2-pt shot from 21 ft,,81-115,,
7:24.0,Offensive rebound by Team,,81-115,,
7:24.0,Turnover by Team (shot clock),,81-115,,
7:11.0,,,81-115,,A. Brooks misses 3-pt shot from 26 ft
7:08.0,Defensive rebound by T. Thompson,,81-115,,
6:59.0,K. Korver makes 2-pt shot from 20 ft,2,83-115,,
6:35.0,,,83-117,2,M. Georges-Hunt makes 2-pt shot from 12 ft
6:26.0,C. Osman misses 2-pt shot from 16 ft,,83-117,,
6:21.0,,,83-117,,Defensive rebound by A. Brooks
6:09.0,Personal foul by J. Calderon (drawn by A. Brooks),,83-117,,
6:09.0,C. Frye enters the game for T. Thompson,,83-117,,
5:57.0,,,83-117,,J. Crawford misses 2-pt shot from 15 ft
5:54.0,Defensive rebound by K. Korver,,83-117,,
5:45.0,C. Frye makes 2-pt shot from 1 ft (assist by J. Calderon),2,85-117,,
5:24.0,,,85-119,2,N. Bjelica makes 2-pt shot from 8 ft
5:09.0,Turnover by J. Green (bad pass; steal by A. Brooks),,85-119,,
5:04.0,,,85-119,,M. Georges-Hunt misses 3-pt shot from 26 ft
5:01.0,Defensive rebound by J. Green,,85-119,,
4:54.0,K. Korver misses 3-pt shot from 24 ft,,85-119,,
4:49.0,,,85-119,,Defensive rebound by G. Dieng
4:31.0,,,85-119,,J. Crawford misses 3-pt shot from 26 ft
4:27.0,,,85-119,,Offensive rebound by A. Brooks
4:08.0,,,85-119,,G. Dieng misses 2-pt shot from 9 ft
4:07.0,Defensive rebound by Team,,85-119,,
4:07.0,,,85-119,,Loose ball foul by N. Bjelica (drawn by C. Osman)
4:07.0,,,85-119,,S. Muhammad enters the game for J. Crawford
3:54.0,J. Green makes 2-pt shot from 3 ft (assist by K. Korver),2,87-119,,
3:36.0,,,87-119,,A. Brooks misses 2-pt shot from 9 ft
3:32.0,,,87-119,,Offensive rebound by A. Brooks
3:32.0,,,87-119,,N. Bjelica misses 2-pt shot from 1 ft
3:28.0,,,87-119,,Offensive rebound by G. Dieng
3:28.0,,,87-121,2,G. Dieng makes 2-pt shot at rim
3:14.0,C. Frye makes 3-pt shot from 24 ft (assist by J. Green),3,90-121,,
2:51.0,,,90-121,,S. Muhammad misses 2-pt shot from 1 ft
2:48.0,Defensive rebound by J. Calderon,,90-121,,
2:41.0,C. Frye misses 2-pt shot from 21 ft,,90-121,,
2:39.0,,,90-121,,Defensive rebound by N. Bjelica
2:34.0,,,90-121,,M. Georges-Hunt misses 3-pt shot from 25 ft
2:31.0,Defensive rebound by C. Frye,,90-121,,
2:22.0,J. Green misses 2-pt shot from 22 ft,,90-121,,
2:20.0,,,90-121,,Defensive rebound by S. Muhammad
2:01.0,,,90-123,2,S. Muhammad makes 2-pt shot from 8 ft
1:48.0,C. Frye misses 3-pt shot from 22 ft,,90-123,,
1:46.0,,,90-123,,Defensive rebound by G. Dieng
1:33.0,,,90-125,2,S. Muhammad makes 2-pt shot from 12 ft (assist by A. Brooks)
1:16.0,K. Korver makes 3-pt shot from 24 ft (assist by J. Green),3,93-125,,
0:57.0,,,93-127,2,M. Georges-Hunt makes 2-pt shot from 1 ft
0:40.0,J. Green makes 3-pt shot from 26 ft (assist by J. Calderon),3,96-127,,
0:14.0,,,96-127,,N. Bjelica misses 3-pt shot from 26 ft
0:11.0,Defensive rebound by C. Osman,,96-127,,
0:05.0,J. Green makes 3-pt shot from 25 ft (assist by J. Calderon),3,99-127,,
