time,Golden State,pts.away,score,pts.home,Sacramento
2:07.0,,,24-23,,Offensive rebound by K. Koufos
2:07.0,,,24-25,2,K. Koufos makes 2-pt shot at rim
2:02.0,O. Casspi misses 2-pt shot from 9 ft,,24-25,,
1:58.0,,,24-25,,Defensive rebound by K. Koufos
1:52.0,,,24-25,,B. Hield misses 2-pt shot from 2 ft
1:52.0,Defensive rebound by J. McGee,,24-25,,
1:46.0,N. Young makes 3-pt shot from 25 ft,3,27-25,,
1:28.0,,,27-25,,G. Temple misses 3-pt shot from 25 ft (block by J. McGee)
1:28.0,,,27-25,,Offensive rebound by Team
1:20.0,,,27-25,,G. Hill misses 2-pt shot from 2 ft
1:15.0,Defensive rebound by O. Casspi,,27-25,,
1:15.0,,,27-25,,Personal foul by G. Hill (drawn by S. Curry)
1:08.0,J. McGee misses 2-pt shot from 3 ft,,27-25,,
1:05.0,,,27-25,,Defensive rebound by G. Hill
1:01.0,Personal foul by O. Casspi (drawn by V. Carter),,27-25,,
0:49.0,,,27-27,2,K. Koufos makes 2-pt shot from 8 ft (assist by V. Carter)
0:40.0,S. Curry makes 2-pt shot from 3 ft,2,29-27,,
0:30.0,,,29-27,,V. Carter misses 3-pt shot from 25 ft
0:26.0,Defensive rebound by S. Curry,,29-27,,
0:09.0,Turnover by S. Curry (bad pass; steal by V. Carter),,29-27,,
0:01.0,Personal foul by J. McGee (drawn by G. Hill),,29-27,,
0:01.0,,,29-27,,G. Hill misses free throw 1 of 2
0:01.0,,,29-27,,Offensive rebound by Team
0:01.0,,,29-27,,G. Hill misses free throw 2 of 2
0:00.0,Defensive rebound by O. Casspi,,29-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,Turnover by K. Durant (bad pass; steal by G. Hill),,29-27,,
11:44.0,Personal foul by N. Young (drawn by G. Hill),,29-27,,
11:22.0,,,29-29,2,B. Hield makes 2-pt shot from 8 ft
11:09.0,K. Thompson misses 3-pt shot from 25 ft,,29-29,,
11:06.0,,,29-29,,Defensive rebound by K. Koufos
10:48.0,,,29-29,,Turnover by K. Koufos (bad pass; steal by P. McCaw)
10:42.0,Turnover by K. Durant (lost ball; steal by B. Hield),,29-29,,
10:39.0,,,29-29,,B. Hield misses 2-pt shot at rim
10:36.0,Defensive rebound by P. McCaw,,29-29,,
10:32.0,D. Green misses 2-pt shot from 11 ft,,29-29,,
10:29.0,,,29-29,,Defensive rebound by G. Temple
10:13.0,,,29-29,,K. Koufos misses 2-pt shot from 9 ft
10:11.0,Defensive rebound by N. Young,,29-29,,
10:04.0,K. Durant makes 3-pt shot from 25 ft (assist by D. Green),3,32-29,,
9:47.0,,,32-29,,Shooting foul by K. Durant (drawn by V. Carter)
9:47.0,,,32-30,1,V. Carter makes free throw 1 of 3
9:47.0,,,32-31,1,V. Carter makes free throw 2 of 3
9:47.0,,,32-32,1,V. Carter makes free throw 3 of 3
9:39.0,,,32-32,,Personal foul by K. Koufos (drawn by D. Green)
9:35.0,Shooting foul by G. Temple (drawn by D. Green),,32-32,,
9:35.0,D. Green makes free throw 1 of 2,1,33-32,,
9:35.0,,,33-32,,W. Cauley-Stein enters the game for K. Koufos
9:35.0,D. Green makes free throw 2 of 2,1,34-32,,
9:26.0,,,34-32,,G. Temple misses 2-pt shot from 1 ft
9:24.0,,,34-32,,Offensive rebound by Team
9:21.0,,,34-34,2,B. Hield makes 2-pt shot from 1 ft (assist by G. Temple)
9:14.0,K. Durant makes 3-pt shot from 24 ft,3,37-34,,
9:00.0,Personal foul by K. Thompson (drawn by G. Temple),,37-34,,
9:00.0,J. McGee enters the game for N. Young,,37-34,,
8:46.0,,,37-34,,V. Carter misses 2-pt shot from 1 ft
8:42.0,Defensive rebound by K. Durant,,37-34,,
8:38.0,D. Green misses 2-pt shot from 2 ft (block by B. Hield),,37-34,,
8:38.0,Offensive rebound by Team,,37-34,,
8:33.0,Offensive foul by K. Thompson (drawn by G. Hill),,37-34,,
8:33.0,Turnover by K. Thompson (offensive foul),,37-34,,
8:08.0,,,37-34,,B. Hield misses 2-pt shot from 12 ft
8:08.0,,,37-34,,Offensive rebound by Team
8:08.0,,,37-34,,Turnover by Team (shot clock)
7:55.0,J. McGee makes 2-pt shot from 1 ft (assist by P. McCaw),2,39-34,,
7:32.0,,,39-34,,Sacramento full timeout
7:32.0,S. Curry enters the game for P. McCaw,,39-34,,
7:32.0,Technical foul by D. Green (drawn by G. Hill),,39-34,,
7:32.0,,,39-34,,Z. Randolph enters the game for V. Carter
7:32.0,,,39-34,,B. Hield misses free throw 1 of 1
7:32.0,,,39-34,,Offensive rebound by Team
7:18.0,,,39-34,,Turnover by Team (shot clock)
7:18.0,,,39-34,,B. Bogdanovic enters the game for G. Temple
7:00.0,J. McGee misses 2-pt shot from 2 ft,,39-34,,
6:57.0,,,39-34,,Defensive rebound by Z. Randolph
6:47.0,,,39-37,3,B. Hield makes 3-pt shot from 25 ft (assist by Z. Randolph)
6:34.0,K. Thompson makes 2-pt shot at rim (assist by S. Curry),2,41-37,,
6:17.0,,,41-37,,B. Hield misses 2-pt shot from 8 ft
6:15.0,Defensive rebound by K. Durant,,41-37,,
6:10.0,K. Durant makes 2-pt shot from 12 ft,2,43-37,,
5:49.0,,,43-39,2,Z. Randolph makes 2-pt shot from 5 ft
5:32.0,S. Curry makes 2-pt shot from 3 ft (assist by K. Durant),2,45-39,,
5:14.0,,,45-39,,B. Bogdanovic misses 2-pt shot from 18 ft
5:11.0,Defensive rebound by K. Durant,,45-39,,
5:08.0,Turnover by K. Durant (bad pass),,45-39,,
5:08.0,,,45-39,,D. Fox enters the game for B. Hield
5:08.0,Z. Pachulia enters the game for J. McGee,,45-39,,
5:08.0,P. McCaw enters the game for K. Thompson,,45-39,,
4:54.0,,,45-39,,B. Bogdanovic misses 3-pt shot from 25 ft
4:51.0,Defensive rebound by Z. Pachulia,,45-39,,
4:47.0,Turnover by P. McCaw (bad pass; steal by B. Bogdanovic),,45-39,,
4:39.0,,,45-41,2,Z. Randolph makes 2-pt shot from 2 ft (assist by D. Fox)
4:38.0,Golden State full timeout,,45-41,,
4:18.0,K. Durant misses 2-pt shot from 12 ft,,45-41,,
4:17.0,Offensive rebound by Z. Pachulia,,45-41,,
4:17.0,,,45-41,,Personal foul by W. Cauley-Stein (drawn by Z. Pachulia)
4:17.0,,,45-41,,J. Jackson enters the game for G. Hill
4:10.0,Turnover by D. Green (out of bounds lost ball),,45-41,,
3:55.0,,,45-43,2,Z. Randolph makes 2-pt shot from 2 ft
3:55.0,,,45-43,,Shooting foul by K. Durant (drawn by Z. Randolph)
3:55.0,,,45-44,1,Z. Randolph makes free throw 1 of 1
3:44.0,D. Green misses 2-pt shot from 13 ft,,45-44,,
3:42.0,,,45-44,,Defensive rebound by Z. Randolph
3:37.0,,,45-46,2,D. Fox makes 2-pt shot from 2 ft
3:29.0,Turnover by S. Curry (turnover),,45-46,,
3:13.0,,,45-46,,D. Fox misses 3-pt shot from 25 ft
3:10.0,Defensive rebound by Z. Pachulia,,45-46,,
3:04.0,K. Durant makes 2-pt shot from 1 ft (assist by D. Green),2,47-46,,
2:51.0,,,47-46,,Turnover by Z. Randolph (lost ball; steal by Z. Pachulia)
2:44.0,Turnover by Z. Pachulia (bad pass; steal by B. Bogdanovic),,47-46,,
2:36.0,,,47-46,,J. Jackson misses 3-pt shot from 23 ft
2:32.0,Defensive rebound by S. Curry,,47-46,,
2:20.0,Shooting foul by B. Bogdanovic (drawn by S. Curry),,47-46,,
2:20.0,S. Curry makes free throw 1 of 2,1,48-46,,
2:20.0,,,48-46,,J. Sampson enters the game for B. Bogdanovic
2:20.0,K. Thompson enters the game for P. McCaw,,48-46,,
2:20.0,S. Curry makes free throw 2 of 2,1,49-46,,
2:04.0,,,49-48,2,W. Cauley-Stein makes 2-pt shot from 1 ft
1:56.0,K. Durant makes 3-pt shot from 24 ft,3,52-48,,
1:28.0,,,52-48,,Turnover by Z. Randolph (lost ball; steal by S. Curry)
1:28.0,,,52-48,,Personal foul by Z. Randolph (drawn by S. Curry)
1:28.0,S. Curry makes free throw 1 of 2,1,53-48,,
1:28.0,S. Curry makes free throw 2 of 2,1,54-48,,
1:13.0,,,54-50,2,J. Sampson makes 2-pt shot from 1 ft (assist by W. Cauley-Stein)
1:04.0,Turnover by Z. Pachulia (bad pass; steal by D. Fox),,54-50,,
0:57.0,,,54-50,,W. Cauley-Stein misses 2-pt shot from 18 ft
0:54.0,Defensive rebound by D. Green,,54-50,,
0:45.0,K. Durant makes 2-pt shot from 17 ft,2,56-50,,
0:35.0,,,56-50,,D. Fox misses 2-pt shot from 1 ft
0:32.0,,,56-50,,Offensive rebound by Z. Randolph
0:32.0,,,56-52,2,Z. Randolph makes 2-pt shot from 1 ft
0:12.0,S. Curry makes 2-pt shot from 1 ft,2,58-52,,
0:00.0,,,58-52,,D. Fox misses 2-pt shot from 4 ft
0:00.0,,,58-52,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,Shooting foul by Z. Randolph (drawn by D. Green),,58-52,,
11:46.0,D. Green makes free throw 1 of 2,1,59-52,,
11:46.0,D. Green makes free throw 2 of 2,1,60-52,,
11:23.0,,,60-55,2,B. Bogdanovic makes 3-pt shot from 26 ft
11:10.0,K. Thompson makes 2-pt shot from 1 ft (assist by S. Curry),2,62-55,,
10:55.0,,,62-58,3,Z. Randolph makes 3-pt shot from 25 ft (assist by B. Bogdanovic)
10:47.0,K. Thompson misses 3-pt shot from 26 ft,,62-58,,
10:46.0,Offensive rebound by S. Curry,,62-58,,
10:45.0,Turnover by S. Curry (step out of bounds),,62-58,,
10:22.0,,,62-58,,Turnover by Z. Randolph (bad pass; steal by D. Green)
10:17.0,K. Thompson misses 3-pt shot from 23 ft,,62-58,,
10:14.0,,,62-58,,Defensive rebound by D. Fox
10:11.0,,,62-58,,Shooting foul by S. Curry (drawn by D. Fox)
10:11.0,,,62-59,1,D. Fox makes free throw 1 of 2
10:11.0,,,62-59,,D. Fox misses free throw 2 of 2
10:08.0,Defensive rebound by Z. Pachulia,,62-59,,
9:51.0,S. Curry misses 2-pt shot from 4 ft (block by W. Cauley-Stein),,62-59,,
9:47.0,,,62-59,,Defensive rebound by D. Fox
9:45.0,,,62-59,,D. Fox misses 2-pt shot from 2 ft
9:42.0,Defensive rebound by D. Green,,62-59,,
9:29.0,K. Thompson makes 2-pt shot from 1 ft (assist by K. Durant),2,64-59,,
9:10.0,,,64-59,,J. Jackson misses 2-pt shot from 7 ft
9:07.0,Defensive rebound by Z. Pachulia,,64-59,,
8:59.0,S. Curry misses 2-pt shot from 3 ft (block by D. Fox),,64-59,,
8:57.0,Offensive rebound by Z. Pachulia,,64-59,,
8:51.0,S. Curry makes 3-pt shot from 23 ft (assist by K. Thompson),3,67-59,,
8:51.0,,,67-59,,Sacramento full timeout
8:36.0,,,67-61,2,Z. Randolph makes 2-pt shot from 23 ft (assist by B. Bogdanovic)
8:12.0,K. Thompson makes 3-pt shot from 22 ft (assist by K. Durant),3,70-61,,
7:44.0,,,70-61,,J. Jackson misses 2-pt shot from 18 ft
7:41.0,Defensive rebound by K. Thompson,,70-61,,
7:36.0,D. Green misses 3-pt shot from 25 ft,,70-61,,
7:33.0,,,70-61,,Defensive rebound by B. Bogdanovic
7:33.0,Personal foul by D. Green (drawn by B. Bogdanovic),,70-61,,
7:15.0,,,70-61,,D. Fox misses 2-pt shot from 13 ft
7:14.0,,,70-61,,Offensive rebound by Z. Randolph
7:14.0,Personal foul by D. Green (drawn by Z. Randolph),,70-61,,
7:02.0,,,70-61,,Z. Randolph misses 2-pt shot from 4 ft
7:00.0,Defensive rebound by K. Thompson,,70-61,,
6:53.0,Offensive foul by Z. Pachulia (drawn by J. Jackson),,70-61,,
6:53.0,Turnover by Z. Pachulia (offensive foul),,70-61,,
6:43.0,,,70-61,,D. Fox misses 2-pt shot from 1 ft
6:40.0,Defensive rebound by Z. Pachulia,,70-61,,
6:36.0,K. Durant misses 2-pt shot from 2 ft,,70-61,,
6:33.0,,,70-61,,Defensive rebound by Z. Randolph
6:32.0,,,70-63,2,J. Jackson makes 2-pt shot from 3 ft (assist by B. Bogdanovic)
6:32.0,,,70-63,,Shooting foul by S. Curry (drawn by J. Jackson)
6:32.0,,,70-64,1,J. Jackson makes free throw 1 of 1
6:18.0,K. Durant makes 3-pt shot from 25 ft (assist by K. Thompson),3,73-64,,
5:57.0,,,73-64,,Z. Randolph misses 3-pt shot from 25 ft
5:54.0,Defensive rebound by Z. Pachulia,,73-64,,
5:51.0,K. Thompson makes 2-pt shot from 1 ft (assist by D. Green),2,75-64,,
5:31.0,,,75-64,,W. Cauley-Stein misses 2-pt shot from 1 ft
5:28.0,Defensive rebound by Z. Pachulia,,75-64,,
5:23.0,S. Curry makes 3-pt shot from 26 ft (assist by K. Durant),3,78-64,,
5:21.0,,,78-64,,Sacramento full timeout
5:21.0,,,78-64,,V. Carter enters the game for Z. Randolph
5:21.0,P. McCaw enters the game for D. Green,,78-64,,
5:08.0,,,78-64,,J. Jackson misses 2-pt shot from 2 ft
5:07.0,,,78-64,,Offensive rebound by W. Cauley-Stein
5:06.0,,,78-66,2,W. Cauley-Stein makes 2-pt shot at rim
4:51.0,S. Curry misses 3-pt shot from 25 ft,,78-66,,
4:46.0,,,78-66,,Defensive rebound by V. Carter
4:30.0,,,78-66,,V. Carter misses 2-pt shot from 1 ft
4:26.0,Defensive rebound by Z. Pachulia,,78-66,,
4:22.0,Turnover by S. Curry (bad pass; steal by B. Bogdanovic),,78-66,,
4:16.0,,,78-66,,B. Bogdanovic misses 3-pt shot from 24 ft
4:12.0,Defensive rebound by K. Durant,,78-66,,
4:07.0,Z. Pachulia makes 2-pt shot from 2 ft (assist by S. Curry),2,80-66,,
3:53.0,,,80-66,,Shooting foul by Z. Pachulia (drawn by W. Cauley-Stein)
3:53.0,,,80-66,,W. Cauley-Stein misses free throw 1 of 2
3:53.0,,,80-66,,Offensive rebound by Team
3:53.0,,,80-66,,G. Hill enters the game for B. Bogdanovic
3:53.0,J. McGee enters the game for K. Thompson,,80-66,,
3:53.0,D. Green enters the game for Z. Pachulia,,80-66,,
3:53.0,N. Young enters the game for K. Durant,,80-66,,
3:53.0,,,80-67,1,W. Cauley-Stein makes free throw 2 of 2
3:38.0,Turnover by D. Green (bad pass; steal by W. Cauley-Stein),,80-67,,
3:26.0,,,80-69,2,J. Jackson makes 2-pt shot at rim (assist by W. Cauley-Stein)
3:12.0,D. Green misses 2-pt shot from 10 ft,,80-69,,
3:12.0,,,80-69,,Defensive rebound by Team
2:59.0,,,80-69,,V. Carter misses 3-pt shot from 26 ft
2:55.0,Defensive rebound by S. Curry,,80-69,,
2:38.0,S. Curry makes 2-pt shot from 10 ft (assist by P. McCaw),2,82-69,,
2:27.0,,,82-71,2,D. Fox makes 2-pt shot at rim
2:16.0,Turnover by S. Curry (bad pass; steal by W. Cauley-Stein),,82-71,,
2:11.0,,,82-73,2,W. Cauley-Stein makes 2-pt shot from 2 ft
1:45.0,Turnover by S. Curry (traveling),,82-73,,
1:26.0,,,82-73,,W. Cauley-Stein misses 2-pt shot from 1 ft (block by J. McGee)
1:23.0,Defensive rebound by J. McGee,,82-73,,
1:20.0,Turnover by D. Green (bad pass),,82-73,,
1:14.0,,,82-73,,Turnover by D. Fox (out of bounds lost ball)
0:52.0,P. McCaw misses 3-pt shot from 24 ft,,82-73,,
0:52.0,,,82-73,,Defensive rebound by J. Jackson
0:37.0,,,82-73,,W. Cauley-Stein misses 2-pt shot from 7 ft
0:34.0,Defensive rebound by D. Green,,82-73,,
0:28.0,D. Green makes 2-pt shot from 1 ft,2,84-73,,
0:09.0,,,84-75,2,D. Fox makes 2-pt shot from 2 ft
0:00.0,N. Young misses 3-pt shot from 26 ft,,84-75,,
0:00.0,Offensive rebound by Team,,84-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,84-75,,Z. Randolph misses 2-pt shot from 5 ft
11:44.0,Defensive rebound by O. Casspi,,84-75,,
11:29.0,K. Durant misses 2-pt shot from 18 ft,,84-75,,
11:25.0,,,84-75,,Defensive rebound by V. Carter
11:20.0,,,84-77,2,Z. Randolph makes 2-pt shot from 2 ft (assist by V. Carter)
10:56.0,Turnover by P. McCaw (lost ball; steal by G. Hill),,84-77,,
10:43.0,,,84-77,,Z. Randolph misses 2-pt shot from 2 ft
10:41.0,Defensive rebound by O. Casspi,,84-77,,
10:35.0,Turnover by K. Durant (lost ball; steal by Z. Randolph),,84-77,,
10:31.0,,,84-77,,B. Hield misses 3-pt shot from 24 ft
10:24.0,Defensive rebound by P. McCaw,,84-77,,
10:12.0,Turnover by O. Casspi (lost ball; steal by V. Carter),,84-77,,
10:06.0,,,84-79,2,J. Jackson makes 2-pt shot from 2 ft
10:06.0,Golden State full timeout,,84-79,,
9:47.0,K. Durant makes 2-pt shot from 9 ft,2,86-79,,
9:47.0,Shooting foul by J. Jackson (drawn by K. Durant),,86-79,,
9:47.0,K. Durant makes free throw 1 of 1,1,87-79,,
9:30.0,,,87-82,3,B. Hield makes 3-pt shot from 23 ft (assist by G. Hill)
9:16.0,K. Looney makes 2-pt shot from 2 ft,2,89-82,,
8:59.0,Personal foul by O. Casspi (drawn by Z. Randolph),,89-82,,
8:44.0,,,89-82,,V. Carter misses 2-pt shot from 20 ft
8:40.0,,,89-82,,Offensive rebound by B. Hield
8:39.0,,,89-84,2,B. Hield makes 2-pt shot from 1 ft
8:11.0,Turnover by P. McCaw (lost ball; steal by V. Carter),,89-84,,
8:06.0,,,89-86,2,B. Hield makes 2-pt shot from 1 ft
7:55.0,Turnover by K. Durant (bad pass; steal by B. Hield),,89-86,,
7:55.0,,,89-88,2,B. Hield makes 2-pt shot from 1 ft
7:55.0,Golden State full timeout,,89-88,,
7:39.0,Turnover by O. Casspi (lost ball; steal by B. Hield),,89-88,,
7:30.0,,,89-88,,Turnover by V. Carter (lost ball; steal by O. Casspi)
7:23.0,O. Casspi makes 2-pt shot from 1 ft (assist by K. Thompson),2,91-88,,
7:23.0,Shooting foul by B. Hield (drawn by O. Casspi),,91-88,,
7:23.0,O. Casspi misses free throw 1 of 1,,91-88,,
7:18.0,,,91-88,,Defensive rebound by G. Hill
6:57.0,,,91-88,,Turnover by G. Hill (bad pass; steal by P. McCaw)
6:56.0,,,91-88,,Personal foul by G. Hill (drawn by K. Looney)
6:56.0,N. Young enters the game for O. Casspi,,91-88,,
6:56.0,D. Green enters the game for K. Looney,,91-88,,
6:48.0,D. Green makes 2-pt shot from 2 ft (assist by K. Durant),2,93-88,,
6:48.0,Shooting foul by B. Hield (drawn by D. Green),,93-88,,
6:48.0,D. Green makes free throw 1 of 1,1,94-88,,
6:37.0,Personal foul by P. McCaw (drawn by V. Carter),,94-88,,
6:23.0,,,94-88,,Turnover by Team (shot clock)
6:14.0,N. Young makes 3-pt shot from 22 ft (assist by D. Green),3,97-88,,
6:13.0,,,97-88,,Sacramento full timeout
6:13.0,,,97-88,,D. Fox enters the game for G. Hill
6:13.0,,,97-88,,B. Bogdanovic enters the game for V. Carter
6:00.0,,,97-90,2,J. Jackson makes 2-pt shot from 13 ft (assist by D. Fox)
5:49.0,K. Durant makes 2-pt shot from 1 ft,2,99-90,,
5:35.0,,,99-92,2,D. Fox makes 2-pt shot from 3 ft
5:29.0,K. Thompson misses technical free throw,,99-92,,
5:29.0,Offensive rebound by Team,,99-92,,
5:29.0,,,99-92,,W. Cauley-Stein enters the game for Z. Randolph
5:29.0,S. Curry enters the game for K. Thompson,,99-92,,
5:20.0,K. Durant makes 3-pt shot from 24 ft,3,102-92,,
5:03.0,,,102-95,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by D. Fox)
4:51.0,K. Durant makes 3-pt shot from 25 ft,3,105-95,,
4:37.0,,,105-95,,Shooting foul by S. Curry (drawn by D. Fox)
4:37.0,,,105-96,1,D. Fox makes free throw 1 of 2
4:37.0,,,105-97,1,D. Fox makes free throw 2 of 2
4:22.0,K. Thompson enters the game for P. McCaw,,105-97,,
4:19.0,,,105-97,,Personal foul by B. Bogdanovic (drawn by K. Durant)
4:19.0,K. Durant makes free throw 1 of 2,1,106-97,,
4:19.0,K. Durant makes free throw 2 of 2,1,107-97,,
4:07.0,,,107-97,,D. Fox misses 2-pt shot from 4 ft
4:05.0,,,107-97,,Offensive rebound by W. Cauley-Stein
4:03.0,,,107-99,2,W. Cauley-Stein makes 2-pt shot from 2 ft
3:53.0,,,107-99,,Personal foul by D. Fox (drawn by S. Curry)
3:53.0,S. Curry makes free throw 1 of 2,1,108-99,,
3:53.0,S. Curry makes free throw 2 of 2,1,109-99,,
3:42.0,,,109-99,,J. Jackson misses 2-pt shot from 6 ft
3:39.0,Defensive rebound by D. Green,,109-99,,
3:32.0,D. Green makes 2-pt shot from 1 ft,2,111-99,,
3:21.0,,,111-101,2,D. Fox makes 2-pt shot from 1 ft
3:21.0,,,111-101,,Shooting foul by D. Green (drawn by D. Fox)
3:21.0,,,111-102,1,D. Fox makes free throw 1 of 1
3:11.0,S. Curry misses 3-pt shot from 26 ft,,111-102,,
3:08.0,,,111-102,,Defensive rebound by B. Hield
3:02.0,,,111-102,,D. Fox misses 3-pt shot from 24 ft
3:02.0,Defensive rebound by D. Green,,111-102,,
2:38.0,N. Young misses 3-pt shot from 22 ft,,111-102,,
2:35.0,,,111-102,,Defensive rebound by W. Cauley-Stein
