time,Detroit,pts.away,score,pts.home,Atlanta
6:09.0,,,12-14,1,K. Bazemore makes free throw 2 of 2
5:52.0,,,12-14,,Personal foul by T. Dorsey (drawn by B. Griffin)
5:45.0,S. Johnson makes 3-pt shot from 24 ft (assist by I. Smith),3,15-14,,
5:17.0,,,15-14,,K. Bazemore misses 2-pt shot from 22 ft
5:15.0,Defensive rebound by A. Drummond,,15-14,,
5:08.0,Turnover by B. Griffin (lost ball; steal by K. Bazemore),,15-14,,
5:04.0,,,15-14,,Shooting foul by S. Johnson (drawn by E. Ilyasova)
5:04.0,,,15-15,1,E. Ilyasova makes free throw 1 of 2
5:04.0,,,15-15,,M. Delaney enters the game for K. Bazemore
5:04.0,L. Kennard enters the game for S. Johnson,,15-15,,
5:04.0,,,15-16,1,E. Ilyasova makes free throw 2 of 2
4:53.0,Turnover by R. Bullock (bad pass; steal by D. Dedmon),,15-16,,
4:38.0,,,15-19,3,T. Dorsey makes 3-pt shot from 24 ft (assist by M. Delaney)
4:10.0,B. Griffin misses 2-pt shot from 10 ft,,15-19,,
4:07.0,Offensive rebound by B. Griffin,,15-19,,
4:05.0,B. Griffin makes 2-pt shot at rim,2,17-19,,
3:51.0,,,17-21,2,D. Schroder makes 2-pt shot from 2 ft
3:29.0,L. Kennard misses 3-pt shot from 23 ft,,17-21,,
3:26.0,,,17-21,,Defensive rebound by T. Dorsey
3:23.0,,,17-21,,D. Schroder misses 3-pt shot from 24 ft
3:17.0,,,17-21,,M. Muscala enters the game for E. Ilyasova
3:17.0,,,17-21,,J. Collins enters the game for D. Dedmon
3:17.0,A. Tolliver enters the game for B. Griffin,,17-21,,
3:17.0,Offensive rebound by Team,,17-21,,
3:13.0,Jump ball: D. Schroder vs. I. Smith (R. Bullock gains possession),,,,Jump ball: D. Schroder vs. I. Smith (R. Bullock gains possession)
2:59.0,A. Tolliver misses 3-pt shot from 25 ft,,17-21,,
2:56.0,,,17-21,,Defensive rebound by T. Dorsey
2:40.0,,,17-21,,T. Dorsey misses 3-pt shot from 24 ft
2:37.0,Defensive rebound by L. Kennard,,17-21,,
2:32.0,R. Bullock makes 3-pt shot from 25 ft (assist by L. Kennard),3,20-21,,
2:15.0,,,20-21,,M. Delaney misses 3-pt shot from 25 ft
2:12.0,Defensive rebound by A. Drummond,,20-21,,
2:04.0,A. Drummond makes 2-pt shot from 12 ft (assist by L. Kennard),2,22-21,,
2:03.0,,,22-21,,Atlanta full timeout
2:03.0,,,22-21,,T. Waller-Prince enters the game for D. Schroder
2:03.0,J. Ennis enters the game for I. Smith,,22-21,,
2:03.0,J. Nelson enters the game for R. Bullock,,22-21,,
1:42.0,,,22-23,2,J. Collins makes 2-pt shot at rim (assist by M. Muscala)
1:17.0,A. Drummond misses 2-pt shot from 14 ft,,22-23,,
1:14.0,,,22-23,,Defensive rebound by J. Collins
1:04.0,,,22-23,,Turnover by M. Muscala (lost ball; steal by A. Tolliver)
0:48.0,Shooting foul by J. Collins (drawn by A. Drummond),,22-23,,
0:48.0,A. Drummond makes free throw 1 of 2,1,23-23,,
0:48.0,A. Drummond misses free throw 2 of 2,,23-23,,
0:46.0,,,23-23,,Defensive rebound by J. Collins
0:36.0,Personal foul by J. Nelson (drawn by M. Delaney),,23-23,,
0:36.0,,,23-24,1,M. Delaney makes free throw 1 of 2
0:36.0,,,23-25,1,M. Delaney makes free throw 2 of 2
0:20.0,L. Kennard misses 2-pt shot from 13 ft,,23-25,,
0:15.0,,,23-25,,Defensive rebound by M. Delaney
0:02.0,,,23-28,3,T. Dorsey makes 3-pt shot from 25 ft (assist by J. Collins)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,23-28,,T. Waller-Prince misses 3-pt shot from 24 ft
11:44.0,Defensive rebound by E. Moreland,,23-28,,
11:28.0,L. Kennard misses 3-pt shot from 22 ft (block by M. Muscala),,23-28,,
11:27.0,Offensive rebound by J. Ennis,,23-28,,
11:27.0,Shooting foul by J. Collins (drawn by J. Ennis),,23-28,,
11:27.0,J. Ennis misses free throw 1 of 2,,23-28,,
11:27.0,Offensive rebound by Team,,23-28,,
11:27.0,J. Ennis makes free throw 2 of 2,1,24-28,,
11:12.0,,,24-28,,Turnover by T. Waller-Prince (lost ball; steal by J. Ennis)
11:09.0,J. Ennis makes 2-pt shot from 1 ft,2,26-28,,
11:09.0,Shooting foul by T. Waller-Prince (drawn by J. Ennis),,26-28,,
11:09.0,J. Ennis makes free throw 1 of 1,1,27-28,,
10:54.0,,,27-31,3,I. Taylor makes 3-pt shot from 22 ft (assist by T. Waller-Prince)
10:42.0,Shooting foul by M. Muscala (drawn by A. Tolliver),,27-31,,
10:42.0,A. Tolliver makes free throw 1 of 2,1,28-31,,
10:42.0,A. Tolliver makes free throw 2 of 2,1,29-31,,
10:42.0,,,29-31,,T. Dorsey enters the game for T. Waller-Prince
10:42.0,Jump ball: J. Collins vs. E. Moreland (I. Taylor gains possession),,,,Jump ball: J. Collins vs. E. Moreland (I. Taylor gains possession)
10:29.0,,,29-31,,M. Delaney misses 3-pt shot from 25 ft
10:26.0,Defensive rebound by E. Moreland,,29-31,,
10:26.0,E. Moreland misses 2-pt shot from 10 ft,,29-31,,
10:26.0,,,29-31,,Defensive rebound by Team
10:11.0,Personal foul by E. Moreland (drawn by M. Delaney),,29-31,,
10:09.0,Personal foul by J. Ennis (drawn by J. Collins),,29-31,,
9:58.0,,,29-33,2,J. Collins makes 2-pt shot from 10 ft (assist by M. Delaney)
9:36.0,J. Nelson makes 2-pt shot from 20 ft (assist by A. Tolliver),2,31-33,,
9:22.0,,,31-36,3,M. Muscala makes 3-pt shot from 23 ft (assist by M. Delaney)
9:07.0,,,31-36,,Personal foul by I. Taylor (drawn by J. Nelson)
9:04.0,L. Kennard makes 3-pt shot from 25 ft (assist by E. Moreland),3,34-36,,
8:47.0,,,34-36,,M. Muscala misses 3-pt shot from 25 ft
8:42.0,Defensive rebound by L. Kennard,,34-36,,
8:36.0,,,34-36,,D. Dedmon enters the game for M. Delaney
8:36.0,,,34-36,,K. Bazemore enters the game for J. Collins
8:36.0,,,34-36,,E. Ilyasova enters the game for M. Muscala
8:27.0,Shooting foul by I. Taylor (drawn by A. Tolliver),,34-36,,
8:27.0,A. Tolliver misses free throw 1 of 2,,34-36,,
8:27.0,Offensive rebound by Team,,34-36,,
8:27.0,B. Griffin enters the game for E. Moreland,,34-36,,
8:27.0,A. Tolliver makes free throw 2 of 2,1,35-36,,
8:12.0,,,35-36,,Turnover by K. Bazemore (bad pass; steal by J. Ennis)
8:04.0,Technical foul by J. Nelson,,35-36,,
8:04.0,,,35-37,1,K. Bazemore makes technical free throw
7:59.0,A. Tolliver makes 3-pt shot from 25 ft (assist by J. Nelson),3,38-37,,
7:32.0,,,38-37,,T. Dorsey misses 2-pt shot from 2 ft
7:29.0,Defensive rebound by B. Griffin,,38-37,,
7:26.0,B. Griffin misses 3-pt shot from 25 ft,,38-37,,
7:23.0,,,38-37,,Defensive rebound by D. Dedmon
7:07.0,,,38-39,2,D. Dedmon makes 2-pt shot from 1 ft (assist by K. Bazemore)
6:56.0,J. Nelson misses 3-pt shot from 23 ft,,38-39,,
6:50.0,Offensive rebound by A. Tolliver,,38-39,,
6:48.0,J. Ennis misses 3-pt shot from 24 ft,,38-39,,
6:46.0,Offensive rebound by J. Nelson,,38-39,,
6:44.0,A. Tolliver misses 3-pt shot from 24 ft,,38-39,,
6:40.0,,,38-39,,Defensive rebound by E. Ilyasova
6:35.0,,,38-39,,K. Bazemore misses 2-pt shot from 2 ft
6:33.0,,,38-39,,Offensive rebound by D. Dedmon
6:33.0,Personal foul by J. Nelson (drawn by I. Taylor),,38-39,,
6:33.0,,,38-39,,Atlanta full timeout
6:33.0,,,38-39,,D. Schroder enters the game for T. Dorsey
6:33.0,S. Johnson enters the game for J. Ennis,,38-39,,
6:33.0,I. Smith enters the game for J. Nelson,,38-39,,
6:26.0,,,38-42,3,K. Bazemore makes 3-pt shot from 25 ft (assist by D. Schroder)
6:00.0,B. Griffin misses 2-pt shot from 1 ft,,38-42,,
6:00.0,Offensive rebound by B. Griffin,,38-42,,
6:00.0,B. Griffin misses 2-pt shot from 1 ft (block by I. Taylor),,38-42,,
6:00.0,,,38-42,,Defensive rebound by Team
5:52.0,Personal foul by A. Tolliver (drawn by E. Ilyasova),,38-42,,
5:43.0,,,38-44,2,D. Dedmon makes 2-pt shot at rim (assist by D. Schroder)
5:37.0,Detroit full timeout,,38-44,,
5:37.0,,,38-44,,M. Delaney enters the game for I. Taylor
5:37.0,R. Bullock enters the game for L. Kennard,,38-44,,
5:37.0,A. Drummond enters the game for A. Tolliver,,38-44,,
5:27.0,A. Drummond makes 2-pt shot from 7 ft (assist by I. Smith),2,40-44,,
5:04.0,,,40-44,,K. Bazemore misses 3-pt shot from 25 ft
5:01.0,Defensive rebound by R. Bullock,,40-44,,
4:56.0,Turnover by I. Smith (bad pass; steal by D. Dedmon),,40-44,,
4:48.0,,,40-46,2,E. Ilyasova makes 2-pt shot from 9 ft (assist by D. Dedmon)
4:22.0,Turnover by I. Smith (bad pass),,40-46,,
4:12.0,,,40-49,3,E. Ilyasova makes 3-pt shot from 23 ft (assist by M. Delaney)
3:52.0,Shooting foul by E. Ilyasova (drawn by R. Bullock),,40-49,,
3:52.0,R. Bullock makes free throw 1 of 2,1,41-49,,
3:52.0,,,41-49,,J. Collins enters the game for D. Dedmon
3:52.0,R. Bullock misses free throw 2 of 2,,41-49,,
3:52.0,Offensive rebound by Team,,41-49,,
3:52.0,,,41-49,,Loose ball foul by J. Collins (drawn by A. Drummond)
3:52.0,A. Drummond makes free throw 1 of 2,1,42-49,,
3:52.0,A. Drummond misses free throw 2 of 2,,42-49,,
3:49.0,,,42-49,,Defensive rebound by E. Ilyasova
3:37.0,,,42-49,,E. Ilyasova misses 2-pt shot from 8 ft
3:33.0,Defensive rebound by R. Bullock,,42-49,,
3:26.0,Shooting foul by K. Bazemore (drawn by A. Drummond),,42-49,,
3:26.0,A. Drummond makes free throw 1 of 2,1,43-49,,
3:26.0,,,43-49,,M. Muscala enters the game for E. Ilyasova
3:26.0,,,43-49,,T. Waller-Prince enters the game for K. Bazemore
3:26.0,A. Drummond makes free throw 2 of 2,1,44-49,,
3:05.0,,,44-51,2,M. Delaney makes 2-pt shot from 22 ft
2:40.0,Shooting foul by J. Collins (drawn by A. Drummond),,44-51,,
2:40.0,A. Drummond makes free throw 1 of 2,1,45-51,,
2:40.0,A. Drummond makes free throw 2 of 2,1,46-51,,
2:26.0,,,46-51,,Shooting foul by B. Griffin (drawn by D. Schroder)
2:26.0,,,46-51,,D. Schroder misses free throw 1 of 2
2:26.0,,,46-51,,Offensive rebound by Team
2:26.0,,,46-51,,D. Dedmon enters the game for J. Collins
2:26.0,,,46-52,1,D. Schroder makes free throw 2 of 2
2:13.0,I. Smith misses 2-pt shot from 13 ft,,46-52,,
2:10.0,,,46-52,,Defensive rebound by M. Muscala
2:03.0,,,46-52,,Turnover by M. Delaney (bad pass)
1:54.0,B. Griffin misses 3-pt shot from 25 ft,,46-52,,
1:50.0,Offensive rebound by A. Drummond,,46-52,,
1:50.0,A. Drummond misses 2-pt shot at rim (block by D. Dedmon),,46-52,,
1:50.0,,,46-52,,Defensive rebound by D. Dedmon
1:50.0,Personal foul by B. Griffin,,46-52,,
1:50.0,Technical foul by B. Griffin,,46-52,,
1:50.0,,,46-52,,D. Schroder misses technical free throw
1:50.0,,,46-52,,Offensive rebound by Team
1:50.0,,,46-52,,D. Dedmon misses free throw 1 of 2
1:50.0,,,46-52,,Offensive rebound by Team
1:50.0,L. Kennard enters the game for S. Johnson,,46-52,,
1:50.0,A. Tolliver enters the game for B. Griffin,,46-52,,
1:50.0,,,46-53,1,D. Dedmon makes free throw 2 of 2
1:41.0,R. Bullock makes 3-pt shot from 25 ft (assist by I. Smith),3,49-53,,
1:30.0,,,49-53,,T. Waller-Prince misses 3-pt shot from 27 ft
1:26.0,Defensive rebound by A. Drummond,,49-53,,
1:16.0,R. Bullock makes 2-pt shot from 13 ft (assist by A. Drummond),2,51-53,,
1:02.0,,,51-55,2,D. Schroder makes 2-pt shot from 21 ft
0:51.0,R. Bullock misses 2-pt shot from 13 ft,,51-55,,
0:48.0,,,51-55,,Defensive rebound by D. Schroder
0:39.0,,,51-55,,Offensive charge foul by D. Schroder (drawn by A. Tolliver)
0:39.0,,,51-55,,Turnover by D. Schroder (offensive foul)
0:30.0,R. Bullock makes 3-pt shot from 25 ft (assist by I. Smith),3,54-55,,
0:11.0,,,54-55,,M. Muscala misses 3-pt shot from 24 ft
0:08.0,Defensive rebound by A. Drummond,,54-55,,
0:00.0,R. Bullock makes 2-pt shot at rim (assist by I. Smith),2,56-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,56-57,2,T. Waller-Prince makes 2-pt shot from 2 ft (assist by D. Schroder)
11:31.0,A. Drummond makes 2-pt shot from 1 ft (assist by B. Griffin),2,58-57,,
11:12.0,,,58-57,,T. Waller-Prince misses 3-pt shot from 24 ft
11:09.0,Defensive rebound by B. Griffin,,58-57,,
10:58.0,A. Drummond misses 2-pt shot from 2 ft,,58-57,,
10:48.0,Offensive rebound by A. Drummond,,58-57,,
10:48.0,A. Drummond makes 2-pt shot at rim,2,60-57,,
10:38.0,,,60-59,2,D. Dedmon makes 2-pt shot from 9 ft (assist by T. Waller-Prince)
10:25.0,,,60-59,,Personal foul by K. Bazemore (drawn by A. Drummond)
10:10.0,B. Griffin misses 3-pt shot from 25 ft,,60-59,,
10:07.0,,,60-59,,Defensive rebound by D. Dedmon
10:00.0,Personal foul by S. Johnson (drawn by D. Dedmon),,60-59,,
9:45.0,,,60-59,,Turnover by K. Bazemore (lost ball; steal by S. Johnson)
9:41.0,Jump ball: E. Ilyasova vs. S. Johnson (D. Schroder gains possession),,,,Jump ball: E. Ilyasova vs. S. Johnson (D. Schroder gains possession)
9:41.0,Turnover by S. Johnson (turnover; steal by E. Ilyasova),,60-59,,
9:37.0,Personal foul by R. Bullock (drawn by D. Schroder),,60-59,,
9:26.0,,,60-59,,T. Waller-Prince misses 2-pt shot from 15 ft
9:25.0,Defensive rebound by Team,,60-59,,
9:25.0,,,60-59,,Loose ball foul by D. Dedmon (drawn by A. Drummond)
9:08.0,Offensive charge foul by S. Johnson (drawn by D. Schroder),,60-59,,
9:08.0,Turnover by S. Johnson (offensive foul),,60-59,,
9:08.0,J. Ennis enters the game for S. Johnson,,60-59,,
8:50.0,,,60-59,,K. Bazemore misses 3-pt shot from 25 ft
8:48.0,Defensive rebound by Team,,60-59,,
8:24.0,Turnover by I. Smith (bad pass; steal by E. Ilyasova),,60-59,,
8:20.0,,,60-61,2,D. Schroder makes 2-pt shot from 1 ft (assist by K. Bazemore)
8:05.0,I. Smith misses 2-pt shot from 17 ft,,60-61,,
8:00.0,Offensive rebound by A. Drummond,,60-61,,
7:59.0,A. Drummond makes 2-pt shot from 2 ft,2,62-61,,
7:35.0,,,62-61,,Shooting foul by I. Smith (drawn by E. Ilyasova)
7:35.0,,,62-62,1,E. Ilyasova makes free throw 1 of 3
7:35.0,,,62-63,1,E. Ilyasova makes free throw 2 of 3
7:35.0,,,62-63,,T. Dorsey enters the game for T. Waller-Prince
7:35.0,,,62-64,1,E. Ilyasova makes free throw 3 of 3
7:24.0,Turnover by R. Bullock (lost ball; steal by K. Bazemore),,62-64,,
7:24.0,Personal foul by J. Ennis (drawn by K. Bazemore),,62-64,,
7:18.0,,,62-64,,Offensive foul by K. Bazemore (drawn by B. Griffin)
7:18.0,,,62-64,,Turnover by K. Bazemore (offensive foul)
7:10.0,,,62-64,,Violation by D. Schroder (kicked ball)
7:07.0,J. Ennis misses 2-pt shot from 2 ft,,62-64,,
7:00.0,Offensive rebound by J. Ennis,,62-64,,
7:00.0,J. Ennis makes 2-pt shot at rim,2,64-64,,
6:52.0,Personal foul by J. Ennis (drawn by K. Bazemore),,64-64,,
6:52.0,,,64-64,,Atlanta full timeout
6:52.0,,,64-65,1,K. Bazemore makes free throw 1 of 2
6:52.0,,,64-66,1,K. Bazemore makes free throw 2 of 2
6:35.0,R. Bullock makes 2-pt shot from 1 ft (assist by B. Griffin),2,66-66,,
6:21.0,,,66-66,,E. Ilyasova misses 3-pt shot from 24 ft
6:21.0,Defensive rebound by Team,,66-66,,
6:12.0,B. Griffin misses 2-pt shot from 21 ft,,66-66,,
6:08.0,Offensive rebound by A. Drummond,,66-66,,
6:05.0,,,66-66,,Personal foul by E. Ilyasova (drawn by A. Drummond)
5:55.0,B. Griffin misses 2-pt shot from 2 ft,,66-66,,
5:53.0,,,66-66,,Defensive rebound by E. Ilyasova
5:41.0,,,66-68,2,D. Dedmon makes 2-pt shot from 15 ft (assist by D. Schroder)
5:25.0,Turnover by I. Smith (bad pass),,66-68,,
5:25.0,Loose ball foul by A. Drummond (drawn by D. Dedmon),,66-68,,
5:25.0,,,66-69,1,D. Dedmon makes free throw 1 of 2
5:25.0,,,66-70,1,D. Dedmon makes free throw 2 of 2
5:25.0,J. Nelson enters the game for I. Smith,,66-70,,
5:25.0,,,66-70,,J. Collins enters the game for E. Ilyasova
5:25.0,,,66-70,,M. Delaney enters the game for K. Bazemore
5:16.0,Turnover by J. Nelson (discontinued dribble),,66-70,,
4:58.0,,,66-70,,J. Collins misses 2-pt shot from 3 ft (block by A. Drummond)
4:51.0,Defensive rebound by J. Ennis,,66-70,,
4:50.0,Shooting foul by D. Schroder (drawn by B. Griffin),,66-70,,
4:50.0,B. Griffin makes free throw 1 of 2,1,67-70,,
4:50.0,A. Tolliver enters the game for A. Drummond,,67-70,,
4:50.0,B. Griffin makes free throw 2 of 2,1,68-70,,
4:35.0,,,68-70,,D. Dedmon misses 2-pt shot from 17 ft
4:29.0,Defensive rebound by R. Bullock,,68-70,,
4:16.0,B. Griffin misses 3-pt shot from 25 ft,,68-70,,
4:12.0,,,68-70,,Defensive rebound by D. Dedmon
4:09.0,,,68-70,,Turnover by D. Schroder (traveling)
4:09.0,,,68-70,,M. Muscala enters the game for D. Dedmon
4:01.0,J. Nelson misses 2-pt shot from 16 ft,,68-70,,
3:58.0,,,68-70,,Defensive rebound by J. Collins
3:54.0,,,68-70,,Shooting foul by J. Nelson (drawn by D. Schroder)
3:54.0,,,68-71,1,D. Schroder makes free throw 1 of 2
3:54.0,,,68-71,,D. Schroder misses free throw 2 of 2
3:51.0,Defensive rebound by B. Griffin,,68-71,,
3:41.0,R. Bullock misses 2-pt shot from 7 ft,,68-71,,
3:38.0,,,68-71,,Defensive rebound by M. Muscala
3:26.0,,,68-73,2,T. Dorsey makes 2-pt shot from 4 ft
3:08.0,A. Tolliver makes 3-pt shot from 22 ft (assist by B. Griffin),3,71-73,,
2:39.0,,,71-73,,M. Delaney misses 2-pt shot from 7 ft
2:38.0,,,71-73,,Offensive rebound by Team
2:38.0,Loose ball foul by A. Tolliver (drawn by J. Collins),,71-73,,
2:38.0,Detroit full timeout,,71-73,,
2:38.0,,,71-73,,T. Waller-Prince enters the game for D. Schroder
2:38.0,,,71-74,1,J. Collins makes free throw 1 of 2
2:38.0,,,71-74,,J. Collins misses free throw 2 of 2
2:35.0,,,71-74,,Offensive rebound by M. Muscala
2:25.0,,,71-77,3,M. Muscala makes 3-pt shot from 22 ft (assist by J. Collins)
2:07.0,R. Bullock misses 3-pt shot from 23 ft,,71-77,,
2:06.0,Offensive rebound by Team,,71-77,,
2:06.0,,,71-77,,Loose ball foul by J. Collins (drawn by B. Griffin)
2:06.0,B. Griffin makes free throw 1 of 2,1,72-77,,
2:06.0,B. Griffin makes free throw 2 of 2,1,73-77,,
1:50.0,,,73-77,,T. Dorsey misses 3-pt shot from 23 ft
1:36.0,,,73-77,,Offensive rebound by M. Muscala
1:36.0,,,73-79,2,M. Muscala makes 2-pt shot at rim
1:33.0,B. Griffin misses 3-pt shot from 24 ft,,73-79,,
1:31.0,,,73-79,,Defensive rebound by T. Dorsey
1:25.0,,,73-81,2,M. Delaney makes 2-pt shot from 2 ft
1:25.0,,,73-81,,Shooting foul by J. Nelson (drawn by M. Delaney)
1:25.0,,,73-82,1,M. Delaney makes free throw 1 of 1
1:12.0,J. Ennis makes 3-pt shot from 25 ft (assist by B. Griffin),3,76-82,,
0:56.0,,,76-82,,T. Dorsey misses 3-pt shot from 23 ft
0:54.0,Defensive rebound by J. Ennis,,76-82,,
0:46.0,J. Nelson makes 2-pt shot at rim (assist by J. Ennis),2,78-82,,
0:26.0,,,78-82,,M. Muscala misses 2-pt shot at rim (block by A. Tolliver)
0:26.0,,,78-82,,Offensive rebound by Team
0:26.0,A. Drummond enters the game for B. Griffin,,78-82,,
0:25.0,,,78-82,,J. Collins misses 2-pt shot from 19 ft
0:20.0,Defensive rebound by J. Nelson,,78-82,,
0:17.0,J. Ennis makes 2-pt shot from 1 ft (assist by J. Nelson),2,80-82,,
0:00.0,,,80-82,,T. Waller-Prince misses 3-pt shot from 27 ft
0:00.0,,,80-82,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,J. Ennis makes 2-pt shot from 1 ft (assist by A. Drummond),2,82-82,,
11:45.0,Shooting foul by D. Dedmon (drawn by J. Ennis),,82-82,,
11:45.0,J. Ennis makes free throw 1 of 1,1,83-82,,
11:26.0,,,83-85,3,M. Delaney makes 3-pt shot from 25 ft (assist by M. Muscala)
11:05.0,A. Drummond makes 2-pt shot from 2 ft (assist by A. Tolliver),2,85-85,,
10:48.0,,,85-85,,Turnover by D. Dedmon (traveling)
10:36.0,Turnover by L. Kennard (lost ball; steal by M. Delaney),,85-85,,
10:32.0,,,85-87,2,I. Taylor makes 2-pt shot from 1 ft (assist by M. Delaney)
10:18.0,A. Drummond makes 2-pt shot from 4 ft (assist by J. Nelson),2,87-87,,
10:18.0,Shooting foul by D. Dedmon (drawn by A. Drummond),,87-87,,
10:18.0,A. Drummond misses free throw 1 of 1,,87-87,,
10:16.0,,,87-87,,Defensive rebound by D. Dedmon
10:02.0,,,87-87,,Turnover by T. Waller-Prince (bad pass)
9:54.0,J. Nelson makes 2-pt shot from 22 ft (assist by A. Tolliver),2,89-87,,
9:38.0,,,89-87,,Turnover by T. Waller-Prince (out of bounds lost ball)
9:30.0,A. Tolliver makes 3-pt shot from 25 ft (assist by J. Nelson),3,92-87,,
9:01.0,,,92-89,2,I. Taylor makes 2-pt shot from 1 ft
8:50.0,Shooting foul by D. Dedmon (drawn by A. Drummond),,92-89,,
8:50.0,A. Drummond makes free throw 1 of 2,1,93-89,,
8:50.0,,,93-89,,K. Bazemore enters the game for T. Waller-Prince
8:50.0,S. Johnson enters the game for J. Ennis,,93-89,,
8:50.0,A. Drummond makes free throw 2 of 2,1,94-89,,
8:30.0,,,94-89,,M. Delaney misses 3-pt shot from 24 ft
8:26.0,Defensive rebound by A. Tolliver,,94-89,,
8:16.0,J. Nelson misses 3-pt shot from 27 ft,,94-89,,
8:13.0,,,94-89,,Defensive rebound by D. Dedmon
8:06.0,,,94-89,,K. Bazemore misses 2-pt shot from 20 ft
8:01.0,Defensive rebound by A. Drummond,,94-89,,
7:57.0,A. Tolliver misses 3-pt shot from 25 ft,,94-89,,
7:53.0,,,94-89,,Defensive rebound by I. Taylor
7:44.0,Personal block foul by L. Kennard (drawn by K. Bazemore),,94-89,,
7:44.0,,,94-89,,D. Schroder enters the game for M. Delaney
7:44.0,,,94-89,,J. Collins enters the game for D. Dedmon
7:44.0,,,94-89,,E. Ilyasova enters the game for I. Taylor
7:44.0,,,94-89,,T. Dorsey enters the game for M. Muscala
