time,Denver,pts.away,score,pts.home,Dallas
4:52.0,Defensive rebound by W. Barton,,14-18,,
4:48.0,W. Chandler makes 2-pt shot from 1 ft (assist by W. Barton),2,16-18,,
4:48.0,,,16-18,,Violation by N. Noel (def goaltending)
4:36.0,,,16-20,2,Y. Ferrell makes 2-pt shot from 18 ft (assist by H. Barnes)
4:25.0,W. Chandler misses 3-pt shot from 25 ft,,16-20,,
4:22.0,,,16-20,,Defensive rebound by N. Noel
4:12.0,,,16-20,,Y. Ferrell misses 2-pt shot from 16 ft
4:09.0,Defensive rebound by N. Jokic,,16-20,,
4:05.0,,,16-20,,Personal foul by D. Smith (drawn by W. Chandler)
4:05.0,,,16-20,,J. Barea enters the game for Y. Ferrell
3:53.0,,,16-20,,Personal foul by D. McDermott (drawn by W. Chandler)
3:53.0,,,16-20,,K. Collinsworth enters the game for D. McDermott
3:48.0,G. Harris misses 3-pt shot from 25 ft,,16-20,,
3:45.0,,,16-20,,Defensive rebound by J. Barea
3:36.0,,,16-20,,H. Barnes misses 2-pt shot from 15 ft
3:33.0,Defensive rebound by N. Jokic,,16-20,,
3:28.0,W. Barton makes 3-pt shot from 25 ft,3,19-20,,
3:07.0,,,19-20,,H. Barnes misses 2-pt shot from 6 ft
3:05.0,Defensive rebound by N. Jokic,,19-20,,
2:57.0,W. Barton misses 2-pt shot from 1 ft,,19-20,,
2:56.0,,,19-20,,Defensive rebound by J. Barea
2:51.0,,,19-22,2,D. Smith makes 2-pt shot from 1 ft (assist by J. Barea)
2:42.0,Shooting foul by H. Barnes (drawn by W. Chandler),,19-22,,
2:42.0,Denver full timeout,,19-22,,
2:42.0,D. Harris enters the game for N. Jokic,,19-22,,
2:42.0,M. Plumlee enters the game for J. Murray,,19-22,,
2:42.0,W. Chandler misses free throw 1 of 2,,19-22,,
2:42.0,Offensive rebound by Team,,19-22,,
2:42.0,W. Chandler makes free throw 2 of 2,1,20-22,,
2:31.0,,,20-22,,H. Barnes misses 3-pt shot from 24 ft
2:27.0,,,20-22,,Offensive rebound by H. Barnes
2:24.0,Personal block foul by W. Barton (drawn by K. Collinsworth),,20-22,,
2:24.0,T. Lyles enters the game for M. Plumlee,,20-22,,
2:14.0,,,20-22,,K. Collinsworth misses 2-pt shot from 7 ft (block by W. Barton)
2:10.0,Defensive rebound by W. Barton,,20-22,,
2:03.0,Turnover by W. Barton (bad pass; steal by N. Noel),,20-22,,
1:53.0,,,20-22,,N. Noel misses 2-pt shot from 2 ft
1:50.0,,,20-22,,Offensive rebound by N. Noel
1:50.0,,,20-24,2,N. Noel makes 2-pt shot at rim
1:41.0,,,20-24,,Personal foul by N. Noel (drawn by W. Chandler)
1:41.0,W. Chandler makes free throw 1 of 2,1,21-24,,
1:41.0,,,21-24,,D. Nowitzki enters the game for D. Smith
1:41.0,,,21-24,,D. Powell enters the game for N. Noel
1:41.0,,,21-24,,Y. Ferrell enters the game for H. Barnes
1:41.0,W. Chandler makes free throw 2 of 2,1,22-24,,
1:27.0,,,22-26,2,D. Powell makes 2-pt shot from 1 ft (assist by J. Barea)
1:18.0,,,22-26,,Personal foul by K. Collinsworth (drawn by W. Chandler)
1:18.0,W. Chandler misses free throw 1 of 2,,22-26,,
1:18.0,Offensive rebound by Team,,22-26,,
1:18.0,M. Beasley enters the game for G. Harris,,22-26,,
1:18.0,W. Chandler makes free throw 2 of 2,1,23-26,,
1:11.0,,,23-26,,Turnover by J. Barea (out of bounds lost ball)
1:11.0,M. Plumlee enters the game for W. Chandler,,23-26,,
0:58.0,T. Lyles makes 2-pt shot from 4 ft,2,25-26,,
0:51.0,,,25-26,,J. Barea misses 2-pt shot from 7 ft (block by D. Harris)
0:51.0,,,25-26,,Offensive rebound by Team
0:47.0,,,25-26,,J. Barea misses 2-pt shot from 20 ft
0:44.0,Defensive rebound by M. Plumlee,,25-26,,
0:35.0,Turnover by T. Lyles (bad pass; steal by D. Powell),,25-26,,
0:26.0,,,25-29,3,D. Nowitzki makes 3-pt shot from 25 ft (assist by J. Barea)
0:03.0,Turnover by T. Lyles (step out of bounds),,25-29,,
0:00.0,,,25-29,,D. Powell misses 2-pt shot from 23 ft
0:00.0,,,25-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,25-29,,D. McDermott misses 2-pt shot from 6 ft
11:46.0,Defensive rebound by M. Beasley,,25-29,,
11:31.0,Turnover by D. Harris (bad pass; steal by J. Barea),,25-29,,
11:27.0,,,25-31,2,D. Powell makes 2-pt shot at rim (assist by D. McDermott)
11:21.0,D. Harris misses 2-pt shot from 9 ft,,25-31,,
11:20.0,Offensive rebound by M. Plumlee,,25-31,,
11:18.0,M. Plumlee makes 2-pt shot at rim,2,27-31,,
10:59.0,,,27-31,,Shooting foul by M. Plumlee (drawn by D. Powell)
10:59.0,,,27-32,1,D. Powell makes free throw 1 of 2
10:59.0,,,27-33,1,D. Powell makes free throw 2 of 2
10:44.0,M. Beasley makes 3-pt shot from 23 ft (assist by W. Barton),3,30-33,,
10:29.0,,,30-33,,D. Powell misses 2-pt shot from 6 ft
10:27.0,Defensive rebound by D. Harris,,30-33,,
10:21.0,M. Plumlee makes 2-pt shot at rim (assist by D. Harris),2,32-33,,
10:20.0,,,32-33,,Dallas full timeout
10:09.0,Shooting block foul by M. Plumlee (drawn by D. Powell),,32-33,,
10:09.0,,,32-34,1,D. Powell makes free throw 1 of 2
10:09.0,,,32-34,,D. Powell misses free throw 2 of 2
10:06.0,Defensive rebound by D. Harris,,32-34,,
9:57.0,Turnover by W. Barton (bad pass),,32-34,,
9:47.0,,,32-34,,D. McDermott misses 2-pt shot from 17 ft
9:44.0,Defensive rebound by T. Lyles,,32-34,,
9:36.0,T. Lyles misses 3-pt shot from 25 ft,,32-34,,
9:33.0,,,32-34,,Defensive rebound by D. Nowitzki
9:23.0,,,32-37,3,D. McDermott makes 3-pt shot from 22 ft (assist by Y. Ferrell)
9:14.0,D. Harris makes 2-pt shot from 2 ft,2,34-37,,
8:59.0,,,34-37,,J. Barea misses 2-pt shot from 7 ft
8:57.0,Defensive rebound by D. Harris,,34-37,,
8:49.0,Shooting foul by D. Nowitzki (drawn by M. Plumlee),,34-37,,
8:49.0,M. Plumlee makes free throw 1 of 2,1,35-37,,
8:49.0,M. Plumlee makes free throw 2 of 2,1,36-37,,
8:38.0,,,36-39,2,D. McDermott makes 2-pt shot from 3 ft (assist by J. Barea)
8:36.0,Denver full timeout,,36-39,,
8:23.0,T. Lyles makes 2-pt shot from 5 ft,2,38-39,,
8:05.0,,,38-39,,D. Powell misses 2-pt shot from 2 ft
8:05.0,,,38-39,,Offensive rebound by D. Powell
8:05.0,,,38-41,2,D. Powell makes 2-pt shot from 2 ft
8:05.0,,,38-41,,Shooting foul by M. Plumlee (drawn by D. Powell)
8:05.0,,,38-41,,K. Collinsworth enters the game for Y. Ferrell
8:05.0,N. Jokic enters the game for M. Plumlee,,38-41,,
8:05.0,,,38-42,1,D. Powell makes free throw 1 of 1
7:55.0,W. Barton makes 2-pt shot from 12 ft (assist by D. Harris),2,40-42,,
7:34.0,,,40-42,,D. Nowitzki misses 2-pt shot from 14 ft
7:32.0,Defensive rebound by M. Beasley,,40-42,,
7:28.0,D. Harris makes 3-pt shot from 25 ft (assist by W. Barton),3,43-42,,
7:08.0,,,43-42,,J. Barea misses 3-pt shot from 24 ft
7:06.0,,,43-42,,Offensive rebound by K. Collinsworth
7:04.0,,,43-42,,D. Nowitzki misses 2-pt shot from 18 ft (block by D. Harris)
7:02.0,,,43-42,,Offensive rebound by J. Barea
7:00.0,,,43-42,,Shooting foul by W. Barton (drawn by J. Barea)
7:00.0,,,43-43,1,J. Barea makes free throw 1 of 2
7:00.0,W. Chandler enters the game for M. Beasley,,43-43,,
7:00.0,,,43-44,1,J. Barea makes free throw 2 of 2
6:49.0,N. Jokic misses 2-pt shot at rim (block by D. Powell),,43-44,,
6:47.0,,,43-44,,Defensive rebound by J. Barea
6:34.0,,,43-46,2,D. Nowitzki makes 2-pt shot from 9 ft
6:25.0,T. Lyles makes 2-pt shot from 1 ft (assist by N. Jokic),2,45-46,,
6:25.0,Shooting foul by D. Nowitzki (drawn by T. Lyles),,45-46,,
6:25.0,,,45-46,,N. Noel enters the game for D. Powell
6:25.0,,,45-46,,H. Barnes enters the game for K. Collinsworth
6:25.0,,,45-46,,D. Smith enters the game for D. Nowitzki
6:25.0,G. Harris enters the game for W. Barton,,45-46,,
6:25.0,J. Murray enters the game for D. Harris,,45-46,,
6:25.0,T. Lyles makes free throw 1 of 1,1,46-46,,
6:12.0,,,46-46,,Turnover by J. Barea (bad pass)
6:12.0,P. Millsap enters the game for T. Lyles,,46-46,,
6:04.0,W. Chandler makes 3-pt shot from 24 ft (assist by N. Jokic),3,49-46,,
5:45.0,,,49-46,,H. Barnes misses 2-pt shot from 1 ft
5:42.0,Jump ball: N. Noel vs. N. Jokic (W. Chandler gains possession),,,,Jump ball: N. Noel vs. N. Jokic (W. Chandler gains possession)
5:42.0,Defensive rebound by Team,,49-46,,
5:39.0,W. Chandler makes 2-pt shot from 1 ft,2,51-46,,
5:39.0,,,51-46,,Dallas full timeout
5:14.0,,,51-46,,D. McDermott misses 3-pt shot from 25 ft
5:10.0,Defensive rebound by N. Jokic,,51-46,,
5:07.0,Turnover by N. Jokic (bad pass),,51-46,,
5:07.0,,,51-46,,Y. Ferrell enters the game for J. Barea
4:52.0,,,51-46,,H. Barnes misses 2-pt shot from 8 ft
4:49.0,Defensive rebound by W. Chandler,,51-46,,
4:42.0,P. Millsap misses 2-pt shot from 3 ft,,51-46,,
4:40.0,,,51-46,,Defensive rebound by N. Noel
4:33.0,,,51-46,,Shooting foul by P. Millsap (drawn by N. Noel)
4:33.0,,,51-46,,N. Noel misses free throw 1 of 2
4:33.0,,,51-46,,Offensive rebound by Team
4:33.0,,,51-46,,K. Collinsworth enters the game for D. McDermott
4:33.0,,,51-47,1,N. Noel makes free throw 2 of 2
4:22.0,G. Harris misses 2-pt shot from 4 ft (block by Y. Ferrell),,51-47,,
4:21.0,Offensive rebound by P. Millsap,,51-47,,
4:18.0,W. Chandler makes 3-pt shot from 25 ft (assist by P. Millsap),3,54-47,,
3:55.0,,,54-47,,H. Barnes misses 2-pt shot from 3 ft (block by P. Millsap)
3:55.0,,,54-47,,Offensive rebound by Team
3:50.0,,,54-47,,H. Barnes misses 2-pt shot from 3 ft
3:46.0,,,54-47,,Offensive rebound by H. Barnes
3:46.0,,,54-49,2,H. Barnes makes 2-pt shot at rim
3:34.0,G. Harris makes 2-pt shot from 22 ft (assist by N. Jokic),2,56-49,,
3:14.0,,,56-49,,H. Barnes misses 2-pt shot from 17 ft
3:11.0,Defensive rebound by N. Jokic,,56-49,,
3:09.0,,,56-49,,Personal foul by H. Barnes (drawn by P. Millsap)
3:00.0,N. Jokic misses 3-pt shot from 24 ft,,56-49,,
2:57.0,,,56-49,,Defensive rebound by K. Collinsworth
2:50.0,,,56-49,,K. Collinsworth misses 2-pt shot from 2 ft (block by J. Murray)
2:48.0,Defensive rebound by P. Millsap,,56-49,,
2:47.0,Turnover by W. Chandler (bad pass),,56-49,,
2:36.0,,,56-49,,D. Smith misses 2-pt shot from 21 ft
2:33.0,,,56-49,,Offensive rebound by N. Noel
2:33.0,,,56-49,,N. Noel misses 2-pt shot at rim
2:32.0,Defensive rebound by N. Jokic,,56-49,,
2:29.0,G. Harris makes 2-pt shot from 1 ft (assist by N. Jokic),2,58-49,,
2:13.0,,,58-51,2,H. Barnes makes 2-pt shot at rim (assist by D. Smith)
1:53.0,P. Millsap misses 2-pt shot from 1 ft,,58-51,,
1:51.0,,,58-51,,Defensive rebound by K. Collinsworth
1:38.0,,,58-53,2,H. Barnes makes 2-pt shot from 7 ft
1:38.0,Violation by P. Millsap (def goaltending),,58-53,,
1:24.0,Shooting foul by H. Barnes (drawn by P. Millsap),,58-53,,
1:24.0,P. Millsap makes free throw 1 of 2,1,59-53,,
1:24.0,,,59-53,,D. Powell enters the game for H. Barnes
1:24.0,P. Millsap makes free throw 2 of 2,1,60-53,,
1:01.0,,,60-56,3,Y. Ferrell makes 3-pt shot from 23 ft (assist by D. Smith)
0:51.0,G. Harris misses 2-pt shot from 19 ft,,60-56,,
0:49.0,,,60-56,,Defensive rebound by N. Noel
0:32.0,,,60-56,,D. Smith misses 3-pt shot from 25 ft
0:28.0,Defensive rebound by P. Millsap,,60-56,,
0:14.0,J. Murray makes 2-pt shot at rim,2,62-56,,
0:02.0,,,62-58,2,D. Smith makes 2-pt shot at rim
0:00.0,J. Murray misses 3-pt shot from 38 ft,,62-58,,
0:00.0,Offensive rebound by Team,,62-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,62-61,3,D. Nowitzki makes 3-pt shot from 23 ft (assist by D. Smith)
11:28.0,W. Chandler misses 3-pt shot from 22 ft,,62-61,,
11:26.0,,,62-61,,Defensive rebound by D. Nowitzki
11:08.0,,,62-61,,Turnover by D. Powell (lost ball; steal by N. Jokic)
11:03.0,W. Chandler makes 2-pt shot at rim (assist by P. Millsap),2,64-61,,
11:03.0,J. Murray makes technical free throw,1,65-61,,
10:53.0,,,65-61,,D. Smith misses 3-pt shot from 24 ft
10:49.0,Defensive rebound by W. Chandler,,65-61,,
10:41.0,J. Murray misses 2-pt shot from 21 ft,,65-61,,
10:38.0,,,65-61,,Defensive rebound by H. Barnes
10:22.0,,,65-63,2,Y. Ferrell makes 2-pt shot at rim (assist by D. Nowitzki)
10:11.0,N. Jokic misses 3-pt shot from 25 ft,,65-63,,
10:11.0,,,65-63,,Defensive rebound by D. Smith
9:58.0,,,65-63,,H. Barnes misses 2-pt shot from 5 ft (block by N. Jokic)
9:57.0,Defensive rebound by G. Harris,,65-63,,
9:51.0,W. Chandler misses 2-pt shot at rim,,65-63,,
9:47.0,,,65-63,,Defensive rebound by D. Smith
9:40.0,,,65-63,,D. Smith misses 2-pt shot from 7 ft
9:37.0,,,65-63,,Offensive rebound by D. Powell
9:31.0,,,65-66,3,D. Nowitzki makes 3-pt shot from 25 ft (assist by Y. Ferrell)
9:29.0,Denver full timeout,,65-66,,
9:17.0,Shooting foul by D. Nowitzki (drawn by P. Millsap),,65-66,,
9:17.0,P. Millsap makes free throw 1 of 2,1,66-66,,
9:17.0,P. Millsap makes free throw 2 of 2,1,67-66,,
8:58.0,,,67-66,,Turnover by Y. Ferrell (bad pass)
8:53.0,Shooting foul by D. Nowitzki (drawn by P. Millsap),,67-66,,
8:53.0,P. Millsap makes free throw 1 of 2,1,68-66,,
8:53.0,,,68-66,,D. McDermott enters the game for D. Powell
8:53.0,,,68-66,,N. Noel enters the game for D. Nowitzki
8:53.0,P. Millsap makes free throw 2 of 2,1,69-66,,
8:36.0,,,69-66,,Shooting foul by P. Millsap (drawn by D. McDermott)
8:36.0,,,69-67,1,D. McDermott makes free throw 1 of 3
8:36.0,,,69-68,1,D. McDermott makes free throw 2 of 3
8:36.0,,,69-69,1,D. McDermott makes free throw 3 of 3
8:20.0,P. Millsap misses 2-pt shot from 7 ft,,69-69,,
8:18.0,Offensive rebound by P. Millsap,,69-69,,
8:17.0,P. Millsap makes 2-pt shot from 1 ft,2,71-69,,
8:00.0,,,71-69,,N. Noel misses 2-pt shot from 3 ft (block by P. Millsap)
7:56.0,Defensive rebound by P. Millsap,,71-69,,
7:41.0,Turnover by W. Chandler (lost ball; steal by H. Barnes),,71-69,,
7:38.0,,,71-69,,Shooting foul by P. Millsap (drawn by D. Smith)
7:38.0,,,71-70,1,D. Smith makes free throw 1 of 2
7:38.0,,,71-71,1,D. Smith makes free throw 2 of 2
7:38.0,W. Barton enters the game for P. Millsap,,71-71,,
7:23.0,N. Jokic misses 2-pt shot from 7 ft,,71-71,,
7:22.0,Offensive rebound by N. Jokic,,71-71,,
7:21.0,N. Jokic makes 2-pt shot at rim,2,73-71,,
7:21.0,Shooting foul by N. Noel (drawn by N. Jokic),,73-71,,
7:21.0,N. Jokic misses free throw 1 of 1,,73-71,,
7:17.0,,,73-71,,Defensive rebound by D. McDermott
7:10.0,,,73-71,,Offensive foul by D. McDermott (drawn by G. Harris)
7:10.0,,,73-71,,Turnover by D. McDermott (offensive foul)
6:54.0,N. Jokic makes 2-pt shot from 4 ft,2,75-71,,
6:33.0,,,75-73,2,N. Noel makes 2-pt shot at rim (assist by D. Smith)
6:20.0,N. Jokic misses 3-pt shot from 25 ft,,75-73,,
6:19.0,,,75-73,,Defensive rebound by Team
6:06.0,,,75-76,3,Y. Ferrell makes 3-pt shot from 23 ft (assist by H. Barnes)
5:55.0,,,75-76,,Personal foul by N. Noel (drawn by N. Jokic)
5:47.0,J. Murray misses 3-pt shot from 25 ft,,75-76,,
5:42.0,,,75-76,,Defensive rebound by N. Noel
5:38.0,,,75-78,2,D. Smith makes 2-pt shot at rim
5:37.0,Denver full timeout,,75-78,,
5:28.0,G. Harris misses 3-pt shot from 24 ft,,75-78,,
5:24.0,,,75-78,,Defensive rebound by H. Barnes
5:08.0,,,75-78,,D. Smith misses 2-pt shot from 12 ft
5:04.0,,,75-78,,Offensive rebound by D. Smith
4:58.0,,,75-81,3,Y. Ferrell makes 3-pt shot from 25 ft (assist by D. McDermott)
4:44.0,J. Murray misses 2-pt shot from 1 ft,,75-81,,
4:42.0,,,75-81,,Defensive rebound by N. Noel
4:36.0,,,75-83,2,D. Smith makes 2-pt shot from 1 ft
4:22.0,W. Chandler makes 3-pt shot from 25 ft (assist by W. Barton),3,78-83,,
4:06.0,,,78-85,2,D. McDermott makes 2-pt shot from 10 ft
3:56.0,N. Jokic misses 3-pt shot from 25 ft,,78-85,,
3:54.0,,,78-85,,Defensive rebound by Y. Ferrell
3:41.0,,,78-88,3,D. Smith makes 3-pt shot from 25 ft
3:38.0,Denver full timeout,,78-88,,
3:38.0,,,78-88,,J. Barea enters the game for Y. Ferrell
3:38.0,M. Plumlee enters the game for N. Jokic,,78-88,,
3:38.0,D. Harris enters the game for J. Murray,,78-88,,
3:18.0,W. Chandler misses 2-pt shot from 7 ft (block by N. Noel),,78-88,,
3:15.0,Offensive rebound by W. Barton,,78-88,,
3:13.0,W. Barton misses 2-pt shot from 15 ft,,78-88,,
3:13.0,Offensive rebound by W. Barton,,78-88,,
3:07.0,G. Harris makes 3-pt shot from 26 ft (assist by W. Barton),3,81-88,,
2:54.0,,,81-90,2,H. Barnes makes 2-pt shot from 21 ft
2:40.0,D. Harris misses 3-pt shot from 24 ft,,81-90,,
2:38.0,,,81-90,,Defensive rebound by H. Barnes
2:30.0,,,81-92,2,N. Noel makes 2-pt shot from 4 ft (assist by J. Barea)
2:30.0,,,81-92,,Shooting foul by M. Plumlee (drawn by N. Noel)
2:30.0,,,81-92,,N. Noel misses free throw 1 of 1
2:27.0,Defensive rebound by W. Barton,,81-92,,
2:18.0,W. Barton misses 3-pt shot from 26 ft,,81-92,,
2:15.0,,,81-92,,Defensive rebound by D. Smith
2:08.0,,,81-94,2,D. Smith makes 2-pt shot at rim
1:58.0,G. Harris misses 3-pt shot from 25 ft,,81-94,,
1:58.0,,,81-94,,Defensive rebound by H. Barnes
1:45.0,,,81-94,,D. Smith misses 3-pt shot from 25 ft
1:42.0,Defensive rebound by M. Plumlee,,81-94,,
1:33.0,G. Harris makes 2-pt shot from 1 ft,2,83-94,,
1:07.0,,,83-94,,D. McDermott misses 2-pt shot from 15 ft
1:04.0,Defensive rebound by W. Chandler,,83-94,,
0:46.0,W. Chandler misses 2-pt shot from 16 ft,,83-94,,
0:44.0,,,83-94,,Defensive rebound by J. Barea
0:36.0,,,83-94,,J. Barea misses 3-pt shot from 24 ft
0:33.0,Defensive rebound by W. Barton,,83-94,,
0:27.0,Turnover by W. Chandler (lost ball; steal by D. Smith),,83-94,,
0:24.0,,,83-96,2,D. McDermott makes 2-pt shot from 1 ft (assist by D. Smith)
0:04.0,W. Barton misses 2-pt shot from 14 ft,,83-96,,
0:03.0,Offensive rebound by Team,,83-96,,
0:03.0,,,83-96,,K. Collinsworth enters the game for D. McDermott
0:00.0,M. Plumlee makes 2-pt shot from 4 ft (assist by W. Barton),2,85-96,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,M. Beasley misses 3-pt shot from 25 ft,,85-96,,
11:43.0,Offensive rebound by M. Plumlee,,85-96,,
11:38.0,D. Harris misses 3-pt shot from 25 ft,,85-96,,
11:35.0,,,85-96,,Defensive rebound by D. Powell
11:13.0,,,85-96,,Turnover by J. Barea (bad pass)
11:09.0,D. Harris misses 3-pt shot from 24 ft,,85-96,,
11:06.0,,,85-96,,Defensive rebound by J. Barea
11:01.0,,,85-96,,Turnover by J. Barea (bad pass; steal by M. Beasley)
10:56.0,W. Barton makes 3-pt shot from 25 ft (assist by M. Plumlee),3,88-96,,
10:40.0,,,88-99,3,J. Barea makes 3-pt shot from 25 ft
10:21.0,T. Lyles misses 2-pt shot from 8 ft,,88-99,,
10:19.0,,,88-99,,Defensive rebound by Y. Ferrell
10:15.0,,,88-99,,Turnover by J. Barea (out of bounds lost ball)
10:07.0,D. Harris misses 3-pt shot from 25 ft,,88-99,,
10:04.0,,,88-99,,Defensive rebound by J. Barea
9:56.0,,,88-99,,J. Barea misses 2-pt shot from 8 ft (block by M. Plumlee)
9:52.0,Defensive rebound by D. Harris,,88-99,,
9:51.0,Shooting foul by Y. Ferrell (drawn by W. Barton),,88-99,,
9:51.0,W. Barton makes free throw 1 of 2,1,89-99,,
9:51.0,W. Barton makes free throw 2 of 2,1,90-99,,
9:30.0,,,90-102,3,Y. Ferrell makes 3-pt shot from 24 ft
9:17.0,Shooting foul by D. Powell (drawn by T. Lyles),,90-102,,
9:17.0,T. Lyles misses free throw 1 of 2,,90-102,,
9:17.0,Offensive rebound by Team,,90-102,,
9:17.0,,,90-102,,K. Collinsworth enters the game for D. McDermott
9:17.0,T. Lyles misses free throw 2 of 2,,90-102,,
9:14.0,,,90-102,,Defensive rebound by D. Powell
9:04.0,Personal foul by D. Harris (drawn by D. Nowitzki),,90-102,,
8:55.0,,,90-102,,J. Barea misses 3-pt shot from 25 ft
8:46.0,Defensive rebound by M. Beasley,,90-102,,
8:40.0,T. Lyles makes 3-pt shot from 24 ft (assist by D. Harris),3,93-102,,
8:22.0,,,93-102,,Turnover by D. Nowitzki (bad pass)
8:15.0,Shooting foul by Y. Ferrell (drawn by M. Beasley),,93-102,,
8:15.0,M. Beasley makes free throw 1 of 2,1,94-102,,
8:15.0,M. Beasley makes free throw 2 of 2,1,95-102,,
8:03.0,,,95-104,2,Y. Ferrell makes 2-pt shot from 22 ft (assist by J. Barea)
7:52.0,W. Barton misses 3-pt shot from 25 ft,,95-104,,
7:49.0,Offensive rebound by D. Harris,,95-104,,
7:47.0,W. Barton misses 3-pt shot from 25 ft,,95-104,,
7:47.0,,,95-104,,Defensive rebound by J. Barea
7:39.0,,,95-104,,Turnover by K. Collinsworth (bad pass; steal by W. Barton)
7:34.0,D. Harris makes 2-pt shot from 1 ft (assist by M. Beasley),2,97-104,,
7:33.0,,,97-104,,Dallas full timeout
7:19.0,,,97-104,,D. Nowitzki misses 3-pt shot from 24 ft
7:15.0,Defensive rebound by W. Barton,,97-104,,
7:04.0,Turnover by W. Barton (bad pass; steal by D. Nowitzki),,97-104,,
6:57.0,,,97-104,,D. Nowitzki misses 3-pt shot from 25 ft
6:53.0,Defensive rebound by T. Lyles,,97-104,,
6:44.0,M. Beasley makes 2-pt shot from 5 ft (assist by T. Lyles),2,99-104,,
6:27.0,,,99-106,2,J. Barea makes 2-pt shot from 12 ft
6:08.0,Turnover by T. Lyles (bad pass),,99-106,,
6:08.0,,,99-106,,D. Smith enters the game for K. Collinsworth
5:55.0,,,99-108,2,D. Powell makes 2-pt shot at rim
