time,Charlotte,pts.away,score,pts.home,Washington
7:16.0,Offensive rebound by M. Williams,,12-10,,
7:12.0,M. Williams makes 2-pt shot at rim,2,14-10,,
7:03.0,,,14-10,,Turnover by B. Beal (bad pass; steal by N. Batum)
7:00.0,N. Batum makes 2-pt shot from 2 ft (assist by D. Howard),2,16-10,,
7:00.0,Shooting foul by M. Morris (drawn by N. Batum),,16-10,,
7:00.0,N. Batum makes free throw 1 of 1,1,17-10,,
6:57.0,,,17-10,,Washington full timeout
6:50.0,,,17-12,2,M. Morris makes 2-pt shot from 2 ft (assist by T. Satoransky)
6:33.0,D. Howard makes 2-pt shot from 2 ft (assist by N. Batum),2,19-12,,
6:18.0,,,19-12,,M. Morris misses 3-pt shot from 24 ft
6:15.0,,,19-12,,Offensive rebound by O. Porter
6:14.0,,,19-15,3,B. Beal makes 3-pt shot from 26 ft (assist by O. Porter)
5:51.0,K. Walker misses 3-pt shot from 26 ft,,19-15,,
5:48.0,,,19-15,,Defensive rebound by M. Morris
5:36.0,,,19-15,,Turnover by M. Morris (traveling)
5:18.0,M. Kidd-Gilchrist makes 2-pt shot from 16 ft (assist by N. Batum),2,21-15,,
5:04.0,,,21-15,,Turnover by T. Satoransky (out of bounds lost ball)
5:04.0,,,21-15,,K. Oubre enters the game for O. Porter
4:45.0,M. Williams makes 3-pt shot from 29 ft (assist by N. Batum),3,24-15,,
4:45.0,Shooting foul by M. Morris (drawn by M. Williams),,24-15,,
4:45.0,,,24-15,,M. Scott enters the game for M. Morris
4:45.0,M. Williams misses free throw 1 of 1,,24-15,,
4:42.0,,,24-15,,Defensive rebound by M. Gortat
4:23.0,,,24-15,,Turnover by B. Beal (bad pass; steal by K. Walker)
4:13.0,M. Kidd-Gilchrist makes 2-pt shot from 12 ft,2,26-15,,
4:00.0,,,26-18,3,K. Oubre makes 3-pt shot from 25 ft (assist by M. Gortat)
3:43.0,K. Walker misses 2-pt shot from 16 ft,,26-18,,
3:40.0,,,26-18,,Defensive rebound by M. Gortat
3:27.0,,,26-20,2,T. Satoransky makes 2-pt shot at rim (assist by B. Beal)
3:20.0,Charlotte full timeout,,26-20,,
3:20.0,,,26-20,,I. Mahinmi enters the game for M. Gortat
3:20.0,F. Kaminsky enters the game for M. Williams,,26-20,,
3:20.0,J. Lamb enters the game for M. Kidd-Gilchrist,,26-20,,
3:13.0,D. Howard makes 2-pt shot from 4 ft (assist by N. Batum),2,28-20,,
2:57.0,,,28-20,,Offensive foul by I. Mahinmi (drawn by N. Batum)
2:57.0,,,28-20,,Turnover by I. Mahinmi (offensive foul)
2:57.0,C. Zeller enters the game for D. Howard,,28-20,,
2:57.0,M. Carter-Williams enters the game for K. Walker,,28-20,,
2:46.0,F. Kaminsky misses 3-pt shot from 25 ft,,28-20,,
2:42.0,Offensive rebound by C. Zeller,,28-20,,
2:41.0,J. Lamb misses 3-pt shot from 25 ft,,28-20,,
2:41.0,,,28-20,,Defensive rebound by I. Mahinmi
2:26.0,,,28-20,,M. Scott misses 2-pt shot from 7 ft
2:23.0,,,28-20,,Offensive rebound by M. Scott
2:22.0,,,28-20,,Turnover by M. Scott (lost ball; steal by M. Carter-Williams)
2:06.0,N. Batum makes 3-pt shot from 27 ft,3,31-20,,
1:51.0,,,31-20,,Shooting foul by C. Zeller (drawn by I. Mahinmi)
1:51.0,,,31-21,1,I. Mahinmi makes free throw 1 of 2
1:51.0,T. Graham enters the game for N. Batum,,31-21,,
1:51.0,,,31-22,1,I. Mahinmi makes free throw 2 of 2
1:38.0,Turnover by T. Graham (step out of bounds),,31-22,,
1:38.0,,,31-22,,J. Meeks enters the game for B. Beal
1:38.0,,,31-22,,T. Frazier enters the game for T. Satoransky
1:24.0,,,31-24,2,K. Oubre makes 2-pt shot from 2 ft
1:07.0,M. Carter-Williams misses 2-pt shot from 19 ft,,31-24,,
1:05.0,,,31-24,,Defensive rebound by T. Frazier
0:49.0,,,31-24,,Turnover by J. Meeks (bad pass; steal by J. Lamb)
0:49.0,,,31-24,,Personal take foul by K. Oubre (drawn by J. Lamb)
0:30.0,M. Carter-Williams makes 2-pt shot from 2 ft (assist by F. Kaminsky),2,33-24,,
0:13.0,,,33-26,2,K. Oubre makes 2-pt shot from 6 ft
0:00.0,J. Lamb makes 3-pt shot from 31 ft,3,36-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,36-26,,Personal foul by T. Frazier (drawn by M. Carter-Williams)
11:42.0,F. Kaminsky makes 3-pt shot from 26 ft (assist by J. Lamb),3,39-26,,
11:28.0,,,39-26,,K. Oubre misses 3-pt shot from 26 ft
11:24.0,Defensive rebound by J. Lamb,,39-26,,
11:18.0,J. Lamb misses 2-pt shot from 2 ft,,39-26,,
11:16.0,,,39-26,,Defensive rebound by K. Oubre
11:05.0,Technical foul by M. Carter-Williams (drawn by J. Meeks),,39-26,,
11:05.0,,,39-27,1,J. Meeks makes flagrant free throw 1 of 2
11:05.0,,,39-28,1,J. Meeks makes flagrant free throw 2 of 2
10:50.0,,,39-28,,Turnover by J. Meeks (bad pass; steal by T. Graham)
10:46.0,T. Graham makes 2-pt shot from 4 ft,2,41-28,,
10:46.0,Shooting foul by I. Mahinmi (drawn by T. Graham),,41-28,,
10:46.0,T. Graham makes free throw 1 of 1,1,42-28,,
10:27.0,,,42-30,2,I. Mahinmi makes 2-pt shot from 2 ft (assist by K. Oubre)
10:05.0,C. Zeller misses 2-pt shot from 5 ft,,42-30,,
10:04.0,,,42-30,,Defensive rebound by Team
10:04.0,Loose ball foul by C. Zeller (drawn by T. Frazier),,42-30,,
9:47.0,,,42-30,,J. Meeks misses 3-pt shot from 23 ft
9:43.0,Defensive rebound by J. Lamb,,42-30,,
9:34.0,M. Carter-Williams makes 2-pt shot from 8 ft,2,44-30,,
9:34.0,Shooting foul by I. Mahinmi (drawn by M. Carter-Williams),,44-30,,
9:34.0,,,44-30,,M. Morris enters the game for I. Mahinmi
9:34.0,M. Carter-Williams makes free throw 1 of 1,1,45-30,,
9:21.0,,,45-30,,M. Morris misses 2-pt shot from 14 ft
9:18.0,Defensive rebound by F. Kaminsky,,45-30,,
9:11.0,F. Kaminsky makes 3-pt shot from 25 ft (assist by J. Lamb),3,48-30,,
9:08.0,,,48-30,,Washington full timeout
9:08.0,,,48-30,,O. Porter enters the game for T. Frazier
9:08.0,,,48-30,,T. Satoransky enters the game for J. Meeks
9:08.0,,,48-30,,B. Beal enters the game for M. Scott
8:58.0,Personal foul by T. Graham (drawn by M. Morris),,48-30,,
8:48.0,,,48-30,,Shooting foul by T. Graham (drawn by B. Beal)
8:48.0,,,48-31,1,B. Beal makes free throw 1 of 2
8:48.0,,,48-32,1,B. Beal makes free throw 2 of 2
8:26.0,F. Kaminsky misses 2-pt shot from 20 ft,,48-32,,
8:22.0,,,48-32,,Defensive rebound by B. Beal
8:16.0,,,48-32,,Turnover by M. Morris (traveling)
8:08.0,F. Kaminsky makes 3-pt shot from 25 ft (assist by M. Carter-Williams),3,51-32,,
7:55.0,Personal foul by T. Graham (drawn by B. Beal),,51-32,,
7:55.0,,,51-33,1,B. Beal makes free throw 1 of 2
7:55.0,K. Walker enters the game for T. Graham,,51-33,,
7:55.0,,,51-34,1,B. Beal makes free throw 2 of 2
7:45.0,Offensive foul by M. Carter-Williams (drawn by K. Oubre),,51-34,,
7:45.0,Turnover by M. Carter-Williams (offensive foul),,51-34,,
7:36.0,,,51-34,,Offensive foul by M. Morris (drawn by C. Zeller)
7:36.0,,,51-34,,Turnover by M. Morris (offensive foul)
7:36.0,,,51-34,,M. Gortat enters the game for M. Morris
7:25.0,F. Kaminsky makes 2-pt shot from 1 ft,2,53-34,,
6:59.0,,,53-36,2,O. Porter makes 2-pt shot from 7 ft
6:39.0,Shooting foul by M. Gortat (drawn by M. Carter-Williams),,53-36,,
6:39.0,M. Carter-Williams makes free throw 1 of 2,1,54-36,,
6:39.0,M. Carter-Williams makes free throw 2 of 2,1,55-36,,
6:29.0,,,55-36,,Shooting foul by K. Walker (drawn by T. Satoransky)
6:29.0,,,55-37,1,T. Satoransky makes free throw 1 of 2
6:29.0,,,55-38,1,T. Satoransky makes free throw 2 of 2
6:09.0,,,55-38,,Personal foul by O. Porter (drawn by F. Kaminsky)
6:09.0,F. Kaminsky makes free throw 1 of 2,1,56-38,,
6:09.0,F. Kaminsky misses free throw 2 of 2,,56-38,,
6:08.0,,,56-38,,Defensive rebound by Team
5:57.0,,,56-38,,K. Oubre misses 2-pt shot from 18 ft
5:54.0,Defensive rebound by K. Walker,,56-38,,
5:48.0,K. Walker misses 3-pt shot from 25 ft,,56-38,,
5:44.0,,,56-38,,Defensive rebound by O. Porter
5:40.0,,,56-40,2,K. Oubre makes 2-pt shot from 1 ft (assist by O. Porter)
5:29.0,J. Lamb misses 3-pt shot from 28 ft,,56-40,,
5:24.0,,,56-40,,Defensive rebound by O. Porter
5:18.0,,,56-40,,O. Porter misses 2-pt shot from 14 ft
5:15.0,Defensive rebound by M. Carter-Williams,,56-40,,
5:11.0,M. Carter-Williams misses 2-pt shot from 8 ft,,56-40,,
5:08.0,Offensive rebound by C. Zeller,,56-40,,
5:02.0,F. Kaminsky misses 2-pt shot from 9 ft,,56-40,,
4:59.0,,,56-40,,Defensive rebound by M. Gortat
4:47.0,,,56-40,,K. Oubre misses 3-pt shot from 23 ft
4:45.0,Defensive rebound by F. Kaminsky,,56-40,,
4:30.0,M. Carter-Williams makes 2-pt shot from 2 ft (assist by J. Lamb),2,58-40,,
4:30.0,,,58-40,,Washington full timeout
4:30.0,D. Howard enters the game for J. Lamb,,58-40,,
4:30.0,M. Williams enters the game for M. Carter-Williams,,58-40,,
4:30.0,N. Batum enters the game for C. Zeller,,58-40,,
4:30.0,M. Kidd-Gilchrist enters the game for F. Kaminsky,,58-40,,
4:16.0,,,58-40,,T. Satoransky misses 3-pt shot from 22 ft
4:12.0,,,58-40,,Offensive rebound by T. Satoransky
4:12.0,,,58-40,,T. Satoransky misses 2-pt shot from 6 ft
4:12.0,Defensive rebound by N. Batum,,58-40,,
3:51.0,N. Batum misses 3-pt shot from 28 ft,,58-40,,
3:46.0,,,58-40,,Defensive rebound by B. Beal
3:38.0,,,58-40,,B. Beal misses 2-pt shot from 19 ft
3:35.0,Defensive rebound by D. Howard,,58-40,,
3:19.0,M. Kidd-Gilchrist makes 2-pt shot from 13 ft,2,60-40,,
2:58.0,,,60-43,3,T. Satoransky makes 3-pt shot from 26 ft (assist by O. Porter)
2:37.0,M. Williams misses 3-pt shot from 25 ft,,60-43,,
2:34.0,,,60-43,,Defensive rebound by B. Beal
2:22.0,,,60-43,,T. Satoransky misses 2-pt shot from 9 ft
2:18.0,Defensive rebound by K. Walker,,60-43,,
2:08.0,K. Walker misses 2-pt shot from 10 ft,,60-43,,
2:08.0,Offensive rebound by K. Walker,,60-43,,
2:03.0,K. Walker misses 2-pt shot from 16 ft,,60-43,,
2:03.0,,,60-43,,Defensive rebound by O. Porter
1:52.0,,,60-45,2,B. Beal makes 2-pt shot from 2 ft
1:33.0,,,60-45,,Personal foul by O. Porter (drawn by M. Williams)
1:33.0,M. Williams misses free throw 1 of 2,,60-45,,
1:33.0,Offensive rebound by Team,,60-45,,
1:33.0,M. Williams makes free throw 2 of 2,1,61-45,,
1:20.0,,,61-47,2,O. Porter makes 2-pt shot from 2 ft (assist by M. Gortat)
0:58.0,Shooting foul by B. Beal (drawn by M. Kidd-Gilchrist),,61-47,,
0:58.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,63-47,,
0:58.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,64-47,,
0:57.0,,,64-47,,Technical foul by B. Beal
0:57.0,K. Walker makes technical free throw,1,62-47,,
0:49.0,,,64-50,3,O. Porter makes 3-pt shot from 24 ft (assist by B. Beal)
0:39.0,Offensive foul by N. Batum (drawn by K. Oubre),,64-50,,
0:39.0,Turnover by N. Batum (offensive foul),,64-50,,
0:35.0,,,64-50,,Offensive foul by M. Gortat (drawn by M. Kidd-Gilchrist)
0:35.0,,,64-50,,Turnover by M. Gortat (offensive foul)
0:24.0,K. Walker makes 3-pt shot from 25 ft,3,67-50,,
0:01.0,,,67-52,2,K. Oubre makes 2-pt shot from 2 ft (assist by O. Porter)
0:00.0,Turnover by N. Batum (bad pass; steal by B. Beal),,67-52,,
0:00.0,,,67-55,3,B. Beal makes 3-pt shot from 23 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,D. Howard misses 2-pt shot from 6 ft,,67-55,,
11:47.0,,,67-55,,Defensive rebound by T. Satoransky
11:32.0,,,67-55,,Turnover by M. Morris (lost ball; steal by N. Batum)
11:13.0,D. Howard misses 2-pt shot from 4 ft,,67-55,,
11:11.0,,,67-55,,Defensive rebound by O. Porter
11:04.0,,,67-58,3,M. Morris makes 3-pt shot from 23 ft (assist by B. Beal)
10:48.0,K. Walker misses 2-pt shot from 1 ft,,67-58,,
10:47.0,Offensive rebound by D. Howard,,67-58,,
10:47.0,D. Howard makes 2-pt shot at rim,2,69-58,,
10:47.0,Shooting foul by M. Gortat (drawn by D. Howard),,69-58,,
10:47.0,D. Howard makes free throw 1 of 1,1,70-58,,
10:32.0,,,70-58,,B. Beal misses 2-pt shot from 14 ft
10:29.0,Defensive rebound by K. Walker,,70-58,,
10:21.0,K. Walker makes 3-pt shot from 26 ft,3,73-58,,
10:00.0,,,73-60,2,M. Gortat makes 2-pt shot from 9 ft (assist by M. Morris)
9:34.0,M. Kidd-Gilchrist makes 2-pt shot from 3 ft (assist by N. Batum),2,75-60,,
9:14.0,,,75-62,2,B. Beal makes 2-pt shot from 12 ft (assist by T. Satoransky)
8:59.0,Turnover by K. Walker (bad pass; steal by B. Beal),,75-62,,
8:54.0,,,75-64,2,B. Beal makes 2-pt shot from 1 ft
8:40.0,K. Walker misses 3-pt shot from 28 ft,,75-64,,
8:37.0,,,75-64,,Defensive rebound by B. Beal
8:30.0,,,75-64,,M. Morris misses 2-pt shot from 4 ft
8:30.0,,,75-64,,Offensive rebound by O. Porter
8:30.0,,,75-66,2,O. Porter makes 2-pt shot at rim
8:30.0,Charlotte full timeout,,75-66,,
8:19.0,N. Batum misses 3-pt shot from 25 ft,,75-66,,
8:16.0,,,75-66,,Defensive rebound by M. Morris
8:14.0,,,75-69,3,B. Beal makes 3-pt shot from 26 ft (assist by M. Morris)
7:58.0,N. Batum misses 3-pt shot from 27 ft,,75-69,,
7:54.0,Offensive rebound by M. Kidd-Gilchrist,,75-69,,
7:52.0,M. Williams makes 3-pt shot from 26 ft (assist by M. Kidd-Gilchrist),3,78-69,,
7:28.0,,,78-69,,M. Morris misses 2-pt shot from 15 ft (block by M. Williams)
7:25.0,Defensive rebound by D. Howard,,78-69,,
7:17.0,Shooting foul by M. Gortat (drawn by K. Walker),,78-69,,
7:17.0,K. Walker makes free throw 1 of 2,1,79-69,,
7:17.0,K. Walker makes free throw 2 of 2,1,80-69,,
7:06.0,,,80-69,,T. Satoransky misses 3-pt shot from 25 ft
7:03.0,Defensive rebound by N. Batum,,80-69,,
6:56.0,K. Walker makes 3-pt shot from 25 ft (assist by N. Batum),3,83-69,,
6:43.0,Personal foul by D. Howard,,83-69,,
6:43.0,Technical foul by D. Howard,,83-69,,
6:43.0,,,83-69,,B. Beal misses technical free throw
6:43.0,,,83-69,,Offensive rebound by Team
6:34.0,,,83-69,,B. Beal misses 2-pt shot from 21 ft
6:34.0,,,83-69,,Offensive rebound by Team
6:34.0,Loose ball foul by N. Batum (drawn by T. Satoransky),,83-69,,
6:32.0,Personal foul by D. Howard (drawn by M. Gortat),,83-69,,
6:26.0,,,83-71,2,B. Beal makes 2-pt shot from 18 ft (assist by M. Gortat)
6:04.0,M. Kidd-Gilchrist misses 2-pt shot from 14 ft,,83-71,,
5:59.0,,,83-71,,Defensive rebound by M. Morris
5:57.0,,,83-71,,B. Beal misses 2-pt shot from 23 ft
5:54.0,,,83-71,,Offensive rebound by M. Gortat
5:53.0,,,83-71,,M. Gortat misses 2-pt shot from 12 ft
5:53.0,Defensive rebound by Team,,83-71,,
5:40.0,M. Williams misses 3-pt shot from 25 ft,,83-71,,
5:36.0,,,83-71,,Defensive rebound by M. Gortat
5:30.0,,,83-71,,T. Satoransky misses 2-pt shot from 7 ft
5:27.0,Defensive rebound by N. Batum,,83-71,,
5:21.0,K. Walker misses 3-pt shot from 26 ft,,83-71,,
5:17.0,,,83-71,,Defensive rebound by B. Beal
5:13.0,,,83-71,,Turnover by B. Beal (bad pass; steal by M. Kidd-Gilchrist)
5:09.0,K. Walker misses 3-pt shot from 26 ft,,83-71,,
5:07.0,,,83-71,,Defensive rebound by M. Morris
4:53.0,,,83-71,,B. Beal misses 3-pt shot from 25 ft
4:49.0,Defensive rebound by D. Howard,,83-71,,
4:35.0,D. Howard misses 2-pt shot from 15 ft,,83-71,,
4:33.0,,,83-71,,Defensive rebound by M. Morris
4:19.0,,,83-73,2,O. Porter makes 2-pt shot from 14 ft (assist by M. Morris)
3:54.0,M. Williams misses 3-pt shot from 28 ft,,83-73,,
3:53.0,,,83-73,,Defensive rebound by Team
3:53.0,F. Kaminsky enters the game for M. Williams,,83-73,,
3:53.0,J. Lamb enters the game for M. Kidd-Gilchrist,,83-73,,
3:42.0,,,83-73,,M. Morris misses 3-pt shot from 26 ft
3:38.0,Defensive rebound by D. Howard,,83-73,,
3:27.0,K. Walker makes 2-pt shot from 3 ft,2,85-73,,
3:27.0,,,85-73,,Washington full timeout
3:13.0,,,85-73,,Turnover by B. Beal (bad pass)
2:54.0,D. Howard makes 2-pt shot from 2 ft,2,87-73,,
2:31.0,,,87-73,,O. Porter misses 3-pt shot from 26 ft
2:27.0,Defensive rebound by K. Walker,,87-73,,
2:24.0,K. Walker makes 2-pt shot from 1 ft,2,89-73,,
2:10.0,,,89-75,2,T. Satoransky makes 2-pt shot from 1 ft (assist by M. Morris)
1:55.0,K. Walker makes 3-pt shot from 26 ft,3,92-75,,
1:38.0,,,92-75,,I. Mahinmi enters the game for M. Gortat
1:38.0,,,92-75,,K. Oubre enters the game for O. Porter
1:38.0,,,92-75,,T. Frazier enters the game for T. Satoransky
1:38.0,M. Carter-Williams enters the game for N. Batum,,92-75,,
1:38.0,C. Zeller enters the game for D. Howard,,92-75,,
1:38.0,T. Graham enters the game for K. Walker,,92-75,,
1:28.0,,,92-77,2,B. Beal makes 2-pt shot from 2 ft
1:00.0,T. Graham misses 3-pt shot from 25 ft,,92-77,,
0:56.0,,,92-77,,Defensive rebound by T. Frazier
0:50.0,,,92-79,2,B. Beal makes 2-pt shot from 2 ft
0:50.0,,,92-79,,Shooting foul by M. Carter-Williams (drawn by B. Beal)
0:50.0,,,92-80,1,B. Beal makes free throw 1 of 1
0:48.0,,,92-80,,Personal foul by T. Frazier (drawn by M. Carter-Williams)
0:34.0,,,92-80,,Personal foul by K. Oubre (drawn by J. Lamb)
0:34.0,J. Lamb makes free throw 1 of 2,1,93-80,,
0:34.0,J. Lamb makes free throw 2 of 2,1,94-80,,
0:19.0,Personal foul by J. Lamb (drawn by T. Frazier),,94-80,,
0:19.0,,,94-81,1,T. Frazier makes free throw 1 of 2
0:19.0,,,94-82,1,T. Frazier makes free throw 2 of 2
0:01.0,F. Kaminsky misses 2-pt shot from 20 ft,,94-82,,
0:01.0,,,94-82,,Defensive rebound by K. Oubre
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,94-84,2,B. Beal makes 2-pt shot from 20 ft
11:27.0,J. Lamb makes 2-pt shot from 1 ft (assist by F. Kaminsky),2,96-84,,
11:07.0,,,96-84,,K. Oubre misses 2-pt shot from 21 ft
11:04.0,Defensive rebound by J. Lamb,,96-84,,
11:00.0,Shooting foul by I. Mahinmi (drawn by J. Lamb),,96-84,,
11:00.0,J. Lamb makes free throw 1 of 2,1,97-84,,
11:00.0,J. Lamb makes free throw 2 of 2,1,98-84,,
10:51.0,,,98-84,,M. Scott misses 2-pt shot from 17 ft
10:49.0,Defensive rebound by M. Carter-Williams,,98-84,,
10:40.0,F. Kaminsky misses 3-pt shot from 27 ft,,98-84,,
10:37.0,Offensive rebound by J. Lamb,,98-84,,
10:34.0,F. Kaminsky makes 3-pt shot from 22 ft (assist by J. Lamb),3,101-84,,
10:31.0,,,101-84,,Washington full timeout
10:31.0,,,101-84,,O. Porter enters the game for T. Frazier
10:18.0,,,101-84,,B. Beal misses 2-pt shot from 1 ft (block by M. Carter-Williams)
10:18.0,,,101-84,,Offensive rebound by Team
10:14.0,,,101-84,,B. Beal misses 2-pt shot from 2 ft (block by F. Kaminsky)
10:11.0,Defensive rebound by M. Carter-Williams,,101-84,,
10:08.0,C. Zeller makes 2-pt shot from 1 ft (assist by M. Carter-Williams),2,103-84,,
9:42.0,,,103-84,,O. Porter misses 2-pt shot from 14 ft
9:42.0,Defensive rebound by Team,,103-84,,
9:42.0,,,103-84,,Loose ball foul by I. Mahinmi (drawn by T. Graham)
9:42.0,,,103-84,,M. Morris enters the game for I. Mahinmi
9:24.0,J. Lamb misses 3-pt shot from 26 ft,,103-84,,
9:24.0,,,103-84,,Defensive rebound by B. Beal
9:12.0,,,103-86,2,M. Morris makes 2-pt shot from 11 ft (assist by B. Beal)
8:49.0,J. Lamb makes 2-pt shot from 3 ft,2,105-86,,
8:32.0,,,105-89,3,O. Porter makes 3-pt shot from 26 ft (assist by M. Morris)
8:12.0,M. Carter-Williams misses 2-pt shot from 5 ft,,105-89,,
8:11.0,Offensive rebound by C. Zeller,,105-89,,
8:09.0,F. Kaminsky makes 2-pt shot from 6 ft (assist by C. Zeller),2,107-89,,
7:56.0,,,107-89,,T. Satoransky enters the game for M. Scott
7:52.0,Personal foul by M. Carter-Williams (drawn by B. Beal),,107-89,,
7:46.0,,,107-91,2,M. Morris makes 2-pt shot from 1 ft (assist by B. Beal)
7:27.0,F. Kaminsky misses 2-pt shot from 9 ft,,107-91,,
7:24.0,Offensive rebound by F. Kaminsky,,107-91,,
7:21.0,K. Walker enters the game for T. Graham,,107-91,,
7:21.0,,,107-91,,Violation by T. Satoransky (kicked ball)
7:09.0,F. Kaminsky misses 3-pt shot from 22 ft,,107-91,,
7:05.0,Offensive rebound by M. Carter-Williams,,107-91,,
6:51.0,,,107-91,,Personal foul by O. Porter (drawn by F. Kaminsky)
6:40.0,M. Carter-Williams misses 2-pt shot from 6 ft,,107-91,,
6:37.0,Offensive rebound by C. Zeller,,107-91,,
6:35.0,J. Lamb makes 2-pt shot from 2 ft (assist by F. Kaminsky),2,109-91,,
6:15.0,,,109-93,2,T. Satoransky makes 2-pt shot from 2 ft (assist by M. Morris)
5:57.0,K. Walker makes 3-pt shot from 25 ft (assist by J. Lamb),3,112-93,,
5:36.0,,,112-95,2,B. Beal makes 2-pt shot from 7 ft
5:36.0,,,112-95,,Shooting foul by M. Carter-Williams (drawn by B. Beal)
5:36.0,M. Kidd-Gilchrist enters the game for M. Carter-Williams,,112-95,,
5:36.0,,,112-96,1,B. Beal makes free throw 1 of 1
5:24.0,,,112-96,,Personal foul by M. Morris (drawn by K. Walker)
5:08.0,K. Walker makes 2-pt shot from 16 ft,2,114-96,,
4:58.0,Violation by C. Zeller (kicked ball),,114-96,,
4:43.0,,,114-96,,Shooting foul by C. Zeller (drawn by B. Beal)
4:43.0,,,114-97,1,B. Beal makes free throw 1 of 2
4:43.0,,,114-98,1,B. Beal makes free throw 2 of 2
4:18.0,J. Lamb misses 3-pt shot from 28 ft,,114-98,,
4:18.0,Offensive rebound by Team,,114-98,,
4:18.0,Turnover by Team (shot clock),,114-98,,
4:08.0,,,114-98,,B. Beal misses 3-pt shot from 26 ft
4:04.0,Defensive rebound by J. Lamb,,114-98,,
3:57.0,Turnover by J. Lamb (traveling),,114-98,,
3:57.0,N. Batum enters the game for J. Lamb,,114-98,,
3:50.0,,,114-98,,O. Porter misses 3-pt shot from 25 ft
3:45.0,Defensive rebound by N. Batum,,114-98,,
3:32.0,F. Kaminsky makes 3-pt shot from 26 ft (assist by M. Kidd-Gilchrist),3,117-98,,
3:31.0,,,117-98,,Washington full timeout
3:31.0,,,117-98,,J. Meeks enters the game for B. Beal
3:31.0,,,117-98,,M. Scott enters the game for M. Morris
3:31.0,,,117-98,,C. McCullough enters the game for O. Porter
3:31.0,,,117-98,,T. Frazier enters the game for T. Satoransky
3:15.0,,,117-98,,K. Oubre misses 2-pt shot from 21 ft
3:14.0,,,117-98,,Offensive rebound by Team
3:09.0,,,117-100,2,T. Frazier makes 2-pt shot from 20 ft
2:48.0,F. Kaminsky makes 3-pt shot from 25 ft (assist by K. Walker),3,120-100,,
2:37.0,,,120-100,,C. McCullough misses 3-pt shot from 25 ft
2:34.0,Defensive rebound by N. Batum,,120-100,,
2:17.0,M. Kidd-Gilchrist makes 2-pt shot from 19 ft (assist by F. Kaminsky),2,122-100,,
2:04.0,,,122-100,,J. Meeks misses 3-pt shot from 26 ft
2:00.0,Defensive rebound by K. Walker,,122-100,,
1:56.0,Charlotte full timeout,,122-100,,
