time,Orlando,pts.away,score,pts.home,Chicago
5:56.0,,,10-13,,J. Grant misses free throw 1 of 1
5:53.0,Defensive rebound by B. Biyombo,,10-13,,
5:33.0,M. Hezonja makes 2-pt shot from 19 ft (assist by E. Fournier),2,12-13,,
5:14.0,,,12-15,2,L. Markkanen makes 2-pt shot from 5 ft (assist by J. Holiday)
5:02.0,M. Hezonja makes 3-pt shot from 25 ft (assist by J. Simmons),3,15-15,,
4:42.0,,,15-17,2,L. Markkanen makes 2-pt shot from 8 ft
4:30.0,B. Biyombo makes 2-pt shot from 7 ft (assist by D. Augustin),2,17-17,,
4:17.0,,,17-17,,Shooting foul by B. Biyombo (drawn by J. Holiday)
4:17.0,,,17-17,,J. Holiday misses free throw 1 of 2
4:17.0,,,17-17,,Offensive rebound by Team
4:17.0,W. Iwundu enters the game for J. Simmons,,17-17,,
4:17.0,,,17-18,1,J. Holiday makes free throw 2 of 2
3:53.0,M. Hezonja makes 2-pt shot from 1 ft (assist by D. Augustin),2,19-18,,
3:33.0,,,19-18,,R. Lopez misses 2-pt shot from 6 ft
3:33.0,Defensive rebound by M. Hezonja,,19-18,,
3:21.0,,,19-18,,B. Portis enters the game for L. Markkanen
3:21.0,M. Speights enters the game for B. Biyombo,,19-18,,
3:21.0,S. Mack enters the game for D. Augustin,,19-18,,
3:21.0,,,19-18,,D. Valentine enters the game for Z. LaVine
3:13.0,E. Fournier makes 2-pt shot from 21 ft (assist by M. Speights),2,21-18,,
3:04.0,,,21-21,3,B. Portis makes 3-pt shot from 25 ft (assist by J. Grant)
2:46.0,E. Fournier makes 2-pt shot from 20 ft (assist by M. Speights),2,23-21,,
2:32.0,,,23-23,2,R. Lopez makes 2-pt shot from 3 ft (assist by J. Grant)
2:11.0,M. Speights makes 3-pt shot from 25 ft (assist by E. Fournier),3,26-23,,
1:58.0,,,26-23,,B. Portis misses 2-pt shot from 2 ft
1:58.0,Defensive rebound by W. Iwundu,,26-23,,
1:52.0,W. Iwundu misses 2-pt shot from 2 ft (block by J. Grant),,26-23,,
1:52.0,,,26-23,,Defensive rebound by J. Holiday
1:35.0,,,26-23,,B. Portis misses 2-pt shot from 2 ft (block by M. Hezonja)
1:35.0,,,26-23,,Offensive rebound by B. Portis
1:35.0,,,26-23,,B. Portis misses 2-pt shot from 2 ft (block by M. Hezonja)
1:35.0,,,26-23,,Offensive rebound by Team
1:35.0,Orlando full timeout,,26-23,,
1:35.0,,,26-23,,P. Zipser enters the game for R. Lopez
1:23.0,,,26-26,3,P. Zipser makes 3-pt shot from 25 ft
1:07.0,M. Hezonja misses 2-pt shot from 16 ft,,26-26,,
1:07.0,,,26-26,,Defensive rebound by B. Portis
1:00.0,,,26-28,2,J. Holiday makes 2-pt shot from 4 ft (assist by J. Grant)
0:52.0,Shooting foul by P. Zipser (drawn by S. Mack),,26-28,,
0:52.0,S. Mack makes free throw 1 of 2,1,27-28,,
0:52.0,K. Birch enters the game for M. Hezonja,,27-28,,
0:52.0,S. Mack misses free throw 2 of 2,,27-28,,
0:50.0,,,27-28,,Defensive rebound by P. Zipser
0:33.0,,,27-30,2,J. Grant makes 2-pt shot from 7 ft
0:25.0,M. Speights misses 3-pt shot from 25 ft,,27-30,,
0:21.0,,,27-30,,Defensive rebound by D. Valentine
0:07.0,Personal take foul by S. Mack (drawn by J. Grant),,27-30,,
0:07.0,A. Afflalo enters the game for E. Fournier,,27-30,,
0:03.0,,,27-30,,B. Portis misses 2-pt shot from 21 ft
0:03.0,,,27-30,,Offensive rebound by J. Grant
0:00.0,,,27-30,,D. Valentine misses 3-pt shot from 26 ft
0:00.0,,,27-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,Shooting foul by P. Zipser (drawn by K. Birch),,27-30,,
11:44.0,K. Birch makes free throw 1 of 2,1,28-30,,
11:44.0,K. Birch makes free throw 2 of 2,1,29-30,,
11:33.0,,,29-30,,P. Zipser misses 3-pt shot from 24 ft
11:29.0,Defensive rebound by M. Speights,,29-30,,
11:19.0,S. Mack misses 3-pt shot from 24 ft,,29-30,,
11:19.0,Offensive rebound by M. Speights,,29-30,,
11:17.0,M. Speights misses 2-pt shot at rim,,29-30,,
11:16.0,Offensive rebound by K. Birch,,29-30,,
11:03.0,A. Afflalo makes 3-pt shot from 25 ft (assist by S. Mack),3,32-30,,
10:57.0,,,32-30,,B. Portis misses 3-pt shot from 24 ft
10:57.0,Defensive rebound by K. Birch,,32-30,,
10:49.0,M. Speights misses 3-pt shot from 26 ft,,32-30,,
10:49.0,,,32-30,,Defensive rebound by Team
10:37.0,,,32-32,2,D. Valentine makes 2-pt shot from 11 ft (assist by P. Zipser)
10:12.0,M. Speights makes 2-pt shot from 1 ft (assist by S. Mack),2,34-32,,
9:58.0,,,34-35,3,D. Valentine makes 3-pt shot from 24 ft (assist by B. Portis)
9:47.0,Turnover by S. Mack (bad pass; steal by D. Nwaba),,34-35,,
9:47.0,Personal foul by W. Iwundu (drawn by D. Nwaba),,34-35,,
9:36.0,,,34-37,2,B. Portis makes 2-pt shot from 18 ft (assist by D. Valentine)
9:17.0,W. Iwundu misses 3-pt shot from 25 ft,,34-37,,
9:17.0,,,34-37,,Defensive rebound by D. Nwaba
9:05.0,J. Simmons enters the game for M. Speights,,34-37,,
9:02.0,Jump ball: B. Portis vs. A. Afflalo (D. Valentine gains possession),,,,Jump ball: B. Portis vs. A. Afflalo (D. Valentine gains possession)
8:55.0,,,34-37,,D. Valentine misses 2-pt shot from 9 ft
8:55.0,,,34-37,,Offensive rebound by B. Portis
8:36.0,,,34-37,,D. Valentine misses 3-pt shot from 25 ft
8:36.0,Defensive rebound by S. Mack,,34-37,,
8:28.0,Turnover by S. Mack (bad pass; steal by D. Valentine),,34-37,,
8:26.0,,,34-37,,Shooting foul by A. Afflalo (drawn by D. Nwaba)
8:26.0,Technical foul by S. Mack,,34-37,,
8:26.0,,,34-37,,D. Valentine misses technical free throw
8:26.0,,,34-37,,Offensive rebound by Team
8:26.0,,,34-37,,D. Nwaba misses free throw 1 of 2
8:26.0,,,34-37,,Offensive rebound by Team
8:26.0,,,34-38,1,D. Nwaba makes free throw 2 of 2
8:06.0,S. Mack makes 2-pt shot from 8 ft (assist by J. Simmons),2,36-38,,
7:49.0,,,36-38,,P. Zipser misses 3-pt shot from 25 ft (block by W. Iwundu)
7:49.0,Defensive rebound by J. Simmons,,36-38,,
7:41.0,J. Simmons makes 2-pt shot from 1 ft,2,38-38,,
7:26.0,,,38-38,,Turnover by D. Nwaba (bad pass; steal by S. Mack)
7:19.0,S. Mack misses 2-pt shot from 1 ft,,38-38,,
7:16.0,,,38-38,,Defensive rebound by D. Valentine
7:10.0,,,38-38,,Z. LaVine enters the game for D. Valentine
7:02.0,,,38-38,,Shooting foul by A. Afflalo (drawn by D. Nwaba)
7:02.0,,,38-39,1,D. Nwaba makes free throw 1 of 2
7:02.0,,,38-40,1,D. Nwaba makes free throw 2 of 2
6:47.0,J. Simmons makes 2-pt shot from 3 ft,2,40-40,,
6:37.0,,,40-42,2,B. Portis makes 2-pt shot from 19 ft (assist by R. Arcidiacono)
6:10.0,J. Simmons misses 2-pt shot from 20 ft,,40-42,,
6:08.0,,,40-42,,Defensive rebound by Z. LaVine
6:03.0,,,40-44,2,B. Portis makes 2-pt shot from 2 ft (assist by Z. LaVine)
5:42.0,J. Simmons makes 2-pt shot from 2 ft,2,42-44,,
5:20.0,,,42-44,,B. Portis misses 3-pt shot from 24 ft
5:20.0,Defensive rebound by A. Afflalo,,42-44,,
5:07.0,S. Mack misses 2-pt shot from 3 ft,,42-44,,
5:05.0,Offensive rebound by S. Mack,,42-44,,
5:05.0,Shooting foul by D. Nwaba (drawn by J. Simmons),,42-44,,
5:05.0,,,42-44,,Chicago full timeout
5:05.0,,,42-44,,L. Markkanen enters the game for D. Nwaba
5:05.0,,,42-44,,J. Holiday enters the game for R. Arcidiacono
5:05.0,,,42-44,,J. Grant enters the game for P. Zipser
5:05.0,D. Augustin enters the game for S. Mack,,42-44,,
5:05.0,J. Simmons makes free throw 1 of 2,1,43-44,,
5:05.0,J. Simmons makes free throw 2 of 2,1,44-44,,
4:51.0,,,44-46,2,Z. LaVine makes 2-pt shot from 12 ft
4:24.0,J. Simmons misses 2-pt shot from 7 ft,,44-46,,
4:22.0,,,44-46,,Defensive rebound by J. Holiday
4:09.0,,,44-46,,Z. LaVine misses 3-pt shot from 25 ft
4:07.0,Defensive rebound by K. Birch,,44-46,,
3:57.0,A. Afflalo misses 3-pt shot from 23 ft,,44-46,,
3:53.0,,,44-46,,Defensive rebound by J. Holiday
3:44.0,,,44-48,2,L. Markkanen makes 2-pt shot from 1 ft (assist by B. Portis)
3:44.0,,,44-48,,Shooting foul by W. Iwundu (drawn by L. Markkanen)
3:44.0,,,44-48,,R. Lopez enters the game for B. Portis
3:44.0,E. Fournier enters the game for A. Afflalo,,44-48,,
3:44.0,B. Biyombo enters the game for K. Birch,,44-48,,
3:44.0,,,44-49,1,L. Markkanen makes free throw 1 of 1
3:30.0,,,44-49,,Personal foul by Z. LaVine (drawn by J. Simmons)
3:30.0,Orlando full timeout,,44-49,,
3:20.0,J. Simmons makes 2-pt shot from 3 ft,2,46-49,,
2:57.0,,,46-49,,L. Markkanen misses 2-pt shot from 4 ft
2:54.0,,,46-49,,Offensive rebound by J. Grant
2:53.0,,,46-49,,J. Grant misses 2-pt shot from 13 ft
2:53.0,Defensive rebound by W. Iwundu,,46-49,,
2:32.0,W. Iwundu misses 3-pt shot from 25 ft,,46-49,,
2:29.0,,,46-49,,Defensive rebound by L. Markkanen
2:24.0,,,46-49,,R. Lopez misses 2-pt shot from 9 ft (block by W. Iwundu)
2:23.0,Defensive rebound by Team,,46-49,,
2:23.0,M. Hezonja enters the game for W. Iwundu,,46-49,,
2:11.0,E. Fournier makes 2-pt shot from 1 ft (assist by B. Biyombo),2,48-49,,
1:56.0,,,48-51,2,L. Markkanen makes 2-pt shot from 1 ft (assist by R. Lopez)
1:35.0,E. Fournier misses 3-pt shot from 26 ft,,48-51,,
1:30.0,,,48-51,,Defensive rebound by Z. LaVine
1:25.0,,,48-53,2,Z. LaVine makes 2-pt shot from 1 ft
1:06.0,E. Fournier misses 2-pt shot from 1 ft (block by R. Lopez),,48-53,,
1:04.0,,,48-53,,Defensive rebound by J. Holiday
1:01.0,,,48-53,,J. Holiday misses 3-pt shot from 26 ft
0:58.0,Defensive rebound by B. Biyombo,,48-53,,
0:51.0,J. Simmons misses 3-pt shot from 25 ft,,48-53,,
0:48.0,,,48-53,,Defensive rebound by L. Markkanen
0:33.0,,,48-53,,Z. LaVine misses 2-pt shot from 20 ft
0:30.0,Defensive rebound by J. Simmons,,48-53,,
0:07.0,D. Augustin makes 3-pt shot from 25 ft (assist by E. Fournier),3,51-53,,
0:00.0,,,51-53,,J. Holiday misses 3-pt shot from 22 ft
0:00.0,,,51-53,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,B. Biyombo misses 2-pt shot from 6 ft,,51-53,,
11:35.0,,,51-53,,Defensive rebound by R. Lopez
11:33.0,,,51-53,,Turnover by R. Lopez (bad pass; steal by J. Simmons)
11:15.0,E. Fournier makes 3-pt shot from 23 ft (assist by D. Augustin),3,54-53,,
10:57.0,,,54-55,2,L. Markkanen makes 2-pt shot from 2 ft (assist by R. Lopez)
10:42.0,,,54-55,,Def 3 sec tech foul by R. Lopez
10:42.0,E. Fournier makes technical free throw,1,55-55,,
10:38.0,B. Biyombo makes 2-pt shot at rim (assist by E. Fournier),2,57-55,,
10:27.0,,,57-57,2,L. Markkanen makes 2-pt shot at rim (assist by R. Lopez)
10:11.0,D. Augustin misses 2-pt shot from 12 ft,,57-57,,
10:07.0,,,57-57,,Defensive rebound by J. Holiday
10:02.0,,,57-57,,L. Markkanen misses 3-pt shot from 25 ft
9:59.0,,,57-57,,Offensive rebound by R. Lopez
9:56.0,,,57-59,2,R. Lopez makes 2-pt shot from 1 ft
9:34.0,M. Hezonja makes 2-pt shot from 18 ft (assist by B. Biyombo),2,59-59,,
9:18.0,,,59-62,3,Z. LaVine makes 3-pt shot from 26 ft (assist by J. Grant)
8:53.0,B. Biyombo misses 2-pt shot from 4 ft,,59-62,,
8:53.0,,,59-62,,Defensive rebound by L. Markkanen
8:42.0,,,59-65,3,J. Holiday makes 3-pt shot from 23 ft (assist by J. Grant)
8:41.0,Orlando full timeout,,59-65,,
8:16.0,D. Augustin misses 3-pt shot from 23 ft,,59-65,,
8:13.0,,,59-65,,Defensive rebound by Z. LaVine
8:05.0,,,59-67,2,Z. LaVine makes 2-pt shot from 2 ft
7:51.0,E. Fournier misses 3-pt shot from 24 ft,,59-67,,
7:49.0,Offensive rebound by M. Hezonja,,59-67,,
7:49.0,Shooting foul by Z. LaVine (drawn by M. Hezonja),,59-67,,
7:49.0,M. Hezonja misses free throw 1 of 2,,59-67,,
7:49.0,Offensive rebound by Team,,59-67,,
7:49.0,M. Hezonja makes free throw 2 of 2,1,60-67,,
7:39.0,,,60-67,,J. Holiday misses 3-pt shot from 23 ft
7:35.0,,,60-67,,Offensive rebound by L. Markkanen
7:24.0,,,60-67,,Shooting foul by M. Hezonja (drawn by L. Markkanen)
7:24.0,,,60-68,1,L. Markkanen makes free throw 1 of 2
7:24.0,K. Birch enters the game for M. Hezonja,,60-68,,
7:24.0,,,60-69,1,L. Markkanen makes free throw 2 of 2
7:09.0,B. Biyombo misses 2-pt shot from 12 ft,,60-69,,
7:04.0,Offensive rebound by K. Birch,,60-69,,
6:56.0,J. Simmons misses 3-pt shot from 25 ft,,60-69,,
6:53.0,,,60-69,,Defensive rebound by Z. LaVine
6:36.0,,,60-69,,L. Markkanen misses 3-pt shot from 26 ft
6:32.0,Defensive rebound by B. Biyombo,,60-69,,
6:21.0,E. Fournier makes 2-pt shot from 18 ft (assist by J. Simmons),2,62-69,,
6:05.0,Personal foul by K. Birch (drawn by L. Markkanen),,62-69,,
5:48.0,,,62-69,,L. Markkanen misses 2-pt shot from 2 ft
5:44.0,,,62-69,,Offensive rebound by L. Markkanen
5:44.0,,,62-69,,L. Markkanen misses 2-pt shot at rim
5:44.0,,,62-69,,Offensive rebound by L. Markkanen
5:44.0,,,62-69,,L. Markkanen misses 2-pt shot at rim
5:43.0,,,62-69,,Offensive rebound by R. Lopez
5:41.0,,,62-69,,J. Grant misses 3-pt shot from 22 ft
5:41.0,,,62-69,,Offensive rebound by R. Lopez
5:31.0,,,62-69,,J. Holiday misses 3-pt shot from 23 ft
5:29.0,Defensive rebound by K. Birch,,62-69,,
5:20.0,B. Biyombo makes 2-pt shot from 18 ft (assist by K. Birch),2,64-69,,
5:09.0,,,64-69,,R. Lopez misses 2-pt shot from 20 ft
5:08.0,Defensive rebound by Team,,64-69,,
5:08.0,,,64-69,,Loose ball foul by L. Markkanen (drawn by K. Birch)
4:55.0,J. Simmons misses 2-pt shot from 2 ft,,64-69,,
4:52.0,,,64-69,,Defensive rebound by R. Lopez
4:45.0,Personal foul by K. Birch (drawn by L. Markkanen),,64-69,,
4:45.0,,,64-69,,Offensive foul by J. Grant (drawn by D. Augustin)
4:45.0,,,64-69,,Turnover by J. Grant (offensive foul)
4:28.0,D. Augustin misses 3-pt shot from 25 ft,,64-69,,
4:24.0,,,64-69,,Defensive rebound by Z. LaVine
4:06.0,,,64-71,2,L. Markkanen makes 2-pt shot from 2 ft (assist by R. Lopez)
3:51.0,J. Simmons misses 3-pt shot from 26 ft,,64-71,,
3:51.0,,,64-71,,Defensive rebound by Team
3:35.0,,,64-73,2,J. Grant makes 2-pt shot from 1 ft
3:35.0,Orlando full timeout,,64-73,,
3:35.0,,,64-73,,D. Valentine enters the game for Z. LaVine
3:35.0,S. Mack enters the game for E. Fournier,,64-73,,
3:35.0,W. Iwundu enters the game for B. Biyombo,,64-73,,
3:35.0,M. Speights enters the game for D. Augustin,,64-73,,
3:12.0,M. Speights misses 3-pt shot from 26 ft,,64-73,,
3:09.0,,,64-73,,Defensive rebound by J. Grant
3:05.0,,,64-73,,D. Valentine misses 3-pt shot from 25 ft
3:05.0,Defensive rebound by K. Birch,,64-73,,
2:39.0,J. Simmons misses 2-pt shot from 21 ft,,64-73,,
2:39.0,,,64-73,,Defensive rebound by J. Grant
2:32.0,,,64-73,,B. Portis enters the game for L. Markkanen
2:20.0,,,64-73,,Shooting foul by W. Iwundu (drawn by R. Lopez)
2:20.0,,,64-74,1,R. Lopez makes free throw 1 of 2
2:20.0,,,64-75,1,R. Lopez makes free throw 2 of 2
2:03.0,M. Speights makes 3-pt shot from 25 ft (assist by J. Simmons),3,67-75,,
1:41.0,,,67-75,,B. Portis misses 2-pt shot from 22 ft
1:38.0,Defensive rebound by K. Birch,,67-75,,
1:32.0,J. Simmons makes 2-pt shot from 1 ft,2,69-75,,
1:31.0,,,69-75,,Chicago full timeout
1:17.0,,,69-77,2,J. Holiday makes 2-pt shot at rim (assist by R. Lopez)
0:59.0,J. Simmons misses 2-pt shot from 18 ft,,69-77,,
0:56.0,Offensive rebound by J. Simmons,,69-77,,
0:55.0,J. Simmons makes 2-pt shot at rim,2,71-77,,
0:37.0,,,71-77,,R. Lopez misses 2-pt shot from 6 ft
0:35.0,Defensive rebound by M. Speights,,71-77,,
0:30.0,S. Mack misses 3-pt shot from 25 ft,,71-77,,
0:27.0,,,71-77,,Defensive rebound by B. Portis
0:07.0,,,71-77,,D. Valentine misses 3-pt shot from 25 ft
0:03.0,Defensive rebound by M. Speights,,71-77,,
0:00.0,S. Mack misses 3-pt shot from 26 ft,,71-77,,
0:00.0,Offensive rebound by Team,,71-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,71-80,3,B. Portis makes 3-pt shot from 25 ft (assist by Z. LaVine)
11:27.0,M. Speights misses 3-pt shot from 24 ft,,71-80,,
11:27.0,,,71-80,,Defensive rebound by Team
11:18.0,Personal foul by W. Iwundu (drawn by Z. LaVine),,71-80,,
11:11.0,,,71-82,2,D. Valentine makes 2-pt shot from 2 ft (assist by Z. LaVine)
11:02.0,,,71-82,,Personal foul by B. Portis (drawn by M. Speights)
10:50.0,M. Speights makes 2-pt shot from 15 ft,2,73-82,,
10:38.0,,,73-85,3,Z. LaVine makes 3-pt shot from 26 ft (assist by B. Portis)
10:17.0,Shooting foul by D. Nwaba (drawn by A. Afflalo),,73-85,,
10:17.0,A. Afflalo makes free throw 1 of 2,1,74-85,,
10:17.0,A. Afflalo makes free throw 2 of 2,1,75-85,,
10:02.0,,,75-85,,Shooting foul by M. Speights (drawn by D. Nwaba)
10:02.0,,,75-86,1,D. Nwaba makes free throw 1 of 2
10:02.0,,,75-87,1,D. Nwaba makes free throw 2 of 2
9:45.0,Turnover by A. Afflalo (bad pass),,75-87,,
9:34.0,,,75-87,,Z. LaVine misses 2-pt shot from 2 ft
9:30.0,,,75-87,,Offensive rebound by B. Portis
9:30.0,,,75-87,,B. Portis misses 2-pt shot at rim
9:27.0,,,75-87,,Offensive rebound by B. Portis
9:27.0,,,75-89,2,B. Portis makes 2-pt shot at rim
9:23.0,S. Mack misses 2-pt shot from 1 ft,,75-89,,
9:23.0,,,75-89,,Defensive rebound by D. Valentine
9:19.0,,,75-91,2,D. Valentine makes 2-pt shot at rim (assist by Z. LaVine)
9:19.0,Orlando full timeout,,75-91,,
9:19.0,E. Fournier enters the game for M. Speights,,75-91,,
9:19.0,K. Birch enters the game for W. Iwundu,,75-91,,
9:05.0,A. Afflalo misses 2-pt shot from 14 ft,,75-91,,
9:05.0,,,75-91,,Defensive rebound by B. Portis
8:53.0,,,75-91,,B. Portis misses 3-pt shot from 26 ft
8:50.0,Defensive rebound by A. Afflalo,,75-91,,
8:33.0,E. Fournier misses 2-pt shot from 18 ft,,75-91,,
8:30.0,Offensive rebound by M. Hezonja,,75-91,,
8:30.0,Turnover by M. Hezonja (offensive goaltending),,75-91,,
8:30.0,,,75-91,,J. Grant enters the game for Z. LaVine
8:23.0,,,75-91,,Shooting foul by E. Fournier (drawn by D. Valentine)
8:23.0,,,75-92,1,D. Valentine makes free throw 1 of 2
8:23.0,,,75-93,1,D. Valentine makes free throw 2 of 2
8:02.0,A. Afflalo makes 2-pt shot from 2 ft (assist by S. Mack),2,77-93,,
7:45.0,,,77-93,,Turnover by D. Valentine (bad pass; steal by K. Birch)
7:40.0,E. Fournier makes 3-pt shot from 25 ft (assist by S. Mack),3,80-93,,
7:40.0,,,80-93,,Chicago full timeout
7:40.0,,,80-93,,L. Markkanen enters the game for P. Zipser
7:21.0,,,80-93,,Turnover by L. Markkanen (lost ball; steal by M. Hezonja)
7:16.0,M. Hezonja makes 2-pt shot from 21 ft,2,82-93,,
7:06.0,Personal foul by E. Fournier (drawn by B. Portis),,82-93,,
6:50.0,,,82-93,,D. Valentine misses 2-pt shot from 22 ft
6:46.0,Defensive rebound by K. Birch,,82-93,,
6:41.0,Shooting foul by D. Valentine (drawn by M. Hezonja),,82-93,,
6:41.0,M. Hezonja makes free throw 1 of 2,1,83-93,,
6:41.0,M. Hezonja makes free throw 2 of 2,1,84-93,,
6:32.0,Personal foul by S. Mack (drawn by J. Grant),,84-93,,
6:32.0,,,84-93,,J. Grant misses free throw 1 of 2
6:32.0,,,84-93,,Offensive rebound by Team
6:32.0,,,84-94,1,J. Grant makes free throw 2 of 2
6:09.0,S. Mack makes 2-pt shot from 2 ft,2,86-94,,
5:56.0,,,86-94,,J. Grant misses 3-pt shot from 25 ft
5:56.0,Defensive rebound by M. Hezonja,,86-94,,
5:50.0,M. Hezonja makes 2-pt shot from 20 ft,2,88-94,,
5:28.0,,,88-94,,Turnover by L. Markkanen (traveling)
5:28.0,,,88-94,,J. Holiday enters the game for D. Nwaba
5:28.0,,,88-94,,Z. LaVine enters the game for D. Valentine
5:10.0,M. Hezonja makes 3-pt shot from 25 ft,3,91-94,,
5:10.0,,,91-94,,Chicago full timeout
4:46.0,,,91-96,2,J. Grant makes 2-pt shot from 2 ft
4:28.0,Shooting foul by J. Grant (drawn by K. Birch),,91-96,,
4:28.0,K. Birch makes free throw 1 of 2,1,92-96,,
4:28.0,K. Birch makes free throw 2 of 2,1,93-96,,
4:12.0,,,93-96,,Z. LaVine misses 2-pt shot from 19 ft (block by E. Fournier)
4:09.0,Jump ball: Z. LaVine vs. E. Fournier (K. Birch gains possession),,,,Jump ball: Z. LaVine vs. E. Fournier (K. Birch gains possession)
4:09.0,Defensive rebound by Team,,93-96,,
4:02.0,A. Afflalo misses 3-pt shot from 21 ft,,93-96,,
3:58.0,,,93-96,,Defensive rebound by L. Markkanen
3:50.0,,,93-96,,Turnover by Z. LaVine (bad pass; steal by M. Hezonja)
3:49.0,Shooting foul by J. Grant (drawn by M. Hezonja),,93-96,,
3:49.0,M. Hezonja makes free throw 1 of 2,1,94-96,,
3:49.0,J. Simmons enters the game for A. Afflalo,,94-96,,
3:49.0,M. Hezonja makes free throw 2 of 2,1,95-96,,
3:23.0,,,95-96,,L. Markkanen misses 3-pt shot from 24 ft
3:20.0,Defensive rebound by S. Mack,,95-96,,
3:11.0,M. Hezonja makes 3-pt shot from 24 ft (assist by S. Mack),3,98-96,,
2:56.0,,,98-98,2,B. Portis makes 2-pt shot from 6 ft
2:41.0,E. Fournier makes 3-pt shot from 25 ft (assist by S. Mack),3,101-98,,
2:29.0,,,101-101,3,B. Portis makes 3-pt shot from 25 ft (assist by J. Grant)
2:04.0,E. Fournier misses 2-pt shot from 3 ft,,101-101,,
2:02.0,,,101-101,,Defensive rebound by J. Holiday
1:45.0,,,101-101,,Turnover by J. Grant (bad pass; steal by M. Hezonja)
1:39.0,Turnover by J. Simmons (out of bounds lost ball),,101-101,,
1:28.0,,,101-101,,Z. LaVine misses 2-pt shot from 21 ft
1:25.0,Defensive rebound by E. Fournier,,101-101,,
1:07.0,J. Simmons misses 2-pt shot from 2 ft,,101-101,,
1:03.0,,,101-101,,Defensive rebound by L. Markkanen
