time,Detroit,pts.away,score,pts.home,Chicago
11:02.0,Personal foul by H. Ellenson (drawn by B. Portis),,37-23,,
10:53.0,,,37-23,,R. Arcidiacono misses 3-pt shot from 25 ft
10:48.0,Defensive rebound by H. Ellenson,,37-23,,
10:42.0,H. Ellenson makes 2-pt shot from 1 ft,2,39-23,,
10:26.0,,,39-25,2,B. Portis makes 2-pt shot from 1 ft (assist by J. Grant)
10:12.0,I. Smith makes 3-pt shot from 26 ft,3,42-25,,
9:48.0,,,42-25,,S. Kilpatrick misses 3-pt shot from 25 ft
9:43.0,Defensive rebound by E. Moreland,,42-25,,
9:33.0,J. Ennis misses 2-pt shot from 3 ft (block by O. Asik),,42-25,,
9:30.0,,,42-25,,Defensive rebound by O. Asik
9:27.0,,,42-27,2,S. Kilpatrick makes 2-pt shot at rim
9:13.0,H. Ellenson misses 3-pt shot from 25 ft,,42-27,,
9:13.0,,,42-27,,Defensive rebound by B. Portis
9:01.0,,,42-27,,Turnover by B. Portis (bad pass; steal by H. Ellenson)
8:58.0,E. Moreland makes 2-pt shot at rim (assist by J. Ennis),2,44-27,,
8:45.0,,,44-27,,S. Kilpatrick misses 3-pt shot from 24 ft
8:45.0,Defensive rebound by H. Ellenson,,44-27,,
8:32.0,Turnover by E. Moreland (bad pass; steal by B. Portis),,44-27,,
8:22.0,,,44-27,,Turnover by B. Portis (traveling)
8:22.0,,,44-27,,C. Felicio enters the game for O. Asik
8:22.0,,,44-27,,L. Markkanen enters the game for B. Portis
7:57.0,I. Smith makes 2-pt shot from 23 ft,2,46-27,,
7:46.0,,,46-27,,Shooting foul by I. Smith (drawn by J. Grant)
7:46.0,,,46-28,1,J. Grant makes free throw 1 of 2
7:46.0,,,46-28,,J. Grant misses free throw 2 of 2
7:43.0,Defensive rebound by E. Moreland,,46-28,,
7:31.0,L. Galloway misses 3-pt shot from 26 ft,,46-28,,
7:26.0,,,46-28,,Defensive rebound by J. Grant
7:21.0,,,46-30,2,J. Grant makes 2-pt shot from 1 ft
7:10.0,H. Ellenson misses 2-pt shot from 6 ft,,46-30,,
7:10.0,,,46-30,,Defensive rebound by L. Markkanen
6:50.0,,,46-33,3,R. Arcidiacono makes 3-pt shot from 23 ft (assist by S. Kilpatrick)
6:42.0,Detroit full timeout,,46-33,,
6:42.0,L. Kennard enters the game for L. Galloway,,46-33,,
6:42.0,R. Jackson enters the game for I. Smith,,46-33,,
6:30.0,L. Kennard makes 3-pt shot from 26 ft (assist by R. Jackson),3,49-33,,
6:17.0,,,49-33,,Turnover by S. Kilpatrick (out of bounds lost ball)
6:10.0,E. Moreland misses 2-pt shot from 10 ft,,49-33,,
6:09.0,,,49-33,,Defensive rebound by Team
6:09.0,,,49-33,,C. Payne enters the game for R. Arcidiacono
5:57.0,,,49-33,,L. Markkanen misses 3-pt shot from 26 ft
5:55.0,Defensive rebound by E. Moreland,,49-33,,
5:39.0,J. Ennis misses 3-pt shot from 24 ft,,49-33,,
5:36.0,Offensive rebound by Team,,49-33,,
5:36.0,,,49-33,,D. Nwaba enters the game for J. Grant
5:36.0,A. Tolliver enters the game for H. Ellenson,,49-33,,
5:28.0,A. Tolliver misses 3-pt shot from 25 ft,,49-33,,
5:28.0,,,49-33,,Defensive rebound by Team
5:28.0,Loose ball foul by E. Moreland (drawn by L. Markkanen),,49-33,,
5:16.0,,,49-35,2,L. Markkanen makes 2-pt shot at rim
5:01.0,J. Ennis makes 2-pt shot at rim (assist by E. Moreland),2,51-35,,
4:44.0,,,51-38,3,C. Payne makes 3-pt shot from 24 ft (assist by D. Nwaba)
4:24.0,L. Kennard misses 3-pt shot from 26 ft,,51-38,,
4:20.0,Offensive rebound by A. Tolliver,,51-38,,
4:19.0,R. Jackson misses 3-pt shot from 25 ft,,51-38,,
4:15.0,Offensive rebound by E. Moreland,,51-38,,
4:13.0,E. Moreland makes 2-pt shot from 1 ft,2,53-38,,
4:05.0,,,53-38,,C. Payne misses 2-pt shot from 17 ft
3:59.0,,,53-38,,Offensive rebound by C. Felicio
3:59.0,,,53-38,,C. Felicio misses 2-pt shot at rim
3:58.0,,,53-38,,Offensive rebound by C. Felicio
3:57.0,,,53-38,,D. Nwaba misses 2-pt shot from 2 ft
3:56.0,Defensive rebound by L. Kennard,,53-38,,
3:56.0,,,53-38,,Personal foul by D. Nwaba (drawn by L. Kennard)
3:56.0,,,53-38,,O. Asik enters the game for C. Felicio
3:56.0,S. Johnson enters the game for J. Ennis,,53-38,,
3:48.0,A. Tolliver misses 3-pt shot from 22 ft,,53-38,,
3:45.0,,,53-38,,Defensive rebound by S. Kilpatrick
3:40.0,,,53-40,2,S. Kilpatrick makes 2-pt shot from 20 ft
3:25.0,,,53-40,,Personal foul by O. Asik (drawn by E. Moreland)
3:13.0,S. Johnson makes 3-pt shot from 24 ft (assist by L. Kennard),3,56-40,,
2:46.0,,,56-40,,Turnover by Team (shot clock)
2:46.0,,,56-40,,Chicago full timeout
2:33.0,R. Jackson misses 2-pt shot from 18 ft,,56-40,,
2:29.0,,,56-40,,Defensive rebound by L. Markkanen
2:17.0,,,56-43,3,L. Markkanen makes 3-pt shot from 25 ft (assist by C. Payne)
1:59.0,R. Jackson misses 2-pt shot from 19 ft,,56-43,,
1:56.0,,,56-43,,Defensive rebound by L. Markkanen
1:49.0,,,56-45,2,L. Markkanen makes 2-pt shot from 3 ft (assist by C. Payne)
1:28.0,Shooting foul by O. Asik (drawn by A. Tolliver),,56-45,,
1:28.0,A. Tolliver makes free throw 1 of 2,1,57-45,,
1:28.0,A. Tolliver makes free throw 2 of 2,1,58-45,,
1:16.0,Personal foul by E. Moreland (drawn by L. Markkanen),,58-45,,
1:16.0,H. Ellenson enters the game for E. Moreland,,58-45,,
1:07.0,,,58-45,,L. Markkanen misses 2-pt shot from 17 ft
1:04.0,Defensive rebound by R. Jackson,,58-45,,
0:58.0,H. Ellenson makes 3-pt shot from 25 ft (assist by S. Johnson),3,61-45,,
0:47.0,,,61-48,3,C. Payne makes 3-pt shot from 26 ft (assist by D. Nwaba)
0:38.0,R. Jackson makes 2-pt shot from 20 ft,2,63-48,,
0:30.0,,,63-48,,L. Markkanen misses 3-pt shot from 25 ft
0:27.0,Defensive rebound by S. Johnson,,63-48,,
0:06.0,H. Ellenson makes 3-pt shot from 25 ft (assist by R. Jackson),3,66-48,,
0:02.0,Personal foul by R. Jackson (drawn by S. Kilpatrick),,66-48,,
0:02.0,,,66-49,1,S. Kilpatrick makes free throw 1 of 2
0:02.0,,,66-50,1,S. Kilpatrick makes free throw 2 of 2
0:00.0,R. Jackson misses 3-pt shot from 51 ft,,66-50,,
0:00.0,Offensive rebound by Team,,66-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,L. Kennard misses 2-pt shot from 2 ft,,66-50,,
11:44.0,,,66-50,,Defensive rebound by L. Markkanen
11:28.0,,,66-50,,C. Payne misses 2-pt shot from 11 ft
11:21.0,,,66-50,,Offensive rebound by L. Markkanen
11:21.0,,,66-50,,L. Markkanen misses 2-pt shot at rim
11:21.0,Defensive rebound by A. Tolliver,,66-50,,
11:14.0,S. Johnson makes 2-pt shot at rim,2,68-50,,
10:56.0,,,68-53,3,D. Nwaba makes 3-pt shot from 24 ft (assist by C. Payne)
10:35.0,L. Kennard makes 3-pt shot from 25 ft (assist by R. Jackson),3,71-53,,
10:19.0,,,71-55,2,L. Markkanen makes 2-pt shot from 17 ft
9:57.0,L. Kennard misses 2-pt shot from 1 ft,,71-55,,
9:55.0,,,71-55,,Defensive rebound by L. Markkanen
9:47.0,,,71-57,2,C. Felicio makes 2-pt shot at rim (assist by C. Payne)
9:22.0,Turnover by A. Tolliver (lost ball; steal by L. Markkanen),,71-57,,
9:16.0,,,71-60,3,L. Markkanen makes 3-pt shot from 25 ft
9:16.0,Detroit full timeout,,71-60,,
9:03.0,Turnover by S. Johnson (bad pass; steal by L. Markkanen),,71-60,,
8:59.0,Personal foul by R. Jackson (drawn by L. Markkanen),,71-60,,
8:54.0,,,71-60,,Shooting foul by A. Tolliver (drawn by L. Markkanen)
8:54.0,,,71-61,1,L. Markkanen makes free throw 1 of 3
8:54.0,,,71-62,1,L. Markkanen makes free throw 2 of 3
8:54.0,,,71-63,1,L. Markkanen makes free throw 3 of 3
8:37.0,A. Tolliver misses 3-pt shot from 24 ft,,71-63,,
8:34.0,,,71-63,,Defensive rebound by D. Nwaba
8:28.0,,,71-63,,D. Nwaba misses 2-pt shot from 6 ft (block by E. Moreland)
8:25.0,,,71-63,,Offensive rebound by C. Felicio
8:24.0,,,71-63,,S. Kilpatrick misses 2-pt shot from 1 ft (block by E. Moreland)
8:24.0,,,71-63,,Offensive rebound by Team
8:24.0,Loose ball foul by A. Tolliver (drawn by L. Markkanen),,71-63,,
8:05.0,,,71-63,,Turnover by S. Kilpatrick (bad pass; steal by E. Moreland)
7:58.0,R. Jackson misses 3-pt shot from 24 ft,,71-63,,
7:53.0,,,71-63,,Defensive rebound by D. Nwaba
7:48.0,,,71-63,,D. Nwaba misses 2-pt shot from 9 ft
7:42.0,,,71-63,,Offensive rebound by D. Nwaba
7:42.0,,,71-63,,D. Nwaba misses 2-pt shot at rim
7:41.0,Defensive rebound by E. Moreland,,71-63,,
7:41.0,,,71-63,,Personal take foul by C. Payne (drawn by S. Johnson)
7:41.0,,,71-63,,J. Grant enters the game for D. Nwaba
7:25.0,E. Moreland misses 2-pt shot from 2 ft,,71-63,,
7:25.0,Offensive rebound by Team,,71-63,,
7:25.0,,,71-63,,Loose ball foul by L. Markkanen (drawn by A. Tolliver)
7:13.0,S. Johnson makes 3-pt shot from 25 ft (assist by R. Jackson),3,74-63,,
6:54.0,,,74-63,,Offensive charge foul by S. Kilpatrick (drawn by S. Johnson)
6:54.0,,,74-63,,Turnover by S. Kilpatrick (offensive foul)
6:38.0,R. Jackson misses 3-pt shot from 26 ft,,74-63,,
6:35.0,,,74-63,,Defensive rebound by C. Payne
6:34.0,,,74-63,,B. Portis enters the game for L. Markkanen
6:27.0,,,74-65,2,C. Felicio makes 2-pt shot at rim (assist by C. Payne)
6:11.0,Turnover by E. Moreland (bad pass; steal by C. Felicio),,74-65,,
5:58.0,,,74-65,,S. Kilpatrick misses 2-pt shot from 16 ft
5:54.0,Defensive rebound by S. Johnson,,74-65,,
5:41.0,S. Johnson misses 3-pt shot from 23 ft,,74-65,,
5:39.0,,,74-65,,Defensive rebound by C. Payne
5:34.0,,,74-65,,C. Felicio misses 2-pt shot from 15 ft
5:32.0,Defensive rebound by L. Kennard,,74-65,,
5:30.0,L. Kennard makes 2-pt shot from 1 ft,2,76-65,,
5:30.0,Shooting foul by C. Payne (drawn by L. Kennard),,76-65,,
5:30.0,L. Kennard makes free throw 1 of 1,1,77-65,,
5:25.0,,,77-65,,O. Asik enters the game for C. Felicio
5:25.0,I. Smith enters the game for R. Jackson,,77-65,,
5:16.0,,,77-65,,Turnover by J. Grant (bad pass; steal by I. Smith)
5:15.0,E. Moreland makes 2-pt shot at rim (assist by I. Smith),2,79-65,,
5:15.0,,,79-65,,Chicago full timeout
5:15.0,H. Ellenson enters the game for E. Moreland,,79-65,,
5:02.0,,,79-65,,B. Portis misses 2-pt shot from 8 ft
4:59.0,Defensive rebound by H. Ellenson,,79-65,,
4:52.0,I. Smith makes 2-pt shot from 18 ft,2,81-65,,
4:31.0,,,81-65,,B. Portis misses 2-pt shot from 8 ft
4:28.0,Defensive rebound by H. Ellenson,,81-65,,
4:22.0,I. Smith makes 2-pt shot at rim,2,83-65,,
4:09.0,,,83-65,,B. Portis misses 3-pt shot from 22 ft
4:05.0,Defensive rebound by S. Johnson,,83-65,,
3:51.0,I. Smith makes 2-pt shot from 8 ft,2,85-65,,
3:35.0,,,85-67,2,S. Kilpatrick makes 2-pt shot at rim (assist by C. Payne)
3:15.0,L. Kennard makes 3-pt shot from 24 ft (assist by H. Ellenson),3,88-67,,
2:58.0,,,88-70,3,S. Kilpatrick makes 3-pt shot from 22 ft (assist by C. Payne)
2:44.0,L. Kennard misses 3-pt shot from 25 ft,,88-70,,
2:43.0,,,88-70,,Defensive rebound by Team
2:43.0,Loose ball foul by A. Tolliver (drawn by J. Grant),,88-70,,
2:43.0,,,88-70,,R. Arcidiacono enters the game for C. Payne
2:43.0,L. Galloway enters the game for L. Kennard,,88-70,,
2:43.0,E. Moreland enters the game for S. Johnson,,88-70,,
2:43.0,J. Ennis enters the game for A. Tolliver,,88-70,,
2:28.0,,,88-72,2,J. Grant makes 2-pt shot from 20 ft
2:11.0,I. Smith misses 3-pt shot from 26 ft,,88-72,,
2:09.0,,,88-72,,Defensive rebound by B. Portis
2:05.0,,,88-72,,Shooting foul by H. Ellenson (drawn by B. Portis)
2:05.0,,,88-72,,B. Portis misses free throw 1 of 2
2:05.0,,,88-72,,Offensive rebound by Team
2:05.0,,,88-72,,B. Portis misses free throw 2 of 2
2:02.0,Defensive rebound by H. Ellenson,,88-72,,
1:39.0,I. Smith makes 2-pt shot from 14 ft,2,90-72,,
1:25.0,,,90-72,,O. Asik misses 2-pt shot from 2 ft (block by E. Moreland)
1:24.0,Defensive rebound by H. Ellenson,,90-72,,
1:24.0,,,90-72,,Personal foul by J. Grant (drawn by I. Smith)
1:24.0,,,90-72,,D. Nwaba enters the game for S. Kilpatrick
1:11.0,I. Smith misses 2-pt shot from 17 ft,,90-72,,
1:09.0,,,90-72,,Defensive rebound by R. Arcidiacono
1:05.0,,,90-72,,Turnover by D. Nwaba (bad pass; steal by L. Galloway)
1:01.0,Turnover by L. Galloway (bad pass; steal by D. Nwaba),,90-72,,
0:57.0,,,90-72,,R. Arcidiacono misses 3-pt shot from 25 ft
0:55.0,,,90-72,,Offensive rebound by B. Portis
0:55.0,,,90-74,2,B. Portis makes 2-pt shot at rim
0:42.0,L. Galloway misses 2-pt shot from 16 ft,,90-74,,
0:42.0,,,90-74,,Defensive rebound by Team
0:34.0,,,90-74,,J. Grant misses 2-pt shot from 17 ft
0:32.0,Defensive rebound by E. Moreland,,90-74,,
0:27.0,J. Ennis makes 2-pt shot from 9 ft (assist by E. Moreland),2,92-74,,
0:05.0,,,92-74,,Turnover by J. Grant (lost ball; steal by E. Moreland)
0:02.0,H. Ellenson makes 2-pt shot from 2 ft,2,94-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,94-74,,R. Arcidiacono misses 3-pt shot from 24 ft
11:39.0,Defensive rebound by R. Jackson,,94-74,,
11:29.0,L. Galloway misses 2-pt shot from 14 ft,,94-74,,
11:25.0,Offensive rebound by L. Galloway,,94-74,,
11:24.0,J. Ennis misses 3-pt shot from 26 ft,,94-74,,
11:23.0,Offensive rebound by E. Moreland,,94-74,,
11:18.0,J. Ennis misses 3-pt shot from 25 ft,,94-74,,
11:17.0,,,94-74,,Defensive rebound by B. Portis
11:03.0,,,94-74,,B. Portis misses 3-pt shot from 26 ft
11:00.0,,,94-74,,Offensive rebound by O. Asik
10:58.0,,,94-74,,Turnover by D. Nwaba (bad pass; steal by L. Galloway)
10:55.0,J. Ennis misses 2-pt shot from 1 ft,,94-74,,
10:53.0,,,94-74,,Defensive rebound by D. Nwaba
10:48.0,,,94-74,,Personal foul by D. Nwaba (drawn by L. Galloway)
10:48.0,,,94-74,,Turnover by D. Nwaba (turnover)
10:30.0,R. Jackson makes 3-pt shot from 23 ft,3,97-74,,
10:19.0,,,97-76,2,B. Portis makes 2-pt shot from 3 ft (assist by R. Arcidiacono)
10:19.0,Violation by E. Moreland (def goaltending),,97-76,,
10:03.0,,,97-76,,C. Felicio enters the game for O. Asik
10:01.0,L. Galloway makes 2-pt shot from 19 ft (assist by R. Jackson),2,99-76,,
9:40.0,,,99-76,,D. Nwaba misses 3-pt shot from 25 ft
9:38.0,Defensive rebound by H. Ellenson,,99-76,,
9:36.0,Shooting foul by C. Felicio (drawn by H. Ellenson),,99-76,,
9:36.0,H. Ellenson makes free throw 1 of 2,1,100-76,,
9:36.0,H. Ellenson makes free throw 2 of 2,1,101-76,,
9:20.0,Personal foul by R. Jackson (drawn by R. Arcidiacono),,101-76,,
9:09.0,,,101-76,,J. Grant misses 3-pt shot from 26 ft
9:05.0,Defensive rebound by E. Moreland,,101-76,,
8:58.0,L. Galloway makes 3-pt shot from 25 ft (assist by R. Jackson),3,104-76,,
8:57.0,,,104-76,,Chicago full timeout
8:57.0,,,104-76,,C. Payne enters the game for D. Nwaba
8:38.0,Personal foul by J. Ennis (drawn by C. Payne),,104-76,,
8:28.0,,,104-79,3,J. Grant makes 3-pt shot from 25 ft (assist by C. Payne)
8:07.0,L. Galloway misses 3-pt shot from 25 ft,,104-79,,
8:03.0,,,104-79,,Defensive rebound by B. Portis
7:55.0,,,104-79,,Turnover by R. Arcidiacono (bad pass)
7:45.0,E. Moreland makes 2-pt shot from 11 ft (assist by R. Jackson),2,106-79,,
7:20.0,,,106-79,,R. Arcidiacono misses 3-pt shot from 24 ft
7:15.0,Defensive rebound by H. Ellenson,,106-79,,
7:12.0,E. Moreland makes 2-pt shot at rim (assist by R. Jackson),2,108-79,,
6:50.0,,,108-79,,J. Grant misses 2-pt shot from 16 ft
6:45.0,,,108-79,,Offensive rebound by C. Felicio
6:36.0,,,108-79,,Turnover by B. Portis (traveling)
6:19.0,,,108-79,,Violation by C. Payne (kicked ball)
6:06.0,H. Ellenson misses 2-pt shot from 21 ft,,108-79,,
6:04.0,,,108-79,,Defensive rebound by R. Arcidiacono
5:50.0,,,108-82,3,B. Portis makes 3-pt shot from 23 ft (assist by J. Grant)
5:35.0,Shooting foul by J. Grant (drawn by R. Jackson),,108-82,,
5:35.0,R. Jackson makes free throw 1 of 2,1,109-82,,
5:35.0,L. Kennard enters the game for J. Ennis,,109-82,,
5:35.0,R. Jackson makes free throw 2 of 2,1,110-82,,
5:25.0,,,110-82,,Turnover by C. Payne (lost ball; steal by L. Galloway)
5:22.0,L. Kennard makes 2-pt shot at rim (assist by L. Galloway),2,112-82,,
5:22.0,,,112-82,,Chicago full timeout
5:22.0,I. Smith enters the game for R. Jackson,,112-82,,
5:11.0,,,112-82,,Shooting foul by E. Moreland (drawn by C. Felicio)
5:11.0,,,112-83,1,C. Felicio makes free throw 1 of 2
5:11.0,,,112-84,1,C. Felicio makes free throw 2 of 2
4:50.0,Turnover by H. Ellenson (bad pass; steal by C. Payne),,112-84,,
4:41.0,,,112-84,,C. Payne misses 2-pt shot from 11 ft
4:40.0,,,112-84,,Offensive rebound by Team
4:28.0,,,112-84,,J. Grant misses 3-pt shot from 24 ft
4:28.0,,,112-84,,Offensive rebound by Team
4:28.0,Loose ball foul by H. Ellenson (drawn by C. Felicio),,112-84,,
4:19.0,,,112-84,,B. Portis misses 2-pt shot from 12 ft (block by E. Moreland)
4:16.0,Defensive rebound by H. Ellenson,,112-84,,
4:10.0,H. Ellenson misses 2-pt shot from 1 ft,,112-84,,
4:09.0,,,112-84,,Defensive rebound by B. Portis
4:03.0,,,112-84,,Turnover by C. Payne (bad pass; steal by E. Moreland)
4:01.0,Offensive charge foul by L. Kennard (drawn by R. Arcidiacono),,112-84,,
4:01.0,Turnover by L. Kennard (offensive foul),,112-84,,
4:01.0,,,112-84,,D. Nwaba enters the game for B. Portis
3:50.0,,,112-84,,C. Payne misses 2-pt shot from 21 ft
3:46.0,Defensive rebound by H. Ellenson,,112-84,,
3:33.0,E. Moreland makes 2-pt shot from 11 ft (assist by L. Kennard),2,114-84,,
3:09.0,,,114-84,,J. Grant misses 3-pt shot from 24 ft
3:09.0,,,114-84,,Offensive rebound by Team
3:09.0,Loose ball foul by L. Kennard (drawn by C. Felicio),,114-84,,
3:09.0,,,114-84,,C. Felicio misses free throw 1 of 2
3:09.0,,,114-84,,Offensive rebound by Team
3:09.0,K. Felder enters the game for L. Galloway,,114-84,,
3:09.0,R. Hearn enters the game for I. Smith,,114-84,,
3:09.0,,,114-84,,C. Felicio misses free throw 2 of 2
3:06.0,Defensive rebound by E. Moreland,,114-84,,
2:44.0,L. Kennard misses 3-pt shot from 25 ft,,114-84,,
2:41.0,Offensive rebound by E. Moreland,,114-84,,
2:39.0,,,114-84,,Personal foul by D. Nwaba (drawn by L. Kennard)
2:27.0,E. Moreland misses 2-pt shot from 11 ft,,114-84,,
2:24.0,,,114-84,,Defensive rebound by D. Nwaba
2:18.0,,,114-84,,C. Payne misses 3-pt shot from 25 ft
2:14.0,,,114-84,,Offensive rebound by C. Felicio
2:00.0,,,114-84,,J. Grant misses 2-pt shot from 18 ft
1:58.0,Defensive rebound by K. Felder,,114-84,,
