time,Milwaukee,pts.away,score,pts.home,Washington
3:19.0,E. Bledsoe makes 2-pt shot from 3 ft (assist by G. Antetokounmpo),2,44-43,,
2:57.0,,,44-43,,Turnover by B. Beal (turnover)
2:57.0,Milwaukee full timeout,,44-43,,
2:43.0,J. Henson misses 2-pt shot from 1 ft,,44-43,,
2:36.0,Offensive rebound by G. Antetokounmpo,,44-43,,
2:36.0,G. Antetokounmpo makes 2-pt shot at rim,2,46-43,,
2:26.0,,,46-43,,J. Wall misses 2-pt shot from 18 ft
2:23.0,,,46-43,,Offensive rebound by Team
2:23.0,Loose ball foul by J. Henson (drawn by M. Gortat),,46-43,,
2:20.0,,,46-43,,O. Porter misses 3-pt shot from 26 ft
2:16.0,Defensive rebound by G. Antetokounmpo,,46-43,,
1:59.0,M. Brogdon misses 2-pt shot from 5 ft,,46-43,,
1:52.0,,,46-43,,Defensive rebound by M. Morris
1:52.0,Personal foul by G. Antetokounmpo (drawn by J. Wall),,46-43,,
1:52.0,,,46-44,1,J. Wall makes free throw 1 of 2
1:52.0,,,46-45,1,J. Wall makes free throw 2 of 2
1:38.0,G. Antetokounmpo misses 2-pt shot from 5 ft (block by M. Gortat),,46-45,,
1:35.0,,,46-45,,Defensive rebound by O. Porter
1:35.0,,,46-45,,Shooting foul by E. Bledsoe (drawn by J. Wall)
1:35.0,,,46-46,1,J. Wall makes free throw 1 of 2
1:35.0,M. Dellavedova enters the game for E. Bledsoe,,46-46,,
1:35.0,,,46-47,1,J. Wall makes free throw 2 of 2
1:22.0,G. Antetokounmpo misses 2-pt shot from 18 ft,,46-47,,
1:18.0,,,46-47,,Defensive rebound by M. Morris
1:15.0,Personal foul by M. Dellavedova (drawn by J. Wall),,46-47,,
1:15.0,,,46-48,1,J. Wall makes free throw 1 of 2
1:15.0,,,46-49,1,J. Wall makes free throw 2 of 2
1:00.0,Shooting foul by M. Morris (drawn by M. Brogdon),,46-49,,
1:00.0,M. Brogdon makes free throw 1 of 2,1,47-49,,
1:00.0,,,47-49,,K. Oubre enters the game for M. Morris
1:00.0,M. Brogdon makes free throw 2 of 2,1,48-49,,
0:52.0,,,48-49,,J. Wall misses 2-pt shot from 3 ft
0:49.0,,,48-49,,Offensive rebound by M. Gortat
0:49.0,,,48-51,2,M. Gortat makes 2-pt shot at rim
0:33.0,M. Brogdon makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,51-51,,
0:08.0,,,51-51,,J. Wall misses 2-pt shot from 21 ft
0:03.0,Defensive rebound by J. Henson,,51-51,,
0:00.0,M. Brogdon makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,53-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,G. Antetokounmpo misses 2-pt shot at rim,,53-51,,
11:38.0,Offensive rebound by G. Antetokounmpo,,53-51,,
11:38.0,G. Antetokounmpo misses 2-pt shot at rim,,53-51,,
11:38.0,Offensive rebound by G. Antetokounmpo,,53-51,,
11:38.0,Shooting foul by B. Beal (drawn by G. Antetokounmpo),,53-51,,
11:38.0,G. Antetokounmpo misses free throw 1 of 2,,53-51,,
11:38.0,Offensive rebound by Team,,53-51,,
