time,Philadelphia,pts.away,score,pts.home,Chicago
5:01.0,,,18-10,,N. Mirotic enters the game for D. Valentine
4:47.0,,,18-10,,J. Holiday misses 2-pt shot from 1 ft
4:44.0,Defensive rebound by J. Bayless,,18-10,,
4:40.0,Offensive foul by R. Holmes (drawn by J. Holiday),,18-10,,
4:40.0,Turnover by R. Holmes (offensive foul),,18-10,,
4:32.0,,,18-10,,R. Lopez misses 2-pt shot from 14 ft
4:28.0,Defensive rebound by R. Covington,,18-10,,
4:13.0,J. Bayless misses 3-pt shot from 22 ft,,18-10,,
4:10.0,,,18-10,,Defensive rebound by Team
3:56.0,,,18-12,2,J. Holiday makes 2-pt shot from 11 ft
3:34.0,Turnover by R. Covington (bad pass; steal by R. Lopez),,18-12,,
3:25.0,,,18-14,2,N. Mirotic makes 2-pt shot from 1 ft (assist by D. Nwaba)
3:24.0,Philadelphia full timeout,,18-14,,
3:24.0,J. Redick enters the game for B. Simmons,,18-14,,
3:24.0,D. Saric enters the game for R. Covington,,18-14,,
3:08.0,D. Saric misses 2-pt shot from 8 ft,,18-14,,
3:05.0,,,18-14,,Defensive rebound by N. Mirotic
2:56.0,,,18-16,2,K. Dunn makes 2-pt shot from 6 ft
2:45.0,Turnover by R. Holmes (bad pass),,18-16,,
2:44.0,,,18-16,,B. Portis enters the game for R. Lopez
2:44.0,A. Johnson enters the game for R. Holmes,,18-16,,
2:35.0,,,18-16,,Shooting foul by T. McConnell (drawn by K. Dunn)
2:35.0,,,18-17,1,K. Dunn makes free throw 1 of 2
2:35.0,T. Luwawu-Cabarrot enters the game for J. Bayless,,18-17,,
2:35.0,,,18-18,1,K. Dunn makes free throw 2 of 2
2:27.0,T. McConnell misses 2-pt shot from 17 ft,,18-18,,
2:23.0,,,18-18,,Defensive rebound by N. Mirotic
2:19.0,,,18-20,2,B. Portis makes 2-pt shot from 15 ft (assist by N. Mirotic)
2:06.0,D. Saric makes 2-pt shot from 1 ft (assist by J. Redick),2,20-20,,
1:58.0,,,20-22,2,D. Nwaba makes 2-pt shot from 1 ft (assist by K. Dunn)
1:40.0,Turnover by A. Johnson (bad pass; steal by B. Portis),,20-22,,
1:38.0,,,20-22,,Shooting foul by T. McConnell (drawn by B. Portis)
1:38.0,,,20-23,1,B. Portis makes free throw 1 of 2
1:38.0,,,20-23,,J. Grant enters the game for K. Dunn
1:38.0,,,20-24,1,B. Portis makes free throw 2 of 2
1:19.0,T. Luwawu-Cabarrot makes 3-pt shot from 23 ft (assist by T. McConnell),3,23-24,,
1:04.0,,,23-27,3,N. Mirotic makes 3-pt shot from 24 ft (assist by B. Portis)
0:51.0,Turnover by J. Redick (lost ball; steal by J. Grant),,23-27,,
0:40.0,,,23-30,3,J. Holiday makes 3-pt shot from 24 ft (assist by B. Portis)
0:33.0,T. McConnell makes 2-pt shot from 1 ft,2,25-30,,
0:27.0,,,25-30,,J. Grant misses 3-pt shot from 26 ft
0:27.0,Defensive rebound by J. Redick,,25-30,,
0:14.0,D. Saric misses 2-pt shot from 21 ft,,25-30,,
0:11.0,,,25-30,,Defensive rebound by B. Portis
0:02.0,,,25-30,,J. Grant misses 2-pt shot from 2 ft
0:00.0,Defensive rebound by T. McConnell,,25-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,A. Johnson misses 2-pt shot from 7 ft,,25-30,,
11:36.0,,,25-30,,Defensive rebound by N. Mirotic
11:28.0,,,25-33,3,B. Portis makes 3-pt shot from 25 ft (assist by J. Grant)
11:11.0,J. Redick misses 2-pt shot from 9 ft (block by B. Portis),,25-33,,
11:08.0,Offensive rebound by D. Saric,,25-33,,
11:07.0,D. Saric makes 2-pt shot from 2 ft,2,27-33,,
11:00.0,,,27-33,,B. Portis misses 2-pt shot from 5 ft
11:00.0,Defensive rebound by T. McConnell,,27-33,,
10:52.0,Shooting foul by D. Nwaba (drawn by A. Johnson),,27-33,,
10:52.0,A. Johnson misses free throw 1 of 2,,27-33,,
10:52.0,Offensive rebound by Team,,27-33,,
10:52.0,A. Johnson makes free throw 2 of 2,1,28-33,,
10:40.0,,,28-33,,J. Grant misses 2-pt shot from 3 ft (block by T. McConnell)
10:36.0,Defensive rebound by T. McConnell,,28-33,,
10:34.0,J. Redick misses 3-pt shot from 22 ft,,28-33,,
10:34.0,,,28-33,,Defensive rebound by B. Portis
10:23.0,,,28-33,,Turnover by B. Portis (lost ball; steal by D. Saric)
10:18.0,T. Luwawu-Cabarrot makes 3-pt shot from 24 ft (assist by J. Redick),3,31-33,,
9:58.0,,,31-33,,P. Zipser misses 2-pt shot from 9 ft
9:56.0,Defensive rebound by D. Saric,,31-33,,
9:52.0,J. Redick makes 2-pt shot from 21 ft (assist by T. McConnell),2,33-33,,
9:52.0,Shooting foul by P. Zipser (drawn by J. Redick),,33-33,,
9:52.0,R. Holmes enters the game for A. Johnson,,33-33,,
9:52.0,J. Redick makes free throw 1 of 1,1,34-33,,
9:43.0,Personal foul by D. Saric (drawn by N. Mirotic),,34-33,,
9:35.0,,,34-33,,J. Grant misses 2-pt shot from 11 ft
9:32.0,Defensive rebound by R. Holmes,,34-33,,
9:16.0,Turnover by T. Luwawu-Cabarrot (lost ball; steal by J. Grant),,34-33,,
9:04.0,,,34-33,,N. Mirotic misses 2-pt shot from 16 ft
9:02.0,,,34-33,,Offensive rebound by Team
8:59.0,,,34-35,2,D. Nwaba makes 2-pt shot from 1 ft (assist by J. Grant)
8:59.0,Philadelphia full timeout,,34-35,,
8:39.0,R. Holmes makes 2-pt shot from 1 ft (assist by T. Luwawu-Cabarrot),2,36-35,,
8:25.0,,,36-35,,D. Nwaba misses 2-pt shot from 4 ft (block by T. Luwawu-Cabarrot)
8:25.0,Defensive rebound by T. Luwawu-Cabarrot,,36-35,,
8:19.0,Shooting foul by N. Mirotic (drawn by T. Luwawu-Cabarrot),,36-35,,
8:19.0,T. Luwawu-Cabarrot makes free throw 1 of 2,1,37-35,,
8:19.0,R. Covington enters the game for D. Saric,,37-35,,
8:19.0,T. Luwawu-Cabarrot makes free throw 2 of 2,1,38-35,,
8:19.0,B. Simmons enters the game for J. Redick,,38-35,,
8:01.0,,,38-35,,B. Portis misses 2-pt shot from 17 ft
7:57.0,Defensive rebound by R. Holmes,,38-35,,
7:47.0,T. McConnell misses 2-pt shot from 2 ft,,38-35,,
7:39.0,Offensive rebound by R. Holmes,,38-35,,
7:39.0,R. Holmes makes 2-pt shot at rim,2,40-35,,
7:31.0,,,40-37,2,J. Grant makes 2-pt shot from 20 ft
7:15.0,T. McConnell misses 3-pt shot from 22 ft,,40-37,,
7:15.0,,,40-37,,Defensive rebound by N. Mirotic
7:04.0,,,40-39,2,B. Portis makes 2-pt shot from 19 ft (assist by J. Grant)
6:48.0,R. Holmes misses 2-pt shot from 10 ft,,40-39,,
6:48.0,,,40-39,,Defensive rebound by N. Mirotic
6:35.0,,,40-39,,N. Mirotic misses 2-pt shot from 1 ft (block by R. Covington)
6:35.0,,,40-39,,Offensive rebound by N. Mirotic
6:30.0,,,40-41,2,N. Mirotic makes 2-pt shot at rim
6:22.0,T. McConnell makes 2-pt shot from 7 ft (assist by T. Luwawu-Cabarrot),2,42-41,,
6:06.0,,,42-41,,N. Mirotic misses 2-pt shot from 2 ft
6:06.0,Defensive rebound by Team,,42-41,,
6:06.0,,,42-41,,Personal foul by D. Nwaba (drawn by B. Simmons)
6:06.0,,,42-41,,D. Valentine enters the game for J. Grant
6:06.0,,,42-41,,L. Markkanen enters the game for P. Zipser
6:06.0,,,42-41,,K. Dunn enters the game for N. Mirotic
6:06.0,J. Bayless enters the game for T. Luwawu-Cabarrot,,42-41,,
5:58.0,,,42-41,,Personal foul by D. Valentine (drawn by B. Simmons)
5:58.0,B. Simmons misses free throw 1 of 2,,42-41,,
5:58.0,Offensive rebound by Team,,42-41,,
5:58.0,,,42-41,,J. Holiday enters the game for D. Nwaba
5:58.0,B. Simmons misses free throw 2 of 2,,42-41,,
5:55.0,,,42-41,,Defensive rebound by B. Portis
5:51.0,,,42-41,,J. Holiday misses 3-pt shot from 24 ft
5:47.0,Defensive rebound by R. Holmes,,42-41,,
5:37.0,B. Simmons misses 2-pt shot from 1 ft,,42-41,,
5:31.0,Offensive rebound by B. Simmons,,42-41,,
5:31.0,B. Simmons makes 2-pt shot at rim,2,44-41,,
5:23.0,,,44-43,2,K. Dunn makes 2-pt shot from 1 ft (assist by L. Markkanen)
5:15.0,B. Simmons misses 2-pt shot from 3 ft (block by J. Holiday),,44-43,,
5:15.0,Offensive rebound by B. Simmons,,44-43,,
5:15.0,B. Simmons makes 2-pt shot from 3 ft,2,46-43,,
5:15.0,Shooting foul by D. Valentine (drawn by B. Simmons),,46-43,,
5:15.0,,,46-43,,R. Lopez enters the game for B. Portis
5:15.0,J. Redick enters the game for T. McConnell,,46-43,,
5:15.0,B. Simmons makes free throw 1 of 1,1,47-43,,
5:02.0,,,47-45,2,D. Valentine makes 2-pt shot from 9 ft
4:53.0,R. Holmes misses 3-pt shot from 25 ft,,47-45,,
4:53.0,,,47-45,,Defensive rebound by L. Markkanen
4:38.0,,,47-48,3,J. Holiday makes 3-pt shot from 25 ft (assist by L. Markkanen)
4:21.0,R. Holmes makes 2-pt shot from 1 ft (assist by B. Simmons),2,49-48,,
4:15.0,,,49-51,3,J. Holiday makes 3-pt shot from 24 ft (assist by K. Dunn)
4:00.0,R. Holmes misses 2-pt shot from 16 ft,,49-51,,
3:59.0,,,49-51,,Defensive rebound by Team
3:59.0,Personal foul by J. Bayless (drawn by L. Markkanen),,49-51,,
3:59.0,A. Johnson enters the game for R. Holmes,,49-51,,
3:47.0,,,49-51,,L. Markkanen misses 3-pt shot from 26 ft
3:44.0,Defensive rebound by B. Simmons,,49-51,,
3:40.0,J. Bayless makes 3-pt shot from 25 ft (assist by J. Redick),3,52-51,,
3:24.0,,,52-54,3,J. Holiday makes 3-pt shot from 24 ft (assist by L. Markkanen)
3:24.0,,,52-54,,Shooting foul by B. Simmons (drawn by J. Holiday)
3:24.0,,,52-55,1,J. Holiday makes free throw 1 of 1
3:12.0,B. Simmons makes 2-pt shot from 2 ft (assist by A. Johnson),2,54-55,,
3:04.0,,,54-58,3,L. Markkanen makes 3-pt shot from 26 ft (assist by D. Valentine)
2:50.0,Turnover by B. Simmons (bad pass),,54-58,,
2:50.0,,,54-58,,Chicago full timeout
2:37.0,,,54-58,,J. Holiday misses 3-pt shot from 25 ft
2:34.0,Defensive rebound by B. Simmons,,54-58,,
2:30.0,Turnover by J. Redick (step out of bounds),,54-58,,
2:17.0,,,54-60,2,R. Lopez makes 2-pt shot from 17 ft (assist by J. Holiday)
2:00.0,J. Bayless misses 3-pt shot from 25 ft,,54-60,,
1:56.0,,,54-60,,Defensive rebound by K. Dunn
1:53.0,,,54-62,2,D. Valentine makes 2-pt shot from 1 ft (assist by K. Dunn)
1:33.0,Turnover by B. Simmons (lost ball; steal by K. Dunn),,54-62,,
1:30.0,,,54-64,2,J. Holiday makes 2-pt shot at rim (assist by L. Markkanen)
1:11.0,A. Johnson makes 3-pt shot from 24 ft (assist by J. Bayless),3,57-64,,
0:59.0,Personal foul by R. Covington (drawn by R. Lopez),,57-64,,
0:54.0,,,57-64,,Turnover by L. Markkanen (out of bounds lost ball)
0:40.0,J. Redick misses 2-pt shot from 22 ft (block by J. Holiday),,57-64,,
0:39.0,Offensive rebound by B. Simmons,,57-64,,
0:39.0,B. Simmons makes 2-pt shot at rim,2,59-64,,
0:28.0,,,59-67,3,J. Holiday makes 3-pt shot from 23 ft (assist by D. Valentine)
0:16.0,,,59-67,,P. Zipser enters the game for D. Valentine
0:00.0,B. Simmons misses 2-pt shot from 9 ft,,59-67,,
0:00.0,,,59-67,,Defensive rebound by P. Zipser
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,Turnover by D. Saric (bad pass; steal by K. Dunn),,59-67,,
11:37.0,,,59-67,,L. Markkanen misses 2-pt shot from 4 ft
11:35.0,Defensive rebound by R. Holmes,,59-67,,
11:26.0,B. Simmons misses 2-pt shot from 2 ft (block by R. Lopez),,59-67,,
11:26.0,Offensive rebound by Team,,59-67,,
11:22.0,B. Simmons makes 2-pt shot at rim (assist by R. Holmes),2,61-67,,
10:56.0,,,61-67,,Turnover by Team (shot clock)
10:45.0,,,61-67,,Def 3 sec tech foul by R. Lopez
10:45.0,J. Redick makes technical free throw,1,62-67,,
10:40.0,R. Holmes makes 2-pt shot from 1 ft (assist by B. Simmons),2,64-67,,
10:24.0,,,64-69,2,D. Valentine makes 2-pt shot from 22 ft
10:02.0,B. Simmons misses 2-pt shot from 11 ft,,64-69,,
9:58.0,Offensive rebound by D. Saric,,64-69,,
9:58.0,Turnover by J. Redick (traveling),,64-69,,
9:44.0,,,64-72,3,K. Dunn makes 3-pt shot from 25 ft
9:31.0,R. Covington misses 3-pt shot from 25 ft,,64-72,,
9:27.0,,,64-72,,Defensive rebound by J. Holiday
9:22.0,,,64-72,,Turnover by K. Dunn (bad pass)
9:15.0,Turnover by B. Simmons (lost ball; steal by L. Markkanen),,64-72,,
9:11.0,,,64-74,2,L. Markkanen makes 2-pt shot from 1 ft (assist by K. Dunn)
9:11.0,Philadelphia full timeout,,64-74,,
8:54.0,J. Redick makes 2-pt shot from 19 ft (assist by R. Holmes),2,66-74,,
8:42.0,,,66-76,2,R. Lopez makes 2-pt shot from 14 ft (assist by K. Dunn)
8:20.0,R. Holmes misses 2-pt shot from 16 ft,,66-76,,
8:15.0,,,66-76,,Defensive rebound by J. Holiday
8:05.0,,,66-78,2,D. Valentine makes 2-pt shot from 20 ft
7:49.0,D. Saric makes 2-pt shot from 5 ft (assist by B. Simmons),2,68-78,,
7:34.0,,,68-80,2,L. Markkanen makes 2-pt shot from 21 ft (assist by R. Lopez)
7:22.0,R. Holmes misses 2-pt shot from 14 ft,,68-80,,
7:19.0,,,68-80,,Defensive rebound by L. Markkanen
7:10.0,,,68-80,,R. Lopez misses 2-pt shot from 3 ft
7:08.0,Defensive rebound by R. Holmes,,68-80,,
6:59.0,Shooting foul by D. Valentine (drawn by R. Covington),,68-80,,
6:59.0,R. Covington makes free throw 1 of 2,1,69-80,,
6:59.0,T. McConnell enters the game for J. Redick,,69-80,,
6:59.0,J. Bayless enters the game for D. Saric,,69-80,,
6:59.0,R. Covington makes free throw 2 of 2,1,70-80,,
6:44.0,,,70-80,,D. Valentine misses 3-pt shot from 25 ft
6:41.0,Defensive rebound by R. Covington,,70-80,,
6:34.0,R. Holmes makes 2-pt shot from 1 ft (assist by B. Simmons),2,72-80,,
6:25.0,,,72-80,,Turnover by K. Dunn (lost ball; steal by R. Holmes)
6:02.0,R. Covington makes 3-pt shot from 25 ft (assist by T. McConnell),3,75-80,,
5:52.0,,,75-80,,Chicago full timeout
5:52.0,,,75-80,,N. Mirotic enters the game for L. Markkanen
5:52.0,,,75-80,,D. Nwaba enters the game for D. Valentine
5:46.0,,,75-80,,R. Lopez misses 2-pt shot from 13 ft
5:43.0,Defensive rebound by J. Bayless,,75-80,,
5:34.0,J. Bayless misses 3-pt shot from 24 ft,,75-80,,
5:30.0,,,75-80,,Defensive rebound by N. Mirotic
5:19.0,,,75-80,,R. Lopez misses 2-pt shot from 9 ft
5:17.0,Defensive rebound by T. McConnell,,75-80,,
5:13.0,Offensive charge foul by R. Covington (drawn by J. Holiday),,75-80,,
5:13.0,Turnover by R. Covington (offensive foul),,75-80,,
5:13.0,D. Saric enters the game for R. Holmes,,75-80,,
5:07.0,,,75-80,,Turnover by K. Dunn (bad pass; steal by R. Covington)
5:02.0,R. Covington makes 2-pt shot at rim,2,77-80,,
4:45.0,,,77-80,,N. Mirotic misses 3-pt shot from 24 ft
4:43.0,,,77-80,,Offensive rebound by Team
4:43.0,Personal foul by D. Saric (drawn by R. Lopez),,77-80,,
4:43.0,,,77-80,,B. Portis enters the game for R. Lopez
4:43.0,T. Luwawu-Cabarrot enters the game for R. Covington,,77-80,,
4:34.0,,,77-82,2,N. Mirotic makes 2-pt shot from 14 ft
4:23.0,D. Saric misses 3-pt shot from 25 ft,,77-82,,
4:22.0,,,77-82,,Defensive rebound by N. Mirotic
4:06.0,,,77-82,,N. Mirotic misses 2-pt shot from 11 ft (block by B. Simmons)
4:05.0,,,77-82,,Offensive rebound by Team
4:03.0,,,77-82,,J. Holiday misses 2-pt shot from 15 ft (block by B. Simmons)
4:01.0,Defensive rebound by B. Simmons,,77-82,,
3:58.0,Shooting foul by D. Nwaba (drawn by B. Simmons),,77-82,,
3:58.0,B. Simmons misses free throw 1 of 2,,77-82,,
3:58.0,Offensive rebound by Team,,77-82,,
3:58.0,B. Simmons misses free throw 2 of 2,,77-82,,
3:55.0,,,77-82,,Defensive rebound by N. Mirotic
3:39.0,Personal foul by T. Luwawu-Cabarrot (drawn by B. Portis),,77-82,,
3:35.0,,,77-82,,K. Dunn misses 2-pt shot from 1 ft (block by J. Bayless)
3:35.0,Defensive rebound by D. Saric,,77-82,,
3:23.0,D. Saric makes 2-pt shot from 1 ft (assist by T. McConnell),2,79-82,,
3:12.0,,,79-82,,B. Portis misses 3-pt shot from 24 ft
3:12.0,Defensive rebound by Team,,79-82,,
3:12.0,J. Redick enters the game for J. Bayless,,79-82,,
2:52.0,J. Redick misses 2-pt shot from 17 ft,,79-82,,
2:50.0,Offensive rebound by D. Saric,,79-82,,
2:50.0,D. Saric makes 2-pt shot from 1 ft,2,81-82,,
2:50.0,Shooting foul by B. Portis (drawn by D. Saric),,81-82,,
2:50.0,R. Holmes enters the game for B. Simmons,,81-82,,
2:50.0,D. Saric makes free throw 1 of 1,1,82-82,,
2:36.0,,,82-82,,Turnover by K. Dunn (bad pass; steal by T. Luwawu-Cabarrot)
2:32.0,T. McConnell makes 2-pt shot from 1 ft (assist by T. Luwawu-Cabarrot),2,84-82,,
2:17.0,,,84-82,,Turnover by B. Portis (out of bounds lost ball)
2:17.0,,,84-82,,J. Grant enters the game for K. Dunn
2:06.0,T. Luwawu-Cabarrot misses 3-pt shot from 25 ft,,84-82,,
2:05.0,,,84-82,,Defensive rebound by Team
2:05.0,Loose ball foul by R. Holmes (drawn by B. Portis),,84-82,,
1:57.0,,,84-82,,Shooting foul by D. Saric (drawn by N. Mirotic)
1:57.0,,,84-83,1,N. Mirotic makes free throw 1 of 2
1:57.0,,,84-84,1,N. Mirotic makes free throw 2 of 2
1:39.0,T. Luwawu-Cabarrot misses 3-pt shot from 22 ft,,84-84,,
1:39.0,,,84-84,,Defensive rebound by N. Mirotic
1:24.0,,,84-87,3,N. Mirotic makes 3-pt shot from 22 ft (assist by J. Grant)
1:08.0,D. Saric makes 3-pt shot from 25 ft (assist by J. Redick),3,87-87,,
0:44.0,Personal foul by R. Holmes (drawn by N. Mirotic),,87-87,,
0:44.0,,,87-88,1,N. Mirotic makes free throw 1 of 2
0:44.0,,,87-89,1,N. Mirotic makes free throw 2 of 2
0:35.0,J. Redick misses 2-pt shot from 14 ft,,87-89,,
0:31.0,,,87-89,,Defensive rebound by B. Portis
0:25.0,,,87-89,,Turnover by N. Mirotic (turnover)
0:01.0,D. Saric misses 2-pt shot at rim,,87-89,,
0:01.0,,,87-89,,Defensive rebound by B. Portis
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,87-89,,Shooting foul by T. Luwawu-Cabarrot (drawn by D. Nwaba)
11:48.0,,,87-90,1,D. Nwaba makes free throw 1 of 2
11:48.0,,,87-91,1,D. Nwaba makes free throw 2 of 2
11:35.0,Turnover by R. Covington (bad pass),,87-91,,
11:35.0,,,87-91,,D. Valentine enters the game for D. Nwaba
11:11.0,,,87-91,,J. Grant misses 3-pt shot from 27 ft
11:08.0,Defensive rebound by R. Covington,,87-91,,
10:51.0,Turnover by T. McConnell (bad pass),,87-91,,
10:37.0,,,87-91,,Turnover by J. Grant (bad pass; steal by R. Covington)
10:32.0,R. Holmes makes 2-pt shot at rim (assist by T. McConnell),2,89-91,,
10:12.0,,,89-91,,P. Zipser misses 3-pt shot from 24 ft
10:12.0,,,89-91,,Offensive rebound by B. Portis
10:11.0,Personal foul by T. McConnell (drawn by B. Portis),,89-91,,
10:05.0,,,89-91,,Shooting foul by R. Covington (drawn by J. Grant)
10:05.0,,,89-92,1,J. Grant makes free throw 1 of 2
10:05.0,,,89-92,,J. Grant misses free throw 2 of 2
10:01.0,Defensive rebound by R. Holmes,,89-92,,
9:50.0,T. McConnell makes 3-pt shot from 25 ft (assist by R. Holmes),3,92-92,,
9:20.0,,,92-94,2,J. Grant makes 2-pt shot from 18 ft (assist by D. Valentine)
9:05.0,T. McConnell misses 2-pt shot from 2 ft (block by J. Grant),,92-94,,
9:00.0,,,92-94,,Defensive rebound by B. Portis
8:58.0,,,92-94,,N. Mirotic misses 3-pt shot from 25 ft
8:58.0,,,92-94,,Offensive rebound by P. Zipser
8:53.0,,,92-94,,N. Mirotic misses 3-pt shot from 22 ft
8:53.0,,,92-94,,Offensive rebound by B. Portis
8:52.0,Personal foul by R. Holmes (drawn by B. Portis),,92-94,,
8:52.0,,,92-94,,D. Nwaba enters the game for D. Valentine
8:52.0,B. Simmons enters the game for J. Redick,,92-94,,
8:52.0,D. Saric enters the game for R. Holmes,,92-94,,
8:52.0,J. Bayless enters the game for R. Covington,,92-94,,
8:33.0,,,92-94,,Turnover by N. Mirotic (bad pass; steal by J. Bayless)
8:26.0,T. McConnell makes 2-pt shot from 7 ft,2,94-94,,
8:15.0,,,94-94,,J. Grant misses 2-pt shot from 12 ft
8:08.0,,,94-94,,Offensive rebound by B. Portis
8:08.0,,,94-94,,B. Portis misses 2-pt shot at rim
8:07.0,Defensive rebound by B. Simmons,,94-94,,
8:04.0,B. Simmons makes 2-pt shot at rim,2,96-94,,
7:52.0,,,96-94,,Offensive foul by P. Zipser (drawn by B. Simmons)
7:52.0,,,96-94,,Turnover by P. Zipser (offensive foul)
7:52.0,Philadelphia full timeout,,96-94,,
7:52.0,,,96-94,,K. Dunn enters the game for J. Grant
7:52.0,,,96-94,,J. Holiday enters the game for P. Zipser
7:52.0,,,96-94,,L. Markkanen enters the game for N. Mirotic
7:41.0,D. Saric misses 2-pt shot from 12 ft,,96-94,,
7:39.0,,,96-94,,Defensive rebound by B. Portis
7:27.0,,,96-94,,B. Portis misses 2-pt shot from 5 ft (block by B. Simmons)
7:27.0,,,96-94,,Offensive rebound by Team
7:16.0,,,96-94,,J. Holiday misses 2-pt shot from 21 ft (block by B. Simmons)
7:12.0,Defensive rebound by T. McConnell,,96-94,,
7:08.0,J. Bayless makes 3-pt shot from 25 ft (assist by D. Saric),3,99-94,,
6:55.0,,,99-94,,K. Dunn misses 2-pt shot at rim
6:53.0,Defensive rebound by B. Simmons,,99-94,,
6:49.0,B. Simmons makes 2-pt shot from 1 ft,2,101-94,,
6:48.0,,,101-94,,Chicago full timeout
6:36.0,,,101-94,,Turnover by K. Dunn (bad pass; steal by D. Saric)
6:24.0,T. Luwawu-Cabarrot misses 3-pt shot from 26 ft,,101-94,,
6:18.0,,,101-94,,Defensive rebound by D. Nwaba
6:16.0,,,101-94,,Shooting foul by J. Bayless (drawn by D. Nwaba)
6:16.0,,,101-95,1,D. Nwaba makes free throw 1 of 2
6:16.0,J. Redick enters the game for T. Luwawu-Cabarrot,,101-95,,
6:16.0,,,101-96,1,D. Nwaba makes free throw 2 of 2
5:55.0,J. Redick misses 3-pt shot from 25 ft,,101-96,,
5:53.0,Offensive rebound by B. Simmons,,101-96,,
5:51.0,J. Bayless makes 3-pt shot from 25 ft (assist by J. Redick),3,104-96,,
5:51.0,Shooting foul by D. Nwaba (drawn by J. Bayless),,104-96,,
5:51.0,J. Bayless makes free throw 1 of 1,1,105-96,,
5:40.0,,,105-96,,L. Markkanen misses 3-pt shot from 25 ft
5:38.0,Defensive rebound by D. Saric,,105-96,,
