time,Atlanta,pts.away,score,pts.home,LA Lakers
7:20.0,,,56-79,,K. Caldwell-Pope misses 3-pt shot from 27 ft
7:18.0,Defensive rebound by T. Waller-Prince,,56-79,,
7:06.0,D. Schroder makes 2-pt shot from 1 ft,2,58-79,,
6:54.0,,,58-79,,Shooting foul by K. Bazemore (drawn by J. Randle)
6:54.0,,,58-79,,J. Randle misses free throw 1 of 2
6:54.0,,,58-79,,Offensive rebound by Team
6:54.0,,,58-80,1,J. Randle makes free throw 2 of 2
6:41.0,K. Bazemore misses 2-pt shot from 2 ft,,58-80,,
6:38.0,,,58-80,,Defensive rebound by B. Lopez
6:35.0,,,58-80,,Turnover by J. Randle (lost ball; steal by E. Ilyasova)
6:29.0,K. Bazemore makes 3-pt shot from 23 ft (assist by D. Schroder),3,61-80,,
6:17.0,,,61-83,3,L. Ball makes 3-pt shot from 26 ft (assist by J. Randle)
6:00.0,K. Bazemore makes 2-pt shot from 16 ft,2,63-83,,
5:48.0,,,63-83,,B. Lopez misses 3-pt shot from 28 ft
5:45.0,Defensive rebound by E. Ilyasova,,63-83,,
5:42.0,T. Waller-Prince misses 3-pt shot from 25 ft,,63-83,,
5:37.0,,,63-83,,Defensive rebound by L. Ball
5:34.0,,,63-83,,Turnover by B. Ingram (bad pass; steal by M. Plumlee)
5:28.0,K. Bazemore makes 3-pt shot from 23 ft (assist by D. Schroder),3,66-83,,
5:27.0,,,66-83,,LA Lakers full timeout
5:27.0,,,66-83,,K. Kuzma enters the game for J. Randle
5:27.0,,,66-83,,T. Ennis enters the game for L. Ball
5:27.0,,,66-83,,L. Nance enters the game for B. Lopez
5:27.0,M. Belinelli enters the game for T. Waller-Prince,,66-83,,
5:11.0,,,66-85,2,B. Ingram makes 2-pt shot from 2 ft
5:00.0,D. Schroder makes 2-pt shot from 1 ft,2,68-85,,
4:46.0,,,68-85,,Turnover by T. Ennis (out of bounds lost ball)
4:46.0,J. Collins enters the game for M. Plumlee,,68-85,,
4:34.0,K. Bazemore makes 2-pt shot from 13 ft,2,70-85,,
4:14.0,,,70-88,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by T. Ennis)
4:00.0,,,70-88,,Personal foul by L. Nance (drawn by J. Collins)
3:53.0,K. Bazemore misses 3-pt shot from 25 ft,,70-88,,
3:49.0,,,70-88,,Defensive rebound by L. Nance
3:44.0,,,70-90,2,L. Nance makes 2-pt shot from 1 ft (assist by T. Ennis)
3:44.0,,,70-90,,Shooting foul by K. Bazemore (drawn by L. Nance)
3:44.0,T. Cavanaugh enters the game for E. Ilyasova,,70-90,,
3:44.0,,,70-90,,L. Nance misses free throw 1 of 1
3:41.0,Defensive rebound by T. Cavanaugh,,70-90,,
3:32.0,,,70-90,,Shooting block foul by K. Kuzma (drawn by D. Schroder)
3:32.0,D. Schroder makes free throw 1 of 2,1,71-90,,
3:32.0,T. Waller-Prince enters the game for K. Bazemore,,71-90,,
3:32.0,D. Schroder misses free throw 2 of 2,,71-90,,
3:30.0,,,71-90,,Defensive rebound by L. Nance
3:17.0,,,71-90,,Turnover by B. Ingram (bad pass; steal by M. Belinelli)
3:16.0,,,71-90,,Personal take foul by L. Nance (drawn by D. Schroder)
3:16.0,D. Schroder makes free throw 1 of 2,1,72-90,,
3:16.0,,,72-90,,J. Clarkson enters the game for K. Caldwell-Pope
3:16.0,D. Schroder makes free throw 2 of 2,1,73-90,,
3:02.0,,,73-90,,Offensive charge foul by K. Kuzma (drawn by D. Schroder)
3:02.0,,,73-90,,Turnover by K. Kuzma (offensive foul)
2:39.0,J. Collins makes 2-pt shot from 1 ft (assist by T. Waller-Prince),2,75-90,,
2:26.0,,,75-90,,K. Kuzma misses 3-pt shot from 26 ft
2:24.0,Defensive rebound by D. Schroder,,75-90,,
2:16.0,D. Schroder misses 2-pt shot from 2 ft (block by T. Ennis),,75-90,,
2:16.0,Offensive rebound by Team,,75-90,,
2:08.0,,,75-90,,Violation by L. Nance (kicked ball)
1:58.0,D. Schroder misses 3-pt shot from 25 ft,,75-90,,
1:54.0,,,75-90,,Defensive rebound by J. Clarkson
1:46.0,,,75-90,,K. Kuzma misses 2-pt shot from 2 ft
1:42.0,Defensive rebound by T. Waller-Prince,,75-90,,
1:26.0,D. Schroder misses 2-pt shot from 4 ft,,75-90,,
1:24.0,,,75-90,,Defensive rebound by K. Kuzma
1:15.0,,,75-92,2,K. Kuzma makes 2-pt shot from 6 ft (assist by J. Clarkson)
1:01.0,M. Belinelli makes 3-pt shot from 26 ft (assist by D. Schroder),3,78-92,,
0:49.0,,,78-92,,Shooting foul by T. Waller-Prince (drawn by B. Ingram)
0:49.0,,,78-93,1,B. Ingram makes free throw 1 of 2
0:49.0,,,78-93,,J. Hart enters the game for K. Kuzma
0:49.0,M. Delaney enters the game for D. Schroder,,78-93,,
0:49.0,,,78-94,1,B. Ingram makes free throw 2 of 2
0:34.0,M. Belinelli misses 3-pt shot from 26 ft,,78-94,,
0:30.0,,,78-94,,Defensive rebound by T. Ennis
0:25.0,,,78-96,2,L. Nance makes 2-pt shot from 2 ft (assist by B. Ingram)
0:03.0,M. Delaney misses 2-pt shot from 2 ft,,78-96,,
0:01.0,Offensive rebound by J. Collins,,78-96,,
0:01.0,J. Collins makes 2-pt shot at rim,2,80-96,,
0:00.0,,,80-96,,J. Clarkson misses 2-pt shot from 20 ft
0:00.0,,,80-96,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,J. Collins makes 2-pt shot from 2 ft (assist by M. Belinelli),2,82-96,,
11:20.0,,,82-98,2,L. Nance makes 2-pt shot from 2 ft (assist by L. Ball)
11:03.0,T. Waller-Prince makes 2-pt shot from 17 ft,2,84-98,,
10:50.0,,,84-98,,Shooting foul by T. Cavanaugh (drawn by K. Kuzma)
10:50.0,,,84-99,1,K. Kuzma makes free throw 1 of 2
10:50.0,,,84-100,1,K. Kuzma makes free throw 2 of 2
10:39.0,M. Delaney makes 3-pt shot from 26 ft (assist by T. Cavanaugh),3,87-100,,
10:26.0,Personal foul by T. Cavanaugh (drawn by K. Kuzma),,87-100,,
10:13.0,,,87-102,2,K. Kuzma makes 2-pt shot from 1 ft
10:05.0,,,87-102,,Personal foul by L. Ball (drawn by M. Delaney)
9:58.0,M. Belinelli misses 3-pt shot from 26 ft,,87-102,,
9:54.0,,,87-102,,Defensive rebound by L. Ball
9:47.0,,,87-102,,J. Hart misses 3-pt shot from 23 ft
9:44.0,Defensive rebound by T. Waller-Prince,,87-102,,
9:25.0,Turnover by J. Collins (bad pass; steal by J. Clarkson),,87-102,,
9:20.0,,,87-104,2,J. Hart makes 2-pt shot from 2 ft (assist by L. Ball)
9:00.0,Turnover by M. Belinelli (bad pass; steal by L. Ball),,87-104,,
8:59.0,,,87-106,2,L. Ball makes 2-pt shot from 1 ft (assist by K. Kuzma)
8:58.0,Atlanta full timeout,,87-106,,
8:58.0,M. Plumlee enters the game for M. Belinelli,,87-106,,
8:58.0,E. Ilyasova enters the game for J. Collins,,87-106,,
8:58.0,K. Bazemore enters the game for T. Cavanaugh,,87-106,,
8:46.0,T. Waller-Prince makes 2-pt shot from 1 ft (assist by E. Ilyasova),2,89-106,,
8:32.0,,,89-106,,Turnover by L. Nance (lost ball; steal by E. Ilyasova)
8:25.0,,,89-106,,Personal foul by L. Nance (drawn by K. Bazemore)
8:15.0,E. Ilyasova misses 2-pt shot from 2 ft (block by L. Nance),,89-106,,
8:12.0,,,89-106,,Defensive rebound by K. Kuzma
8:03.0,,,89-108,2,J. Clarkson makes 2-pt shot from 2 ft (assist by K. Kuzma)
7:48.0,T. Waller-Prince misses 2-pt shot from 17 ft,,89-108,,
7:43.0,,,89-108,,Defensive rebound by L. Ball
7:42.0,,,89-108,,Shooting foul by K. Bazemore (drawn by J. Hart)
7:42.0,,,89-109,1,J. Hart makes free throw 1 of 2
7:42.0,D. Schroder enters the game for T. Waller-Prince,,89-109,,
7:42.0,,,89-110,1,J. Hart makes free throw 2 of 2
7:32.0,,,89-110,,Personal foul by L. Ball (drawn by K. Bazemore)
7:22.0,D. Schroder misses 3-pt shot from 24 ft,,89-110,,
7:17.0,,,89-110,,Defensive rebound by L. Ball
7:15.0,,,89-110,,J. Hart misses 2-pt shot from 4 ft (block by K. Bazemore)
