time,Phoenix,pts.away,score,pts.home,Portland
7:45.0,,,13-8,,D. Lillard misses 3-pt shot from 26 ft
7:44.0,Defensive rebound by D. Booker,,13-8,,
7:36.0,T. Chandler makes 2-pt shot at rim (assist by D. Booker),2,15-8,,
7:19.0,,,15-8,,D. Lillard misses 2-pt shot from 9 ft (block by T. Warren)
7:18.0,Defensive rebound by T. Warren,,15-8,,
7:14.0,T. Warren misses 2-pt shot from 1 ft (block by M. Harkless),,15-8,,
7:14.0,,,15-8,,Defensive rebound by M. Harkless
7:05.0,,,15-8,,Turnover by J. Nurkic (bad pass; steal by M. Chriss)
7:03.0,,,15-8,,Personal foul by M. Harkless (drawn by D. Booker)
7:03.0,,,15-8,,Portland full timeout
6:56.0,,,15-8,,Personal foul by C. McCollum (drawn by D. Booker)
6:46.0,D. Booker misses 2-pt shot from 14 ft (block by C. McCollum),,15-8,,
6:43.0,,,15-8,,Defensive rebound by A. Aminu
6:39.0,,,15-10,2,C. McCollum makes 2-pt shot from 17 ft
6:25.0,M. Chriss makes 2-pt shot from 19 ft (assist by D. Booker),2,17-10,,
6:05.0,,,17-13,3,D. Lillard makes 3-pt shot from 25 ft (assist by A. Aminu)
5:43.0,Shooting foul by C. McCollum (drawn by M. James),,17-13,,
5:43.0,M. James makes free throw 1 of 2,1,18-13,,
5:43.0,,,18-13,,E. Turner enters the game for M. Harkless
5:43.0,,,18-13,,P. Connaughton enters the game for C. McCollum
5:43.0,A. Len enters the game for T. Chandler,,18-13,,
5:43.0,M. James makes free throw 2 of 2,1,19-13,,
5:26.0,,,19-13,,E. Turner misses 2-pt shot from 15 ft
5:22.0,,,19-13,,Offensive rebound by J. Nurkic
5:22.0,,,19-13,,J. Nurkic misses 2-pt shot at rim
5:21.0,Defensive rebound by T. Warren,,19-13,,
5:12.0,Turnover by T. Warren (traveling),,19-13,,
5:01.0,Violation by A. Len (kicked ball),,19-13,,
4:48.0,,,19-13,,J. Nurkic misses 2-pt shot from 6 ft
4:46.0,Defensive rebound by A. Len,,19-13,,
4:39.0,M. James misses 2-pt shot from 19 ft,,19-13,,
4:35.0,,,19-13,,Defensive rebound by D. Lillard
4:30.0,,,19-13,,D. Lillard misses 2-pt shot from 17 ft
4:29.0,,,19-13,,Offensive rebound by D. Lillard
4:22.0,,,19-13,,Shooting foul by T. Warren (drawn by D. Lillard)
4:22.0,,,19-13,,D. Lillard misses free throw 1 of 2
4:22.0,,,19-13,,Offensive rebound by Team
4:22.0,,,19-13,,E. Davis enters the game for J. Nurkic
4:22.0,T. Daniels enters the game for D. Booker,,19-13,,
4:22.0,J. Jackson enters the game for T. Warren,,19-13,,
4:22.0,,,19-14,1,D. Lillard makes free throw 2 of 2
3:59.0,M. Chriss misses 3-pt shot from 23 ft (block by A. Aminu),,19-14,,
3:59.0,Offensive rebound by Team,,19-14,,
3:59.0,Phoenix full timeout,,19-14,,
3:56.0,T. Daniels misses 3-pt shot from 25 ft,,19-14,,
3:54.0,,,19-14,,Defensive rebound by E. Turner
3:41.0,,,19-14,,Turnover by E. Turner (bad pass; steal by A. Len)
3:28.0,A. Len misses 2-pt shot from 1 ft (block by E. Davis),,19-14,,
3:25.0,Offensive rebound by A. Len,,19-14,,
3:24.0,Turnover by A. Len (lost ball; steal by E. Davis),,19-14,,
3:16.0,,,19-17,3,A. Aminu makes 3-pt shot from 23 ft (assist by D. Lillard)
3:08.0,J. Jackson misses 2-pt shot from 1 ft (block by A. Aminu),,19-17,,
3:08.0,Offensive rebound by M. James,,19-17,,
3:04.0,M. James misses 2-pt shot from 4 ft,,19-17,,
3:04.0,,,19-17,,Defensive rebound by E. Davis
2:55.0,,,19-19,2,E. Turner makes 2-pt shot from 15 ft
2:55.0,,,19-19,,Shooting foul by A. Len (drawn by E. Turner)
2:55.0,T. Ulis enters the game for M. Chriss,,19-19,,
2:55.0,D. Bender enters the game for M. James,,19-19,,
2:55.0,,,19-19,,E. Turner misses free throw 1 of 1
2:55.0,,,19-19,,Z. Collins enters the game for A. Aminu
2:45.0,Defensive rebound by D. Bender,,19-19,,
2:35.0,T. Daniels misses 3-pt shot from 25 ft,,19-19,,
2:33.0,,,19-19,,Defensive rebound by E. Davis
2:21.0,,,19-19,,Z. Collins misses 2-pt shot from 2 ft (block by D. Bender)
2:11.0,,,19-19,,Offensive rebound by E. Davis
2:11.0,,,19-21,2,E. Davis makes 2-pt shot at rim
2:01.0,A. Len makes 2-pt shot from 1 ft (assist by T. Ulis),2,21-21,,
2:01.0,Shooting foul by D. Lillard (drawn by A. Len),,21-21,,
2:01.0,,,21-21,,C. McCollum enters the game for D. Lillard
2:01.0,A. Len makes free throw 1 of 1,1,22-21,,
1:46.0,,,22-21,,C. McCollum misses 2-pt shot from 19 ft
1:43.0,Defensive rebound by A. Len,,22-21,,
1:25.0,T. Ulis misses 2-pt shot from 3 ft,,22-21,,
1:25.0,,,22-21,,Defensive rebound by E. Davis
1:20.0,,,22-24,3,P. Connaughton makes 3-pt shot from 26 ft (assist by Z. Collins)
0:55.0,J. Jackson misses 3-pt shot from 26 ft,,22-24,,
0:55.0,Offensive rebound by T. Ulis,,22-24,,
0:44.0,A. Len misses 2-pt shot from 2 ft,,22-24,,
0:44.0,,,22-24,,Defensive rebound by E. Davis
0:34.0,,,22-26,2,C. McCollum makes 2-pt shot from 9 ft
0:17.0,T. Ulis makes 2-pt shot from 14 ft,2,24-26,,
0:00.0,,,24-29,3,P. Connaughton makes 3-pt shot from 23 ft (assist by E. Davis)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,,,24-31,2,P. Connaughton makes 2-pt shot at rim (assist by C. McCollum)
11:36.0,A. Len makes 2-pt shot at rim (assist by T. Daniels),2,26-31,,
11:36.0,Shooting foul by Z. Collins (drawn by A. Len),,26-31,,
11:36.0,A. Len makes free throw 1 of 1,1,27-31,,
11:21.0,,,27-33,2,E. Davis makes 2-pt shot from 1 ft (assist by C. McCollum)
11:12.0,D. Bender makes 3-pt shot from 25 ft (assist by T. Ulis),3,30-33,,
10:47.0,,,30-33,,C. McCollum misses 2-pt shot from 21 ft
10:46.0,Defensive rebound by D. Bender,,30-33,,
10:40.0,,,30-33,,Personal foul by Z. Collins (drawn by A. Len)
10:36.0,J. Jackson misses 2-pt shot from 13 ft,,30-33,,
10:34.0,,,30-33,,Defensive rebound by E. Turner
10:25.0,,,30-33,,Turnover by P. Connaughton (bad pass; steal by T. Ulis)
10:20.0,T. Daniels misses 3-pt shot from 25 ft,,30-33,,
10:18.0,,,30-33,,Defensive rebound by C. McCollum
10:13.0,,,30-36,3,P. Connaughton makes 3-pt shot from 24 ft (assist by C. McCollum)
9:54.0,T. Ulis misses 2-pt shot from 16 ft,,30-36,,
9:53.0,,,30-36,,Defensive rebound by E. Davis
9:46.0,Personal foul by J. Jackson (drawn by E. Turner),,30-36,,
9:46.0,T. Chandler enters the game for A. Len,,30-36,,
9:46.0,D. Booker enters the game for T. Daniels,,30-36,,
9:40.0,,,30-38,2,C. McCollum makes 2-pt shot from 15 ft
9:25.0,D. Booker makes 2-pt shot from 2 ft,2,32-38,,
9:25.0,Shooting foul by Z. Collins (drawn by D. Booker),,32-38,,
9:25.0,D. Booker makes free throw 1 of 1,1,33-38,,
9:11.0,,,33-38,,Turnover by E. Davis (lost ball; steal by J. Jackson)
8:55.0,Turnover by D. Booker (bad pass; steal by C. McCollum),,33-38,,
8:45.0,,,33-38,,Turnover by C. McCollum (bad pass; steal by J. Jackson)
8:42.0,Shooting foul by E. Turner (drawn by D. Booker),,33-38,,
8:42.0,D. Booker makes free throw 1 of 2,1,34-38,,
8:42.0,D. Booker makes free throw 2 of 2,1,35-38,,
8:29.0,,,35-38,,C. McCollum misses 3-pt shot from 24 ft
8:29.0,Defensive rebound by Team,,35-38,,
8:17.0,Turnover by D. Booker (bad pass; steal by E. Turner),,35-38,,
8:13.0,,,35-38,,C. McCollum misses 3-pt shot from 24 ft
8:09.0,,,35-38,,Offensive rebound by E. Turner
8:06.0,,,35-41,3,E. Turner makes 3-pt shot from 24 ft (assist by P. Connaughton)
7:55.0,T. Ulis makes 2-pt shot from 1 ft,2,37-41,,
7:39.0,,,37-41,,C. McCollum misses 3-pt shot from 24 ft
7:38.0,Defensive rebound by T. Chandler,,37-41,,
7:23.0,Shooting foul by E. Davis (drawn by T. Chandler),,37-41,,
7:23.0,T. Chandler makes free throw 1 of 2,1,38-41,,
7:23.0,,,38-41,,D. Lillard enters the game for C. McCollum
7:23.0,,,38-41,,M. Harkless enters the game for E. Davis
7:23.0,,,38-41,,J. Nurkic enters the game for Z. Collins
7:23.0,T. Warren enters the game for J. Jackson,,38-41,,
7:23.0,T. Chandler misses free throw 2 of 2,,38-41,,
7:23.0,,,38-41,,Defensive rebound by M. Harkless
7:10.0,,,38-41,,Turnover by J. Nurkic (bad pass; steal by D. Bender)
7:05.0,T. Warren misses 2-pt shot from 1 ft,,38-41,,
6:58.0,Offensive rebound by D. Bender,,38-41,,
6:58.0,D. Bender makes 2-pt shot at rim,2,40-41,,
6:50.0,,,40-41,,P. Connaughton misses 3-pt shot from 26 ft
6:46.0,Defensive rebound by T. Chandler,,40-41,,
6:41.0,D. Booker misses 3-pt shot from 24 ft,,40-41,,
6:41.0,,,40-41,,Defensive rebound by J. Nurkic
6:41.0,,,40-41,,Portland full timeout
6:26.0,,,40-41,,D. Lillard misses 2-pt shot from 17 ft
6:24.0,Defensive rebound by D. Booker,,40-41,,
6:12.0,Offensive charge foul by T. Warren (drawn by J. Nurkic),,40-41,,
6:12.0,Turnover by T. Warren (offensive foul),,40-41,,
6:12.0,,,40-41,,A. Aminu enters the game for E. Turner
5:59.0,Personal foul by T. Chandler (drawn by J. Nurkic),,40-41,,
5:53.0,,,40-41,,J. Nurkic misses 2-pt shot from 2 ft
5:52.0,Defensive rebound by D. Bender,,40-41,,
5:29.0,D. Booker makes 2-pt shot from 2 ft,2,42-41,,
5:15.0,,,42-43,2,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard)
5:01.0,Turnover by T. Chandler (out of bounds lost ball),,42-43,,
5:01.0,M. James enters the game for T. Ulis,,42-43,,
4:46.0,,,42-43,,Turnover by J. Nurkic (bad pass; steal by T. Warren)
4:40.0,D. Booker makes 3-pt shot from 25 ft (assist by T. Warren),3,45-43,,
4:17.0,,,45-43,,M. Harkless misses 2-pt shot from 1 ft (block by T. Chandler)
4:15.0,Defensive rebound by T. Warren,,45-43,,
4:10.0,T. Warren misses 2-pt shot from 11 ft,,45-43,,
4:07.0,,,45-43,,Defensive rebound by J. Nurkic
4:01.0,,,45-46,3,M. Harkless makes 3-pt shot from 25 ft (assist by D. Lillard)
3:38.0,Turnover by T. Warren (bad pass; steal by D. Lillard),,45-46,,
3:31.0,,,45-48,2,A. Aminu makes 2-pt shot from 3 ft (assist by M. Harkless)
3:31.0,Phoenix full timeout,,45-48,,
3:31.0,,,45-48,,C. McCollum enters the game for P. Connaughton
3:31.0,A. Len enters the game for T. Chandler,,45-48,,
3:20.0,Turnover by D. Booker (lost ball; steal by A. Aminu),,45-48,,
3:15.0,,,45-48,,Shooting foul by M. James (drawn by D. Lillard)
3:15.0,,,45-49,1,D. Lillard makes free throw 1 of 2
3:15.0,M. Chriss enters the game for D. Bender,,45-49,,
3:15.0,,,45-50,1,D. Lillard makes free throw 2 of 2
3:08.0,Shooting foul by J. Nurkic (drawn by A. Len),,45-50,,
3:08.0,A. Len makes free throw 1 of 2,1,46-50,,
3:08.0,A. Len misses free throw 2 of 2,,46-50,,
3:05.0,,,46-50,,Defensive rebound by M. Harkless
2:55.0,,,46-50,,Turnover by D. Lillard (bad pass; steal by M. Chriss)
2:49.0,D. Booker makes 3-pt shot from 23 ft (assist by M. Chriss),3,49-50,,
2:25.0,,,49-50,,J. Nurkic misses 2-pt shot from 3 ft (block by A. Len)
2:23.0,,,49-50,,Offensive rebound by D. Lillard
2:23.0,,,49-50,,Shooting foul by M. Chriss (drawn by A. Aminu)
2:23.0,,,49-51,1,A. Aminu makes free throw 1 of 3
2:23.0,,,49-52,1,A. Aminu makes free throw 2 of 3
2:23.0,,,49-53,1,A. Aminu makes free throw 3 of 3
2:08.0,Turnover by D. Booker (bad pass),,49-53,,
1:56.0,,,49-53,,Shooting foul by D. Booker (drawn by C. McCollum)
1:56.0,,,49-54,1,C. McCollum makes free throw 1 of 2
1:56.0,,,49-55,1,C. McCollum makes free throw 2 of 2
1:46.0,T. Warren misses 2-pt shot from 4 ft (block by M. Harkless),,49-55,,
1:44.0,,,49-55,,Defensive rebound by C. McCollum
1:42.0,,,49-55,,C. McCollum misses 3-pt shot from 25 ft
1:42.0,,,49-55,,Offensive rebound by Team
1:42.0,Loose ball foul by A. Len (drawn by J. Nurkic),,49-55,,
1:42.0,,,49-55,,J. Nurkic misses free throw 1 of 2
1:42.0,,,49-55,,Offensive rebound by Team
1:42.0,J. Jackson enters the game for T. Warren,,49-55,,
1:42.0,,,49-56,1,J. Nurkic makes free throw 2 of 2
1:36.0,,,49-56,,Personal foul by J. Nurkic (drawn by J. Jackson)
1:36.0,J. Jackson makes free throw 1 of 2,1,50-56,,
1:36.0,J. Jackson misses free throw 2 of 2,,50-56,,
1:33.0,Offensive rebound by J. Jackson,,50-56,,
1:33.0,,,50-56,,Personal foul by A. Aminu (drawn by J. Jackson)
1:33.0,J. Jackson makes free throw 1 of 2,1,51-56,,
1:33.0,J. Jackson makes free throw 2 of 2,1,52-56,,
1:23.0,,,52-59,3,M. Harkless makes 3-pt shot from 22 ft (assist by D. Lillard)
1:04.0,M. James makes 2-pt shot from 14 ft,2,54-59,,
0:49.0,,,54-59,,J. Nurkic misses 2-pt shot from 4 ft
0:47.0,Defensive rebound by A. Len,,54-59,,
0:42.0,Offensive foul by M. James (drawn by D. Lillard),,54-59,,
0:42.0,Turnover by M. James (offensive foul),,54-59,,
0:42.0,,,54-59,,P. Connaughton enters the game for J. Nurkic
0:42.0,D. Bender enters the game for M. Chriss,,54-59,,
0:42.0,T. Warren enters the game for A. Len,,54-59,,
0:34.0,,,54-61,2,D. Lillard makes 2-pt shot from 21 ft
0:16.0,M. James makes 3-pt shot from 25 ft,3,57-61,,
0:00.0,,,57-61,,D. Lillard misses 2-pt shot from 1 ft
0:00.0,,,57-61,,Offensive rebound by Team
0:00.0,T. Chandler enters the game for T. Warren,,57-61,,
0:00.0,,,57-61,,M. Harkless misses 2-pt shot from 10 ft
0:00.0,,,57-61,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,57-64,3,D. Lillard makes 3-pt shot from 26 ft (assist by C. McCollum)
11:34.0,Shooting foul by J. Nurkic (drawn by M. James),,57-64,,
11:34.0,M. James makes free throw 1 of 2,1,58-64,,
11:34.0,M. James makes free throw 2 of 2,1,59-64,,
11:22.0,,,59-64,,D. Lillard misses 2-pt shot from 19 ft
11:19.0,Defensive rebound by D. Booker,,59-64,,
11:15.0,M. James misses 2-pt shot from 16 ft,,59-64,,
11:12.0,,,59-64,,Defensive rebound by C. McCollum
11:02.0,,,59-66,2,J. Nurkic makes 2-pt shot from 1 ft (assist by A. Aminu)
10:50.0,D. Booker makes 2-pt shot from 1 ft (assist by M. James),2,61-66,,
10:50.0,Shooting foul by C. McCollum (drawn by D. Booker),,61-66,,
10:50.0,D. Booker makes free throw 1 of 1,1,62-66,,
10:36.0,,,62-68,2,C. McCollum makes 2-pt shot from 1 ft (assist by D. Lillard)
10:18.0,D. Booker makes 2-pt shot from 11 ft (assist by M. Chriss),2,64-68,,
10:04.0,,,64-70,2,J. Nurkic makes 2-pt shot from 4 ft (assist by D. Lillard)
9:48.0,Turnover by M. Chriss (lost ball; steal by A. Aminu),,64-70,,
9:44.0,,,64-70,,M. Harkless misses 2-pt shot from 1 ft (block by M. Chriss)
9:40.0,Defensive rebound by M. James,,64-70,,
9:38.0,Turnover by T. Chandler (out of bounds lost ball),,64-70,,
9:16.0,,,64-70,,M. Harkless misses 3-pt shot from 22 ft
9:13.0,Defensive rebound by D. Booker,,64-70,,
8:58.0,T. Warren makes 2-pt shot from 1 ft (assist by M. James),2,66-70,,
8:47.0,,,66-72,2,J. Nurkic makes 2-pt shot from 4 ft (assist by D. Lillard)
8:35.0,Shooting foul by A. Aminu (drawn by D. Booker),,66-72,,
8:35.0,D. Booker makes free throw 1 of 2,1,67-72,,
8:35.0,D. Booker makes free throw 2 of 2,1,68-72,,
8:21.0,,,68-72,,Shooting foul by M. James (drawn by D. Lillard)
8:21.0,,,68-73,1,D. Lillard makes free throw 1 of 3
8:21.0,,,68-74,1,D. Lillard makes free throw 2 of 3
8:21.0,,,68-75,1,D. Lillard makes free throw 3 of 3
8:11.0,Turnover by M. Chriss (out of bounds lost ball),,68-75,,
8:00.0,,,68-75,,A. Aminu misses 2-pt shot from 1 ft
7:57.0,Defensive rebound by D. Booker,,68-75,,
7:53.0,D. Booker misses 3-pt shot from 26 ft,,68-75,,
7:50.0,,,68-75,,Defensive rebound by A. Aminu
7:47.0,,,68-75,,Offensive foul by M. Harkless (drawn by M. James)
7:47.0,,,68-75,,Turnover by M. Harkless (offensive foul)
7:47.0,D. Bender enters the game for M. Chriss,,68-75,,
7:23.0,T. Warren misses 2-pt shot from 1 ft,,68-75,,
7:20.0,Offensive rebound by T. Chandler,,68-75,,
7:19.0,T. Warren makes 2-pt shot from 1 ft (assist by T. Chandler),2,70-75,,
7:08.0,,,70-77,2,J. Nurkic makes 2-pt shot from 21 ft (assist by C. McCollum)
6:59.0,T. Chandler makes 2-pt shot at rim (assist by M. James),2,72-77,,
6:49.0,,,72-79,2,D. Lillard makes 2-pt shot from 1 ft
6:33.0,D. Booker makes 3-pt shot from 25 ft (assist by M. James),3,75-79,,
6:24.0,,,75-79,,Portland full timeout
6:14.0,,,75-79,,C. McCollum misses 2-pt shot from 9 ft
6:12.0,Defensive rebound by D. Bender,,75-79,,
6:03.0,Offensive foul by T. Chandler (drawn by C. McCollum),,75-79,,
6:03.0,Turnover by T. Chandler (offensive foul),,75-79,,
5:50.0,,,75-82,3,C. McCollum makes 3-pt shot from 23 ft (assist by D. Lillard)
5:35.0,D. Booker makes 3-pt shot from 25 ft,3,78-82,,
5:22.0,,,78-84,2,C. McCollum makes 2-pt shot from 3 ft (assist by D. Lillard)
5:22.0,,,78-84,,Shooting foul by D. Booker (drawn by C. McCollum)
5:22.0,,,78-85,1,C. McCollum makes free throw 1 of 1
5:11.0,D. Bender makes 3-pt shot from 25 ft (assist by D. Booker),3,81-85,,
4:57.0,,,81-85,,D. Lillard misses 2-pt shot from 12 ft
4:54.0,,,81-85,,Offensive rebound by D. Lillard
4:53.0,,,81-87,2,D. Lillard makes 2-pt shot from 1 ft
4:30.0,D. Booker misses 3-pt shot from 26 ft,,81-87,,
4:29.0,,,81-87,,Defensive rebound by D. Lillard
4:27.0,Personal foul by D. Booker (drawn by J. Nurkic),,81-87,,
4:27.0,,,81-87,,E. Turner enters the game for C. McCollum
4:27.0,,,81-87,,P. Connaughton enters the game for M. Harkless
4:27.0,T. Daniels enters the game for D. Booker,,81-87,,
4:27.0,J. Jackson enters the game for T. Chandler,,81-87,,
4:27.0,A. Len enters the game for T. Warren,,81-87,,
4:21.0,,,81-87,,D. Lillard misses 3-pt shot from 27 ft
4:17.0,Defensive rebound by A. Len,,81-87,,
4:07.0,M. James misses 2-pt shot from 15 ft,,81-87,,
4:04.0,,,81-87,,Defensive rebound by J. Nurkic
3:56.0,,,81-87,,D. Lillard misses 2-pt shot from 9 ft
3:53.0,Defensive rebound by A. Len,,81-87,,
3:45.0,J. Jackson misses 2-pt shot from 12 ft,,81-87,,
3:39.0,Offensive rebound by J. Jackson,,81-87,,
3:39.0,J. Jackson makes 2-pt shot at rim,2,83-87,,
3:22.0,,,83-87,,A. Aminu misses 3-pt shot from 23 ft
3:17.0,Defensive rebound by J. Jackson,,83-87,,
3:10.0,J. Jackson misses 2-pt shot from 1 ft,,83-87,,
3:08.0,,,83-87,,Defensive rebound by A. Aminu
3:02.0,Personal foul by J. Jackson (drawn by E. Turner),,83-87,,
3:02.0,,,83-87,,E. Davis enters the game for J. Nurkic
2:56.0,,,83-87,,D. Lillard misses 3-pt shot from 28 ft
2:53.0,Defensive rebound by A. Len,,83-87,,
2:48.0,,,83-87,,Personal foul by D. Lillard (drawn by M. James)
2:48.0,Phoenix full timeout,,83-87,,
2:48.0,,,83-87,,M. Harkless enters the game for A. Aminu
2:39.0,M. James misses 3-pt shot from 24 ft,,83-87,,
2:36.0,,,83-87,,Defensive rebound by E. Turner
2:32.0,Personal foul by J. Jackson (drawn by E. Turner),,83-87,,
2:32.0,,,83-87,,E. Turner misses free throw 1 of 2
2:32.0,,,83-87,,Offensive rebound by Team
2:32.0,T. Ulis enters the game for M. James,,83-87,,
2:32.0,,,83-88,1,E. Turner makes free throw 2 of 2
2:20.0,Shooting foul by E. Davis (drawn by A. Len),,83-88,,
2:20.0,A. Len makes free throw 1 of 2,1,84-88,,
2:20.0,A. Len makes free throw 2 of 2,1,85-88,,
1:57.0,,,85-88,,E. Davis misses 2-pt shot from 2 ft (block by D. Bender)
1:56.0,,,85-88,,C. McCollum enters the game for D. Lillard
1:55.0,,,85-88,,Offensive rebound by Team
1:55.0,,,85-88,,Turnover by Team (shot clock)
1:40.0,Shooting foul by E. Davis (drawn by A. Len),,85-88,,
1:40.0,A. Len makes free throw 1 of 2,1,86-88,,
1:40.0,A. Len misses free throw 2 of 2,,86-88,,
1:37.0,,,86-88,,Defensive rebound by M. Harkless
1:25.0,,,86-90,2,E. Davis makes 2-pt shot from 6 ft (assist by E. Turner)
1:14.0,J. Jackson misses 2-pt shot at rim,,86-90,,
1:12.0,,,86-90,,Defensive rebound by M. Harkless
1:08.0,Personal foul by D. Bender (drawn by P. Connaughton),,86-90,,
1:08.0,,,86-91,1,P. Connaughton makes free throw 1 of 2
1:08.0,,,86-92,1,P. Connaughton makes free throw 2 of 2
0:59.0,D. Bender misses 3-pt shot from 24 ft,,86-92,,
0:56.0,Offensive rebound by T. Daniels,,86-92,,
0:42.0,J. Jackson makes 3-pt shot from 27 ft (assist by T. Ulis),3,89-92,,
0:34.0,,,89-92,,E. Turner misses 2-pt shot from 10 ft
0:31.0,Defensive rebound by T. Ulis,,89-92,,
0:26.0,Turnover by D. Bender (bad pass; steal by E. Davis),,89-92,,
0:21.0,,,89-92,,Turnover by E. Turner (lost ball; steal by T. Ulis)
0:02.0,D. Bender misses 3-pt shot from 24 ft,,89-92,,
0:02.0,,,89-92,,Defensive rebound by P. Connaughton
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,T. Ulis misses 2-pt shot from 12 ft,,89-92,,
11:37.0,,,89-92,,Defensive rebound by Team
11:23.0,,,89-92,,C. McCollum misses 2-pt shot from 21 ft
11:20.0,Defensive rebound by J. Jackson,,89-92,,
11:15.0,A. Len misses 2-pt shot at rim,,89-92,,
11:13.0,,,89-92,,Defensive rebound by P. Connaughton
11:07.0,,,89-92,,Turnover by E. Turner (bad pass; steal by T. Ulis)
11:02.0,A. Len makes 2-pt shot from 1 ft (assist by T. Ulis),2,91-92,,
10:45.0,Personal foul by T. Daniels (drawn by C. McCollum),,91-92,,
10:33.0,,,91-94,2,E. Turner makes 2-pt shot from 21 ft (assist by E. Davis)
10:24.0,T. Ulis misses 2-pt shot from 16 ft,,91-94,,
10:22.0,,,91-94,,Defensive rebound by E. Davis
10:10.0,,,91-94,,Turnover by E. Turner (lost ball; steal by T. Ulis)
10:06.0,T. Daniels misses 3-pt shot from 25 ft,,91-94,,
10:04.0,Offensive rebound by J. Jackson,,91-94,,
10:04.0,Turnover by T. Daniels (traveling),,91-94,,
9:52.0,,,91-96,2,C. McCollum makes 2-pt shot from 14 ft
9:35.0,J. Jackson misses 2-pt shot from 18 ft,,91-96,,
9:32.0,,,91-96,,Defensive rebound by P. Connaughton
9:23.0,,,91-98,2,E. Turner makes 2-pt shot from 6 ft
9:23.0,Phoenix full timeout,,91-98,,
9:23.0,D. Booker enters the game for T. Daniels,,91-98,,
9:09.0,D. Booker makes 2-pt shot from 14 ft,2,93-98,,
9:09.0,Shooting foul by E. Turner (drawn by D. Booker),,93-98,,
9:09.0,D. Booker makes free throw 1 of 1,1,94-98,,
8:54.0,,,94-100,2,C. McCollum makes 2-pt shot from 18 ft
8:35.0,J. Jackson makes 2-pt shot from 4 ft,2,96-100,,
8:17.0,,,96-100,,C. McCollum misses 2-pt shot from 1 ft
8:14.0,,,96-100,,Offensive rebound by E. Davis
8:14.0,,,96-100,,E. Davis misses 2-pt shot at rim
8:14.0,,,96-100,,Offensive rebound by E. Davis
8:14.0,,,96-100,,E. Davis misses 2-pt shot at rim
8:14.0,Defensive rebound by Team,,96-100,,
8:14.0,,,96-100,,D. Lillard enters the game for C. McCollum
8:04.0,D. Booker makes 2-pt shot from 20 ft (assist by T. Ulis),2,98-100,,
7:36.0,,,98-100,,D. Lillard misses 3-pt shot from 29 ft
7:33.0,Defensive rebound by J. Jackson,,98-100,,
7:22.0,D. Booker misses 2-pt shot at rim,,98-100,,
7:21.0,,,98-100,,Defensive rebound by E. Turner
7:16.0,,,98-102,2,M. Harkless makes 2-pt shot at rim (assist by E. Turner)
7:00.0,J. Jackson misses 3-pt shot from 24 ft,,98-102,,
6:57.0,,,98-102,,Defensive rebound by P. Connaughton
6:51.0,,,98-102,,D. Lillard misses 2-pt shot from 17 ft
6:49.0,Defensive rebound by D. Bender,,98-102,,
