time,Philadelphia,pts.away,score,pts.home,Utah
8:57.0,T. McConnell misses 2-pt shot from 18 ft,,36-25,,
8:55.0,,,36-25,,Defensive rebound by D. Favors
8:49.0,Personal block foul by R. Covington (drawn by R. Rubio),,36-25,,
8:49.0,,,36-25,,R. Gobert enters the game for T. Sefolosha
8:49.0,,,36-25,,J. Ingles enters the game for E. Udoh
8:49.0,B. Simmons enters the game for T. McConnell,,36-25,,
8:49.0,N. Stauskas enters the game for J. Redick,,36-25,,
8:49.0,D. Saric enters the game for R. Covington,,36-25,,
8:42.0,,,36-25,,R. Hood misses 3-pt shot from 24 ft
8:39.0,Defensive rebound by B. Simmons,,36-25,,
8:33.0,Turnover by N. Stauskas (bad pass; steal by R. Gobert),,36-25,,
8:09.0,,,36-25,,J. Ingles misses 3-pt shot from 25 ft
8:05.0,,,36-25,,Offensive rebound by D. Favors
7:59.0,,,36-25,,R. Hood misses 2-pt shot from 7 ft
7:57.0,,,36-25,,Offensive rebound by R. Hood
7:44.0,,,36-27,2,R. Rubio makes 2-pt shot from 9 ft
7:34.0,Shooting foul by D. Favors (drawn by D. Saric),,36-27,,
7:34.0,D. Saric makes free throw 1 of 2,1,37-27,,
7:34.0,,,37-27,,R. Neto enters the game for R. Rubio
7:34.0,,,37-27,,D. Mitchell enters the game for R. Hood
7:34.0,D. Saric makes free throw 2 of 2,1,38-27,,
7:23.0,,,38-27,,Shooting foul by R. Holmes (drawn by R. Gobert)
7:23.0,,,38-28,1,R. Gobert makes free throw 1 of 2
7:23.0,A. Johnson enters the game for R. Holmes,,38-28,,
7:23.0,,,38-28,,R. Gobert misses free throw 2 of 2
7:21.0,Defensive rebound by D. Saric,,38-28,,
7:14.0,D. Saric makes 3-pt shot from 23 ft (assist by T. Luwawu-Cabarrot),3,41-28,,
6:56.0,,,41-30,2,J. Ingles makes 2-pt shot from 6 ft
6:38.0,T. Luwawu-Cabarrot misses 2-pt shot from 2 ft,,41-30,,
6:37.0,,,41-30,,Defensive rebound by J. Ingles
6:36.0,Personal foul by T. Luwawu-Cabarrot (drawn by J. Ingles),,41-30,,
6:36.0,,,41-30,,Utah full timeout
6:25.0,,,41-30,,D. Mitchell misses 3-pt shot from 24 ft
6:21.0,Defensive rebound by A. Johnson,,41-30,,
6:09.0,Turnover by T. Luwawu-Cabarrot (bad pass),,41-30,,
6:09.0,R. Covington enters the game for T. Luwawu-Cabarrot,,41-30,,
5:53.0,,,41-32,2,R. Neto makes 2-pt shot from 10 ft
5:40.0,B. Simmons misses 2-pt shot from 15 ft,,41-32,,
5:38.0,,,41-32,,Defensive rebound by D. Mitchell
5:32.0,,,41-32,,J. Ingles misses 3-pt shot from 23 ft
5:29.0,Defensive rebound by N. Stauskas,,41-32,,
5:21.0,A. Johnson misses 2-pt shot from 20 ft,,41-32,,
5:19.0,,,41-32,,Defensive rebound by J. Ingles
5:10.0,,,41-32,,R. Neto misses 2-pt shot from 11 ft
5:09.0,,,41-32,,Offensive rebound by Team
5:09.0,Loose ball foul by D. Saric (drawn by D. Favors),,41-32,,
5:09.0,T. McConnell enters the game for B. Simmons,,41-32,,
4:53.0,,,41-35,3,D. Favors makes 3-pt shot from 23 ft (assist by D. Mitchell)
4:35.0,T. McConnell misses 2-pt shot from 10 ft (block by D. Favors),,41-35,,
4:31.0,Offensive rebound by A. Johnson,,41-35,,
4:30.0,A. Johnson misses 3-pt shot from 23 ft,,41-35,,
4:28.0,,,41-35,,Defensive rebound by R. Gobert
4:26.0,,,41-37,2,D. Mitchell makes 2-pt shot from 1 ft
4:26.0,Philadelphia full timeout,,41-37,,
4:26.0,J. Redick enters the game for N. Stauskas,,41-37,,
4:09.0,D. Saric misses 2-pt shot from 2 ft (block by R. Gobert),,41-37,,
4:06.0,,,41-37,,Defensive rebound by R. Gobert
3:50.0,,,41-37,,R. Neto misses 2-pt shot from 2 ft
3:46.0,,,41-37,,Offensive rebound by R. Gobert
3:45.0,,,41-37,,R. Gobert misses 2-pt shot from 2 ft
3:45.0,,,41-37,,Offensive rebound by R. Gobert
3:43.0,,,41-37,,R. Gobert misses 2-pt shot from 2 ft
3:43.0,Defensive rebound by D. Saric,,41-37,,
3:43.0,Offensive foul by A. Johnson (drawn by R. Neto),,41-37,,
3:43.0,Turnover by A. Johnson (offensive foul),,41-37,,
3:43.0,B. Simmons enters the game for A. Johnson,,41-37,,
3:32.0,,,41-37,,D. Mitchell misses 3-pt shot from 25 ft
3:30.0,Defensive rebound by B. Simmons,,41-37,,
3:24.0,T. McConnell misses 3-pt shot from 25 ft,,41-37,,
3:20.0,Offensive rebound by D. Saric,,41-37,,
3:18.0,R. Covington misses 3-pt shot from 24 ft,,41-37,,
3:15.0,,,41-37,,Defensive rebound by R. Gobert
3:04.0,,,41-37,,D. Favors misses 2-pt shot from 8 ft (block by R. Covington)
3:04.0,,,41-37,,Offensive rebound by Team
3:04.0,Loose ball foul by D. Saric,,41-37,,
3:04.0,Technical foul by D. Saric,,41-37,,
3:04.0,,,41-37,,D. Mitchell misses technical free throw
3:04.0,,,41-37,,Offensive rebound by Team
3:04.0,,,41-37,,T. Sefolosha enters the game for D. Favors
3:04.0,,,41-38,1,R. Gobert makes free throw 1 of 2
3:04.0,,,41-39,1,R. Gobert makes free throw 2 of 2
2:55.0,D. Saric misses 3-pt shot from 24 ft,,41-39,,
2:52.0,,,41-39,,Defensive rebound by T. Sefolosha
2:36.0,,,41-39,,J. Ingles misses 2-pt shot from 7 ft
2:34.0,Defensive rebound by R. Covington,,41-39,,
2:28.0,D. Saric misses 3-pt shot from 25 ft,,41-39,,
2:27.0,,,41-39,,Defensive rebound by Team
2:06.0,,,41-39,,R. Neto misses 3-pt shot from 23 ft (block by B. Simmons)
2:03.0,Defensive rebound by T. McConnell,,41-39,,
2:01.0,B. Simmons misses 2-pt shot from 8 ft,,41-39,,
1:58.0,,,41-39,,Defensive rebound by J. Ingles
1:53.0,Personal foul by T. McConnell (drawn by R. Neto),,41-39,,
1:53.0,,,41-40,1,R. Neto makes free throw 1 of 2
1:53.0,,,41-41,1,R. Neto makes free throw 2 of 2
1:42.0,T. McConnell makes 2-pt shot from 17 ft,2,43-41,,
1:29.0,,,43-41,,D. Mitchell misses 2-pt shot from 14 ft
1:27.0,Defensive rebound by B. Simmons,,43-41,,
1:22.0,R. Covington makes 3-pt shot from 24 ft (assist by B. Simmons),3,46-41,,
1:05.0,,,46-41,,Turnover by D. Mitchell (traveling)
0:50.0,D. Saric misses 3-pt shot from 25 ft,,46-41,,
0:48.0,,,46-41,,Defensive rebound by D. Mitchell
0:42.0,,,46-41,,J. Ingles misses 3-pt shot from 25 ft
0:39.0,Defensive rebound by T. McConnell,,46-41,,
0:16.0,D. Saric misses 3-pt shot from 25 ft,,46-41,,
0:13.0,,,46-41,,Defensive rebound by J. Ingles
0:03.0,Violation by D. Saric (kicked ball),,46-41,,
0:03.0,,,46-41,,R. Rubio enters the game for R. Neto
0:03.0,J. Anderson enters the game for D. Saric,,46-41,,
0:03.0,T. Luwawu-Cabarrot enters the game for R. Covington,,46-41,,
0:01.0,,,46-44,3,D. Mitchell makes 3-pt shot from 29 ft (assist by R. Rubio)
0:00.0,B. Simmons misses 3-pt shot from 78 ft,,46-44,,
0:00.0,Offensive rebound by Team,,46-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,Turnover by B. Simmons (traveling),,46-44,,
11:39.0,,,46-44,,R. Rubio misses 3-pt shot from 22 ft
11:38.0,,,46-44,,Offensive rebound by Team
11:38.0,Loose ball foul by R. Holmes (drawn by R. Gobert),,46-44,,
11:38.0,A. Johnson enters the game for R. Holmes,,46-44,,
11:31.0,,,46-44,,D. Mitchell misses 2-pt shot from 2 ft
11:29.0,Defensive rebound by R. Covington,,46-44,,
11:22.0,J. Redick makes 3-pt shot from 25 ft (assist by A. Johnson),3,49-44,,
11:09.0,,,49-44,,R. Rubio misses 2-pt shot from 8 ft
11:07.0,Defensive rebound by B. Simmons,,49-44,,
11:07.0,,,49-44,,Personal foul by D. Mitchell (drawn by B. Simmons)
11:02.0,B. Simmons makes 2-pt shot from 13 ft,2,51-44,,
10:41.0,Personal foul by J. Redick (drawn by D. Mitchell),,51-44,,
10:31.0,,,51-47,3,J. Ingles makes 3-pt shot from 23 ft (assist by R. Rubio)
10:10.0,D. Saric makes 3-pt shot from 24 ft (assist by J. Redick),3,54-47,,
9:57.0,,,54-47,,D. Favors misses 2-pt shot from 7 ft
9:55.0,Defensive rebound by R. Covington,,54-47,,
9:49.0,B. Simmons misses 2-pt shot from 12 ft,,54-47,,
9:45.0,,,54-47,,Defensive rebound by R. Rubio
9:37.0,,,54-47,,D. Mitchell misses 3-pt shot from 24 ft
9:35.0,Defensive rebound by Team,,54-47,,
9:19.0,B. Simmons misses 2-pt shot from 7 ft,,54-47,,
9:17.0,,,54-47,,Defensive rebound by R. Gobert
9:13.0,,,54-47,,J. Ingles misses 3-pt shot from 25 ft
9:12.0,,,54-47,,Offensive rebound by Team
9:12.0,Loose ball foul by J. Redick (drawn by D. Favors),,54-47,,
9:12.0,T. McConnell enters the game for D. Saric,,54-47,,
9:04.0,,,54-47,,R. Rubio misses 2-pt shot from 4 ft (block by A. Johnson)
9:04.0,,,54-47,,Offensive rebound by Team
9:01.0,,,54-47,,Turnover by R. Rubio (bad pass; steal by B. Simmons)
8:58.0,B. Simmons makes 2-pt shot from 2 ft,2,56-47,,
8:40.0,,,56-49,2,R. Rubio makes 2-pt shot from 20 ft
8:30.0,J. Redick makes 3-pt shot from 24 ft (assist by T. McConnell),3,59-49,,
8:30.0,,,59-49,,Utah full timeout
8:17.0,,,59-49,,J. Ingles misses 2-pt shot from 19 ft
8:13.0,Defensive rebound by B. Simmons,,59-49,,
8:08.0,J. Redick misses 2-pt shot from 20 ft,,59-49,,
8:06.0,,,59-49,,Defensive rebound by R. Rubio
8:01.0,,,59-49,,Turnover by R. Rubio (bad pass)
7:49.0,J. Redick makes 2-pt shot from 18 ft (assist by T. McConnell),2,61-49,,
7:36.0,,,61-49,,Turnover by R. Gobert (lost ball; steal by A. Johnson)
7:34.0,,,61-49,,Personal foul by R. Gobert (drawn by B. Simmons)
7:29.0,J. Redick makes 3-pt shot from 27 ft (assist by T. McConnell),3,64-49,,
7:12.0,,,64-49,,D. Favors misses 2-pt shot from 18 ft
7:10.0,Defensive rebound by Team,,64-49,,
6:53.0,Turnover by B. Simmons (bad pass; steal by D. Favors),,64-49,,
6:47.0,,,64-49,,J. Ingles misses 3-pt shot from 24 ft
6:40.0,,,64-49,,Offensive rebound by R. Gobert
6:40.0,,,64-51,2,R. Gobert makes 2-pt shot at rim
6:34.0,,,64-51,,Personal foul by R. Rubio (drawn by B. Simmons)
6:34.0,,,64-51,,R. Hood enters the game for R. Rubio
6:34.0,,,64-51,,R. Neto enters the game for D. Mitchell
6:34.0,T. Luwawu-Cabarrot enters the game for J. Redick,,64-51,,
6:27.0,B. Simmons misses 2-pt shot from 15 ft,,64-51,,
6:23.0,Offensive rebound by A. Johnson,,64-51,,
6:20.0,B. Simmons makes 2-pt shot from 2 ft,2,66-51,,
5:56.0,Personal foul by R. Covington (drawn by D. Favors),,66-51,,
5:56.0,D. Saric enters the game for B. Simmons,,66-51,,
5:49.0,,,66-51,,Turnover by R. Neto (bad pass; steal by R. Covington)
5:48.0,Offensive charge foul by R. Covington (drawn by R. Neto),,66-51,,
5:48.0,Turnover by R. Covington (bad pass),,66-51,,
5:48.0,J. Anderson enters the game for R. Covington,,66-51,,
5:35.0,,,66-51,,R. Neto misses 2-pt shot from 14 ft
5:32.0,Defensive rebound by D. Saric,,66-51,,
5:25.0,Shooting foul by R. Gobert (drawn by A. Johnson),,66-51,,
5:25.0,A. Johnson makes free throw 1 of 2,1,67-51,,
5:25.0,,,67-51,,J. Jerebko enters the game for D. Favors
5:25.0,A. Johnson misses free throw 2 of 2,,67-51,,
5:22.0,,,67-51,,Defensive rebound by R. Hood
5:11.0,,,67-53,2,J. Ingles makes 2-pt shot from 22 ft
4:52.0,J. Anderson makes 2-pt shot from 1 ft (assist by D. Saric),2,69-53,,
4:38.0,,,69-53,,R. Hood misses 2-pt shot from 17 ft
4:35.0,,,69-53,,Offensive rebound by J. Jerebko
4:29.0,,,69-53,,J. Jerebko misses 3-pt shot from 24 ft
4:27.0,Defensive rebound by J. Anderson,,69-53,,
4:21.0,A. Johnson misses 2-pt shot from 3 ft,,69-53,,
4:18.0,,,69-53,,Defensive rebound by R. Gobert
4:13.0,,,69-53,,Shooting foul by A. Johnson (drawn by R. Gobert)
4:13.0,,,69-54,1,R. Gobert makes free throw 1 of 2
4:13.0,,,69-54,,A. Burks enters the game for J. Ingles
4:13.0,B. Simmons enters the game for A. Johnson,,69-54,,
4:13.0,,,69-54,,R. Gobert misses free throw 2 of 2
4:10.0,Defensive rebound by B. Simmons,,69-54,,
3:57.0,D. Saric misses 2-pt shot from 2 ft (block by R. Gobert),,69-54,,
3:57.0,Offensive rebound by Team,,69-54,,
3:55.0,D. Saric makes 3-pt shot from 25 ft (assist by B. Simmons),3,72-54,,
3:36.0,,,72-56,2,R. Hood makes 2-pt shot from 6 ft
3:36.0,Philadelphia full timeout,,72-56,,
3:36.0,,,72-56,,R. Rubio enters the game for J. Jerebko
3:36.0,,,72-56,,E. Udoh enters the game for R. Neto
3:36.0,,,72-56,,T. Sefolosha enters the game for R. Gobert
3:26.0,T. Luwawu-Cabarrot misses 3-pt shot from 24 ft,,72-56,,
3:22.0,,,72-56,,Defensive rebound by R. Hood
3:10.0,Personal foul by J. Anderson (drawn by R. Hood),,72-56,,
3:10.0,,,72-57,1,R. Hood makes free throw 1 of 2
3:10.0,J. Redick enters the game for T. Luwawu-Cabarrot,,72-57,,
3:10.0,,,72-58,1,R. Hood makes free throw 2 of 2
2:58.0,,,72-58,,Personal foul by E. Udoh (drawn by J. Redick)
2:58.0,J. Redick makes free throw 1 of 2,1,73-58,,
2:58.0,J. Redick makes free throw 2 of 2,1,74-58,,
2:48.0,,,74-61,3,R. Hood makes 3-pt shot from 25 ft (assist by R. Rubio)
2:24.0,Turnover by T. McConnell (bad pass; steal by T. Sefolosha),,74-61,,
2:22.0,,,74-61,,Turnover by R. Rubio (bad pass; steal by B. Simmons)
2:18.0,B. Simmons makes 2-pt shot from 1 ft,2,76-61,,
2:12.0,Violation by B. Simmons (kicked ball),,76-61,,
2:03.0,,,76-61,,R. Hood misses 2-pt shot from 9 ft
2:01.0,Defensive rebound by J. Redick,,76-61,,
1:57.0,J. Redick misses 3-pt shot from 27 ft,,76-61,,
1:54.0,,,76-61,,Defensive rebound by T. Sefolosha
1:43.0,,,76-63,2,R. Rubio makes 2-pt shot from 10 ft
1:23.0,,,76-63,,Personal foul by R. Hood (drawn by D. Saric)
1:23.0,D. Saric makes free throw 1 of 2,1,77-63,,
1:23.0,D. Saric makes free throw 2 of 2,1,78-63,,
1:14.0,Personal block foul by J. Anderson (drawn by R. Rubio),,78-63,,
1:14.0,,,78-64,1,R. Rubio makes free throw 1 of 2
1:14.0,,,78-65,1,R. Rubio makes free throw 2 of 2
1:03.0,Turnover by B. Simmons (lost ball; steal by E. Udoh),,78-65,,
0:46.0,,,78-65,,Shooting foul by J. Redick (drawn by R. Hood)
0:46.0,,,78-66,1,R. Hood makes free throw 1 of 2
0:46.0,,,78-67,1,R. Hood makes free throw 2 of 2
0:31.0,J. Redick misses 3-pt shot from 25 ft,,78-67,,
0:27.0,,,78-67,,Defensive rebound by A. Burks
0:15.0,Personal foul by J. Anderson (drawn by R. Hood),,78-67,,
0:15.0,,,78-68,1,R. Hood makes free throw 1 of 2
0:15.0,,,78-69,1,R. Hood makes free throw 2 of 2
0:07.0,B. Simmons makes 2-pt shot from 1 ft (assist by T. McConnell),2,80-69,,
0:01.0,,,80-71,2,E. Udoh makes 2-pt shot at rim
0:00.0,,,80-71,,A. Burks misses 2-pt shot from 3 ft
0:00.0,,,80-71,,Offensive rebound by E. Udoh
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,,,80-71,,R. Hood misses 3-pt shot from 25 ft
11:44.0,Defensive rebound by R. Holmes,,80-71,,
11:39.0,R. Covington makes 3-pt shot from 24 ft (assist by T. McConnell),3,83-71,,
11:23.0,,,83-71,,D. Mitchell misses 2-pt shot from 15 ft
11:20.0,Defensive rebound by R. Covington,,83-71,,
11:14.0,T. McConnell misses 2-pt shot from 12 ft,,83-71,,
11:10.0,,,83-71,,Defensive rebound by R. Hood
11:05.0,,,83-71,,A. Burks misses 2-pt shot from 4 ft (block by R. Holmes)
