time,New York,pts.away,score,pts.home,Atlanta
7:54.0,,,15-12,,E. Ilyasova enters the game for D. Dedmon
7:50.0,Turnover by J. Jack (traveling),,15-12,,
7:38.0,,,15-12,,K. Bazemore misses 2-pt shot from 21 ft
7:32.0,Defensive rebound by J. Jack,,15-12,,
7:25.0,C. Lee makes 2-pt shot from 3 ft,2,17-12,,
7:14.0,,,17-12,,Turnover by K. Bazemore (bad pass)
6:59.0,C. Lee makes 3-pt shot from 24 ft (assist by T. Hardaway),3,20-12,,
6:58.0,,,20-12,,Atlanta full timeout
6:38.0,,,20-12,,E. Ilyasova misses 3-pt shot from 22 ft
6:38.0,Defensive rebound by Team,,20-12,,
6:27.0,Offensive foul by K. O'Quinn (drawn by E. Ilyasova),,20-12,,
6:27.0,Turnover by K. O'Quinn (offensive foul),,20-12,,
6:27.0,,,20-12,,M. Belinelli enters the game for K. Bazemore
6:10.0,,,20-12,,E. Ilyasova misses 3-pt shot from 24 ft
6:02.0,,,20-12,,Offensive rebound by T. Waller-Prince
6:02.0,,,20-12,,T. Waller-Prince misses 2-pt shot at rim
6:02.0,,,20-12,,Offensive rebound by T. Waller-Prince
6:00.0,,,20-14,2,T. Waller-Prince makes 2-pt shot at rim
5:53.0,K. Porzingis makes 2-pt shot from 12 ft,2,22-14,,
5:40.0,,,22-14,,M. Belinelli misses 2-pt shot from 15 ft
5:36.0,,,22-14,,Offensive rebound by M. Belinelli
5:36.0,,,22-14,,M. Belinelli misses 2-pt shot at rim
5:35.0,Defensive rebound by K. O'Quinn,,22-14,,
5:32.0,T. Hardaway makes 2-pt shot from 13 ft (assist by J. Jack),2,24-14,,
5:20.0,,,24-14,,Turnover by D. Schroder (out of bounds lost ball)
5:20.0,W. Hernangomez enters the game for K. O'Quinn,,24-14,,
5:07.0,K. Porzingis misses 2-pt shot from 17 ft,,24-14,,
5:02.0,Offensive rebound by W. Hernangomez,,24-14,,
5:01.0,W. Hernangomez misses 2-pt shot from 2 ft,,24-14,,
5:01.0,Offensive rebound by W. Hernangomez,,24-14,,
4:57.0,W. Hernangomez makes 2-pt shot at rim,2,26-14,,
4:44.0,,,26-14,,Shooting foul by K. Porzingis (drawn by T. Waller-Prince)
4:44.0,,,26-15,1,T. Waller-Prince makes free throw 1 of 2
4:44.0,,,26-15,,D. Dedmon enters the game for J. Collins
4:44.0,D. McDermott enters the game for T. Hardaway,,26-15,,
4:44.0,,,26-16,1,T. Waller-Prince makes free throw 2 of 2
4:31.0,C. Lee makes 2-pt shot from 10 ft (assist by J. Jack),2,28-16,,
4:13.0,,,28-18,2,D. Schroder makes 2-pt shot from 1 ft
4:04.0,K. Porzingis misses 3-pt shot from 25 ft,,28-18,,
4:03.0,,,28-18,,Defensive rebound by Team
4:03.0,Loose ball foul by W. Hernangomez (drawn by D. Dedmon),,28-18,,
4:03.0,,,28-18,,J. Magette enters the game for T. Waller-Prince
4:03.0,,,28-18,,D. Bembry enters the game for D. Schroder
4:03.0,F. Ntilikina enters the game for J. Jack,,28-18,,
3:59.0,,,28-18,,Turnover by J. Magette (out of bounds lost ball)
3:48.0,D. McDermott misses 2-pt shot from 1 ft,,28-18,,
3:45.0,,,28-18,,Defensive rebound by D. Dedmon
3:38.0,,,28-20,2,D. Dedmon makes 2-pt shot from 11 ft (assist by M. Belinelli)
3:29.0,Turnover by K. Porzingis (bad pass),,28-20,,
3:18.0,,,28-20,,M. Belinelli misses 2-pt shot from 21 ft
3:15.0,Defensive rebound by W. Hernangomez,,28-20,,
3:02.0,,,28-20,,Violation by D. Bembry (kicked ball)
3:02.0,New York full timeout,,28-20,,
2:48.0,F. Ntilikina makes 3-pt shot from 24 ft (assist by C. Lee),3,31-20,,
2:29.0,,,31-20,,D. Dedmon misses 3-pt shot from 23 ft
2:26.0,Defensive rebound by F. Ntilikina,,31-20,,
2:17.0,C. Lee makes 2-pt shot from 20 ft (assist by F. Ntilikina),2,33-20,,
2:00.0,,,33-20,,M. Belinelli misses 2-pt shot from 21 ft
1:56.0,Defensive rebound by D. McDermott,,33-20,,
1:38.0,C. Lee makes 2-pt shot from 20 ft,2,35-20,,
1:24.0,,,35-20,,M. Belinelli misses 3-pt shot from 25 ft
1:21.0,Defensive rebound by K. Porzingis,,35-20,,
1:18.0,,,35-20,,Personal foul by D. Dedmon (drawn by W. Hernangomez)
1:18.0,,,35-20,,J. Collins enters the game for D. Dedmon
1:18.0,L. Thomas enters the game for K. Porzingis,,35-20,,
1:10.0,W. Hernangomez makes 2-pt shot from 3 ft (assist by C. Lee),2,37-20,,
1:03.0,,,37-20,,D. Bembry misses 2-pt shot from 1 ft (block by F. Ntilikina)
1:00.0,,,37-20,,Offensive rebound by J. Collins
1:00.0,,,37-22,2,M. Belinelli makes 2-pt shot from 6 ft (assist by J. Collins)
0:46.0,Turnover by D. McDermott (traveling),,37-22,,
0:34.0,,,37-24,2,J. Collins makes 2-pt shot from 2 ft (assist by J. Magette)
0:16.0,W. Hernangomez makes 2-pt shot from 3 ft (assist by F. Ntilikina),2,39-24,,
0:02.0,Personal take foul by F. Ntilikina (drawn by J. Magette),,39-24,,
0:00.0,,,39-24,,E. Ilyasova misses 2-pt shot from 16 ft
0:00.0,,,39-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,39-24,,M. Belinelli misses 3-pt shot from 24 ft
11:47.0,,,39-24,,Offensive rebound by Team
11:47.0,Loose ball foul by W. Hernangomez (drawn by J. Collins),,39-24,,
11:34.0,,,39-27,3,M. Belinelli makes 3-pt shot from 22 ft (assist by J. Magette)
11:22.0,Offensive foul by T. Hardaway (drawn by J. Collins),,39-27,,
11:22.0,Turnover by T. Hardaway (offensive foul),,39-27,,
11:16.0,Personal foul by T. Hardaway (drawn by M. Belinelli),,39-27,,
11:01.0,,,39-29,2,K. Bazemore makes 2-pt shot from 15 ft (assist by M. Belinelli)
10:43.0,D. McDermott misses 2-pt shot from 20 ft,,39-29,,
10:40.0,,,39-29,,Defensive rebound by J. Collins
10:27.0,,,39-31,2,J. Collins makes 2-pt shot from 1 ft (assist by M. Belinelli)
10:27.0,,,39-31,,Shooting foul by W. Hernangomez (drawn by J. Collins)
10:27.0,K. O'Quinn enters the game for W. Hernangomez,,39-31,,
10:27.0,,,39-32,1,J. Collins makes free throw 1 of 1
10:09.0,Shooting foul by D. Bembry (drawn by T. Hardaway),,39-32,,
10:09.0,T. Hardaway makes free throw 1 of 2,1,40-32,,
10:09.0,T. Hardaway makes free throw 2 of 2,1,41-32,,
9:55.0,,,41-34,2,J. Magette makes 2-pt shot from 20 ft
9:37.0,T. Hardaway misses 3-pt shot from 25 ft,,41-34,,
9:34.0,,,41-34,,Defensive rebound by K. Bazemore
9:29.0,,,41-34,,K. Bazemore misses 3-pt shot from 22 ft
9:26.0,Defensive rebound by F. Ntilikina,,41-34,,
9:17.0,L. Thomas misses 3-pt shot from 25 ft,,41-34,,
9:16.0,,,41-34,,Defensive rebound by Team
9:16.0,,,41-34,,D. Schroder enters the game for J. Magette
8:54.0,,,41-36,2,J. Collins makes 2-pt shot at rim (assist by D. Schroder)
8:35.0,D. McDermott makes 2-pt shot from 13 ft (assist by T. Hardaway),2,43-36,,
8:21.0,Personal foul by F. Ntilikina (drawn by D. Schroder),,43-36,,
8:21.0,,,43-36,,T. Waller-Prince enters the game for M. Belinelli
8:12.0,,,43-36,,Turnover by D. Schroder (bad pass; steal by K. O'Quinn)
8:09.0,T. Hardaway makes 2-pt shot from 1 ft,2,45-36,,
8:09.0,Shooting foul by D. Bembry (drawn by T. Hardaway),,45-36,,
8:09.0,,,45-36,,Atlanta full timeout
8:09.0,T. Hardaway makes free throw 1 of 1,1,46-36,,
7:59.0,,,46-38,2,K. Bazemore makes 2-pt shot from 14 ft
7:40.0,,,46-38,,E. Ilyasova enters the game for D. Bembry
7:40.0,K. Porzingis enters the game for L. Thomas,,46-38,,
7:38.0,Turnover by F. Ntilikina (bad pass; steal by D. Schroder),,46-38,,
7:32.0,Personal foul by F. Ntilikina (drawn by D. Schroder),,46-38,,
7:32.0,,,46-38,,D. Schroder misses free throw 1 of 2
7:32.0,,,46-38,,Offensive rebound by Team
7:32.0,J. Jack enters the game for F. Ntilikina,,46-38,,
7:32.0,,,46-39,1,D. Schroder makes free throw 2 of 2
7:17.0,K. Porzingis makes 2-pt shot from 10 ft (assist by K. O'Quinn),2,48-39,,
7:17.0,Shooting foul by J. Collins (drawn by K. Porzingis),,48-39,,
7:17.0,K. Porzingis makes free throw 1 of 1,1,49-39,,
7:02.0,,,49-39,,K. Bazemore misses 3-pt shot from 26 ft
6:59.0,Defensive rebound by K. Porzingis,,49-39,,
6:51.0,Turnover by K. Porzingis (traveling),,49-39,,
6:39.0,,,49-39,,E. Ilyasova misses 3-pt shot from 24 ft
6:34.0,Defensive rebound by K. O'Quinn,,49-39,,
6:26.0,T. Hardaway misses 2-pt shot from 15 ft,,49-39,,
6:23.0,,,49-39,,Defensive rebound by E. Ilyasova
6:18.0,,,49-39,,T. Waller-Prince misses 2-pt shot from 2 ft
6:14.0,Defensive rebound by K. O'Quinn,,49-39,,
6:03.0,D. McDermott misses 2-pt shot from 1 ft,,49-39,,
6:00.0,,,49-39,,Defensive rebound by E. Ilyasova
5:54.0,,,49-39,,D. Schroder misses 2-pt shot from 1 ft
5:51.0,Defensive rebound by K. Porzingis,,49-39,,
5:47.0,K. O'Quinn misses 2-pt shot from 2 ft,,49-39,,
5:47.0,Offensive rebound by T. Hardaway,,49-39,,
5:42.0,D. McDermott makes 3-pt shot from 23 ft (assist by T. Hardaway),3,52-39,,
5:22.0,,,52-41,2,K. Bazemore makes 2-pt shot from 14 ft
5:02.0,D. McDermott misses 3-pt shot from 26 ft,,52-41,,
5:01.0,,,52-41,,Defensive rebound by Team
5:01.0,,,52-41,,T. Cavanaugh enters the game for J. Collins
5:01.0,,,52-41,,M. Belinelli enters the game for K. Bazemore
5:01.0,C. Lee enters the game for D. McDermott,,52-41,,
4:53.0,,,52-43,2,D. Schroder makes 2-pt shot from 16 ft
4:30.0,Shooting foul by T. Cavanaugh (drawn by K. Porzingis),,52-43,,
4:30.0,K. Porzingis misses free throw 1 of 2,,52-43,,
4:30.0,Offensive rebound by Team,,52-43,,
4:30.0,K. Porzingis makes free throw 2 of 2,1,53-43,,
4:21.0,,,53-46,3,E. Ilyasova makes 3-pt shot from 23 ft (assist by M. Belinelli)
4:01.0,K. O'Quinn makes 2-pt shot from 2 ft (assist by J. Jack),2,55-46,,
3:52.0,,,55-46,,T. Cavanaugh misses 3-pt shot from 24 ft
3:50.0,Defensive rebound by Team,,55-46,,
3:37.0,Offensive charge foul by K. Porzingis (drawn by T. Cavanaugh),,55-46,,
3:37.0,Turnover by K. Porzingis (offensive foul),,55-46,,
3:25.0,,,55-46,,T. Cavanaugh misses 3-pt shot from 24 ft
3:21.0,Defensive rebound by C. Lee,,55-46,,
3:13.0,C. Lee makes 2-pt shot from 1 ft (assist by K. O'Quinn),2,57-46,,
3:02.0,,,57-49,3,T. Cavanaugh makes 3-pt shot from 23 ft (assist by D. Schroder)
2:55.0,New York full timeout,,57-49,,
2:50.0,Turnover by K. O'Quinn (bad pass),,57-49,,
2:31.0,,,57-51,2,E. Ilyasova makes 2-pt shot at rim (assist by T. Cavanaugh)
2:13.0,K. Porzingis makes 2-pt shot from 15 ft (assist by T. Hardaway),2,59-51,,
2:13.0,Shooting foul by T. Waller-Prince (drawn by K. Porzingis),,59-51,,
2:13.0,,,59-51,,Atlanta full timeout
2:13.0,K. Porzingis makes free throw 1 of 1,1,60-51,,
2:00.0,,,60-51,,Turnover by E. Ilyasova (offensive goaltending)
1:43.0,T. Hardaway makes 3-pt shot from 23 ft (assist by J. Jack),3,63-51,,
1:25.0,,,63-53,2,E. Ilyasova makes 2-pt shot from 17 ft (assist by D. Schroder)
1:17.0,K. Porzingis misses 3-pt shot from 24 ft,,63-53,,
1:12.0,,,63-53,,Defensive rebound by D. Schroder
1:06.0,,,63-55,2,D. Schroder makes 2-pt shot from 12 ft
0:52.0,C. Lee makes 2-pt shot from 1 ft (assist by J. Jack),2,65-55,,
0:43.0,,,65-57,2,D. Schroder makes 2-pt shot from 14 ft
0:32.0,C. Lee makes 2-pt shot from 1 ft (assist by J. Jack),2,67-57,,
0:27.0,,,67-57,,D. Schroder misses 2-pt shot from 15 ft
0:24.0,,,67-57,,Offensive rebound by M. Belinelli
0:24.0,,,67-59,2,M. Belinelli makes 2-pt shot at rim
0:00.0,C. Lee misses 2-pt shot from 22 ft,,67-59,,
0:00.0,Offensive rebound by Team,,67-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,67-59,,T. Waller-Prince misses 2-pt shot from 20 ft
11:42.0,Defensive rebound by K. O'Quinn,,67-59,,
11:28.0,J. Jack misses 3-pt shot from 24 ft,,67-59,,
11:25.0,,,67-59,,Defensive rebound by T. Waller-Prince
11:20.0,,,67-61,2,J. Collins makes 2-pt shot from 16 ft (assist by T. Waller-Prince)
11:02.0,C. Lee misses 2-pt shot from 1 ft,,67-61,,
11:02.0,,,67-61,,Defensive rebound by T. Waller-Prince
10:56.0,,,67-64,3,K. Bazemore makes 3-pt shot from 25 ft (assist by J. Collins)
10:55.0,New York full timeout,,67-64,,
10:41.0,C. Lee makes 2-pt shot from 13 ft (assist by J. Jack),2,69-64,,
10:23.0,,,69-64,,K. Bazemore misses 2-pt shot from 4 ft (block by T. Hardaway)
10:19.0,Defensive rebound by J. Jack,,69-64,,
10:18.0,T. Hardaway misses 3-pt shot from 25 ft,,69-64,,
10:18.0,,,69-64,,Defensive rebound by J. Collins
10:08.0,,,69-64,,T. Waller-Prince misses 3-pt shot from 24 ft
10:08.0,Defensive rebound by K. O'Quinn,,69-64,,
9:56.0,K. Porzingis makes 3-pt shot from 25 ft (assist by J. Jack),3,72-64,,
9:41.0,Violation by K. O'Quinn (kicked ball),,72-64,,
9:35.0,,,72-64,,K. Bazemore misses 2-pt shot from 3 ft (block by C. Lee)
9:35.0,,,72-64,,Offensive rebound by Team
9:33.0,,,72-66,2,D. Dedmon makes 2-pt shot at rim (assist by K. Bazemore)
9:11.0,T. Hardaway misses 3-pt shot from 25 ft (block by D. Dedmon),,72-66,,
9:07.0,,,72-66,,Defensive rebound by K. Bazemore
9:05.0,,,72-69,3,D. Schroder makes 3-pt shot from 25 ft (assist by K. Bazemore)
8:48.0,K. Porzingis misses 3-pt shot from 25 ft,,72-69,,
8:44.0,,,72-69,,Defensive rebound by K. Bazemore
8:32.0,,,72-71,2,D. Dedmon makes 2-pt shot from 9 ft (assist by D. Schroder)
8:32.0,,,72-71,,Shooting foul by K. O'Quinn (drawn by D. Dedmon)
8:32.0,,,72-72,1,D. Dedmon makes free throw 1 of 1
8:15.0,Turnover by T. Hardaway (lost ball; steal by K. Bazemore),,72-72,,
8:05.0,,,72-72,,J. Collins misses 2-pt shot from 4 ft (block by K. Porzingis)
8:01.0,Defensive rebound by J. Jack,,72-72,,
8:01.0,,,72-72,,Personal foul by D. Schroder (drawn by J. Jack)
7:50.0,C. Lee makes 3-pt shot from 23 ft (assist by J. Jack),3,75-72,,
7:31.0,,,75-72,,D. Schroder misses 2-pt shot from 20 ft
7:28.0,,,75-72,,Offensive rebound by J. Collins
7:24.0,,,75-74,2,D. Dedmon makes 2-pt shot from 1 ft (assist by J. Collins)
6:57.0,K. Porzingis makes 3-pt shot from 25 ft (assist by J. Jack),3,78-74,,
6:42.0,,,78-76,2,J. Collins makes 2-pt shot from 1 ft (assist by K. Bazemore)
6:26.0,J. Jack misses 3-pt shot from 24 ft,,78-76,,
6:23.0,,,78-76,,Defensive rebound by T. Waller-Prince
6:19.0,,,78-76,,T. Waller-Prince misses 2-pt shot from 2 ft
6:19.0,,,78-76,,Offensive rebound by D. Dedmon
6:19.0,,,78-76,,Shooting foul by K. O'Quinn (drawn by D. Dedmon)
6:19.0,,,78-77,1,D. Dedmon makes free throw 1 of 2
6:19.0,,,78-78,1,D. Dedmon makes free throw 2 of 2
6:05.0,K. O'Quinn misses 2-pt shot from 1 ft,,78-78,,
6:05.0,Offensive rebound by Team,,78-78,,
6:05.0,Turnover by K. O'Quinn (offensive goaltending),,78-78,,
6:05.0,,,78-78,,E. Ilyasova enters the game for J. Collins
6:05.0,W. Hernangomez enters the game for K. O'Quinn,,78-78,,
5:53.0,,,78-78,,Shooting foul by W. Hernangomez (drawn by D. Schroder)
5:53.0,,,78-79,1,D. Schroder makes free throw 1 of 2
5:53.0,,,78-80,1,D. Schroder makes free throw 2 of 2
5:40.0,Shooting foul by D. Dedmon (drawn by K. Porzingis),,78-80,,
5:40.0,K. Porzingis makes free throw 1 of 2,1,79-80,,
5:40.0,D. McDermott enters the game for T. Hardaway,,79-80,,
5:40.0,K. Porzingis misses free throw 2 of 2,,79-80,,
5:37.0,,,79-80,,Defensive rebound by D. Dedmon
5:30.0,,,79-82,2,D. Schroder makes 2-pt shot from 1 ft
5:11.0,J. Jack makes 2-pt shot from 1 ft (assist by W. Hernangomez),2,81-82,,
4:56.0,,,81-82,,E. Ilyasova misses 3-pt shot from 25 ft
4:52.0,,,81-82,,Offensive rebound by T. Waller-Prince
4:48.0,,,81-82,,T. Waller-Prince misses 2-pt shot from 10 ft
4:44.0,Defensive rebound by W. Hernangomez,,81-82,,
4:39.0,J. Jack makes 3-pt shot from 24 ft,3,84-82,,
4:21.0,,,84-85,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by D. Schroder)
4:15.0,Turnover by W. Hernangomez (bad pass; steal by K. Bazemore),,84-85,,
4:11.0,,,84-85,,K. Bazemore misses 2-pt shot from 1 ft (block by W. Hernangomez)
4:08.0,,,84-85,,Offensive rebound by K. Bazemore
4:07.0,,,84-87,2,K. Bazemore makes 2-pt shot from 2 ft
3:52.0,D. McDermott misses 3-pt shot from 24 ft,,84-87,,
3:49.0,,,84-87,,Defensive rebound by E. Ilyasova
3:43.0,,,84-89,2,D. Schroder makes 2-pt shot from 17 ft
3:25.0,K. Porzingis misses 2-pt shot from 14 ft,,84-89,,
3:21.0,,,84-89,,Defensive rebound by E. Ilyasova
3:09.0,,,84-89,,T. Waller-Prince misses 2-pt shot from 2 ft
3:07.0,Defensive rebound by W. Hernangomez,,84-89,,
3:04.0,D. McDermott misses 3-pt shot from 24 ft,,84-89,,
3:04.0,Offensive rebound by W. Hernangomez,,84-89,,
2:57.0,D. McDermott misses 2-pt shot from 1 ft (block by T. Waller-Prince),,84-89,,
2:57.0,Offensive rebound by D. McDermott,,84-89,,
2:52.0,C. Lee misses 3-pt shot from 22 ft,,84-89,,
2:52.0,,,84-89,,Defensive rebound by E. Ilyasova
2:41.0,,,84-89,,Atlanta full timeout
2:41.0,,,84-89,,M. Belinelli enters the game for T. Waller-Prince
2:41.0,,,84-89,,D. Bembry enters the game for D. Dedmon
2:41.0,,,84-89,,J. Collins enters the game for K. Bazemore
2:41.0,L. Thomas enters the game for K. Porzingis,,84-89,,
2:41.0,F. Ntilikina enters the game for J. Jack,,84-89,,
2:29.0,,,84-89,,J. Collins misses 2-pt shot from 1 ft
2:26.0,Defensive rebound by L. Thomas,,84-89,,
2:14.0,Turnover by F. Ntilikina (bad pass; steal by D. Bembry),,84-89,,
2:10.0,,,84-89,,D. Bembry misses 2-pt shot from 1 ft (block by F. Ntilikina)
2:06.0,Defensive rebound by F. Ntilikina,,84-89,,
1:53.0,F. Ntilikina makes 2-pt shot from 18 ft,2,86-89,,
1:43.0,Personal foul by L. Thomas (drawn by E. Ilyasova),,86-89,,
1:43.0,,,86-89,,J. Magette enters the game for D. Schroder
1:35.0,,,86-89,,J. Collins misses 2-pt shot from 4 ft (block by D. McDermott)
1:32.0,,,86-89,,Offensive rebound by J. Collins
1:31.0,,,86-89,,J. Collins misses 2-pt shot from 2 ft
1:31.0,Defensive rebound by L. Thomas,,86-89,,
1:18.0,L. Thomas misses 2-pt shot from 20 ft,,86-89,,
1:14.0,,,86-89,,Defensive rebound by D. Bembry
1:05.0,,,86-89,,Turnover by J. Collins (step out of bounds)
0:44.0,,,86-89,,Personal foul by J. Collins (drawn by W. Hernangomez)
0:33.0,F. Ntilikina misses 2-pt shot from 11 ft,,86-89,,
0:31.0,Offensive rebound by Team,,86-89,,
0:31.0,,,86-89,,T. Cavanaugh enters the game for J. Collins
0:24.0,Turnover by D. McDermott (out of bounds lost ball),,86-89,,
0:24.0,,,86-89,,K. Bazemore enters the game for D. Bembry
0:05.0,,,86-89,,J. Magette misses 2-pt shot from 1 ft
0:01.0,Defensive rebound by F. Ntilikina,,86-89,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,Turnover by F. Ntilikina (lost ball; steal by M. Belinelli),,86-89,,
11:30.0,,,86-91,2,D. Bembry makes 2-pt shot from 1 ft
11:03.0,Turnover by W. Hernangomez (bad pass; steal by E. Ilyasova),,86-91,,
10:54.0,,,86-91,,D. Bembry misses 3-pt shot from 23 ft
10:49.0,Defensive rebound by D. McDermott,,86-91,,
10:39.0,T. Hardaway makes 3-pt shot from 25 ft (assist by F. Ntilikina),3,89-91,,
10:21.0,,,89-91,,D. Bembry misses 3-pt shot from 23 ft
10:17.0,,,89-91,,Offensive rebound by T. Cavanaugh
10:13.0,,,89-93,2,T. Cavanaugh makes 2-pt shot at rim
9:59.0,Turnover by L. Thomas (traveling),,89-93,,
9:43.0,,,89-95,2,M. Belinelli makes 2-pt shot from 20 ft
9:21.0,F. Ntilikina misses 2-pt shot from 20 ft,,89-95,,
9:19.0,,,89-95,,Defensive rebound by E. Ilyasova
9:12.0,,,89-95,,D. Bembry misses 2-pt shot from 1 ft
9:09.0,Defensive rebound by W. Hernangomez,,89-95,,
8:50.0,T. Hardaway misses 3-pt shot from 26 ft,,89-95,,
8:45.0,,,89-95,,Defensive rebound by D. Bembry
8:32.0,,,89-98,3,T. Cavanaugh makes 3-pt shot from 22 ft (assist by J. Magette)
8:30.0,New York full timeout,,89-98,,
8:30.0,,,89-98,,K. Bazemore enters the game for M. Belinelli
8:30.0,,,89-98,,D. Dedmon enters the game for E. Ilyasova
8:30.0,C. Lee enters the game for D. McDermott,,89-98,,
8:30.0,K. Porzingis enters the game for L. Thomas,,89-98,,
8:09.0,K. Porzingis misses 2-pt shot from 21 ft,,89-98,,
8:06.0,,,89-98,,Defensive rebound by K. Bazemore
7:59.0,Personal foul by T. Hardaway (drawn by D. Dedmon),,89-98,,
7:59.0,J. Jack enters the game for F. Ntilikina,,89-98,,
7:50.0,,,89-98,,K. Bazemore misses 2-pt shot from 14 ft
7:50.0,Defensive rebound by Team,,89-98,,
7:37.0,T. Hardaway makes 2-pt shot from 21 ft (assist by K. Porzingis),2,91-98,,
7:18.0,,,91-98,,T. Cavanaugh misses 3-pt shot from 25 ft
7:15.0,Defensive rebound by J. Jack,,91-98,,
7:11.0,T. Hardaway misses 3-pt shot from 26 ft,,91-98,,
7:10.0,Offensive rebound by Team,,91-98,,
7:10.0,,,91-98,,Loose ball foul by D. Dedmon (drawn by K. Porzingis)
7:10.0,,,91-98,,D. Schroder enters the game for J. Magette
6:51.0,J. Jack misses 2-pt shot from 19 ft,,91-98,,
6:48.0,,,91-98,,Defensive rebound by D. Bembry
6:45.0,,,91-98,,D. Bembry misses 2-pt shot from 1 ft
6:41.0,Defensive rebound by C. Lee,,91-98,,
6:36.0,Turnover by J. Jack (traveling),,91-98,,
6:27.0,,,91-98,,M. Belinelli enters the game for D. Bembry
6:27.0,D. McDermott enters the game for W. Hernangomez,,91-98,,
6:17.0,,,91-98,,Turnover by D. Dedmon (out of bounds lost ball)
6:07.0,T. Hardaway misses 2-pt shot from 20 ft,,91-98,,
6:03.0,,,91-98,,Defensive rebound by K. Bazemore
5:54.0,,,91-98,,K. Bazemore misses 2-pt shot from 5 ft
5:49.0,Defensive rebound by T. Hardaway,,91-98,,
5:46.0,C. Lee makes 2-pt shot from 1 ft (assist by J. Jack),2,93-98,,
5:31.0,Personal foul by D. McDermott (drawn by D. Schroder),,93-98,,
5:31.0,,,93-98,,T. Waller-Prince enters the game for T. Cavanaugh
5:27.0,,,93-100,2,D. Schroder makes 2-pt shot from 18 ft (assist by M. Belinelli)
5:13.0,Shooting foul by M. Belinelli (drawn by K. Porzingis),,93-100,,
5:13.0,K. Porzingis makes free throw 1 of 2,1,94-100,,
5:13.0,K. Porzingis makes free throw 2 of 2,1,95-100,,
5:01.0,,,95-102,2,D. Dedmon makes 2-pt shot from 2 ft (assist by K. Bazemore)
5:01.0,Technical foul by K. Porzingis,,95-102,,
5:01.0,,,95-102,,D. Schroder misses technical free throw
5:01.0,,,95-102,,Offensive rebound by Team
5:01.0,,,95-102,,Shooting foul by K. Porzingis
5:01.0,,,95-102,,D. Dedmon misses free throw 1 of 1
5:01.0,Defensive rebound by T. Hardaway,,95-102,,
4:39.0,,,95-102,,Personal foul by K. Bazemore (drawn by K. Porzingis)
4:30.0,K. Porzingis makes 2-pt shot from 13 ft (assist by J. Jack),2,97-102,,
4:10.0,,,97-102,,D. Schroder misses 2-pt shot from 1 ft (block by K. Porzingis)
