time,Oklahoma City,pts.away,score,pts.home,Miami
4:20.0,P. George makes free throw 2 of 2,1,103-91,,
3:54.0,,,103-91,,D. Wade misses 2-pt shot from 7 ft
3:50.0,Defensive rebound by R. Westbrook,,103-91,,
3:47.0,R. Westbrook makes 2-pt shot from 1 ft,2,105-91,,
3:28.0,,,105-91,,J. Richardson misses 2-pt shot from 9 ft
3:28.0,,,105-91,,Offensive rebound by Team
3:28.0,Loose ball foul by S. Adams (drawn by H. Whiteside),,105-91,,
3:28.0,,,105-91,,T. Johnson enters the game for G. Dragic
3:28.0,,,105-91,,J. Johnson enters the game for H. Whiteside
3:26.0,,,105-91,,Turnover by D. Wade (bad pass; steal by C. Brewer)
3:23.0,C. Brewer misses 2-pt shot at rim,,105-91,,
3:20.0,,,105-91,,Defensive rebound by J. Winslow
3:14.0,,,105-93,2,D. Wade makes 2-pt shot at rim (assist by T. Johnson)
2:56.0,C. Anthony misses 3-pt shot from 25 ft,,105-93,,
2:54.0,,,105-93,,Defensive rebound by T. Johnson
2:44.0,,,105-93,,T. Johnson misses 2-pt shot from 22 ft
2:41.0,Defensive rebound by C. Anthony,,105-93,,
2:35.0,S. Adams makes 2-pt shot from 2 ft (assist by R. Westbrook),2,107-93,,
2:35.0,,,107-93,,Miami full timeout
2:35.0,J. Grant enters the game for S. Adams,,107-93,,
2:22.0,,,107-93,,J. Winslow misses 2-pt shot from 2 ft
2:20.0,Defensive rebound by J. Grant,,107-93,,
2:10.0,Shooting foul by J. Johnson (drawn by J. Grant),,107-93,,
2:10.0,,,107-93,,H. Whiteside enters the game for J. Johnson
2:10.0,J. Grant makes free throw 1 of 2,1,108-93,,
2:10.0,J. Grant makes free throw 2 of 2,1,109-93,,
1:56.0,,,109-93,,J. Richardson misses 3-pt shot from 25 ft
1:54.0,Defensive rebound by R. Westbrook,,109-93,,
1:44.0,J. Grant makes 2-pt shot from 1 ft (assist by R. Westbrook),2,111-93,,
1:39.0,,,111-93,,Turnover by D. Wade (bad pass; steal by C. Brewer)
1:27.0,P. George misses 3-pt shot from 24 ft,,111-93,,
1:24.0,Offensive rebound by C. Brewer,,111-93,,
1:24.0,,,111-93,,Personal foul by D. Wade (drawn by C. Brewer)
1:24.0,C. Brewer makes free throw 1 of 2,1,112-93,,
1:24.0,,,112-93,,R. McGruder enters the game for D. Wade
1:24.0,R. Felton enters the game for R. Westbrook,,112-93,,
1:24.0,T. Ferguson enters the game for C. Anthony,,112-93,,
1:24.0,J. Huestis enters the game for P. George,,112-93,,
1:24.0,C. Brewer makes free throw 2 of 2,1,113-93,,
1:04.0,,,113-93,,R. McGruder misses 3-pt shot from 22 ft
1:03.0,Defensive rebound by J. Grant,,113-93,,
0:44.0,J. Grant makes 2-pt shot from 1 ft,2,115-93,,
0:41.0,Personal take foul by C. Brewer (drawn by J. Richardson),,115-93,,
0:41.0,,,115-93,,D. Jones enters the game for J. Richardson
0:41.0,,,115-93,,B. Adebayo enters the game for H. Whiteside
0:41.0,N. Collison enters the game for C. Brewer,,115-93,,
0:41.0,D. Johnson enters the game for J. Grant,,115-93,,
0:26.0,,,115-93,,D. Jones misses 2-pt shot from 12 ft
0:23.0,Defensive rebound by T. Ferguson,,115-93,,
0:01.0,Turnover by Team (shot clock),,115-93,,
