time,Philadelphia,pts.away,score,pts.home,Charlotte
3:20.0,Turnover by M. Belinelli (step out of bounds),,20-23,,
3:20.0,E. Ilyasova enters the game for D. Saric,,20-23,,
3:20.0,J. Redick enters the game for B. Simmons,,20-23,,
2:55.0,,,20-23,,D. Howard misses 2-pt shot from 7 ft
2:53.0,Defensive rebound by M. Belinelli,,20-23,,
2:48.0,T. McConnell makes 2-pt shot from 9 ft,2,22-23,,
2:29.0,,,22-23,,Turnover by N. Batum (bad pass; steal by T. McConnell)
2:23.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by T. McConnell),2,24-23,,
2:17.0,,,24-23,,Charlotte full timeout
2:17.0,,,24-23,,C. Zeller enters the game for D. Howard
2:17.0,,,24-23,,J. Lamb enters the game for M. Kidd-Gilchrist
2:17.0,,,24-23,,M. Monk enters the game for K. Walker
2:17.0,J. Embiid enters the game for A. Johnson,,24-23,,
2:06.0,,,24-25,2,M. Monk makes 2-pt shot from 1 ft
1:50.0,Turnover by J. Embiid (bad pass; steal by J. Lamb),,24-25,,
1:42.0,,,24-27,2,F. Kaminsky makes 2-pt shot from 2 ft (assist by M. Monk)
1:25.0,J. Redick makes 3-pt shot from 26 ft,3,27-27,,
1:12.0,,,27-27,,M. Monk misses 3-pt shot from 25 ft
1:09.0,Defensive rebound by J. Embiid,,27-27,,
0:53.0,M. Belinelli misses 2-pt shot from 2 ft,,27-27,,
0:49.0,,,27-27,,Defensive rebound by F. Kaminsky
0:43.0,,,27-29,2,C. Zeller makes 2-pt shot at rim (assist by M. Monk)
0:31.0,M. Belinelli makes 2-pt shot from 21 ft (assist by E. Ilyasova),2,29-29,,
0:05.0,,,29-29,,M. Monk misses 2-pt shot from 17 ft
0:02.0,Defensive rebound by E. Ilyasova,,29-29,,
0:00.0,J. Redick makes 3-pt shot from 23 ft (assist by M. Belinelli),3,32-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,32-29,,T. Graham misses 2-pt shot from 3 ft
11:47.0,Defensive rebound by Team,,32-29,,
11:28.0,Turnover by E. Ilyasova (bad pass; steal by F. Kaminsky),,32-29,,
11:25.0,,,32-29,,Offensive charge foul by M. Monk (drawn by E. Ilyasova)
11:25.0,,,32-29,,Turnover by M. Monk (offensive foul)
11:23.0,D. Saric enters the game for E. Ilyasova,,32-29,,
11:23.0,Turnover by J. Embiid (turnover),,32-29,,
11:10.0,,,32-32,3,T. Graham makes 3-pt shot from 23 ft (assist by C. Zeller)
10:49.0,T. McConnell makes 2-pt shot from 1 ft,2,34-32,,
10:38.0,,,34-32,,F. Kaminsky misses 3-pt shot from 25 ft
10:34.0,Defensive rebound by J. Redick,,34-32,,
10:28.0,Shooting foul by T. Graham (drawn by J. Redick),,34-32,,
10:28.0,J. Redick makes free throw 1 of 3,1,35-32,,
10:28.0,J. Redick misses free throw 2 of 3,,35-32,,
10:28.0,Offensive rebound by Team,,35-32,,
10:28.0,J. Redick makes free throw 3 of 3,1,36-32,,
10:23.0,Personal foul by T. McConnell (drawn by M. Monk),,36-32,,
10:18.0,,,36-35,3,J. Lamb makes 3-pt shot from 26 ft
10:01.0,R. Covington makes 3-pt shot from 23 ft (assist by T. McConnell),3,39-35,,
9:46.0,,,39-35,,M. Monk misses 2-pt shot from 3 ft
9:42.0,,,39-35,,Offensive rebound by C. Zeller
9:42.0,,,39-37,2,C. Zeller makes 2-pt shot at rim
9:29.0,D. Saric misses 2-pt shot from 1 ft,,39-37,,
9:25.0,,,39-37,,Defensive rebound by J. Lamb
9:15.0,,,39-39,2,T. Graham makes 2-pt shot from 8 ft (assist by J. Lamb)
9:00.0,D. Saric misses 3-pt shot from 26 ft,,39-39,,
8:56.0,,,39-39,,Defensive rebound by C. Zeller
8:45.0,,,39-39,,F. Kaminsky misses 2-pt shot from 3 ft
8:43.0,Defensive rebound by J. Embiid,,39-39,,
8:39.0,R. Covington misses 3-pt shot from 25 ft,,39-39,,
8:33.0,,,39-39,,Defensive rebound by M. Monk
8:29.0,,,39-42,3,J. Lamb makes 3-pt shot from 23 ft (assist by T. Graham)
8:09.0,,,39-42,,Personal foul by T. Graham (drawn by J. Redick)
8:09.0,,,39-42,,M. Kidd-Gilchrist enters the game for T. Graham
8:09.0,B. Simmons enters the game for T. McConnell,,39-42,,
8:09.0,A. Johnson enters the game for J. Redick,,39-42,,
8:09.0,M. Belinelli enters the game for J. Embiid,,39-42,,
8:04.0,D. Saric makes 3-pt shot from 25 ft (assist by B. Simmons),3,42-42,,
7:44.0,,,42-44,2,F. Kaminsky makes 2-pt shot from 10 ft
7:31.0,D. Saric makes 2-pt shot at rim (assist by M. Belinelli),2,44-44,,
7:10.0,,,44-44,,Shooting foul by D. Saric (drawn by M. Monk)
7:10.0,,,44-45,1,M. Monk makes free throw 1 of 2
7:10.0,,,44-46,1,M. Monk makes free throw 2 of 2
6:53.0,Shooting foul by F. Kaminsky (drawn by D. Saric),,44-46,,
6:53.0,,,44-46,,Charlotte full timeout
6:53.0,,,44-46,,K. Walker enters the game for M. Monk
6:53.0,D. Saric misses free throw 1 of 2,,44-46,,
6:53.0,Offensive rebound by Team,,44-46,,
6:53.0,D. Saric makes free throw 2 of 2,1,45-46,,
6:40.0,,,45-46,,J. Lamb misses 2-pt shot from 12 ft
6:37.0,Defensive rebound by A. Johnson,,45-46,,
6:23.0,Turnover by M. Belinelli (lost ball; steal by J. Lamb),,45-46,,
6:15.0,,,45-46,,F. Kaminsky misses 2-pt shot from 9 ft
6:10.0,Defensive rebound by D. Saric,,45-46,,
6:02.0,R. Covington makes 3-pt shot from 25 ft (assist by D. Saric),3,48-46,,
5:38.0,,,48-46,,F. Kaminsky misses 2-pt shot from 2 ft
5:35.0,Defensive rebound by A. Johnson,,48-46,,
5:26.0,R. Covington misses 3-pt shot from 26 ft,,48-46,,
5:25.0,,,48-46,,Defensive rebound by C. Zeller
5:25.0,Personal foul by A. Johnson (drawn by C. Zeller),,48-46,,
5:25.0,,,48-46,,M. Williams enters the game for J. Lamb
5:25.0,,,48-46,,N. Batum enters the game for F. Kaminsky
5:25.0,E. Ilyasova enters the game for A. Johnson,,48-46,,
5:11.0,,,48-46,,K. Walker misses 3-pt shot from 25 ft
5:07.0,Defensive rebound by M. Belinelli,,48-46,,
5:02.0,B. Simmons makes 2-pt shot from 1 ft,2,50-46,,
4:46.0,,,50-48,2,C. Zeller makes 2-pt shot from 1 ft (assist by M. Kidd-Gilchrist)
4:35.0,,,50-48,,D. Howard enters the game for C. Zeller
4:17.0,R. Covington makes 2-pt shot from 4 ft (assist by B. Simmons),2,52-48,,
4:01.0,,,52-48,,M. Williams misses 2-pt shot from 2 ft
3:58.0,,,52-48,,Offensive rebound by M. Kidd-Gilchrist
3:55.0,,,52-48,,M. Kidd-Gilchrist misses 2-pt shot from 3 ft (block by R. Covington)
3:52.0,,,52-48,,Offensive rebound by N. Batum
3:52.0,,,52-48,,M. Williams misses 3-pt shot from 25 ft
3:52.0,Defensive rebound by D. Saric,,52-48,,
3:52.0,,,52-48,,Technical foul by M. Kidd-Gilchrist
3:52.0,M. Belinelli makes technical free throw,1,53-48,,
3:52.0,,,53-48,,Technical foul by M. Kidd-Gilchrist
3:52.0,M. Belinelli makes technical free throw,1,54-48,,
3:52.0,,,54-48,,T. Graham enters the game for M. Kidd-Gilchrist
3:52.0,J. Redick enters the game for D. Saric,,54-48,,
3:52.0,J. Embiid enters the game for M. Belinelli,,54-48,,
3:52.0,T. McConnell enters the game for R. Covington,,54-48,,
3:35.0,J. Redick makes 2-pt shot from 22 ft (assist by J. Embiid),2,56-48,,
3:19.0,,,56-50,2,D. Howard makes 2-pt shot from 1 ft
2:57.0,J. Embiid makes 2-pt shot from 18 ft,2,58-50,,
2:46.0,Personal foul by E. Ilyasova (drawn by K. Walker),,58-50,,
2:46.0,Philadelphia full timeout,,58-50,,
2:35.0,,,58-50,,M. Williams misses 3-pt shot from 26 ft
2:30.0,Defensive rebound by J. Redick,,58-50,,
2:20.0,B. Simmons makes 2-pt shot from 1 ft,2,60-50,,
2:01.0,,,60-50,,D. Howard misses 2-pt shot from 5 ft
2:01.0,Defensive rebound by B. Simmons,,60-50,,
2:00.0,,,60-50,,Technical foul by D. Howard
2:00.0,J. Redick makes technical free throw,1,61-50,,
2:00.0,,,61-50,,D. Bacon enters the game for T. Graham
1:45.0,E. Ilyasova makes 3-pt shot from 26 ft (assist by T. McConnell),3,64-50,,
1:27.0,,,64-50,,K. Walker misses 2-pt shot from 2 ft (block by J. Embiid)
1:27.0,Defensive rebound by T. McConnell,,64-50,,
1:21.0,Turnover by J. Redick (bad pass; steal by M. Williams),,64-50,,
1:16.0,,,64-50,,K. Walker misses 3-pt shot from 26 ft
1:12.0,,,64-50,,Offensive rebound by M. Williams
1:12.0,,,64-52,2,M. Williams makes 2-pt shot at rim
1:00.0,B. Simmons makes 2-pt shot from 1 ft,2,66-52,,
0:45.0,Personal foul by E. Ilyasova (drawn by K. Walker),,66-52,,
0:45.0,,,66-53,1,K. Walker makes free throw 1 of 2
0:45.0,,,66-53,,K. Walker misses free throw 2 of 2
0:42.0,Defensive rebound by B. Simmons,,66-53,,
0:32.0,J. Redick makes 3-pt shot from 25 ft (assist by J. Embiid),3,69-53,,
0:08.0,,,69-56,3,N. Batum makes 3-pt shot from 25 ft (assist by M. Williams)
0:03.0,T. McConnell makes 2-pt shot from 2 ft (assist by B. Simmons),2,71-56,,
0:00.0,,,71-59,3,D. Howard makes 3-pt shot from 29 ft (assist by N. Batum)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,71-61,2,D. Howard makes 2-pt shot from 1 ft (assist by N. Batum)
11:47.0,,,71-61,,Shooting foul by J. Embiid (drawn by D. Howard)
11:47.0,,,71-61,,D. Howard misses free throw 1 of 1
11:44.0,Defensive rebound by J. Embiid,,71-61,,
11:30.0,Turnover by J. Redick (traveling),,71-61,,
11:17.0,,,71-61,,Shooting foul by D. Saric (drawn by D. Howard)
11:17.0,,,71-61,,D. Howard misses free throw 1 of 2
11:17.0,,,71-61,,Offensive rebound by Team
11:17.0,,,71-62,1,D. Howard makes free throw 2 of 2
10:59.0,J. Embiid misses 2-pt shot from 7 ft (block by D. Howard),,71-62,,
10:56.0,,,71-62,,Defensive rebound by K. Walker
10:53.0,,,71-64,2,D. Howard makes 2-pt shot at rim (assist by K. Walker)
10:52.0,Philadelphia full timeout,,71-64,,
10:38.0,R. Covington makes 2-pt shot from 18 ft (assist by J. Embiid),2,73-64,,
10:38.0,Shooting foul by K. Walker (drawn by R. Covington),,73-64,,
10:38.0,R. Covington makes free throw 1 of 1,1,74-64,,
10:19.0,,,74-64,,N. Batum misses 2-pt shot from 8 ft
10:16.0,Defensive rebound by B. Simmons,,74-64,,
10:05.0,R. Covington makes 3-pt shot from 23 ft (assist by B. Simmons),3,77-64,,
9:46.0,,,77-64,,Shooting foul by J. Embiid (drawn by T. Graham)
9:46.0,,,77-64,,T. Graham misses free throw 1 of 2
9:46.0,,,77-64,,Offensive rebound by Team
9:46.0,,,77-65,1,T. Graham makes free throw 2 of 2
9:31.0,Turnover by J. Redick (lost ball; steal by N. Batum),,77-65,,
9:25.0,,,77-67,2,D. Howard makes 2-pt shot from 1 ft
9:10.0,J. Embiid misses 3-pt shot from 25 ft,,77-67,,
9:07.0,,,77-67,,Defensive rebound by M. Williams
9:02.0,,,77-69,2,D. Howard makes 2-pt shot from 1 ft (assist by N. Batum)
9:02.0,,,77-69,,Shooting foul by J. Embiid (drawn by D. Howard)
9:02.0,,,77-70,1,D. Howard makes free throw 1 of 1
8:51.0,R. Covington misses 3-pt shot from 25 ft,,77-70,,
8:46.0,,,77-70,,Defensive rebound by M. Williams
8:38.0,,,77-70,,M. Williams misses 3-pt shot from 25 ft
8:34.0,Defensive rebound by B. Simmons,,77-70,,
8:26.0,J. Embiid misses 2-pt shot from 4 ft,,77-70,,
8:24.0,Offensive rebound by J. Embiid,,77-70,,
8:24.0,J. Embiid makes 2-pt shot at rim,2,79-70,,
8:24.0,Technical foul by J. Embiid,,79-70,,
8:24.0,,,79-71,1,N. Batum makes technical free throw
8:24.0,A. Johnson enters the game for J. Embiid,,79-71,,
8:13.0,,,79-74,3,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker)
8:00.0,,,79-74,,Personal foul by T. Graham (drawn by J. Redick)
8:00.0,M. Belinelli enters the game for J. Redick,,79-74,,
7:51.0,R. Covington makes 3-pt shot from 23 ft (assist by B. Simmons),3,82-74,,
7:31.0,,,82-74,,D. Howard misses 2-pt shot from 19 ft
7:28.0,Defensive rebound by A. Johnson,,82-74,,
7:18.0,D. Saric makes 3-pt shot from 25 ft (assist by B. Simmons),3,85-74,,
7:17.0,,,85-74,,Charlotte full timeout
6:55.0,,,85-74,,D. Howard misses 2-pt shot from 10 ft
6:50.0,,,85-74,,Offensive rebound by T. Graham
6:50.0,,,85-76,2,T. Graham makes 2-pt shot at rim
6:39.0,A. Johnson misses 2-pt shot from 5 ft,,85-76,,
6:35.0,Offensive rebound by A. Johnson,,85-76,,
6:34.0,B. Simmons makes 2-pt shot from 1 ft (assist by A. Johnson),2,87-76,,
6:07.0,,,87-76,,Turnover by D. Howard (bad pass; steal by R. Covington)
6:00.0,Turnover by B. Simmons (out of bounds lost ball),,87-76,,
5:49.0,,,87-76,,K. Walker misses 3-pt shot from 27 ft
5:43.0,Defensive rebound by B. Simmons,,87-76,,
5:40.0,D. Saric makes 3-pt shot from 26 ft (assist by B. Simmons),3,90-76,,
5:25.0,Personal foul by R. Covington (drawn by N. Batum),,90-76,,
5:25.0,,,90-77,1,N. Batum makes free throw 1 of 2
5:25.0,T. McConnell enters the game for R. Covington,,90-77,,
5:25.0,,,90-78,1,N. Batum makes free throw 2 of 2
5:15.0,B. Simmons misses 2-pt shot from 1 ft,,90-78,,
5:12.0,,,90-78,,Defensive rebound by K. Walker
5:09.0,,,90-78,,K. Walker misses 3-pt shot from 26 ft
5:05.0,Defensive rebound by D. Saric,,90-78,,
4:47.0,A. Johnson makes 2-pt shot from 2 ft (assist by B. Simmons),2,92-78,,
4:34.0,Def 3 sec tech foul by B. Simmons,,92-78,,
4:34.0,,,92-79,1,N. Batum makes technical free throw
4:34.0,E. Ilyasova enters the game for D. Saric,,92-79,,
4:21.0,,,92-81,2,T. Graham makes 2-pt shot from 10 ft (assist by K. Walker)
4:03.0,A. Johnson makes 2-pt shot from 7 ft (assist by B. Simmons),2,94-81,,
3:45.0,,,94-83,2,T. Graham makes 2-pt shot from 9 ft (assist by N. Batum)
3:23.0,M. Belinelli makes 3-pt shot from 30 ft (assist by A. Johnson),3,97-83,,
2:58.0,,,97-83,,T. Graham misses 2-pt shot from 20 ft
2:55.0,,,97-83,,Offensive rebound by N. Batum
2:51.0,,,97-83,,K. Walker misses 3-pt shot from 24 ft
2:49.0,Defensive rebound by A. Johnson,,97-83,,
2:36.0,T. McConnell misses 2-pt shot from 9 ft,,97-83,,
2:33.0,,,97-83,,Defensive rebound by M. Williams
2:29.0,,,97-85,2,D. Howard makes 2-pt shot from 1 ft (assist by N. Batum)
2:29.0,,,97-85,,Shooting foul by B. Simmons (drawn by D. Howard)
2:29.0,,,97-85,,F. Kaminsky enters the game for M. Williams
2:29.0,,,97-85,,M. Monk enters the game for K. Walker
2:29.0,,,97-85,,J. Lamb enters the game for T. Graham
2:29.0,J. Embiid enters the game for A. Johnson,,97-85,,
2:29.0,J. Redick enters the game for B. Simmons,,97-85,,
2:29.0,,,97-86,1,D. Howard makes free throw 1 of 1
2:08.0,J. Redick misses 2-pt shot from 2 ft,,97-86,,
2:06.0,Offensive rebound by J. Embiid,,97-86,,
2:05.0,J. Embiid makes 2-pt shot from 1 ft,2,99-86,,
1:43.0,,,99-88,2,J. Lamb makes 2-pt shot from 10 ft (assist by N. Batum)
1:23.0,J. Embiid makes 2-pt shot from 2 ft (assist by J. Redick),2,101-88,,
1:07.0,,,101-88,,M. Monk misses 3-pt shot from 28 ft
1:04.0,Defensive rebound by M. Belinelli,,101-88,,
0:50.0,M. Belinelli misses 3-pt shot from 22 ft,,101-88,,
0:47.0,,,101-88,,Defensive rebound by D. Howard
0:41.0,,,101-91,3,N. Batum makes 3-pt shot from 25 ft
0:25.0,J. Redick misses 3-pt shot from 26 ft,,101-91,,
0:22.0,,,101-91,,Defensive rebound by N. Batum
0:01.0,,,101-91,,J. Lamb misses 2-pt shot from 9 ft
0:01.0,Defensive rebound by M. Belinelli,,101-91,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,J. Embiid makes 2-pt shot from 1 ft (assist by M. Belinelli),2,103-91,,
11:29.0,,,103-91,,K. Walker misses 2-pt shot from 18 ft
11:29.0,Defensive rebound by E. Ilyasova,,103-91,,
11:18.0,Shooting foul by M. Monk (drawn by R. Covington),,103-91,,
11:18.0,R. Covington makes free throw 1 of 2,1,104-91,,
11:18.0,R. Covington makes free throw 2 of 2,1,105-91,,
10:52.0,,,105-93,2,F. Kaminsky makes 2-pt shot from 13 ft (assist by J. Lamb)
10:42.0,M. Belinelli misses 3-pt shot from 31 ft,,105-93,,
10:38.0,,,105-93,,Defensive rebound by F. Kaminsky
10:36.0,,,105-93,,Shooting foul by R. Covington (drawn by K. Walker)
10:36.0,,,105-93,,K. Walker misses free throw 1 of 2
10:36.0,,,105-93,,Offensive rebound by Team
10:36.0,,,105-94,1,K. Walker makes free throw 2 of 2
10:28.0,E. Ilyasova misses 2-pt shot from 15 ft,,105-94,,
10:19.0,Offensive rebound by R. Covington,,105-94,,
10:14.0,Turnover by E. Ilyasova (bad pass; steal by M. Monk),,105-94,,
10:06.0,,,105-94,,M. Monk misses 3-pt shot from 25 ft
10:03.0,Defensive rebound by R. Covington,,105-94,,
9:48.0,E. Ilyasova misses 2-pt shot from 2 ft,,105-94,,
9:46.0,,,105-94,,Defensive rebound by J. Lamb
9:39.0,,,105-96,2,C. Zeller makes 2-pt shot from 18 ft (assist by J. Lamb)
9:38.0,Philadelphia full timeout,,105-96,,
9:38.0,,,105-96,,T. Graham enters the game for M. Monk
9:38.0,B. Simmons enters the game for T. McConnell,,105-96,,
9:18.0,J. Embiid makes 2-pt shot from 1 ft (assist by R. Covington),2,107-96,,
8:54.0,,,107-96,,Shooting foul by E. Ilyasova (drawn by F. Kaminsky)
8:54.0,,,107-97,1,F. Kaminsky makes free throw 1 of 2
8:54.0,,,107-98,1,F. Kaminsky makes free throw 2 of 2
8:37.0,J. Embiid misses 2-pt shot from 19 ft,,107-98,,
8:35.0,Offensive rebound by E. Ilyasova,,107-98,,
8:35.0,,,107-98,,Personal foul by T. Graham (drawn by E. Ilyasova)
8:24.0,E. Ilyasova makes 3-pt shot from 23 ft (assist by J. Embiid),3,110-98,,
8:02.0,,,110-100,2,K. Walker makes 2-pt shot from 20 ft
7:52.0,J. Embiid makes 2-pt shot from 12 ft,2,112-100,,
7:29.0,,,112-100,,Offensive foul by F. Kaminsky (drawn by E. Ilyasova)
7:29.0,,,112-100,,Turnover by F. Kaminsky (offensive foul)
7:29.0,D. Saric enters the game for J. Embiid,,112-100,,
7:24.0,R. Covington makes 3-pt shot from 23 ft (assist by B. Simmons),3,115-100,,
7:24.0,,,115-100,,Charlotte full timeout
7:24.0,,,115-100,,D. Howard enters the game for C. Zeller
7:10.0,,,115-100,,Shooting foul by M. Belinelli (drawn by J. Lamb)
7:10.0,,,115-101,1,J. Lamb makes free throw 1 of 2
7:10.0,,,115-102,1,J. Lamb makes free throw 2 of 2
6:59.0,Shooting foul by D. Howard (drawn by E. Ilyasova),,115-102,,
6:59.0,E. Ilyasova misses free throw 1 of 2,,115-102,,
6:59.0,Offensive rebound by Team,,115-102,,
6:59.0,E. Ilyasova makes free throw 2 of 2,1,116-102,,
6:37.0,,,116-104,2,D. Howard makes 2-pt shot from 8 ft
6:28.0,R. Covington misses 3-pt shot from 25 ft (block by K. Walker),,116-104,,
6:27.0,Offensive rebound by R. Covington,,116-104,,
6:24.0,E. Ilyasova misses 3-pt shot from 26 ft,,116-104,,
6:23.0,,,116-104,,Defensive rebound by K. Walker
6:10.0,,,116-104,,Turnover by D. Howard (bad pass; steal by M. Belinelli)
6:02.0,D. Saric misses 3-pt shot from 22 ft,,116-104,,
5:56.0,Offensive rebound by B. Simmons,,116-104,,
5:53.0,M. Belinelli misses 3-pt shot from 24 ft,,116-104,,
5:53.0,Offensive rebound by E. Ilyasova,,116-104,,
5:46.0,E. Ilyasova makes 2-pt shot at rim,2,118-104,,
5:33.0,,,118-104,,F. Kaminsky misses 2-pt shot from 7 ft (block by E. Ilyasova)
5:33.0,Defensive rebound by R. Covington,,118-104,,
5:24.0,D. Saric makes 2-pt shot from 1 ft (assist by B. Simmons),2,120-104,,
5:23.0,,,120-104,,Charlotte full timeout
5:23.0,,,120-104,,M. Williams enters the game for J. Lamb
5:23.0,,,120-104,,N. Batum enters the game for F. Kaminsky
5:23.0,J. Embiid enters the game for M. Belinelli,,120-104,,
5:23.0,J. Redick enters the game for E. Ilyasova,,120-104,,
5:13.0,,,120-104,,Shooting foul by J. Embiid (drawn by D. Howard)
5:13.0,,,120-105,1,D. Howard makes free throw 1 of 2
5:13.0,,,120-106,1,D. Howard makes free throw 2 of 2
4:56.0,J. Embiid makes 2-pt shot from 2 ft (assist by B. Simmons),2,122-106,,
4:41.0,,,122-108,2,D. Howard makes 2-pt shot from 1 ft (assist by K. Walker)
4:21.0,J. Embiid misses 3-pt shot from 27 ft,,122-108,,
4:16.0,,,122-108,,Defensive rebound by M. Williams
4:02.0,,,122-108,,Turnover by N. Batum (bad pass)
3:50.0,B. Simmons makes 2-pt shot from 1 ft (assist by J. Redick),2,124-108,,
3:37.0,,,124-108,,Turnover by K. Walker (bad pass; steal by R. Covington)
3:22.0,Turnover by R. Covington (turnover),,124-108,,
3:22.0,,,124-108,,Charlotte full timeout
3:22.0,,,124-108,,W. Hernangomez enters the game for D. Howard
3:22.0,,,124-108,,D. Bacon enters the game for K. Walker
3:22.0,,,124-108,,M. Monk enters the game for M. Williams
3:22.0,,,124-108,,J. Stone enters the game for N. Batum
3:22.0,A. Johnson enters the game for J. Embiid,,124-108,,
3:06.0,,,124-108,,T. Graham misses 3-pt shot from 22 ft
3:03.0,,,124-108,,Offensive rebound by M. Monk
3:03.0,,,124-110,2,M. Monk makes 2-pt shot at rim
