time,Milwaukee,pts.away,score,pts.home,Boston
8:05.0,,,51-58,2,J. Tatum makes 2-pt shot from 1 ft
7:56.0,E. Bledsoe makes 2-pt shot from 5 ft (assist by M. Brogdon),2,53-58,,
7:40.0,,,53-61,3,T. Rozier makes 3-pt shot from 23 ft (assist by A. Horford)
7:26.0,T. Maker misses 3-pt shot from 24 ft,,53-61,,
7:24.0,,,53-61,,Defensive rebound by S. Ojeleye
7:04.0,,,53-63,2,A. Horford makes 2-pt shot from 4 ft
7:02.0,Milwaukee full timeout,,53-63,,
7:02.0,J. Parker enters the game for T. Maker,,53-63,,
6:51.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by K. Middleton),2,55-63,,
6:35.0,,,55-65,2,A. Horford makes 2-pt shot from 1 ft (assist by M. Smart)
6:06.0,Turnover by Team (shot clock),,55-65,,
5:54.0,Personal foul by K. Middleton (drawn by T. Rozier),,55-65,,
5:54.0,,,55-65,,M. Morris enters the game for M. Smart
5:54.0,J. Terry enters the game for M. Brogdon,,55-65,,
5:42.0,,,55-65,,Turnover by J. Tatum (bad pass)
5:39.0,Shooting foul by M. Morris (drawn by K. Middleton),,55-65,,
5:39.0,K. Middleton makes free throw 1 of 2,1,56-65,,
5:39.0,K. Middleton makes free throw 2 of 2,1,57-65,,
5:19.0,,,57-67,2,J. Tatum makes 2-pt shot from 1 ft
5:04.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by J. Parker),2,59-67,,
4:45.0,,,59-70,3,S. Ojeleye makes 3-pt shot from 23 ft (assist by T. Rozier)
4:31.0,K. Middleton makes 2-pt shot from 1 ft,2,61-70,,
4:13.0,,,61-70,,Offensive foul by A. Horford (drawn by K. Middleton)
4:13.0,,,61-70,,Turnover by A. Horford (offensive foul)
4:04.0,E. Bledsoe makes 2-pt shot from 2 ft,2,63-70,,
3:43.0,,,63-70,,M. Morris misses 2-pt shot from 6 ft
3:41.0,Defensive rebound by G. Antetokounmpo,,63-70,,
3:37.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,63-70,,
3:35.0,,,63-70,,Defensive rebound by J. Tatum
3:28.0,,,63-72,2,M. Morris makes 2-pt shot from 2 ft (assist by A. Horford)
3:11.0,J. Parker misses 2-pt shot from 17 ft,,63-72,,
3:08.0,,,63-72,,Defensive rebound by S. Ojeleye
3:01.0,,,63-74,2,T. Rozier makes 2-pt shot from 1 ft
2:51.0,,,63-74,,Personal foul by T. Rozier (drawn by E. Bledsoe)
2:51.0,,,63-74,,Boston full timeout
2:51.0,,,63-74,,S. Larkin enters the game for T. Rozier
2:51.0,,,63-74,,A. Baynes enters the game for S. Ojeleye
2:51.0,,,63-74,,M. Smart enters the game for A. Horford
2:51.0,S. Muhammad enters the game for K. Middleton,,63-74,,
2:38.0,E. Bledsoe misses 3-pt shot from 29 ft,,63-74,,
2:37.0,,,63-74,,Defensive rebound by A. Baynes
2:35.0,,,63-74,,Turnover by A. Baynes (bad pass; steal by G. Antetokounmpo)
2:29.0,,,63-74,,Personal foul by A. Baynes (drawn by E. Bledsoe)
2:17.0,Turnover by S. Muhammad (lost ball; steal by M. Morris),,63-74,,
1:56.0,,,63-74,,Shooting foul by J. Parker (drawn by M. Morris)
1:56.0,,,63-75,1,M. Morris makes free throw 1 of 2
1:56.0,M. Dellavedova enters the game for E. Bledsoe,,63-75,,
1:56.0,,,63-75,,M. Morris misses free throw 2 of 2
1:54.0,Defensive rebound by S. Muhammad,,63-75,,
1:41.0,J. Parker makes 2-pt shot from 19 ft (assist by G. Antetokounmpo),2,65-75,,
1:24.0,,,65-75,,J. Tatum misses 2-pt shot from 2 ft (block by S. Muhammad)
1:21.0,,,65-75,,Offensive rebound by A. Baynes
1:19.0,,,65-78,3,M. Morris makes 3-pt shot from 23 ft (assist by A. Baynes)
1:19.0,,,65-78,,Shooting foul by G. Antetokounmpo (drawn by M. Morris)
1:19.0,,,65-78,,M. Morris misses free throw 1 of 1
1:19.0,Defensive rebound by J. Parker,,65-78,,
1:12.0,S. Muhammad misses 2-pt shot from 4 ft (block by J. Tatum),,65-78,,
1:10.0,,,65-78,,Defensive rebound by M. Smart
1:04.0,,,65-81,3,J. Tatum makes 3-pt shot from 25 ft (assist by S. Larkin)
0:52.0,Shooting foul by M. Morris (drawn by G. Antetokounmpo),,65-81,,
0:52.0,G. Antetokounmpo makes free throw 1 of 2,1,66-81,,
0:52.0,K. Middleton enters the game for J. Parker,,66-81,,
0:52.0,G. Antetokounmpo makes free throw 2 of 2,1,67-81,,
0:36.0,,,67-81,,Offensive foul by M. Smart (drawn by M. Dellavedova)
0:36.0,,,67-81,,Turnover by M. Smart (offensive foul)
0:19.0,J. Terry misses 3-pt shot from 27 ft,,67-81,,
0:15.0,,,67-81,,Defensive rebound by M. Morris
0:01.0,,,67-81,,S. Larkin misses 3-pt shot from 26 ft
0:00.0,,,67-81,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,67-81,,A. Baynes misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
11:44.0,,,67-81,,Offensive rebound by A. Baynes
11:30.0,,,67-83,2,M. Morris makes 2-pt shot from 15 ft (assist by M. Smart)
11:13.0,E. Bledsoe misses 2-pt shot from 15 ft,,67-83,,
11:10.0,,,67-83,,Defensive rebound by M. Morris
10:50.0,,,67-83,,M. Smart misses 3-pt shot from 24 ft
10:47.0,,,67-83,,Offensive rebound by A. Baynes
10:47.0,Personal foul by K. Middleton (drawn by A. Baynes),,67-83,,
10:38.0,,,67-83,,S. Larkin misses 2-pt shot from 2 ft
10:37.0,Defensive rebound by G. Antetokounmpo,,67-83,,
10:26.0,J. Terry makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,70-83,,
10:00.0,,,70-85,2,M. Morris makes 2-pt shot from 12 ft
