time,Houston,pts.away,score,pts.home,Washington
5:02.0,J. Harden makes free throw 2 of 2,1,12-14,,
4:50.0,,,12-16,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
4:36.0,R. Anderson misses 3-pt shot from 29 ft,,12-16,,
4:35.0,Offensive rebound by Team,,12-16,,
4:35.0,,,12-16,,Loose ball foul by M. Gortat (drawn by T. Black)
4:30.0,Turnover by J. Harden (bad pass; steal by J. Wall),,12-16,,
4:26.0,,,12-18,2,J. Wall makes 2-pt shot from 1 ft (assist by O. Porter)
4:12.0,T. Black makes 2-pt shot from 1 ft (assist by J. Harden),2,14-18,,
3:48.0,,,14-21,3,O. Porter makes 3-pt shot from 26 ft (assist by M. Gortat)
3:36.0,J. Harden makes 3-pt shot from 29 ft,3,17-21,,
3:21.0,Personal foul by J. Harden (drawn by M. Gortat),,17-21,,
3:08.0,,,17-21,,J. Wall misses 3-pt shot from 24 ft
3:06.0,Defensive rebound by R. Anderson,,17-21,,
2:48.0,G. Green misses 3-pt shot from 24 ft,,17-21,,
2:43.0,,,17-21,,Defensive rebound by M. Morris
2:38.0,,,17-23,2,B. Beal makes 2-pt shot at rim
2:26.0,E. Gordon makes 2-pt shot from 1 ft,2,19-23,,
2:05.0,Houston full timeout,,19-23,,
2:05.0,,,19-23,,T. Satoransky enters the game for J. Wall
2:05.0,,,19-23,,K. Oubre enters the game for M. Gortat
2:05.0,,,19-23,,I. Mahinmi enters the game for O. Porter
2:05.0,T. Ariza enters the game for R. Anderson,,19-23,,
2:05.0,C. Paul enters the game for G. Green,,19-23,,
1:57.0,,,19-23,,M. Morris misses 2-pt shot from 8 ft
1:55.0,Defensive rebound by T. Black,,19-23,,
1:37.0,J. Harden misses 2-pt shot from 20 ft,,19-23,,
1:33.0,Offensive rebound by T. Black,,19-23,,
1:25.0,J. Harden misses 2-pt shot from 1 ft,,19-23,,
1:23.0,,,19-23,,Defensive rebound by M. Morris
1:06.0,,,19-23,,M. Morris misses 3-pt shot from 25 ft
1:04.0,,,19-23,,Offensive rebound by Team
1:04.0,Loose ball foul by C. Paul (drawn by T. Satoransky),,19-23,,
1:04.0,G. Green enters the game for J. Harden,,19-23,,
0:59.0,,,19-25,2,K. Oubre makes 2-pt shot at rim
0:45.0,E. Gordon makes 2-pt shot from 1 ft,2,21-25,,
0:34.0,,,21-25,,M. Morris misses 2-pt shot from 11 ft
0:32.0,Defensive rebound by T. Black,,21-25,,
0:15.0,T. Black makes 2-pt shot at rim (assist by C. Paul),2,23-25,,
0:03.0,,,23-27,2,B. Beal makes 2-pt shot from 1 ft
0:00.0,C. Paul misses 2-pt shot from 18 ft,,23-27,,
0:00.0,Offensive rebound by Team,,23-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,T. Ariza misses 3-pt shot from 26 ft,,23-27,,
11:39.0,,,23-27,,Defensive rebound by O. Porter
11:23.0,,,23-27,,O. Porter misses 3-pt shot from 26 ft
11:21.0,Defensive rebound by Z. Qi,,23-27,,
11:20.0,Offensive foul by Z. Qi (drawn by J. Meeks),,23-27,,
11:20.0,Turnover by Z. Qi (offensive foul),,23-27,,
11:10.0,,,23-29,2,T. Satoransky makes 2-pt shot from 1 ft
11:10.0,Violation by Z. Qi (def goaltending),,23-29,,
10:57.0,G. Green makes 3-pt shot from 25 ft (assist by C. Paul),3,26-29,,
10:33.0,,,26-29,,K. Oubre misses 3-pt shot from 27 ft
10:29.0,,,26-29,,Offensive rebound by O. Porter
10:26.0,,,26-32,3,J. Meeks makes 3-pt shot from 25 ft (assist by O. Porter)
10:15.0,Z. Qi misses 3-pt shot from 26 ft,,26-32,,
10:10.0,,,26-32,,Defensive rebound by J. Meeks
10:08.0,,,26-32,,Turnover by T. Satoransky (bad pass; steal by G. Green)
9:58.0,G. Green makes 2-pt shot from 19 ft,2,28-32,,
9:39.0,,,28-34,2,T. Satoransky makes 2-pt shot from 1 ft (assist by O. Porter)
9:20.0,C. Paul misses 3-pt shot from 26 ft,,28-34,,
9:15.0,,,28-34,,Defensive rebound by J. Meeks
9:12.0,,,28-34,,O. Porter misses 3-pt shot from 25 ft
9:11.0,Defensive rebound by Team,,28-34,,
9:11.0,P. Tucker enters the game for E. Gordon,,28-34,,
9:02.0,C. Paul makes 2-pt shot from 16 ft,2,30-34,,
8:46.0,Personal foul by Z. Qi (drawn by K. Oubre),,30-34,,
8:41.0,,,30-36,2,J. Meeks makes 2-pt shot from 17 ft (assist by T. Satoransky)
8:32.0,Shooting foul by I. Mahinmi (drawn by Z. Qi),,30-36,,
8:32.0,Z. Qi misses free throw 1 of 2,,30-36,,
8:32.0,Offensive rebound by Team,,30-36,,
8:32.0,Z. Qi misses free throw 2 of 2,,30-36,,
8:29.0,,,30-36,,Defensive rebound by I. Mahinmi
8:19.0,,,30-36,,Turnover by J. Meeks (bad pass; steal by C. Paul)
8:10.0,P. Tucker misses 2-pt shot from 2 ft (block by I. Mahinmi),,30-36,,
8:10.0,,,30-36,,Defensive rebound by O. Porter
8:05.0,,,30-38,2,O. Porter makes 2-pt shot from 7 ft
8:05.0,,,30-38,,Shooting foul by P. Tucker (drawn by O. Porter)
8:05.0,,,30-39,1,O. Porter makes free throw 1 of 1
7:52.0,,,30-39,,Personal foul by O. Porter (drawn by C. Paul)
7:45.0,Z. Qi misses 3-pt shot from 26 ft,,30-39,,
7:44.0,,,30-39,,Defensive rebound by Team
7:31.0,,,30-39,,K. Oubre misses 3-pt shot from 29 ft
7:27.0,Defensive rebound by T. Ariza,,30-39,,
7:09.0,T. Ariza makes 2-pt shot from 1 ft,2,32-39,,
6:48.0,,,32-39,,O. Porter misses 2-pt shot from 12 ft
6:41.0,,,32-39,,Offensive rebound by K. Oubre
6:41.0,,,32-41,2,K. Oubre makes 2-pt shot at rim
6:38.0,T. Ariza misses 3-pt shot from 24 ft,,32-41,,
6:31.0,Offensive rebound by G. Green,,32-41,,
6:31.0,G. Green misses 2-pt shot at rim,,32-41,,
6:30.0,,,32-41,,Defensive rebound by I. Mahinmi
6:29.0,,,32-44,3,J. Meeks makes 3-pt shot from 22 ft (assist by T. Satoransky)
6:29.0,,,32-44,,Shooting foul by P. Tucker (drawn by J. Meeks)
6:29.0,,,32-44,,Washington full timeout
6:29.0,,,32-44,,J. Wall enters the game for O. Porter
6:29.0,,,32-44,,B. Beal enters the game for T. Satoransky
6:29.0,J. Harden enters the game for C. Paul,,32-44,,
6:29.0,R. Anderson enters the game for Z. Qi,,32-44,,
6:29.0,E. Gordon enters the game for P. Tucker,,32-44,,
6:29.0,,,32-45,1,J. Meeks makes free throw 1 of 1
6:11.0,E. Gordon misses 2-pt shot from 5 ft,,32-45,,
6:09.0,Offensive rebound by R. Anderson,,32-45,,
6:08.0,R. Anderson makes 2-pt shot from 1 ft,2,34-45,,
5:51.0,,,34-45,,K. Oubre misses 2-pt shot from 2 ft
5:50.0,,,34-45,,Offensive rebound by I. Mahinmi
5:50.0,,,34-45,,Shooting foul by G. Green (drawn by I. Mahinmi)
5:50.0,,,34-46,1,I. Mahinmi makes free throw 1 of 2
5:50.0,,,34-46,,I. Mahinmi misses free throw 2 of 2
5:48.0,Defensive rebound by R. Anderson,,34-46,,
5:40.0,Turnover by J. Harden (bad pass; steal by J. Meeks),,34-46,,
5:35.0,,,34-46,,Turnover by J. Meeks (bad pass)
5:35.0,,,34-46,,M. Morris enters the game for I. Mahinmi
5:26.0,,,34-46,,Personal foul by K. Oubre (drawn by E. Gordon)
5:26.0,P. Tucker enters the game for G. Green,,34-46,,
5:12.0,R. Anderson makes 2-pt shot from 10 ft (assist by J. Harden),2,36-46,,
4:57.0,,,36-46,,Turnover by J. Meeks (turnover)
4:46.0,J. Harden makes 2-pt shot from 3 ft,2,38-46,,
4:46.0,Shooting foul by M. Morris (drawn by J. Harden),,38-46,,
4:46.0,,,38-46,,O. Porter enters the game for J. Meeks
4:46.0,J. Harden makes free throw 1 of 1,1,39-46,,
4:34.0,,,39-46,,B. Beal misses 2-pt shot from 10 ft
4:31.0,Defensive rebound by P. Tucker,,39-46,,
4:20.0,T. Ariza misses 3-pt shot from 25 ft,,39-46,,
4:16.0,,,39-46,,Defensive rebound by K. Oubre
4:14.0,Personal foul by T. Ariza (drawn by M. Morris),,39-46,,
4:14.0,,,39-47,1,M. Morris makes free throw 1 of 2
4:14.0,,,39-48,1,M. Morris makes free throw 2 of 2
4:03.0,E. Gordon makes 3-pt shot from 27 ft,3,42-48,,
3:45.0,,,42-51,3,B. Beal makes 3-pt shot from 24 ft (assist by J. Wall)
3:20.0,Turnover by E. Gordon (bad pass; steal by K. Oubre),,42-51,,
3:17.0,,,42-53,2,K. Oubre makes 2-pt shot from 1 ft
2:51.0,R. Anderson misses 3-pt shot from 22 ft,,42-53,,
2:47.0,,,42-53,,Defensive rebound by M. Morris
2:43.0,,,42-55,2,J. Wall makes 2-pt shot at rim
2:39.0,Houston full timeout,,42-55,,
2:39.0,T. Black enters the game for P. Tucker,,42-55,,
2:27.0,Turnover by J. Harden (bad pass; steal by J. Wall),,42-55,,
2:23.0,,,42-57,2,B. Beal makes 2-pt shot at rim (assist by J. Wall)
2:00.0,E. Gordon misses 3-pt shot from 28 ft,,42-57,,
1:56.0,Offensive rebound by T. Black,,42-57,,
1:55.0,T. Ariza misses 3-pt shot from 26 ft,,42-57,,
1:52.0,,,42-57,,Defensive rebound by M. Morris
1:30.0,,,42-57,,K. Oubre misses 3-pt shot from 24 ft
1:29.0,,,42-57,,Offensive rebound by Team
1:20.0,,,42-57,,K. Oubre misses 2-pt shot from 1 ft
1:18.0,Defensive rebound by R. Anderson,,42-57,,
1:04.0,R. Anderson misses 3-pt shot from 27 ft,,42-57,,
1:00.0,,,42-57,,Defensive rebound by M. Morris
0:54.0,,,42-57,,J. Wall misses 3-pt shot from 27 ft
0:52.0,Defensive rebound by T. Ariza,,42-57,,
0:43.0,J. Harden makes 2-pt shot from 1 ft,2,44-57,,
0:40.0,,,44-59,2,K. Oubre makes 2-pt shot at rim (assist by J. Wall)
0:27.0,Shooting foul by J. Wall (drawn by J. Harden),,44-59,,
0:27.0,J. Harden makes free throw 1 of 3,1,45-59,,
0:27.0,J. Harden misses free throw 2 of 3,,45-59,,
0:27.0,Offensive rebound by Team,,45-59,,
0:27.0,J. Harden makes free throw 3 of 3,1,46-59,,
0:10.0,,,46-59,,Turnover by J. Wall (bad pass; steal by T. Black)
0:07.0,,,46-59,,Personal foul by J. Wall (drawn by T. Black)
0:07.0,T. Black makes free throw 1 of 2,1,47-59,,
0:07.0,T. Black makes free throw 2 of 2,1,48-59,,
0:01.0,,,48-59,,K. Oubre misses 2-pt shot from 8 ft
0:00.0,Defensive rebound by T. Ariza,,48-59,,
0:00.0,T. Ariza misses 3-pt shot from 59 ft,,48-59,,
0:00.0,Offensive rebound by Team,,48-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,J. Harden makes 2-pt shot from 1 ft,2,50-59,,
11:29.0,,,50-59,,Turnover by M. Morris (bad pass)
11:22.0,R. Anderson misses 3-pt shot from 23 ft,,50-59,,
11:20.0,,,50-59,,Defensive rebound by O. Porter
11:09.0,,,50-61,2,B. Beal makes 2-pt shot from 2 ft
10:59.0,J. Harden makes 2-pt shot from 1 ft,2,52-61,,
10:36.0,,,52-64,3,B. Beal makes 3-pt shot from 23 ft (assist by M. Gortat)
10:27.0,Turnover by J. Harden (turnover),,52-64,,
10:08.0,,,52-64,,M. Gortat misses 2-pt shot from 7 ft
10:06.0,Defensive rebound by R. Anderson,,52-64,,
9:58.0,C. Paul makes 3-pt shot from 25 ft,3,55-64,,
9:35.0,,,55-64,,M. Morris misses 2-pt shot from 2 ft
9:32.0,Defensive rebound by R. Anderson,,55-64,,
9:20.0,T. Ariza misses 3-pt shot from 23 ft,,55-64,,
9:17.0,,,55-64,,Defensive rebound by M. Gortat
9:10.0,,,55-64,,Shooting foul by T. Black (drawn by J. Wall)
9:10.0,,,55-64,,J. Wall misses free throw 1 of 2
9:10.0,,,55-64,,Offensive rebound by Team
9:10.0,,,55-65,1,J. Wall makes free throw 2 of 2
8:57.0,T. Black makes 2-pt shot from 1 ft (assist by T. Ariza),2,57-65,,
8:43.0,,,57-65,,O. Porter misses 3-pt shot from 27 ft
8:39.0,Defensive rebound by T. Black,,57-65,,
8:16.0,J. Harden misses 3-pt shot from 25 ft,,57-65,,
8:12.0,,,57-65,,Defensive rebound by M. Gortat
8:03.0,,,57-67,2,J. Wall makes 2-pt shot from 2 ft
7:52.0,R. Anderson makes 3-pt shot from 27 ft (assist by C. Paul),3,60-67,,
7:37.0,,,60-67,,M. Morris misses 3-pt shot from 24 ft
7:33.0,Defensive rebound by T. Black,,60-67,,
7:24.0,J. Harden makes 2-pt shot from 5 ft (assist by C. Paul),2,62-67,,
7:23.0,,,62-67,,Washington full timeout
7:02.0,,,62-67,,B. Beal misses 2-pt shot from 20 ft
7:00.0,,,62-67,,Offensive rebound by M. Gortat
7:00.0,,,62-69,2,M. Gortat makes 2-pt shot at rim
6:44.0,T. Black makes 2-pt shot at rim (assist by C. Paul),2,64-69,,
6:29.0,Personal foul by T. Ariza (drawn by M. Morris),,64-69,,
6:20.0,,,64-69,,Offensive foul by M. Morris (drawn by J. Harden)
6:20.0,,,64-69,,Turnover by M. Morris (offensive foul)
6:00.0,R. Anderson misses 3-pt shot from 29 ft,,64-69,,
5:54.0,,,64-69,,Defensive rebound by B. Beal
5:51.0,,,64-69,,B. Beal misses 2-pt shot from 3 ft
5:48.0,Defensive rebound by T. Black,,64-69,,
5:37.0,T. Black misses 2-pt shot from 1 ft (block by M. Gortat),,64-69,,
5:35.0,,,64-69,,Defensive rebound by M. Gortat
5:32.0,,,64-69,,O. Porter misses 2-pt shot from 1 ft
5:32.0,Defensive rebound by R. Anderson,,64-69,,
5:10.0,J. Harden misses 3-pt shot from 25 ft,,64-69,,
5:09.0,,,64-69,,Defensive rebound by Team
4:56.0,,,64-69,,Turnover by J. Wall (lost ball; steal by T. Black)
4:44.0,J. Harden misses 2-pt shot from 9 ft,,64-69,,
4:42.0,,,64-69,,Defensive rebound by M. Morris
4:36.0,,,64-72,3,B. Beal makes 3-pt shot from 25 ft (assist by O. Porter)
4:34.0,Houston full timeout,,64-72,,
4:34.0,E. Gordon enters the game for T. Ariza,,64-72,,
4:34.0,P. Tucker enters the game for R. Anderson,,64-72,,
4:34.0,G. Green enters the game for C. Paul,,64-72,,
4:19.0,G. Green misses 3-pt shot from 23 ft,,64-72,,
4:14.0,Offensive rebound by T. Black,,64-72,,
4:02.0,,,64-72,,Violation by B. Beal (kicked ball)
3:50.0,E. Gordon makes 2-pt shot at rim,2,66-72,,
3:28.0,,,66-74,2,B. Beal makes 2-pt shot from 15 ft
3:14.0,Turnover by P. Tucker (bad pass; steal by O. Porter),,66-74,,
3:09.0,,,66-77,3,J. Wall makes 3-pt shot from 25 ft
2:58.0,Shooting foul by J. Wall (drawn by E. Gordon),,66-77,,
2:58.0,E. Gordon makes free throw 1 of 2,1,67-77,,
2:58.0,,,67-77,,I. Mahinmi enters the game for M. Morris
2:58.0,,,67-77,,K. Oubre enters the game for M. Gortat
2:58.0,E. Gordon makes free throw 2 of 2,1,68-77,,
2:46.0,,,68-77,,Turnover by J. Wall (lost ball; steal by J. Harden)
2:29.0,E. Gordon misses 3-pt shot from 29 ft,,68-77,,
2:28.0,,,68-77,,Defensive rebound by Team
2:18.0,,,68-79,2,B. Beal makes 2-pt shot from 1 ft
2:06.0,,,68-79,,J. Meeks enters the game for B. Beal
2:06.0,R. Anderson enters the game for T. Black,,68-79,,
1:55.0,G. Green makes 3-pt shot from 25 ft (assist by E. Gordon),3,71-79,,
1:37.0,,,71-82,3,O. Porter makes 3-pt shot from 26 ft (assist by J. Meeks)
1:17.0,J. Harden makes 2-pt shot at rim,2,73-82,,
1:01.0,,,73-84,2,J. Wall makes 2-pt shot from 16 ft
0:51.0,E. Gordon makes 3-pt shot from 26 ft (assist by J. Harden),3,76-84,,
0:42.0,,,76-84,,J. Meeks misses 3-pt shot from 28 ft
0:38.0,Defensive rebound by G. Green,,76-84,,
0:31.0,J. Harden misses 3-pt shot from 28 ft,,76-84,,
0:27.0,,,76-84,,Defensive rebound by J. Meeks
0:21.0,,,76-84,,J. Meeks misses 3-pt shot from 24 ft
0:18.0,,,76-84,,Offensive rebound by I. Mahinmi
0:15.0,,,76-87,3,K. Oubre makes 3-pt shot from 23 ft (assist by O. Porter)
0:00.0,J. Harden misses 2-pt shot from 1 ft (block by O. Porter),,76-87,,
0:00.0,Offensive rebound by Team,,76-87,,
0:00.0,,,76-87,,T. Satoransky enters the game for J. Wall
0:00.0,G. Green makes 2-pt shot at rim (assist by J. Harden),2,78-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,78-87,,K. Oubre misses 2-pt shot from 1 ft
11:37.0,,,78-87,,Offensive rebound by K. Oubre
11:36.0,,,78-89,2,K. Oubre makes 2-pt shot from 1 ft
11:16.0,E. Gordon makes 2-pt shot from 5 ft,2,80-89,,
10:55.0,,,80-89,,Turnover by K. Oubre (lost ball; steal by G. Green)
10:47.0,T. Ariza misses 3-pt shot from 25 ft,,80-89,,
10:44.0,,,80-89,,Defensive rebound by I. Mahinmi
10:31.0,Personal foul by C. Paul (drawn by O. Porter),,80-89,,
10:24.0,,,80-91,2,I. Mahinmi makes 2-pt shot from 2 ft
10:06.0,E. Gordon misses 3-pt shot from 27 ft,,80-91,,
10:02.0,,,80-91,,Defensive rebound by J. Meeks
9:42.0,,,80-94,3,K. Oubre makes 3-pt shot from 25 ft
9:29.0,Shooting foul by K. Oubre (drawn by R. Anderson),,80-94,,
9:29.0,R. Anderson makes free throw 1 of 2,1,81-94,,
9:29.0,R. Anderson makes free throw 2 of 2,1,82-94,,
9:21.0,,,82-94,,J. Meeks misses 3-pt shot from 26 ft
9:17.0,,,82-94,,Offensive rebound by T. Satoransky
9:15.0,,,82-97,3,K. Oubre makes 3-pt shot from 25 ft (assist by T. Satoransky)
8:50.0,C. Paul misses 3-pt shot from 26 ft,,82-97,,
8:48.0,,,82-97,,Defensive rebound by T. Satoransky
8:40.0,,,82-97,,Turnover by J. Meeks (lost ball; steal by C. Paul)
8:36.0,C. Paul misses 2-pt shot from 1 ft (block by T. Satoransky),,82-97,,
8:36.0,Offensive rebound by Team,,82-97,,
8:36.0,T. Black enters the game for T. Ariza,,82-97,,
8:33.0,,,82-97,,Personal foul by I. Mahinmi (drawn by E. Gordon)
8:23.0,C. Paul misses 2-pt shot from 15 ft,,82-97,,
8:19.0,,,82-97,,Defensive rebound by O. Porter
8:02.0,,,82-100,3,O. Porter makes 3-pt shot from 25 ft (assist by T. Satoransky)
7:47.0,G. Green makes 3-pt shot from 25 ft (assist by C. Paul),3,85-100,,
7:46.0,,,85-100,,Washington full timeout
7:46.0,,,85-100,,B. Beal enters the game for J. Meeks
7:22.0,,,85-100,,B. Beal misses 2-pt shot from 17 ft
7:22.0,,,85-100,,Offensive rebound by Team
7:22.0,,,85-100,,Turnover by Team (shot clock)
7:22.0,,,85-100,,J. Wall enters the game for T. Satoransky
7:12.0,Turnover by C. Paul (lost ball; steal by K. Oubre),,85-100,,
7:10.0,,,85-102,2,K. Oubre makes 2-pt shot from 2 ft (assist by O. Porter)
6:57.0,C. Paul misses 2-pt shot from 6 ft,,85-102,,
6:54.0,Offensive rebound by T. Black,,85-102,,
6:41.0,C. Paul misses 2-pt shot from 13 ft,,85-102,,
6:37.0,,,85-102,,Defensive rebound by O. Porter
6:27.0,,,85-102,,B. Beal misses 3-pt shot from 26 ft
6:23.0,,,85-102,,Offensive rebound by K. Oubre
6:22.0,,,85-105,3,O. Porter makes 3-pt shot from 27 ft (assist by K. Oubre)
6:20.0,Houston full timeout,,85-105,,
6:20.0,B. Weber enters the game for C. Paul,,85-105,,
6:20.0,B. Brown enters the game for E. Gordon,,85-105,,
6:20.0,Z. Qi enters the game for R. Anderson,,85-105,,
6:13.0,,,85-105,,Personal foul by K. Oubre (drawn by G. Green)
6:07.0,G. Green misses 2-pt shot from 6 ft (block by I. Mahinmi),,85-105,,
6:04.0,,,85-105,,Defensive rebound by J. Wall
5:49.0,,,85-108,3,O. Porter makes 3-pt shot from 25 ft
5:36.0,Turnover by B. Weber (bad pass; steal by O. Porter),,85-108,,
5:19.0,,,85-108,,Offensive foul by I. Mahinmi (drawn by Z. Qi)
5:19.0,,,85-108,,Turnover by I. Mahinmi (offensive foul)
5:01.0,Turnover by B. Brown (lost ball; steal by J. Wall),,85-108,,
4:52.0,,,85-111,3,J. Wall makes 3-pt shot from 26 ft
4:35.0,Turnover by T. Black (lost ball; steal by J. Wall),,85-111,,
4:30.0,,,85-111,,Turnover by J. Wall (bad pass; steal by B. Brown)
4:27.0,B. Brown misses 3-pt shot from 26 ft,,85-111,,
4:24.0,,,85-111,,Defensive rebound by Team
4:24.0,,,85-111,,C. McCullough enters the game for J. Wall
4:24.0,,,85-111,,T. Satoransky enters the game for B. Beal
4:24.0,,,85-111,,J. Meeks enters the game for O. Porter
3:59.0,,,85-111,,J. Meeks misses 2-pt shot from 9 ft
3:55.0,,,85-111,,Offensive rebound by C. McCullough
3:55.0,,,85-113,2,C. McCullough makes 2-pt shot at rim
3:47.0,B. Weber makes 3-pt shot from 25 ft,3,88-113,,
3:29.0,,,88-113,,K. Oubre misses 3-pt shot from 27 ft
3:26.0,Defensive rebound by T. Black,,88-113,,
3:20.0,Turnover by B. Weber (lost ball; steal by K. Oubre),,88-113,,
3:14.0,,,88-113,,K. Oubre misses 2-pt shot at rim
3:12.0,,,88-113,,Offensive rebound by T. Satoransky
3:09.0,,,88-113,,Turnover by T. Satoransky (lost ball; steal by B. Weber)
3:02.0,Turnover by B. Weber (lost ball; steal by I. Mahinmi),,88-113,,
2:51.0,,,88-113,,Shooting foul by Z. Qi (drawn by J. Meeks)
2:51.0,,,88-113,,J. Meeks misses free throw 1 of 2
2:51.0,,,88-113,,Offensive rebound by Team
2:51.0,,,88-113,,J. Smith enters the game for K. Oubre
2:51.0,,,88-113,,T. Frazier enters the game for I. Mahinmi
2:51.0,,,88-114,1,J. Meeks makes free throw 2 of 2
2:44.0,B. Brown misses 3-pt shot from 27 ft,,88-114,,
2:41.0,,,88-114,,Defensive rebound by C. McCullough
2:23.0,,,88-116,2,T. Satoransky makes 2-pt shot from 9 ft
2:13.0,B. Weber makes 3-pt shot from 24 ft,3,91-116,,
1:59.0,,,91-116,,C. McCullough misses 2-pt shot from 3 ft
1:56.0,Defensive rebound by T. Black,,91-116,,
1:53.0,G. Green makes 3-pt shot from 25 ft (assist by B. Brown),3,94-116,,
1:41.0,,,94-118,2,C. McCullough makes 2-pt shot from 17 ft (assist by T. Frazier)
1:33.0,Z. Qi misses 3-pt shot from 30 ft,,94-118,,
1:33.0,,,94-118,,Defensive rebound by J. Meeks
1:25.0,,,94-121,3,J. Meeks makes 3-pt shot from 26 ft (assist by T. Frazier)
1:05.0,B. Brown makes 2-pt shot at rim,2,96-121,,
0:53.0,,,96-121,,J. Smith misses 2-pt shot from 3 ft (block by T. Black)
0:52.0,,,96-121,,Offensive rebound by Team
0:41.0,,,96-121,,Turnover by Team (shot clock)
0:31.0,B. Brown makes 2-pt shot from 1 ft,2,98-121,,
0:19.0,,,98-121,,J. Smith misses 2-pt shot from 21 ft
0:15.0,Defensive rebound by T. Black,,98-121,,
0:10.0,Shooting foul by J. Smith (drawn by G. Green),,98-121,,
0:10.0,G. Green makes free throw 1 of 2,1,99-121,,
0:10.0,G. Green makes free throw 2 of 2,1,100-121,,
0:01.0,,,100-121,,Turnover by T. Satoransky (lost ball; steal by B. Weber)
