time,Detroit,pts.away,score,pts.home,Brooklyn
5:53.0,,,18-15,,Defensive rebound by J. Allen
5:36.0,,,18-15,,D. Russell misses 3-pt shot from 25 ft
5:34.0,Defensive rebound by R. Bullock,,18-15,,
5:24.0,Turnover by R. Jackson (bad pass; steal by D. Russell),,18-15,,
5:21.0,,,18-17,2,D. Russell makes 2-pt shot at rim
5:05.0,R. Jackson misses 2-pt shot from 2 ft,,18-17,,
5:05.0,Offensive rebound by Team,,18-17,,
5:05.0,Turnover by A. Drummond (offensive goaltending),,18-17,,
5:05.0,,,18-17,,D. Cunningham enters the game for D. Carroll
5:05.0,,,18-17,,S. Dinwiddie enters the game for J. Allen
5:05.0,H. Ellenson enters the game for A. Tolliver,,18-17,,
5:05.0,I. Smith enters the game for R. Jackson,,18-17,,
4:53.0,,,18-19,2,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by D. Russell)
4:41.0,R. Bullock misses 3-pt shot from 25 ft,,18-19,,
4:38.0,,,18-19,,Defensive rebound by R. Hollis-Jefferson
4:33.0,,,18-19,,D. Cunningham misses 3-pt shot from 22 ft
4:28.0,Defensive rebound by H. Ellenson,,18-19,,
4:26.0,,,18-19,,Personal foul by R. Hollis-Jefferson (drawn by A. Drummond)
4:26.0,,,18-19,,J. Harris enters the game for A. Crabbe
4:26.0,L. Kennard enters the game for R. Bullock,,18-19,,
4:17.0,I. Smith makes 2-pt shot from 14 ft,2,20-19,,
4:02.0,,,20-19,,Turnover by J. Harris (bad pass; steal by I. Smith)
4:02.0,,,20-19,,Personal foul by D. Russell (drawn by I. Smith)
4:02.0,I. Smith makes free throw 1 of 2,1,21-19,,
4:02.0,,,21-19,,C. LeVert enters the game for D. Russell
4:02.0,I. Smith misses free throw 2 of 2,,21-19,,
4:00.0,,,21-19,,Defensive rebound by R. Hollis-Jefferson
3:51.0,,,21-19,,D. Cunningham misses 3-pt shot from 23 ft
3:48.0,Defensive rebound by A. Drummond,,21-19,,
3:36.0,L. Kennard misses 2-pt shot from 20 ft,,21-19,,
3:36.0,,,21-19,,Defensive rebound by Team
3:36.0,Personal foul by A. Drummond (drawn by R. Hollis-Jefferson),,21-19,,
3:36.0,E. Moreland enters the game for A. Drummond,,21-19,,
3:23.0,,,21-21,2,D. Cunningham makes 2-pt shot from 1 ft (assist by R. Hollis-Jefferson)
3:07.0,L. Kennard makes 3-pt shot from 25 ft (assist by H. Ellenson),3,24-21,,
2:41.0,,,24-23,2,J. Harris makes 2-pt shot from 2 ft (assist by C. LeVert)
2:26.0,L. Kennard misses 2-pt shot from 16 ft,,24-23,,
2:23.0,,,24-23,,Defensive rebound by J. Harris
2:16.0,,,24-25,2,R. Hollis-Jefferson makes 2-pt shot from 2 ft
2:04.0,I. Smith makes 2-pt shot from 9 ft,2,26-25,,
2:04.0,,,26-25,,Brooklyn full timeout
2:04.0,,,26-25,,D. Carroll enters the game for R. Hollis-Jefferson
1:45.0,,,26-25,,S. Dinwiddie misses 3-pt shot from 27 ft
1:41.0,Defensive rebound by S. Johnson,,26-25,,
1:37.0,S. Johnson makes 2-pt shot from 2 ft,2,28-25,,
1:14.0,,,28-28,3,D. Cunningham makes 3-pt shot from 26 ft (assist by C. LeVert)
0:58.0,Shooting foul by D. Cunningham (drawn by L. Kennard),,28-28,,
0:58.0,L. Kennard makes free throw 1 of 2,1,29-28,,
0:58.0,L. Kennard makes free throw 2 of 2,1,30-28,,
0:44.0,,,30-28,,D. Carroll misses 2-pt shot from 18 ft
0:41.0,Defensive rebound by E. Moreland,,30-28,,
0:30.0,H. Ellenson misses 2-pt shot from 13 ft,,30-28,,
0:27.0,Offensive rebound by E. Moreland,,30-28,,
0:15.0,I. Smith makes 3-pt shot from 26 ft,3,33-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,R. Jackson makes 2-pt shot from 7 ft,2,35-28,,
11:23.0,,,35-30,2,S. Dinwiddie makes 2-pt shot from 1 ft
11:12.0,Offensive foul by E. Moreland (drawn by C. LeVert),,35-30,,
11:12.0,Turnover by E. Moreland (offensive foul),,35-30,,
10:54.0,,,35-30,,Turnover by D. Carroll (bad pass)
10:41.0,L. Kennard misses 2-pt shot from 2 ft,,35-30,,
10:34.0,Offensive rebound by R. Bullock,,35-30,,
10:24.0,E. Moreland misses 2-pt shot from 2 ft (block by J. Allen),,35-30,,
10:21.0,,,35-30,,Defensive rebound by S. Dinwiddie
10:18.0,,,35-30,,J. Allen misses 2-pt shot from 1 ft
10:18.0,Defensive rebound by Team,,35-30,,
10:09.0,,,35-30,,Personal foul by C. LeVert (drawn by R. Jackson)
10:03.0,R. Jackson misses 2-pt shot from 14 ft,,35-30,,
10:00.0,Offensive rebound by R. Bullock,,35-30,,
9:57.0,H. Ellenson misses 3-pt shot from 28 ft,,35-30,,
9:55.0,,,35-30,,Defensive rebound by J. Allen
9:43.0,,,35-30,,Turnover by C. LeVert (bad pass; steal by E. Moreland)
9:34.0,R. Jackson misses 2-pt shot from 20 ft,,35-30,,
9:32.0,,,35-30,,Defensive rebound by J. Harris
9:25.0,,,35-32,2,J. Harris makes 2-pt shot from 2 ft
9:07.0,L. Kennard misses 2-pt shot from 4 ft,,35-32,,
9:03.0,,,35-32,,Defensive rebound by S. Dinwiddie
9:01.0,,,35-35,3,D. Carroll makes 3-pt shot from 24 ft (assist by S. Dinwiddie)
8:51.0,Detroit full timeout,,35-35,,
8:51.0,A. Tolliver enters the game for H. Ellenson,,35-35,,
8:33.0,E. Moreland makes 2-pt shot at rim (assist by A. Tolliver),2,37-35,,
8:10.0,,,37-35,,J. Harris misses 3-pt shot from 24 ft
8:07.0,Defensive rebound by A. Tolliver,,37-35,,
7:54.0,E. Moreland misses 2-pt shot from 11 ft,,37-35,,
7:50.0,,,37-35,,Defensive rebound by S. Dinwiddie
7:39.0,,,37-35,,D. Carroll misses 3-pt shot from 23 ft
7:37.0,Defensive rebound by A. Tolliver,,37-35,,
7:20.0,R. Jackson misses 2-pt shot from 11 ft,,37-35,,
7:17.0,,,37-35,,Defensive rebound by S. Dinwiddie
7:11.0,,,37-35,,J. Harris misses 3-pt shot from 25 ft
7:07.0,Defensive rebound by A. Tolliver,,37-35,,
7:01.0,E. Moreland makes 2-pt shot at rim (assist by L. Kennard),2,39-35,,
6:55.0,,,39-35,,Brooklyn full timeout
6:55.0,,,39-35,,D. Russell enters the game for S. Dinwiddie
6:55.0,,,39-35,,R. Hollis-Jefferson enters the game for D. Carroll
6:55.0,,,39-35,,A. Crabbe enters the game for J. Harris
6:55.0,A. Drummond enters the game for E. Moreland,,39-35,,
6:40.0,,,39-35,,C. LeVert misses 2-pt shot from 8 ft
6:37.0,Defensive rebound by A. Drummond,,39-35,,
6:30.0,Shooting foul by D. Russell (drawn by R. Jackson),,39-35,,
6:30.0,R. Jackson makes free throw 1 of 2,1,40-35,,
6:30.0,R. Jackson makes free throw 2 of 2,1,41-35,,
6:20.0,,,41-35,,A. Crabbe misses 3-pt shot from 25 ft
6:17.0,Defensive rebound by A. Tolliver,,41-35,,
6:08.0,Turnover by R. Jackson (bad pass; steal by R. Hollis-Jefferson),,41-35,,
6:04.0,,,41-37,2,C. LeVert makes 2-pt shot at rim (assist by D. Russell)
5:44.0,A. Tolliver misses 2-pt shot from 1 ft,,41-37,,
5:44.0,,,41-37,,Defensive rebound by Team
5:44.0,,,41-37,,D. Cunningham enters the game for J. Allen
5:44.0,S. Johnson enters the game for L. Kennard,,41-37,,
5:34.0,,,41-37,,Shooting foul by A. Tolliver (drawn by R. Hollis-Jefferson)
5:34.0,,,41-38,1,R. Hollis-Jefferson makes free throw 1 of 2
5:34.0,I. Smith enters the game for R. Jackson,,41-38,,
5:34.0,,,41-39,1,R. Hollis-Jefferson makes free throw 2 of 2
5:23.0,,,41-39,,Personal foul by A. Crabbe (drawn by R. Bullock)
5:09.0,S. Johnson misses 2-pt shot from 14 ft,,41-39,,
5:06.0,,,41-39,,Defensive rebound by D. Russell
4:58.0,,,41-42,3,D. Cunningham makes 3-pt shot from 23 ft (assist by R. Hollis-Jefferson)
4:39.0,A. Drummond makes 2-pt shot from 1 ft (assist by S. Johnson),2,43-42,,
4:13.0,,,43-42,,R. Hollis-Jefferson misses 2-pt shot from 16 ft
4:10.0,Defensive rebound by I. Smith,,43-42,,
3:52.0,A. Drummond makes 2-pt shot from 1 ft (assist by S. Johnson),2,45-42,,
3:33.0,,,45-45,3,D. Russell makes 3-pt shot from 26 ft (assist by D. Cunningham)
3:21.0,A. Tolliver makes 3-pt shot from 26 ft (assist by I. Smith),3,48-45,,
3:04.0,,,48-45,,R. Hollis-Jefferson misses 2-pt shot from 7 ft
3:01.0,Defensive rebound by R. Bullock,,48-45,,
2:54.0,R. Bullock makes 3-pt shot from 25 ft (assist by I. Smith),3,51-45,,
2:29.0,,,51-45,,C. LeVert misses 3-pt shot from 26 ft
2:26.0,Defensive rebound by A. Drummond,,51-45,,
2:21.0,I. Smith makes 3-pt shot from 25 ft,3,54-45,,
2:19.0,,,54-45,,Brooklyn full timeout
2:19.0,,,54-45,,J. Harris enters the game for C. LeVert
2:19.0,H. Ellenson enters the game for A. Drummond,,54-45,,
2:19.0,L. Kennard enters the game for R. Bullock,,54-45,,
2:19.0,E. Moreland enters the game for A. Tolliver,,54-45,,
2:10.0,,,54-45,,D. Russell misses 3-pt shot from 25 ft
2:07.0,Defensive rebound by E. Moreland,,54-45,,
2:01.0,I. Smith makes 2-pt shot from 1 ft,2,56-45,,
1:36.0,,,56-45,,Turnover by J. Harris (bad pass; steal by S. Johnson)
1:31.0,I. Smith makes 2-pt shot from 1 ft (assist by S. Johnson),2,58-45,,
1:16.0,,,58-48,3,J. Harris makes 3-pt shot from 26 ft (assist by D. Russell)
0:53.0,S. Johnson misses 2-pt shot from 12 ft,,58-48,,
0:49.0,,,58-48,,Defensive rebound by R. Hollis-Jefferson
0:47.0,,,58-48,,D. Russell misses 3-pt shot from 25 ft
0:43.0,Defensive rebound by E. Moreland,,58-48,,
0:34.0,H. Ellenson makes 2-pt shot from 5 ft,2,60-48,,
0:19.0,,,60-48,,J. Harris misses 2-pt shot from 3 ft
0:18.0,Defensive rebound by H. Ellenson,,60-48,,
0:02.0,I. Smith makes 2-pt shot at rim,2,62-48,,
0:00.0,,,62-48,,D. Russell misses 2-pt shot from 4 ft
0:00.0,,,62-48,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,R. Bullock misses 2-pt shot from 5 ft,,62-48,,
11:41.0,,,62-48,,Defensive rebound by A. Crabbe
11:31.0,,,62-48,,A. Crabbe misses 2-pt shot from 7 ft
11:28.0,Defensive rebound by A. Drummond,,62-48,,
11:21.0,,,62-48,,Def 3 sec tech foul by J. Allen
11:21.0,R. Jackson makes technical free throw,1,63-48,,
11:14.0,R. Jackson misses 2-pt shot from 11 ft (block by D. Russell),,63-48,,
11:10.0,,,63-48,,Defensive rebound by D. Carroll
11:07.0,,,63-48,,J. Allen misses 2-pt shot from 9 ft
11:07.0,Defensive rebound by R. Jackson,,63-48,,
10:56.0,R. Bullock misses 3-pt shot from 22 ft,,63-48,,
10:56.0,,,63-48,,Defensive rebound by A. Crabbe
10:48.0,,,63-50,2,D. Carroll makes 2-pt shot from 1 ft
10:48.0,,,63-50,,Shooting foul by R. Bullock (drawn by D. Carroll)
10:48.0,,,63-51,1,D. Carroll makes free throw 1 of 1
10:23.0,A. Drummond misses 2-pt shot from 8 ft,,63-51,,
10:23.0,Offensive rebound by A. Tolliver,,63-51,,
10:23.0,Turnover by Team (shot clock),,63-51,,
10:15.0,Personal foul by R. Jackson (drawn by D. Russell),,63-51,,
10:11.0,Personal foul by S. Johnson (drawn by D. Carroll),,63-51,,
10:08.0,Personal foul by R. Jackson (drawn by D. Russell),,63-51,,
9:58.0,,,63-53,2,D. Russell makes 2-pt shot from 4 ft
9:33.0,Shooting foul by J. Allen (drawn by A. Drummond),,63-53,,
9:33.0,A. Drummond makes free throw 1 of 2,1,64-53,,
9:33.0,A. Drummond misses free throw 2 of 2,,64-53,,
9:30.0,,,64-53,,Defensive rebound by R. Hollis-Jefferson
9:14.0,,,64-55,2,R. Hollis-Jefferson makes 2-pt shot at rim (assist by D. Carroll)
9:03.0,,,64-55,,Personal foul by A. Crabbe (drawn by R. Bullock)
8:51.0,S. Johnson makes 3-pt shot from 24 ft,3,67-55,,
8:29.0,,,67-55,,D. Russell misses 3-pt shot from 26 ft
8:25.0,Defensive rebound by R. Jackson,,67-55,,
8:18.0,R. Jackson makes 2-pt shot from 17 ft,2,69-55,,
8:17.0,,,69-55,,Brooklyn full timeout
8:17.0,,,69-55,,J. Harris enters the game for A. Crabbe
7:55.0,,,69-57,2,J. Allen makes 2-pt shot from 5 ft
7:38.0,S. Johnson makes 2-pt shot from 19 ft,2,71-57,,
7:18.0,,,71-57,,D. Carroll misses 2-pt shot from 2 ft
7:17.0,Defensive rebound by A. Drummond,,71-57,,
7:12.0,R. Bullock misses 3-pt shot from 25 ft,,71-57,,
7:08.0,Offensive rebound by A. Tolliver,,71-57,,
6:57.0,R. Jackson makes 2-pt shot from 3 ft,2,73-57,,
6:52.0,,,73-57,,Offensive foul by J. Allen (drawn by R. Jackson)
6:52.0,,,73-57,,Turnover by J. Allen (offensive foul)
6:52.0,,,73-57,,D. Cunningham enters the game for D. Carroll
6:52.0,,,73-57,,S. Dinwiddie enters the game for J. Allen
6:42.0,A. Tolliver misses 3-pt shot from 25 ft,,73-57,,
6:39.0,,,73-57,,Defensive rebound by J. Harris
6:31.0,,,73-59,2,J. Harris makes 2-pt shot at rim
6:19.0,R. Jackson makes 2-pt shot from 6 ft,2,75-59,,
6:01.0,,,75-59,,Turnover by D. Russell (bad pass; steal by A. Tolliver)
5:44.0,A. Tolliver makes 2-pt shot from 2 ft (assist by R. Jackson),2,77-59,,
5:44.0,Shooting foul by D. Cunningham (drawn by A. Tolliver),,77-59,,
5:44.0,,,77-59,,C. LeVert enters the game for D. Russell
5:44.0,A. Tolliver misses free throw 1 of 1,,77-59,,
5:44.0,,,77-59,,Defensive rebound by R. Hollis-Jefferson
5:30.0,,,77-61,2,R. Hollis-Jefferson makes 2-pt shot from 11 ft
5:30.0,,,77-61,,Shooting foul by S. Johnson (drawn by R. Hollis-Jefferson)
5:30.0,,,77-61,,R. Hollis-Jefferson misses free throw 1 of 1
5:28.0,Defensive rebound by A. Tolliver,,77-61,,
5:15.0,R. Bullock misses 2-pt shot from 13 ft,,77-61,,
5:11.0,,,77-61,,Defensive rebound by R. Hollis-Jefferson
4:55.0,,,77-61,,C. LeVert misses 3-pt shot from 25 ft
4:53.0,Defensive rebound by A. Drummond,,77-61,,
4:46.0,Shooting foul by S. Dinwiddie (drawn by R. Jackson),,77-61,,
4:46.0,R. Jackson misses free throw 1 of 3,,77-61,,
4:46.0,Offensive rebound by Team,,77-61,,
4:46.0,R. Jackson makes free throw 2 of 3,1,78-61,,
4:46.0,,,78-61,,N. Stauskas enters the game for S. Dinwiddie
4:46.0,,,78-61,,Q. Acy enters the game for R. Hollis-Jefferson
4:46.0,L. Kennard enters the game for R. Bullock,,78-61,,
4:46.0,H. Ellenson enters the game for A. Tolliver,,78-61,,
4:46.0,R. Jackson makes free throw 3 of 3,1,79-61,,
4:29.0,,,79-61,,Q. Acy misses 2-pt shot from 3 ft
4:25.0,,,79-61,,Offensive rebound by J. Harris
4:22.0,,,79-61,,C. LeVert misses 3-pt shot from 25 ft
4:20.0,Defensive rebound by A. Drummond,,79-61,,
4:12.0,Shooting foul by Q. Acy (drawn by A. Drummond),,79-61,,
4:12.0,A. Drummond makes free throw 1 of 2,1,80-61,,
4:12.0,I. Smith enters the game for R. Jackson,,80-61,,
4:12.0,A. Drummond makes free throw 2 of 2,1,81-61,,
3:56.0,,,81-63,2,J. Harris makes 2-pt shot from 1 ft
3:35.0,A. Drummond makes 2-pt shot from 1 ft (assist by L. Kennard),2,83-63,,
3:15.0,,,83-63,,Q. Acy misses 3-pt shot from 25 ft
3:14.0,,,83-63,,Offensive rebound by Team
3:14.0,Personal foul by L. Kennard (drawn by D. Cunningham),,83-63,,
3:14.0,,,83-64,1,D. Cunningham makes free throw 1 of 2
3:14.0,,,83-64,,D. Cunningham misses free throw 2 of 2
3:12.0,Defensive rebound by A. Drummond,,83-64,,
2:55.0,S. Johnson misses 3-pt shot from 25 ft,,83-64,,
2:52.0,,,83-64,,Defensive rebound by D. Cunningham
2:38.0,,,83-67,3,N. Stauskas makes 3-pt shot from 23 ft (assist by J. Harris)
2:20.0,Turnover by S. Johnson (bad pass),,83-67,,
2:20.0,Detroit full timeout,,83-67,,
2:20.0,,,83-67,,J. Allen enters the game for D. Cunningham
2:06.0,,,83-67,,Q. Acy misses 3-pt shot from 24 ft
2:01.0,Defensive rebound by S. Johnson,,83-67,,
1:42.0,S. Johnson misses 2-pt shot from 3 ft (block by J. Allen),,83-67,,
1:41.0,Offensive rebound by Team,,83-67,,
1:41.0,H. Ellenson misses 3-pt shot from 23 ft,,83-67,,
1:34.0,,,83-67,,Defensive rebound by N. Stauskas
1:20.0,,,83-67,,Turnover by J. Harris (out of bounds lost ball)
1:08.0,L. Kennard misses 2-pt shot from 3 ft (block by J. Allen),,83-67,,
1:05.0,,,83-67,,Defensive rebound by J. Allen
1:02.0,,,83-70,3,J. Harris makes 3-pt shot from 22 ft (assist by C. LeVert)
0:38.0,H. Ellenson misses 2-pt shot from 1 ft,,83-70,,
0:36.0,,,83-70,,Defensive rebound by Q. Acy
0:33.0,,,83-70,,Q. Acy misses 3-pt shot from 25 ft
0:30.0,Defensive rebound by A. Drummond,,83-70,,
0:21.0,I. Smith misses 2-pt shot from 7 ft,,83-70,,
0:18.0,,,83-70,,Defensive rebound by J. Harris
0:18.0,A. Tolliver enters the game for A. Drummond,,83-70,,
0:18.0,E. Moreland enters the game for H. Ellenson,,83-70,,
0:18.0,,,83-70,,D. Carroll enters the game for Q. Acy
0:00.0,,,83-70,,D. Carroll misses 2-pt shot from 7 ft (block by L. Kennard)
0:00.0,Defensive rebound by L. Kennard,,83-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,83-70,,Shooting foul by L. Kennard (drawn by J. Allen)
11:49.0,,,83-71,1,J. Allen makes free throw 1 of 2
11:49.0,,,83-71,,J. Allen misses free throw 2 of 2
11:47.0,Defensive rebound by E. Moreland,,83-71,,
11:32.0,Turnover by L. Kennard (bad pass),,83-71,,
11:22.0,,,83-71,,N. Stauskas misses 3-pt shot from 23 ft
11:18.0,Defensive rebound by A. Tolliver,,83-71,,
11:03.0,A. Tolliver misses 3-pt shot from 22 ft,,83-71,,
11:02.0,,,83-71,,Defensive rebound by Team
11:02.0,Personal foul by E. Moreland,,83-71,,
11:02.0,Technical foul by E. Moreland,,83-71,,
11:02.0,,,83-72,1,J. Harris makes technical free throw
10:52.0,Personal foul by E. Moreland (drawn by C. LeVert),,83-72,,
10:45.0,,,83-75,3,D. Carroll makes 3-pt shot from 23 ft (assist by C. LeVert)
10:44.0,Detroit full timeout,,83-75,,
10:44.0,R. Jackson enters the game for I. Smith,,83-75,,
10:28.0,L. Kennard makes 2-pt shot from 18 ft (assist by E. Moreland),2,85-75,,
10:11.0,,,85-78,3,J. Allen makes 3-pt shot from 22 ft (assist by C. LeVert)
9:47.0,L. Kennard misses 2-pt shot from 9 ft,,85-78,,
9:44.0,,,85-78,,Defensive rebound by D. Carroll
9:40.0,,,85-78,,C. LeVert misses 3-pt shot from 25 ft
9:36.0,Defensive rebound by Team,,85-78,,
9:25.0,R. Jackson misses 2-pt shot from 16 ft,,85-78,,
9:22.0,,,85-78,,Defensive rebound by D. Carroll
9:05.0,,,85-78,,D. Carroll misses 3-pt shot from 25 ft
9:01.0,Defensive rebound by E. Moreland,,85-78,,
8:51.0,R. Jackson makes 2-pt shot from 9 ft,2,87-78,,
8:27.0,,,87-78,,D. Carroll misses 3-pt shot from 22 ft
8:23.0,Defensive rebound by R. Jackson,,87-78,,
8:15.0,R. Jackson makes 2-pt shot from 14 ft,2,89-78,,
8:02.0,,,89-78,,J. Harris misses 3-pt shot from 23 ft
7:57.0,Defensive rebound by A. Tolliver,,89-78,,
7:51.0,L. Kennard misses 3-pt shot from 22 ft,,89-78,,
7:48.0,,,89-78,,Defensive rebound by C. LeVert
7:27.0,,,89-78,,D. Carroll misses 2-pt shot from 1 ft
7:25.0,Defensive rebound by E. Moreland,,89-78,,
7:11.0,R. Jackson misses 2-pt shot from 17 ft,,89-78,,
7:08.0,,,89-78,,Defensive rebound by N. Stauskas
6:56.0,,,89-78,,Turnover by C. LeVert (bad pass; steal by A. Tolliver)
6:44.0,Turnover by R. Jackson (lost ball; steal by C. LeVert),,89-78,,
6:42.0,,,89-80,2,C. LeVert makes 2-pt shot from 1 ft
6:42.0,,,89-80,,Shooting foul by R. Bullock (drawn by C. LeVert)
6:42.0,,,89-80,,D. Russell enters the game for N. Stauskas
6:42.0,,,89-80,,R. Hollis-Jefferson enters the game for D. Carroll
6:42.0,,,89-80,,D. Cunningham enters the game for J. Allen
6:42.0,,,89-81,1,C. LeVert makes free throw 1 of 1
6:28.0,L. Kennard makes 2-pt shot from 2 ft (assist by E. Moreland),2,91-81,,
6:15.0,,,91-81,,D. Russell misses 3-pt shot from 25 ft
6:11.0,Defensive rebound by E. Moreland,,91-81,,
6:04.0,R. Bullock misses 3-pt shot from 25 ft,,91-81,,
6:02.0,,,91-81,,Defensive rebound by D. Russell
5:37.0,,,91-81,,D. Cunningham misses 2-pt shot from 6 ft
5:35.0,,,91-81,,Offensive rebound by R. Hollis-Jefferson
5:28.0,,,91-81,,J. Harris misses 3-pt shot from 25 ft
5:25.0,Defensive rebound by A. Tolliver,,91-81,,
5:07.0,R. Jackson misses 2-pt shot from 22 ft,,91-81,,
5:06.0,,,91-81,,Defensive rebound by Team
5:06.0,,,91-81,,Brooklyn full timeout
5:06.0,,,91-81,,A. Crabbe enters the game for J. Harris
5:06.0,,,91-81,,N. Stauskas enters the game for C. LeVert
5:06.0,S. Johnson enters the game for L. Kennard,,91-81,,
4:56.0,,,91-81,,R. Hollis-Jefferson misses 2-pt shot from 2 ft (block by E. Moreland)
4:53.0,Defensive rebound by S. Johnson,,91-81,,
4:51.0,Shooting foul by N. Stauskas (drawn by S. Johnson),,91-81,,
4:51.0,S. Johnson misses free throw 1 of 2,,91-81,,
4:51.0,Offensive rebound by Team,,91-81,,
4:51.0,,,91-81,,C. LeVert enters the game for D. Cunningham
4:51.0,,,91-81,,J. Allen enters the game for N. Stauskas
4:51.0,S. Johnson misses free throw 2 of 2,,91-81,,
4:48.0,,,91-81,,Defensive rebound by A. Crabbe
4:36.0,,,91-81,,D. Russell misses 2-pt shot from 11 ft
4:34.0,Defensive rebound by A. Tolliver,,91-81,,
4:11.0,S. Johnson misses 3-pt shot from 26 ft,,91-81,,
4:07.0,,,91-81,,Defensive rebound by J. Allen
3:56.0,,,91-84,3,C. LeVert makes 3-pt shot from 25 ft (assist by R. Hollis-Jefferson)
