time,Minnesota,pts.away,score,pts.home,Oklahoma City
6:31.0,,,35-54,,Defensive rebound by R. Westbrook
6:28.0,,,35-54,,Turnover by A. Roberson (out of bounds lost ball)
6:28.0,,,35-54,,J. Huestis enters the game for P. George
6:28.0,J. Teague enters the game for T. Jones,,35-54,,
6:16.0,J. Butler misses 2-pt shot from 19 ft,,35-54,,
6:13.0,,,35-54,,Defensive rebound by C. Anthony
6:00.0,,,35-56,2,C. Anthony makes 2-pt shot from 17 ft
5:41.0,G. Dieng makes 2-pt shot from 4 ft (assist by J. Butler),2,37-56,,
5:32.0,,,37-56,,Oklahoma City full timeout
5:32.0,,,37-56,,J. Grant enters the game for S. Adams
5:32.0,T. Gibson enters the game for G. Dieng,,37-56,,
5:25.0,,,37-56,,A. Roberson misses 3-pt shot from 24 ft
5:22.0,,,37-56,,Offensive rebound by R. Westbrook
5:18.0,,,37-56,,R. Westbrook misses 3-pt shot from 24 ft
5:17.0,Defensive rebound by Team,,37-56,,
5:03.0,J. Crawford makes 3-pt shot from 23 ft (assist by J. Butler),3,40-56,,
4:48.0,,,40-56,,Turnover by R. Westbrook (bad pass; steal by K. Towns)
4:42.0,J. Teague makes 3-pt shot from 24 ft (assist by J. Butler),3,43-56,,
4:40.0,,,43-56,,Oklahoma City full timeout
4:40.0,,,43-56,,P. George enters the game for A. Roberson
4:40.0,,,43-56,,S. Adams enters the game for J. Huestis
4:25.0,,,43-58,2,C. Anthony makes 2-pt shot from 14 ft (assist by R. Westbrook)
4:09.0,Shooting foul by C. Anthony (drawn by K. Towns),,43-58,,
4:09.0,K. Towns makes free throw 1 of 2,1,44-58,,
4:09.0,A. Wiggins enters the game for J. Crawford,,44-58,,
4:09.0,K. Towns makes free throw 2 of 2,1,45-58,,
3:56.0,,,45-58,,Turnover by P. George (bad pass)
3:39.0,,,45-58,,Personal foul by P. George (drawn by J. Teague)
3:39.0,,,45-58,,A. Roberson enters the game for C. Anthony
3:36.0,Turnover by T. Gibson (traveling),,45-58,,
3:27.0,,,45-58,,Turnover by P. George (bad pass; steal by J. Butler)
3:24.0,J. Butler misses 2-pt shot from 1 ft (block by P. George),,45-58,,
3:24.0,Offensive rebound by Team,,45-58,,
3:18.0,K. Towns misses 2-pt shot from 14 ft,,45-58,,
3:16.0,,,45-58,,Defensive rebound by A. Roberson
3:08.0,,,45-58,,R. Westbrook misses 2-pt shot from 12 ft
3:04.0,Defensive rebound by A. Wiggins,,45-58,,
2:50.0,A. Wiggins misses 2-pt shot from 3 ft (block by A. Roberson),,45-58,,
2:46.0,,,45-58,,Defensive rebound by R. Westbrook
2:41.0,,,45-60,2,S. Adams makes 2-pt shot from 2 ft (assist by R. Westbrook)
2:24.0,J. Butler makes 2-pt shot from 1 ft,2,47-60,,
2:11.0,,,47-60,,Turnover by R. Westbrook (bad pass; steal by T. Gibson)
2:06.0,Shooting foul by S. Adams (drawn by J. Butler),,47-60,,
2:06.0,J. Butler makes free throw 1 of 2,1,48-60,,
2:06.0,,,48-60,,N. Collison enters the game for S. Adams
2:06.0,J. Butler makes free throw 2 of 2,1,49-60,,
1:54.0,,,49-60,,P. George misses 2-pt shot from 16 ft
1:51.0,Defensive rebound by K. Towns,,49-60,,
1:38.0,,,49-60,,Personal foul by A. Roberson (drawn by J. Teague)
1:38.0,J. Teague makes free throw 1 of 2,1,50-60,,
1:38.0,J. Teague misses free throw 2 of 2,,50-60,,
1:36.0,,,50-60,,Defensive rebound by N. Collison
1:26.0,,,50-60,,Shooting foul by T. Gibson (drawn by N. Collison)
1:26.0,,,50-61,1,N. Collison makes free throw 1 of 2
1:26.0,,,50-62,1,N. Collison makes free throw 2 of 2
1:10.0,J. Butler misses 2-pt shot from 20 ft,,50-62,,
1:07.0,Offensive rebound by K. Towns,,50-62,,
1:06.0,K. Towns makes 2-pt shot at rim,2,52-62,,
0:54.0,,,52-62,,Offensive foul by N. Collison (drawn by A. Wiggins)
0:54.0,,,52-62,,Turnover by N. Collison (offensive foul)
0:41.0,Offensive foul by T. Gibson (drawn by A. Roberson),,52-62,,
0:41.0,Turnover by T. Gibson (offensive foul),,52-62,,
0:41.0,G. Dieng enters the game for T. Gibson,,52-62,,
0:34.0,,,52-62,,R. Westbrook misses 3-pt shot from 24 ft
0:31.0,,,52-62,,Offensive rebound by A. Roberson
0:28.0,,,52-62,,R. Westbrook misses 2-pt shot at rim
0:26.0,Defensive rebound by K. Towns,,52-62,,
0:25.0,Turnover by K. Towns (bad pass; steal by J. Grant),,52-62,,
0:03.0,,,52-64,2,A. Roberson makes 2-pt shot at rim (assist by N. Collison)
0:00.0,A. Wiggins makes 2-pt shot from 21 ft,2,54-64,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,J. Butler misses 2-pt shot from 1 ft (block by A. Roberson),,54-64,,
11:45.0,Offensive rebound by J. Butler,,54-64,,
11:37.0,J. Butler misses 2-pt shot from 15 ft,,54-64,,
11:34.0,,,54-64,,Defensive rebound by R. Westbrook
11:19.0,,,54-66,2,P. George makes 2-pt shot from 13 ft (assist by C. Anthony)
11:08.0,Offensive foul by J. Butler (drawn by A. Roberson),,54-66,,
11:08.0,Turnover by J. Butler (offensive foul),,54-66,,
10:49.0,,,54-68,2,C. Anthony makes 2-pt shot from 16 ft (assist by R. Westbrook)
10:27.0,K. Towns makes 2-pt shot from 1 ft (assist by J. Butler),2,56-68,,
10:17.0,,,56-68,,Turnover by R. Westbrook (bad pass)
9:55.0,K. Towns misses 2-pt shot from 7 ft (block by S. Adams),,56-68,,
9:55.0,,,56-68,,Defensive rebound by A. Roberson
9:41.0,,,56-68,,P. George misses 3-pt shot from 25 ft
9:41.0,Defensive rebound by T. Gibson,,56-68,,
9:32.0,K. Towns misses 3-pt shot from 25 ft,,56-68,,
9:27.0,,,56-68,,Defensive rebound by P. George
9:18.0,,,56-70,2,S. Adams makes 2-pt shot from 1 ft (assist by P. George)
8:56.0,J. Butler makes 3-pt shot from 24 ft (assist by J. Teague),3,59-70,,
8:41.0,,,59-73,3,P. George makes 3-pt shot from 25 ft (assist by R. Westbrook)
8:21.0,K. Towns makes 2-pt shot at rim (assist by J. Teague),2,61-73,,
7:58.0,,,61-73,,Shooting foul by A. Wiggins (drawn by P. George)
7:58.0,,,61-74,1,P. George makes free throw 1 of 2
7:58.0,,,61-75,1,P. George makes free throw 2 of 2
7:39.0,Shooting foul by A. Roberson (drawn by T. Gibson),,61-75,,
7:39.0,T. Gibson makes free throw 1 of 2,1,62-75,,
7:39.0,T. Gibson makes free throw 2 of 2,1,63-75,,
7:31.0,,,63-75,,R. Westbrook misses 3-pt shot from 25 ft
7:30.0,Defensive rebound by Team,,63-75,,
7:30.0,,,63-75,,Loose ball foul by S. Adams (drawn by K. Towns)
7:30.0,,,63-75,,J. Grant enters the game for S. Adams
7:15.0,Offensive charge foul by K. Towns (drawn by P. George),,63-75,,
7:15.0,Turnover by K. Towns (offensive foul),,63-75,,
7:02.0,,,63-75,,R. Westbrook misses 2-pt shot from 16 ft
6:59.0,,,63-75,,Offensive rebound by R. Westbrook
6:59.0,,,63-75,,Turnover by R. Westbrook (bad pass; steal by J. Butler)
6:49.0,A. Wiggins makes 3-pt shot from 22 ft (assist by J. Teague),3,66-75,,
6:49.0,,,66-75,,Oklahoma City full timeout
6:39.0,,,66-75,,Shooting foul by J. Butler (drawn by P. George)
6:39.0,,,66-76,1,P. George makes free throw 1 of 2
6:39.0,,,66-77,1,P. George makes free throw 2 of 2
6:18.0,,,66-77,,Personal foul by P. George (drawn by T. Gibson)
6:05.0,J. Butler misses 3-pt shot from 26 ft,,66-77,,
6:02.0,,,66-77,,Defensive rebound by P. George
5:50.0,,,66-77,,Turnover by R. Westbrook (bad pass; steal by A. Wiggins)
5:46.0,A. Wiggins makes 2-pt shot at rim,2,68-77,,
5:24.0,,,68-77,,C. Anthony misses 2-pt shot from 17 ft
5:22.0,Defensive rebound by K. Towns,,68-77,,
5:18.0,Offensive foul by T. Gibson (drawn by P. George),,68-77,,
5:18.0,Turnover by T. Gibson (offensive foul),,68-77,,
5:03.0,,,68-77,,R. Westbrook misses 2-pt shot from 7 ft (block by J. Butler)
5:00.0,,,68-77,,Offensive rebound by R. Westbrook
5:00.0,,,68-79,2,R. Westbrook makes 2-pt shot at rim
4:35.0,Turnover by Team (shot clock),,68-79,,
4:35.0,,,68-79,,J. Huestis enters the game for P. George
4:18.0,,,68-79,,Offensive foul by A. Roberson (drawn by J. Butler)
4:18.0,,,68-79,,Turnover by A. Roberson (offensive foul)
3:59.0,J. Teague makes 2-pt shot from 1 ft,2,70-79,,
3:51.0,,,70-79,,J. Huestis misses 2-pt shot from 1 ft
3:51.0,,,70-79,,Offensive rebound by R. Westbrook
3:50.0,,,70-81,2,R. Westbrook makes 2-pt shot at rim
3:38.0,J. Butler misses 3-pt shot from 24 ft,,70-81,,
3:36.0,,,70-81,,Defensive rebound by C. Anthony
3:26.0,,,70-81,,R. Westbrook misses 3-pt shot from 24 ft
3:23.0,Defensive rebound by K. Towns,,70-81,,
3:08.0,Shooting foul by J. Grant (drawn by K. Towns),,70-81,,
3:08.0,K. Towns makes free throw 1 of 2,1,71-81,,
3:08.0,,,71-81,,T. Ferguson enters the game for A. Roberson
3:08.0,J. Crawford enters the game for A. Wiggins,,71-81,,
3:08.0,K. Towns makes free throw 2 of 2,1,72-81,,
2:47.0,,,72-81,,R. Westbrook misses 3-pt shot from 25 ft
2:42.0,Defensive rebound by J. Teague,,72-81,,
2:32.0,J. Crawford misses 3-pt shot from 24 ft,,72-81,,
2:31.0,Offensive rebound by Team,,72-81,,
2:31.0,Minnesota full timeout,,72-81,,
2:31.0,,,72-81,,R. Felton enters the game for R. Westbrook
2:31.0,,,72-81,,P. Patterson enters the game for C. Anthony
2:31.0,,,72-81,,P. George enters the game for T. Ferguson
2:28.0,J. Crawford makes 3-pt shot from 24 ft (assist by J. Teague),3,75-81,,
2:11.0,,,75-83,2,R. Felton makes 2-pt shot at rim
1:55.0,J. Crawford misses 3-pt shot from 24 ft,,75-83,,
1:52.0,,,75-83,,Defensive rebound by P. George
1:47.0,T. Jones enters the game for J. Teague,,75-83,,
1:47.0,G. Dieng enters the game for K. Towns,,75-83,,
1:33.0,,,75-85,2,P. George makes 2-pt shot from 1 ft
1:14.0,G. Dieng makes 2-pt shot from 21 ft (assist by J. Crawford),2,77-85,,
0:49.0,,,77-85,,Offensive foul by P. Patterson (drawn by T. Jones)
0:49.0,,,77-85,,Turnover by P. Patterson (offensive foul)
0:30.0,T. Gibson makes 2-pt shot from 1 ft (assist by J. Crawford),2,79-85,,
0:06.0,,,79-85,,R. Felton misses 3-pt shot from 28 ft
0:06.0,,,79-85,,Offensive rebound by Team
0:06.0,,,79-85,,Turnover by Team (shot clock)
0:06.0,K. Towns enters the game for G. Dieng,,79-85,,
0:06.0,,,79-85,,S. Adams enters the game for J. Grant
0:01.0,J. Crawford misses 3-pt shot from 31 ft,,79-85,,
0:01.0,Offensive rebound by Team,,79-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,79-85,,Turnover by R. Felton (lost ball; steal by K. Towns)
11:44.0,T. Jones misses 2-pt shot from 1 ft (block by P. George),,79-85,,
11:41.0,,,79-85,,Defensive rebound by S. Adams
11:34.0,,,79-85,,P. George misses 2-pt shot from 1 ft
11:33.0,Defensive rebound by G. Dieng,,79-85,,
11:16.0,J. Crawford misses 2-pt shot from 12 ft,,79-85,,
11:13.0,Offensive rebound by G. Dieng,,79-85,,
11:12.0,G. Dieng misses 2-pt shot from 1 ft (block by P. George),,79-85,,
11:10.0,,,79-85,,Defensive rebound by P. Patterson
