time,Atlanta,pts.away,score,pts.home,Milwaukee
5:41.0,D. Schroder misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,10-7,,
5:37.0,,,10-7,,Defensive rebound by G. Antetokounmpo
5:36.0,,,10-7,,Shooting foul by D. Dedmon (drawn by G. Antetokounmpo)
5:36.0,,,10-8,1,G. Antetokounmpo makes free throw 1 of 2
5:36.0,M. Delaney enters the game for E. Ilyasova,,10-8,,
5:36.0,J. Collins enters the game for K. Bazemore,,10-8,,
5:36.0,,,10-8,,G. Antetokounmpo misses free throw 2 of 2
5:34.0,,,10-8,,Offensive rebound by G. Antetokounmpo
5:31.0,,,10-10,2,G. Antetokounmpo makes 2-pt shot at rim
5:09.0,M. Delaney misses 3-pt shot from 28 ft,,10-10,,
5:04.0,,,10-10,,Defensive rebound by E. Bledsoe
5:02.0,,,10-10,,Turnover by E. Bledsoe (bad pass)
5:02.0,,,10-10,,J. Parker enters the game for T. Maker
5:02.0,,,10-10,,T. Zeller enters the game for G. Antetokounmpo
5:02.0,D. Bembry enters the game for D. Dedmon,,10-10,,
4:38.0,D. Schroder misses 2-pt shot from 2 ft (block by T. Zeller),,10-10,,
4:33.0,Offensive rebound by J. Collins,,10-10,,
4:33.0,J. Collins makes 2-pt shot at rim,2,12-10,,
4:28.0,,,12-12,2,T. Zeller makes 2-pt shot from 3 ft (assist by K. Middleton)
4:28.0,Atlanta full timeout,,12-12,,
4:28.0,M. Muscala enters the game for T. Dorsey,,12-12,,
4:16.0,D. Schroder makes 3-pt shot from 25 ft (assist by J. Collins),3,15-12,,
3:59.0,,,15-14,2,J. Parker makes 2-pt shot from 1 ft (assist by T. Snell)
3:51.0,,,15-14,,Personal foul by E. Bledsoe (drawn by D. Schroder)
3:51.0,,,15-14,,S. Brown enters the game for T. Snell
3:51.0,T. Waller-Prince enters the game for D. Schroder,,15-14,,
3:36.0,T. Waller-Prince makes 3-pt shot from 26 ft (assist by M. Delaney),3,18-14,,
3:18.0,,,18-14,,K. Middleton misses 2-pt shot from 20 ft
3:16.0,Defensive rebound by M. Delaney,,18-14,,
3:10.0,M. Muscala misses 3-pt shot from 26 ft,,18-14,,
3:06.0,,,18-14,,Defensive rebound by S. Brown
3:00.0,,,18-14,,T. Zeller misses 2-pt shot from 5 ft (block by J. Collins)
2:57.0,Defensive rebound by M. Muscala,,18-14,,
2:41.0,T. Waller-Prince makes 2-pt shot at rim,2,20-14,,
2:25.0,,,20-14,,J. Parker misses 2-pt shot from 18 ft
2:21.0,,,20-14,,Offensive rebound by S. Brown
2:21.0,,,20-14,,Shooting foul by T. Waller-Prince (drawn by K. Middleton)
2:21.0,,,20-15,1,K. Middleton makes free throw 1 of 2
2:21.0,,,20-16,1,K. Middleton makes free throw 2 of 2
1:58.0,Turnover by M. Muscala (traveling),,20-16,,
1:39.0,,,20-18,2,T. Zeller makes 2-pt shot from 16 ft
1:19.0,M. Delaney misses 2-pt shot from 3 ft (block by T. Zeller),,20-18,,
1:18.0,Offensive rebound by J. Collins,,20-18,,
1:18.0,,,20-18,,Personal foul by K. Middleton (drawn by J. Collins)
1:18.0,,,20-18,,J. Terry enters the game for E. Bledsoe
1:18.0,,,20-18,,G. Antetokounmpo enters the game for K. Middleton
1:09.0,T. Waller-Prince misses 3-pt shot from 26 ft,,20-18,,
1:09.0,Offensive rebound by Team,,20-18,,
1:09.0,,,20-18,,Loose ball foul by S. Brown (drawn by M. Muscala)
1:09.0,M. Muscala makes free throw 1 of 2,1,21-18,,
1:09.0,M. Muscala makes free throw 2 of 2,1,22-18,,
0:52.0,,,22-18,,G. Antetokounmpo misses 3-pt shot from 26 ft
0:48.0,Defensive rebound by D. Bembry,,22-18,,
0:38.0,Shooting foul by T. Zeller (drawn by T. Waller-Prince),,22-18,,
0:38.0,T. Waller-Prince misses free throw 1 of 2,,22-18,,
0:38.0,Offensive rebound by Team,,22-18,,
0:38.0,T. Waller-Prince misses free throw 2 of 2,,22-18,,
0:35.0,,,22-18,,Defensive rebound by T. Zeller
0:27.0,,,22-21,3,S. Brown makes 3-pt shot from 26 ft (assist by J. Terry)
0:06.0,J. Collins misses 2-pt shot from 4 ft (block by S. Brown),,22-21,,
0:01.0,Offensive rebound by D. Bembry,,22-21,,
0:00.0,T. Waller-Prince makes 2-pt shot from 13 ft (assist by D. Bembry),2,24-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,24-21,,J. Parker misses 2-pt shot from 4 ft
11:39.0,,,24-21,,Offensive rebound by T. Zeller
11:37.0,,,24-23,2,T. Zeller makes 2-pt shot at rim
11:19.0,M. Muscala makes 3-pt shot from 23 ft (assist by M. Delaney),3,27-23,,
11:02.0,,,27-23,,J. Parker misses 2-pt shot from 3 ft (block by J. Collins)
11:02.0,Defensive rebound by M. Delaney,,27-23,,
10:45.0,T. Waller-Prince misses 2-pt shot from 2 ft,,27-23,,
10:43.0,,,27-23,,Defensive rebound by G. Antetokounmpo
10:32.0,,,27-23,,G. Antetokounmpo misses 2-pt shot from 11 ft
10:28.0,Defensive rebound by M. Delaney,,27-23,,
10:14.0,T. Waller-Prince misses 3-pt shot from 23 ft,,27-23,,
10:12.0,,,27-23,,Defensive rebound by G. Antetokounmpo
10:05.0,,,27-23,,J. Parker misses 2-pt shot from 16 ft
10:00.0,Defensive rebound by M. Delaney,,27-23,,
9:54.0,,,27-23,,Personal foul by G. Antetokounmpo (drawn by J. Collins)
9:54.0,,,27-23,,S. Kilpatrick enters the game for J. Parker
9:54.0,K. Bazemore enters the game for T. Waller-Prince,,27-23,,
9:54.0,E. Ilyasova enters the game for M. Muscala,,27-23,,
9:40.0,M. Delaney misses 2-pt shot from 11 ft,,27-23,,
9:40.0,Offensive rebound by Team,,27-23,,
9:40.0,Turnover by Team (shot clock),,27-23,,
9:32.0,,,27-23,,S. Kilpatrick misses 2-pt shot from 9 ft
9:32.0,Defensive rebound by M. Delaney,,27-23,,
9:25.0,Shooting foul by T. Zeller (drawn by E. Ilyasova),,27-23,,
9:25.0,E. Ilyasova makes free throw 1 of 2,1,28-23,,
9:25.0,E. Ilyasova misses free throw 2 of 2,,28-23,,
9:21.0,,,28-23,,Defensive rebound by G. Antetokounmpo
9:17.0,Personal foul by I. Taylor (drawn by G. Antetokounmpo),,28-23,,
9:08.0,Personal foul by J. Collins (drawn by T. Zeller),,28-23,,
9:00.0,,,28-23,,S. Kilpatrick misses 3-pt shot from 23 ft
8:58.0,Defensive rebound by E. Ilyasova,,28-23,,
8:46.0,K. Bazemore misses 2-pt shot from 19 ft,,28-23,,
8:42.0,Offensive rebound by E. Ilyasova,,28-23,,
8:36.0,K. Bazemore misses 2-pt shot from 5 ft,,28-23,,
8:34.0,,,28-23,,Defensive rebound by S. Brown
8:20.0,,,28-26,3,J. Terry makes 3-pt shot from 22 ft (assist by G. Antetokounmpo)
8:03.0,E. Ilyasova misses 3-pt shot from 22 ft,,28-26,,
8:02.0,,,28-26,,Defensive rebound by G. Antetokounmpo
7:56.0,,,28-26,,S. Brown misses 3-pt shot from 22 ft
7:55.0,Defensive rebound by I. Taylor,,28-26,,
7:39.0,Turnover by M. Delaney (bad pass; steal by S. Brown),,28-26,,
7:28.0,,,28-28,2,T. Zeller makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
7:28.0,Atlanta full timeout,,28-28,,
7:28.0,,,28-28,,T. Snell enters the game for S. Brown
7:28.0,D. Dedmon enters the game for M. Delaney,,28-28,,
7:28.0,D. Schroder enters the game for J. Collins,,28-28,,
7:13.0,Turnover by D. Dedmon (bad pass; steal by J. Terry),,28-28,,
7:10.0,,,28-30,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by J. Terry)
6:52.0,Turnover by D. Schroder (bad pass; steal by G. Antetokounmpo),,28-30,,
6:45.0,,,28-30,,T. Snell misses 3-pt shot from 28 ft
6:42.0,Defensive rebound by I. Taylor,,28-30,,
6:40.0,D. Dedmon makes 3-pt shot from 27 ft (assist by I. Taylor),3,31-30,,
6:11.0,,,31-30,,J. Terry misses 3-pt shot from 26 ft
6:08.0,Defensive rebound by E. Ilyasova,,31-30,,
6:03.0,Turnover by K. Bazemore (out of bounds lost ball),,31-30,,
6:03.0,,,31-30,,T. Maker enters the game for T. Zeller
6:03.0,T. Dorsey enters the game for I. Taylor,,31-30,,
5:42.0,,,31-33,3,T. Snell makes 3-pt shot from 22 ft (assist by S. Kilpatrick)
5:25.0,K. Bazemore makes 3-pt shot from 22 ft (assist by E. Ilyasova),3,34-33,,
5:12.0,,,34-33,,T. Maker misses 3-pt shot from 27 ft
5:09.0,Defensive rebound by K. Bazemore,,34-33,,
5:02.0,E. Ilyasova misses 2-pt shot from 3 ft,,34-33,,
5:02.0,Offensive rebound by E. Ilyasova,,34-33,,
5:02.0,E. Ilyasova makes 2-pt shot from 3 ft,2,36-33,,
5:02.0,,,36-33,,Milwaukee full timeout
5:02.0,,,36-33,,E. Bledsoe enters the game for J. Terry
5:02.0,,,36-33,,K. Middleton enters the game for S. Kilpatrick
5:02.0,J. Collins enters the game for E. Ilyasova,,36-33,,
4:53.0,,,36-33,,E. Bledsoe misses 2-pt shot from 18 ft
4:50.0,Defensive rebound by K. Bazemore,,36-33,,
4:39.0,T. Dorsey misses 3-pt shot from 29 ft,,36-33,,
4:33.0,,,36-33,,Defensive rebound by K. Middleton
4:22.0,,,36-33,,T. Maker misses 2-pt shot from 6 ft (block by J. Collins)
4:18.0,,,36-33,,Offensive rebound by T. Snell
4:13.0,,,36-33,,K. Middleton misses 2-pt shot from 2 ft (block by J. Collins)
4:10.0,,,36-33,,Offensive rebound by K. Middleton
4:08.0,,,36-33,,G. Antetokounmpo misses 3-pt shot from 26 ft
3:56.0,Defensive rebound by T. Dorsey,,36-33,,
3:47.0,K. Bazemore misses 3-pt shot from 25 ft,,36-33,,
3:45.0,,,36-33,,Defensive rebound by K. Middleton
3:38.0,,,36-35,2,T. Maker makes 2-pt shot from 1 ft (assist by E. Bledsoe)
3:19.0,K. Bazemore makes 3-pt shot from 25 ft,3,39-35,,
3:01.0,,,39-35,,K. Middleton misses 2-pt shot from 3 ft (block by K. Bazemore)
2:57.0,Defensive rebound by D. Dedmon,,39-35,,
2:54.0,T. Dorsey misses 3-pt shot from 23 ft,,39-35,,
2:54.0,Offensive rebound by J. Collins,,39-35,,
2:47.0,K. Bazemore misses 3-pt shot from 27 ft,,39-35,,
2:47.0,Offensive rebound by T. Dorsey,,39-35,,
2:26.0,D. Schroder makes 2-pt shot at rim (assist by T. Dorsey),2,41-35,,
2:12.0,,,41-37,2,T. Maker makes 2-pt shot from 1 ft (assist by E. Bledsoe)
2:00.0,D. Dedmon misses 3-pt shot from 26 ft,,41-37,,
1:57.0,,,41-37,,Defensive rebound by Team
1:57.0,,,41-37,,J. Parker enters the game for G. Antetokounmpo
1:57.0,T. Waller-Prince enters the game for T. Dorsey,,41-37,,
1:57.0,M. Muscala enters the game for D. Dedmon,,41-37,,
1:57.0,D. Bembry enters the game for K. Bazemore,,41-37,,
1:46.0,,,41-39,2,K. Middleton makes 2-pt shot from 17 ft (assist by E. Bledsoe)
1:28.0,D. Schroder misses 2-pt shot from 19 ft,,41-39,,
1:25.0,,,41-39,,Defensive rebound by J. Parker
1:04.0,,,41-39,,K. Middleton misses 3-pt shot from 26 ft
1:02.0,Defensive rebound by D. Schroder,,41-39,,
0:56.0,Turnover by D. Schroder (lost ball; steal by E. Bledsoe),,41-39,,
0:52.0,,,41-39,,Shooting foul by M. Muscala (drawn by J. Parker)
0:52.0,,,41-40,1,J. Parker makes free throw 1 of 2
0:52.0,,,41-41,1,J. Parker makes free throw 2 of 2
0:32.0,D. Bembry misses 3-pt shot from 26 ft,,41-41,,
0:29.0,,,41-41,,Defensive rebound by J. Parker
0:25.0,,,41-41,,T. Snell misses 2-pt shot from 2 ft
0:25.0,,,41-41,,Offensive rebound by Team
0:05.0,,,41-41,,Turnover by E. Bledsoe (lost ball; steal by T. Waller-Prince)
0:05.0,,,41-41,,Personal take foul by E. Bledsoe (drawn by T. Waller-Prince)
0:00.0,D. Schroder makes 2-pt shot from 16 ft,2,43-41,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,43-41,,T. Snell misses 2-pt shot from 21 ft
11:36.0,Defensive rebound by D. Dedmon,,43-41,,
11:22.0,Shooting foul by G. Antetokounmpo (drawn by T. Waller-Prince),,43-41,,
11:22.0,T. Waller-Prince makes free throw 1 of 2,1,44-41,,
11:22.0,T. Waller-Prince makes free throw 2 of 2,1,45-41,,
11:15.0,,,45-41,,T. Snell misses 2-pt shot from 2 ft (block by D. Dedmon)
11:10.0,,,45-41,,Offensive rebound by T. Maker
11:05.0,,,45-41,,G. Antetokounmpo misses 2-pt shot from 18 ft
11:00.0,,,45-41,,Offensive rebound by E. Bledsoe
10:57.0,,,45-43,2,E. Bledsoe makes 2-pt shot from 2 ft
10:37.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by T. Waller-Prince),2,47-43,,
10:18.0,,,47-43,,E. Bledsoe misses 3-pt shot from 22 ft
10:10.0,,,47-43,,Offensive rebound by G. Antetokounmpo
10:10.0,,,47-45,2,G. Antetokounmpo makes 2-pt shot at rim
10:01.0,K. Bazemore misses 3-pt shot from 26 ft,,47-45,,
9:58.0,,,47-45,,Defensive rebound by G. Antetokounmpo
9:50.0,,,47-48,3,K. Middleton makes 3-pt shot from 23 ft (assist by T. Snell)
9:22.0,T. Waller-Prince misses 3-pt shot from 25 ft,,47-48,,
9:19.0,,,47-48,,Defensive rebound by G. Antetokounmpo
9:18.0,,,47-48,,Shooting foul by D. Schroder (drawn by T. Maker)
9:18.0,,,47-49,1,T. Maker makes free throw 1 of 2
9:18.0,,,47-49,,T. Maker misses free throw 2 of 2
9:13.0,Defensive rebound by K. Bazemore,,47-49,,
9:01.0,Turnover by D. Schroder (bad pass),,47-49,,
8:47.0,,,47-49,,G. Antetokounmpo misses 3-pt shot from 25 ft
8:44.0,Defensive rebound by D. Dedmon,,47-49,,
8:25.0,D. Schroder makes 2-pt shot from 1 ft,2,49-49,,
8:19.0,Violation by T. Waller-Prince (kicked ball),,49-49,,
8:04.0,,,49-51,2,T. Maker makes 2-pt shot from 1 ft (assist by E. Bledsoe)
7:54.0,D. Schroder misses 3-pt shot from 27 ft,,49-51,,
7:52.0,Offensive rebound by D. Dedmon,,49-51,,
7:52.0,D. Dedmon misses 2-pt shot from 1 ft,,49-51,,
7:48.0,Offensive rebound by D. Dedmon,,49-51,,
7:47.0,D. Dedmon makes 2-pt shot from 1 ft,2,51-51,,
7:26.0,,,51-51,,E. Bledsoe misses 3-pt shot from 26 ft
7:20.0,Defensive rebound by K. Bazemore,,51-51,,
7:17.0,Turnover by K. Bazemore (bad pass),,51-51,,
7:04.0,,,51-53,2,E. Bledsoe makes 2-pt shot at rim
7:03.0,Atlanta full timeout,,51-53,,
7:03.0,T. Dorsey enters the game for T. Waller-Prince,,51-53,,
6:39.0,D. Schroder misses 3-pt shot from 24 ft (block by E. Bledsoe),,51-53,,
6:39.0,Offensive rebound by Team,,51-53,,
6:39.0,Turnover by Team (shot clock),,51-53,,
6:27.0,,,51-56,3,T. Maker makes 3-pt shot from 26 ft (assist by E. Bledsoe)
6:05.0,D. Dedmon makes 2-pt shot from 7 ft (assist by K. Bazemore),2,53-56,,
5:53.0,,,53-59,3,E. Bledsoe makes 3-pt shot from 25 ft (assist by G. Antetokounmpo)
5:31.0,E. Ilyasova misses 3-pt shot from 23 ft,,53-59,,
5:28.0,,,53-59,,Defensive rebound by G. Antetokounmpo
5:20.0,,,53-59,,Turnover by G. Antetokounmpo (bad pass; steal by E. Ilyasova)
5:11.0,D. Schroder misses 2-pt shot from 3 ft,,53-59,,
5:11.0,,,53-59,,Defensive rebound by Team
5:11.0,,,53-59,,J. Parker enters the game for G. Antetokounmpo
5:11.0,M. Delaney enters the game for E. Ilyasova,,53-59,,
5:11.0,J. Collins enters the game for K. Bazemore,,53-59,,
4:59.0,Personal foul by D. Dedmon (drawn by J. Parker),,53-59,,
4:59.0,M. Muscala enters the game for D. Dedmon,,53-59,,
4:53.0,,,53-61,2,K. Middleton makes 2-pt shot from 11 ft
4:26.0,J. Collins misses 2-pt shot from 3 ft (block by E. Bledsoe),,53-61,,
4:26.0,,,53-61,,Defensive rebound by T. Snell
4:20.0,,,53-63,2,J. Parker makes 2-pt shot at rim (assist by T. Maker)
4:19.0,Atlanta full timeout,,53-63,,
4:19.0,,,53-63,,T. Zeller enters the game for T. Maker
4:19.0,T. Waller-Prince enters the game for D. Schroder,,53-63,,
4:02.0,T. Waller-Prince misses 3-pt shot from 25 ft,,53-63,,
3:57.0,,,53-63,,Defensive rebound by K. Middleton
3:51.0,,,53-63,,E. Bledsoe misses 2-pt shot from 13 ft
3:49.0,,,53-63,,Offensive rebound by T. Zeller
3:46.0,,,53-63,,Turnover by K. Middleton (bad pass; steal by J. Collins)
3:44.0,,,53-63,,Personal foul by T. Snell (drawn by T. Waller-Prince)
3:44.0,,,53-63,,S. Brown enters the game for T. Snell
3:37.0,M. Muscala misses 3-pt shot from 26 ft,,53-63,,
3:33.0,,,53-63,,Defensive rebound by T. Zeller
3:24.0,,,53-63,,K. Middleton misses 2-pt shot from 18 ft
3:19.0,,,53-63,,Offensive rebound by T. Zeller
2:58.0,,,53-65,2,K. Middleton makes 2-pt shot from 6 ft
2:41.0,T. Waller-Prince makes 2-pt shot from 1 ft,2,55-65,,
2:24.0,,,55-65,,S. Brown misses 2-pt shot from 6 ft
2:21.0,Defensive rebound by M. Delaney,,55-65,,
2:20.0,Shooting foul by K. Middleton (drawn by M. Delaney),,55-65,,
2:20.0,M. Delaney makes free throw 1 of 2,1,56-65,,
2:20.0,M. Delaney makes free throw 2 of 2,1,57-65,,
1:55.0,,,57-67,2,T. Zeller makes 2-pt shot from 1 ft (assist by E. Bledsoe)
1:41.0,J. Collins misses 2-pt shot from 1 ft,,57-67,,
1:40.0,,,57-67,,Defensive rebound by K. Middleton
1:32.0,,,57-67,,J. Parker misses 2-pt shot from 2 ft
1:30.0,,,57-67,,Offensive rebound by J. Parker
1:27.0,,,57-70,3,E. Bledsoe makes 3-pt shot from 25 ft (assist by S. Brown)
1:08.0,,,57-70,,Personal foul by E. Bledsoe
1:08.0,,,57-70,,G. Antetokounmpo enters the game for E. Bledsoe
1:08.0,,,57-70,,J. Terry enters the game for K. Middleton
1:08.0,D. Bembry enters the game for T. Dorsey,,57-70,,
1:08.0,,,57-70,,Technical foul by E. Bledsoe
1:08.0,M. Delaney makes technical free throw,1,58-70,,
1:01.0,M. Muscala misses 3-pt shot from 27 ft,,58-70,,
0:57.0,,,58-70,,Defensive rebound by J. Terry
0:39.0,,,58-72,2,G. Antetokounmpo makes 2-pt shot from 18 ft
0:34.0,T. Waller-Prince misses 2-pt shot from 15 ft,,58-72,,
0:32.0,Offensive rebound by J. Collins,,58-72,,
0:32.0,J. Collins makes 2-pt shot from 1 ft,2,60-72,,
0:18.0,,,60-72,,S. Brown misses 2-pt shot from 1 ft
0:17.0,,,60-72,,Offensive rebound by T. Zeller
0:17.0,,,60-74,2,T. Zeller makes 2-pt shot at rim
0:12.0,Turnover by T. Waller-Prince (bad pass; steal by J. Terry),,60-74,,
0:07.0,,,60-74,,S. Brown misses 3-pt shot from 27 ft
0:03.0,Defensive rebound by M. Delaney,,60-74,,
0:00.0,Shooting foul by S. Brown (drawn by M. Delaney),,60-74,,
0:00.0,M. Delaney makes free throw 1 of 2,1,61-74,,
0:00.0,,,61-74,,S. Kilpatrick enters the game for S. Brown
0:00.0,M. Delaney misses free throw 2 of 2,,61-74,,
0:00.0,Offensive rebound by M. Muscala,,61-74,,
0:00.0,M. Muscala misses 2-pt shot at rim,,61-74,,
0:00.0,Offensive rebound by Team,,61-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,61-74,,Personal foul by G. Antetokounmpo (drawn by J. Collins)
11:34.0,D. Bembry makes 2-pt shot from 1 ft (assist by I. Taylor),2,63-74,,
11:23.0,,,63-74,,J. Parker misses 2-pt shot from 4 ft
11:23.0,Defensive rebound by J. Collins,,63-74,,
11:08.0,T. Waller-Prince misses 2-pt shot from 5 ft,,63-74,,
11:05.0,,,63-74,,Defensive rebound by S. Kilpatrick
10:49.0,,,63-74,,S. Kilpatrick misses 2-pt shot from 15 ft
10:49.0,,,63-74,,Offensive rebound by Team
10:49.0,Loose ball foul by M. Muscala (drawn by T. Zeller),,63-74,,
10:49.0,,,63-74,,S. Brown enters the game for J. Parker
10:28.0,,,63-74,,S. Brown misses 3-pt shot from 25 ft
10:26.0,Defensive rebound by M. Muscala,,63-74,,
10:17.0,M. Muscala makes 3-pt shot from 27 ft (assist by I. Taylor),3,66-74,,
9:57.0,,,66-74,,G. Antetokounmpo misses 2-pt shot from 16 ft
9:53.0,Defensive rebound by I. Taylor,,66-74,,
9:50.0,I. Taylor misses 2-pt shot from 1 ft (block by J. Terry),,66-74,,
9:50.0,Offensive rebound by Team,,66-74,,
9:50.0,E. Ilyasova enters the game for J. Collins,,66-74,,
9:39.0,M. Muscala misses 2-pt shot from 6 ft,,66-74,,
9:36.0,,,66-74,,Defensive rebound by G. Antetokounmpo
9:29.0,,,66-76,2,S. Kilpatrick makes 2-pt shot from 9 ft
9:09.0,E. Ilyasova misses 3-pt shot from 22 ft,,66-76,,
9:07.0,,,66-76,,Defensive rebound by G. Antetokounmpo
8:51.0,,,66-76,,G. Antetokounmpo misses 3-pt shot from 26 ft
8:51.0,Defensive rebound by D. Bembry,,66-76,,
8:36.0,E. Ilyasova makes 2-pt shot from 16 ft (assist by T. Waller-Prince),2,68-76,,
8:13.0,,,68-78,2,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Terry)
8:04.0,Shooting foul by G. Antetokounmpo (drawn by E. Ilyasova),,68-78,,
8:04.0,E. Ilyasova makes free throw 1 of 2,1,69-78,,
8:04.0,,,69-78,,K. Middleton enters the game for J. Terry
8:04.0,,,69-78,,E. Bledsoe enters the game for G. Antetokounmpo
8:04.0,K. Bazemore enters the game for T. Waller-Prince,,69-78,,
8:04.0,D. Dedmon enters the game for M. Muscala,,69-78,,
8:04.0,D. Schroder enters the game for D. Bembry,,69-78,,
8:04.0,E. Ilyasova makes free throw 2 of 2,1,70-78,,
7:48.0,,,70-78,,E. Bledsoe misses 2-pt shot from 16 ft
7:46.0,Defensive rebound by E. Ilyasova,,70-78,,
7:35.0,D. Schroder makes 2-pt shot from 2 ft,2,72-78,,
7:35.0,,,72-78,,Milwaukee full timeout
7:35.0,,,72-78,,T. Snell enters the game for S. Kilpatrick
7:18.0,,,72-78,,K. Middleton misses 2-pt shot from 20 ft
7:15.0,Defensive rebound by E. Ilyasova,,72-78,,
7:02.0,D. Schroder misses 2-pt shot from 2 ft (block by K. Middleton),,72-78,,
6:59.0,,,72-78,,Defensive rebound by T. Zeller
6:58.0,,,72-78,,Turnover by T. Zeller (bad pass; steal by E. Ilyasova)
6:42.0,E. Ilyasova misses 2-pt shot from 15 ft,,72-78,,
6:40.0,,,72-78,,Defensive rebound by S. Brown
6:24.0,,,72-78,,E. Bledsoe misses 2-pt shot from 7 ft
6:24.0,,,72-78,,Offensive rebound by T. Zeller
6:24.0,,,72-78,,T. Zeller misses 2-pt shot at rim
6:24.0,,,72-78,,Offensive rebound by Team
6:24.0,,,72-78,,J. Parker enters the game for S. Brown
6:17.0,Personal foul by E. Ilyasova (drawn by J. Parker),,72-78,,
6:17.0,,,72-79,1,J. Parker makes free throw 1 of 2
6:17.0,,,72-79,,J. Parker misses free throw 2 of 2
6:17.0,Defensive rebound by Team,,72-79,,
5:59.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by K. Bazemore),2,74-79,,
5:45.0,Personal foul by K. Bazemore (drawn by K. Middleton),,74-79,,
5:38.0,,,74-79,,Turnover by E. Bledsoe (bad pass; steal by D. Dedmon)
5:32.0,K. Bazemore makes 3-pt shot from 23 ft (assist by I. Taylor),3,77-79,,
