time,Denver,pts.away,score,pts.home,LA Clippers
5:10.0,,,19-13,,L. Williams enters the game for A. Rivers
5:10.0,M. Plumlee enters the game for N. Jokic,,19-13,,
4:59.0,,,19-13,,T. Harris misses 2-pt shot from 6 ft
4:57.0,Defensive rebound by P. Millsap,,19-13,,
4:41.0,W. Barton makes 2-pt shot from 11 ft (assist by W. Chandler),2,21-13,,
4:28.0,,,21-13,,L. Williams misses 2-pt shot from 7 ft
4:28.0,,,21-13,,Offensive rebound by D. Jordan
4:28.0,,,21-13,,Shooting foul by W. Chandler (drawn by D. Jordan)
4:28.0,,,21-13,,D. Jordan misses free throw 1 of 2
4:28.0,,,21-13,,Offensive rebound by Team
4:28.0,,,21-13,,S. Thornwell enters the game for W. Johnson
4:28.0,,,21-13,,D. Jordan misses free throw 2 of 2
4:25.0,Defensive rebound by W. Chandler,,21-13,,
4:13.0,J. Murray misses 3-pt shot from 25 ft,,21-13,,
4:09.0,,,21-13,,Defensive rebound by T. Harris
3:52.0,,,21-13,,D. Jordan misses 2-pt shot from 3 ft (block by M. Plumlee)
3:49.0,Defensive rebound by W. Barton,,21-13,,
3:46.0,W. Barton makes 3-pt shot from 25 ft,3,24-13,,
3:29.0,,,24-15,2,T. Wallace makes 2-pt shot from 11 ft (assist by T. Harris)
3:16.0,Turnover by M. Plumlee (bad pass),,24-15,,
3:16.0,D. Harris enters the game for P. Millsap,,24-15,,
3:16.0,T. Craig enters the game for W. Chandler,,24-15,,
3:16.0,N. Jokic enters the game for J. Murray,,24-15,,
3:00.0,,,24-15,,T. Wallace misses 3-pt shot from 22 ft
2:57.0,Defensive rebound by M. Plumlee,,24-15,,
2:48.0,W. Barton misses 3-pt shot from 24 ft,,24-15,,
2:44.0,,,24-15,,Defensive rebound by S. Thornwell
2:41.0,,,24-17,2,T. Wallace makes 2-pt shot from 2 ft (assist by L. Williams)
2:41.0,Violation by W. Barton (def goaltending),,24-17,,
2:28.0,M. Plumlee makes 2-pt shot from 1 ft (assist by N. Jokic),2,26-17,,
2:12.0,,,26-17,,Shooting foul by T. Craig (drawn by L. Williams)
2:12.0,Denver full timeout,,26-17,,
2:12.0,,,26-17,,A. Rivers enters the game for D. Jordan
2:12.0,,,26-17,,M. Harrell enters the game for T. Wallace
2:12.0,J. Murray enters the game for W. Barton,,26-17,,
2:12.0,,,26-18,1,L. Williams makes free throw 1 of 3
2:12.0,,,26-19,1,L. Williams makes free throw 2 of 3
2:12.0,,,26-20,1,L. Williams makes free throw 3 of 3
1:53.0,Turnover by T. Craig (lost ball; steal by M. Harrell),,26-20,,
1:46.0,,,26-22,2,M. Harrell makes 2-pt shot from 4 ft (assist by L. Williams)
1:36.0,Shooting foul by T. Harris (drawn by M. Plumlee),,26-22,,
1:36.0,M. Plumlee misses free throw 1 of 2,,26-22,,
1:36.0,Offensive rebound by Team,,26-22,,
1:36.0,,,26-22,,Violation by A. Rivers (lane)
1:36.0,M. Plumlee makes free throw 2 of 2,1,27-22,,
1:24.0,,,27-22,,Shooting foul by M. Plumlee (drawn by L. Williams)
1:24.0,,,27-23,1,L. Williams makes free throw 1 of 2
1:24.0,,,27-24,1,L. Williams makes free throw 2 of 2
1:09.0,M. Plumlee misses 2-pt shot from 5 ft,,27-24,,
1:05.0,Offensive rebound by T. Craig,,27-24,,
1:00.0,D. Harris misses 3-pt shot from 24 ft,,27-24,,
0:59.0,Offensive rebound by N. Jokic,,27-24,,
0:59.0,N. Jokic makes 2-pt shot at rim,2,29-24,,
0:40.0,,,29-26,2,T. Harris makes 2-pt shot from 1 ft
0:33.0,J. Murray makes 2-pt shot from 5 ft,2,31-26,,
0:11.0,,,31-26,,L. Williams misses 2-pt shot from 2 ft (block by N. Jokic)
0:09.0,Defensive rebound by N. Jokic,,31-26,,
0:06.0,M. Plumlee makes 2-pt shot from 1 ft (assist by D. Harris),2,33-26,,
0:01.0,,,33-26,,S. Thornwell misses 2-pt shot from 2 ft
0:00.0,,,33-26,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,T. Craig misses 3-pt shot from 25 ft,,33-26,,
11:41.0,,,33-26,,Defensive rebound by B. Marjanovic
11:28.0,,,33-26,,B. Marjanovic misses 2-pt shot from 6 ft
11:26.0,Defensive rebound by M. Plumlee,,33-26,,
11:20.0,D. Harris misses 2-pt shot from 2 ft,,33-26,,
11:20.0,Offensive rebound by M. Plumlee,,33-26,,
11:20.0,M. Plumlee makes 2-pt shot at rim,2,35-26,,
11:20.0,Shooting foul by S. Thornwell (drawn by M. Plumlee),,35-26,,
11:20.0,M. Plumlee misses free throw 1 of 1,,35-26,,
11:20.0,,,35-26,,Defensive rebound by M. Harrell
11:07.0,,,35-26,,Shooting foul by M. Plumlee (drawn by B. Marjanovic)
11:07.0,,,35-27,1,B. Marjanovic makes free throw 1 of 2
11:07.0,,,35-28,1,B. Marjanovic makes free throw 2 of 2
10:52.0,Shooting foul by B. Marjanovic (drawn by N. Jokic),,35-28,,
10:52.0,N. Jokic misses free throw 1 of 2,,35-28,,
10:52.0,Offensive rebound by Team,,35-28,,
10:52.0,N. Jokic makes free throw 2 of 2,1,36-28,,
10:40.0,,,36-28,,L. Williams misses 2-pt shot from 16 ft
10:36.0,Defensive rebound by N. Jokic,,36-28,,
10:33.0,D. Harris makes 3-pt shot from 24 ft,3,39-28,,
10:14.0,,,39-28,,Shooting foul by M. Plumlee (drawn by B. Marjanovic)
10:14.0,,,39-29,1,B. Marjanovic makes free throw 1 of 2
10:14.0,P. Millsap enters the game for M. Plumlee,,39-29,,
10:14.0,,,39-29,,B. Marjanovic misses free throw 2 of 2
10:10.0,Defensive rebound by N. Jokic,,39-29,,
9:58.0,P. Millsap makes 2-pt shot from 5 ft,2,41-29,,
9:49.0,,,41-29,,Shooting foul by T. Craig (drawn by L. Williams)
9:49.0,,,41-30,1,L. Williams makes free throw 1 of 2
9:49.0,W. Chandler enters the game for T. Craig,,41-30,,
9:49.0,,,41-30,,L. Williams misses free throw 2 of 2
9:46.0,Defensive rebound by N. Jokic,,41-30,,
9:44.0,,,41-30,,D. Jordan enters the game for B. Marjanovic
9:32.0,Shooting foul by S. Thornwell (drawn by D. Harris),,41-30,,
9:32.0,D. Harris misses free throw 1 of 2,,41-30,,
9:32.0,Offensive rebound by Team,,41-30,,
9:32.0,,,41-30,,W. Johnson enters the game for S. Thornwell
9:32.0,D. Harris misses free throw 2 of 2,,41-30,,
9:29.0,,,41-30,,Defensive rebound by D. Jordan
9:10.0,,,41-32,2,A. Rivers makes 2-pt shot from 19 ft
8:46.0,J. Murray misses 2-pt shot from 15 ft,,41-32,,
8:43.0,,,41-32,,Defensive rebound by D. Jordan
8:37.0,,,41-32,,M. Harrell misses 2-pt shot from 13 ft
8:36.0,,,41-32,,Offensive rebound by D. Jordan
8:36.0,,,41-32,,D. Jordan misses 2-pt shot at rim
8:36.0,,,41-32,,Offensive rebound by D. Jordan
8:33.0,,,41-34,2,D. Jordan makes 2-pt shot at rim
8:32.0,Denver full timeout,,41-34,,
8:32.0,W. Barton enters the game for N. Jokic,,41-34,,
8:32.0,T. Lyles enters the game for J. Murray,,41-34,,
8:19.0,P. Millsap makes 2-pt shot from 2 ft (assist by W. Barton),2,43-34,,
8:01.0,,,43-36,2,D. Jordan makes 2-pt shot from 1 ft (assist by M. Harrell)
7:45.0,,,43-36,,Personal foul by W. Johnson (drawn by P. Millsap)
7:39.0,W. Barton makes 2-pt shot from 18 ft (assist by P. Millsap),2,45-36,,
7:19.0,,,45-38,2,D. Jordan makes 2-pt shot at rim (assist by L. Williams)
7:02.0,P. Millsap misses 2-pt shot from 9 ft,,45-38,,
6:59.0,,,45-38,,Defensive rebound by W. Johnson
6:57.0,Personal foul by T. Lyles (drawn by M. Harrell),,45-38,,
6:57.0,,,45-38,,T. Harris enters the game for M. Harrell
6:57.0,J. Murray enters the game for D. Harris,,45-38,,
6:54.0,Personal foul by W. Barton (drawn by A. Rivers),,45-38,,
6:54.0,,,45-38,,A. Rivers misses free throw 1 of 2
6:54.0,,,45-38,,Offensive rebound by Team
6:54.0,,,45-38,,A. Rivers misses free throw 2 of 2
6:52.0,Defensive rebound by T. Lyles,,45-38,,
6:36.0,P. Millsap misses 3-pt shot from 24 ft,,45-38,,
6:32.0,,,45-38,,Defensive rebound by D. Jordan
6:25.0,,,45-38,,L. Williams misses 2-pt shot from 11 ft (block by W. Barton)
6:25.0,,,45-38,,Offensive rebound by Team
6:25.0,Loose ball foul by T. Lyles (drawn by D. Jordan),,45-38,,
6:25.0,,,45-38,,D. Jordan misses free throw 1 of 2
6:25.0,,,45-38,,Offensive rebound by Team
6:25.0,,,45-38,,T. Wallace enters the game for L. Williams
6:25.0,,,45-38,,D. Jordan misses free throw 2 of 2
6:24.0,,,45-38,,Offensive rebound by Team
6:24.0,,,45-38,,Turnover by T. Wallace (turnover)
6:14.0,W. Chandler makes 2-pt shot from 1 ft (assist by T. Lyles),2,47-38,,
5:54.0,,,47-38,,T. Harris misses 2-pt shot from 9 ft
5:50.0,,,47-38,,Offensive rebound by D. Jordan
5:50.0,,,47-38,,D. Jordan misses 2-pt shot at rim
5:49.0,Defensive rebound by W. Barton,,47-38,,
5:46.0,W. Barton makes 2-pt shot at rim,2,49-38,,
5:45.0,,,49-38,,LA Clippers full timeout
5:32.0,,,49-38,,Turnover by A. Rivers (bad pass)
5:25.0,T. Lyles misses 3-pt shot from 25 ft,,49-38,,
5:19.0,Offensive rebound by P. Millsap,,49-38,,
5:19.0,P. Millsap makes 2-pt shot at rim,2,51-38,,
5:08.0,,,51-38,,Shooting foul by W. Chandler (drawn by T. Harris)
5:08.0,,,51-39,1,T. Harris makes free throw 1 of 2
5:08.0,,,51-39,,L. Williams enters the game for W. Johnson
5:08.0,N. Jokic enters the game for T. Lyles,,51-39,,
5:08.0,,,51-40,1,T. Harris makes free throw 2 of 2
4:57.0,W. Barton misses 3-pt shot from 25 ft,,51-40,,
4:52.0,,,51-40,,Defensive rebound by T. Harris
4:43.0,,,51-42,2,T. Harris makes 2-pt shot at rim (assist by A. Rivers)
4:24.0,W. Barton makes 3-pt shot from 23 ft (assist by W. Chandler),3,54-42,,
4:15.0,,,54-42,,L. Williams misses 2-pt shot from 7 ft
4:12.0,Defensive rebound by W. Chandler,,54-42,,
4:07.0,P. Millsap misses 2-pt shot from 4 ft,,54-42,,
4:05.0,,,54-42,,Defensive rebound by D. Jordan
4:05.0,Personal take foul by W. Chandler (drawn by D. Jordan),,54-42,,
4:05.0,,,54-43,1,D. Jordan makes free throw 1 of 2
4:05.0,T. Craig enters the game for W. Chandler,,54-43,,
4:05.0,,,54-44,1,D. Jordan makes free throw 2 of 2
3:54.0,Turnover by N. Jokic (bad pass; steal by T. Wallace),,54-44,,
3:52.0,,,54-44,,Shooting foul by W. Barton (drawn by T. Wallace)
3:52.0,,,54-45,1,T. Wallace makes free throw 1 of 2
3:52.0,,,54-45,,T. Wallace misses free throw 2 of 2
3:48.0,,,54-45,,Offensive rebound by T. Wallace
3:45.0,,,54-48,3,A. Rivers makes 3-pt shot from 23 ft (assist by L. Williams)
3:44.0,Denver full timeout,,54-48,,
3:37.0,Turnover by W. Barton (lost ball; steal by T. Wallace),,54-48,,
3:37.0,Personal foul by W. Barton (drawn by T. Wallace),,54-48,,
3:37.0,,,54-49,1,T. Wallace makes free throw 1 of 2
3:37.0,D. Harris enters the game for W. Barton,,54-49,,
3:37.0,,,54-49,,T. Wallace misses free throw 2 of 2
3:33.0,Defensive rebound by N. Jokic,,54-49,,
3:29.0,P. Millsap makes 2-pt shot from 1 ft (assist by N. Jokic),2,56-49,,
3:11.0,,,56-52,3,A. Rivers makes 3-pt shot from 24 ft
3:01.0,,,56-52,,Personal foul by T. Wallace (drawn by D. Harris)
3:01.0,D. Harris makes free throw 1 of 2,1,57-52,,
3:01.0,D. Harris makes free throw 2 of 2,1,58-52,,
2:49.0,,,58-54,2,A. Rivers makes 2-pt shot at rim
2:41.0,Shooting foul by T. Harris (drawn by P. Millsap),,58-54,,
2:41.0,P. Millsap misses free throw 1 of 2,,58-54,,
2:41.0,Offensive rebound by Team,,58-54,,
2:41.0,P. Millsap makes free throw 2 of 2,1,59-54,,
2:28.0,,,59-54,,L. Williams misses 2-pt shot from 19 ft
2:24.0,Defensive rebound by D. Harris,,59-54,,
2:14.0,N. Jokic makes 2-pt shot from 5 ft (assist by J. Murray),2,61-54,,
2:14.0,Shooting foul by A. Rivers (drawn by N. Jokic),,61-54,,
2:14.0,N. Jokic makes free throw 1 of 1,1,62-54,,
1:55.0,,,62-54,,T. Wallace misses 2-pt shot from 9 ft
1:52.0,,,62-54,,Offensive rebound by T. Wallace
1:52.0,Personal foul by P. Millsap (drawn by T. Wallace),,62-54,,
1:52.0,,,62-55,1,T. Wallace makes free throw 1 of 2
1:52.0,,,62-56,1,T. Wallace makes free throw 2 of 2
1:27.0,N. Jokic makes 2-pt shot from 1 ft (assist by J. Murray),2,64-56,,
1:19.0,,,64-56,,L. Williams misses 2-pt shot from 1 ft (block by T. Craig)
1:19.0,,,64-56,,Offensive rebound by Team
1:11.0,,,64-56,,A. Rivers misses 2-pt shot from 11 ft
1:08.0,Defensive rebound by T. Craig,,64-56,,
1:03.0,Shooting foul by T. Harris (drawn by N. Jokic),,64-56,,
1:03.0,N. Jokic makes free throw 1 of 2,1,65-56,,
1:03.0,T. Lyles enters the game for P. Millsap,,65-56,,
1:03.0,N. Jokic makes free throw 2 of 2,1,66-56,,
0:39.0,,,66-56,,A. Rivers misses 3-pt shot from 26 ft
0:39.0,,,66-56,,Offensive rebound by Team
0:39.0,,,66-56,,Turnover by Team (shot clock)
0:39.0,P. Millsap enters the game for T. Lyles,,66-56,,
0:32.0,D. Harris misses 2-pt shot from 11 ft,,66-56,,
0:28.0,,,66-56,,Defensive rebound by D. Jordan
0:23.0,Personal block foul by T. Craig (drawn by L. Williams),,66-56,,
0:23.0,,,66-57,1,L. Williams makes free throw 1 of 2
0:23.0,,,66-57,,W. Johnson enters the game for A. Rivers
0:23.0,,,66-57,,M. Harrell enters the game for T. Harris
0:23.0,W. Barton enters the game for T. Craig,,66-57,,
0:23.0,,,66-58,1,L. Williams makes free throw 2 of 2
0:06.0,N. Jokic misses 2-pt shot from 9 ft,,66-58,,
0:04.0,,,66-58,,Defensive rebound by D. Jordan
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,P. Millsap misses 2-pt shot from 10 ft,,66-58,,
11:39.0,,,66-58,,Defensive rebound by D. Jordan
11:26.0,,,66-58,,A. Rivers misses 2-pt shot from 8 ft
11:26.0,,,66-58,,Offensive rebound by Team
11:26.0,Loose ball foul by P. Millsap (drawn by D. Jordan),,66-58,,
11:18.0,,,66-58,,T. Harris misses 2-pt shot from 1 ft
11:15.0,Defensive rebound by N. Jokic,,66-58,,
11:13.0,W. Barton makes 3-pt shot from 25 ft (assist by N. Jokic),3,69-58,,
11:11.0,,,69-58,,LA Clippers full timeout
10:56.0,,,69-60,2,T. Harris makes 2-pt shot from 17 ft
10:38.0,W. Chandler makes 2-pt shot from 11 ft (assist by N. Jokic),2,71-60,,
10:25.0,,,71-62,2,D. Jordan makes 2-pt shot from 1 ft (assist by A. Rivers)
10:10.0,J. Murray makes 2-pt shot from 16 ft,2,73-62,,
9:59.0,,,73-64,2,T. Wallace makes 2-pt shot from 1 ft (assist by A. Rivers)
9:38.0,P. Millsap misses 2-pt shot from 10 ft,,73-64,,
9:38.0,Offensive rebound by Team,,73-64,,
9:38.0,,,73-64,,Loose ball foul by T. Harris (drawn by P. Millsap)
9:28.0,N. Jokic misses 2-pt shot from 12 ft,,73-64,,
9:23.0,,,73-64,,Defensive rebound by T. Harris
9:14.0,Personal foul by P. Millsap (drawn by T. Harris),,73-64,,
9:14.0,T. Lyles enters the game for P. Millsap,,73-64,,
8:59.0,,,73-64,,T. Wallace misses 2-pt shot from 5 ft
8:59.0,Defensive rebound by Team,,73-64,,
8:59.0,,,73-64,,Loose ball foul by D. Jordan (drawn by T. Lyles)
8:48.0,N. Jokic makes 2-pt shot from 2 ft (assist by W. Barton),2,75-64,,
8:29.0,Personal foul by J. Murray (drawn by A. Rivers),,75-64,,
8:19.0,,,75-66,2,T. Wallace makes 2-pt shot from 2 ft
7:55.0,T. Lyles makes 2-pt shot from 3 ft (assist by N. Jokic),2,77-66,,
7:42.0,,,77-66,,Turnover by A. Rivers (step out of bounds)
7:34.0,,,77-66,,L. Williams enters the game for W. Johnson
7:23.0,N. Jokic makes 2-pt shot from 22 ft (assist by J. Murray),2,79-66,,
7:04.0,,,79-69,3,L. Williams makes 3-pt shot from 28 ft (assist by T. Wallace)
7:03.0,Denver full timeout,,79-69,,
6:49.0,W. Chandler makes 2-pt shot from 1 ft (assist by N. Jokic),2,81-69,,
6:30.0,,,81-71,2,D. Jordan makes 2-pt shot at rim (assist by A. Rivers)
6:15.0,W. Barton misses 3-pt shot from 25 ft,,81-71,,
6:13.0,Offensive rebound by J. Murray,,81-71,,
6:04.0,N. Jokic misses 3-pt shot from 25 ft,,81-71,,
6:00.0,Offensive rebound by W. Chandler,,81-71,,
5:40.0,W. Barton makes 3-pt shot from 24 ft (assist by J. Murray),3,84-71,,
5:27.0,,,84-71,,Turnover by L. Williams (bad pass)
5:13.0,T. Lyles makes 2-pt shot from 1 ft (assist by N. Jokic),2,86-71,,
4:55.0,,,86-74,3,T. Harris makes 3-pt shot from 26 ft
4:42.0,T. Lyles misses 2-pt shot from 8 ft,,86-74,,
4:39.0,,,86-74,,Defensive rebound by D. Jordan
4:36.0,,,86-74,,T. Harris misses 3-pt shot from 23 ft
4:36.0,Defensive rebound by N. Jokic,,86-74,,
4:19.0,W. Chandler makes 3-pt shot from 24 ft (assist by T. Lyles),3,89-74,,
3:59.0,,,89-74,,L. Williams misses 3-pt shot from 26 ft
3:58.0,Defensive rebound by Team,,89-74,,
3:58.0,,,89-74,,S. Thornwell enters the game for T. Wallace
3:58.0,,,89-74,,M. Harrell enters the game for T. Harris
3:58.0,D. Harris enters the game for J. Murray,,89-74,,
3:45.0,N. Jokic makes 2-pt shot from 14 ft (assist by D. Harris),2,91-74,,
3:27.0,,,91-74,,D. Jordan misses 2-pt shot at rim
3:24.0,Defensive rebound by N. Jokic,,91-74,,
3:09.0,D. Harris makes 2-pt shot from 1 ft,2,93-74,,
3:09.0,,,93-74,,LA Clippers full timeout
2:59.0,,,93-76,2,M. Harrell makes 2-pt shot from 1 ft (assist by D. Jordan)
2:47.0,D. Harris misses 3-pt shot from 24 ft,,93-76,,
2:43.0,,,93-76,,Defensive rebound by A. Rivers
2:31.0,,,93-76,,Shooting foul by N. Jokic (drawn by L. Williams)
2:31.0,,,93-76,,L. Williams misses free throw 1 of 2
2:31.0,,,93-76,,Offensive rebound by Team
2:31.0,,,93-77,1,L. Williams makes free throw 2 of 2
2:09.0,T. Lyles makes 2-pt shot from 2 ft (assist by N. Jokic),2,95-77,,
1:53.0,,,95-79,2,L. Williams makes 2-pt shot from 7 ft (assist by A. Rivers)
1:53.0,,,95-79,,Shooting foul by T. Lyles (drawn by L. Williams)
1:53.0,,,95-79,,T. Harris enters the game for A. Rivers
1:53.0,M. Plumlee enters the game for N. Jokic,,95-79,,
1:53.0,,,95-80,1,L. Williams makes free throw 1 of 1
1:39.0,T. Lyles misses 2-pt shot from 1 ft,,95-80,,
1:37.0,,,95-80,,Defensive rebound by Team
1:37.0,Violation by M. Plumlee (kicked ball),,95-80,,
1:37.0,,,95-80,,B. Marjanovic enters the game for D. Jordan
1:32.0,,,95-82,2,L. Williams makes 2-pt shot from 1 ft
1:32.0,Denver full timeout,,95-82,,
1:20.0,Shooting foul by B. Marjanovic (drawn by W. Barton),,95-82,,
1:20.0,W. Barton makes free throw 1 of 2,1,96-82,,
1:20.0,T. Craig enters the game for W. Chandler,,96-82,,
1:20.0,W. Barton makes free throw 2 of 2,1,97-82,,
1:09.0,,,97-85,3,L. Williams makes 3-pt shot from 24 ft (assist by S. Thornwell)
0:56.0,M. Plumlee makes 2-pt shot at rim (assist by W. Barton),2,99-85,,
0:48.0,,,99-85,,Turnover by B. Marjanovic (traveling)
0:39.0,,,99-85,,Personal foul by S. Thornwell (drawn by W. Barton)
0:39.0,W. Barton makes free throw 1 of 2,1,100-85,,
0:39.0,,,100-85,,A. Rivers enters the game for S. Thornwell
0:39.0,W. Barton makes free throw 2 of 2,1,101-85,,
0:35.0,,,101-87,2,L. Williams makes 2-pt shot from 22 ft
0:15.0,W. Barton misses 3-pt shot from 27 ft,,101-87,,
0:11.0,,,101-87,,Defensive rebound by B. Marjanovic
0:00.0,,,101-89,2,M. Harrell makes 2-pt shot from 3 ft
0:00.0,T. Craig misses 3-pt shot from 55 ft,,101-89,,
0:00.0,Offensive rebound by Team,,101-89,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,101-89,,T. Harris misses 2-pt shot from 4 ft (block by T. Craig)
11:37.0,Defensive rebound by T. Lyles,,101-89,,
11:29.0,J. Murray makes 2-pt shot from 15 ft,2,103-89,,
11:16.0,,,103-89,,L. Williams misses 2-pt shot from 4 ft (block by T. Craig)
11:11.0,,,103-89,,Offensive rebound by B. Marjanovic
11:11.0,,,103-91,2,B. Marjanovic makes 2-pt shot at rim
10:56.0,T. Lyles makes 3-pt shot from 22 ft (assist by D. Harris),3,106-91,,
10:42.0,,,106-91,,T. Harris misses 2-pt shot from 2 ft
10:37.0,,,106-91,,Offensive rebound by M. Harrell
10:37.0,,,106-93,2,M. Harrell makes 2-pt shot at rim
10:15.0,M. Plumlee misses 2-pt shot from 2 ft,,106-93,,
10:15.0,,,106-93,,Defensive rebound by B. Marjanovic
10:15.0,Personal foul by M. Plumlee (drawn by B. Marjanovic),,106-93,,
10:15.0,,,106-93,,D. Jordan enters the game for B. Marjanovic
10:15.0,P. Millsap enters the game for T. Lyles,,106-93,,
9:57.0,,,106-93,,A. Rivers misses 3-pt shot from 26 ft
9:53.0,,,106-93,,Offensive rebound by M. Harrell
9:49.0,,,106-93,,Turnover by D. Jordan (bad pass; steal by T. Craig)
9:41.0,M. Plumlee makes 2-pt shot from 1 ft (assist by T. Craig),2,108-93,,
9:31.0,Personal foul by M. Plumlee (drawn by L. Williams),,108-93,,
9:25.0,,,108-95,2,L. Williams makes 2-pt shot at rim (assist by A. Rivers)
9:06.0,D. Harris makes 3-pt shot from 25 ft (assist by P. Millsap),3,111-95,,
8:45.0,,,111-97,2,T. Harris makes 2-pt shot from 2 ft (assist by A. Rivers)
8:28.0,P. Millsap makes 3-pt shot from 24 ft (assist by D. Harris),3,114-97,,
8:14.0,,,114-99,2,M. Harrell makes 2-pt shot from 1 ft (assist by A. Rivers)
8:03.0,Turnover by J. Murray (bad pass; steal by A. Rivers),,114-99,,
7:57.0,,,114-101,2,M. Harrell makes 2-pt shot from 1 ft
7:39.0,J. Murray makes 2-pt shot from 8 ft,2,116-101,,
7:19.0,,,116-101,,Turnover by L. Williams (bad pass; steal by P. Millsap)
7:15.0,N. Jokic enters the game for T. Craig,,116-101,,
7:15.0,W. Chandler enters the game for M. Plumlee,,116-101,,
7:14.0,Shooting foul by A. Rivers (drawn by J. Murray),,116-101,,
7:14.0,J. Murray makes free throw 1 of 3,1,117-101,,
7:14.0,J. Murray makes free throw 2 of 3,1,118-101,,
7:14.0,J. Murray makes free throw 3 of 3,1,119-101,,
7:00.0,Personal foul by W. Chandler (drawn by D. Jordan),,119-101,,
6:44.0,,,119-101,,T. Harris misses 2-pt shot from 15 ft
6:40.0,,,119-101,,Offensive rebound by D. Jordan
6:40.0,,,119-103,2,D. Jordan makes 2-pt shot at rim
6:26.0,N. Jokic misses 2-pt shot from 6 ft,,119-103,,
6:24.0,,,119-103,,Defensive rebound by D. Jordan
6:16.0,,,119-103,,M. Harrell misses 2-pt shot from 8 ft
6:14.0,Defensive rebound by J. Murray,,119-103,,
6:14.0,,,119-103,,Personal foul by M. Harrell (drawn by J. Murray)
6:14.0,,,119-103,,LA Clippers full timeout
6:14.0,W. Barton enters the game for D. Harris,,119-103,,
6:00.0,P. Millsap misses 3-pt shot from 23 ft,,119-103,,
5:58.0,,,119-103,,Defensive rebound by Team
5:58.0,Loose ball foul by N. Jokic (drawn by M. Harrell),,119-103,,
